geo,time,nv_mnf_chem_zs_un
lca,1997,3.55872
lka,1966,16.51449
lka,1967,14.73609
lka,1968,12.88551
lka,1969,11.44874
lka,1970,10.90354
lka,1971,10.31552
lka,1972,9.94873
lka,1973,8.29369
lka,1974,8.27522
lka,1979,6.80591
lka,1980,6.00157
lka,1981,7.72818
lka,1982,6.33002
lka,1983,2.82975
lka,1987,4.04856
lka,1988,3.41353
lka,1989,2.89756
lka,1990,4.17991
lka,1991,4.28095
lka,1992,5.37907
lka,1993,6.70081
lka,1994,4.81902
lka,1995,5.59861
lka,1996,4.37843
lka,1997,5.2438
lka,1998,6.81465
lka,1999,4.48211
lka,2000,3.76058
lka,2001,5.83089
lka,2006,13.6707
lka,2007,3.98454
lka,2008,4.10726
lka,2009,4.52811
lka,2010,6.4172
lka,2011,3.20935
lka,2012,3.54399
lka,2013,5.88075
lka,2014,4.47081
lka,2015,5.92634
lka,2016,5.39602
lka,2017,4.46766
lka,2018,4.46766
lka,2019,4.46766
lso,1980,4.4629
lso,1981,4.33904
lso,1982,1.85177
lso,1983,8.33192
lso,1984,4.54599
lso,1985,5.97986
ltu,2000,2.58412
ltu,2001,3.94334
ltu,2002,3.67733
ltu,2003,3.68143
ltu,2004,3.99228
ltu,2005,5.98931
ltu,2006,5.74441
ltu,2007,9.23168
ltu,2008,10.49322
ltu,2009,7.10849
ltu,2010,12.54833
ltu,2011,13.09691
ltu,2012,7.68214
ltu,2013,4.57241
ltu,2014,8.31358
ltu,2015,11.9752
ltu,2016,8.14933
ltu,2017,8.13119
ltu,2018,9.43709
ltu,2019,9.80436
lux,1985,2.97029
lux,1986,3.07149
lux,1987,3.31542
lux,1988,4.01878
lux,1989,3.85664
lux,1990,3.74853
lux,1991,4.74464
lux,1992,6.84458
lux,1993,7.03352
lux,1994,7.2356
lux,1995,5.42503
lux,1996,7.15054
lux,1997,7.00885
lux,1998,7.35266
lux,1999,6.25731
lux,2000,6.22728
lux,2001,4.56274
lux,2002,4.86812
lux,2003,3.99722
lux,2004,3.60624
lux,2005,2.76818
lux,2006,1.70887
lux,2007,1.31673
lux,2008,0.90246
lux,2009,2.11771
lux,2010,2.11043
lux,2011,2.15888
lux,2012,2.37028
lux,2013,2.76176
lux,2014,2.9681
lux,2015,2.82627
lux,2016,2.68424
lux,2017,2.59823
lux,2018,2.55796
lva,1993,5.3541
lva,1994,2.95306
lva,1995,3.83464
lva,1996,3.77565
lva,1997,5.36409
lva,1998,2.53313
lva,1999,3.31761
lva,2000,3.29525
