geo,time,st_int_tvlr_cd
atg,2005,309000000
atg,2006,327000000
atg,2007,338000000
atg,2008,334000000
atg,2009,305000000
atg,2010,298000000
atg,2011,312000000
atg,2012,319000000
atg,2013,299000000
atg,2014,708000000
atg,2015,710000000
atg,2016,753000000
atg,2017,737000000
atg,2018,775000000
atg,2019,909000000
atg,2020,386000000
aus,1995,8130000000
aus,1996,9519000000
aus,1997,9456000000
aus,1998,8130000000
aus,1999,9258000000
aus,2000,9375000000
aus,2001,9222000000
aus,2002,10044000000
aus,2003,12620000000
aus,2004,15212000000
aus,2005,16750000000
aus,2006,17538000000
aus,2007,21774000000
aus,2008,23986000000
aus,2009,24566000000
aus,2010,28472000000
aus,2011,31582000000
aus,2012,31557000000
aus,2013,30617000000
aus,2014,33569000000
aus,2015,34269000000
aus,2016,37019000000
aus,2017,41747000000
aus,2018,45098000000
aus,2019,45729000000
aus,2020,25667000000
aut,1995,13435000000
aut,1996,12830000000
aut,1997,11018000000
aut,1998,11241000000
aut,1999,10847000000
aut,2000,9899000000
aut,2001,9948000000
aut,2002,10803000000
aut,2003,13307000000
aut,2004,15150000000
aut,2005,16243000000
aut,2006,16512000000
aut,2007,18557000000
aut,2008,21630000000
aut,2009,19168000000
aut,2010,18751000000
aut,2011,19791000000
aut,2012,18931000000
aut,2013,20221000000
aut,2014,20913000000
aut,2015,18292000000
aut,2016,19244000000
aut,2017,20333000000
aut,2018,23233000000
aut,2019,22983000000
aut,2020,13881000000
aze,1995,70000000
aze,1996,46000000
aze,1997,162000000
aze,1998,125000000
aze,1999,81000000
aze,2000,63000000
aze,2001,43000000
aze,2002,51000000
aze,2003,58000000
aze,2004,65000000
aze,2005,78000000
aze,2006,117000000
aze,2007,178000000
aze,2008,191000000
aze,2009,379000000
aze,2010,657000000
aze,2011,1287000000
aze,2012,2433000000
aze,2013,2365000000
aze,2014,2432000000
aze,2015,2309000000
aze,2016,2714000000
aze,2017,3012000000
aze,2018,2634000000
aze,2019,1791500000
aze,2020,304000000
bdi,1995,1399999.97616
bdi,1996,1200000.04768
bdi,1997,600000.02384
bdi,1998,400000.00596
bdi,1999,699999.98808
bdi,2000,800000.01192
bdi,2001,500000
bdi,2002,1100000.02384
bdi,2003,699999.98808
bdi,2004,1200000.04768
bdi,2005,1500000
bdi,2006,1299999.95232
bdi,2007,1299999.95232
bdi,2008,1299999.95232
bdi,2009,1500000
bdi,2010,1799999.95232
bdi,2011,2500000
bdi,2012,1500000
bdi,2013,2299999.95232
bdi,2014,4099999.90463
bdi,2015,2200000.04768
bdi,2016,1899999.97616
bdi,2017,3000000
bdi,2018,3900000.09537
bel,1995,4548000000
bel,1996,4844000000
bel,1997,4529000000
bel,1998,4623000000
bel,1999,6472000000
bel,2000,6592000000
bel,2001,6887000000
bel,2002,6935000000
bel,2003,8193000000
bel,2004,9208000000
bel,2005,9845000000
bel,2006,10311000000
bel,2007,11015000000
bel,2008,12020000000
bel,2009,11461000000
bel,2010,11393000000
bel,2011,12750000000
bel,2012,12498000000
bel,2013,13384000000
bel,2014,13918000000
bel,2015,7865000000
bel,2016,7648000000
bel,2017,8396000000
bel,2018,8880000000
bel,2019,8900000000
bel,2020,6603000000
ben,1995,85000000
ben,1996,79000000
ben,1997,56000000
ben,1998,64000000
ben,1999,94000000
ben,2000,77000000
ben,2001,85000000
ben,2002,93000000
ben,2003,106000000
ben,2004,118000000
ben,2005,103000000
ben,2006,116000000
ben,2007,206000000
ben,2008,236000000
ben,2009,131000000
ben,2010,149000000
ben,2011,180000000
ben,2012,170000000
ben,2013,189000000
ben,2014,151000000
ben,2015,141000000
ben,2016,123000000
ben,2017,150000000
ben,2018,162000000
ben,2019,240000000
bfa,2000,19000000
bfa,2001,20000000
bfa,2002,25000000
bfa,2003,24000000
bfa,2004,40000000
bfa,2005,45000000
bfa,2006,53000000
bfa,2007,56000000
bfa,2008,62000000
bfa,2009,66000000
bfa,2010,72000000
bfa,2011,75000000
bfa,2012,84000000
bfa,2013,153000000
bfa,2014,135000000
bfa,2015,109000000
bfa,2016,122000000
bfa,2017,117000000
bfa,2018,121000000
bfa,2019,116000000
bgd,1995,25000000
bgd,1996,33000000
bgd,1997,62000000
bgd,1998,52000000
bgd,1999,50000000
bgd,2000,50000000
bgd,2001,48000000
bgd,2002,57000000
bgd,2003,57000000
bgd,2004,67000000
bgd,2005,75000000
bgd,2006,79000000
bgd,2007,76000000
bgd,2008,75000000
bgd,2009,70000000
bgd,2010,81000000
bgd,2011,87000000
bgd,2012,103000000
bgd,2013,129000000
bgd,2014,153000000
bgd,2015,150000000
bgd,2016,214000000
bgd,2017,341000000
bgd,2018,353000000
bgd,2019,388000000
bgd,2020,217000000
bgr,1995,473000000
bgr,1996,388000000
bgr,1997,369000000
bgr,1998,966000000
bgr,1999,932000000
bgr,2000,1074000000
bgr,2001,994000000
bgr,2002,1096000000
bgr,2003,1621000000
bgr,2004,2202000000
bgr,2005,2412000000
bgr,2006,2612000000
bgr,2007,3713000000
bgr,2008,4306000000
bgr,2009,3776000000
bgr,2010,3343000000
bgr,2011,3764000000
bgr,2012,3462000000
bgr,2013,3829000000
bgr,2014,3927000000
bgr,2015,3139000000
bgr,2016,3637000000
bgr,2017,4099000000
bgr,2018,4468000000
bgr,2019,4287000000
bgr,2020,1636000000
bhr,1995,247000000
bhr,1996,263000000
bhr,1997,311000000
bhr,1998,366000000
bhr,1999,518000000
bhr,2000,573000000
bhr,2001,630000000
bhr,2002,740000000
bhr,2003,720000000
bhr,2004,864000000
bhr,2005,920000000
bhr,2006,1048000000
bhr,2007,1105000000
bhr,2008,1166000000
bhr,2009,1118000000
bhr,2010,1362000000
bhr,2011,1035000000
bhr,2012,1059000000
bhr,2013,1175000000
bhr,2014,1208000000
bhr,2015,2705000000
bhr,2016,3846000000
bhr,2017,4245000000
bhr,2018,3689000000
bhr,2019,3681000000
bhr,2020,673000000
bhs,1995,1346000000
bhs,1996,1398000000
bhs,1997,1416000000
bhs,1998,1354000000
bhs,1999,1583000000
bhs,2000,1738000000
bhs,2001,1648000000
bhs,2002,1760000000
bhs,2003,1757000000
bhs,2004,1884000000
bhs,2005,2071000000
bhs,2006,2056000000
bhs,2007,2187000000
bhs,2008,2144000000
bhs,2009,2014000000
bhs,2010,2147000000
bhs,2011,2142000000
bhs,2012,2311000000
bhs,2013,2285000000
bhs,2014,2316000000
bhs,2015,2537000000
bhs,2016,3074000000
bhs,2017,2930000000
bhs,2018,3728000000
bhs,2019,4125000000
bhs,2020,1002000000
bih,1998,247000000
bih,1999,245000000
bih,2000,233000000
bih,2001,265000000
bih,2002,288000000
bih,2003,377000000
bih,2004,481000000
bih,2005,519000000
bih,2006,607000000
bih,2007,724000000
bih,2008,825000000
bih,2009,674000000
bih,2010,589000000
bih,2011,635000000
bih,2012,615000000
bih,2013,685000000
bih,2014,707000000
bih,2015,752000000
bih,2016,830000000
bih,2017,930000000
bih,2018,1096000000
bih,2019,1173000000
bih,2020,426000000
blr,1995,23000000
blr,1996,55000000
blr,1997,25000000
blr,1998,22000000
blr,1999,12000000
blr,2000,93000000
blr,2001,211000000
blr,2002,234000000
blr,2003,267000000
blr,2004,270000000
blr,2005,253000000
blr,2006,286000000
blr,2007,324000000
blr,2008,363000000
blr,2009,370000000
blr,2010,440000000
blr,2011,487000000
blr,2012,685000000
blr,2013,791000000
blr,2014,868000000
blr,2015,729000000
blr,2016,711000000
blr,2017,801000000
blr,2018,883000000
blr,2019,901000000
blr,2020,355000000
blz,1995,78000000
blz,1996,93000000
blz,1997,95000000
blz,1998,99000000
blz,1999,101000000
blz,2000,111000000
blz,2001,111000000
blz,2002,121000000
blz,2003,150000000
blz,2004,168000000
blz,2005,214000000
blz,2006,260000000
blz,2007,289000000
blz,2008,278000000
blz,2009,256000000
blz,2010,264000000
blz,2011,248000000
blz,2012,298000000
blz,2013,351000000
blz,2014,380000000
blz,2015,372000000
blz,2016,391000000
blz,2017,427000000
blz,2018,479000000
blz,2019,527000000
blz,2020,247000000
bmu,1995,488000000
bmu,1996,472000000
bmu,1997,478000000
bmu,1998,487000000
bmu,1999,479000000
bmu,2000,431000000
bmu,2001,351000000
bmu,2002,378000000
bmu,2003,348000000
bmu,2004,426000000
bmu,2005,429000000
bmu,2006,495000000
bmu,2007,569000000
bmu,2008,431000000
bmu,2009,366000000
bmu,2010,442000000
bmu,2011,493000000
bmu,2012,441000000
bmu,2013,439000000
bmu,2014,401000000
bmu,2015,370000000
bmu,2016,440000000
bmu,2017,513000000
bmu,2018,583000000
bmu,2019,601000000
bmu,2020,94000000
bol,1995,55000000
bol,1996,61000000
bol,1997,64000000
bol,1998,69000000
bol,1999,87000000
bol,2000,68000000
bol,2001,76000000
bol,2002,100000000
bol,2003,166000000
bol,2004,192000000
bol,2005,239000000
bol,2006,244000000
bol,2007,292000000
bol,2008,275000000
bol,2009,279000000
bol,2010,310000000
bol,2011,380000000
bol,2012,594000000
bol,2013,574000000
bol,2014,664000000
bol,2015,699000000
bol,2016,713000000
bol,2017,803000000
bol,2018,815000000
bol,2019,837000000
bol,2020,191000000
bra,1995,972000000
bra,1996,718000000
bra,1997,977000000
bra,1998,1317000000
bra,1999,1626000000
bra,2000,1810000000
bra,2001,1731000000
bra,2002,1998000000
bra,2003,2479000000
bra,2004,3222000000
bra,2005,3861000000
bra,2006,4316000000
bra,2007,4953000000
bra,2008,5785000000
bra,2009,5305000000
bra,2010,5261000000
bra,2011,6095000000
bra,2012,6378000000
bra,2013,6474000000
bra,2014,6843000000
bra,2015,5844000000
bra,2016,6024000000
bra,2017,5809000000
bra,2018,5921000000
bra,2019,5995000000
bra,2020,3044000000
brb,1995,620000000
brb,1996,657000000
brb,1997,661000000
brb,1998,709000000
brb,1999,724000000
brb,2000,785000000
brb,2001,719000000
brb,2002,687000000
brb,2003,831000000
brb,2004,834000000
brb,2005,897000000
brb,2006,1061000000
brb,2007,1191000000
brb,2008,1196000000
brb,2009,1073000000
brb,2010,1038000000
brb,2011,971000000
brb,2012,929000000
brb,2013,969000000
brb,2014,887000000
brb,2015,947000000
brb,2016,1038000000
brb,2017,1080000000
brb,2018,1125000000
brn,2001,155000000
brn,2002,113000000
brn,2003,124000000
brn,2004,181000000
brn,2005,191000000
brn,2006,224000000
brn,2007,233000000
brn,2008,242000000
brn,2009,254000000
brn,2012,92000000
brn,2013,96000000
brn,2014,79000000
brn,2015,147000000
brn,2016,144000000
brn,2017,177000000
brn,2018,190000000
brn,2019,217000000
brn,2020,38000000
btn,2006,23000000
btn,2007,28000000
btn,2008,37000000
btn,2009,42000000
btn,2010,40000000
btn,2011,47000000
btn,2012,61000000
btn,2013,83000000
btn,2014,84000000
btn,2015,94000000
btn,2016,92000000
btn,2017,105000000
btn,2018,103000000
btn,2019,120000000
btn,2020,84000000
bwa,1995,162000000
bwa,1996,93000000
bwa,1997,136000000
bwa,1998,175000000
bwa,1999,234000000
bwa,2000,222000000
bwa,2001,230000000
bwa,2002,319000000
bwa,2003,457000000
bwa,2004,581000000
bwa,2005,562000000
bwa,2006,538000000
bwa,2007,546000000
bwa,2008,510000000
bwa,2009,663000000
bwa,2010,438000000
bwa,2011,465000000
bwa,2012,513000000
bwa,2013,481000000
bwa,2014,528000000
bwa,2015,533000000
bwa,2016,503000000
bwa,2017,542000000
bwa,2018,582000000
bwa,2019,705000000
bwa,2020,211000000
caf,2004,6400000.09537
caf,2005,5000000
caf,2006,8000000
caf,2007,8399999.61853
caf,2008,9000000
caf,2009,4500000
caf,2010,11000000
caf,2011,11000000
caf,2012,11000000
caf,2013,11600000.38147
can,1995,7917000000
can,1996,8607000000
can,1997,8819000000
can,1998,9414000000
can,1999,10203000000
can,2000,10778000000
can,2001,10623000000
can,2002,10687000000
can,2003,10602000000
can,2004,13029000000
can,2005,13655000000
can,2006,14556000000
can,2007,15605000000
can,2008,15667000000
can,2009,13743000000
can,2010,15830000000
can,2011,16839000000
can,2012,20156000000
can,2013,20886000000
can,2014,21580000000
can,2015,20315000000
can,2016,22676000000
can,2017,25083000000
can,2018,26893000000
can,2019,28018000000
can,2020,11256000000
che,1995,9459000000
che,1996,8891000000
che,1997,7945000000
che,1998,7991000000
che,1999,6839000000
che,2000,6566000000
che,2001,6716000000
che,2002,7231000000
che,2003,8424000000
che,2004,9288000000
che,2005,9891000000
che,2006,10784000000
che,2007,12223000000
che,2008,14698000000
che,2009,14340000000
che,2010,14811000000
che,2011,17148000000
che,2012,15991000000
che,2013,16674000000
che,2014,17768000000
che,2015,16929000000
che,2016,16752000000
che,2017,17251000000
che,2018,17994000000
che,2019,17955000000
che,2020,9038000000
chl,1995,911000000
chl,1996,931000000
chl,1997,1103000000
chl,1998,1105000000
chl,1999,911000000
chl,2000,819000000
chl,2001,799000000
chl,2002,898000000
chl,2003,883000000
chl,2004,1095000000
chl,2005,1001000000
chl,2006,1149000000
chl,2007,1453000000
chl,2008,1594000000
chl,2009,1613000000
chl,2010,1552000000
chl,2011,1813000000
chl,2012,2150000000
chl,2013,2181000000
chl,2014,2259000000
chl,2015,2481000000
chl,2016,2665000000
chl,2017,3131000000
chl,2018,2871000000
chl,2019,2279000000
chl,2020,406000000
chn,1995,8730000000
chn,1996,10200000000
chn,1997,12074000000
chn,1998,12602000000
chn,1999,14098000000
chn,2000,16231000000
chn,2001,17792000000
chn,2002,20385000000
chn,2003,17406000000
chn,2004,25739000000
chn,2005,29296000000
chn,2006,33949000000
chn,2007,37233000000
chn,2008,40843000000
chn,2009,39675000000
chn,2010,45814000000
chn,2011,48464000000
chn,2012,50028000000
chn,2013,51664000000
chn,2014,44044000000
chn,2015,44969000000
chn,2016,44432000000
chn,2017,38559000000
chn,2018,40386000000
chn,2019,35832000000
chn,2020,14233000000
civ,1995,89000000
civ,1996,93000000
civ,1997,90000000
civ,1998,98000000
civ,1999,100000000
civ,2000,49000000
civ,2001,53000000
civ,2002,51000000
civ,2003,69000000
civ,2004,82000000
civ,2005,83000000
civ,2006,93000000
civ,2007,103000000
civ,2008,116000000
civ,2009,151000000
civ,2010,201000000
civ,2011,180000000
civ,2012,172000000
civ,2013,181000000
civ,2014,184000000
civ,2015,158000000
civ,2016,379000000
civ,2017,397000000
civ,2018,443000000
civ,2019,448500000
civ,2020,166100006.10352
cmr,1995,36000000
cmr,1996,104000000
cmr,1997,84000000
cmr,1998,85000000
cmr,1999,60000000
cmr,2000,57000000
cmr,2001,73000000
cmr,2002,62000000
cmr,2003,182000000
cmr,2004,158000000
cmr,2005,175000000
cmr,2006,181000000
cmr,2007,226000000
cmr,2008,156000000
cmr,2009,270000000
cmr,2010,159000000
cmr,2011,409000000
cmr,2012,349000000
cmr,2013,576000000
cmr,2014,595000000
cmr,2015,450000000
cmr,2016,505000000
cmr,2017,525000000
cmr,2018,581000000
cmr,2019,653000000
cmr,2020,437000000
cod,2005,3200000.04768
cod,2006,3099999.90463
cod,2007,699999.98808
cod,2008,699999.98808
cod,2009,24000000
cod,2010,10699999.80927
cod,2011,11399999.61853
cod,2012,6900000.09537
cod,2013,8399999.61853
cod,2014,45400001.52588
cod,2015,100000.00149
cod,2016,4300000.19073
cod,2017,6000000
cod,2018,60500000
cod,2019,99699996.94824
cod,2020,80800003.05176
cog,1995,14000000
cog,1996,11000000
cog,1997,10000000
cog,1998,9000000
cog,1999,13000000
cog,2000,12000000
cog,2001,22000000
cog,2002,25000000
cog,2003,29000000
cog,2004,22000000
cog,2005,40000000
cog,2006,45000000
cog,2007,27000000
cog,2008,32000000
cog,2009,77000000
cog,2010,27000000
cog,2011,38000000
cog,2012,63000000
cog,2013,52000000
cog,2014,55000000
cog,2015,46000000
cog,2016,41000000
col,1995,657000000
col,1996,1120000000
col,1997,1043000000
col,1998,928000000
col,1999,927000000
col,2000,1030000000
col,2001,1217000000
col,2002,967000000
col,2003,893000000
col,2004,1227000000
col,2005,1539000000
col,2006,1915000000
col,2007,1993000000
col,2008,2342000000
col,2009,2440000000
col,2010,2797000000
col,2011,3010000000
col,2012,3460000000
col,2013,3611000000
col,2014,3825000000
col,2015,4245000000
col,2016,4522000000
col,2017,4921000000
col,2018,5621000000
col,2019,5682000000
col,2020,1595000000
com,2005,24000000
com,2006,27000000
com,2007,30000000
com,2008,37000000
com,2009,32000000
com,2010,35000000
com,2011,42000000
com,2012,39000000
com,2014,62000000
com,2015,51000000
com,2016,50000000
com,2017,60000000
com,2018,73000000
com,2019,72000000
com,2020,18000000
cpv,1995,10000000
cpv,1996,11000000
cpv,1997,15000000
cpv,1998,20000000
cpv,1999,29000000
cpv,2000,41000000
cpv,2001,54000000
cpv,2002,65000000
cpv,2003,87000000
cpv,2004,99000000
cpv,2005,122000000
cpv,2006,209000000
cpv,2007,304000000
cpv,2008,352000000
cpv,2009,286000000
cpv,2010,278000000
cpv,2011,368000000
cpv,2012,394000000
cpv,2013,422000000
cpv,2014,405000000
cpv,2015,347000000
cpv,2016,365000000
cpv,2017,426000000
cpv,2018,488000000
cpv,2019,502000000
cpv,2020,159000000
cri,1995,681000000
cri,1996,710000000
cri,1997,742000000
cri,1998,914000000
cri,1999,1098000000
cri,2000,1454000000
cri,2001,1314000000
cri,2002,1298000000
cri,2003,1442000000
cri,2004,1628000000
cri,2005,1869000000
cri,2006,1908000000
cri,2007,2259000000
cri,2008,2561000000
cri,2009,2030000000
cri,2010,2246000000
cri,2011,2423000000
cri,2012,2529000000
cri,2013,2928000000
cri,2014,2996000000
cri,2015,3266000000
cri,2016,3648000000
cri,2017,3656000000
cri,2018,3769000000
cri,2019,4008000000
cri,2020,1356000000
cub,1995,963000000
cub,1996,1171000000
cub,1997,1311000000
cub,1998,1556000000
cub,1999,1695000000
cub,2000,1737000000
cub,2001,1692000000
cub,2002,1633000000
cub,2003,1846000000
cub,2004,1915000000
cub,2005,2322000000
cub,2006,2127000000
cub,2007,2141000000
cub,2008,2258000000
cub,2009,2051000000
cub,2010,2187000000
cub,2011,2283000000
cub,2012,2326000000
cub,2013,2325000000
cub,2014,2367000000
cub,2015,2601000000
cub,2016,2907000000
cub,2017,3186000000
cub,2018,2703000000
cub,2019,2596000000
cub,2020,1137000000
cym,2016,708000000
cym,2017,793000000
cym,2018,871000000
cym,2019,919000000
cyp,1995,1798000000
cyp,1996,1681000000
cyp,1997,1659000000
cyp,1998,1718000000
cyp,1999,1911000000
cyp,2000,1941000000
cyp,2001,1993000000
cyp,2002,1959000000
cyp,2003,2097000000
cyp,2004,2241000000
cyp,2005,2318000000
cyp,2006,2382000000
cyp,2007,2685000000
cyp,2008,2780000000
cyp,2009,2199000000
cyp,2010,2137000000
cyp,2011,2603000000
cyp,2012,2603000000
cyp,2013,2930000000
cyp,2014,2924000000
cyp,2015,2524000000
cyp,2016,2870000000
cyp,2017,3274000000
cyp,2018,3449000000
cyp,2019,3245000000
cyp,2020,663000000
cze,1995,2880000000
cze,1996,4079000000
cze,1997,3620000000
cze,1998,3894000000
cze,1999,3153000000
cze,2000,2973000000
cze,2001,3104000000
cze,2002,2964000000
cze,2003,3566000000
cze,2004,4187000000
cze,2005,4813000000
cze,2006,5884000000
cze,2007,6943000000
cze,2008,8214000000
cze,2009,7241000000
cze,2010,7172000000
cze,2011,8096000000
cze,2012,7456000000
cze,2013,7042000000
cze,2014,6822000000
cze,2015,6056000000
cze,2016,6308000000
cze,2017,6970000000
cze,2018,7446000000
cze,2019,7302000000
cze,2020,3632000000
deu,1995,18036000000
deu,1996,17616000000
deu,1997,17702000000
deu,1998,18365000000
deu,1999,18230000000
deu,2000,18611000000
deu,2001,18036000000
deu,2002,19297000000
deu,2003,23144000000
deu,2004,27634000000
deu,2005,29111000000
deu,2006,32903000000
deu,2007,36094000000
deu,2008,39921000000
deu,2009,34752000000
deu,2010,34557000000
deu,2011,38928000000
deu,2012,38054000000
deu,2013,41283000000
deu,2014,43277000000
deu,2015,36895000000
deu,2016,37476000000
deu,2017,40011000000
deu,2018,42895000000
deu,2019,41779000000
deu,2020,22049000000
dji,1995,5400000.09537
dji,1996,4599999.90463
dji,1997,4199999.80927
dji,1998,9300000.19073
dji,1999,7599999.90463
dji,2000,8100000.38147
dji,2001,8600000.38147
dji,2002,8899999.61853
dji,2003,6900000.09537
dji,2004,6800000.19073
dji,2005,7099999.90463
dji,2006,9800000.19073
dji,2007,6800000.19073
dji,2008,7800000.19073
dji,2009,16000000
dji,2010,18000000
dji,2011,19200000.76294
dji,2012,20500000
dji,2013,21600000.38147
dji,2014,24700000.76294
dji,2015,39900001.52588
dji,2016,38599998.47412
dji,2017,36200000.76294
dji,2018,57000000
dji,2019,63099998.47412
dji,2020,29700000.76294
dma,1995,42000000
dma,1996,44000000
dma,1997,48000000
dma,1998,47000000
dma,1999,51000000
dma,2000,48000000
dma,2001,46000000
dma,2002,46000000
dma,2003,52000000
dma,2004,61000000
dma,2005,57000000
dma,2006,72000000
dma,2007,74000000
dma,2008,76000000
dma,2009,77000000
dma,2010,94000000
dma,2011,106000000
dma,2012,76000000
dma,2013,82000000
dma,2014,216000000
dma,2015,202000000
dma,2016,197000000
dma,2017,161000000
dma,2018,88000000
dma,2019,124000000
dma,2020,32000000
dnk,1995,3691000000
dnk,1996,3420000000
dnk,1997,3156000000
dnk,1998,3236000000
dnk,1999,3698000000
dnk,2000,3671000000
dnk,2001,4003000000
dnk,2002,4791000000
dnk,2003,5271000000
dnk,2004,5652000000
dnk,2005,5293000000
dnk,2006,5562000000
dnk,2007,5978000000
dnk,2008,6281000000
dnk,2009,5617000000
dnk,2010,5704000000
dnk,2011,6366000000
dnk,2012,6135000000
dnk,2013,6490000000
dnk,2014,7617000000
dnk,2015,6685000000
dnk,2016,7494000000
dnk,2017,8508000000
dnk,2018,9107000000
dnk,2019,8651000000
dnk,2020,3970000000
dom,1995,1571000000
dom,1996,1781000000
dom,1997,2099000000
dom,1998,2153000000
dom,1999,2483000000
dom,2000,2860000000
dom,2001,2798000000
dom,2002,2730000000
dom,2003,3128000000
dom,2004,3152000000
dom,2005,3518000000
dom,2006,3917000000
dom,2007,4064000000
dom,2008,4166000000
dom,2009,4049000000
dom,2010,4162000000
dom,2011,4391000000
dom,2012,4687000000
dom,2013,5055000000
dom,2014,5630000000
dom,2015,6116000000
dom,2016,6720000000
dom,2017,7184000000
dom,2018,7548000000
dom,2019,7472000000
dom,2020,2674000000
dza,1995,32000000
dza,1996,45000000
dza,1997,28000000
dza,1998,74000000
dza,1999,80000000
dza,2000,102000000
dza,2001,100000000
dza,2002,111000000
dza,2003,112000000
dza,2004,178000000
dza,2005,184000000
dza,2006,220000000
dza,2007,219000000
dza,2008,323000000
dza,2009,246000000
dza,2010,220000000
dza,2011,209000000
dza,2012,217000000
dza,2013,250000000
dza,2014,258000000
dza,2015,311000000
dza,2016,209000000
dza,2017,141000000
dza,2018,168500000
dza,2019,112000000
dza,2020,43000000
ecu,1995,255000000
ecu,1996,281000000
ecu,1997,290000000
ecu,1998,291000000
ecu,1999,343000000
ecu,2000,402000000
ecu,2001,430000000
ecu,2002,447000000
ecu,2003,406000000
ecu,2004,462000000
ecu,2005,486000000
ecu,2006,490000000
ecu,2007,623000000
ecu,2008,742000000
ecu,2009,670000000
ecu,2010,781000000
ecu,2011,843000000
ecu,2012,1033000000
ecu,2013,1246000000
ecu,2014,1482000000
ecu,2015,1551000000
ecu,2016,1723000000
ecu,2017,2012000000
ecu,2018,2272000000
ecu,2019,2282000000
ecu,2020,702000000
egy,1995,2684000000
egy,1996,3204000000
egy,1997,3727000000
egy,1998,2565000000
egy,1999,3903000000
egy,2000,4345000000
egy,2001,3800000000
egy,2002,3764000000
egy,2003,4584000000
egy,2004,6125000000
egy,2005,6851000000
egy,2006,7591000000
egy,2007,9303000000
egy,2008,10985000000
egy,2009,10755000000
egy,2010,12528000000
egy,2011,8707000000
egy,2012,9940000000
egy,2013,6047000000
egy,2014,7208000000
egy,2015,6065000000
egy,2016,2645000000
egy,2017,7775000000
egy,2018,11615000000
egy,2019,13030000000
egy,2020,4398000000
esp,1995,25368000000
esp,1996,27168000000
esp,1997,26185000000
esp,1998,29117000000
esp,1999,32733000000
esp,2000,31528000000
esp,2001,32519000000
esp,2002,34130000000
esp,2003,42786000000
esp,2004,48746000000
esp,2005,51959000000
esp,2006,56181000000
esp,2007,63491000000
esp,2008,68875000000
esp,2009,59795000000
esp,2010,58348000000
esp,2011,67809000000
esp,2012,62936000000
esp,2013,68414000000
esp,2014,71656000000
esp,2015,62449000000
esp,2016,66982000000
esp,2017,75906000000
esp,2018,81420000000
esp,2019,79611000000
