geo,time,sp_pop_65up_to
aut,1998,1220718
aut,1999,1225773
aut,2000,1232972
aut,2001,1248168
aut,2002,1264854
aut,2003,1282726
aut,2004,1305307
aut,2005,1332688
aut,2006,1363497
aut,2007,1395543
aut,2008,1429093
aut,2009,1460518
aut,2010,1488551
aut,2011,1514952
aut,2012,1540538
aut,2013,1566476
aut,2014,1594717
aut,2015,1628326
aut,2016,1652029
aut,2017,1667717
aut,2018,1679837
aut,2019,1693899
aut,2020,1712395
aze,1960,209728
aze,1961,213365
aze,1962,218048
aze,1963,223460
aze,1964,229167
aze,1965,234950
aze,1966,241730
aze,1967,248965
aze,1968,256284
aze,1969,263033
aze,1970,268897
aze,1971,275027
aze,1972,279292
aze,1973,282476
aze,1974,285757
aze,1975,289717
aze,1976,295207
aze,1977,301353
aze,1978,307181
aze,1979,311072
aze,1980,312289
aze,1981,314099
aze,1982,313610
aze,1983,311870
aze,1984,310288
aze,1985,309724
aze,1986,311864
aze,1987,314375
aze,1988,318315
aze,1989,325267
aze,1990,333017
aze,1991,345483
aze,1992,361407
aze,1993,378604
aze,1994,394556
aze,1995,408318
aze,1996,422801
aze,1997,435053
aze,1998,446348
aze,1999,458068
aze,2000,470835
aze,2001,491712
aze,2002,513064
aze,2003,532309
aze,2004,546102
aze,2005,552678
aze,2006,554430
aze,2007,550162
aze,2008,547161
aze,2009,542722
aze,2010,534050
aze,2011,533749
aze,2012,534181
aze,2013,536444
aze,2014,542462
aze,2015,553537
aze,2016,569419
aze,2017,590226
aze,2018,615787
aze,2019,646204
aze,2020,680440
bdi,1960,82128
bdi,1961,84423
bdi,1962,86487
bdi,1963,88380
bdi,1964,90199
bdi,1965,91976
bdi,1966,94782
bdi,1967,97544
bdi,1968,100088
bdi,1969,102187
bdi,1970,103736
bdi,1971,107816
bdi,1972,111412
bdi,1973,114710
bdi,1974,117911
bdi,1975,121099
bdi,1976,123087
bdi,1977,125085
bdi,1978,127047
bdi,1979,128875
bdi,1980,130433
bdi,1981,133082
bdi,1982,135466
bdi,1983,137496
bdi,1984,139143
bdi,1985,140438
bdi,1986,143037
bdi,1987,145336
bdi,1988,147299
bdi,1989,148834
bdi,1990,149878
bdi,1991,151923
bdi,1992,153194
bdi,1993,153642
bdi,1994,153268
bdi,1995,152134
bdi,1996,154849
bdi,1997,156842
bdi,1998,158205
bdi,1999,159042
bdi,2000,159362
bdi,2001,161410
bdi,2002,163374
bdi,2003,165166
bdi,2004,166630
bdi,2005,167641
bdi,2006,171761
bdi,2007,175984
bdi,2008,180141
bdi,2009,183981
bdi,2010,187468
bdi,2011,191511
bdi,2012,195194
bdi,2013,199308
bdi,2014,204994
bdi,2015,212939
bdi,2016,223950
bdi,2017,236761
bdi,2018,251104
bdi,2019,266598
bdi,2020,283017
bel,1960,1086878
bel,1961,1104082
bel,1962,1122246
bel,1963,1144592
bel,1964,1169183
bel,1965,1193354
bel,1966,1220249
bel,1967,1245060
bel,1968,1266569
bel,1969,1284567
bel,1970,1297673
bel,1971,1318383
bel,1972,1337300
bel,1973,1351928
bel,1974,1364950
bel,1975,1376738
bel,1976,1395158
bel,1977,1412507
bel,1978,1425885
bel,1979,1430449
bel,1980,1424173
bel,1981,1417155
bel,1982,1398551
bel,1983,1376154
bel,1984,1360100
bel,1985,1356466
bel,1986,1371757
bel,1987,1397817
bel,1988,1432671
bel,1989,1466699
bel,1990,1494260
bel,1991,1525771
bel,1992,1552481
bel,1993,1575186
bel,1994,1595483
bel,1995,1614690
bel,1996,1639761
bel,1997,1664882
bel,1998,1688391
bel,1999,1709963
bel,2000,1729026
bel,2001,1749584
bel,2002,1769109
bel,2003,1785372
bel,2004,1798968
bel,2005,1811864
bel,2006,1826377
bel,2007,1837725
bel,2008,1848809
bel,2009,1864031
bel,2010,1888644
bel,2011,1924385
bel,2012,1954045
bel,2013,1984942
bel,2014,2015071
bel,2015,2045400
bel,2016,2081793
bel,2017,2113968
bel,2018,2147000
bel,2019,2183661
bel,2020,2222755
ben,1960,122101
ben,1961,122909
ben,1962,123214
ben,1963,123013
ben,1964,122341
ben,1965,121221
ben,1966,124635
ben,1967,127777
ben,1968,130649
ben,1969,133226
ben,1970,135503
ben,1971,138994
ben,1972,142206
ben,1973,145116
ben,1974,147683
ben,1975,149880
ben,1976,152987
ben,1977,155714
ben,1978,158120
ben,1979,160239
ben,1980,162100
ben,1981,164771
ben,1982,167206
ben,1983,169377
ben,1984,171255
ben,1985,172840
ben,1986,175873
ben,1987,178689
ben,1988,181375
ben,1989,184023
ben,1990,186704
ben,1991,190377
ben,1992,194143
ben,1993,197949
ben,1994,201716
ben,1995,205418
ben,1996,209207
ben,1997,212768
ben,1998,216242
ben,1999,219820
ben,2000,223645
ben,2001,228806
ben,2002,234015
ben,2003,239460
ben,2004,245385
ben,2005,251923
ben,2006,260803
ben,2007,270072
ben,2008,279457
ben,2009,288533
ben,2010,297126
ben,2011,306226
ben,2012,314861
ben,2013,323348
ben,2014,332090
ben,2015,341362
ben,2016,351768
ben,2017,362518
ben,2018,373678
ben,2019,385294
ben,2020,397455
bfa,1960,112601
bfa,1961,117133
bfa,1962,121236
bfa,1963,124933
bfa,1964,128272
bfa,1965,131303
bfa,1966,136947
bfa,1967,142254
bfa,1968,147169
bfa,1969,151650
bfa,1970,155697
bfa,1971,162080
bfa,1972,168076
bfa,1973,173678
bfa,1974,178868
bfa,1975,183632
bfa,1976,191136
bfa,1977,198141
bfa,1978,204699
bfa,1979,210887
bfa,1980,216755
bfa,1981,225252
bfa,1982,233680
bfa,1983,241917
bfa,1984,249793
bfa,1985,257209
bfa,1986,264811
bfa,1987,271873
bfa,1988,278352
bfa,1989,284160
bfa,1990,289258
bfa,1991,294660
bfa,1992,299155
bfa,1993,302842
bfa,1994,305754
bfa,1995,307953
bfa,1996,311807
bfa,1997,314859
bfa,1998,317280
bfa,1999,319258
bfa,2000,320945
bfa,2001,326145
bfa,2002,330967
bfa,2003,335522
bfa,2004,339971
bfa,2005,344384
bfa,2006,352985
bfa,2007,361488
bfa,2008,369784
bfa,2009,377679
bfa,2010,385123
bfa,2011,395809
bfa,2012,406148
bfa,2013,416228
bfa,2014,426159
bfa,2015,436081
bfa,2016,449327
bfa,2017,462294
bfa,2018,475414
bfa,2019,489194
bfa,2020,503984
bgd,1960,1293053
bgd,1961,1332406
bgd,1962,1370290
bgd,1963,1406720
bgd,1964,1442161
bgd,1965,1477662
bgd,1966,1545666
bgd,1967,1612060
bgd,1968,1674119
bgd,1969,1729538
bgd,1970,1778213
bgd,1971,1856671
bgd,1972,1928011
bgd,1973,1996189
bgd,1974,2065675
bgd,1975,2139721
bgd,1976,2212281
bgd,1977,2282039
bgd,1978,2347180
bgd,1979,2406462
bgd,1980,2459809
bgd,1981,2533040
bgd,1982,2598813
bgd,1983,2656744
bgd,1984,2707084
bgd,1985,2750989
bgd,1986,2852574
bgd,1987,2953038
bgd,1988,3051717
bgd,1989,3148077
bgd,1990,3242586
bgd,1991,3374674
bgd,1992,3504236
bgd,1993,3632573
bgd,1994,3761070
bgd,1995,3891607
bgd,1996,4089368
bgd,1997,4289355
bgd,1998,4493331
bgd,1999,4703182
bgd,2000,4920068
bgd,2001,5137215
bgd,2002,5350694
bgd,2003,5561582
bgd,2004,5772162
bgd,2005,5983904
bgd,2006,6220331
bgd,2007,6447200
bgd,2008,6661340
bgd,2009,6859810
bgd,2010,7042041
bgd,2011,7263483
bgd,2012,7476470
bgd,2013,7673014
bgd,2014,7840576
bgd,2015,7974315
bgd,2016,8113096
bgd,2017,8222961
bgd,2018,8324441
bgd,2019,8446365
bgd,2020,8608320
bgr,1960,595963
bgr,1961,611876
bgr,1962,629268
bgr,1963,648203
bgr,1964,668844
bgr,1965,690577
bgr,1966,713662
bgr,1967,737269
bgr,1968,762365
bgr,1969,789163
bgr,1970,816575
bgr,1971,843538
bgr,1972,869298
bgr,1973,895089
bgr,1974,922107
bgr,1975,947582
bgr,1976,975139
bgr,1977,1004167
bgr,1978,1026589
bgr,1979,1041759
bgr,1980,1049963
bgr,1981,1048747
bgr,1982,1037306
bgr,1983,1022284
bgr,1984,1013722
bgr,1985,1015069
bgr,1986,1037687
bgr,1987,1071143
bgr,1988,1109594
bgr,1989,1133355
bgr,1990,1146109
bgr,1991,1172228
bgr,1992,1194209
bgr,1993,1217233
bgr,1994,1244603
bgr,1995,1269847
bgr,1996,1295044
bgr,1997,1316568
bgr,1998,1333761
bgr,1999,1347306
bgr,2000,1355812
bgr,2001,1349941
bgr,2002,1335685
bgr,2003,1335392
bgr,2004,1332857
bgr,2005,1328891
bgr,2006,1328713
bgr,2007,1327263
bgr,2008,1326476
bgr,2009,1329454
bgr,2010,1337026
bgr,2011,1352979
bgr,2012,1374543
bgr,2013,1398483
bgr,2014,1420363
bgr,2015,1436950
bgr,2016,1456167
bgr,2017,1468797
bgr,2018,1476797
bgr,2019,1482556
bgr,2020,1488589
bhr,1960,4859
bhr,1961,4756
bhr,1962,4561
bhr,1963,4265
bhr,1964,3858
bhr,1965,3346
bhr,1966,3594
bhr,1967,3893
bhr,1968,4263
bhr,1969,4727
bhr,1970,5313
bhr,1971,5464
bhr,1972,5669
bhr,1973,5910
bhr,1974,6160
bhr,1975,6413
bhr,1976,6591
bhr,1977,6760
bhr,1978,6936
bhr,1979,7153
bhr,1980,7427
bhr,1981,8254
bhr,1982,9048
bhr,1983,9793
bhr,1984,10458
bhr,1985,11051
bhr,1986,10976
bhr,1987,10902
bhr,1988,10838
bhr,1989,10803
bhr,1990,10823
bhr,1991,11464
bhr,1992,12087
bhr,1993,12643
bhr,1994,13111
bhr,1995,13533
bhr,1996,14135
bhr,1997,14725
bhr,1998,15243
bhr,1999,15744
bhr,2000,16304
bhr,2001,16666
bhr,2002,17213
bhr,2003,17953
bhr,2004,18863
bhr,2005,19920
bhr,2006,20880
bhr,2007,22054
bhr,2008,23330
bhr,2009,24586
bhr,2010,25807
bhr,2011,27389
bhr,2012,28623
bhr,2013,29633
bhr,2014,30661
bhr,2015,31885
bhr,2016,33399
bhr,2017,35444
bhr,2018,38080
bhr,2019,41338
bhr,2020,45112
bhs,1960,4152
bhs,1961,4260
bhs,1962,4374
bhs,1963,4518
bhs,1964,4678
bhs,1965,4838
bhs,1966,4999
bhs,1967,5162
bhs,1968,5348
bhs,1969,5536
bhs,1970,5730
bhs,1971,6016
bhs,1972,6250
bhs,1973,6459
bhs,1974,6681
bhs,1975,6919
bhs,1976,7223
bhs,1977,7574
bhs,1978,7962
bhs,1979,8337
bhs,1980,8663
bhs,1981,8973
bhs,1982,9195
bhs,1983,9375
bhs,1984,9554
bhs,1985,9745
bhs,1986,9932
bhs,1987,10158
bhs,1988,10402
bhs,1989,10668
bhs,1990,10939
bhs,1991,11336
bhs,1992,11733
bhs,1993,12137
bhs,1994,12550
bhs,1995,12994
bhs,1996,13538
bhs,1997,14102
bhs,1998,14702
bhs,1999,15348
bhs,2000,16048
bhs,2001,16633
bhs,2002,17217
bhs,2003,17770
bhs,2004,18280
bhs,2005,18779
bhs,2006,19366
bhs,2007,19960
bhs,2008,20559
bhs,2009,21145
bhs,2010,21700
bhs,2011,22342
bhs,2012,22970
bhs,2013,23618
bhs,2014,24299
bhs,2015,25042
bhs,2016,25983
bhs,2017,26954
bhs,2018,27988
bhs,2019,29146
bhs,2020,30469
bih,1960,111050
bih,1961,116294
bih,1962,122272
bih,1963,128706
bih,1964,135166
bih,1965,141422
bih,1966,147564
bih,1967,153122
bih,1968,158340
bih,1969,163594
bih,1970,169188
bih,1971,178411
bih,1972,187517
bih,1973,196149
bih,1974,203937
bih,1975,210662
bih,1976,218902
bih,1977,226753
bih,1978,233737
bih,1979,239000
bih,1980,242162
bih,1981,242870
bih,1982,241540
bih,1983,239494
bih,1984,238548
bih,1985,239751
bih,1986,247200
bih,1987,257050
bih,1988,268759
bih,1989,281332
bih,1990,293911
bih,1991,307950
bih,1992,319974
bih,1993,330569
bih,1994,341135
bih,1995,353009
bih,1996,361281
bih,1997,371087
bih,1998,382742
bih,1999,396399
bih,2000,411706
bih,2001,432080
bih,2002,454933
bih,2003,477695
bih,2004,496419
bih,2005,508934
bih,2006,518111
bih,2007,520598
bih,2008,518984
bih,2009,517178
bih,2010,517271
bih,2011,513079
bih,2012,508937
bih,2013,504214
bih,2014,499495
bih,2015,496591
bih,2016,510596
bih,2017,527858
bih,2018,547462
bih,2019,567810
bih,2020,587783
blr,1960,684346
blr,1961,686231
blr,1962,688409
blr,1963,691805
blr,1964,697609
blr,1965,706469
blr,1966,725188
blr,1967,746812
blr,1968,770180
blr,1969,793405
blr,1970,815051
blr,1971,841985
blr,1972,865973
blr,1973,888758
blr,1974,912328
blr,1975,937070
blr,1976,961443
blr,1977,988387
blr,1978,1013918
blr,1979,1030715
blr,1980,1036684
blr,1981,1034783
blr,1982,1023078
blr,1983,1007525
blr,1984,996385
blr,1985,994320
blr,1986,1003166
blr,1987,1018573
blr,1988,1036211
blr,1989,1059583
blr,1990,1087384
blr,1991,1122584
blr,1992,1164605
blr,1993,1207818
blr,1994,1242485
blr,1995,1266975
blr,1996,1294220
blr,1997,1310198
blr,1998,1319914
blr,1999,1330512
blr,2000,1345147
blr,2001,1370047
blr,2002,1396164
blr,2003,1418420
blr,2004,1428959
blr,2005,1422996
blr,2006,1413833
blr,2007,1393167
blr,2008,1366377
blr,2009,1342021
blr,2010,1324337
blr,2011,1320461
blr,2012,1322879
blr,2013,1330832
blr,2014,1341970
blr,2015,1355092
blr,2016,1365082
blr,2017,1378659
blr,2018,1401202
blr,2019,1431882
blr,2020,1461415
blz,1960,3819
blz,1961,3958
blz,1962,4097
blz,1963,4241
blz,1964,4376
blz,1965,4509
blz,1966,4672
blz,1967,4825
blz,1968,4971
blz,1969,5107
blz,1970,5245
blz,1971,5432
blz,1972,5596
blz,1973,5758
blz,1974,5916
blz,1975,6080
blz,1976,6188
blz,1977,6289
blz,1978,6375
blz,1979,6439
blz,1980,6473
blz,1981,6583
blz,1982,6678
blz,1983,6755
blz,1984,6830
blz,1985,6898
blz,1986,7032
blz,1987,7182
blz,1988,7359
blz,1989,7544
blz,1990,7746
blz,1991,8013
blz,1992,8300
blz,1993,8624
blz,1994,8984
blz,1995,9368
blz,1996,9389
blz,1997,9426
blz,1998,9490
blz,1999,9574
blz,2000,9664
blz,2001,9768
blz,2002,9840
blz,2003,9877
blz,2004,9890
blz,2005,9866
blz,2006,10395
blz,2007,10970
blz,2008,11602
blz,2009,12324
blz,2010,13153
blz,2011,13633
blz,2012,14147
blz,2013,14692
blz,2014,15290
blz,2015,15942
blz,2016,16617
blz,2017,17345
blz,2018,18144
blz,2019,19000
blz,2020,19915
bol,1960,165769
bol,1961,166680
bol,1962,167042
bol,1963,167017
bol,1964,166782
bol,1965,166455
bol,1966,168571
bol,1967,170598
bol,1968,172573
bol,1969,174530
bol,1970,176509
bol,1971,180681
bol,1972,184805
bol,1973,188926
bol,1974,193118
bol,1975,197427
bol,1976,203807
bol,1977,210325
bol,1978,216787
bol,1979,222925
bol,1980,228596
bol,1981,236827
bol,1982,245024
bol,1983,253390
bol,1984,262165
bol,1985,271494
bol,1986,280134
bol,1987,288937
bol,1988,298144
bol,1989,308066
bol,1990,318870
bol,1991,329548
bol,1992,340901
bol,1993,352632
bol,1994,364288
bol,1995,375630
bol,1996,388856
bol,1997,401985
bol,1998,415084
bol,1999,428228
bol,2000,441513
bol,2001,455714
bol,2002,470014
bol,2003,484829
bol,2004,500665
bol,2005,517863
bol,2006,535262
bol,2007,553758
bol,2008,573262
bol,2009,593596
bol,2010,614689
bol,2011,637569
bol,2012,660866
bol,2013,684685
bol,2014,709149
bol,2015,734374
bol,2016,761265
bol,2017,788635
bol,2018,816512
bol,2019,844904
bol,2020,873984
bra,1960,2274016
bra,1961,2375110
bra,1962,2479626
bra,1963,2584474
bra,1964,2685354
bra,1965,2780334
bra,1966,2879334
bra,1967,2974485
bra,1968,3068523
bra,1969,3165050
bra,1970,3266681
bra,1971,3388608
bra,1972,3511604
bra,1973,3636475
bra,1974,3763905
bra,1975,3894175
bra,1976,4042747
bra,1977,4190662
bra,1978,4337413
bra,1979,4481392
bra,1980,4622119
bra,1981,4774427
bra,1982,4922578
bra,1983,5068953
bra,1984,5217391
bra,1985,5371564
bra,1986,5556044
bra,1987,5743088
bra,1988,5935230
bra,1989,6136539
bra,1990,6350158
bra,1991,6621851
bra,1992,6899681
bra,1993,7178458
bra,1994,7450408
bra,1995,7712265
bra,1996,8001762
bra,1997,8279757
bra,1998,8558083
bra,1999,8853204
bra,2000,9175089
bra,2001,9545668
bra,2002,9945711
bra,2003,10362428
bra,2004,10776051
bra,2005,11177826
bra,2006,11600894
bra,2007,12011084
bra,2008,12425104
bra,2009,12866239
bra,2010,13349254
bra,2011,13887044
bra,2012,14453960
bra,2013,15055724
bra,2014,15697744
bra,2015,16384411
bra,2016,17115012
bra,2017,17885123
bra,2018,18690608
bra,2019,19525474
bra,2020,20389282
brb,1960,15771
brb,1961,16013
brb,1962,16210
brb,1963,16404
brb,1964,16643
