geo,time,gc_dod_totl_cn
gtm,1993,8751540000
gtm,1994,9827920000
gtm,1995,9712120000
gtm,1996,10733540000
gtm,1997,12238470000
gtm,1998,13989950000
gtm,1999,18223410000
gtm,2000,25432090000
gtm,2001,29316940000
gtm,2002,29890850000
gtm,2003,36046350000
gtm,2004,41489170000
gtm,2005,44168320000
gtm,2006,50280500000
gtm,2007,56633300000
gtm,2008,59333900000
gtm,2009,70885400000
gtm,2010,81340700000
gtm,2011,89646000000
gtm,2012,95962200000
gtm,2013,104970000000
gtm,2014,105781000000
gtm,2015,112211600000
gtm,2016,115404600000
hun,1991,1850000000000
hun,1992,2309000000000
hun,1993,3176600000000
hun,1994,3780800000000
hun,1995,5018928000000
hun,1996,5329180000000
hun,1997,5924644000000
hun,1998,6665961000000
hun,1999,7725659000000
hun,2000,8101658000000
hun,2001,9087857000000
hun,2002,10236056000000
hun,2003,11359117000000
hun,2004,13217888000000
hun,2005,14635740000000
hun,2006,16527536000000
hun,2007,17643496000000
hun,2008,19593061000000
hun,2009,21227454000000
hun,2010,22045671000000
hun,2011,25525264000000
hun,2012,27013343000000
hun,2013,28462145000000
hun,2014,31995288000000
hun,2015,33299616000000
hun,2016,34527404000000
idn,1990,89469000000000
idn,1991,91607000000000
idn,1992,110995000000000
idn,1993,123658000000000
idn,1994,139780000000000
idn,1995,140010000000000
idn,1996,127407000000000
idn,1997,454987300000000
idn,1998,527615000000000
idn,1999,497166300000000
idn,2002,587069900000000
idn,2003,598411660000000
idn,2008,1693690000000000
idn,2009,1681710000000000
idn,2010,1796080000000000
idn,2011,1947370000000000
idn,2012,2156890000000000
idn,2013,2652100000000000
idn,2014,2898383597986100
idn,2015,3493530747415080
idn,2016,3889949813238980
ind,1990,2925670000000
ind,1991,3311970000000
ind,1992,3781690000000
ind,1993,4534120000000
ind,1994,5096160000000
ind,1995,5725510000000
ind,1996,6377560000000
ind,1997,7782940000000
ind,1998,8918060000000
ind,1999,10210310000000
ind,2000,11770280000000
ind,2001,13664080000000
ind,2002,15591990000000
ind,2003,17366760000000
ind,2004,19944200000000
ind,2005,22601450000000
ind,2006,25385980000000
ind,2007,28166100000000
ind,2008,31591800000000
ind,2009,35178500000000
ind,2010,39387700000000
ind,2011,45041500000000
ind,2012,50394300000000
ind,2013,56517900000000
irl,1998,48266000000
irl,1999,45599000000
irl,2000,42163000000
irl,2001,42752000000
irl,2002,45897000000
irl,2003,47203000000
irl,2004,48270000000
irl,2005,52398000000
irl,2006,50027000000
irl,2007,53192000000
irl,2008,87890000000
irl,2009,113452000000
irl,2010,138551000000
irl,2011,192132000000
irl,2012,227798000000
irl,2013,236396000000
irl,2014,236301000000
irl,2015,232665000000
irl,2016,230468000000
irq,2015,53326799369478
irq,2016,58045493579438.29688
isl,1990,112783900000
isl,1991,127655800000
isl,1992,153412200000
isl,1993,181029900000
isl,1994,197106100000
isl,1995,213574700000
isl,1996,225676600000
isl,1997,367470815000
isl,1998,381213031000
isl,1999,384358746000
isl,2000,413376377000
isl,2001,483647512111
isl,2002,480875710140
isl,2003,477333912555
isl,2004,468516818863
isl,2005,404280094398
isl,2006,518383642000
isl,2007,562037452217
isl,2008,1227326820820.02002
isl,2009,1577587489000
isl,2010,1713201398030
isl,2011,1922042258070
isl,2012,1997640744365.59009
isl,2016,1831531468007
isr,1990,165199000000
isr,1991,190499000000
isr,1992,222990000000
isr,1993,252818000000
isr,1994,282795000000
isr,1995,315416000000
isr,1996,360707000000
isr,1997,384924000000
isr,1998,432659000000
isr,1999,443534000000
ita,1991,570279971284.99597
ita,1992,650913870482.93896
jam,1990,45771510000
jam,1991,115834720000
jam,1992,100338220000
jam,1993,152276250000
jam,1994,170770820000
jam,1995,193843450000
jam,1996,198301930000
jam,1997,219183090000
jam,1998,262302970000
jam,1999,308687830000
jam,2000,380640700000
jam,2001,497082690000
jam,2002,601263260000
jam,2003,693886820000
jam,2004,759696660000
jam,2005,847351300000
jam,2006,923154150000
jam,2007,1000675510000
jam,2008,1200322360000
jam,2009,1434755830000
jam,2010,1570368250000
jam,2011,1662273430000
jam,2012,1812635360000
jam,2013,1946005010000
jam,2014,2041693750000
jam,2015,2068759180000
jam,2016,2159937054848.86011
jor,1990,3556150000
jor,1991,3845390000
jor,1992,5509510000
jor,1993,4879180000
jor,1994,5073900000
jor,1995,4953400000
jor,1996,5217800000
jor,1997,5157100000
jor,1998,5675580000
jor,1999,5772860000
jor,2000,5621440000
jor,2001,5779930000
jor,2002,5779930000
jor,2003,6427640000
jor,2004,7202700000
jor,2005,7136000000
jor,2006,7753000000
jor,2007,8487000000
jor,2008,8854700000
jor,2009,10317500000
jor,2010,11514900000
jor,2011,12665700000
jor,2012,14678100000
jor,2013,18034800000
jor,2014,20331400000
jor,2016,20979900000
jpn,1990,239932000000000
jpn,1991,187605000000000
jpn,1992,196194000000000
jpn,1993,212474000000000
jpn,1994,281080200000000
jpn,1995,316420300000000
jpn,1996,349657700000000
jpn,1997,396027500000000
jpn,1998,430609500000000
jpn,1999,478060500000000
jpn,2000,529133500000000
jpn,2001,546233400000000
jpn,2002,586171700000000
jpn,2003,639264300000000
jpn,2004,676599500000000
jpn,2005,683797700000000
jpn,2006,689311300000000
jpn,2007,713622200000000
jpn,2008,731154800000000
jpn,2009,777692900000000
jpn,2010,812056400000000
jpn,2011,874515200000000
jpn,2012,920746200000000
jpn,2013,950405500000000
jpn,2014,999119100000000
jpn,2015,1048211200000000
jpn,2016,1052768100000000
kaz,2010,2077483667000
kaz,2011,2485758642000
kaz,2012,3256009599000
kaz,2013,3902524410000
kaz,2014,5017790536000
kaz,2015,7893874198000
kaz,2016,7876721720000
kgz,2014,215931300000
kgz,2015,311917800000
kgz,2016,288054200000
kna,2002,1028600000
kna,2003,1169900000
kna,2004,1243100000
kna,2005,1364000000
kna,2006,1473000000
kna,2007,1806100000
kna,2008,1941900000
kna,2009,2106310000
kna,2010,2205100000
kna,2011,2325390000
kna,2012,2158600000
kna,2013,1585100000
kna,2014,1482430000
kor,1990,14927000000000
kor,1991,24837000000000
kor,1992,27737000000000
kor,1993,28998000000000
kor,1994,30466000000000
kor,1995,31537000000000
kor,1996,33687000000000
kor,1997,47045000000000
kor,2012,466726000000000
kor,2013,524234000000000
kor,2014,570473174969116
kor,2015,621640877442310
kor,2016,662636705078292
lbn,1997,23500400000000
lbn,1998,27968200000000
lbn,1999,33733600000000
lbr,2011,521100000
lbr,2012,567200000
lca,2000,777500000
lca,2001,965700000
lca,2002,1215800000
lca,2003,1293500000
lca,2004,1428000000
lca,2005,1595400000
lca,2006,1616200000
lca,2007,1634100000
lca,2008,1616200000
lca,2009,1642200000
lca,2010,1835400000
lca,2011,2109000000
lca,2012,2389180000
lca,2013,2558690000
lca,2014,2728520000
lka,1990,310781000000
lka,1991,366698000000
lka,1992,405558000000
lka,1993,483568000000
lka,1994,549292000000
lka,1995,632045000000
lka,1996,709320000000
lka,1997,766577000000
lka,1998,908001000000
lka,1999,1051861000000
lka,2000,1218700000000
lka,2001,1452706000000
lka,2002,1669284000000
lka,2003,1863851000000
lka,2004,2139527000000
lka,2005,2222341000000
lka,2006,2606594000000
lka,2007,3041685000000
lka,2009,4161422000000
lka,2010,4591245000000
lka,2011,5133370000000
lka,2012,6000110000000
lka,2013,6793249000000
lka,2014,7390899000000
lka,2015,8503200000000
lux,1990,266783011.36096
lux,1991,229127984.94791
lux,1992,324319098.46083
lux,1993,396257799.35002
lva,1994,325225809.75635
mar,1990,216905000000
mar,1991,174469000000
mar,1992,204177000000
mar,1993,218192000000
mar,1994,228795000000
mar,1995,227973000000
mar,1997,240420000000
mar,1998,245676000000
mar,1999,251507000000
mar,2002,251507000000
mar,2005,327568000000
mar,2006,330882000000
mar,2007,329823000000
mar,2008,325806000000
mar,2009,355556600000
mar,2010,399864000000
mar,2011,456190140000
mda,1995,2438230000
mda,1996,3128630000
mda,1997,4287900000
mda,1998,7556100000
mda,1999,9598300000
mda,2000,11697300000
mda,2001,11578500000
mda,2002,13434100000
mda,2003,14509300000
mda,2004,16642000000
mda,2005,12208700000
mda,2006,13058900000
mda,2007,12416900000
mda,2008,11604400000
mda,2009,16698100000
mda,2010,18922400000
mda,2011,19524100000
mda,2012,21462200000
mda,2013,23808500000
mda,2014,27799600000
mda,2015,31001100000
mda,2016,51276800000
mdv,1990,632300000
mdv,1991,891400000
mdv,1992,1253000000
mdv,1993,1609200000
mdv,1994,1823600000
mdv,1995,2223700000
mdv,1996,2281300000
mdv,1997,2373000000
mdv,1998,2605500000
mdv,1999,2782900000
mdv,2000,3002900000
mdv,2001,3326400000
mdv,2002,3856900000
mdv,2003,4087600000
mdv,2004,4282800000
mdv,2005,5052100000
mdv,2006,5956200000
mdv,2007,6979510000
mdv,2008,8822900000
mdv,2009,13867200000
mdv,2010,18182800000
mdv,2011,23212090000
mex,1990,342615000000
mex,1991,361235000000
mex,1992,316355000000
mex,1993,317871000000
mex,1994,501585000000
mex,1995,750262000000
mex,1996,785977000000
mex,1997,818227000000
mex,1998,1069946000000
mex,1999,1175528000000
mex,2000,1276451000000
mhl,2008,95710533
mhl,2009,98381733
mhl,2010,105290775
mhl,2011,91834479
mhl,2012,88889072
mhl,2013,78952216
mhl,2014,92113070
mhl,2015,87231711
mhl,2016,98046732.6
mlt,1990,884597589.48649
mlt,1991,1095993787.03537
mlt,1992,1276895974.56821
mlt,1993,1607718001.37918
mlt,1994,1842608694.18952
mng,1992,11575000000
mng,1993,94353000000
mng,1994,196533000000
mng,1995,241503000000
mng,1996,365158000000
mng,1997,509635000000
mng,1998,676717000000
mng,1999,906723000000
mng,2000,959889000000
mng,2001,961785000000
mng,2003,1750889111118.79004
mng,2006,2033694686031.78003
mng,2007,2156836068429.9895
mng,2009,3921898031056.18945
mus,1990,15638100000
mus,1991,17853200000
mus,1992,16035500000
mus,1993,17407600000
mus,1994,19914600000
mus,1995,23089100000
mus,1996,28373700000
mus,1997,31587300000
mus,1998,33609000000
mus,1999,34363000000
mus,2000,39315000000
mus,2001,40580000000
mus,2002,57757400000
mus,2003,72604500000
mus,2004,70668900000
mus,2005,79797100000
mus,2006,84755000000
mus,2007,88541500000
mus,2008,95790400000
mus,2009,106655700000
mus,2010,113289300000
mus,2011,117447200000
mus,2012,128016200000
mwi,2009,255844462575.99496
mwi,2010,293569316030.82001
mwi,2011,343575939491.56799
mwi,2012,622024773095.60095
mwi,2013,729170600000
mwi,2014,1044137600000
mwi,2015,1259062000000
mwi,2016,2151680949747.65991
mwi,2017,2239858619962.68945
mys,1990,94713000000
mys,1991,99072000000
mys,1992,97005000000
mys,1993,95898000000
mys,1994,93078000000
mys,1995,91369000000
mys,2002,164963000000
mys,2003,188767000000
mys,2004,216624000000
mys,2005,228670000000
mys,2006,242225054000
mys,2007,266722336000
mys,2008,306437414000
mys,2009,362386171000
mys,2010,407101237000
mys,2011,456128000000
mys,2012,501617000000
mys,2013,539857800000
mys,2014,582828241000
mys,2015,630540000000
mys,2016,648474726000
nam,2008,11914279117
nam,2009,11890066105.9677
nam,2010,13996409141.1144
nam,2011,20819977430.1875
nam,2012,22081084621
nam,2013,28556238105.7347
nam,2014,32020735194.5286
nld,1990,144152361245.354
nld,1991,153622754355.15601
nld,1992,162457855162.431
nld,1993,168447754014.82001
nld,1994,170008757958.17099
nor,1990,148825000000
nor,1991,146911000000
nor,1992,181668000000
nor,1993,269971000000
nor,1994,275920000000
npl,1990,54418100000
npl,1991,80361000000
npl,1992,94159000000
npl,1993,111877000000
npl,1994,132598000000
npl,1995,145058000000
npl,1996,162286000000
npl,1997,167978000000
npl,1998,199615000000
npl,1999,219136000000
npl,2000,245048000000
npl,2001,260448000000
npl,2002,293747000000
npl,2003,308078500000
npl,2004,318913000000
npl,2005,305106900000
npl,2006,324994508000
npl,2007,312810300000
npl,2008,357258100000
npl,2010,403903349000
nzl,2002,44307444000
nzl,2003,69715479000
nzl,2004,67801195000
nzl,2005,71969027000
nzl,2006,73880000000
nzl,2007,69023000000
nzl,2008,68368000000
nzl,2009,62080848000
nzl,2010,70995968000
nzl,2011,103155820000
nzl,2012,112725180000
nzl,2013,108314847000
nzl,2014,107122329000
nzl,2015,110530258000
nzl,2016,114479465000
pak,1990,674248000000
pak,1991,776583000000
pak,1992,902828000000
pak,1993,1058682000000
pak,1998,2117616000000
pak,2000,2832571000000
per,1990,10346000000
per,1991,20895000000
per,1992,36042000000
per,1993,48926000000
per,1994,54703000000
per,2006,94452608806.4734
per,2007,91204635384.11868
per,2008,91976143421.0656
per,2009,96084103292.75999
per,2010,98701917217.2308
per,2011,98016777293.63548
per,2012,97645803874.41821
per,2013,99983975659.92488
per,2014,110266771987.379
per,2015,136468511203.603
per,2016,150150489072.36301
phl,1990,552641000000
phl,1991,620238000000
phl,1992,713260000000
phl,1993,989822000000
phl,1994,955093000000
phl,1995,1163845000000
phl,1996,1155237000000
phl,1997,1350574000000
phl,1998,1775356000000
phl,1999,1768694000000
phl,2000,2166710000000
phl,2001,2384919000000
phl,2002,2815468000000
phl,2003,3355108000000
phl,2004,3811954000000
phl,2005,3888231000000
phl,2006,3851506000000
phl,2007,3712487000000
phl,2008,4220903000000
phl,2009,4396639000000
phl,2010,4718171000000
phl,2011,4951188000000
phl,2012,5437104000000
phl,2013,5681153000000
phl,2014,5735242000000
plw,2008,46769372
plw,2009,45481901
plw,2010,60899132
plw,2011,50703087
plw,2012,57924828
plw,2013,51346466
plw,2014,52870917
plw,2015,177991821
plw,2016,202718309
png,1990,1505900000
png,1991,1680600000
png,1992,1894620000
png,1993,2157400000
png,1994,2961200000
png,1995,3324200000
png,1996,3780800000
png,1997,4418000000
png,1998,5177700000
png,1999,5609200000
png,2000,5621600000
png,2001,7097300000
png,2002,8127900000
png,2014,15365100000
png,2015,17966880000
pol,1994,152238000000
prt,1993,6283855907.2635
prt,1994,4669745912.35123
rus,1998,3785316000000
rus,1999,4859125000000
rus,2000,4540378000000
rus,2001,4380890000000
rus,2002,4478706000000
rus,2005,3600374600000
rus,2006,2662400000000
rus,2007,2380000000000
rus,2008,2681050000000
rus,2009,3375400000000
rus,2010,4213200000000
rus,2011,5194500000000
rus,2012,5823800000000
rus,2013,6617800000000
rus,2014,8851724551740.40039
rus,2015,11250670224079.30078
rus,2016,12193222000000
rwa,1990,106297000000
rwa,1991,114512000000
rwa,1992,131613000000
sgp,1990,54882000000
sgp,1991,62031000000
sgp,1992,69535000000
sgp,1993,71366000000
sgp,1994,79106000000
sgp,1995,90585000000
sgp,1996,98758000000
sgp,1997,106088000000
sgp,1998,118509000000
sgp,1999,128498000000
sgp,2000,138870000000
sgp,2001,151130000000
sgp,2002,176191000000
sgp,2003,184731000000
sgp,2004,197892000000
sgp,2005,202016000000
sgp,2006,195628000000
sgp,2007,210730000000
sgp,2008,264107000000
sgp,2009,300390000000
sgp,2010,331720600000
sgp,2011,368181500000
sgp,2012,397638200000
sgp,2013,382740000000
sgp,2014,397391200000
sgp,2015,437506000000
sgp,2016,480707296111.59998
slb,2011,1132179884.38
slb,2012,1010570901.49152
slb,2013,948875912.31441
slb,2014,858979631.76183
slb,2015,697458792.77293
slb,2016,686326347.94808
slv,1998,2696210000
slv,1999,3181090000
slv,2000,3226290000
slv,2001,4344400000
slv,2002,7908400000
slv,2003,7669700000
slv,2004,7754600000
slv,2005,8262600000
slv,2006,8081900000
slv,2007,8247700000
slv,2008,8710500000
slv,2009,10234800000
slv,2010,10606500000
slv,2011,11067351860.26
slv,2013,13722200000
slv,2014,11486057983.75
slv,2015,12018755226.09
slv,2016,12595426766.26
smr,1995,29700000000
smr,2002,154728162
smr,2003,343015643.6
smr,2004,440223241.89
smr,2005,564955793.18
smr,2006,726514954.88
smr,2007,757791833.31
smr,2008,765831916.32
smr,2009,689789530.84
smr,2010,780059670.9
smr,2011,584126762.26
smr,2012,639709346.27
smr,2013,682850891.3
smr,2015,728308709.33
smr,2016,760475441.97
svn,1993,1264813887.49791
svn,1994,1431313637.12235
syc,2008,16183269201.4966
syc,2009,11584387623.6164
syc,2010,8820117326.27988
syc,2011,10403900000
syc,2012,11345700000
syc,2013,8255589015
syc,2014,11784224932.45
syc,2015,11616521354
tha,1990,402815000000
tha,1991,335026000000
tha,1992,307975000000
tha,1993,267152000000
tha,1994,210028000000
tha,1995,194436000000
tha,1996,170399000000
tha,1997,218630000000
tha,1998,501649000000
tha,1999,958242000000
tha,2000,1113565000000
tha,2001,1313712200000
tha,2002,1734932660000
tha,2003,1708578930000
tha,2004,1696594440000
tha,2005,1938486520000
tha,2006,2048132380000
tha,2007,2086956260000
tha,2008,2179226650000
tha,2009,2586513290000
tha,2010,2907482392592
tha,2011,3180856116261
tha,2012,3515010840000
tha,2013,4492130130000
tha,2014,5235051790000
tha,2015,4847864050000
ton,2013,383147251
ton,2014,378478931
ton,2015,434560045
ton,2016,460835620
tto,2006,19483500000
tto,2007,21813800000
tun,1990,5923800000
tun,1991,7298200000
tun,1992,7606600000
tun,1993,8696600000
tun,1994,9335600000
tun,1995,9807900000
tun,1996,10543000000
tun,1997,13062900000
tun,1998,13476800000
tun,1999,15142500000
tun,2000,16695000000
tun,2001,17926500000
tun,2002,18403100000
tun,2003,19462800000
tun,2004,20909700000
tun,2005,21949000000
tun,2006,22221000000
tun,2007,22829200000
tun,2008,23926500000
tun,2009,25190000000
tun,2010,25639600000
tun,2011,28779500000
tun,2012,31420100000
tur,1990,118883000
tur,1991,202456000
tur,1992,371934000
tur,1993,667854000
tur,1994,1702786000
tur,1995,2782173000
tur,1996,5601695000
tur,1997,12772361000
tur,1998,21796818000
tur,2008,413292000000
tur,2009,504323000000
tur,2010,550223000000
tur,2011,590702000000
tur,2012,616672000000
tur,2013,595730000000
tur,2014,645312129880.53601
tur,2015,683048720324.16602
tur,2016,831394045789.17603
ukr,1999,79538900000
ukr,2000,77020400000
ukr,2008,131084900000
ukr,2009,227195700000
ukr,2010,323475200000
ukr,2011,357273400000
ukr,2012,473417000000
ukr,2013,542544000000
ukr,2014,1010314500000
ukr,2015,1397127900000
ukr,2016,1712921200000
ury,1990,3436000000
ury,1991,5560000000
ury,1992,9195000000
ury,1993,12936000000
ury,1994,21621000000
ury,2001,113131963341.564
ury,2002,275546335197.38599
ury,2003,358829372154.96399
ury,2004,335594169650.77002
ury,2005,323500495430.65198
ury,2006,325354219500.172
ury,2007,321505955867.89203
ury,2008,364213459976.396
ury,2009,352069489708.10797
ury,2010,357354146236.48401
ury,2011,420115955322.64496
ury,2012,451921292968.60693
ury,2013,503629000000
