geo,time,sl_tlf_acti_1524_ne_zs
bel,2019,30.98
bel,2020,28.43
ben,1975,73.61
ben,1979,50.1
ben,1986,52.75
ben,1992,66.26
ben,2001,45.34
ben,2002,58.12
ben,2003,53.91
ben,2010,40.58
ben,2011,43.04
ben,2018,32.75
bfa,1985,82.2
bfa,1991,79.01
bfa,2006,65.94
bfa,2014,51.64
bfa,2018,25.54
bgd,1961,50.66
bgd,1974,40.38
bgd,1981,37.9
bgd,1984,42.37
bgd,1985,42.97
bgd,1986,43.28
bgd,1989,67.99
bgd,1991,69.22
bgd,1996,62.63
bgd,2000,61.95
bgd,2003,51.61
bgd,2006,46.62
bgd,2010,46.47
bgd,2013,45.42
bgd,2016,38.04
bgd,2017,40.46
bgr,1965,52.71
bgr,1975,51.43
bgr,1992,47.13
bgr,1997,31.1
bgr,2000,30.68
bgr,2001,34.66
bgr,2002,31.84
bgr,2003,29.23
bgr,2004,29.5
bgr,2005,27.87
bgr,2006,28.87
bgr,2007,28.89
bgr,2008,30.13
bgr,2009,29.54
bgr,2010,31.16
bgr,2011,29.45
bgr,2012,30.43
bgr,2013,29.64
bgr,2014,27.21
bgr,2015,25.96
bgr,2016,23.89
bgr,2017,26.3
bgr,2018,23.69
bgr,2019,23.91
bgr,2020,21.89
bhr,1971,37.67
bhr,1981,44.48
bhr,1985,35.13
bhr,1987,35.33
bhr,1991,43.3
bhr,2001,41.54
bhr,2004,38.98
bhr,2010,41.02
bhr,2011,39.34
bhr,2015,43.14
bhs,1963,70.95
bhs,1970,65.89
bhs,1980,57.94
bhs,1990,57.73
bhs,1994,57.77
bhs,1998,54.84
bih,2006,33.09
bih,2007,33.06
bih,2008,32.85
bih,2009,32.27
bih,2010,32.69
bih,2011,31.2
bih,2012,29.25
bih,2013,28.12
bih,2014,29
bih,2015,32.1
bih,2016,30.21
bih,2017,32.19
bih,2018,32.11
bih,2019,34.88
bih,2020,33.18
blr,1989,54.01
blr,1999,44.74
blr,2009,48.2
blr,2020,44.76
blz,1960,51.73
blz,1970,14.42
blz,1994,46.77
blz,2012,53.18
blz,2013,46.02
blz,2014,47.94
blz,2015,46.13
blz,2016,46.37
blz,2017,46.93
blz,2019,54.03
bmu,1970,68.07
bmu,1976,88.03
bmu,1980,71.52
bmu,1991,55.36
bmu,2000,50.41
bol,1976,45.36
bol,1980,46.62
bol,1981,46.38
bol,1982,46.17
bol,1985,44.66
bol,1986,45
bol,1987,44.97
bol,1990,44.76
bol,1992,49.45
bol,1995,45.41
bol,1996,44.1
bol,1997,52.76
bol,1999,53.67
bol,2000,51.6
bol,2005,49.31
bol,2006,54.78
bol,2008,51.08
bol,2009,50.8
bol,2011,52.6
bol,2012,44.87
bol,2013,46.09
bol,2014,51.41
bol,2015,44.08
bol,2016,43.54
bol,2017,44.54
bol,2018,49.61
bol,2019,49.08
bol,2020,49.7
bra,1960,51.24
bra,1970,49.53
bra,1973,61.94
bra,1980,55.33
bra,1985,63.78
bra,1986,63.99
bra,1987,64.84
bra,1988,64.28
bra,1989,64.07
bra,1990,63.95
bra,1991,63.95
bra,1992,67.19
bra,1993,66.38
bra,1995,63.65
bra,1996,61.27
bra,1997,61.77
bra,1998,61.79
bra,1999,62.03
bra,2001,61.42
bra,2002,62.54
bra,2003,62.29
bra,2004,63.5
bra,2005,64.92
bra,2006,63.43
bra,2007,63.16
bra,2008,62.7
bra,2009,62.29
bra,2011,58.74
bra,2012,57.07
bra,2013,55.93
bra,2014,55.09
bra,2015,54.92
bra,2016,55.16
bra,2017,56
bra,2018,56.11
bra,2019,56.99
bra,2020,51.19
brb,1970,64.41
brb,1980,67.31
brb,1983,63.53
brb,1986,60.51
brb,1987,61.28
brb,1988,62.77
brb,1989,66.51
brb,1990,65.07
brb,1991,60.62
brb,1992,62.14
brb,1994,62.89
brb,1995,64.65
brb,1996,64.35
brb,1997,61.86
brb,2003,57.06
brb,2004,57.66
brb,2011,52.96
brb,2012,47.17
brb,2013,47.2
brb,2014,46.32
brb,2015,42.4
brb,2016,43.77
brb,2017,41.37
brb,2018,44.2
brb,2019,44.4
brn,1960,42.9
brn,1971,40.01
brn,1978,44.54
brn,1981,49.38
brn,1986,43.88
brn,1991,47.03
brn,2001,49.25
brn,2014,36.41
brn,2017,39.29
brn,2018,40.66
brn,2019,39.82
brn,2020,41.9
btn,2005,47.71
btn,2006,40.6
btn,2009,48.6
btn,2010,40.38
btn,2011,37.97
btn,2012,32.31
btn,2014,26.91
btn,2015,29.62
bwa,1981,59.36
bwa,1985,61.33
bwa,1991,45.61
bwa,1994,46
bwa,1996,34.39
bwa,1998,41.2
bwa,2000,38.93
bwa,2001,37.63
bwa,2006,41.79
bwa,2009,39.34
bwa,2010,38.43
bwa,2013,46.2
bwa,2019,34.28
bwa,2020,35.82
caf,1988,64.27
can,1961,51.58
can,1971,57.34
can,1976,63.55
can,1977,64.62
can,1978,65.63
can,1979,67.43
can,1980,68.56
can,1981,69.25
can,1982,67.32
can,1983,67.61
can,1984,67.97
can,1985,68.6
can,1986,69.74
can,1987,70.31
can,1988,70.59
can,1989,71.16
can,1990,69.92
can,1991,68.13
can,1992,66.16
can,1993,64.43
can,1994,63.92
can,1995,63.16
can,1996,62.24
can,1997,61.47
can,1998,61.81
can,1999,63.46
can,2000,64.39
can,2001,64.66
can,2002,66.53
can,2003,67.33
can,2004,66.84
can,2005,65.87
can,2006,66.24
can,2007,66.98
can,2008,67.34
can,2009,65.34
can,2010,64.49
can,2011,64.52
can,2012,63.51
can,2013,63.83
can,2014,64.2
can,2015,64.24
can,2016,63.73
can,2017,63.91
can,2018,63.34
can,2019,64.58
can,2020,61.74
can,2021,63.82
che,1960,73.37
che,1970,70.72
che,1980,66.95
che,1990,69.15
che,1991,71.61
che,1992,70.75
che,1993,72.5
che,1994,67.98
che,1995,66.19
che,1996,67.84
che,1997,67.28
che,1998,67.43
che,1999,68.97
che,2000,68.42
che,2001,67.77
che,2002,69.26
che,2003,69.35
che,2004,67.06
che,2005,65.66
che,2006,68.62
che,2007,67.41
che,2008,67.13
che,2009,67.3
che,2010,68.11
che,2011,68.54
che,2012,67.58
che,2013,68.01
che,2014,67.9
che,2015,67.52
che,2016,68.35
che,2017,68.67
che,2018,67.99
che,2019,66.48
che,2020,65.02
chl,1960,50.63
chl,1970,42.86
chl,1980,38.54
chl,1981,37.77
chl,1982,38.68
chl,1983,37.38
chl,1984,38.89
chl,1985,40.74
chl,1986,39.44
chl,1988,39.27
chl,1989,38.86
chl,1990,39
chl,1991,37.69
chl,1992,38.62
chl,1993,41.18
chl,1994,41.68
chl,1995,39.08
chl,1996,43.6
chl,1997,42.95
chl,1998,41.35
chl,1999,40.36
chl,2000,38.56
chl,2001,37.06
chl,2002,36.31
chl,2003,36.08
chl,2004,36.35
chl,2005,36.2
chl,2006,36.62
chl,2007,37.15
chl,2008,39.54
chl,2009,38.43
chl,2010,37.7
chl,2011,38.6
chl,2012,37.32
chl,2013,36.52
chl,2014,36.24
chl,2015,35.98
chl,2016,34.73
chl,2017,34.2
chl,2018,33.66
chl,2019,31.63
chl,2020,26.2
chn,1982,82.84
chn,1990,78.29
chn,2000,67.92
chn,2010,57.38
civ,1988,55.58
civ,1998,51.57
civ,2012,50.99
civ,2013,50.87
civ,2016,36.19
civ,2017,29.25
cmr,1976,49.69
cmr,1980,53.38
cmr,1982,51.48
cmr,1985,48.09
cmr,1996,47.6
cmr,2001,49.3
cmr,2007,67.21
cmr,2010,56.92
cmr,2014,48.52
cod,2005,45.17
cod,2012,35.94
cog,1974,44.52
cog,1984,29.21
cog,2005,42.5
cog,2009,52.07
col,1964,48.88
col,1973,45.49
col,1985,36.79
col,1993,43.74
col,2001,57.13
col,2002,57.4
col,2003,57.71
col,2004,54.8
col,2005,53.21
col,2007,47.95
col,2008,47.64
col,2009,51.47
col,2010,52.84
col,2011,54.08
col,2012,55.44
col,2013,54.3
col,2014,54.28
col,2015,54.58
col,2016,53.55
col,2017,53.14
col,2018,52.66
col,2019,50.8
col,2020,46.09
com,1980,39.38
com,2004,15.71
com,2014,14.68
cpv,1980,30.31
cpv,1990,63.5
cpv,2015,45.37
cpv,2017,35.78
cpv,2018,32.6
cpv,2019,31.79
cri,1963,52.75
cri,1973,45.66
cri,1984,45.49
cri,1990,54.87
cri,1991,53.49
cri,1992,51.75
cri,1993,53.17
cri,1994,52.4
cri,1995,53.26
cri,1996,49.34
cri,1997,50.83
cri,1998,53.6
cri,1999,51.25
cri,2000,50.38
cri,2001,51.86
cri,2002,50.12
cri,2003,51.2
cri,2004,48.21
cri,2005,49.13
cri,2006,49.76
cri,2007,51.91
cri,2008,49.72
cri,2009,47.69
cri,2010,44.65
cri,2011,43.31
cri,2012,47.97
cri,2013,47.42
cri,2014,47.74
cri,2015,45.48
cri,2016,42.28
cri,2017,42.39
cri,2018,45.22
cri,2019,44.99
cri,2020,43.6
cub,1970,44.6
cub,1981,37.25
cub,2008,38.46
cym,1960,63.46
cym,1989,73.75
cym,1991,73.64
cym,2005,53.69
cym,2006,56.29
cym,2007,54.59
cym,2008,57.8
cym,2011,52.37
cym,2012,58.13
cym,2013,55.15
cym,2014,48.29
cym,2015,55.39
cyp,1960,59.85
cyp,1976,42.99
cyp,1988,57.94
cyp,1989,62.41
cyp,1990,61.76
cyp,1991,62.42
cyp,1992,51.7
cyp,1995,55.06
cyp,2000,40.84
cyp,2001,42.45
cyp,2002,39.74
cyp,2003,41.16
cyp,2004,40.89
cyp,2005,42.59
cyp,2006,41.51
cyp,2007,41.66
cyp,2008,41.73
cyp,2009,40.35
cyp,2010,40.55
cyp,2011,38.84
cyp,2012,38.94
cyp,2013,38.39
cyp,2014,40.32
cyp,2015,37.9
cyp,2016,37.19
cyp,2017,36.63
cyp,2018,39.2
cyp,2019,38.82
cyp,2020,38.29
cze,1991,58.12
cze,1993,51.25
cze,1994,52.02
cze,1995,50.56
cze,1996,49.34
cze,1997,45.88
cze,1998,46.35
cze,1999,45.9
cze,2000,43.88
cze,2001,41.05
cze,2002,38.32
cze,2003,35.83
cze,2004,34.55
cze,2005,33.99
cze,2006,33.54
cze,2007,31.92
cze,2008,31.14
cze,2009,31.84
cze,2010,30.88
cze,2011,29.93
cze,2012,31.3
cze,2013,31.55
cze,2014,32.2
cze,2015,32.48
cze,2016,31.98
cze,2017,31.65
cze,2018,30.41
cze,2019,29.71
cze,2020,27.3
deu,1983,50.41
deu,1984,57.17
deu,1985,58.33
deu,1986,59.3
deu,1987,59.46
deu,1988,60.58
deu,1989,59.52
deu,1990,60.67
deu,1991,60.46
deu,1992,58.3
deu,1993,56.22
deu,1994,54.91
deu,1995,52.46
deu,1996,50.38
deu,1997,49.67
deu,1998,50
deu,1999,50.76
deu,2000,50.41
deu,2001,50.39
deu,2002,50.01
deu,2003,49.46
deu,2004,47.46
deu,2005,49.63
deu,2006,50.45
deu,2007,51.54
deu,2008,52.16
deu,2009,51.76
deu,2010,51.28
deu,2011,52.41
deu,2012,50.7
deu,2013,50.85
deu,2014,49.92
deu,2015,48.82
deu,2016,49.22
deu,2017,49.86
deu,2018,50.28
deu,2019,51.44
deu,2020,51.9
dji,2017,14.78
dma,1981,58.45
dma,1989,57.14
dma,1997,58.63
dma,1999,56.67
dma,2001,43.16
dnk,1960,72.83
dnk,1965,70.08
dnk,1970,64.13
dnk,1974,61.89
dnk,1976,61.31
dnk,1977,61.58
dnk,1978,61.54
dnk,1979,60.97
dnk,1981,68.92
dnk,1983,65.27
dnk,1984,74.07
dnk,1985,75.59
dnk,1986,75.22
dnk,1987,75.56
dnk,1988,75.97
dnk,1989,75.34
dnk,1990,73.48
dnk,1991,73.16
dnk,1992,72.01
dnk,1993,70.53
dnk,1994,69.1
dnk,1995,73.21
dnk,1996,73.76
dnk,1997,74.24
dnk,1998,71.56
dnk,1999,73.34
dnk,2000,71.89
dnk,2001,67.21
dnk,2002,68.82
dnk,2003,65.87
dnk,2004,66.43
dnk,2005,68.14
dnk,2006,69.94
dnk,2007,70.61
dnk,2008,69.08
dnk,2009,67.86
dnk,2010,63.97
dnk,2011,63.36
dnk,2012,60.99
dnk,2013,58.12
dnk,2014,58.27
dnk,2015,58.45
dnk,2016,59.54
dnk,2017,60.38
dnk,2018,60.07
dnk,2019,61.13
dnk,2020,60.22
dom,1960,44.04
dom,1970,45.06
dom,1979,43.46
dom,1981,41.81
dom,1991,60.6
dom,1992,66.6
dom,1993,44.89
dom,1994,55.2
dom,1996,53.39
dom,1997,54.93
dom,1998,52.19
dom,2000,45.23
dom,2001,43.71
dom,2002,43.92
dom,2003,41.17
dom,2004,41.78
dom,2005,41.17
dom,2006,41.09
dom,2007,41.56
dom,2008,42
dom,2009,37.42
dom,2010,38.57
dom,2011,40.54
dom,2012,41.18
dom,2013,41.05
dom,2014,40.87
dom,2015,44.05
dom,2016,44.72
dom,2017,43.6
dom,2018,44.67
dom,2019,45.25
dom,2020,39.17
dza,1966,38.55
dza,1975,39.07
dza,1977,29.05
dza,1985,26.92
dza,1987,34.56
dza,1996,40.69
dza,2009,28.25
dza,2010,28.19
dza,2011,26.78
dza,2014,25.29
dza,2015,25.19
dza,2016,24.61
dza,2017,19.5
ecu,1962,52.69
ecu,1974,45.2
ecu,1980,50.92
ecu,1981,50.64
ecu,1982,39.22
ecu,1988,45.46
ecu,1989,45.34
ecu,1990,43.88
ecu,1996,47.96
ecu,1997,47.8
ecu,1998,52.43
ecu,2000,51.82
ecu,2001,59.22
ecu,2002,49.98
ecu,2003,52.73
ecu,2004,54.03
ecu,2005,52.48
ecu,2006,54.34
ecu,2007,50.9
ecu,2008,50.78
ecu,2009,47.66
ecu,2010,44.69
ecu,2011,41.75
ecu,2012,43
ecu,2013,41.11
ecu,2014,40.15
ecu,2015,42.78
ecu,2016,44.81
ecu,2017,45.24
ecu,2018,44
ecu,2019,43.96
ecu,2020,39.75
egy,1960,43.42
egy,1973,31.67
egy,1975,31.32
egy,1976,35.28
egy,1977,30.93
egy,1978,31.78
egy,1979,30.8
egy,1980,30.44
egy,1983,37.78
egy,1984,36.43
egy,1986,35.76
egy,1989,35.7
egy,1990,33.24
egy,1991,30.43
egy,1992,31.84
egy,1993,32.65
egy,1994,33.28
egy,1995,33.54
egy,1998,30.32
egy,1999,34.03
egy,2001,28.21
egy,2002,29.9
egy,2005,36.27
egy,2006,33.76
egy,2007,33.64
egy,2008,35.49
egy,2009,35.35
egy,2010,34.73
egy,2011,33.48
egy,2012,33.57
egy,2013,34.46
egy,2014,33.79
egy,2015,32.03
egy,2016,31.36
egy,2017,28.96
egy,2018,24.46
egy,2019,22.8
egy,2020,22.71
esp,1960,54.77
esp,1970,55.85
esp,1977,56.34
esp,1978,55.47
esp,1979,54.42
esp,1980,53.39
esp,1981,52.75
esp,1982,52.45
esp,1983,51.72
esp,1984,51.53
esp,1985,50.26
esp,1986,46.6
esp,1987,49.4
esp,1988,49.68
esp,1989,47.62
esp,1990,47.04
esp,1991,45.36
esp,1992,44.51
esp,1993,43.05
esp,1994,43.24
esp,1995,41.57
esp,1996,40.58
esp,1997,40.77
esp,1998,41.06
esp,1999,42.02
esp,2000,43.11
esp,2001,42.38
esp,2002,43.63
esp,2003,44.38
esp,2004,44.88
esp,2005,47.92
esp,2006,48.17
esp,2007,47.89
esp,2008,47.7
esp,2009,45.04
esp,2010,42.66
esp,2011,40.92
esp,2012,39.03
esp,2013,37.77
esp,2014,35.71
esp,2015,34.72
esp,2016,33.05
esp,2017,33.33
esp,2018,32.98
esp,2019,32.99
esp,2020,29.91
est,1989,53.31
est,1990,52.58
est,1991,51.84
est,1992,50.92
est,1993,50.53
est,1994,53.25
est,1995,49.13
est,1996,46.94
est,1997,44.27
est,1998,40.98
est,1999,37.02
est,2000,37.51
est,2001,36.25
est,2002,31.85
est,2003,39.42
est,2004,39.88
est,2005,36.2
est,2006,35.73
est,2007,37.94
est,2008,40.84
est,2009,39.04
est,2010,37.77
est,2011,40.04
est,2012,40.78
est,2013,39.81
est,2014,39.2
est,2015,41.76
est,2016,43.27
est,2017,46.08
est,2018,47.33
est,2019,44.65
est,2020,43
eth,1994,72.95
eth,1999,62.92
eth,2005,75.53
eth,2013,74.9
fin,1960,60.86
fin,1970,55.03
fin,1976,45.14
fin,1979,52.83
fin,1980,23.71
fin,1981,53.79
fin,1982,57.96
fin,1984,58.27
fin,1990,60.62
fin,1991,57.14
fin,1992,52.34
fin,1993,49.69
fin,1994,46.28
fin,1995,49.63
fin,1996,47.45
fin,1997,48.44
fin,1998,49.75
fin,1999,63.02
fin,2000,63.33
fin,2001,62.9
fin,2002,62.35
fin,2003,61.39
fin,2004,59.76
fin,2005,50.67
fin,2006,51.8
fin,2007,53.42
fin,2008,53.47
fin,2009,50.44
fin,2010,49.38
fin,2011,50.52
fin,2012,51.6
fin,2013,51.83
fin,2014,52.06
fin,2015,52.21
fin,2016,52.19
fin,2017,53.24
fin,2018,53.08
fin,2019,53.89
fin,2020,52.22
fji,1966,45.66
fji,1976,45.29
fji,1982,50.04
fji,1986,49.87
fji,1996,44.38
fji,2005,36.85
fji,2011,38.86
fji,2014,38.07
fji,2016,39.42
fra,1962,48.33
fra,1968,51.07
fra,1975,46.1
fra,1979,47.59
fra,1980,47.05
fra,1981,46.12
fra,1982,46.28
fra,1983,53.22
fra,1984,52.02
fra,1985,51.41
fra,1986,51.28
fra,1987,49.58
fra,1988,46.42
fra,1989,45.25
fra,1990,44.57
fra,1991,39.91
fra,1992,39.48
fra,1993,38.03
fra,1994,36.39
fra,1995,35.49
fra,1996,34.96
fra,1997,33.91
fra,1998,33.95
fra,1999,35.81
fra,2000,35.48
fra,2001,35.75
fra,2002,36.89
fra,2003,37.14
fra,2004,36.7
fra,2005,38.07
fra,2006,38.08
fra,2007,38.42
fra,2008,38.49
fra,2009,39.56
fra,2010,38.91
fra,2011,37.93
fra,2012,37.41
fra,2013,37.38
fra,2014,36.46
fra,2015,37.2
fra,2016,37.05
fra,2017,36.9
fra,2018,37.52
fra,2019,36.8
fra,2020,35.65
fro,1960,80.69
fro,1966,26.45
fro,1970,66.58
fro,1977,58.32
fsm,2014,40.75
gab,1993,34.87
gab,2010,18.26
gbm,1971,69.67
gbm,1976,60.32
gbm,1981,64.92
gbm,1991,63.15
gbm,1996,56.34
gbm,2001,58.58
gbm,2006,52.19
gbm,2011,55.49
gbm,2016,55.44
gbr,1961,75.39
gbr,1966,72.21
gbr,1971,67.12
gbr,1981,62.83
gbr,1983,64.31
gbr,1984,66.21
gbr,1985,69.59
gbr,1986,69.77
gbr,1987,70.76
gbr,1988,71.12
gbr,1989,72.65
gbr,1990,71.79
gbr,1991,70.12
gbr,1992,67.9
gbr,1993,66.01
gbr,1994,64.63
gbr,1995,63.65
gbr,1996,64.39
gbr,1997,64.31
gbr,1998,63.85
gbr,1999,63.01
gbr,2000,63.41
gbr,2001,61.89
gbr,2002,62.39
gbr,2003,61.18
gbr,2004,61.56
gbr,2005,62.22
gbr,2006,62.31
gbr,2007,61.39
gbr,2008,61.24
gbr,2009,59.22
gbr,2010,58.44
gbr,2011,58.21
gbr,2012,58.64
gbr,2013,58.32
gbr,2014,57.81
gbr,2015,58.52
gbr,2016,58.34
gbr,2017,57.48
gbr,2018,57.09
gbr,2019,56.64
geo,1999,37.16
geo,2000,37.05
geo,2001,36.38
geo,2002,34.78
geo,2003,38.22
geo,2004,32.21
geo,2005,33.81
geo,2006,30.7
geo,2007,31.2
geo,2008,36.16
geo,2009,38.52
geo,2010,39.44
geo,2011,41.23
geo,2012,41.7
geo,2013,40.75
geo,2014,41.45
geo,2015,42.37
geo,2016,39.88
geo,2017,44.44
geo,2018,40.44
geo,2019,38.08
geo,2020,34.65
gha,1960,63.89
gha,1970,54.87
gha,1989,41.7
gha,1991,59.15
gha,1992,46.7
gha,1998,68.14
gha,1999,68.1
gha,2000,53.68
gha,2006,31.68
gha,2010,44.27
gha,2013,53.91
gha,2015,43.43
gha,2017,31.9
gib,1970,74.54
gib,1981,69.88
gin,1983,51.31
gin,2002,47.21
gin,2019,26.49
gmb,1983,66.36
gmb,1993,40.65
gmb,2012,41.39
gmb,2018,17.2
gnb,1979,32.07
gnb,2018,35.27
gnq,1983,63.04
grc,1961,55.08
grc,1971,39.89
grc,1981,31.7
grc,1982,31.71
grc,1983,42.71
grc,1984,41.51
grc,1985,40.56
grc,1986,38.92
grc,1987,38.2
grc,1988,39.2
grc,1989,39.91
grc,1990,39.44
grc,1991,38.51
grc,1992,37.88
grc,1993,37.51
grc,1994,36.95
grc,1995,36.71
grc,1996,36.94
grc,1997,35.5
grc,1998,40.32
grc,1999,39.73
grc,2000,38.73
grc,2001,36.38
grc,2002,36.24
grc,2003,34.93
grc,2004,37.27
grc,2005,33.69
grc,2006,32.19
grc,2007,30.98
grc,2008,30.05
grc,2009,30.66
grc,2010,30.02
grc,2011,29.12
grc,2012,29.12
grc,2013,28.38
grc,2014,28.02
grc,2015,25.97
grc,2016,24.65
grc,2017,25.05
grc,2018,23.27
grc,2019,22.47
grc,2020,21.21
grd,1988,62.59
grd,1998,60.5
grl,1960,23.83
grl,1970,74.5
grl,1976,48.41
gtm,1964,50.76
gtm,1973,47.58
gtm,1978,42.22
gtm,1979,46.8
gtm,1980,49.3
gtm,1981,43.18
gtm,1985,45.03
gtm,1987,54.01
gtm,1989,53.49
gtm,1994,44.69
gtm,1999,52.55
gtm,2003,62.94
gtm,2004,55.11
gtm,2006,59.13
gtm,2010,51.03
gtm,2011,53.26
gtm,2012,57.92
gtm,2013,49.84
gtm,2014,51.61
gtm,2015,52.24
gtm,2016,52.52
gtm,2017,52.48
gtm,2018,52.41
gtm,2019,51.41
gum,1960,54.83
gum,1970,62.5
gum,1980,58.92
gum,1983,38.27
gum,1986,46.61
gum,1988,48.13
gum,1990,66.92
gum,2002,43.6
gum,2004,47.1
gum,2005,51.4
gum,2006,51.7
gum,2007,44.8
gum,2009,44.4
gum,2011,46.1
guy,1980,52.66
guy,1987,53.15
guy,1993,51.46
guy,2002,48.83
guy,2018,48.65
guy,2019,43.81
hkg,1961,62.78
hkg,1966,60.65
hkg,1971,65.15
hkg,1975,65.01
hkg,1976,66.48
hkg,1979,61.14
hkg,1980,63.3
hkg,1981,66.32
hkg,1982,63.74
hkg,1983,65.22
hkg,1984,65.91
hkg,1985,62.38
hkg,1986,62.68
hkg,1987,61.12
hkg,1988,59.71
hkg,1989,57.95
hkg,1990,56.77
hkg,1991,56.1
hkg,1992,54.65
hkg,1993,53.69
hkg,1994,52.46
hkg,1995,50.27
hkg,1996,50.25
hkg,1997,49.49
hkg,1998,49.28
hkg,1999,47.5
hkg,2000,45.6
hkg,2001,44.92
hkg,2002,44.86
hkg,2003,44.43
hkg,2004,44.29
hkg,2005,43.87
hkg,2006,42.89
hkg,2007,42.71
hkg,2008,40.7
hkg,2009,39.22
hkg,2010,36.05
hkg,2011,36.39
hkg,2012,36.95
hkg,2013,38.87
hkg,2014,38.51
hkg,2015,40.24
hkg,2016,40.68
hkg,2017,39.78
hkg,2018,40.16
hkg,2019,40.2
hkg,2020,36.53
hnd,1974,47.88
