geo,time,fb_cbk_dptr_p3
wsm,2009,708.92
wsm,2010,713.73
wsm,2011,804.93
wsm,2012,868.56
wsm,2013,983.84
wsm,2014,948.64
wsm,2015,949.21
wsm,2016,951.56
wsm,2017,1020.11
wsm,2018,1113.71
wsm,2019,1164.18
wsm,2020,1345
yem,2004,56.06
yem,2005,66.12
yem,2006,75.07
yem,2007,76.75
yem,2008,85.76
yem,2009,104.47
yem,2010,85.29
yem,2011,88.01
yem,2012,114.9
yem,2013,114.77
yem,2014,118.54
yem,2015,113.32
zmb,2004,12.77
zmb,2005,16.43
zmb,2006,21.98
zmb,2007,24.63
zmb,2008,27.32
zmb,2009,26.87
zmb,2010,133.07
zmb,2011,150.84
zmb,2012,189.04
zmb,2013,258.21
zmb,2014,288.98
zmb,2015,305.9
zmb,2016,317.85
zmb,2017,331.94
zmb,2018,297.14
zmb,2019,233.05
zmb,2020,216.34
zwe,2004,518.42
zwe,2005,518.35
zwe,2006,514.22
zwe,2007,200.65
zwe,2008,218.14
zwe,2009,93.98
zwe,2010,167.4
zwe,2011,83.82
zwe,2012,90.27
zwe,2013,89.04
zwe,2014,100.24
zwe,2015,93.02
zwe,2016,287.25
zwe,2017,466.68
zwe,2018,517.12
zwe,2019,641.01
zwe,2020,501.78
