geo,time,nv_mnf_fbto_zs_un
cyp,1972,31.91957
cyp,1973,30.83731
cyp,1974,34.57811
cyp,1975,30.387
cyp,1976,27.98271
cyp,1977,25.6963
cyp,1978,23.39806
cyp,1979,22.23954
cyp,1980,28.20141
cyp,1981,27.8053
cyp,1982,28.02887
cyp,1983,28.49427
cyp,1984,28.51052
cyp,1985,27.52474
cyp,1986,29.0352
cyp,1987,28.15897
cyp,1988,27.09676
cyp,1989,27.55522
cyp,1990,27.18207
cyp,1991,26.86093
cyp,1992,29.33203
cyp,1993,30.23066
cyp,1994,31.44361
cyp,1995,32.07418
cyp,1996,32.95745
cyp,1997,34.22614
cyp,1998,35.49626
cyp,1999,36.52492
cyp,2000,36.82497
cyp,2001,38.32298
cyp,2002,38.59898
cyp,2003,38.95099
cyp,2004,39.45721
cyp,2005,39.43383
cyp,2006,33.59325
cyp,2007,31.24545
cyp,2008,33.40817
cyp,2009,36.89934
cyp,2010,37.42958
cyp,2011,36.65964
cyp,2012,39.03607
cyp,2013,42.18963
cyp,2014,40.61283
cyp,2015,39.1154
cyp,2016,39.70371
cyp,2017,36.60058
cyp,2018,35.16699
cyp,2019,35.16699
cze,1996,14.16736
cze,1997,13.79908
cze,1998,12.58381
cze,1999,13.72329
cze,2000,11.79532
cze,2001,11.34457
cze,2002,12.62923
cze,2003,11.80526
cze,2004,10.9813
cze,2005,10.2072
cze,2006,9.12959
cze,2007,8.81857
cze,2008,8.99338
cze,2009,10.74289
cze,2010,9.3363
cze,2011,8.78643
cze,2012,8.67476
cze,2013,8.2856
cze,2014,7.58014
cze,2015,7.42132
cze,2016,7.80639
cze,2017,7.51906
cze,2018,7.7099
cze,2019,7.73788
deu,1998,7.6478
deu,1999,8.7785
deu,2000,8.15024
deu,2001,8.3987
deu,2002,8.61302
deu,2003,8.57538
deu,2004,8.54908
deu,2005,8.04504
deu,2006,7.57241
deu,2007,7.31335
deu,2008,7.53165
deu,2009,8.91299
deu,2010,7.77523
deu,2011,7.33136
deu,2012,7.49946
deu,2013,7.5922
deu,2014,7.31486
deu,2015,7.49108
deu,2016,7.56214
deu,2017,7.48472
deu,2018,7.79368
deu,2019,7.79369
dnk,1963,17.78553
dnk,1964,17.77778
dnk,1965,17.00377
dnk,1966,20.85396
dnk,1967,21.12269
dnk,1968,20.64244
dnk,1969,19.71001
dnk,1970,20.12245
dnk,1971,20.68834
dnk,1972,20.31565
dnk,1973,21.07065
dnk,1974,20.2934
dnk,1975,22.25124
dnk,1976,21.6186
dnk,1977,24.12965
dnk,1978,23.9215
dnk,1979,23.67596
dnk,1980,23.64825
dnk,1981,25.02077
dnk,1982,24.67069
dnk,1983,24.43659
dnk,1984,24.02694
dnk,1985,22.98176
dnk,1986,22.54194
dnk,1987,22.49287
dnk,1988,22.67597
dnk,1989,22.68337
dnk,1990,21.88969
dnk,1991,23.3889
dnk,1992,22.55611
dnk,1993,23.83223
dnk,1994,23.53382
dnk,1995,19.77325
dnk,1996,19.90808
dnk,1997,19.59373
dnk,1998,19.16498
dnk,1999,18.68099
dnk,2000,18.41731
dnk,2001,18.68282
dnk,2002,19.0592
dnk,2003,19.48079
dnk,2004,19.28844
dnk,2005,18.38466
dnk,2006,16.61381
dnk,2007,15.86702
dnk,2009,16.85844
dnk,2010,17.44582
dnk,2011,15.41398
dnk,2012,14.97992
dnk,2013,14.65871
dnk,2014,14.79694
dnk,2015,14.12932
dnk,2016,13.39466
dnk,2017,12.62176
dnk,2018,11.62283
dnk,2019,11.68612
dom,1963,77.31465
dom,1964,76.06961
dom,1965,76.39041
dom,1966,74.53395
dom,1967,73.55453
dom,1968,71.64495
dom,1969,73.93854
dom,1970,73.71353
dom,1971,72.09529
dom,1972,71.70416
dom,1973,68.62925
dom,1974,71.35677
dom,1975,76.2875
dom,1976,73.67621
dom,1977,70.97775
dom,1978,69.88882
dom,1979,69.06862
dom,1980,65.50912
dom,1981,67.45169
dom,1982,61.5781
dom,1983,60.56475
dom,1984,58.75638
dza,1967,42.06426
dza,1968,38.74895
dza,1969,35.45716
dza,1970,31.75876
dza,1971,34.03519
dza,1972,33.52259
dza,1973,32.0494
dza,1974,26.53956
dza,1975,27.0751
dza,1976,25.83688
dza,1977,24.63035
dza,1978,26.27803
dza,1979,27.59131
dza,1980,26.51456
dza,1981,25.83907
dza,1982,26.08205
dza,1983,22.59564
dza,1984,19.17722
dza,1985,18.35831
dza,1986,20.44914
dza,1987,24.06111
dza,1988,23.82165
dza,1989,19.31755
dza,1990,12.76797
dza,1991,7.93117
dza,1992,18.52043
dza,1993,24.10466
dza,1994,30.62974
dza,1995,39.18982
dza,1996,33.13724
dza,2007,47.41043
dza,2008,46.58177
dza,2009,45.00012
dza,2010,42.77738
dza,2011,4.97003
dza,2012,5.55498
dza,2013,6.07364
dza,2014,7.10803
dza,2015,10.6181
dza,2016,10.6181
dza,2017,10.6181
ecu,1963,49.89233
