geo,time,sh_sta_bfed_zs
khm,2006,60
khm,2008,65.9
khm,2010,73.5
khm,2011,72.8
khm,2014,65.2
kir,1993,80
kir,2009,66.4
kna,1998,55.6
kwt,1996,11.9
lao,2000,18.8
lao,2006,26.7
lao,2012,39.7
lao,2017,44.4
lbn,2000,26.6
lbn,2009,14.8
lbr,1986,12.6
lbr,2000,35.4
lbr,2007,27.8
lbr,2010,34
lbr,2013,54.6
lca,2012,3.5
lka,1987,10.2
lka,1993,17.1
lka,2000,52.6
lka,2007,75.8
lka,2016,82
lso,1996,16.3
lso,2000,14.2
lso,2005,36.4
lso,2009,52.9
lso,2014,66.9
mar,1987,36.7
mar,1992,54.5
mar,1995,24.8
mar,1997,66
mar,2004,31
mar,2011,27.8
mar,2017,35
mda,2005,43.6
mda,2012,36.4
mdg,1992,49.4
mdg,1997,47.9
mdg,2000,40.7
mdg,2004,67.2
mdg,2009,50.1
mdg,2013,41.9
mdv,2001,10.4
mdv,2009,45.3
mdv,2017,63
mex,1987,27.9
mex,1999,20.3
mex,2009,18.63
mex,2012,14.4
mex,2015,30.1
mhl,1991,63
mhl,2007,27.3
mhl,2017,43.1
mkd,1999,36.6
mkd,2003,99
mkd,2006,16.2
mkd,2011,23
mli,1987,7
mli,1996,8.4
mli,2001,25.1
mli,2006,33.4
mli,2010,20.2
mli,2013,33.8
mli,2015,31.5
mli,2017,37.3
mli,2018,40.4
mmr,2000,10.5
mmr,2003,14.7
mmr,2010,23.6
mmr,2016,51.2
mne,2005,19
mne,2006,19.3
mne,2013,16.8
mng,2000,47.8
mng,2005,56.7
mng,2010,65.7
mng,2013,46
mng,2014,47.1
mng,2016,59.2
moz,1997,30.3
moz,2003,28.7
moz,2008,36.7
moz,2011,40
moz,2013,41
mrt,2001,20.2
mrt,2007,11.2
mrt,2008,15.9
mrt,2009,34.7
mrt,2010,45.9
mrt,2011,26.7
mrt,2015,41.1
mrt,2018,40.3
mus,1991,16
mus,2002,21
mwi,2000,44
mwi,2004,52.8
mwi,2005,52.3
mwi,2006,56.7
mwi,2010,70.8
mwi,2014,69
mwi,2016,59.4
mys,1996,29
mys,2016,40.3
nam,1992,17.1
nam,2000,16.6
nam,2006,23.9
nam,2007,22.1
nam,2013,48.3
ncl,2006,30.6
ner,1992,2
ner,1996,1.2
ner,1998,0.8
ner,2000,1.1
ner,2006,8.5
ner,2007,9
ner,2008,4.4
ner,2009,9.9
ner,2010,26.9
ner,2012,23.3
nga,1990,1.7
nga,2000,15.4
nga,2003,15.6
nga,2007,11.5
nga,2008,12.5
nga,2011,14.7
nga,2013,16.9
nga,2017,23.3
nga,2018,28.7
nic,1998,21.9
nic,2001,30.9
nic,2007,30.6
nic,2012,31.7
npl,1996,74.8
npl,2001,68.3
npl,2006,53.2
npl,2011,69.6
npl,2014,56.7
npl,2016,66.1
npl,2017,65.2
nru,2007,67.2
omn,2014,32.8
omn,2017,23.2
pak,1991,33.2
pak,1995,16
pak,2007,37
pak,2013,37.7
pak,2018,47.5
pan,1996,25
pan,2013,21.5
per,1986,28
per,1992,48
per,1996,53
per,2000,66.6
per,2004,63.9
per,2006,63.3
per,2007,68.7
per,2008,66.5
per,2009,68.3
per,2010,68.3
per,2011,70.1
per,2012,67.4
per,2013,72.3
per,2014,66.6
per,2015,62.7
per,2016,66
per,2017,64.2
per,2018,66.4
phl,1993,28.9
phl,1998,37.5
phl,2003,34
phl,2008,33
phl,2011,27
plw,1995,59
png,1996,58.8
png,1997,58.8
png,2007,56.1
prk,2002,70
prk,2004,65.1
prk,2012,68.9
prk,2017,71.4
pry,1990,8.7
pry,1996,7
pry,2004,21.9
pry,2008,24.4
pry,2016,29.6
pse,2000,28.8
pse,2006,27
pse,2007,24.8
pse,2010,28.7
pse,2014,38.1
qat,1998,11.7
qat,2012,29.3
rou,2004,15.8
rwa,1992,85.3
rwa,2000,83
rwa,2005,88.4
rwa,2010,84.9
rwa,2011,83.8
rwa,2015,86.9
sau,1996,31
sdn,2000,15.6
sdn,2006,34
sdn,2010,41
sdn,2014,54.6
sen,1986,4.6
sen,1993,5
sen,1997,10.7
sen,2000,24
sen,2005,30.9
sen,2011,39
sen,2013,37.5
sen,2014,32.4
sen,2015,33.3
sen,2016,36.4
sen,2017,42.1
slb,2000,65
slb,2007,73.7
slb,2015,76.2
sle,2000,2.8
sle,2005,8.4
sle,2008,10.4
sle,2010,31.2
sle,2013,31.4
sle,2017,47.2
slv,1993,14.9
slv,1998,15.6
slv,2003,24
slv,2008,31.4
slv,2014,46.7
som,1999,9
som,2000,9
som,2006,9.1
som,2009,5.3
srb,2005,15.1
srb,2006,14.5
srb,2010,13.4
srb,2014,12.8
ssd,2010,44.5
stp,2000,53.1
stp,2006,60.4
stp,2009,50.3
stp,2014,71.7
sur,2000,4.7
sur,2006,1.7
sur,2010,2.8
swz,2000,22
swz,2007,31.9
swz,2008,32.7
swz,2010,43.8
swz,2014,63.8
syr,2000,81
syr,2006,28.5
syr,2009,42.6
tcd,1997,1.9
tcd,2000,10.1
tcd,2004,2
tcd,2010,3.2
tcd,2014,0.3
tcd,2015,0.1
tgo,1988,13.2
tgo,1998,10.5
tgo,2000,17.4
tgo,2006,28.6
tgo,2008,48.1
tgo,2010,62.1
tgo,2014,57.2
tha,1987,5.3
tha,1995,3.6
tha,2005,5.4
tha,2006,5.4
tha,2009,15.1
tha,2012,12.3
tha,2013,12.3
tha,2016,23
tjk,2000,14.2
tjk,2003,50
tjk,2005,24.9
tjk,2012,32.6
tjk,2017,35.8
tkm,2000,12.1
tkm,2006,10.9
tkm,2016,58.3
tls,2002,44
tls,2003,30.7
tls,2010,50.8
tls,2013,62.3
tls,2016,50.2
ton,1999,62
ton,2012,52.2
tto,2000,2.3
tto,2006,11.7
tto,2011,21.5
tun,1988,18
tun,2000,46.5
tun,2006,6.2
tun,2012,8.5
tun,2018,13.5
tur,1993,10.7
tur,1998,7.1
tur,2003,20.8
tur,2004,20.8
tur,2008,41.6
tur,2014,30.1
tuv,2007,34.7
tza,1992,25.5
tza,1996,29
tza,1999,31.8
tza,2004,41.3
tza,2005,41.3
tza,2010,48.7
tza,2014,41.1
tza,2016,59
uga,1989,67.6
uga,1995,57.4
uga,2001,62.5
uga,2006,59
uga,2011,62.3
uga,2016,65.5
ukr,2000,22.2
ukr,2005,6
ukr,2007,16.1
ukr,2012,19.7
ury,2003,54.1
ury,2007,57.1
ury,2011,65.2
usa,2010,23.3
usa,2012,25.5
usa,2014,26.4
usa,2016,34.7
uzb,1996,2.5
uzb,2000,13.4
uzb,2002,18.9
uzb,2006,23.8
ven,1998,7.1
vnm,1997,15.7
vnm,2000,22
vnm,2002,15.5
vnm,2006,16.1
vnm,2011,17
vnm,2014,24
vut,1996,50
vut,2007,39.5
vut,2013,72.6
wsm,2009,51.3
wsm,2014,70.3
yem,1992,13.1
yem,1997,17.8
yem,2003,11.5
yem,2013,9.7
zaf,1998,6.9
zaf,2003,8.3
zaf,2004,8.3
zaf,2016,31.6
zmb,1992,10.2
zmb,1997,18.8
zmb,1999,18.5
zmb,2002,39.7
zmb,2007,59.9
zmb,2014,72
zmb,2018,69.9
zwe,1988,8.9
zwe,1994,11.3
zwe,1999,31.7
zwe,2005,22.2
zwe,2006,21.7
zwe,2009,25.9
zwe,2011,31.3
zwe,2014,40.3
zwe,2015,47.1
