geo,time,sp_dyn_le00_fe_in
afg,2010,62.459
afg,2011,63
afg,2012,63.514
afg,2013,63.999
afg,2014,64.453
afg,2015,64.877
afg,2016,65.275
afg,2017,65.656
afg,2018,66.026
afg,2019,66.388
afg,2020,66.744
ago,1960,38.763
ago,1961,39.069
ago,1962,39.391
ago,1963,39.727
ago,1964,40.075
ago,1965,40.433
ago,1966,40.801
ago,1967,41.175
ago,1968,41.554
ago,1969,41.934
ago,1970,42.314
ago,1971,42.693
ago,1972,43.073
ago,1973,43.449
ago,1974,43.82
ago,1975,44.181
ago,1976,44.531
ago,1977,44.866
ago,1978,45.183
ago,1979,45.48
ago,1980,45.754
ago,1981,46.005
ago,1982,46.231
ago,1983,46.434
ago,1984,46.612
ago,1985,46.762
ago,1986,46.878
ago,1987,46.962
ago,1988,47.017
ago,1989,47.052
ago,1990,47.07
ago,1991,47.077
ago,1992,47.082
ago,1993,47.101
ago,1994,47.149
ago,1995,47.242
ago,1996,47.391
ago,1997,47.605
ago,1998,47.893
ago,1999,48.265
ago,2000,48.736
ago,2001,49.317
ago,2002,50.005
ago,2003,50.789
ago,2004,51.661
ago,2005,52.614
ago,2006,53.642
ago,2007,54.726
ago,2008,55.839
ago,2009,56.953
ago,2010,58.033
ago,2011,59.052
ago,2012,59.992
ago,2013,60.841
ago,2014,61.591
ago,2015,62.237
ago,2016,62.783
ago,2017,63.252
ago,2018,63.666
ago,2019,64.039
ago,2020,64.383
alb,1960,63.247
alb,1961,64.325
alb,1962,65.261
alb,1963,66.017
alb,1964,66.585
alb,1965,66.987
alb,1966,67.273
alb,1967,67.517
alb,1968,67.779
alb,1969,68.084
alb,1970,68.441
alb,1971,68.839
alb,1972,69.247
alb,1973,69.64
alb,1974,70.014
alb,1975,70.369
alb,1976,70.71
alb,1977,71.046
alb,1978,71.384
alb,1979,71.729
alb,1980,72.09
alb,1981,72.479
alb,1982,72.893
alb,1983,73.323
alb,1984,73.754
alb,1985,74.156
alb,1986,74.492
alb,1987,74.744
alb,1988,74.903
alb,1989,74.977
alb,1990,74.991
alb,1991,74.98
alb,1992,74.985
alb,1993,75.039
alb,1994,75.158
alb,1995,75.352
alb,1996,75.618
alb,1997,75.931
alb,1998,76.269
alb,1999,76.616
alb,2000,76.953
alb,2001,77.263
alb,2002,77.538
alb,2003,77.777
alb,2004,77.982
alb,2005,78.165
alb,2006,78.349
alb,2007,78.551
alb,2008,78.781
alb,2009,79.037
alb,2010,79.302
alb,2011,79.554
alb,2012,79.77
alb,2013,79.934
alb,2014,80.045
alb,2015,80.107
alb,2016,80.134
alb,2017,80.148
alb,2018,80.167
alb,2019,80.201
alb,2020,80.256
are,1960,53.973
are,1961,54.897
are,1962,55.829
are,1963,56.771
are,1964,57.72
are,1965,58.678
are,1966,59.641
are,1967,60.604
are,1968,61.56
are,1969,62.498
are,1970,63.41
are,1971,64.287
are,1972,65.126
are,1973,65.92
are,1974,66.666
are,1975,67.362
are,1976,68.007
are,1977,68.606
are,1978,69.165
are,1979,69.685
are,1980,70.168
are,1981,70.614
are,1982,71.026
are,1983,71.407
are,1984,71.76
are,1985,72.088
are,1986,72.395
are,1987,72.682
are,1988,72.954
are,1989,73.213
are,1990,73.461
are,1991,73.701
are,1992,73.932
are,1993,74.155
are,1994,74.374
are,1995,74.591
are,1996,74.812
are,1997,75.036
are,1998,75.264
are,1999,75.496
are,2000,75.729
are,2001,75.961
are,2002,76.187
are,2003,76.406
are,2004,76.616
are,2005,76.818
are,2006,77.014
are,2007,77.205
are,2008,77.394
are,2009,77.583
are,2010,77.77
are,2011,77.957
are,2012,78.143
are,2013,78.325
are,2014,78.504
are,2015,78.678
are,2016,78.846
are,2017,79.008
are,2018,79.164
are,2019,79.314
are,2020,79.458
arg,1960,68.154
arg,1961,68.362
arg,1962,68.536
arg,1963,68.685
arg,1964,68.82
arg,1965,68.958
arg,1966,69.111
arg,1967,69.289
arg,1968,69.495
arg,1969,69.733
arg,1970,70
arg,1971,70.291
arg,1972,70.593
arg,1973,70.896
arg,1974,71.196
arg,1975,71.494
arg,1976,71.793
arg,1977,72.097
arg,1978,72.407
arg,1979,72.718
arg,1980,73.023
arg,1981,73.311
arg,1982,73.576
arg,1983,73.816
arg,1984,74.029
arg,1985,74.22
arg,1986,74.397
arg,1987,74.569
arg,1988,74.745
arg,1989,74.928
arg,1990,75.119
arg,1991,75.316
arg,1992,75.515
arg,1993,75.71
arg,1994,75.902
arg,1995,76.09
arg,1996,76.273
arg,1997,76.453
arg,1998,76.631
arg,1999,76.808
arg,2000,76.982
arg,2001,77.155
arg,2002,77.326
arg,2003,77.496
arg,2004,77.664
arg,2005,77.831
arg,2006,77.996
arg,2007,78.16
arg,2008,78.323
arg,2009,78.485
arg,2010,78.646
arg,2011,78.806
arg,2012,78.966
arg,2013,79.124
arg,2014,79.281
arg,2015,79.434
arg,2016,79.583
arg,2017,79.726
arg,2018,79.863
arg,2019,79.995
arg,2020,80.122
arm,1960,69.057
arm,1961,69.481
arm,1962,69.908
arm,1963,70.336
arm,1964,70.761
arm,1965,71.182
arm,1966,71.597
arm,1967,72.002
arm,1968,72.389
arm,1969,72.748
arm,1970,73.063
arm,1971,73.317
arm,1972,73.503
arm,1973,73.623
arm,1974,73.683
arm,1975,73.706
arm,1976,73.725
arm,1977,73.76
arm,1978,73.818
arm,1979,73.885
arm,1980,73.917
arm,1981,73.849
arm,1982,73.643
arm,1983,73.287
arm,1984,72.805
arm,1985,72.251
arm,1986,71.7
arm,1987,71.232
arm,1988,70.908
arm,1989,70.755
arm,1990,70.782
arm,1991,70.969
arm,1992,71.26
arm,1993,71.607
arm,1994,71.985
arm,1995,72.38
arm,1996,72.787
arm,1997,73.21
arm,1998,73.643
arm,1999,74.07
arm,2000,74.469
arm,2001,74.817
arm,2002,75.106
arm,2003,75.335
arm,2004,75.509
arm,2005,75.641
arm,2006,75.751
arm,2007,75.866
arm,2008,76.004
arm,2009,76.174
arm,2010,76.383
arm,2011,76.629
arm,2012,76.897
arm,2013,77.172
arm,2014,77.446
arm,2015,77.708
arm,2016,77.949
arm,2017,78.165
arm,2018,78.354
arm,2019,78.516
arm,2020,78.652
atg,1960,62.879
atg,1961,63.467
atg,1962,64.037
atg,1963,64.582
atg,1964,65.092
atg,1965,65.559
atg,1966,65.977
atg,1967,66.349
atg,1968,66.682
atg,1969,66.982
atg,1970,67.257
atg,1971,67.516
atg,1972,67.77
atg,1973,68.027
atg,1974,68.295
atg,1975,68.579
atg,1976,68.881
atg,1977,69.196
atg,1978,69.521
atg,1979,69.854
atg,1980,70.192
atg,1981,70.537
atg,1982,70.883
atg,1983,71.227
atg,1984,71.566
atg,1985,71.893
atg,1986,72.203
atg,1987,72.496
atg,1988,72.77
atg,1989,73.025
atg,1990,73.263
atg,1991,73.487
atg,1992,73.7
atg,1993,73.909
atg,1994,74.115
atg,1995,74.32
atg,1996,74.528
atg,1997,74.735
atg,1998,74.943
atg,1999,75.15
atg,2000,75.357
atg,2001,75.562
atg,2002,75.764
atg,2003,75.962
atg,2004,76.154
atg,2005,76.339
atg,2006,76.515
atg,2007,76.681
atg,2008,76.838
atg,2009,76.985
atg,2010,77.121
atg,2011,77.246
atg,2012,77.36
atg,2013,77.466
atg,2014,77.566
atg,2015,77.665
atg,2016,77.766
atg,2017,77.871
atg,2018,77.983
atg,2019,78.104
atg,2020,78.232
aus,1960,74
aus,1961,74.2
aus,1962,74.2
aus,1963,74.2
aus,1964,74.2
aus,1965,74.2
aus,1966,74.2
aus,1967,74.26
aus,1968,74.32
aus,1969,74.38
aus,1970,74.44
aus,1971,74.5
aus,1972,74.92
aus,1973,75.34
aus,1974,75.76
aus,1975,76.18
aus,1976,76.6
aus,1977,76.94
aus,1978,77.28
aus,1979,77.62
aus,1980,77.96
aus,1981,78.3
aus,1982,78.48
aus,1983,78.66
aus,1984,78.84
aus,1985,79.02
aus,1986,79.2
aus,1987,79.44
aus,1988,79.68
aus,1989,79.92
aus,1990,80.16
aus,1991,80.4
aus,1992,80.4
aus,1993,80.9
aus,1994,80.9
aus,1995,80.8
aus,1996,81.1
aus,1997,81.4
aus,1998,81.5
aus,1999,81.8
aus,2000,82
aus,2001,82.4
aus,2002,82.6
aus,2003,82.8
aus,2004,83
aus,2005,83.3
aus,2006,83.5
aus,2007,83.7
aus,2008,83.7
aus,2009,83.9
aus,2010,84
aus,2011,84.2
aus,2012,84.3
aus,2013,84.3
aus,2014,84.4
aus,2015,84.5
aus,2016,84.6
aus,2017,84.6
aus,2018,84.9
aus,2019,85
aus,2020,85.3
aut,1960,71.92
aut,1961,72.84
aut,1962,72.48
aut,1963,72.65
aut,1964,73.2
aut,1965,72.99
aut,1966,73.37
aut,1967,73.37
aut,1968,73.52
aut,1969,73.27
aut,1970,73.5
aut,1971,73.7
aut,1972,74.1
aut,1973,74.6
aut,1974,74.7
aut,1975,74.7
aut,1976,75.1
aut,1977,75.5
aut,1978,75.7
aut,1979,76
aut,1980,76.1
aut,1981,76.5
aut,1982,76.7
aut,1983,76.7
aut,1984,77.3
aut,1985,77.4
aut,1986,77.8
aut,1987,78.2
aut,1988,78.7
aut,1989,78.8
aut,1990,79
aut,1991,79.1
aut,1992,79.3
aut,1993,79.5
aut,1994,79.8
aut,1995,80.1
aut,1996,80.2
aut,1997,80.7
aut,1998,81
aut,1999,81
aut,2000,81.2
aut,2001,81.7
aut,2002,81.7
aut,2003,81.5
aut,2004,82.1
aut,2005,82.2
aut,2006,82.8
aut,2007,83.1
aut,2008,83.3
aut,2009,83.2
aut,2010,83.5
aut,2011,83.8
aut,2012,83.6
aut,2013,83.8
aut,2014,84
aut,2015,83.7
aut,2016,84.1
aut,2017,84
aut,2018,84.1
aut,2019,84.2
aut,2020,83.6
aze,1960,64.168
aze,1961,64.403
aze,1962,64.629
aze,1963,64.852
aze,1964,65.074
aze,1965,65.299
aze,1966,65.527
aze,1967,65.753
aze,1968,65.972
aze,1969,66.182
aze,1970,66.376
aze,1971,66.55
aze,1972,66.702
aze,1973,66.833
aze,1974,66.943
aze,1975,67.035
aze,1976,67.112
aze,1977,67.183
aze,1978,67.252
aze,1979,67.328
aze,1980,67.416
aze,1981,67.526
aze,1982,67.656
aze,1983,67.805
aze,1984,67.97
aze,1985,68.142
aze,1986,68.309
aze,1987,68.463
aze,1988,68.598
aze,1989,68.714
aze,1990,68.817
aze,1991,68.917
aze,1992,69.024
aze,1993,69.148
aze,1994,69.286
aze,1995,69.428
aze,1996,69.553
aze,1997,69.653
aze,1998,69.729
aze,1999,69.797
aze,2000,69.891
aze,2001,70.06
aze,2002,70.33
aze,2003,70.713
aze,2004,71.2
aze,2005,71.759
aze,2006,72.346
aze,2007,72.908
aze,2008,73.402
aze,2009,73.809
aze,2010,74.123
aze,2011,74.353
aze,2012,74.531
aze,2013,74.683
aze,2014,74.823
aze,2015,74.956
aze,2016,75.088
aze,2017,75.215
aze,2018,75.336
aze,2019,75.455
aze,2020,75.574
bdi,1960,42.851
bdi,1961,43.164
bdi,1962,43.482
bdi,1963,43.803
bdi,1964,44.121
bdi,1965,44.423
bdi,1966,44.694
bdi,1967,44.927
bdi,1968,45.124
bdi,1969,45.291
bdi,1970,45.449
bdi,1971,45.624
bdi,1972,45.838
bdi,1973,46.1
bdi,1974,46.411
bdi,1975,46.757
bdi,1976,47.116
bdi,1977,47.46
bdi,1978,47.769
bdi,1979,48.037
bdi,1980,48.272
bdi,1981,48.494
bdi,1982,48.72
bdi,1983,48.956
bdi,1984,49.193
bdi,1985,49.4
bdi,1986,49.537
bdi,1987,49.577
bdi,1988,49.513
bdi,1989,49.354
bdi,1990,49.121
bdi,1991,48.843
bdi,1992,48.569
bdi,1993,48.349
bdi,1994,48.22
bdi,1995,48.225
bdi,1996,48.395
bdi,1997,48.729
bdi,1998,49.213
bdi,1999,49.838
bdi,2000,50.582
bdi,2001,51.414
bdi,2002,52.296
bdi,2003,53.191
bdi,2004,54.073
bdi,2005,54.932
bdi,2006,55.767
bdi,2007,56.591
bdi,2008,57.406
bdi,2009,58.203
bdi,2010,58.966
bdi,2011,59.677
bdi,2012,60.328
bdi,2013,60.913
bdi,2014,61.433
bdi,2015,61.893
bdi,2016,62.301
bdi,2017,62.675
bdi,2018,63.031
bdi,2019,63.377
bdi,2020,63.721
bel,1960,72.77
bel,1961,73.63
bel,1962,73.18
bel,1963,73.14
bel,1964,73.9
bel,1965,73.76
bel,1966,73.8
bel,1967,74.25
bel,1968,73.92
bel,1969,74.13
bel,1970,74.25
bel,1971,74.4
bel,1972,74.76
bel,1973,74.98
bel,1974,75.31
bel,1975,75.28
bel,1976,75.49
bel,1977,76.18
bel,1978,76.14
bel,1979,76.61
bel,1980,76.69
bel,1981,77.12
bel,1982,77.33
bel,1983,77.27
bel,1984,77.98
bel,1985,78.08
bel,1986,78.23
bel,1987,78.9
bel,1988,79.1
bel,1989,79.09
bel,1990,79.54
bel,1991,79.67
bel,1992,79.87
bel,1993,79.9
bel,1994,80.19
bel,1995,80.38
bel,1996,80.66
bel,1997,80.7
bel,1998,80.7
bel,1999,81
bel,2000,81
bel,2001,81.2
bel,2002,81.2
bel,2003,81.1
bel,2004,81.9
bel,2005,81.9
bel,2006,82.3
bel,2007,82.6
bel,2008,82.6
bel,2009,82.8
bel,2010,83
bel,2011,83.3
bel,2012,83.1
bel,2013,83.2
bel,2014,83.9
bel,2015,83.4
bel,2016,84
bel,2017,83.9
bel,2018,83.9
bel,2019,84.3
bel,2020,83.1
ben,1960,37.773
ben,1961,38.27
ben,1962,38.773
ben,1963,39.288
ben,1964,39.82
ben,1965,40.375
ben,1966,40.959
ben,1967,41.571
ben,1968,42.21
ben,1969,42.873
ben,1970,43.558
ben,1971,44.265
ben,1972,44.985
ben,1973,45.71
ben,1974,46.428
ben,1975,47.122
ben,1976,47.773
ben,1977,48.376
ben,1978,48.932
ben,1979,49.445
ben,1980,49.934
ben,1981,50.422
ben,1982,50.932
ben,1983,51.476
ben,1984,52.057
ben,1985,52.677
ben,1986,53.331
ben,1987,53.996
ben,1988,54.645
ben,1989,55.256
ben,1990,55.795
ben,1991,56.227
ben,1992,56.54
ben,1993,56.739
ben,1994,56.833
ben,1995,56.848
ben,1996,56.818
ben,1997,56.785
ben,1998,56.789
ben,1999,56.854
ben,2000,57.001
ben,2001,57.241
ben,2002,57.559
ben,2003,57.933
ben,2004,58.351
ben,2005,58.793
ben,2006,59.235
ben,2007,59.66
ben,2008,60.052
ben,2009,60.404
ben,2010,60.717
ben,2011,60.997
ben,2012,61.262
ben,2013,61.527
ben,2014,61.799
ben,2015,62.082
ben,2016,62.379
ben,2017,62.687
ben,2018,63.003
ben,2019,63.324
ben,2020,63.646
bfa,1960,35.553
bfa,1961,36.025
bfa,1962,36.503
bfa,1963,36.986
bfa,1964,37.474
bfa,1965,37.961
bfa,1966,38.441
bfa,1967,38.91
bfa,1968,39.37
bfa,1969,39.824
bfa,1970,40.278
bfa,1971,40.735
bfa,1972,41.206
bfa,1973,41.705
bfa,1974,42.242
bfa,1975,42.85
bfa,1976,43.561
bfa,1977,44.38
bfa,1978,45.288
bfa,1979,46.257
bfa,1980,47.234
bfa,1981,48.154
bfa,1982,48.962
bfa,1983,49.619
bfa,1984,50.106
bfa,1985,50.418
bfa,1986,50.571
bfa,1987,50.616
bfa,1988,50.601
bfa,1989,50.559
bfa,1990,50.516
bfa,1991,50.494
bfa,1992,50.498
bfa,1993,50.534
bfa,1994,50.613
bfa,1995,50.734
bfa,1996,50.887
bfa,1997,51.06
bfa,1998,51.249
bfa,1999,51.461
bfa,2000,51.712
bfa,2001,52.023
bfa,2002,52.409
bfa,2003,52.875
bfa,2004,53.421
bfa,2005,54.04
bfa,2006,54.721
bfa,2007,55.442
bfa,2008,56.178
bfa,2009,56.909
bfa,2010,57.616
bfa,2011,58.284
bfa,2012,58.91
bfa,2013,59.492
bfa,2014,60.03
bfa,2015,60.525
bfa,2016,60.988
bfa,2017,61.43
bfa,2018,61.863
bfa,2019,62.294
bfa,2020,62.724
bgd,1960,44.628
bgd,1961,45.215
bgd,1962,45.802
bgd,1963,46.375
bgd,1964,46.905
bgd,1965,47.313
bgd,1966,47.501
bgd,1967,47.437
bgd,1968,47.139
bgd,1969,46.668
bgd,1970,46.163
bgd,1971,45.8
bgd,1972,45.717
bgd,1973,45.997
bgd,1974,46.648
bgd,1975,47.604
bgd,1976,48.738
bgd,1977,49.882
bgd,1978,50.901
bgd,1979,51.746
bgd,1980,52.406
bgd,1981,52.916
bgd,1982,53.369
bgd,1983,53.839
bgd,1984,54.351
bgd,1985,54.916
bgd,1986,55.532
bgd,1987,56.177
bgd,1988,56.837
bgd,1989,57.513
bgd,1990,58.214
bgd,1991,58.954
bgd,1992,59.737
bgd,1993,60.559
bgd,1994,61.409
bgd,1995,62.268
bgd,1996,63.11
bgd,1997,63.915
bgd,1998,64.667
bgd,1999,65.359
bgd,2000,65.992
bgd,2001,66.574
bgd,2002,67.126
bgd,2003,67.661
bgd,2004,68.189
bgd,2005,68.715
bgd,2006,69.24
bgd,2007,69.761
bgd,2008,70.272
bgd,2009,70.773
bgd,2010,71.257
bgd,2011,71.721
bgd,2012,72.159
bgd,2013,72.571
bgd,2014,72.955
bgd,2015,73.316
bgd,2016,73.655
bgd,2017,73.978
bgd,2018,74.291
bgd,2019,74.595
bgd,2020,74.893
bgr,1960,71.03
bgr,1961,72.06
bgr,1962,71.3
bgr,1963,72.02
bgr,1964,72.96
bgr,1965,73.23
bgr,1966,73.18
bgr,1967,72.56
bgr,1968,73.32
bgr,1969,72.74
bgr,1970,73.51
bgr,1971,73.24
bgr,1972,73.23
bgr,1973,73.77
bgr,1974,73.6
bgr,1975,73.58
bgr,1976,73.92
bgr,1977,73.5
bgr,1978,73.72
bgr,1979,74.11
bgr,1980,73.99
bgr,1981,74.43
bgr,1982,74.08
bgr,1983,74.48
bgr,1984,74.66
bgr,1985,74.46
bgr,1986,75.06
bgr,1987,74.81
bgr,1988,74.99
bgr,1989,75.19
bgr,1990,75.15
bgr,1991,74.88
bgr,1992,75.09
bgr,1993,75.26
bgr,1994,75.25
bgr,1995,74.9
bgr,1996,74.58
bgr,1997,73.87
bgr,1998,74.8
bgr,1999,75.1
bgr,2000,75.3
bgr,2001,75.2
bgr,2002,75.4
bgr,2003,75.6
bgr,2004,76.2
bgr,2005,76.3
bgr,2006,76.3
bgr,2007,76.3
bgr,2008,76.6
bgr,2009,77.1
bgr,2010,77.2
bgr,2011,77.8
bgr,2012,77.9
bgr,2013,78.6
bgr,2014,78
bgr,2015,78.2
bgr,2016,78.5
bgr,2017,78.4
bgr,2018,78.6
bgr,2019,78.8
bgr,2020,77.5
bhr,1960,55.392
bhr,1961,56.65
bhr,1962,57.894
bhr,1963,59.104
bhr,1964,60.266
bhr,1965,61.367
bhr,1966,62.403
bhr,1967,63.378
bhr,1968,64.296
bhr,1969,65.157
bhr,1970,65.959
bhr,1971,66.702
bhr,1972,67.39
bhr,1973,68.027
bhr,1974,68.616
bhr,1975,69.161
bhr,1976,69.665
bhr,1977,70.131
bhr,1978,70.562
bhr,1979,70.961
bhr,1980,71.329
bhr,1981,71.664
bhr,1982,71.967
bhr,1983,72.24
bhr,1984,72.486
bhr,1985,72.71
bhr,1986,72.916
bhr,1987,73.109
bhr,1988,73.293
bhr,1989,73.472
bhr,1990,73.651
bhr,1991,73.83
bhr,1992,74.01
bhr,1993,74.19
bhr,1994,74.37
bhr,1995,74.55
bhr,1996,74.73
bhr,1997,74.909
bhr,1998,75.085
bhr,1999,75.258
bhr,2000,75.43
bhr,2001,75.601
bhr,2002,75.771
bhr,2003,75.942
bhr,2004,76.112
bhr,2005,76.282
bhr,2006,76.45
bhr,2007,76.615
bhr,2008,76.776
bhr,2009,76.933
bhr,2010,77.087
bhr,2011,77.24
bhr,2012,77.392
bhr,2013,77.544
bhr,2014,77.696
bhr,2015,77.848
bhr,2016,77.997
bhr,2017,78.143
bhr,2018,78.285
bhr,2019,78.423
bhr,2020,78.557
bhs,1960,66.383
bhs,1961,66.564
bhs,1962,66.744
bhs,1963,66.925
bhs,1964,67.112
bhs,1965,67.309
bhs,1966,67.519
bhs,1967,67.743
bhs,1968,67.979
bhs,1969,68.225
bhs,1970,68.477
bhs,1971,68.732
bhs,1972,68.983
bhs,1973,69.227
bhs,1974,69.459
bhs,1975,69.676
bhs,1976,69.871
bhs,1977,70.048
bhs,1978,70.213
bhs,1979,70.371
bhs,1980,70.536
bhs,1981,70.719
bhs,1982,70.93
bhs,1983,71.176
bhs,1984,71.459
bhs,1985,71.78
bhs,1986,72.137
bhs,1987,72.52
bhs,1988,72.912
bhs,1989,73.303
bhs,1990,73.678
bhs,1991,74.025
bhs,1992,74.338
bhs,1993,74.608
bhs,1994,74.831
bhs,1995,75
bhs,1996,75.114
bhs,1997,75.179
bhs,1998,75.204
bhs,1999,75.196
bhs,2000,75.16
bhs,2001,75.101
bhs,2002,75.025
bhs,2003,74.942
bhs,2004,74.859
bhs,2005,74.782
bhs,2006,74.715
bhs,2007,74.659
bhs,2008,74.619
bhs,2009,74.6
bhs,2010,74.614
bhs,2011,74.67
bhs,2012,74.771
bhs,2013,74.914
bhs,2014,75.093
bhs,2015,75.296
bhs,2016,75.509
bhs,2017,75.718
bhs,2018,75.911
bhs,2019,76.081
bhs,2020,76.228
bih,1960,61.941
bih,1961,62.656
bih,1962,63.331
bih,1963,63.974
bih,1964,64.595
bih,1965,65.204
bih,1966,65.805
bih,1967,66.401
bih,1968,66.994
bih,1969,67.584
bih,1970,68.177
bih,1971,68.775
bih,1972,69.374
bih,1973,69.965
bih,1974,70.54
bih,1975,71.083
bih,1976,71.578
bih,1977,72.017
bih,1978,72.395
bih,1979,72.713
bih,1980,72.982
bih,1981,73.221
bih,1982,73.444
bih,1983,73.664
bih,1984,73.881
bih,1985,74.079
bih,1986,74.231
bih,1987,74.322
bih,1988,74.35
bih,1989,74.331
bih,1990,74.296
bih,1991,74.291
bih,1992,74.352
bih,1993,74.5
bih,1994,74.741
bih,1995,75.065
bih,1996,75.448
bih,1997,75.848
bih,1998,76.232
bih,1999,76.581
bih,2000,76.881
bih,2001,77.128
bih,2002,77.333
bih,2003,77.508
bih,2004,77.659
bih,2005,77.793
bih,2006,77.92
bih,2007,78.047
bih,2008,78.182
bih,2009,78.327
bih,2010,78.484
bih,2011,78.649
bih,2012,78.816
bih,2013,78.98
bih,2014,79.139
bih,2015,79.292
bih,2016,79.439
bih,2017,79.581
bih,2018,79.72
bih,2019,79.857
bih,2020,79.991
blr,1960,70.518
blr,1961,71.041
blr,1962,71.499
blr,1963,71.908
blr,1964,72.275
blr,1965,72.607
blr,1966,72.901
blr,1967,73.151
blr,1968,73.358
blr,1969,73.525
blr,1970,73.66
blr,1971,73.768
blr,1972,73.855
blr,1973,73.928
blr,1974,73.992
blr,1975,74.048
blr,1976,74.094
blr,1977,74.129
blr,1978,74.156
blr,1979,74.183
blr,1980,74.232
blr,1981,74.327
blr,1982,74.477
blr,1983,74.678
blr,1984,74.916
blr,1985,75.5
blr,1986,75.98
blr,1987,75.6
blr,1988,75.9
blr,1989,76.4
blr,1990,75.6
blr,1991,75.5
blr,1992,75.4
blr,1993,74.4
blr,1994,74.3
blr,1995,74.3
blr,1996,74.3
blr,1997,74.3
blr,1998,74.4
blr,1999,73.9
blr,2000,74.7
blr,2001,74.5
blr,2002,74.1
blr,2003,74.7
blr,2004,75
blr,2005,75.1
blr,2006,75.5
blr,2007,76.2
blr,2008,76.5
blr,2009,76.4
blr,2010,76.5
blr,2011,76.7
blr,2012,77.6
blr,2013,77.9
blr,2014,78.4
blr,2015,78.9
blr,2016,79
blr,2017,79.2
blr,2018,79.4
blr,2019,79.4
blr,2020,79.4
blz,1960,61.332
blz,1961,61.866
blz,1962,62.404
blz,1963,62.946
blz,1964,63.492
blz,1965,64.04
blz,1966,64.589
blz,1967,65.135
blz,1968,65.675
blz,1969,66.207
blz,1970,66.732
blz,1971,67.252
blz,1972,67.766
blz,1973,68.273
blz,1974,68.773
blz,1975,69.262
blz,1976,69.736
blz,1977,70.194
blz,1978,70.631
blz,1979,71.046
blz,1980,71.441
blz,1981,71.82
blz,1982,72.185
blz,1983,72.531
blz,1984,72.85
blz,1985,73.132
blz,1986,73.361
blz,1987,73.527
blz,1988,73.624
blz,1989,73.645
blz,1990,73.581
blz,1991,73.419
blz,1992,73.171
blz,1993,72.861
blz,1994,72.516
blz,1995,72.18
blz,1996,71.898
blz,1997,71.701
blz,1998,71.611
blz,1999,71.635
blz,2000,71.762
blz,2001,71.965
blz,2002,72.204
blz,2003,72.448
blz,2004,72.691
blz,2005,72.937
blz,2006,73.204
blz,2007,73.515
blz,2008,73.88
blz,2009,74.293
blz,2010,74.744
blz,2011,75.215
blz,2012,75.683
blz,2013,76.129
blz,2014,76.537
blz,2015,76.896
blz,2016,77.199
blz,2017,77.453
blz,2018,77.666
blz,2019,77.843
blz,2020,77.991
bmu,1965,72.35
bmu,1970,73.86
bmu,1980,76.1
bmu,1991,78.25
bmu,2000,80.6
bmu,2001,80.6
bmu,2002,80.7
bmu,2003,81.1
bmu,2004,81.2
bmu,2005,81.4
bmu,2006,81.5
bmu,2007,81.7
bmu,2008,81.9
bmu,2009,82.1
bmu,2010,82.08
bmu,2011,85.03
bmu,2012,85.55
bmu,2013,84.46
bmu,2014,84.69
bmu,2015,84.91
bmu,2016,85.13
bmu,2017,85.35
bmu,2018,85.57
bmu,2019,85.79
bmu,2020,86
