geo,time,hd_hci_ovrl_lb
tun,2020,0.50816
tur,2010,0.61615
tur,2017,0.61
tur,2018,0.61357
tur,2020,0.6405
tuv,2017,0.532
tuv,2018,0.42332
tuv,2020,0.42814
tza,2017,0.386
tza,2018,0.37456
tza,2020,0.37707
uga,2010,0.33494
uga,2017,0.368
uga,2018,0.36976
uga,2020,0.37124
ukr,2010,0.62419
ukr,2017,0.614
ukr,2018,0.63052
ukr,2020,0.62042
ury,2010,0.58543
ury,2017,0.592
ury,2018,0.59309
ury,2020,0.58914
usa,2010,0.68233
usa,2017,0.751
usa,2018,0.7051
usa,2020,0.69252
uzb,2020,0.6043
vct,2018,0.52535
vct,2020,0.52196
vnm,2010,0.641
vnm,2017,0.646
vnm,2018,0.669
vnm,2020,0.67113
vut,2017,0.454
vut,2018,0.4266
vut,2020,0.43555
wsm,2018,0.51122
wsm,2020,0.53534
yem,2017,0.354
yem,2018,0.35423
yem,2020,0.35285
zaf,2010,0.41349
zaf,2017,0.395
zaf,2018,0.41103
zaf,2020,0.41365
zmb,2017,0.374
zmb,2018,0.37692
zmb,2020,0.38138
zwe,2010,0.39589
zwe,2017,0.419
zwe,2018,0.43972
zwe,2020,0.44448
