geo,time,gc_tax_gsrv_cn
bgr,2012,11839390000
bgr,2013,12311550000
bgr,2014,12013075000
bgr,2015,13446422000
bgr,2016,14139185000
bgr,2017,14883713000
bgr,2018,15960001000
bgr,2019,17921630000
bhr,1974,1200000
bhr,1975,2000000
bhr,1976,4200000
bhr,1977,5800000
bhr,1978,3800000
bhr,1979,5700000
bhr,1980,6100000
bhr,1981,8100000
bhr,1982,10900000
bhr,1983,12300000
bhr,1984,14900000
bhr,1985,17600000
bhr,1986,17500000
bhr,1987,16300000
bhr,1988,16600000
bhr,1989,19000000
bhr,1990,18700000
bhr,1991,18500000
bhr,1992,21700000
bhr,1993,26400000
bhr,1994,24400000
bhr,1995,30200000
bhr,1996,28400000
bhr,1997,23800000
bhr,1998,22300000
bhr,1999,23100000
bhr,2000,25300000
bhr,2001,24300000
bhr,2002,26200000
bhr,2003,30700000
bhr,2004,32800000
bhs,1992,25600000
bhs,1993,15000000
bhs,1994,30500000
bhs,1995,57800000
bhs,1996,35900000
bhs,1997,40911000
bhs,1998,50328000
bhs,1999,46930000
bhs,2000,119100000
bhs,2001,94000000
bhs,2002,102100000
bhs,2003,86300000
bhs,2004,117130000
bhs,2005,180285000
bhs,2006,334525000
bhs,2007,388734000
bhs,2008,158400000
bhs,2009,373774000
bhs,2010,515745534.25
bhs,2011,683421120.33
bhs,2012,665211766.71
bhs,2013,564386767.16
bhs,2014,628785535.86
bhs,2015,901680648.88
bhs,2016,1154571155.75
bhs,2017,1281965811.77
bhs,2018,1275736000
bhs,2019,1634363000
bih,2005,1435577856.01
bih,2006,3875870444.98
bih,2007,4320822724.22
bih,2008,4494651035.87
bih,2009,4052924027.14
bih,2010,4385581785.5
bih,2011,4600028053
bih,2012,4634988510
bih,2013,4543595047
bih,2014,4664946679.37
bih,2015,4911458987.31
bih,2016,5059028406.23174
bih,2017,5304431849.82
bih,2018,5685815609.96
bih,2019,5922102149.39
blr,1992,1150
blr,1993,11960
blr,1994,209920
blr,1995,1209560
blr,1996,2193460
blr,1997,4802210
blr,1998,7757750
blr,1999,32942470
blr,2000,101656000
blr,2001,178242000
blr,2002,251079000
blr,2003,370189400
blr,2004,543991000
blr,2005,738047400
blr,2006,1128617900
blr,2007,1270861800
blr,2008,1523146448.7
blr,2009,1397172200
blr,2010,1670181857.69
blr,2011,2495000000
blr,2012,4610280000
blr,2013,5994690000
blr,2014,7529064110
blr,2015,7865016730.69
blr,2016,8793567337.2
blr,2017,9068217958
blr,2018,11020978275.9
blr,2019,11753308921.17
blz,1990,20486000
blz,1991,20097000
blz,1992,20415000
blz,1993,28750000
blz,1994,35708000
blz,1995,41749000
blz,1996,104340000
blz,1997,98047000
blz,1998,97921000
blz,1999,81974000
blz,2000,101849000
blz,2001,107947000
blz,2002,113526000
blz,2003,120033000
blz,2004,140997000
blz,2005,181834000
blz,2006,217027000
blz,2007,235974000
blz,2008,236703000
blz,2009,217097000
blz,2010,251105000
blz,2011,230251000
blz,2012,277274042.12
blz,2013,305028947.34
blz,2014,345571914.41
blz,2015,354458568.08
blz,2016,489346703.3
blz,2017,533029415.69
bol,1985,139800000
bol,1986,361700000
bol,1987,357100000
bol,1988,511400000
bol,1989,616900000
bol,1990,786600000
bol,1991,1161000000
bol,1992,1501700000
bol,1993,1819800000
bol,1994,2310300000
bol,1995,2611100000
bol,1996,3784100000
bol,1997,4237600000
bol,1998,4752100000
bol,1999,4200900000
bol,2000,5145000000
bol,2001,5088700000
bol,2002,5980453929.48
bol,2003,6434651030.42
bol,2004,7705600000
bol,2005,9681741788.46
bol,2006,11833077339.402
bol,2007,13213265585.851
bra,2010,260905879286.10001
bra,2011,293526720483.98999
bra,2012,317111963463.03003
bra,2013,335282244868.75
bra,2014,339051814449.70398
bra,2015,354885355601.61902
bra,2016,351556786276.39001
bra,2017,380892377385.19
bra,2018,419090536862.47998
bra,2019,410691640635.77002
brb,2003,744568000
brb,2004,878600000
brb,2005,980641000
brb,2006,988380437.03
brb,2007,1090205310
brb,2008,1100267475
brb,2009,1002793628
brb,2010,1077151137
brb,2011,1284253544
brb,2012,1144666163
brb,2013,1151577522
brb,2014,1063462232
brb,2015,1226930233
brb,2016,1317590062
btn,1982,53700000
btn,1983,67300000
btn,1984,97600000
btn,1985,89400000
btn,1986,106100000
btn,1988,155200000
btn,1989,145800000
btn,1990,152100000
btn,1991,193600000
btn,1992,223500000
btn,1993,279600000
btn,1994,300600000
btn,1995,338600000
btn,1996,381600000
btn,1997,319700000
btn,1998,519130000
btn,1999,466300000
btn,2000,842500000
btn,2001,546100000
btn,2002,915009000
btn,2003,1219493000
btn,2004,750092000
btn,2005,1230259000
btn,2006,1653204000
btn,2007,1423833000
btn,2008,1869554000
btn,2009,2141890000
btn,2010,3271565345
btn,2011,4161423239
btn,2012,6405340491
btn,2013,7051661111
btn,2014,6285523000
btn,2015,6778489765.36
btn,2016,7608978305.959
btn,2017,8817876000
btn,2018,12571699452.49
bwa,1990,70100000
bwa,1991,84000000
bwa,1992,139500000
bwa,1993,148800000
bwa,1994,184100000
bwa,1995,241700000
bwa,1996,276800000
bwa,2006,2416000000
bwa,2007,3056870000
bwa,2008,4617050000
bwa,2009,4165830000
bwa,2010,4899330000
bwa,2011,5106980000
bwa,2012,5535880000
bwa,2013,5165780000
bwa,2014,5993110000
bwa,2015,6379780000
bwa,2016,6947860000
bwa,2017,8182332000
bwa,2018,7831390000
bwa,2019,8565670000
caf,2004,17241489275
caf,2008,42285654368.45709
caf,2009,39613828298.6
caf,2010,50030953350
caf,2011,44867038938
caf,2012,29461533033
caf,2014,11126925553.8753
caf,2015,19616938094
caf,2016,17974217124
caf,2017,13932258919.2143
caf,2018,24128379103.101
can,1995,28373000000
can,1996,29721000000
can,1997,32223000000
can,1998,32750000000
can,1999,33934000000
can,2000,35874000000
can,2001,36886000000
can,2002,40122000000
can,2003,42169000000
can,2004,43701000000
can,2005,45281000000
can,2006,44772000000
can,2007,44268000000
can,2008,39730000000
can,2009,40809000000
can,2010,43103000000
can,2011,43547000000
can,2012,43800000000
can,2013,45041000000
can,2014,47416000000
can,2015,49051000000
can,2016,50428000000
can,2017,53913000000
can,2018,56057000000
can,2019,58407000000
che,1972,4135000000
che,1973,4562000000
che,1974,4920000000
che,1975,4866000000
che,1976,5253000000
che,1977,5670000000
che,1978,6153000000
che,1979,6482000000
che,1980,7033000000
che,1981,7669000000
che,1982,8267000000
che,1983,8992000000
che,1984,9670000000
che,1985,10774000000
che,1986,11780000000
che,1987,12486000000
che,1988,12890000000
che,1989,13746000000
che,1990,17274733499.32
che,1991,17593686255.69
che,1992,17472343572.81
che,1993,18364433997.16
che,1994,18511100663.69
che,1995,21360199612.93
che,1996,21249500511.91
che,1997,22307740270.99
che,1998,24483422038.28
che,1999,26467503397.42
che,2000,29160547323.36
che,2001,29032553295.61
che,2002,27971252367.02
che,2003,28452490254.6
che,2004,29587471422.24
che,2005,30218227024.22
che,2006,31563287141.86
che,2007,32626169062.78
che,2008,33810606946.15
che,2009,32974306574.74
che,2010,34653085466.67
che,2011,35309566160.01
che,2012,35225227176.94
che,2013,35627227988.95
che,2014,35762368065.59
che,2015,35941967918.99
che,2016,35693288494.16
che,2017,36927188155.52
che,2018,36633988243.05
che,2019,36612899443.53
chl,1973,101000000
chl,1974,815000000
chl,1975,3835000000
chl,1976,14591000000
chl,1977,33041000000
chl,1978,55839000000
chl,1979,84600000000
chl,1980,124160000000
chl,1981,160460000000
chl,1982,157410000000
chl,1983,168810000000
chl,1984,219190000000
chl,1985,298100000000
chl,1986,398890000000
chl,1987,497370000000
chl,1988,557270000000
chl,1989,642370000000
chl,1990,827570000000
chl,1991,1173120000000
chl,1992,1560700000000
chl,1993,1901100000000
chl,1994,2224680000000
chl,1995,2604820000000
chl,1996,3066430000000
chl,1997,3395780000000
chl,1998,3585480000000
chl,1999,3629350000000
chl,2000,4133360000000
chl,2001,4438730000000
chl,2002,4803990000000
chl,2003,5191940000000
chl,2004,5807570000000
chl,2005,6499000000000
chl,2006,6894000000000
chl,2007,8081956000000
chl,2008,8987497000000
chl,2009,8424530000000
chl,2010,10759883000000
chl,2011,12109275514000
chl,2012,12436769000000
chl,2013,14089800000000
chl,2014,15048086065920
chl,2015,16281146774000
chl,2016,17498066663000
chl,2017,19047205000000
chl,2018,19705850892630
chl,2019,20075791512090
chn,2005,1455981640000
chn,2006,1306490000000
chn,2007,1738222520000
chn,2008,2105028000000
chn,2009,2443669999800
chn,2010,2933319162828.95996
chn,2011,3407197000000
chn,2012,3679180000000
chn,2013,3766687010000
chn,2014,3911535720000
chn,2015,3902294220000
chn,2016,4053539912503.66016
chn,2017,4750865511813.29004
chn,2018,4961410558200
civ,1990,186034000000
civ,1995,163700000000
civ,2001,295500000000
civ,2002,296400000000
civ,2003,254100000000
civ,2004,255900000000
civ,2005,282400000000
civ,2006,275000000000
civ,2007,270800000000
civ,2008,348460000000
civ,2009,494228000000
civ,2010,444782000000
civ,2011,329545000000
civ,2012,549899000000
civ,2013,556858000000
civ,2014,605494246422.40002
civ,2015,1206345980953.6001
civ,2016,1333894502983
civ,2017,1426227274730.37988
civ,2018,1537998178568.05005
civ,2019,1729466006210.6499
cmr,1990,106370000000
cmr,1991,96660000000
cmr,1992,86920000000
cmr,1993,92660000000
cmr,1994,92250000000
cmr,1995,138320000000
cmr,1998,187640000000
cmr,1999,230990000000
cmr,2012,747453200000
cmr,2013,873151000000
cmr,2014,998600000000
cmr,2015,1023100000000
cmr,2016,1144800000000
cmr,2017,1292000000000
cmr,2018,1472441311897
cog,2001,142500000000
cog,2002,135300000000
cog,2003,102400000000
cog,2004,87100098179
cog,2005,92148533157
cog,2006,94900000000
cog,2007,111798000000
cog,2008,124221000000
cog,2009,175417000000
cog,2010,197860000000
cog,2011,280306065756
cog,2012,293264902491
cog,2013,309941523413
cog,2014,356374746685
cog,2015,345302700000
cog,2016,346189900000
cog,2017,291684349862
cog,2018,240588392472
col,1998,7048245000000
col,2003,15126816114120.09961
col,2008,30832966000000
col,2009,29454028000000
col,2010,33010918000000
col,2011,38826137000000
col,2012,41420911000000
col,2013,46076455000000
col,2014,52146200444124.49219
col,2015,55441002165049.69531
col,2016,56456011092439.50781
col,2017,58722469093334.49219
col,2018,66699171179843.50781
col,2019,80712719863222.78125
cpv,2005,12539719163
cpv,2006,10612186419
cpv,2007,12608527482
cpv,2008,14400328061
cpv,2009,11900628095
cpv,2010,12474668878
cpv,2011,13445679024
cpv,2012,11837446273
cpv,2013,12609065883
cpv,2014,12157723261
cpv,2015,13577916799
cpv,2016,13971635492
cpv,2017,16592330072
