geo,time,hd_hci_ovrl_ub_fe
egy,2020,0.52876
esp,2010,0.73299
esp,2017,0.765
esp,2018,0.75841
esp,2020,0.74608
est,2010,0.78161
est,2017,0.796
est,2018,0.81805
est,2020,0.82201
eth,2017,0.398
eth,2018,0.39473
eth,2020,0.39386
fin,2010,0.8616
fin,2017,0.857
fin,2018,0.85403
fin,2020,0.83983
fji,2020,0.54712
fra,2010,0.78747
fra,2018,0.78322
fra,2020,0.79107
fsm,2018,0.50481
fsm,2020,0.55377
gab,2017,0.492
gab,2018,0.49377
gab,2020,0.49521
gbr,2010,0.78315
gbr,2017,0.799
gbr,2018,0.79671
gbr,2020,0.80099
geo,2010,0.60212
geo,2017,0.659
geo,2018,0.66511
geo,2020,0.61948
gha,2017,0.459
gha,2018,0.46309
gha,2020,0.471
gin,2017,0.37
gin,2018,0.36957
gin,2020,0.37317
gmb,2010,0.3937
gmb,2017,0.429
gmb,2018,0.43786
gmb,2020,0.45795
grc,2010,0.747
grc,2017,0.705
grc,2018,0.72834
grc,2020,0.72329
grd,2018,0.59036
grd,2020,0.61128
gtm,2010,0.45546
gtm,2017,0.482
gtm,2018,0.4755
gtm,2020,0.48085
guy,2017,0.537
guy,2018,0.53036
guy,2020,0.53134
hkg,2010,0.81166
hkg,2017,0.847
hkg,2018,0.862
hkg,2020,0.85938
hnd,2017,0.516
hnd,2018,0.50404
hnd,2020,0.50477
hrv,2010,0.74615
hrv,2017,0.76
hrv,2018,0.76221
hrv,2020,0.74961
hti,2017,0.482
hti,2018,0.4745
hti,2020,0.47663
hun,2010,0.73489
hun,2017,0.743
hun,2018,0.7399
hun,2020,0.71677
idn,2010,0.52137
idn,2017,0.569
idn,2018,0.5651
idn,2020,0.56751
ind,2017,0.461
ind,2018,0.49632
ind,2020,0.50545
irl,2010,0.80074
irl,2018,0.8325
irl,2020,0.81454
irn,2010,0.58718
irn,2017,0.619
irn,2018,0.62254
irn,2020,0.62369
irq,2017,0.423
irq,2018,0.41881
irq,2020,0.43022
isl,2010,0.77845
isl,2017,0.767
isl,2018,0.77143
isl,2020,0.77701
isr,2010,0.751
isr,2018,0.79348
isr,2020,0.77531
ita,2010,0.77345
ita,2017,0.784
ita,2018,0.76939
ita,2020,0.74668
jam,2017,0.575
jam,2018,0.58246
jam,2020,0.57567
jor,2010,0.59709
jor,2017,0.605
jor,2018,0.58838
jor,2020,0.59217
kaz,2010,0.63911
kaz,2017,0.799
kaz,2018,0.82318
kaz,2020,0.66067
kgz,2017,0.615
kgz,2018,0.62447
kgz,2020,0.62632
kir,2018,0.53438
kir,2020,0.5652
kna,2018,0.59985
kna,2020,0.61331
kor,2010,0.86379
kor,2017,0.869
kor,2018,0.8638
kor,2020,0.827
kos,2017,0.583
kos,2018,0.59639
kos,2020,0.59042
kwt,2010,0.61574
kwt,2017,0.618
kwt,2018,0.60371
kwt,2020,0.60793
lao,2017,0.477
lao,2018,0.47953
lao,2020,0.47969
lbn,2017,0.548
lbr,2017,0.331
lbr,2018,0.33526
lbr,2020,0.33704
lca,2018,0.6283
lca,2020,0.64198
lso,2010,0.37849
ltu,2010,0.76178
ltu,2017,0.773
ltu,2018,0.7892
ltu,2020,0.76604
lux,2010,0.72294
lux,2017,0.715
lux,2018,0.70916
lux,2020,0.70665
lva,2010,0.73831
lva,2017,0.786
lva,2018,0.80428
lva,2020,0.76468
mac,2010,0.67495
mac,2017,0.793
mac,2018,0.794
mac,2020,0.82522
mar,2010,0.4816
mar,2017,0.521
mar,2018,0.51568
mar,2020,0.52647
mda,2010,0.59103
mda,2017,0.616
mda,2018,0.61564
mda,2020,0.61695
mdg,2010,0.41165
mdg,2017,0.416
mdg,2018,0.41473
mdg,2020,0.4218
mex,2010,0.60999
mex,2017,0.628
mex,2018,0.63586
mex,2020,0.63634
mhl,2018,0.44151
mhl,2020,0.46656
mkd,2010,0.5593
mkd,2017,0.554
mkd,2018,0.55532
mkd,2020,0.58025
mli,2017,0.337
mli,2018,0.33206
mli,2020,0.32882
mlt,2010,0.71956
mlt,2017,0.743
mlt,2018,0.73758
mlt,2020,0.74701
mmr,2017,0.504
mmr,2018,0.50453
mmr,2020,0.51232
mne,2010,0.61395
mne,2018,0.64765
mne,2020,0.64891
mng,2018,0.65482
mng,2020,0.65165
mrt,2017,0.386
mrt,2018,0.40588
mrt,2020,0.41848
mus,2010,0.6339
mwi,2010,0.38897
mys,2010,0.61585
mys,2017,0.657
mys,2018,0.66868
mys,2020,0.6455
nam,2010,0.42233
ner,2017,0.329
ner,2018,0.33314
ner,2020,0.33077
nga,2017,0.358
nga,2018,0.38062
nga,2020,0.38777
nic,2017,0.564
nic,2018,0.53569
nic,2020,0.53631
nld,2010,0.82205
nld,2017,0.822
nld,2018,0.82382
nld,2020,0.81732
nor,2010,0.79778
nor,2017,0.798
nor,2018,0.79097
nor,2020,0.80184
nru,2020,0.55203
nzl,2010,0.81045
nzl,2017,0.797
nzl,2018,0.79857
nzl,2020,0.80075
omn,2010,0.59249
omn,2017,0.669
omn,2018,0.66441
omn,2020,0.66033
pak,2017,0.398
pak,2018,0.40897
pak,2020,0.41488
pan,2010,0.5489
pan,2017,0.557
pan,2018,0.53807
pan,2020,0.52849
per,2010,0.57223
per,2017,0.606
per,2018,0.60984
per,2020,0.61618
phl,2017,0.604
phl,2018,0.59334
phl,2020,0.55456
plw,2018,0.61273
plw,2020,0.63308
png,2017,0.412
png,2018,0.4389
png,2020,0.44459
pol,2017,0.792
pol,2018,0.80113
pol,2020,0.7968
prt,2010,0.77378
prt,2017,0.795
prt,2018,0.80207
prt,2020,0.7922
pry,2010,0.53559
pry,2017,0.549
pry,2018,0.54546
pry,2020,0.54606
pse,2017,0.587
pse,2018,0.61143
pse,2020,0.61963
qat,2010,0.61544
qat,2017,0.667
qat,2018,0.66619
qat,2020,0.67621
rou,2010,0.64199
rou,2017,0.641
rou,2018,0.63123
rou,2020,0.62445
rus,2017,0.815
rus,2018,0.78624
rus,2020,0.7355
rwa,2017,0.402
rwa,2018,0.4031
rwa,2020,0.40618
sau,2010,0.57212
sau,2017,0.625
sau,2018,0.62705
sau,2020,0.60865
sdn,2018,0.39817
sdn,2020,0.39979
sen,2010,0.40983
sen,2017,0.443
sen,2018,0.45396
sen,2020,0.45625
sgp,2010,0.8687
sgp,2017,0.914
sgp,2018,0.91127
sgp,2020,0.89848
slb,2017,0.463
slb,2018,0.4567
slb,2020,0.44502
sle,2017,0.345
sle,2018,0.37688
sle,2020,0.38877
slv,2017,0.524
slv,2018,0.57651
slv,2020,0.58158
srb,2010,0.67675
srb,2017,0.785
srb,2018,0.78741
srb,2020,0.70667
svk,2010,0.72114
svk,2017,0.731
svk,2018,0.71399
svk,2020,0.70061
svn,2010,0.79372
svn,2017,0.822
svn,2018,0.8225
svn,2020,0.81074
swe,2010,0.78945
swe,2017,0.828
swe,2018,0.82721
swe,2020,0.82133
swz,2010,0.34018
syc,2010,0.59728
tcd,2010,0.29069
tcd,2017,0.303
tcd,2018,0.30731
tcd,2020,0.30863
tgo,2010,0.3805
tgo,2017,0.427
tgo,2018,0.4448
tgo,2020,0.45331
tha,2010,0.62389
tha,2017,0.618
tha,2018,0.64828
tha,2020,0.64414
tjk,2017,0.544
tjk,2018,0.55427
tls,2010,0.43256
tls,2017,0.494
tls,2018,0.48923
tls,2020,0.49134
ton,2017,0.54
ton,2018,0.56206
ton,2020,0.57348
tto,2010,0.60015
tun,2010,0.55516
tun,2017,0.54
tun,2018,0.54092
tun,2020,0.54899
tur,2010,0.64695
tur,2017,0.645
tur,2018,0.64666
tur,2020,0.66856
tuv,2018,0.47671
tuv,2020,0.49225
tza,2017,0.421
tza,2018,0.40861
tza,2020,0.41317
ukr,2010,0.68631
ukr,2017,0.71
ukr,2018,0.69362
ukr,2020,0.68852
ury,2010,0.62582
ury,2018,0.63649
ury,2020,0.63443
usa,2010,0.71333
usa,2017,0.766
usa,2018,0.74041
usa,2020,0.73008
uzb,2020,0.64885
vct,2018,0.57869
vct,2020,0.584
vnm,2010,0.69643
vnm,2018,0.74496
vnm,2020,0.74769
vut,2017,0.504
vut,2018,0.47342
vut,2020,0.48393
wsm,2018,0.55776
wsm,2020,0.59489
yem,2017,0.375
yem,2018,0.38093
yem,2020,0.38177
zaf,2010,0.45141
zaf,2017,0.42
zaf,2018,0.45617
zaf,2020,0.45895
zwe,2010,0.43334
