geo,time,se_prm_tchr_fe_zs
aut,1994,83.7144
aut,1995,83.86039
aut,1996,83.02797
aut,1997,83.59412
aut,1998,84.17833
aut,1999,88.54275
aut,2002,90.53521
aut,2003,90.10825
aut,2004,90.90045
aut,2005,89.80813
aut,2006,89.24735
aut,2007,89.33183
aut,2008,89.19254
aut,2009,89.64324
aut,2010,89.98756
aut,2011,90.3929
aut,2012,90.86876
aut,2013,91.10996
aut,2014,91.43706
aut,2015,91.57886
aut,2016,91.65896
aut,2017,91.60567
aut,2019,91.95429
aze,1991,75.49375
aze,1992,76.73731
aze,1993,74.38564
aze,1994,76.67812
aze,1995,84.22401
aze,1996,83.08237
aze,1997,79.83331
aze,1998,78.7466
aze,1999,82.55094
aze,2000,82.75908
aze,2001,83.62905
aze,2002,83.80759
aze,2003,84.97275
aze,2004,84.87762
aze,2005,85.40823
aze,2006,86.48956
aze,2007,86.6118
aze,2008,87.05965
aze,2009,87.13375
aze,2010,88.39716
aze,2011,88.56898
aze,2012,89.87652
aze,2013,90.19799
aze,2014,90.19799
aze,2015,90.07837
aze,2016,90.82791
aze,2017,90.68282
aze,2018,92.93315
aze,2019,92.64885
aze,2020,93.40139
bdi,1971,25.57013
bdi,1972,26.88755
bdi,1973,39.70663
bdi,1974,40.77573
bdi,1975,42.19764
bdi,1976,42.96261
bdi,1977,43.06243
bdi,1978,45.54162
bdi,1980,47.58815
bdi,1981,46.99272
bdi,1982,47.35339
bdi,1983,48.03636
bdi,1984,47.15278
bdi,1985,47.18444
bdi,1986,47.48034
bdi,1987,48.23594
bdi,1989,46.45803
bdi,1990,46.06034
bdi,1991,46.23349
bdi,1992,46.94218
bdi,1993,46.77885
bdi,1998,51.71165
bdi,1999,53.67969
bdi,2000,55.16456
bdi,2001,54.04881
bdi,2002,53.64242
bdi,2003,54.17991
bdi,2004,54.39441
bdi,2005,55.45117
bdi,2006,55.31654
bdi,2007,52.75017
bdi,2009,52.842
bdi,2010,52.81068
bdi,2011,52.88672
bdi,2012,52.4113
bdi,2013,52.77865
bdi,2014,52.43031
bdi,2015,51.57355
bdi,2016,54.13323
bdi,2017,53.11056
bdi,2018,50.40254
bdi,2019,50.31332
bdi,2021,50.58647
bel,1971,56.20405
bel,1974,54.00302
bel,1976,57.12494
bel,1977,57.85004
bel,1978,57.62843
bel,1979,58.0851
bel,1980,58.62209
bel,1981,58.75081
bel,1984,60.73018
bel,1985,58.69011
bel,1986,62.50509
bel,1993,71.40231
bel,1994,71.82489
bel,2005,78.67544
bel,2008,80.30469
bel,2009,80.5811
bel,2010,80.98678
bel,2011,81.02549
bel,2012,81.29468
bel,2013,81.60289
bel,2014,81.70895
bel,2015,81.80996
bel,2016,82.1069
bel,2017,82.34789
bel,2018,82.55077
bel,2019,82.65208
ben,1971,28.99014
ben,1972,28.35327
ben,1973,27.91587
ben,1974,26.29213
ben,1975,27.48513
ben,1977,23.66056
ben,1978,23.41132
ben,1979,24.40476
ben,1981,23.11734
ben,1982,23.82237
ben,1983,24.71999
ben,1984,24.86229
ben,1985,24.11636
ben,1986,24.41273
ben,1988,24.80984
ben,1989,24.54236
ben,1990,24.55999
ben,1991,24.74181
ben,1992,24.75786
ben,1993,25.37925
ben,1994,25.44104
ben,1995,24.69454
ben,1996,24.03341
ben,1997,23.13913
ben,1998,23.14405
ben,1999,22.64463
ben,2000,21.88029
ben,2001,19.88838
ben,2002,19.0113
ben,2003,19.2075
ben,2004,18.86018
ben,2005,17.72062
ben,2006,17.36167
ben,2008,18.65991
ben,2009,18.75473
ben,2010,19.00104
ben,2011,19.86854
ben,2012,20.90202
ben,2013,21.86606
ben,2014,22.51044
ben,2015,23.91523
ben,2016,25.08676
ben,2017,25.25301
ben,2018,25.81163
ben,2019,26.53494
ben,2020,28.64812
bfa,1971,16.28692
bfa,1972,16.83502
bfa,1974,16.68468
bfa,1975,17.34803
bfa,1976,18.15148
bfa,1977,18.37388
bfa,1978,18.82022
bfa,1979,20.07355
bfa,1980,19.91404
bfa,1981,20.18919
bfa,1982,20.83333
bfa,1983,21.06911
bfa,1984,20.6839
bfa,1985,23.18919
bfa,1986,24.98769
bfa,1987,25.25952
bfa,1988,26.32489
bfa,1989,26.00595
bfa,1990,26.60989
bfa,1991,27.01337
bfa,1993,24.41564
bfa,1994,23.37864
bfa,1995,24.48644
bfa,1996,24.30719
bfa,1998,24.40206
bfa,1999,24.69388
bfa,2000,24.4967
bfa,2001,22.93892
bfa,2002,24.85007
bfa,2003,27.02524
bfa,2004,28.26681
bfa,2005,29.05932
bfa,2006,30.25938
bfa,2007,31.02869
bfa,2008,32.9309
bfa,2009,33.38122
bfa,2010,34.30151
bfa,2011,36.31412
bfa,2012,37.65229
bfa,2013,39.49164
bfa,2014,41.65609
bfa,2015,44.61879
bfa,2016,45.79742
bfa,2017,46.57846
bfa,2018,47.09031
bfa,2019,47.98314
bfa,2020,47.85348
bgd,1971,2.1667
bgd,1972,2.37202
bgd,1973,2.52726
bgd,1974,3.91902
bgd,1975,5.09783
bgd,1976,5.07863
bgd,1977,6.22018
bgd,1978,7.74078
bgd,1979,7.74117
bgd,1980,7.88254
bgd,1981,7.61929
bgd,1983,7.99655
bgd,1984,7.83584
bgd,1985,8
bgd,1986,8.14035
bgd,1987,8.12921
bgd,1988,17.54189
bgd,1989,18.07333
bgd,1990,19.38018
bgd,2005,37.16931
bgd,2006,37.82102
bgd,2007,40.43688
bgd,2008,41.82305
bgd,2009,43.4558
bgd,2010,49.21512
bgd,2011,53.73296
bgd,2015,59.54911
bgd,2016,60.27041
bgd,2017,61.30007
bgd,2018,61.30005
bgr,1996,89.12677
bgr,1997,89.31941
bgr,1998,89.5776
bgr,2000,90.90559
bgr,2001,91.54104
bgr,2002,91.95729
bgr,2003,92.27327
bgr,2004,92.55943
bgr,2005,92.82157
bgr,2006,93.06019
bgr,2007,93.29958
bgr,2008,93.46629
bgr,2009,93.73134
bgr,2010,93.93349
bgr,2011,94.17442
bgr,2012,94.13348
bgr,2013,94.32166
bgr,2014,94.39572
bgr,2016,94.35332
bgr,2017,94.02058
bgr,2018,93.25358
bgr,2019,93.36656
bhr,1973,42.10526
bhr,1974,41.14916
bhr,1975,44.62422
bhr,1976,46.2818
bhr,1977,46.76617
bhr,1978,47.24832
bhr,1979,47.20682
bhr,1980,48.24526
bhr,1981,48.19558
bhr,1982,48.95792
bhr,1983,49.01316
bhr,1984,49.96564
bhr,1985,51.38313
bhr,1986,47.58403
bhr,1987,56.77908
bhr,1988,57.53377
bhr,1989,49.27134
bhr,1990,47.89147
bhr,1991,48.15653
bhr,1992,48.07131
bhr,1993,60.38647
bhr,1994,62.02008
bhr,1995,65.29977
bhr,2011,74.82745
bhr,2012,74.8922
bhr,2013,74.08772
bhr,2014,74.66277
bhr,2015,74.5851
bhr,2016,74.55659
bhr,2017,74.65709
bhr,2018,74.13883
bhr,2019,74.79915
bhr,2020,74.31958
bhs,1971,68.8826
bhs,1983,68.93891
bhs,1985,67.713
bhs,1994,91.4611
bhs,1995,90.50505
bhs,1999,63.38321
bhs,2002,93.14933
bhs,2004,95.95349
bhs,2006,80.89936
bhs,2007,81.07438
bhs,2008,87.14102
bhs,2009,84.08498
bhs,2010,92.00666
bhs,2011,93.33667
bhs,2012,93.39045
bhs,2013,92.51248
bhs,2014,89.84509
bhs,2015,93.63344
bhs,2016,90.2545
bhs,2017,93.63344
bhs,2018,93.01252
bih,2013,83.9979
bih,2014,84.58164
bih,2015,85.51979
bih,2016,86.05821
bih,2017,86.6759
bih,2018,87.01147
bih,2019,87.37122
bih,2020,87.7899
blr,1998,99.05956
blr,1999,99.03276
blr,2000,99.09836
blr,2001,99.18237
blr,2002,99.19927
blr,2003,99.12102
blr,2004,99.19697
blr,2005,99.2945
blr,2006,99.32023
blr,2007,99.28887
blr,2008,99.27236
blr,2009,99.239
blr,2010,99.31401
blr,2011,99.2091
blr,2012,99.34732
blr,2013,99.43844
blr,2014,99.53983
blr,2015,99.48704
blr,2016,99.45946
blr,2017,99.49327
blr,2018,99.48294
blz,1999,64.09574
blz,2000,63.92504
blz,2001,64.69995
blz,2003,69.17326
blz,2004,71.97724
blz,2005,72.07334
blz,2006,71.44766
blz,2007,71.91358
blz,2008,71.90083
blz,2009,72.30108
blz,2010,72.75032
blz,2011,72.52196
blz,2012,72.12389
blz,2013,72.86389
blz,2014,73.89056
blz,2015,73.11617
blz,2016,73.15831
blz,2017,73.9924
blz,2018,74.66875
blz,2019,76.51544
blz,2020,75.59661
bmu,1971,85.04399
bmu,1972,75.20661
bmu,1974,84.39306
bmu,1975,85.53846
bmu,1977,80.48128
bmu,1978,86.52038
bmu,1979,87.40458
bmu,1980,88.54962
bmu,1981,72.75641
bmu,1982,69.32515
bmu,1983,88.19876
bmu,1984,88.60759
bmu,1985,89.96764
bmu,1995,87.68898
bmu,1997,88.07531
bmu,2001,89.1791
bmu,2002,87.9562
bmu,2003,87.59124
bmu,2004,87.67857
bmu,2005,88.09107
bmu,2006,89.41799
bmu,2010,89.80263
bmu,2011,91.15226
bmu,2012,87.41259
bmu,2013,88.6562
bmu,2014,87.54098
bmu,2016,88.33333
bol,1999,61.05645
bol,2013,64.56308
bol,2014,64.74925
bol,2015,64.87446
bol,2016,64.95348
bol,2017,64.88967
bol,2018,64.93902
bra,1970,94.78275
bra,1999,92.61424
bra,2000,92.61286
bra,2001,92.07231
bra,2002,90.04456
bra,2003,89.73466
bra,2004,89.57831
bra,2005,87.7874
bra,2007,91.02985
bra,2008,91.07577
bra,2009,90.8333
bra,2010,90.73113
bra,2011,90.23335
bra,2012,89.82962
bra,2013,89.76867
bra,2014,89.6354
bra,2015,89.31089
bra,2016,89.08501
bra,2017,88.66718
bra,2018,88.49112
bra,2019,88.21825
brb,1985,68.61365
brb,1989,75.88564
brb,1990,76.59176
brb,1992,72.11848
brb,1999,75.91398
brb,2000,76.02297
brb,2001,77.21519
brb,2002,76.68253
brb,2003,78.0137
brb,2004,77.40113
brb,2005,77.60381
brb,2007,77.97811
brb,2008,79.32862
brb,2009,78.22029
brb,2010,78.47302
brb,2011,77.7907
brb,2014,77.35736
brb,2015,76.53846
brb,2016,77.07663
brb,2017,76.55602
brb,2018,77.37024
brb,2019,76.53791
brb,2020,76.42276
brn,1970,40.42017
brn,1971,42.74538
brn,1972,43.64005
brn,1973,42.76359
brn,1974,42.99242
brn,1975,43.23641
brn,1976,44.31209
brn,1977,44.69052
brn,1978,46.19238
brn,1979,44.11587
brn,1980,45.48175
brn,1981,48
brn,1982,49.08996
brn,1983,50.68359
brn,1984,54.65465
brn,1986,54.11236
brn,1988,58.78899
brn,1989,60.943
brn,1991,56.78333
brn,1992,57.67278
brn,1993,59.33485
brn,1994,60.10101
brn,1995,58.13953
brn,1998,65.62693
brn,1999,66.30104
brn,2000,67.3586
brn,2001,69.46658
brn,2002,70.53167
brn,2003,72.5298
brn,2004,73.75088
brn,2005,71.17414
brn,2006,73.36411
brn,2007,73.84234
brn,2008,74.52017
brn,2009,75.84916
brn,2010,75.92402
brn,2011,75.83528
brn,2012,75.73056
brn,2013,76.74867
brn,2014,76.6983
brn,2015,77.31217
brn,2016,77.55102
brn,2017,77.48072
brn,2018,77.78892
brn,2019,78.07673
brn,2020,78.11179
btn,1970,13.76147
btn,1971,11.93059
btn,1972,13.46154
btn,1974,18.21561
btn,1978,25.18428
btn,1979,25.75251
btn,1991,33.02146
btn,1995,33.02351
btn,1998,32.98087
btn,1999,32.01439
btn,2000,34.47776
btn,2001,35.27305
btn,2005,38.18295
btn,2009,34.58895
btn,2010,43.87611
btn,2011,40.76695
btn,2012,40.19523
btn,2013,39.41726
btn,2015,40.04835
btn,2016,40.732
btn,2017,39.77982
btn,2018,39.44088
btn,2020,41.17647
bwa,1970,54.10989
bwa,1971,54.03494
bwa,1972,56.26267
bwa,1973,60.60044
bwa,1974,63.702
bwa,1975,66.48618
bwa,1976,67.6103
bwa,1977,69.72191
bwa,1978,70.76061
bwa,1979,71.29344
bwa,1980,71.99022
bwa,1981,74.02274
bwa,1982,76.33085
bwa,1983,76.33648
bwa,1984,76.08184
bwa,1985,77.86533
bwa,1986,77.81267
bwa,1987,78.43977
bwa,1988,78.35637
bwa,1989,79.51694
bwa,1990,79.83475
bwa,1991,78.17553
bwa,1992,77.00468
bwa,1993,76.69348
bwa,1994,76.47259
bwa,1995,77.58004
bwa,1998,81.85172
bwa,1999,81.23013
bwa,2000,80.56036
bwa,2001,79.94341
bwa,2002,79.59461
bwa,2003,79.08187
bwa,2004,78.57985
bwa,2005,77.63117
bwa,2006,80.11067
bwa,2007,76.31842
bwa,2008,75.54619
bwa,2009,75.84079
bwa,2010,75.88184
bwa,2011,75.63143
bwa,2012,75.10807
bwa,2013,74.29332
bwa,2014,74.57895
bwa,2015,74.29987
bwa,2017,73.98525
caf,1971,16.83526
caf,1972,16.2092
caf,1973,16.60479
caf,1974,16.44502
caf,1975,17.8221
caf,1976,17.78312
caf,1977,18.45934
caf,1978,19.05149
caf,1979,20.98639
caf,1980,21.12219
caf,1981,24.60048
caf,1982,23.55275
caf,1983,25.87076
caf,1984,26.49953
caf,1986,24.96821
caf,1987,23.28345
caf,1988,24.36993
caf,1989,25.24846
caf,1990,26.3055
caf,1991,24.87512
caf,2005,15.21599
caf,2008,12.54505
caf,2009,14.17458
caf,2010,14.33867
caf,2011,17.55706
caf,2012,19.94678
caf,2016,19.08569
caf,2017,19.01359
can,1983,66.27237
can,1984,66.5835
can,1990,68.80936
can,1991,68.70742
can,1992,68.77493
can,1993,66.32061
can,1994,66.10119
can,1995,66.81437
can,1996,66.79972
can,1999,68.06922
can,2000,68.06906
che,2012,81.6287
che,2013,82.36082
che,2014,81.98751
che,2016,82.58791
che,2017,82.80954
che,2018,83.26396
che,2019,83.34948
chl,1998,77.52805
chl,1999,77.05232
chl,2000,77.60715
chl,2002,77.34244
chl,2003,77.10153
chl,2004,78.08779
chl,2005,78.06842
chl,2006,78.12823
chl,2007,78.3973
chl,2008,78.04581
chl,2009,77.81537
chl,2010,77.69115
chl,2011,78.25006
chl,2012,78.19144
chl,2013,80.93628
chl,2014,80.95423
chl,2015,81.27409
chl,2016,81.22319
chl,2017,81.04358
chl,2018,80.8267
chl,2019,80.80304
chn,1974,36.39667
chn,1975,35.72006
chn,1976,36.29637
chn,1977,33.2577
chn,1978,38.55721
chn,1979,37.83008
chn,1980,36.59185
chn,1981,37.07859
chn,1982,36.32551
chn,1983,36.28238
chn,1984,37.00549
chn,1985,38.98987
chn,1986,39.57558
chn,1987,40.37609
chn,1988,40.95292
chn,1989,41.52473
chn,1990,42.57188
chn,1991,43.15446
chn,1992,43.79191
chn,1993,44.48566
chn,1994,45.15635
chn,1995,45.79716
chn,1996,46.61041
chn,1997,47.40135
chn,1998,48.28374
chn,2001,50.63297
chn,2003,52.90984
chn,2006,55.17626
chn,2007,55.54115
chn,2008,56.11092
chn,2009,56.7585
chn,2010,57.55411
chn,2011,58.3616
chn,2012,58.99434
chn,2013,59.87718
chn,2014,60.97638
chn,2015,62.59739
chn,2016,63.99851
chn,2017,65.62148
chn,2018,67.39675
chn,2019,68.97296
chn,2020,70.2327
civ,1970,11.14712
civ,1971,13.35721
civ,1972,10.61839
civ,1973,11.80225
civ,1974,10.77671
civ,1975,12.0461
civ,1976,12.41047
civ,1977,13.23046
civ,1978,13.94954
civ,1979,15.43438
civ,1980,15.07985
civ,1981,15.38171
civ,1982,16.726
civ,1983,17.31795
civ,1984,18.01074
civ,1985,16.51146
civ,1986,18.77313
civ,1987,18.19046
civ,1988,18.57698
civ,1989,18.77941
civ,1990,18.78519
civ,1991,18.81955
civ,1992,18.91338
civ,1993,19.28556
civ,1994,20.09524
civ,1995,18.41755
civ,1996,20.50137
civ,1998,19.62845
civ,1999,20.00626
civ,2000,20.18053
civ,2001,20.48217
civ,2002,21.77826
civ,2003,23.98982
civ,2006,23.15082
civ,2007,24.49916
civ,2008,22.87192
civ,2009,23.44675
civ,2011,27.01798
civ,2012,24.41156
civ,2013,25.02612
civ,2014,25.65894
civ,2015,27.75747
civ,2016,28.02406
civ,2017,29.76606
civ,2018,30.24545
civ,2019,31.5994
civ,2020,34.73315
cmr,1972,13.40362
cmr,1973,13.58199
cmr,1974,12.15579
cmr,1975,12.69528
cmr,1976,13.75568
cmr,1977,14.61201
cmr,1978,15.70739
cmr,1979,16.91825
cmr,1980,17.28419
cmr,1981,19.60916
cmr,1982,20.89557
cmr,1983,22.30277
cmr,1984,23.68353
cmr,1985,24.98597
cmr,1986,26.76647
cmr,1987,28.78135
cmr,1988,28.57338
cmr,1989,29.59126
cmr,1990,30.12644
cmr,1991,30.01301
cmr,1992,31.60802
cmr,1995,31.66463
cmr,1998,34.05997
cmr,1999,35.50386
cmr,2001,35.50486
cmr,2002,35.13717
cmr,2003,32.78007
cmr,2004,39.70434
cmr,2005,40
cmr,2006,40.14401
cmr,2007,42.51175
cmr,2008,44.20511
cmr,2009,45.61954
cmr,2010,47.99556
cmr,2011,49.79532
cmr,2012,51.15607
cmr,2014,52.69688
cmr,2015,54.15892
cmr,2016,54.50696
cmr,2017,54.32928
cmr,2018,52.89417
cmr,2019,55.51343
cod,1992,19.65868
cod,1993,19.46583
cod,1994,24.03941
cod,1995,22.24297
cod,1999,21.47098
cod,2002,25.85926
cod,2007,25.90823
cod,2008,26.50962
cod,2009,26.34331
cod,2010,27.12715
cod,2011,26.96844
cod,2012,25.46934
cod,2013,28.13882
cod,2014,28.34343
cod,2015,29.20787
cod,2018,28.61431
cog,1971,15.13597
cog,1972,15.28288
cog,1973,15.61857
cog,1974,14.47312
cog,1975,15.45616
cog,1976,17.3905
cog,1978,23.23596
cog,1979,24.66335
cog,1980,24.62055
cog,1981,24.96521
cog,1982,25.7396
cog,1983,27.0569
cog,1984,27.61758
cog,1985,29.36813
cog,1986,29.78696
cog,1987,32.39959
cog,1988,32.80388
cog,1989,31.94197
cog,1990,32.83152
cog,1991,32.4228
cog,1992,33.1108
cog,1993,33.95819
cog,1994,33.97185
cog,1995,33.42844
cog,1999,41.86047
cog,2000,36.50152
cog,2001,37.58907
cog,2002,37.59366
cog,2003,43.00333
cog,2004,44.5452
cog,2006,47.13144
cog,2007,44.32321
cog,2008,46.5028
cog,2009,51.22208
cog,2010,52.9379
cog,2011,53.85413
cog,2012,53.50638
cog,2018,37.72311
col,1970,77.16993
col,1971,77.12554
col,1980,79.00221
col,1981,79.01119
col,1985,78.99353
col,1986,79.00003
col,1992,79.75992
col,1996,77.24007
col,1998,77.00449
col,1999,77.00443
col,2000,77.27462
col,2001,77.01512
col,2002,76.89682
col,2004,76.50454
col,2005,76.50055
col,2006,76.49691
col,2007,77.91852
col,2008,77.9162
col,2009,77.75903
col,2010,77.94147
col,2011,78.6816
col,2012,77.14686
col,2013,77.40818
col,2014,77.4965
col,2015,77.29381
col,2016,77.26097
col,2017,77.2887
col,2019,77.12012
com,1971,11.35734
com,1972,5.80808
com,1973,11.81989
com,1981,7.35294
com,1986,20.67333
com,1999,25.70349
com,2003,32.84044
com,2004,32.86148
com,2008,36.87924
com,2011,27.8029
com,2013,42.73484
com,2016,30.82457
com,2017,20.3142
com,2018,29.49413
cpv,1987,60.58068
cpv,1988,59.72516
cpv,1989,59.56588
cpv,1990,60.2071
cpv,1994,58.71283
cpv,1998,62.25536
cpv,1999,62.48451
cpv,2000,61.91223
cpv,2001,64.46795
cpv,2002,64.5306
cpv,2003,65.05564
cpv,2004,66.67719
cpv,2005,66.05016
cpv,2006,66.26168
cpv,2007,66.6877
cpv,2008,66.66667
cpv,2009,67.08984
cpv,2010,67.53074
cpv,2011,67.29475
cpv,2012,67.86198
cpv,2013,67.58037
cpv,2014,67.79089
cpv,2015,69.24364
cpv,2016,70.98497
cpv,2017,71.58488
cpv,2018,71.11403
cpv,2019,70.99903
cri,1970,74.53072
cri,1971,70.67407
cri,1976,74.17714
cri,1981,78.77984
cri,1991,79.73434
cri,1996,78.35821
cri,1997,81.19076
cri,1998,81.19445
cri,1999,80.61508
cri,2000,80.38985
cri,2001,78.79375
cri,2002,79.73656
cri,2004,79.0991
cri,2005,78.9913
cri,2006,79.6524
cri,2007,79.84955
cri,2008,79.98652
cri,2009,80.16131
cri,2010,80.24552
cri,2011,80.13546
cri,2013,79.58651
cri,2014,79.58406
cri,2015,79.1052
cri,2016,78.9259
cri,2017,79.08534
cri,2018,78.96968
cri,2019,78.78745
cri,2020,78.89448
cub,1974,63.92747
cub,1975,64.11897
cub,1976,71.69429
cub,1979,73.31619
cub,1980,74.07853
cub,1981,75.36679
cub,1982,76.71604
cub,1983,76.42938
cub,1984,76.8424
cub,1985,77.435
cub,1986,76.97864
cub,1987,77.50721
cub,1988,77.59157
cub,1989,78.05534
cub,1990,78.00019
cub,1991,78.89716
cub,1992,77.83038
cub,1993,77.99267
cub,1994,78.28278
cub,1995,81.22331
cub,1996,80.19434
cub,1997,81.19479
cub,1998,91.68766
cub,1999,78.61872
cub,2000,83.23031
cub,2001,83.33689
cub,2003,77.74264
cub,2004,76.9136
cub,2005,77.66248
cub,2006,77.08144
cub,2007,76.1783
cub,2008,76.56297
cub,2009,77.85276
cub,2010,77.79027
cub,2011,78.06815
cub,2012,78.47326
cub,2013,79.86315
cub,2014,79.83826
cub,2015,81.90888
cub,2016,80.74815
cub,2017,80.60511
cub,2018,80.69993
cub,2019,80.57836
cub,2020,82.45755
cym,1977,85.22727
cym,1980,85.71429
cym,1999,88.51675
cym,2000,86.91983
cym,2001,85.04274
cym,2002,80.83333
cym,2004,80.87649
cym,2005,88.53755
cym,2006,88.11189
cym,2007,89.55224
cym,2008,87.70227
cym,2011,85.15152
cym,2012,88.44884
cym,2013,88.44884
cym,2018,89.74359
cym,2020,86.48025
cyp,1971,40.08772
cyp,1972,41.41856
cyp,1973,42.43349
cyp,1974,43.06888
cyp,1975,42.34841
cyp,1976,43.59829
cyp,1977,44.84512
cyp,1978,45.77586
cyp,1979,44.80778
cyp,1980,45.59091
cyp,1981,45.28044
cyp,1982,46.3005
cyp,1983,46.7357
cyp,1984,47.4561
cyp,1985,48.81926
cyp,1986,49.39705
cyp,1987,51.00756
cyp,1988,52.75835
cyp,1989,54.97595
cyp,1990,56.81658
cyp,1991,59.95438
cyp,1992,62.14242
cyp,1993,63.28446
cyp,1994,64.49653
cyp,1995,65.27778
cyp,1996,65.35342
cyp,1997,68.82437
cyp,1999,66.84674
cyp,2000,67.71064
cyp,2001,75.22291
cyp,2002,81.93491
cyp,2003,83.21784
cyp,2004,82.77239
cyp,2005,82.98119
cyp,2006,82.57513
cyp,2007,82.06654
cyp,2008,82.38961
cyp,2009,82.58097
cyp,2010,83.18695
cyp,2011,83.04079
cyp,2012,82.84264
cyp,2013,83.0777
