geo,time,sh_sta_diab_zs
npl,2011,3.6
npl,2021,8.7
nru,2011,20.4
nru,2021,23.4
nzl,2011,8.6
nzl,2021,6.2
omn,2011,10.5
omn,2021,13.8
pak,2000,11.8
pak,2011,7.9
pak,2021,30.8
pan,2011,9.4
pan,2021,8.2
per,2011,6
per,2021,4.8
phl,2011,9.7
phl,2021,7.1
plw,2011,11.1
plw,2021,17
png,2000,15.5
png,2011,7.6
png,2021,16.7
pol,2011,9
pol,2021,6.8
pri,2011,13
pri,2021,13.3
prk,2011,8.4
prk,2021,8.6
prt,2011,9.6
prt,2021,9.1
pry,2011,6.5
pry,2021,7.5
pse,2011,9.2
pse,2021,9.2
pyf,2011,8.6
pyf,2021,25.2
qat,2011,19.8
qat,2021,19.5
rou,2011,7.7
rou,2021,6.5
rus,2011,9.7
rus,2021,5.6
rwa,2011,3.1
rwa,2021,6.5
sau,2011,19.6
sau,2021,18.7
sdn,2011,8.6
sdn,2021,18.9
sen,2011,3.2
sen,2021,3.1
sgp,2011,9.5
sgp,2021,11.6
slb,2011,15.3
slb,2021,19.8
sle,2011,3.2
sle,2021,2.1
slv,2011,9.4
slv,2021,6.3
smr,2011,5.5
smr,2021,7.4
som,2011,4.3
som,2021,6.5
srb,2011,7.7
srb,2021,9.1
ssd,2021,6.5
stp,2011,5.5
stp,2021,5.5
sur,2011,8.9
sur,2021,12.7
svk,2011,5.7
svk,2021,5.8
svn,2011,7.5
svn,2021,5.8
swe,2011,4.2
swe,2021,5
swz,2011,3.1
swz,2021,4.6
syc,2011,12.1
syc,2021,8.5
syr,2011,9.9
syr,2021,14.9
tcd,2011,3.9
tcd,2021,5.8
tgo,2011,3.3
tgo,2021,2.1
tha,2011,7.5
tha,2021,9.7
tjk,2011,6.3
tjk,2021,6.6
tkm,2011,2.7
tkm,2021,6.7
tls,2011,7.5
tls,2021,8.6
ton,2000,11.5
ton,2011,12.7
ton,2021,15
tto,2000,14.1
tto,2011,12.7
tto,2021,12.7
tun,2011,9.5
tun,2021,9.6
tur,2011,7.9
tur,2021,14.5
tuv,2011,19.2
tuv,2021,20.3
tza,2011,2.8
tza,2021,12.3
uga,2011,2.8
uga,2021,4.6
ukr,2011,2.9
ukr,2021,5.6
ury,2011,5.7
ury,2021,9
usa,2011,9.4
usa,2021,10.7
uzb,2011,6.4
uzb,2021,7
vct,2011,8.8
vct,2021,8
ven,2011,10.2
ven,2021,9.6
vgb,2000,12.1
vgb,2011,8.6
vgb,2021,8.7
vir,2011,12.1
vir,2021,12.4
vnm,2011,3.2
vnm,2021,6.1
vut,2011,16.1
vut,2021,15.6
wsm,2011,7.7
wsm,2021,9.2
yem,2011,9.6
yem,2021,5.4
zaf,2011,7
zaf,2021,10.8
zmb,2011,4.8
zmb,2021,11.9
zwe,2011,9.8
zwe,2021,2.1
