geo,time,cm_mkt_trad_gd_zs
bel,2009,25.50184
bel,2010,22.31271
bel,2011,19.72949
bel,2012,20.3416
bel,2013,22.09828
bel,2014,20.0317
bgd,1993,0.04462
bgd,1994,0.31893
bgd,1995,0.39552
bgd,1996,1.83671
bgd,1997,1.17972
bgd,1998,2.01822
bgd,1999,1.88878
bgd,2000,1.75292
bgd,2001,0.4836
bgd,2004,0.38106
bgd,2005,0.29601
bgd,2006,0.32929
bgd,2007,0.88911
bgd,2008,1.59519
bgd,2009,2.28273
bgd,2010,4.19642
bgd,2011,1.72922
bgd,2012,1.08214
bgd,2013,0.824
bgd,2014,9.14445
bgd,2015,6.97785
bgd,2016,6.91951
bgd,2017,10.61349
bgd,2018,5.89045
bgd,2019,4.33844
bgd,2020,4.61843
bgr,1993,0.02031
bgr,1994,0.02269
bgr,1995,0.02212
bgr,1996,0.07882
bgr,1997,0.38291
bgr,1998,0.97208
bgr,1999,0.04256
bgr,2000,0.03103
bgr,2001,0.49565
bgr,2002,0.99434
bgr,2003,0.54959
bgr,2004,1.75148
bgr,2005,2.61633
bgr,2006,5.43418
bgr,2007,15.27813
bgr,2008,2.41527
bgr,2009,0.93629
bgr,2010,0.74435
bgr,2011,0.55804
bgr,2012,0.66666
bgr,2013,1.57606
bgr,2019,0.24729
bgr,2020,0.30418
bhr,1994,2.87739
bhr,1995,1.81384
bhr,1996,2.89584
bhr,1997,7.55213
bhr,1998,9.321
bhr,1999,6.72692
bhr,2000,2.70818
bhr,2001,2.13342
bhr,2002,2.2411
bhr,2003,2.40844
bhr,2004,2.36986
bhr,2005,4.39791
bhr,2006,7.46359
bhr,2007,4.80773
bhr,2008,8.10403
bhr,2009,2.03276
bhr,2010,1.11833
bhr,2011,0.54256
bhr,2012,0.90539
bhr,2013,1.85805
bhr,2014,2.14989
bhr,2015,0.94697
bhr,2016,1.03277
bhr,2017,1.58709
bhr,2018,2.56576
bhr,2019,1.96554
bhr,2020,1.70741
blr,2014,0.0318
blr,2015,0.01495
blr,2016,0.03851
blr,2017,0.04018
blr,2018,0.02365
blr,2019,0.02324
blr,2020,0.01004
bmu,1995,1.5807
bmu,1996,1.32448
bmu,1997,3.28693
bmu,1998,3.11747
bmu,1999,6.79815
bmu,2000,3.9078
bmu,2001,5.78728
bmu,2002,2.33667
bmu,2003,1.21151
bmu,2004,1.4264
bmu,2005,1.40403
bmu,2006,2.55534
bmu,2007,2.39279
bmu,2008,1.46132
bmu,2009,0.46559
bmu,2010,1.57524
bmu,2011,0.2967
bmu,2012,0.45875
bmu,2013,0.68205
bmu,2014,0.36904
bmu,2015,0.23007
bmu,2016,3.14453
bmu,2017,0.548
bmu,2018,0.68034
bmu,2019,0.30398
bra,1979,1.46536
bra,1980,2.26447
bra,1981,2.39672
bra,1982,2.18396
bra,1983,1.85003
bra,1984,3.93634
bra,1985,7.86217
bra,1986,11.27162
bra,1987,3.47167
bra,1988,1.97838
bra,1989,1.19662
bra,1990,1.4954
bra,1991,3.4347
bra,1992,7.02713
bra,1993,9.55428
bra,1994,15.56201
bra,1995,10.25597
bra,1996,13.6553
bra,1997,24.61475
bra,1998,20.01391
bra,1999,26.49079
bra,2000,14.34916
bra,2001,11.51408
bra,2002,7.72363
bra,2003,12.62531
bra,2004,16.98553
bra,2005,19.16931
bra,2006,25.23204
bra,2007,46.19799
bra,2008,33.60324
bra,2009,42.46361
bra,2010,41.11356
bra,2011,31.53162
bra,2012,33.73476
bra,2013,29.91235
bra,2014,26.22801
bra,2015,23.30346
bra,2016,31.24592
bra,2017,31.13632
bra,2018,40.12638
bra,2019,55.31536
bra,2020,95.07609
brb,1993,0.21325
brb,1994,0.26495
brb,1995,0.14028
brb,1996,0.26061
brb,1997,0.9274
brb,1998,1.12989
brb,1999,0.34521
brb,2000,1.57215
brb,2001,0.33721
brb,2010,0.74172
brb,2011,2.51594
brb,2012,0.34707
brb,2013,0.13684
brb,2014,0.18524
brb,2019,0.26473
brb,2020,0.14169
bwa,1994,0.70434
bwa,1995,0.80138
bwa,1996,0.58811
bwa,1997,1.12346
bwa,1998,1.38296
bwa,1999,0.66937
can,1975,2.99645
can,1976,3.08307
can,1977,3.15058
can,1978,4.6466
can,1979,7.43705
can,1980,9.91635
can,1981,7.73533
can,1982,5.25291
can,1983,8.27179
can,1984,7.12161
can,1985,10.68967
can,1986,15.15075
can,1987,21.62089
can,1988,13.55604
can,1989,15.81796
can,1990,11.47024
can,1991,12.01571
can,1992,12.77969
can,1993,23.10558
can,1994,27.00769
can,1995,30.36358
can,1996,42.15786
can,1997,51.59766
can,1998,56.262
can,1999,57.88115
can,2000,84.38638
can,2001,60.34663
can,2002,58.95775
can,2003,56.56341
can,2004,68.81279
can,2005,79.45639
can,2006,93.77517
can,2007,118.80258
can,2008,96.7701
can,2009,96.96079
can,2010,86.86124
can,2011,82.18667
can,2012,73.72551
can,2013,71.67677
can,2014,74.41722
can,2015,70.41879
can,2016,75.48237
can,2017,77.61936
can,2018,79.61697
can,2019,82.23609
can,2020,61.41333
chanisl,1999,1.17361
chanisl,2000,0.53512
chanisl,2001,0.95942
chanisl,2002,0.70517
chanisl,2003,0.11552
chanisl,2004,0.14637
chanisl,2005,0.03115
chanisl,2006,0.00806
chanisl,2007,0.00087
che,1980,64.54151
che,1981,66.68367
che,1983,110.49225
che,1984,119.16956
che,1985,193.2015
che,1986,81.98974
che,1987,214.02308
che,1988,180.12721
che,1989,198.66421
che,1990,150.57996
che,1991,27.31469
che,1992,25.84259
che,1993,68.68198
che,1994,84.76454
che,1995,90.36749
che,1996,121.95027
che,1997,183.07361
che,1998,226.4324
che,1999,155.85244
che,2000,226.59216
che,2001,204.22716
che,2002,158.22072
che,2003,123.57948
che,2004,10.81391
che,2005,13.47023
che,2006,18.31166
che,2007,255.15046
che,2008,247.72175
che,2009,138.05435
che,2010,145.06434
che,2011,114.66242
che,2012,85.53377
che,2013,98.15316
che,2014,99.95385
che,2015,136.04214
che,2016,120.36188
che,2017,134.61548
che,2018,127.57254
che,2019,131.96865
che,2020,173.8393
chl,1980,2.59327
chl,1981,1.30108
chl,1982,0.87262
chl,1983,0.52564
chl,1984,0.50962
chl,1985,0.81343
chl,1986,3.9966
chl,1987,5.68851
chl,1988,5.85632
chl,1989,6.28729
chl,1990,4.76235
chl,1991,4.67517
chl,1992,4.17968
chl,1993,5.35787
chl,1994,9.29389
chl,1995,15.09386
chl,1996,1.3819
chl,1997,8.74325
chl,1998,5.2699
chl,1999,8.67582
chl,2000,7.40251
chl,2001,5.73559
chl,2002,3.81692
chl,2003,9.99778
chl,2004,13.18569
chl,2005,16.63125
chl,2006,17.96791
chl,2007,26.01445
chl,2008,16.07247
chl,2009,21.48275
chl,2010,26.50589
chl,2011,20.32358
chl,2012,17.40472
chl,2013,14.80938
chl,2014,10.41326
chl,2015,8.06602
chl,2016,9.5724
chl,2017,13.74993
chl,2018,14.64011
chl,2019,13.14749
chl,2020,15.70634
chn,1993,8.98639
chn,1994,12.08039
chn,1995,10.55463
chn,1996,35.6284
chn,1997,38.58708
chn,1998,27.63634
chn,2000,62.1278
chn,2001,34.55136
chn,2002,22.99876
chn,2003,23.36955
chn,2004,26.15883
chn,2005,17.16415
chn,2006,42.11249
chn,2007,177.60111
chn,2008,84.99775
chn,2009,153.49338
chn,2010,135.65829
chn,2011,88.37959
chn,2012,58.92011
chn,2013,80.41436
chn,2014,114.16276
chn,2015,355.51985
chn,2016,162.86485
chn,2017,139.90867
chn,2018,94.06847
chn,2019,127.7856
chn,2020,214.50271
civ,1998,0.09694
civ,1999,0.39966
civ,2000,0.199
civ,2001,0.05116
civ,2002,0.09687
civ,2003,0.11439
civ,2004,0.21339
civ,2005,0.14544
civ,2006,0.42339
civ,2007,0.57149
civ,2008,0.85644
civ,2009,0.71001
civ,2010,0.64978
civ,2011,0.31771
civ,2012,0.47986
civ,2013,0.85914
civ,2014,0.81686
civ,2015,1.13905
civ,2019,0.25759
civ,2020,0.27564
col,1980,1.06884
col,1981,1.34658
col,1982,0.31821
col,1983,0.16008
col,1984,0.14116
col,1985,0.12323
col,1986,0.14882
col,1987,0.28867
col,1988,0.24227
col,1989,0.25544
col,1990,0.22573
col,1991,0.728
col,1992,1.41735
col,1993,1.36651
col,1994,3.22263
col,1995,1.29936
col,1996,2.63174
col,1997,2.23984
col,1998,3.31458
col,1999,1.60351
col,2000,1.18034
col,2001,0.79828
col,2002,1.05244
col,2003,0.85142
col,2004,1.7762
col,2005,6.55732
col,2006,9.66299
col,2007,8.36523
col,2008,7.44633
col,2009,8.54122
col,2010,7.92048
col,2011,7.74647
col,2012,8.68188
col,2013,5.3411
col,2014,4.51731
col,2015,3.94796
col,2016,5.0094
col,2017,4.44569
col,2018,4.08812
col,2019,4.29919
col,2020,3.68412
cri,1993,0.11479
cri,1994,0.20693
cri,1995,0.13594
cri,1996,0.11568
cri,1997,0.13675
cri,1998,0.23648
cri,1999,1.4614
cri,2003,0.66525
cri,2004,0.20193
cri,2005,0.10928
cri,2006,0.27219
cri,2007,0.26666
cri,2008,0.17681
cri,2009,0.10193
cri,2010,0.1098
cri,2011,0.08613
cri,2012,0.07114
cri,2013,0.12974
cri,2014,0.23389
cri,2015,0.09188
cri,2016,0.06111
cri,2017,0.0915
cri,2018,0.07406
cri,2019,0.05712
cri,2020,0.04896
cym,2006,0.03762
cym,2007,0.12986
cym,2008,0.03053
cym,2009,0.04437
cym,2010,0.02406
cym,2011,0.06068
cym,2012,0.05919
cym,2015,0.01062
cym,2018,0.17745
cym,2019,0.05964
cym,2020,0.02325
cyp,1993,0.42638
cyp,1994,1.18777
cyp,1995,2.98697
cyp,1996,4.57954
cyp,1997,4.21562
cyp,1998,6.83312
cyp,1999,61.05026
cyp,2000,95.54825
cyp,2001,30.28305
cyp,2002,5.84927
cyp,2003,2.13304
cyp,2004,1.52824
cyp,2005,2.56491
cyp,2006,15.67545
cyp,2007,18.62716
cyp,2008,6.44431
cyp,2009,6.78841
cyp,2010,2.88546
cyp,2011,1.62958
cyp,2012,1.17945
cyp,2013,0.17246
cyp,2014,0.24446
cyp,2015,0.6597
cyp,2016,0.35427
cyp,2017,0.30225
cyp,2018,0.21848
cyp,2019,0.21748
cyp,2020,0.15833
cze,1993,0.58116
cze,1994,3.19184
cze,1995,4.56359
cze,1996,9.39292
cze,1997,9.18684
cze,1998,7.0736
cze,1999,6.03591
cze,2000,10.75566
cze,2001,5.08509
cze,2002,7.20505
cze,2003,8.76046
cze,2004,15.03151
cze,2005,25.03965
cze,2006,18.41661
cze,2007,19.86949
cze,2008,13.6311
cze,2009,12.84117
cze,2010,10.55962
cze,2011,8.97707
cze,2012,8.39567
cze,2013,5.79586
