geo,time,ic_frm_thev_zs
mkd,2013,21.9
mkd,2019,15.9
mli,2007,15.9
mli,2010,11.2
mli,2016,16.8
mlt,2019,9.3
mmr,2014,7.4
mmr,2016,13.1
mne,2009,12.2
mne,2013,18.9
mne,2019,5.8
mng,2009,26.3
mng,2013,14.7
mng,2019,9.6
moz,2007,37.2
moz,2018,22.4
mrt,2006,12.8
mrt,2014,21.5
mus,2009,24.5
mwi,2009,50.1
mwi,2014,33.5
mys,2015,17.4
nam,2006,44.1
nam,2014,28.2
ner,2009,32.1
ner,2017,18.9
nga,2014,14
nic,2006,24.3
nic,2010,30.2
nic,2016,19.1
nld,2020,23.8
npl,2009,17.1
npl,2013,11.3
pak,2007,10.4
pak,2013,9.5
pan,2006,23.5
pan,2010,6.5
per,2006,26.6
per,2010,23.6
per,2017,18.9
phl,2009,29.2
phl,2015,17
png,2015,61.5
pol,2009,22.6
pol,2013,16.2
pol,2019,8.5
prt,2019,5.1
pry,2006,31.1
pry,2010,39.4
pry,2017,16.5
pse,2013,12.6
pse,2019,4.2
rou,2009,12.1
rou,2013,14.9
rou,2019,6
rus,2009,34.7
rus,2012,15.8
rus,2019,14.4
rwa,2006,17.4
rwa,2011,18.3
rwa,2019,7.8
sdn,2014,10.9
sen,2007,12.1
sen,2014,14.5
slb,2015,34.6
sle,2009,21.2
sle,2017,47.3
slv,2006,47.8
slv,2010,37.1
slv,2016,29.1
srb,2009,28.1
srb,2013,19.3
srb,2019,10.2
ssd,2014,29.9
sur,2010,15.6
sur,2018,34.4
svk,2009,27.3
svk,2013,13.3
svk,2019,8.8
svn,2009,22.9
svn,2013,15.1
svn,2019,12.9
swe,2014,39.8
swe,2020,33.8
swz,2006,37.8
swz,2016,44.5
tcd,2009,40.8
tcd,2018,25.9
tgo,2009,21.8
tgo,2016,19
tha,2016,1.8
tjk,2008,6.7
tjk,2013,4.6
tjk,2019,1.1
tls,2009,21.6
tls,2015,15.8
ton,2009,16.4
tto,2010,28.3
tun,2013,12
tun,2020,4.3
tur,2008,12.3
tur,2013,6.1
tur,2019,2.6
tza,2006,30.5
tza,2013,26.2
uga,2006,26
uga,2013,15.8
ukr,2008,20.2
ukr,2013,10.7
ukr,2019,18.8
ury,2006,38.6
ury,2010,38.1
ury,2017,28.1
uzb,2008,3.7
uzb,2013,1
uzb,2019,3.2
vct,2010,30.9
ven,2006,21.5
ven,2010,43.7
vnm,2009,26.2
vnm,2015,11
vut,2009,60.4
wsm,2009,52.4
yem,2010,13.2
yem,2013,17.1
zaf,2007,42.6
zaf,2020,12.5
zmb,2007,31.8
zmb,2013,27.1
zmb,2019,32.8
zwe,2011,22.1
zwe,2016,20.9
