geo,time,ic_wrh_durs
fji,2014,141
fji,2015,141
fji,2016,141
fji,2017,141
fji,2018,141
fji,2019,141
fra,2005,191
fra,2006,191
fra,2007,191
fra,2008,191
fra,2009,183
fra,2010,183
fra,2011,183
fra,2012,183
fra,2013,183
fra,2014,183
fra,2015,183
fra,2016,183
fra,2017,183
fra,2018,213
fra,2019,213
fsm,2005,85
fsm,2006,85
fsm,2007,85
fsm,2008,85
fsm,2009,85
fsm,2010,85
fsm,2011,85
fsm,2012,85
fsm,2013,85
fsm,2014,85
fsm,2015,85
fsm,2016,85
fsm,2017,85
fsm,2018,85
fsm,2019,85
gab,2005,280
gab,2006,280
gab,2007,280
gab,2008,280
gab,2009,280
gab,2010,280
gab,2011,280
gab,2012,280
gab,2013,215
gab,2014,200
gab,2015,335
gab,2016,335
gab,2017,275
gab,2018,275
gab,2019,275
gbr,2005,150
gbr,2006,150
gbr,2007,150
gbr,2008,150
gbr,2009,100
gbr,2010,100
gbr,2011,86
gbr,2012,86
gbr,2013,86
gbr,2014,86
gbr,2015,86
gbr,2016,86
gbr,2017,86
gbr,2018,86
gbr,2019,86
geo,2005,197.5
geo,2006,133.5
geo,2007,127.5
geo,2008,127.5
geo,2009,90.5
geo,2010,90.5
geo,2011,90
geo,2012,65
geo,2013,63
geo,2014,63
geo,2015,63
geo,2016,63
geo,2017,63
geo,2018,63
geo,2019,63
gha,2005,215
gha,2006,215
gha,2007,215
gha,2008,215
gha,2009,215
gha,2010,215
gha,2011,215
gha,2012,215
gha,2013,215
gha,2014,170
gha,2015,170
gha,2016,170
gha,2017,170
gha,2018,170
gha,2019,170
gin,2005,181
gin,2006,181
gin,2007,181
gin,2008,181
gin,2009,181
gin,2010,181
gin,2011,181
gin,2012,181
gin,2013,181
gin,2014,181
gin,2015,181
gin,2016,182
gin,2017,161
gin,2018,151
gin,2019,151
gmb,2005,172
gmb,2006,172
gmb,2007,172
gmb,2008,172
gmb,2009,172
gmb,2010,173
gmb,2011,173
gmb,2012,173
gmb,2013,173
gmb,2014,173
gmb,2015,173
gmb,2016,173
gmb,2017,173
gmb,2018,173
gmb,2019,173
gnb,2005,128
gnb,2006,128
gnb,2007,128
gnb,2008,128
gnb,2009,128
gnb,2010,128
gnb,2011,128
gnb,2012,128
gnb,2013,143
gnb,2014,143
gnb,2015,143
gnb,2016,143
gnb,2017,143
gnb,2018,143
gnb,2019,143
gnq,2005,144
gnq,2006,144
gnq,2007,144
gnq,2008,144
gnq,2009,144
gnq,2010,144
gnq,2011,144
gnq,2012,144
gnq,2013,144
gnq,2014,144
gnq,2015,144
gnq,2016,144
gnq,2017,144
gnq,2018,144
gnq,2019,144
grc,2005,245
grc,2006,245
grc,2007,245
grc,2008,245
grc,2009,245
grc,2010,245
grc,2011,245
grc,2012,181
grc,2013,181
grc,2014,181
grc,2015,181
grc,2016,181
grc,2017,181
grc,2018,180
grc,2019,180
grd,2005,146
grd,2006,146
grd,2007,146
grd,2008,146
grd,2009,146
grd,2010,146
grd,2011,146
grd,2012,146
grd,2013,146
grd,2014,146
grd,2015,146
grd,2016,146
grd,2017,146
grd,2018,146
grd,2019,146
gtm,2005,363
gtm,2006,303
gtm,2007,248
gtm,2008,228
gtm,2009,191
gtm,2010,191
gtm,2011,191
gtm,2012,184
gtm,2013,138
gtm,2014,138
gtm,2015,138
gtm,2016,168
gtm,2017,229
gtm,2018,226
gtm,2019,226
guy,2005,186
guy,2006,208
guy,2007,208
guy,2008,208
guy,2009,208
guy,2010,208
guy,2011,208
guy,2012,208
guy,2013,208
guy,2014,208
guy,2015,208
guy,2016,208
guy,2017,208
guy,2018,208
guy,2019,208
hkg,2005,216
hkg,2006,216
hkg,2007,216
hkg,2008,174
hkg,2009,79
hkg,2010,79
hkg,2011,79
hkg,2012,77
hkg,2013,77
hkg,2014,72
hkg,2015,72
hkg,2016,72
hkg,2017,72
hkg,2018,72
hkg,2019,69
hnd,2005,190
hnd,2006,190
hnd,2007,131
hnd,2008,131
hnd,2009,112
hnd,2010,116
hnd,2011,116
hnd,2012,116
hnd,2013,131
hnd,2014,117
hnd,2015,118
hnd,2016,118
hnd,2017,140
hnd,2018,132
hnd,2019,132
hrv,2005,364
hrv,2006,364
hrv,2007,415
hrv,2008,415
hrv,2009,450
hrv,2010,350
hrv,2011,350
hrv,2012,350
hrv,2013,350
hrv,2014,146
hrv,2015,146
hrv,2016,146
hrv,2017,146
hrv,2018,146
hrv,2019,146
hti,2005,121
