geo,time,si_dst_50md
bra,1990,25.9
bra,1992,25.3
bra,1993,25.2
bra,1995,24.2
bra,1996,26.2
bra,1997,25.3
bra,1998,25
bra,1999,25.2
bra,2001,25.9
bra,2002,25.3
bra,2003,25.3
bra,2004,24.5
bra,2005,24.3
bra,2006,23.6
bra,2007,24.2
bra,2008,23.5
bra,2009,23.4
bra,2011,23
bra,2012,22.8
bra,2013,22.5
bra,2014,22.2
bra,2015,22.5
bra,2016,23
bra,2017,23.1
bra,2018,23.5
bra,2019,24.1
bra,2020,18.3
btn,2003,12.5
btn,2007,13.7
btn,2012,12.3
btn,2017,13.8
bwa,1985,23.3
bwa,1993,23.4
bwa,2002,23.9
bwa,2009,22.7
bwa,2015,19.7
caf,1992,29.1
caf,2008,22.2
can,1971,16.2
can,1975,13.2
can,1981,12.2
can,1987,11.5
can,1991,11.2
can,1994,11.7
can,1997,13
can,1998,13.2
can,2000,13.5
can,2004,13.7
can,2007,12.5
can,2010,13.2
can,2012,14.2
can,2013,14.7
can,2014,13.7
can,2015,13.7
can,2016,12.7
can,2017,13.2
che,1982,9.2
che,1992,10
che,2000,9.2
che,2002,9.5
che,2006,11.2
che,2007,11.3
che,2008,11.3
che,2009,10
che,2010,11
che,2011,10.4
che,2012,9.5
che,2013,10
che,2014,10.4
che,2015,10.9
che,2016,11.1
che,2017,10.9
che,2018,11.2
chl,1987,20.8
chl,1990,20.3
chl,1992,18.7
chl,1994,20.3
chl,1996,19.6
chl,1998,20.5
chl,2000,19.3
chl,2003,19.5
chl,2006,16.4
chl,2009,15
chl,2011,14.6
chl,2013,13.9
chl,2015,13.6
chl,2017,13.6
chl,2020,14.1
civ,1985,17.4
civ,1986,11.2
civ,1987,13.7
civ,1988,12.6
civ,1992,16
civ,1995,12.8
civ,1998,14.3
civ,2002,13
civ,2008,17.4
civ,2015,15.3
civ,2018,12
cmr,1996,11.1
cmr,2001,13.2
cmr,2007,15.8
cmr,2014,21.7
cod,2004,15.7
cod,2012,16.4
cog,2005,17.7
cog,2011,21.5
col,1992,19.7
col,1996,22.8
col,1999,24.5
col,2000,22.7
col,2001,22.7
col,2002,21.7
col,2003,20.8
col,2004,20.4
col,2005,20.5
col,2008,23.3
col,2009,22.2
col,2010,22
col,2011,21.5
col,2012,21.9
col,2013,21.8
col,2014,21.7
col,2015,21.1
col,2016,20.7
col,2017,20.2
col,2018,20.4
col,2019,21.2
col,2020,23
com,2004,17.3
com,2014,19.2
cpv,2001,19.4
cpv,2007,17.2
cpv,2015,15.8
cri,1981,25
cri,1986,19.6
cri,1989,21.2
cri,1990,21
cri,1991,22.2
cri,1992,20.4
cri,1993,20.1
cri,1994,19.7
cri,1995,20.1
cri,1996,20.4
cri,1997,20.1
cri,1998,19.6
cri,1999,20.2
cri,2000,20.7
cri,2001,20.9
cri,2002,20.7
cri,2003,21.6
cri,2004,20.1
cri,2005,19.6
cri,2006,19.2
cri,2007,18.5
cri,2008,18.6
cri,2009,20.2
cri,2010,18.3
cri,2011,20.3
cri,2012,19.9
cri,2013,19.6
cri,2014,19.7
cri,2015,18.6
cri,2016,19.5
cri,2017,18.7
cri,2018,19.3
cri,2019,19.1
cri,2020,20.3
cyp,2004,7
cyp,2005,5.9
cyp,2006,6.6
cyp,2007,7.4
cyp,2008,7.8
cyp,2009,7.2
cyp,2010,7.2
cyp,2011,7.2
cyp,2012,8.4
cyp,2013,8
cyp,2014,9.7
cyp,2015,10.1
cyp,2016,8.3
cyp,2017,8.5
cyp,2018,7.5
cyp,2019,7.7
cze,1992,2
cze,1993,2.1
cze,1996,5.7
cze,2002,7
cze,2004,7.9
cze,2005,7.7
cze,2006,7
cze,2007,5.9
cze,2008,5.8
cze,2009,6.2
cze,2010,7.1
cze,2011,7.7
cze,2012,6.3
cze,2013,7
cze,2014,6.1
cze,2015,6.5
cze,2016,5.4
cze,2017,4.7
cze,2018,4.9
cze,2019,4.7
deu,1991,7.2
deu,1992,7.2
deu,1993,7
deu,1994,9
deu,1995,9
deu,1996,7.7
deu,1997,8
deu,1998,7.4
deu,1999,7.7
deu,2000,7.7
deu,2001,8.2
deu,2002,8
deu,2003,8.2
deu,2004,8.5
deu,2005,8.7
deu,2006,8.7
deu,2007,8.2
deu,2008,8.5
deu,2009,9.2
deu,2010,9.2
deu,2011,9
deu,2012,9.7
deu,2013,9.7
deu,2014,10.5
deu,2015,10.5
deu,2016,11
deu,2017,10.7
deu,2018,10.5
dji,2002,15.4
dji,2012,18.9
dji,2013,18.9
dji,2017,17.1
dnk,1987,6
dnk,1992,6.2
dnk,1995,4.2
dnk,2000,4.5
dnk,2003,5.7
dnk,2004,5.8
dnk,2005,5.9
dnk,2006,5.7
dnk,2007,5.4
dnk,2008,5.7
dnk,2009,6.9
dnk,2010,7
dnk,2011,6.5
dnk,2012,6.2
dnk,2013,6.7
dnk,2014,6.8
dnk,2015,5.9
dnk,2016,6.7
dnk,2017,6.9
dnk,2018,6.6
dnk,2019,5.9
dom,1986,22.9
dom,1989,21.6
dom,1992,18.9
dom,1996,19.9
dom,1997,21.3
dom,2000,20.8
dom,2001,20.6
dom,2002,21.3
dom,2003,20.4
dom,2004,20.3
dom,2005,20.2
dom,2006,20.7
dom,2007,19.4
dom,2008,18.8
dom,2009,18.9
dom,2010,19.4
dom,2011,17.5
dom,2012,17.4
dom,2013,17.8
dom,2014,17.8
dom,2015,17.6
dom,2016,18.6
dom,2017,14.2
dom,2018,14.2
dom,2019,14.2
dom,2020,13.6
dza,1988,13.9
dza,1995,14.2
dza,2011,6.3
ecu,1994,21.2
ecu,1999,23
ecu,2000,22.4
ecu,2003,22.4
ecu,2004,22.2
ecu,2005,22.9
ecu,2006,21
ecu,2007,21
ecu,2008,21.4
ecu,2009,20
ecu,2010,20.1
ecu,2011,19.6
ecu,2012,21.3
ecu,2013,19.6
ecu,2014,18.7
ecu,2015,19
ecu,2016,18.5
ecu,2017,19.1
ecu,2018,19.3
ecu,2019,20.3
ecu,2020,20.1
egy,1990,6.7
egy,1995,3.5
egy,1999,4.3
egy,2004,4.9
egy,2008,5
egy,2010,4.4
egy,2012,3.9
egy,2015,4.7
egy,2017,5.2
esp,1980,13.2
esp,1985,11.9
esp,1990,11.2
esp,1995,14.2
esp,2000,12
esp,2003,13.2
esp,2004,13.1
esp,2005,13
esp,2006,14
esp,2007,13.9
esp,2008,14.8
esp,2009,15
esp,2010,14.7
esp,2011,15.8
esp,2012,15.9
esp,2013,17.8
esp,2014,17.3
esp,2015,17.4
esp,2016,16.9
esp,2017,16.1
esp,2018,15.7
esp,2019,15.9
est,2003,13.5
est,2004,11.3
est,2005,10.7
est,2006,10.2
est,2007,9.3
est,2008,10
est,2009,10.7
est,2010,12.5
est,2011,11
est,2012,10.8
est,2013,11.9
est,2014,10.8
est,2015,10.6
est,2016,9.8
est,2017,9.6
est,2018,9.9
est,2019,9.3
eth,1995,10.4
eth,1999,6.1
eth,2004,5.2
eth,2010,9.4
eth,2015,12.4
fin,1987,4
fin,1991,4
fin,1995,3.2
fin,2000,5.7
fin,2003,6.2
fin,2004,6
fin,2005,5.9
fin,2006,6.5
fin,2007,6.8
fin,2008,6.7
fin,2009,7.1
fin,2010,7.2
fin,2011,6.7
fin,2012,6.4
fin,2013,6.7
fin,2014,6.7
fin,2015,6.5
fin,2016,6.5
fin,2017,6.9
fin,2018,6.8
fin,2019,7.2
fji,2002,13.2
fji,2008,11.7
fji,2013,9
fji,2019,9.6
fra,1978,11
fra,1984,12.7
fra,1989,11
fra,1994,10.2
fra,2000,9.7
fra,2003,8.9
fra,2004,8.8
fra,2005,8.6
fra,2006,9.3
fra,2007,9.2
fra,2008,9.8
fra,2009,11.1
fra,2010,10.3
fra,2011,9.9
fra,2012,10.1
fra,2013,9.8
fra,2014,10.1
fra,2015,10.8
fra,2016,10.4
fra,2017,10.1
fra,2018,10
fsm,2005,18.5
fsm,2013,16
gab,2005,15.2
gab,2017,15.7
gbr,1969,8.7
gbr,1974,7
gbr,1979,7.2
gbr,1986,11.7
gbr,1991,13.5
gbr,1994,12.7
gbr,1995,12.5
gbr,1996,12.7
gbr,1997,13.2
gbr,1998,13
gbr,1999,13.2
gbr,2000,12.7
gbr,2001,12.2
gbr,2002,12
gbr,2003,12.2
gbr,2004,13.5
gbr,2005,13.8
gbr,2006,12.9
gbr,2007,13.1
gbr,2008,11.8
gbr,2009,12.7
gbr,2010,11.6
gbr,2011,12.1
gbr,2012,11.9
gbr,2013,13.1
gbr,2014,13.1
gbr,2015,11.3
gbr,2016,12.7
gbr,2017,14
geo,1996,16.8
geo,1997,19
geo,1998,17.7
geo,1999,18
geo,2000,17
geo,2001,15.3
geo,2002,14.7
geo,2003,15.4
geo,2004,15.7
geo,2005,15.5
geo,2006,14.8
geo,2007,15.4
geo,2008,15.9
geo,2009,15.1
geo,2010,17.2
geo,2011,16.9
geo,2012,16.8
geo,2013,15.6
geo,2014,15.1
geo,2015,13.4
geo,2016,14
geo,2017,14.8
geo,2018,14.6
geo,2019,13.8
geo,2020,14
gha,1987,14.3
gha,1988,13
gha,1991,13.1
gha,1998,16.3
gha,2005,18.1
gha,2012,18
gha,2016,20.6
gin,1991,26.2
gin,1994,17.2
gin,2002,15.1
gin,2007,13.6
gin,2012,11
gin,2018,9.7
gmb,1998,19.3
gmb,2003,17.4
gmb,2010,15.1
gmb,2015,10.2
gnb,1993,16.5
gnb,2002,10.7
gnb,2010,16.9
gnb,2018,9
grc,1995,16.2
grc,2000,15.2
grc,2003,13.4
grc,2004,13.5
grc,2005,14.1
grc,2006,14.5
grc,2007,13.6
grc,2008,13
grc,2009,13.2
grc,2010,14.5
grc,2011,16.3
grc,2012,17.5
grc,2013,17.2
grc,2014,16.7
grc,2015,17.5
grc,2016,16.2
grc,2017,14.9
grc,2018,13.8
grc,2019,13.9
gtm,1986,25.4
gtm,1989,27.8
gtm,2000,21.4
gtm,2006,24.3
gtm,2014,19.6
guy,1998,18
hnd,1989,25.5
hnd,1990,25.7
hnd,1991,22.1
hnd,1992,21
hnd,1993,20.9
hnd,1994,23.2
hnd,1995,23.5
hnd,1996,25
hnd,1997,23.2
hnd,1998,27
hnd,1999,26
hnd,2001,28
hnd,2002,26.1
hnd,2003,27.1
hnd,2004,27.2
hnd,2005,28.2
hnd,2006,28.1
hnd,2007,25
hnd,2008,26.1
hnd,2009,25
hnd,2010,24.5
hnd,2011,24.9
hnd,2012,25.6
hnd,2013,24
hnd,2014,24.8
hnd,2015,24
hnd,2016,25.9
hnd,2017,24.7
hnd,2018,24.5
hnd,2019,25.1
hrv,2009,13.7
hrv,2010,13.9
hrv,2011,14.4
hrv,2012,14.5
hrv,2013,13.7
hrv,2014,13.7
hrv,2015,13.9
hrv,2016,14.1
hrv,2017,13.2
hrv,2018,11.5
hrv,2019,11.4
hti,2012,18.2
hun,2004,10.2
hun,2005,12.9
hun,2006,9.6
hun,2007,9.6
hun,2008,9.9
hun,2009,10.2
hun,2010,11.4
hun,2011,11.7
hun,2012,12.7
hun,2013,12.7
hun,2014,12.7
hun,2015,12.5
hun,2016,10.2
hun,2017,11.5
hun,2018,10.9
hun,2019,9.3
irl,1987,13.7
irl,1994,12.5
irl,1995,11.7
irl,1996,12.2
irl,2000,11
irl,2002,11.5
irl,2003,11.3
irl,2004,12.1
irl,2005,9.9
irl,2006,9.5
irl,2007,8.5
irl,2008,8.8
irl,2009,10.3
irl,2010,10.6
irl,2011,11.5
irl,2012,11
irl,2013,11.4
irl,2014,9.4
irl,2015,9.8
irl,2016,8.8
irl,2017,8.4
irl,2018,7.1
irn,1986,20.4
irn,1990,18.6
irn,1994,17.7
irn,1998,19.3
irn,2005,17.4
irn,2006,18.6
irn,2009,17.9
irn,2013,12.7
irn,2014,14.2
irn,2015,14
irn,2016,14.4
irn,2017,15.5
irn,2018,14.8
irn,2019,15.4
irq,2006,5.9
irq,2012,7.6
isl,2003,6.3
isl,2004,5.7
isl,2005,6.5
isl,2006,6.6
isl,2007,6.2
isl,2008,6.9
isl,2009,7
isl,2010,6.7
isl,2011,7.2
isl,2012,6.7
isl,2013,5.4
isl,2014,6.3
isl,2015,6.1
isl,2016,6.5
isl,2017,6.3
isr,1979,15.2
isr,1986,15.5
isr,1992,13.7
isr,1997,17.5
isr,2001,18.2
isr,2002,19.7
isr,2003,20.7
isr,2004,22.7
isr,2005,22
isr,2006,22.2
isr,2007,22.5
isr,2008,21.5
isr,2009,23.5
isr,2010,23.2
isr,2011,21.7
isr,2012,21.7
isr,2013,20.5
isr,2014,21.2
isr,2015,20.5
isr,2016,21.2
isr,2017,20.5
isr,2018,20.5
ita,1986,12
ita,1987,13.7
ita,1989,11.7
ita,1991,12
ita,1993,16.7
ita,1995,15.7
ita,1998,15.7
ita,2000,15.2
ita,2003,13.5
ita,2004,13.3
ita,2005,14.1
ita,2006,13.4
ita,2007,13.2
ita,2008,13.4
ita,2009,13.7
ita,2010,14.5
ita,2011,14.7
ita,2012,14.2
ita,2013,14.8
ita,2014,15.2
ita,2015,16.1
ita,2016,15.7
ita,2017,16
ita,2018,15.2
jam,1988,17.5
jam,1990,13.4
jam,1993,14.3
jam,1996,12.7
jam,1999,15.3
jam,2002,17
jam,2004,15.7
jor,1986,12.6
jor,1992,14.7
jor,1997,10
jor,2002,10.5
jor,2006,8.6
jor,2008,6.8
jor,2010,7.5
jpn,2008,15.7
jpn,2010,8.7
jpn,2013,9.1
kaz,1996,12.8
kaz,2001,14.1
kaz,2002,12
kaz,2003,11.7
kaz,2004,9.1
kaz,2005,16.4
kaz,2006,6.4
kaz,2007,6.4
kaz,2008,5.2
kaz,2009,5.8
kaz,2010,5.1
kaz,2011,4.9
kaz,2012,5.1
kaz,2013,4.3
kaz,2014,4.3
kaz,2015,3.7
kaz,2016,4.5
kaz,2017,4
kaz,2018,3.8
ken,1992,21.6
ken,1994,17.5
ken,1997,16.1
ken,2005,16.8
ken,2015,14
kgz,2000,6.8
kgz,2001,7.2
kgz,2002,7.5
kgz,2003,5.7
kgz,2004,8.2
kgz,2005,7.1
kgz,2006,10.1
kgz,2007,10.7
kgz,2008,8.9
kgz,2009,5.6
kgz,2010,7.6
kgz,2011,4.8
kgz,2012,5.3
kgz,2013,5.3
kgz,2014,3.4
kgz,2015,4.5
kgz,2016,3.6
kgz,2017,3.8
kgz,2018,3.8
kgz,2019,3.8
kgz,2020,5
kir,2006,14.1
kir,2019,5.7
kor,2006,13
kor,2008,13
kor,2010,12.5
kor,2012,13
kor,2014,12.5
kor,2016,12.2
kos,2003,6.7
kos,2005,9.4
kos,2006,8.6
kos,2009,10.4
kos,2010,9.4
kos,2011,7.5
kos,2012,7.9
kos,2013,5.7
kos,2014,8.2
kos,2015,5.9
kos,2016,7
kos,2017,6.7
lao,1992,6.9
lao,1997,7.4
lao,2002,6.5
lao,2007,7.4
lao,2012,9.7
lao,2018,10.3
lbn,2011,10.7
lbr,2007,14.9
lbr,2014,10.5
lbr,2016,12.1
lca,1995,19.5
lca,2016,23.4
lka,1985,8.8
lka,1990,5.9
lka,1995,6.9
lka,2002,9.4
lka,2006,9.2
lka,2009,7.8
lka,2012,9.1
lka,2016,9.7
lso,1986,25.9
lso,1994,31
lso,2002,24.7
lso,2017,21
ltu,2004,16.1
ltu,2005,14.4
ltu,2006,11.9
ltu,2007,13.1
ltu,2008,13.6
ltu,2009,16.1
ltu,2010,15.6
ltu,2011,13.9
ltu,2012,14.1
ltu,2013,13
ltu,2014,15
ltu,2015,14.7
ltu,2016,15
ltu,2017,13.5
ltu,2018,13.2
ltu,2019,12.1
lux,1985,6.4
lux,1991,4.9
lux,1994,7.2
lux,1997,9.5
lux,2000,10.2
lux,2003,9.7
lux,2004,10
lux,2005,9.9
lux,2006,10.4
lux,2007,10.3
lux,2008,10.8
lux,2009,11
lux,2010,9.8
lux,2011,12.7
lux,2012,12.1
lux,2013,12.7
lux,2014,11.1
lux,2015,12.1
lux,2016,11
lux,2017,13.3
lux,2018,14.3
lux,2019,12.8
lva,2004,12.6
lva,2005,14.1
lva,2006,11.1
lva,2007,13.9
lva,2008,15.1
lva,2009,15.5
lva,2010,16.1
lva,2011,14.6
lva,2012,14.3
lva,2013,13.8
lva,2014,13.3
lva,2015,11.7
lva,2016,12.5
lva,2017,12.8
lva,2018,11.9
lva,2019,11.8
mar,1984,14
mar,1990,13.6
mar,1998,13.1
mar,2000,12.6
mar,2006,11.9
mar,2013,11.7
mda,1997,13.4
mda,1998,15.3
mda,1999,13.9
mda,2000,13
mda,2001,12.8
mda,2002,13.5
mda,2003,10.3
mda,2004,11.9
mda,2005,12.6
mda,2006,12.9
mda,2007,11.9
mda,2008,12.1
mda,2009,12
mda,2010,9.8
mda,2011,8.5
mda,2012,7.5
mda,2013,6.8
mda,2014,4.7
mda,2015,5.2
mda,2016,4.2
mda,2017,4.5
mda,2018,3.8
mda,2019,4.5
mdg,1980,19.1
mdg,1993,14.7
mdg,1997,15.6
mdg,1999,14.9
mdg,2001,17.5
mdg,2005,11
mdg,2010,12.8
mdg,2012,14.4
mdv,2002,10
mdv,2009,14.7
mdv,2016,9.7
mdv,2019,7.5
mex,1989,18.8
mex,1992,20.1
mex,1994,20.5
mex,1996,22.4
mex,1998,22
mex,2000,20.6
mex,2002,19.8
mex,2004,18.6
mex,2005,20
mex,2006,18.6
mex,2008,20
mex,2010,17.7
mex,2012,18.1
mex,2014,16.4
mex,2016,17.5
mex,2018,16.9
mex,2020,17
mhl,2019,11.3
mkd,2009,21.7
mkd,2010,22.3
mkd,2011,20.6
mkd,2012,20
mkd,2013,18.2
mkd,2014,17.2
mkd,2015,17.1
mkd,2016,18.8
mkd,2017,17.7
mkd,2018,17.5
mli,1994,15.9
mli,2001,13.3
mli,2006,12.9
mli,2009,8.8
mli,2018,9.2
mlt,2006,9.6
mlt,2007,10.3
mlt,2008,10.1
mlt,2009,10.3
mlt,2010,10
mlt,2011,9.8
mlt,2012,10.5
mlt,2013,9.7
mlt,2014,9.5
mlt,2015,8.9
mlt,2016,10
mlt,2017,9.4
mlt,2018,9.7
mlt,2019,9.6
mmr,2015,9
mmr,2017,6.7
mne,2012,22.7
mne,2013,19.9
mne,2014,21.3
mne,2015,20.5
mne,2016,18.9
mne,2017,18.9
mne,2018,19.9
mng,1995,13.9
mng,1998,13.1
mng,2002,12.4
mng,2007,12.1
mng,2010,10.7
mng,2011,9.7
mng,2012,11.1
mng,2014,9.8
mng,2016,10.2
mng,2018,9.9
moz,1996,18.3
moz,2002,14
moz,2008,16.5
moz,2014,17
mrt,1987,22.1
mrt,1993,14
mrt,1995,14.2
mrt,2000,16
mrt,2004,12.6
mrt,2008,14.9
mrt,2014,12.1
mus,2006,9.7
mus,2012,10.7
mus,2017,10.9
mwi,1997,9.9
mwi,2004,10.4
mwi,2010,15
mwi,2016,9.5
mwi,2019,11.1
mys,1984,20
mys,1987,19.4
mys,1989,18.4
mys,1992,20.4
mys,1995,20.8
mys,1997,21.1
mys,2003,20
mys,2006,19
mys,2008,20.1
mys,2011,18.5
mys,2013,15.9
mys,2015,16.4
nam,2003,17.5
nam,2009,17.9
nam,2015,24.1
ner,1992,9.9
ner,1994,15.1
ner,2005,13.1
ner,2007,7.1
ner,2011,5.7
ner,2014,8.5
ner,2018,8.2
nga,1985,17.9
nga,1992,22.7
nga,1996,22.1
nga,2003,17.4
nga,2010,12.8
nga,2012,12.8
nga,2015,13.1
nga,2018,13.2
nic,1993,26.1
nic,1998,22.1
nic,2001,19
nic,2005,17.2
nic,2009,16.7
nic,2014,18.3
nld,1983,6.2
nld,1987,5
nld,1990,7
nld,1993,8.7
nld,1999,6.2
nld,2004,8.6
nld,2005,7.8
nld,2006,7.8
nld,2007,7.8
nld,2008,8.4
nld,2009,8
nld,2010,8.5
nld,2011,7.4
nld,2012,7.9
nld,2013,8.2
nld,2014,7.9
nld,2015,7.9
nld,2016,8.5
nld,2017,7.8
nld,2018,8.1
nld,2019,8.7
nor,1979,5.7
nor,1986,4.5
nor,1991,4.7
nor,1995,5.5
nor,2000,5
nor,2003,5.8
nor,2004,5.9
nor,2005,6.3
nor,2006,8
nor,2007,6.8
nor,2008,7.2
nor,2009,7.1
nor,2010,7.1
nor,2011,6.9
nor,2012,7.1
nor,2013,7.1
nor,2014,7.6
nor,2015,8
nor,2016,9.2
nor,2017,8.2
nor,2018,8
nor,2019,8.3
npl,1995,9.2
npl,2003,10.3
npl,2010,7.2
nru,2012,11.8
pak,1987,7.4
pak,1990,9.2
pak,1996,2.9
pak,1998,5.4
pak,2001,3.5
pak,2004,4.5
pak,2005,3.6
pak,2007,3.1
pak,2010,3
pak,2011,3.2
pak,2013,4.1
pak,2015,3.7
pak,2018,3.5
pan,1979,23.7
pan,1989,30.2
pan,1991,28.7
pan,1995,28.3
pan,1997,26.8
pan,1998,26.9
pan,1999,26
pan,2000,25.7
pan,2001,27.6
pan,2002,26.5
pan,2003,25.6
pan,2004,25.9
pan,2005,25.2
pan,2006,25.5
pan,2007,25
pan,2008,23.3
pan,2009,23.2
pan,2010,23.2
pan,2011,22.8
pan,2012,23
pan,2013,23.9
pan,2014,23.1
pan,2015,22.6
pan,2016,22.9
pan,2017,23.5
pan,2018,22.3
pan,2019,22.8
per,1997,25.4
per,1998,24
per,1999,23.6
per,2000,24.2
per,2001,23.8
per,2002,24.2
per,2003,22.8
per,2004,23.9
per,2005,23.9
per,2006,24.2
per,2007,24.6
per,2008,23.3
per,2009,22.3
per,2010,21.6
per,2011,21.7
per,2012,21.5
per,2013,20.9
per,2014,20.5
per,2015,19.5
per,2016,20.6
per,2017,20
per,2018,19.3
per,2019,18.6
per,2020,19.7
phl,2000,16.5
phl,2003,16.5
phl,2006,17.1
phl,2009,15.6
phl,2012,16.1
phl,2015,14.7
phl,2018,13
png,1996,18.9
png,2009,19.5
pol,2004,17
pol,2005,15.4
pol,2006,14
pol,2007,12.9
pol,2008,12.4
pol,2009,12.9
pol,2010,12.4
pol,2011,13
pol,2012,13.3
pol,2013,13.4
pol,2014,13.3
pol,2015,12.9
pol,2016,9.9
pol,2017,9.4
pol,2018,9.5
prt,2003,13.6
prt,2004,12.8
prt,2005,11.5
prt,2006,11.5
prt,2007,12.2
prt,2008,11.9
prt,2009,12.2
prt,2010,11.9
prt,2011,11.7
prt,2012,13.6
prt,2013,14.4
prt,2014,14.2
prt,2015,13.2
prt,2016,12.5
prt,2017,11
prt,2018,11.5
prt,2019,11.2
pry,1990,15.3
pry,1995,26.2
pry,1997,27.7
pry,1999,23.6
pry,2001,24.4
pry,2002,23.8
pry,2003,21.7
pry,2004,19.5
pry,2005,19.8
pry,2006,21.7
pry,2007,20.7
pry,2008,20.2
pry,2009,22
pry,2010,21.5
pry,2011,22.7
pry,2012,21.1
pry,2013,19.9
pry,2014,19.8
pry,2015,20.2
pry,2016,19.1
pry,2017,18
pry,2018,18.3
pry,2019,18.6
pry,2020,18.6
pse,2004,10.4
pse,2005,11.8
pse,2006,10
pse,2007,11.3
pse,2009,9.6
pse,2010,10.2
pse,2011,9.9
pse,2016,12.8
rou,2006,20.1
rou,2007,18.4
rou,2008,17
rou,2009,16.8
rou,2010,17.9
rou,2011,18.2
