geo,time,sh_xpd_chex_pp_cd
eri,2005,89.36407
eri,2006,88.22331
eri,2007,68.87325
eri,2008,67.2557
eri,2009,62.69818
eri,2010,63.29882
eri,2011,84.84836
eri,2012,63.1024
eri,2013,75.43095
eri,2014,80.79002
eri,2015,70.76725
eri,2016,59.85965
eri,2017,57.31136
eri,2018,72.6185
eri,2019,81.84661
esp,2000,1471.74304
esp,2001,1561.15674
esp,2002,1673.40271
esp,2003,1908.79602
esp,2004,2018.32153
esp,2005,2152.14648
esp,2006,2423.04736
esp,2007,2593.28516
esp,2008,2805.49634
esp,2009,2932.65039
esp,2010,2896.83032
esp,2011,2926.57324
esp,2012,2901.80713
esp,2013,2934.12622
esp,2014,3045.22485
esp,2015,3184.99487
esp,2016,3341.16553
esp,2017,3556.8667
esp,2018,3787.69897
esp,2019,3983.93091
est,2000,485.22485
est,2001,491.66611
est,2002,546.90863
est,2003,635.69287
est,2004,741.4726
est,2005,838.36877
est,2006,917.40875
est,2007,1102.69556
est,2008,1302.35706
est,2009,1340.85938
est,2010,1366.20972
est,2011,1426.67285
est,2012,1513.63831
est,2013,1649.72534
est,2014,1769.96167
est,2015,1865.88965
est,2016,2030.03149
est,2017,2241.84912
est,2018,2434.20215
est,2019,2616.81396
eth,2000,21.06814
eth,2001,24.52792
eth,2002,24.52162
eth,2003,24.69199
eth,2004,24.66907
eth,2005,26.28779
eth,2006,31.72366
eth,2007,39.62515
eth,2008,37.26122
eth,2009,43.13405
eth,2010,56.2217
eth,2011,50.71333
eth,2012,55.09232
eth,2013,52.30633
eth,2014,61.05818
eth,2015,63.36305
eth,2016,67.6436
eth,2017,69.81203
eth,2018,71.28338
eth,2019,75.11409
fin,2000,1896.23779
fin,2001,2011.47583
fin,2002,2176.56787
fin,2003,2297.54199
fin,2004,2505.79565
fin,2005,2649.95752
fin,2006,2844.42236
fin,2007,3049.78467
fin,2008,3340.42212
fin,2009,3479.07764
fin,2010,3562.5166
fin,2011,3772.53613
fin,2012,3917.43335
fin,2013,4068.53906
fin,2014,4084.43018
fin,2015,4097.81543
fin,2016,4212.0874
fin,2017,4339.09717
fin,2018,4490.17627
fin,2019,4710.21826
fji,2000,216.50066
fji,2001,190.79904
fji,2002,205.0437
fji,2003,209.99553
fji,2004,248.27167
fji,2005,256.56451
fji,2006,274.68713
fji,2007,282.43921
fji,2008,268.29935
fji,2009,293.1712
fji,2010,292.9075
fji,2011,281.32437
fji,2012,312.67313
fji,2013,330.60437
fji,2014,382.22974
fji,2015,412.66986
fji,2016,414.29245
fji,2017,427.98016
fji,2018,485.15921
fji,2019,545.3103
fra,2000,2516.92163
fra,2001,2685.78662
fra,2002,2876.45972
fra,2003,2855.14331
fra,2004,2970.89526
fra,2005,3135.55591
fra,2006,3388.42847
fra,2007,3536.06641
fra,2008,3706.47583
fra,2009,3938.9104
fra,2010,4056.39038
fra,2011,4211.18896
fra,2012,4281.72559
fra,2013,4539.58057
fra,2014,4644.62598
fra,2015,4682.66748
fra,2016,4930.48926
fra,2017,5059.99463
fra,2018,5220.80127
fra,2019,5492.53027
fsm,2000,170.15945
fsm,2001,193.95274
fsm,2002,185.03584
fsm,2003,232.37669
fsm,2004,291.40668
fsm,2005,454.04822
fsm,2006,284.97537
fsm,2007,298.69479
fsm,2008,325.40805
fsm,2009,348.6398
fsm,2010,377.11343
fsm,2011,394.46997
fsm,2012,366.20706
fsm,2013,349.96439
fsm,2014,331.73343
fsm,2015,366.97675
fsm,2016,390.32748
fsm,2017,375.87103
fsm,2018,365.43286
fsm,2019,364.20901
gab,2000,402.45279
gab,2001,445.05743
gab,2002,465.22418
gab,2003,502.21542
gab,2004,476.89084
gab,2005,427.51038
gab,2006,444.62894
gab,2007,480.52237
gab,2008,405.6936
gab,2009,548.30585
gab,2010,367.30197
gab,2011,399.99326
gab,2012,371.76962
gab,2013,429.37915
gab,2014,389.31879
gab,2015,390.63129
gab,2016,443.97269
gab,2017,417.2991
gab,2018,414.71906
gab,2019,432.18716
gbr,2000,1904.53564
gbr,2001,2102.66284
gbr,2002,2307.85474
gbr,2003,2458.64258
gbr,2004,2685.32373
gbr,2005,2761.29736
gbr,2006,2994.52881
gbr,2007,3132.02344
gbr,2008,3334.3186
gbr,2009,3475.68433
gbr,2010,3601.09692
gbr,2011,3674.36133
gbr,2012,3809.3623
gbr,2013,3997.30029
gbr,2014,4124.46436
gbr,2015,4231.58008
gbr,2016,4374.49219
gbr,2017,4515.5874
gbr,2018,4830.18311
gbr,2019,5087.38135
geo,2000,214.63078
geo,2001,232.53201
geo,2002,274.0141
geo,2003,319.99362
geo,2004,351.29358
geo,2005,397.86835
geo,2006,425.86884
geo,2007,482.25125
geo,2008,575.2132
geo,2009,636.21899
geo,2010,634.02393
geo,2011,616.7489
geo,2012,725.48688
geo,2013,768.13153
geo,2014,843.29346
geo,2015,830.72546
geo,2016,954.51984
geo,2017,892.01025
geo,2018,967.11444
geo,2019,970.19971
gha,2000,71.00152
gha,2001,83.66889
gha,2002,78.98332
gha,2003,80.59757
gha,2004,82.96493
gha,2005,116.40099
gha,2006,124.39314
gha,2007,130.75305
gha,2008,142.38179
gha,2009,165.32954
gha,2010,169.1308
gha,2011,215.82492
gha,2012,205.44934
gha,2013,243.15239
gha,2014,223.64502
gha,2015,236.50868
gha,2016,169.27177
