geo,time,ic_exp_csbc_cd
cmr,2016,982.75
cmr,2017,982.75
cmr,2018,982.75
cmr,2019,982.75
cod,2014,2222.692
cod,2015,2222.692
cod,2016,2222.692
cod,2017,2222.692
cod,2018,2222.692
cod,2019,2222.692
cog,2014,1975
cog,2015,1975
cog,2016,1975
cog,2017,1975
cog,2018,1975
cog,2019,1975
col,2014,630
col,2015,630
col,2016,630
col,2017,630
col,2018,630
col,2019,630
com,2014,650.82
com,2015,650.82
com,2016,650.82
com,2017,650.82
com,2018,650.82
com,2019,650.82
cpv,2014,780
cpv,2015,780
cpv,2016,780
cpv,2017,641
cpv,2018,641
cpv,2019,641
cri,2014,346.6667
cri,2015,346.6667
cri,2016,375
cri,2017,375
cri,2018,375
cri,2019,450
cyp,2014,300
cyp,2015,300
cyp,2016,300
cyp,2017,300
cyp,2018,300
cyp,2019,300
cze,2014,0
cze,2015,0
cze,2016,0
cze,2017,0
cze,2018,0
cze,2019,0
deu,2014,345
deu,2015,345
deu,2016,345
deu,2017,345
deu,2018,345
deu,2019,345
dji,2014,605.2857
dji,2015,605.2857
dji,2016,605.2857
dji,2017,605.2857
dji,2018,605.2857
dji,2019,605.2857
dma,2014,625
dma,2015,625
dma,2016,625
dma,2017,625
dma,2018,625
dma,2019,625
dnk,2014,0
dnk,2015,0
dnk,2016,0
dnk,2017,0
dnk,2018,0
dnk,2019,0
dom,2014,487.5
dom,2015,487.5
dom,2016,487.5
dom,2017,487.5
dom,2018,487.5
dom,2019,487.5
dza,2014,592.8889
dza,2015,592.8889
dza,2016,592.8889
dza,2017,592.8889
dza,2018,592.8889
dza,2019,592.8889
ecu,2014,560
ecu,2015,560
ecu,2016,560
ecu,2017,560
ecu,2018,560
ecu,2019,560
egy,2014,258
egy,2015,258
egy,2016,258
egy,2017,258
egy,2018,258
egy,2019,258
esp,2014,0
esp,2015,0
esp,2016,0
esp,2017,0
esp,2018,0
esp,2019,0
est,2014,0
est,2015,0
est,2016,0
est,2017,0
est,2018,0
est,2019,0
eth,2014,171.5
eth,2015,171.5
eth,2016,171.5
eth,2017,171.5
eth,2018,171.5
eth,2019,171.5
fin,2014,212.5
fin,2015,212.5
fin,2016,212.5
fin,2017,212.5
fin,2018,212.5
fin,2019,212.5
fji,2014,316.6667
fji,2015,316.6667
fji,2016,316.6667
fji,2017,316.6667
fji,2018,316.6667
fji,2019,316.6667
fra,2014,0
fra,2015,0
fra,2016,0
fra,2017,0
fra,2018,0
fra,2019,0
fsm,2014,168
fsm,2015,168
fsm,2016,168
fsm,2017,168
fsm,2018,168
fsm,2019,168
gab,2014,1502.5
gab,2015,1502.5
gab,2016,1633
gab,2017,1633
gab,2018,1633
gab,2019,1633
gbr,2014,280
gbr,2015,280
gbr,2016,280
gbr,2017,280
gbr,2018,280
gbr,2019,280
geo,2014,112
geo,2015,112
geo,2016,112
geo,2017,112
geo,2018,112
geo,2019,112
gha,2014,490
gha,2015,490
gha,2016,490
gha,2017,490
gha,2018,490
gha,2019,490
gin,2014,777.7778
gin,2015,777.7778
gin,2016,777.7778
gin,2017,777.7778
gin,2018,777.7778
gin,2019,777.7778
gmb,2014,380.5556
gmb,2015,380.5556
gmb,2016,380.5556
gmb,2017,380.5556
gmb,2018,380.5556
gmb,2019,380.5556
gnb,2014,585
gnb,2015,585
gnb,2016,585
gnb,2017,585
gnb,2018,585
gnb,2019,585
gnq,2014,760
gnq,2015,760
gnq,2016,760
gnq,2017,760
gnq,2018,760
gnq,2019,760
grc,2014,300
grc,2015,300
grc,2016,300
grc,2017,300
grc,2018,300
grc,2019,300
grd,2014,1034.444
grd,2015,1034.444
grd,2016,1034.444
grd,2017,1034.444
grd,2018,1034.444
grd,2019,1034.444
gtm,2014,310
gtm,2015,310
gtm,2016,310
gtm,2017,310
gtm,2018,310
gtm,2019,310
guy,2014,377.7778
guy,2015,377.7778
guy,2016,377.7778
guy,2017,377.7778
guy,2018,377.7778
guy,2019,467.7778
hkg,2014,0
hkg,2015,0
hkg,2016,0
hkg,2017,0
hkg,2018,0
hkg,2019,0
hnd,2014,593.5
hnd,2015,593.5
hnd,2016,601.26
hnd,2017,601.26
hnd,2018,601.26
hnd,2019,601.26
hrv,2014,0
hrv,2015,0
hrv,2016,0
hrv,2017,0
hrv,2018,0
hrv,2019,0
hti,2014,367.5
hti,2015,367.5
hti,2016,367.5
hti,2017,367.5
hti,2018,367.5
hti,2019,367.5
hun,2014,0
hun,2015,0
hun,2016,0
hun,2017,0
hun,2018,0
hun,2019,0
idn,2014,253.74
idn,2015,253.74
idn,2016,253.74
idn,2017,253.74
idn,2018,253.74
idn,2019,211.0714
ind,2014,413.0981
ind,2015,413.0981
ind,2016,413.0981
ind,2017,382.4224
ind,2018,251.59
ind,2019,211.92
irl,2014,305
irl,2015,305
irl,2016,305
irl,2017,305
irl,2018,305
irl,2019,305
irn,2014,415.3846
irn,2015,415.3846
irn,2016,415.3846
irn,2017,415.3846
irn,2018,415.3846
irn,2019,415.3846
irq,2014,1117.857
irq,2015,1117.857
irq,2016,1117.857
irq,2017,1117.857
irq,2018,1117.857
irq,2019,1117.857
isl,2014,365
isl,2015,365
isl,2016,365
isl,2017,365
isl,2018,365
isl,2019,365
isr,2014,150
isr,2015,150
isr,2016,150
isr,2017,150
isr,2018,150
isr,2019,150
ita,2014,0
ita,2015,0
ita,2016,0
ita,2017,0
ita,2018,0
ita,2019,0
jam,2014,876
jam,2015,876
jam,2016,876
jam,2017,876
jam,2018,876
jam,2019,876
jor,2014,131.2857
jor,2015,131.2857
jor,2016,131.2857
jor,2017,131.2857
jor,2018,131.2857
jor,2019,131.2857
jpn,2014,264.8583
jpn,2015,264.8583
jpn,2016,264.8583
jpn,2017,264.8583
jpn,2018,272.4417
jpn,2019,272.4417
kaz,2014,493.5
kaz,2015,493.5
kaz,2016,493.5
kaz,2017,493.5
kaz,2018,470
kaz,2019,470
ken,2014,142.5
ken,2015,142.5
ken,2016,142.5
ken,2017,142.5
ken,2018,142.5
ken,2019,142.5
kgz,2014,485
kgz,2015,485
kgz,2016,445
kgz,2017,445
kgz,2018,10
kgz,2019,10
khm,2014,375
khm,2015,375
khm,2016,375
khm,2017,375
khm,2018,375
khm,2019,375
kir,2014,420
kir,2015,420
kir,2016,420
kir,2017,420
kir,2018,420
kir,2019,420
kna,2014,335
kna,2015,335
kna,2016,335
kna,2017,335
kna,2018,335
kna,2019,335
kor,2014,184.7233
kor,2015,184.7233
kor,2016,184.7233
kor,2017,184.7233
kor,2018,184.7233
kor,2019,184.7233
kos,2014,153.2222
kos,2015,153.2222
kos,2016,105
kos,2017,105
kos,2018,105
kos,2019,105
kwt,2014,698
kwt,2015,698
kwt,2016,698
kwt,2017,698
kwt,2018,698
kwt,2019,665
lao,2014,140
lao,2015,140
lao,2016,140
lao,2017,140
lao,2018,140
lao,2019,140
lbn,2014,480
lbn,2015,480
lbn,2016,480
lbn,2017,480
lbn,2018,480
lbn,2019,480
lbr,2014,1107.5
lbr,2015,1107.5
lbr,2016,1112.5
lbr,2017,1112.5
lbr,2018,1112.5
lbr,2019,1112.5
lby,2014,574.8571
lby,2015,574.8571
lby,2016,574.8571
lby,2017,574.8571
lby,2018,574.8571
lby,2019,574.8571
lca,2014,717.5
lca,2015,717.5
lca,2016,717.5
lca,2017,717.5
lca,2018,717.5
lca,2019,717.5
lie,2018,115
lie,2019,115
lka,2014,366.1111
lka,2015,366.1111
lka,2016,366.1111
lka,2017,366.1111
lka,2018,366.1111
lka,2019,366.1111
lso,2014,150
lso,2015,150
lso,2016,150
lso,2017,150
lso,2018,150
lso,2019,150
ltu,2014,58
ltu,2015,58
ltu,2016,58
ltu,2017,58
ltu,2018,58
ltu,2019,58
lux,2014,0
lux,2015,0
lux,2016,0
lux,2017,0
lux,2018,0
lux,2019,0
lva,2014,150
lva,2015,150
lva,2016,150
lva,2017,150
lva,2018,150
lva,2019,150
mar,2014,155.7692
mar,2015,155.7692
mar,2016,155.7692
mar,2017,155.7692
mar,2018,155.7692
mar,2019,155.7692
mda,2014,76.11111
mda,2015,76.11111
mda,2016,76.11111
mda,2017,76.11111
mda,2018,76.11111
mda,2019,76.11111
mdg,2014,702.7273
mdg,2015,867.7273
mdg,2016,867.7273
mdg,2017,867.7273
mdg,2018,867.7273
mdg,2019,867.7273
mdv,2014,595.75
mdv,2015,595.75
mdv,2016,595.75
mdv,2017,595.75
mdv,2018,595.75
mdv,2019,595.75
mex,2014,400
mex,2015,400
mex,2016,400
mex,2017,400
mex,2018,400
mex,2019,400
mhl,2014,297.5
mhl,2015,297.5
mhl,2016,297.5
mhl,2017,297.5
mhl,2018,297.5
mhl,2019,297.5
mkd,2014,102.5
mkd,2015,102.5
mkd,2016,102.5
mkd,2017,102.5
mkd,2018,102.5
mkd,2019,102.5
mli,2014,241.6667
mli,2015,241.6667
mli,2016,241.6667
mli,2017,241.6667
mli,2018,241.6667
mli,2019,241.6667
mlt,2014,370
mlt,2015,370
mlt,2016,370
mlt,2017,370
mlt,2018,370
mlt,2019,370
mmr,2014,431.6667
mmr,2015,431.6667
mmr,2016,431.6667
mmr,2017,431.6667
mmr,2018,431.6667
mmr,2019,431.6667
mne,2014,85
mne,2015,85
mne,2016,85
mne,2017,85
mne,2018,85
mne,2019,85
mng,2014,225.1111
mng,2015,225.1111
mng,2016,225.1111
mng,2017,225.1111
mng,2018,225.1111
mng,2019,225.1111
moz,2014,601.6667
moz,2015,601.6667
moz,2016,601.6667
moz,2017,601.6667
moz,2018,601.6667
moz,2019,601.6667
mrt,2014,749
mrt,2015,749
mrt,2016,749
mrt,2017,749
mrt,2018,749
mrt,2019,749
mus,2014,302.625
mus,2015,302.625
mus,2016,302.625
mus,2017,302.625
mus,2018,302.625
mus,2019,302.625
mwi,2014,242.9412
mwi,2015,242.9412
mwi,2016,242.9412
mwi,2017,242.9412
mwi,2018,242.9412
mwi,2019,242.9412
mys,2014,274
mys,2015,274
mys,2016,274
mys,2017,274
mys,2018,212.5
mys,2019,212.5
nam,2014,745
nam,2015,745
nam,2016,745
nam,2017,745
nam,2018,745
nam,2019,745
ner,2014,390.7778
ner,2015,390.7778
ner,2016,390.7778
ner,2017,390.7778
ner,2018,390.7778
ner,2019,390.7778
nga,2014,785.7143
nga,2015,785.7143
nga,2016,785.7143
nga,2017,785.7143
nga,2018,785.7143
nga,2019,785.7143
nic,2014,80
nic,2015,80
nic,2016,150
nic,2017,150
nic,2018,240
nic,2019,240
nld,2014,0
nld,2015,0
nld,2016,0
nld,2017,0
nld,2018,0
nld,2019,0
nor,2014,125
nor,2015,125
nor,2016,125
nor,2017,125
nor,2018,125
nor,2019,125
npl,2014,202.8571
npl,2015,202.8571
npl,2016,202.8571
npl,2017,202.8571
npl,2018,202.8571
npl,2019,102.8571
nzl,2014,337
nzl,2015,337
nzl,2016,337
nzl,2017,337
nzl,2018,337
nzl,2019,337
omn,2014,241.1429
omn,2015,241.1429
omn,2016,241.1429
omn,2017,279
omn,2018,279
omn,2019,279
pak,2014,308.4286
pak,2015,308.4286
pak,2016,308.4286
pak,2017,288
pak,2018,288
pak,2019,288
pan,2014,270
pan,2015,270
pan,2016,270
pan,2017,270
pan,2018,270
pan,2019,270
per,2014,630
per,2015,630
per,2016,630
per,2017,630
per,2018,630
per,2019,630
phl,2014,456.0048
phl,2015,456.0048
phl,2016,456.0048
phl,2017,456.0048
phl,2018,456.0048
phl,2019,456.0048
plw,2014,505
plw,2015,505
plw,2016,505
plw,2017,505
plw,2018,505
plw,2019,505
png,2014,660
png,2015,660
png,2016,660
png,2017,660
png,2018,660
png,2019,700
pol,2014,0
pol,2015,0
pol,2016,0
pol,2017,0
pol,2018,0
pol,2019,0
pri,2014,385.7143
pri,2015,385.7143
pri,2016,385.7143
pri,2017,385.7143
pri,2018,385.7143
pri,2019,385.7143
prt,2014,0
prt,2015,0
prt,2016,0
prt,2017,0
prt,2018,0
prt,2019,0
pry,2014,815
pry,2015,815
pry,2016,815
pry,2017,815
pry,2018,815
pry,2019,815
pse,2014,51.11111
pse,2015,51.11111
pse,2016,51.11111
pse,2017,51.11111
pse,2018,51.11111
pse,2019,51.11111
qat,2014,381.6667
qat,2015,381.6667
qat,2016,381.6667
qat,2017,381.6667
qat,2018,381.6667
qat,2019,381.6667
rou,2014,0
rou,2015,0
rou,2016,0
rou,2017,0
rou,2018,0
rou,2019,0
rus,2014,680
rus,2015,680
rus,2016,680
rus,2017,580
rus,2018,580
rus,2019,580
rwa,2014,183.3333
rwa,2015,183.3333
rwa,2016,183.3333
rwa,2017,183.3333
rwa,2018,183.3333
rwa,2019,183.3333
sau,2014,363
sau,2015,363
sau,2016,363
sau,2017,363
sau,2018,363
sau,2019,319
sdn,2014,966.5
sdn,2015,966.5
sdn,2016,966.5
sdn,2017,966.5
sdn,2018,966.5
sdn,2019,966.5
sen,2014,546.7273
sen,2015,546.7273
sen,2016,546.7273
sen,2017,546.7273
sen,2018,546.7273
sen,2019,546.7273
sgp,2014,335
sgp,2015,335
sgp,2016,335
sgp,2017,335
sgp,2018,335
sgp,2019,335
slb,2014,630
slb,2015,630
slb,2016,630
slb,2017,630
slb,2018,630
slb,2019,630
sle,2014,551.8571
sle,2015,551.8571
sle,2016,551.8571
sle,2017,551.8571
sle,2018,551.8571
sle,2019,551.8571
slv,2014,128.3333
slv,2015,128.3333
slv,2016,128.3333
slv,2017,128.3333
slv,2018,128.3333
slv,2019,128.3333
smr,2014,0
smr,2015,0
smr,2016,0
smr,2017,0
smr,2018,0
smr,2019,0
som,2015,495
som,2016,495
som,2017,495
som,2018,495
som,2019,495
srb,2014,47.25
srb,2015,47.25
srb,2016,47.25
srb,2017,47.25
srb,2018,47.25
srb,2019,47.25
ssd,2014,762.5
ssd,2015,762.5
ssd,2016,762.5
ssd,2017,762.5
ssd,2018,762.5
ssd,2019,762.5
stp,2014,426.25
stp,2015,426.25
stp,2016,426.25
stp,2017,426.25
stp,2018,426.25
stp,2019,426.25
sur,2014,347.5
sur,2015,347.5
sur,2016,467.5
sur,2017,467.5
sur,2018,467.5
sur,2019,467.5
svk,2014,0
svk,2015,0
svk,2016,0
svk,2017,0
svk,2018,0
svk,2019,0
svn,2014,0
svn,2015,0
svn,2016,0
svn,2017,0
svn,2018,0
svn,2019,0
swe,2014,55
swe,2015,55
swe,2016,55
swe,2017,55
swe,2018,55
swe,2019,55
swz,2014,134.4444
swz,2015,134.4444
swz,2016,134.4444
swz,2017,134.4444
swz,2018,134.4444
swz,2019,134.4444
syc,2014,332.2727
syc,2015,332.2727
syc,2016,332.2727
syc,2017,332.2727
syc,2018,332.2727
syc,2019,332.2727
syr,2014,1112.5
syr,2015,1112.5
syr,2016,1112.5
syr,2017,1112.5
syr,2018,1112.5
syr,2019,1112.5
tcd,2014,319
tcd,2015,319
tcd,2016,319
tcd,2017,319
tcd,2018,319
tcd,2019,319
tgo,2014,162.5
tgo,2015,162.5
tgo,2016,162.5
tgo,2017,162.5
tgo,2018,162.5
tgo,2019,162.5
tha,2014,222.5568
tha,2015,222.5568
tha,2016,222.5568
tha,2017,222.5568
tha,2018,222.5568
tha,2019,222.5568
tjk,2014,313.3333
tjk,2015,313.3333
tjk,2016,313.3333
tjk,2017,313.3333
tjk,2018,313.3333
tjk,2019,313.3333
tls,2014,350
tls,2015,350
tls,2016,350
tls,2017,350
tls,2018,350
tls,2019,350
ton,2014,201
ton,2015,201
ton,2016,201
ton,2017,201
ton,2018,201
ton,2019,201
tto,2014,423.5
tto,2015,423.5
tto,2016,498.5
tto,2017,498.5
tto,2018,498.5
tto,2019,498.5
tun,2014,374.8462
tun,2015,374.8462
tun,2016,374.8462
tun,2017,374.8462
tun,2018,374.8462
tun,2019,374.8462
tur,2014,356.375
tur,2015,356.375
tur,2016,356.375
tur,2017,356.375
tur,2018,338
tur,2019,338
tza,2014,1175
tza,2015,1175
tza,2016,1175
tza,2017,1175
tza,2018,1175
tza,2019,1175
uga,2014,209.375
uga,2015,209.375
uga,2016,209.375
uga,2017,209.375
uga,2018,209.375
uga,2019,209.375
ukr,2014,75
ukr,2015,75
ukr,2016,75
ukr,2017,75
ukr,2018,75
ukr,2019,75
ury,2014,1038
ury,2015,1038
ury,2016,1038
ury,2017,1038
ury,2018,1038
ury,2019,1038
usa,2014,175
usa,2015,175
usa,2016,175
usa,2017,175
usa,2018,175
usa,2019,175
uzb,2014,277.8947
uzb,2015,277.8947
uzb,2016,277.8947
uzb,2017,277.8947
uzb,2018,277.8947
uzb,2019,277.8947
vct,2014,340
vct,2015,340
vct,2016,340
vct,2017,340
vct,2018,340
vct,2019,340
ven,2014,1250
ven,2015,1250
ven,2016,1250
ven,2017,1250
ven,2018,1250
vnm,2014,309.1346
vnm,2015,309.1346
vnm,2016,309.1346
vnm,2017,290
vnm,2018,290
vnm,2019,290
vut,2014,709
vut,2015,709
vut,2016,709
vut,2017,709
vut,2018,709
vut,2019,709
wsm,2014,1400
wsm,2015,1400
wsm,2016,1400
wsm,2017,1400
wsm,2018,1400
wsm,2019,1400
zaf,2014,1257
zaf,2015,1257
zaf,2016,1257
zaf,2017,1257
zaf,2018,1257
zaf,2019,1257
zmb,2014,370
zmb,2015,370
zmb,2016,370
zmb,2017,370
zmb,2018,370
zmb,2019,370
zwe,2014,285
zwe,2015,285
zwe,2016,285
zwe,2017,285
zwe,2018,285
zwe,2019,285
