geo,time,gc_tax_gsrv_va_zs
chl,2015,11.6395
chl,2016,11.7972
chl,2017,12.12631
chl,2018,11.77224
chl,2019,11.63217
chn,2005,8.79682
chn,2006,6.66164
chn,2007,7.17035
chn,2008,7.34021
chn,2009,7.75931
chn,2010,7.84964
chn,2011,7.68843
chn,2012,7.51627
chn,2013,6.97618
chn,2014,6.65299
chn,2015,6.18348
chn,2016,5.90675
chn,2017,6.17046
chn,2018,5.80597
civ,1990,9.37627
civ,1995,3.96082
civ,2001,4.86226
civ,2002,4.73566
civ,2003,4.01054
civ,2004,3.82945
civ,2005,4.04834
civ,2006,3.8184
civ,2007,3.56057
civ,2008,4.15426
civ,2009,5.47123
civ,2010,4.78181
civ,2011,3.75334
civ,2012,5.16711
civ,2013,4.56237
civ,2014,4.39235
civ,2015,6.61707
civ,2016,7.12569
civ,2017,7.14194
civ,2018,7.42161
civ,2019,7.842
cmr,1990,4.30805
cmr,1991,3.93295
cmr,1992,3.8377
cmr,1993,2.64177
cmr,1994,2.49071
cmr,1995,3.40999
cmr,1998,3.85039
cmr,1999,4.43666
cmr,2012,6.27357
cmr,2013,6.80184
cmr,2014,7.30044
cmr,2015,7.19682
cmr,2016,7.65317
cmr,2017,8.2598
cmr,2018,8.82702
cog,2001,7.38533
cog,2002,6.85723
cog,2003,5.3773
cog,2004,3.75351
cog,2005,2.88449
cog,2006,2.41727
cog,2007,2.86564
cog,2008,2.566
cog,2009,4.28478
cog,2010,3.31976
cog,2011,4.15642
cog,2012,3.5175
cog,2013,3.85796
cog,2014,4.48141
cog,2015,5.61872
cog,2016,6.73466
cog,2017,5.1945
cog,2018,3.57438
col,1998,5.88116
col,2003,6.6275
col,2008,7.68931
col,2009,6.93087
col,2010,7.15758
col,2011,7.40146
col,2012,7.27769
col,2013,7.49424
col,2014,7.98323
col,2015,8.12419
col,2016,7.72678
col,2017,7.5567
col,2018,7.9864
col,2019,9.03825
cpv,2005,15.98887
cpv,2006,11.88597
cpv,2007,13.27594
cpv,2008,13.61376
cpv,2009,11.02376
cpv,2010,11.35104
cpv,2011,11.5988
cpv,2012,9.9449
cpv,2013,10.3378
cpv,2014,9.84546
cpv,2015,10.87965
cpv,2016,10.67883
cpv,2017,12.06809
cri,1972,7.15929
cri,1973,8.01796
cri,1974,7.41833
cri,1975,7.02184
cri,1976,6.864
cri,1977,7.00113
cri,1978,7.15766
cri,1979,6.38619
cri,1980,6.72868
cri,1981,6.07395
cri,1982,5.94935
cri,1983,8.72426
cri,1984,8.87576
cri,1985,7.73451
cri,1986,7.92618
cri,1987,7.97885
cri,1988,5.56507
cri,1989,5.11676
cri,1990,7.55388
cri,1991,6.4108
cri,1992,8.68468
cri,1993,8.48125
cri,1994,8.04411
cri,1995,8.45946
cri,1996,10.45505
cri,1997,10.46168
cri,1998,10.67738
