geo,time,se_adt_litr_fe_zs
mex,2010,91.85342
mex,2011,92.33828
mex,2012,93.17924
mex,2013,92.90394
mex,2014,93.59134
mex,2015,93.4855
mex,2016,93.96852
mex,2017,94.16576
mex,2018,94.60805
mex,2020,94.49513
mhl,2011,98.20298
mkd,1994,90.92802
mkd,2002,94.05607
mkd,2014,96.7
mkd,2020,97.60762
mli,1976,5.73528
mli,1998,11.89343
mli,2003,15.9
mli,2006,18.19091
mli,2010,20.28793
mli,2011,18.90469
mli,2015,22.19581
mli,2018,25.73516
mli,2020,22.07847
mlt,1985,87.28613
mlt,1995,89.24264
mlt,2005,93.50425
mlt,2011,94.79004
mlt,2018,95.98872
mmr,1983,71.63087
mmr,2000,86.41518
mmr,2016,71.84699
mmr,2019,86.26861
mne,1981,83.23546
mne,1991,97.77605
mne,2003,96.31887
mne,2011,97.50051
mne,2018,98.27135
mng,2000,97.5288
mng,2010,98.33663
mng,2018,98.64889
mng,2020,99.24109
moz,1980,12.09653
moz,1997,24.9642
moz,2003,33.19396
moz,2009,36.45228
moz,2015,43.06246
moz,2017,50.29514
mrt,2000,43.41736
mrt,2007,35.34843
mrt,2013,56.59244
mrt,2017,43.35439
mus,1990,74.66089
mus,2000,80.50003
mus,2011,86.65807
mus,2012,88.97935
mus,2013,89.05094
mus,2014,90.28332
mus,2015,90.65402
mus,2016,90.98055
mus,2018,89.36638
mwi,1987,33.52302
mwi,1998,53.99712
mwi,2010,51.25197
mwi,2014,55.13099
mwi,2015,55.20411
mys,1980,61.2485
mys,1991,77.28309
mys,2000,85.35422
mys,2010,90.74768
mys,2016,93.36942
mys,2017,93.55407
mys,2018,93.50483
mys,2019,93.64668
nam,1991,73.9866
nam,2001,83.54032
nam,2007,78.35098
nam,2011,87.95106
nam,2018,91.43643
ncl,1976,90.31079
ncl,1989,92.07344
ncl,1996,95.4653
ncl,2014,97.5
ner,2001,9.39935
ner,2005,15.08414
ner,2012,22.55129
ner,2018,26.65
nga,1991,43.7292
nga,2003,43.32205
nga,2006,64.25449
nga,2008,41.38676
nga,2018,52.65648
nic,2001,76.60166
nic,2005,77.91604
nic,2015,82.77935
npl,1981,9.15312
npl,1991,17.38179
npl,2001,34.88676
npl,2011,48.83759
npl,2018,59.72443
omn,2003,73.53171
omn,2008,80.87226
omn,2010,81.80323
omn,2014,88.9267
omn,2015,86.03721
omn,2016,90.94416
omn,2017,92.2256
omn,2018,92.69399
pak,1981,14.77155
pak,1998,29.04384
pak,2005,35.36752
pak,2006,39.61323
pak,2007,38.45776
pak,2008,40.08118
pak,2009,40.31462
pak,2010,41.01553
pak,2011,41.97539
pak,2012,43.07189
pak,2013,41.97494
pak,2014,44.28342
pak,2017,46.46767
pak,2018,45.3984
pak,2019,46.49004
pan,1980,88.04653
pan,1990,88.21485
pan,2000,91.24718
pan,2010,93.48526
pan,2018,94.88172
pan,2019,95.35888
per,1981,73.85834
per,1993,81.65875
per,2004,82.06262
per,2005,82.45437
per,2006,83.45487
per,2007,84.64688
per,2012,90.66883
per,2014,90.44918
per,2015,91.24653
per,2016,91.18853
per,2017,91.27013
per,2018,91.70311
per,2020,92.01903
phl,1980,82.76215
phl,1990,93.18072
phl,1994,94.53865
phl,2000,92.65491
phl,2003,93.56453
phl,2008,95.82563
phl,2013,96.78736
phl,2015,98.24175
phl,2019,96.85243
plw,1980,90.50324
plw,2013,99.52794
plw,2015,96.34015
png,2000,50.91774
png,2010,57.9
pol,1978,98.25198
pol,1988,98.25198
pol,1998,98.25198
pol,2008,98.25198
pri,1980,85.85034
pri,1990,89.73096
pri,2010,92.53015
pri,2017,92.39002
prk,2008,99.99761
prt,1981,74.60799
prt,1991,84.65821
prt,2011,92.86077
prt,2018,95.07252
pry,1982,75.85298
pry,1992,88.55871
pry,2007,93.45327
pry,2008,92.49443
pry,2009,93.14401
pry,2010,92.92574
pry,2012,93.58785
pry,2013,94.46626
pry,2014,94.2148
pry,2015,94.87442
pry,2016,93.83505
pry,2018,93.53171
pry,2019,92.65534
pry,2020,94.18141
pse,1997,79.76364
pse,2004,88.76575
pse,2006,89.75801
pse,2007,90.34676
pse,2008,90.7517
pse,2009,91.48147
pse,2010,91.84744
pse,2011,92.24562
pse,2012,93.21846
pse,2013,93.77193
pse,2014,94.09633
pse,2015,94.53014
pse,2016,94.88634
pse,2017,95.28158
pse,2018,95.74189
pse,2019,95.91489
pse,2020,96.20167
qat,1986,72.45895
qat,1997,80.88868
qat,2004,86.71118
qat,2007,90.43612
qat,2008,89.13771
qat,2009,90.15307
qat,2010,91.89582
qat,2011,90.24653
qat,2012,90.81172
qat,2013,91.72963
qat,2014,92.4524
qat,2016,94.20704
qat,2017,94.71151
rou,1992,94.98269
rou,2002,96.26632
rou,2011,98.20521
rou,2018,98.59977
rus,1989,96.75817
rus,2002,99.22836
rus,2010,99.64778
rus,2018,99.73411
rwa,1978,26.57358
rwa,2000,59.75034
rwa,2010,61.54861
rwa,2012,64.66449
rwa,2014,66.13744
rwa,2018,69.39454
sau,1992,57.27784
sau,2000,69.29119
sau,2004,76.33516
sau,2013,91.36925
sau,2017,92.7072
sau,2020,96.04925
sdn,2000,52.1464
sdn,2008,46.69963
sdn,2018,56.06323
sen,1988,17.86327
sen,2002,29.24734
sen,2006,32.98758
sen,2009,37.42441
sen,2011,40.25495
sen,2013,33.76036
sen,2017,39.79856
sgp,1980,73.96854
sgp,1990,83.02685
sgp,2000,88.64518
sgp,2010,93.77481
sgp,2011,94.06834
sgp,2012,94.35959
sgp,2013,94.64187
sgp,2014,94.91132
sgp,2015,95.19065
sgp,2016,95.44789
sgp,2017,95.68947
sgp,2018,95.91941
sgp,2019,96.13476
slb,1999,69
slb,2009,69
sle,2004,24.15893
sle,2013,24.85668
sle,2018,34.85203
slv,1992,71.28053
slv,2006,81.00382
slv,2007,79.66213
slv,2008,81.3595
slv,2009,81.81795
slv,2010,82.30802
slv,2011,83.01564
slv,2013,84.67035
slv,2015,86.2171
slv,2016,86.32642
slv,2017,86.67364
slv,2018,87.23414
slv,2019,87.31859
som,1972,3.68717
srb,2003,94.06828
srb,2011,96.74911
srb,2016,98.22828
srb,2019,99.11561
ssd,2008,19.18638
ssd,2018,28.86426
stp,1981,42.36338
stp,1991,61.92048
stp,2001,77.94923
stp,2008,60.08303
stp,2012,85.4417
stp,2018,89.51573
sur,2004,87.19744
sur,2008,93.76537
sur,2010,94.00354
sur,2012,90.99791
sur,2018,92.71206
svn,1991,99.45375
