geo,time,sm_pop_totl
bmu,2005,18276
bmu,2010,18884
bmu,2015,19126
bol,1960,42709
bol,1965,46944
bol,1970,51599
bol,1975,56715
bol,1980,58481
bol,1985,59033
bol,1990,73758
bol,1995,83598
bol,2000,92658
bol,2005,107745
bol,2010,122846
bol,2015,142989
bra,1960,1397119
bra,1965,1314922
bra,1970,1231834
bra,1975,1170533
bra,1980,1112834
bra,1985,944562
bra,1990,798517
bra,1995,741557
bra,2000,684596
bra,2005,638582
bra,2010,592568
bra,2015,713568
brb,1960,9760
brb,1965,11443
brb,1970,13420
brb,1975,15850
brb,1980,18671
brb,1985,19985
brb,1990,24024
brb,1995,26224
brb,2000,28424
brb,2005,30624
brb,2010,32825
brb,2015,34475
brn,1960,20562
brn,1965,26038
brn,1970,32903
brn,1975,41032
brn,1980,50977
brn,1985,61374
brn,1990,73200
brn,1995,84748
brn,2000,96296
brn,2005,98441
brn,2010,100587
brn,2015,102733
btn,1960,9676
btn,1965,11243
btn,1970,13063
btn,1975,15178
btn,1980,17635
btn,1985,20490
btn,1990,23807
btn,1995,27972
btn,2000,32137
btn,2005,40279
btn,2010,48420
btn,2015,51106
bwa,1960,7199
bwa,1965,8655
bwa,1970,10404
bwa,1975,12507
bwa,1980,15036
bwa,1985,20034
bwa,1990,27510
bwa,1995,40168
bwa,2000,57064
bwa,2005,88829
bwa,2010,120912
bwa,2015,160644
caf,1960,43128
caf,1965,45905
caf,1970,48861
caf,1975,52007
caf,1980,55355
caf,1985,58919
caf,1990,67234
caf,1995,99712
caf,2000,123529
caf,2005,94449
caf,2010,93466
caf,2015,81598
can,1960,2766304
can,1965,3020552
can,1970,3251353
can,1975,3517845
can,1980,3810578
can,1985,3900558
can,1990,4333318
can,1995,4864778
can,2000,5511914
can,2005,6078985
can,2010,7011226
can,2015,7835502
chanisl,1960,33482
chanisl,1965,39739
chanisl,1970,47165
chanisl,1975,50280
chanisl,1980,52493
chanisl,1985,38770
chanisl,1990,61660
chanisl,1995,60519
chanisl,2000,64301
chanisl,2005,70941
chanisl,2010,77581
chanisl,2015,82307
che,1960,714235
che,1965,887150
che,1970,1091990
che,1975,1089203
che,1980,1065788
che,1985,1203202
che,1990,1392282
che,1995,1478829
che,2000,1570756
che,2005,1805437
che,2010,2075182
che,2015,2438702
chl,1960,104805
chl,1965,97551
chl,1970,90271
chl,1975,85985
chl,1980,81903
chl,1985,90096
chl,1990,107501
chl,1995,142417
chl,2000,177332
chl,2005,273384
chl,2010,369436
chl,2015,469436
chn,1960,245684
chn,1965,260479
chn,1970,280404
chn,1975,298474
chn,1980,311194
chn,1985,323937
chn,1990,376361
chn,1995,442198
chn,2000,508034
chn,2005,678947
chn,2010,849861
chn,2015,978046
civ,1960,767019
civ,1965,956111
civ,1970,1191820
civ,1975,1391404
civ,1980,1520693
civ,1985,1661995
civ,1990,1816426
civ,1995,2076394
civ,2000,1994135
civ,2005,2010824
civ,2010,2095185
civ,2015,2175399
cmr,1960,175430
cmr,1965,187956
cmr,1970,201375
cmr,1975,215753
cmr,1980,231157
cmr,1985,247661
cmr,1990,265344
cmr,1995,246864
cmr,2000,228383
cmr,2005,258737
cmr,2010,289091
cmr,2015,381984
cod,1960,1006930
cod,1965,1322475
cod,1970,1424581
cod,1975,1218362
cod,1980,1204366
cod,1985,725303
cod,1990,754194
cod,1995,1816963
cod,2000,744387
cod,2005,622869
cod,2010,588950
cod,2015,545694
cog,1960,26315
cog,1965,34324
cog,1970,44771
cog,1975,58398
cog,1980,76172
cog,1985,99356
cog,1990,129597
cog,1995,191635
cog,2000,305002
cog,2005,315238
cog,2010,419649
cog,2015,392996
col,1960,58675
col,1965,74918
col,1970,79591
col,1975,84796
col,1980,90848
col,1985,97331
col,1990,104277
col,1995,106943
col,2000,109609
col,2005,107612
col,2010,124271
col,2015,133134
com,1960,1507
com,1965,2138
com,1970,3614
com,1975,7098
com,1980,14655
com,1985,14364
com,1990,14079
com,1995,13939
com,2000,13799
com,2005,13209
com,2010,12618
com,2015,12555
cpv,1960,6613
cpv,1965,6953
cpv,1970,7310
cpv,1975,7685
cpv,1980,8080
cpv,1985,8495
cpv,1990,8931
cpv,1995,9979
cpv,2000,11027
cpv,2005,12700
cpv,2010,14373
cpv,2015,14924
cri,1960,32693
cri,1965,32073
cri,1970,25432
cri,1975,29169
cri,1980,68657
cri,1985,116745
cri,1990,417628
cri,1995,364287
cri,2000,310946
cri,2005,358175
cri,2010,405404
cri,2015,421697
cub,1960,143616
cub,1965,136612
cub,1970,129950
cub,1975,93317
cub,1980,67010
cub,1985,48120
cub,1990,34555
cub,1995,26187
cub,2000,17818
cub,2005,17023
cub,2010,14818
cub,2015,13336
cym,1960,957
cym,1965,1220
cym,1970,1586
cym,1975,3069
cym,1980,5722
cym,1985,8583
cym,1990,9387
cym,1995,14320
cym,2000,19253
cym,2005,21655
cym,2010,24057
cym,2015,23726
cyp,1960,29589
cyp,1965,32483
cyp,1970,34485
cyp,1975,36610
cyp,1980,38866
cyp,1985,41262
cyp,1990,43805
cyp,1995,61941
cyp,2000,80076
cyp,2005,117165
cyp,2010,187923
cyp,2015,196167
cze,1990,110394
cze,1995,165592
cze,2000,220789
cze,2005,322540
cze,2010,397785
cze,2015,405093
deu,1990,5936181
deu,1995,7464406
deu,2000,8992631
deu,2005,10299160
deu,2010,11605690
deu,2015,12005690
dji,1960,11766
dji,1965,15883
dji,1970,21440
dji,1975,28941
dji,1980,80230
dji,1985,67188
dji,1990,122221
dji,1995,99774
dji,2000,100507
dji,2005,92091
dji,2010,101575
dji,2015,112351
dma,1960,2390
dma,1965,2219
dma,1970,2061
dma,1975,1913
dma,1980,1777
dma,1985,2072
dma,1990,2519
dma,1995,3121
dma,2000,3723
dma,2005,4744
dma,2010,5765
dma,2015,6720
dnk,1960,93989
dnk,1965,99954
dnk,1970,117442
dnk,1975,138684
dnk,1980,163769
dnk,1985,195793
dnk,1990,235189
dnk,1995,303108
dnk,2000,371026
dnk,2005,440383
dnk,2010,509740
dnk,2015,572520
dom,1960,144583
dom,1965,167981
dom,1970,195166
dom,1975,215691
dom,1980,238375
dom,1985,263445
dom,1990,291151
dom,1995,323381
dom,2000,355611
dom,2005,376001
dom,2010,393720
dom,2015,415564
dza,1960,430447
dza,1965,208299
dza,1970,168949
dza,1975,160287
dza,1980,184995
dza,1985,288665
dza,1990,273954
dza,1995,262032
dza,2000,250110
dza,2005,247537
dza,2010,244964
dza,2015,242391
ecu,1960,24061
ecu,1965,32827
ecu,1970,44787
ecu,1975,59315
ecu,1980,70354
ecu,1985,77169
ecu,1990,78663
ecu,1995,115093
ecu,2000,151523
ecu,2005,187404
ecu,2010,325366
ecu,2015,387513
egy,1960,212376
egy,1965,208115
egy,1970,203514
egy,1975,196071
egy,1980,188889
egy,1985,182920
egy,1990,173708
egy,1995,166955
egy,2000,173452
egy,2005,274001
egy,2010,295714
egy,2015,491643
eri,1960,7703
eri,1965,8266
eri,1970,8896
eri,1975,9585
eri,1980,10323
eri,1985,11040
eri,1990,11848
eri,1995,12400
eri,2000,12952
eri,2005,14314
eri,2010,15676
eri,2015,15941
esp,1960,210897
esp,1965,272201
esp,1970,355727
esp,1975,465542
esp,1980,609354
esp,1985,716881
esp,1990,821605
esp,1995,1020067
esp,2000,1657285
esp,2005,4107226
esp,2010,6280065
esp,2015,5852953
est,1990,381997
est,1995,315755
est,2000,249512
est,2005,233701
est,2010,217890
est,2015,202348
eth,1960,393260
eth,1965,383551
eth,1970,394582
eth,1975,392082
eth,1980,404192
eth,1985,583658
eth,1990,1155390
eth,1995,806904
eth,2000,611384
eth,2005,514242
eth,2010,567720
eth,2015,1072949
fin,1960,32084
fin,1965,32196
fin,1970,32491
fin,1975,35352
fin,1980,38789
fin,1985,48822
fin,1990,63255
fin,1995,99729
fin,2000,136203
fin,2005,192169
fin,2010,248135
fin,2015,315881
fji,1960,20078
fji,1965,17953
fji,1970,16394
fji,1975,15071
fji,1980,14025
fji,1985,13103
fji,1990,13283
fji,1995,13001
fji,2000,12719
fji,2005,12435
fji,2010,13351
fji,2015,13751
fra,1960,3507213
fra,1965,4447230
fra,1970,5210336
fra,1975,5571664
fra,1980,5890633
fra,1985,5952820
fra,1990,5897267
fra,1995,6087993
fra,2000,6278718
fra,2005,6737600
fra,2010,7196481
fra,2015,7784418
fro,1960,1489
fro,1965,1716
fro,1970,1978
fro,1975,2280
fro,1980,2628
fro,1985,3029
fro,1990,4285
fro,1995,2900
fro,2000,3593
fro,2005,4583
fro,2010,5096
fro,2015,5517
fsm,1960,5848
fsm,1965,5563
fsm,1970,5292
fsm,1975,5034
fsm,1980,4542
fsm,1985,4098
fsm,1990,3685
fsm,1995,3342
fsm,2000,3116
fsm,2005,2905
fsm,2010,2805
fsm,2015,2756
gab,1960,20865
gab,1965,29030
gab,1970,40391
gab,1975,61887
gab,1980,94824
gab,1985,110027
gab,1990,127980
gab,1995,152972
gab,2000,195571
gab,2005,214123
gab,2010,243992
gab,2015,268384
gbm,1960,22192
gbm,1965,23916
gbm,1970,25775
gbm,1975,27777
gbm,1980,29936
gbm,1985,32262
gbm,1990,34769
gbm,1995,36886
gbm,2000,39002
gbm,2005,41475
gbm,2010,43447
gbm,2015,45221
gbr,1960,1661888
gbr,1965,2541943
gbr,1970,2945896
gbr,1975,3147977
gbr,1980,3356904
gbr,1985,3535927
gbr,1990,3650286
gbr,1995,4155293
gbr,2000,4730165
gbr,2005,5926156
gbr,2010,7604583
gbr,2015,8543120
geo,1990,338300
geo,1995,278450
geo,2000,218600
geo,2005,199805
geo,2010,182202
geo,2015,168802
gha,1960,529720
gha,1965,427416
gha,1970,351973
gha,1975,384784
gha,1980,420653
gha,1985,494449
gha,1990,164851
gha,1995,252879
gha,2000,191601
gha,2005,304436
gha,2010,337017
gha,2015,399471
gib,1960,6765
gib,1965,7681
gib,1970,9071
gib,1975,9436
gib,1980,9747
gib,1985,9404
gib,1990,8709
gib,1995,8381
gib,2000,8054
gib,2005,9211
gib,2010,10369
gib,2015,11065
gin,1960,11313
gin,1965,13818
gin,1970,16878
gin,1975,20615
gin,1980,25180
gin,1985,30755
gin,1990,403621
gin,1995,774505
gin,2000,560075
gin,2005,229611
gin,2010,205111
gin,2015,228413
gmb,1960,31551
gmb,1965,39073
gmb,1970,48389
gmb,1975,60210
gmb,1980,75374
gmb,1985,94358
gmb,1990,118123
gmb,1995,150890
gmb,2000,182514
gmb,2005,181905
gmb,2010,185763
gmb,2015,192540
gnb,1960,11643
gnb,1965,11938
gnb,1970,12241
gnb,1975,12551
gnb,1980,12869
gnb,1985,12614
gnb,1990,15368
gnb,1995,27961
gnb,2000,20450
gnb,2005,20736
gnb,2010,21061
gnb,2015,22333
gnq,1960,19351
gnq,1965,13970
gnq,1970,10086
gnq,1975,7282
gnq,1980,5257
gnq,1985,3795
gnq,1990,2740
gnq,1995,3629
gnq,2000,4517
gnq,2005,6588
gnq,2010,8658
gnq,2015,10825
grc,1960,52495
grc,1965,68707
grc,1970,89572
grc,1975,123472
grc,1980,171755
grc,1985,309261
grc,1990,618139
grc,1995,857850
grc,2000,1111665
grc,2005,1190707
grc,2010,1269749
grc,2015,1242514
grd,1960,4011
grd,1965,3549
grd,1970,3140
grd,1975,2778
grd,1980,2458
grd,1985,3123
grd,1990,4263
grd,1995,5544
grd,2000,6825
grd,2005,6902
grd,2010,6980
grd,2015,7057
grl,1960,2591
grl,1965,4269
grl,1970,7225
grl,1975,8571
grl,1980,8820
grl,1985,9277
grl,1990,9416
grl,1995,7320
grl,2000,6755
grl,2005,6686
grl,2010,6226
grl,2015,6009
gtm,1960,43309
gtm,1965,47677
gtm,1970,40772
gtm,1975,38201
gtm,1980,42021
gtm,1985,81584
gtm,1990,264257
gtm,1995,156188
gtm,2000,48119
gtm,2005,57252
gtm,2010,66384
gtm,2015,76352
gum,1960,31001
gum,1965,34190
gum,1970,37806
gum,1975,43897
gum,1980,50997
gum,1985,59836
gum,1990,69755
gum,1995,71912
gum,2000,74070
gum,2005,74743
gum,2010,75416
gum,2015,76089
guy,1960,14035
guy,1965,13454
guy,1970,12715
guy,1975,8979
guy,1980,6363
guy,1985,5105
guy,1990,4095
guy,1995,6352
guy,2000,8610
guy,2005,10868
guy,2010,13126
guy,2015,15384
hkg,1960,1627488
hkg,1965,1696828
hkg,1970,1715474
hkg,1975,1884492
hkg,1980,2100549
hkg,1985,2184333
hkg,1990,2218473
hkg,1995,2443798
hkg,2000,2669122
hkg,2005,2721235
hkg,2010,2779950
hkg,2015,2838665
hnd,1960,60024
hnd,1965,37807
hnd,1970,20625
hnd,1975,14434
hnd,1980,32767
hnd,1985,82874
hnd,1990,270423
hnd,1995,149442
hnd,2000,28461
hnd,2005,27875
hnd,2010,27288
hnd,2015,28070
hrv,1990,475438
hrv,1995,674085
hrv,2000,585298
hrv,2005,579273
hrv,2010,573248
hrv,2015,576883
hti,1960,14533
hti,1965,12718
hti,1970,11130
hti,1975,12118
hti,1980,14098
hti,1985,16403
hti,1990,19084
hti,1995,22458
hti,2000,25832
hti,2005,30468
hti,2010,35104
hti,2015,39529
hun,1960,518137
hun,1965,475994
hun,1970,437279
hun,1975,401713
hun,1980,369039
hun,1985,339023
hun,1990,347510
hun,1995,322234
hun,2000,296957
hun,2005,366787
hun,2010,436616
hun,2015,449632
idn,1960,1859466
idn,1965,1475121
idn,1970,1170220
idn,1975,928340
idn,1980,756851
idn,1985,593098
idn,1990,465612
idn,1995,378960
idn,2000,292307
idn,2005,289568
idn,2010,305416
idn,2015,328846
ind,1960,9410535
ind,1965,9350557
ind,1970,9181520
ind,1975,9011238
ind,1980,8845466
ind,1985,8131017
ind,1990,7493204
ind,1995,6952238
ind,2000,6411272
ind,2005,5923642
ind,2010,5436012
ind,2015,5240960
irl,1960,73019
irl,1965,94397
irl,1970,130411
irl,1975,171429
irl,1980,223238
irl,1985,225285
irl,1990,227961
irl,1995,226892
irl,2000,350552
irl,2005,589046
irl,2010,730542
irl,2015,746260
irn,1960,48374
irn,1965,53761
irn,1970,86165
irn,1975,157166
irn,1980,555455
irn,1985,2855231
irn,1990,4291601
irn,1995,2937668
irn,2000,2803805
irn,2005,2568930
irn,2010,2761561
irn,2015,2726420
irq,1960,87752
irq,1965,78709
irq,1970,74870
irq,1975,71219
irq,1980,68826
irq,1985,111660
irq,1990,83638
irq,1995,199460
irq,2000,210525
irq,2005,132915
irq,2010,117389
irq,2015,353881
isl,1960,3317
isl,1965,4515
isl,1970,4914
isl,1975,5279
isl,1980,5765
isl,1985,7098
isl,1990,9584
isl,1995,12738
isl,2000,15892
isl,2005,25492
isl,2010,35091
isl,2015,37522
isr,1960,1185573
isr,1965,1291182
isr,1970,1408744
isr,1975,1446242
isr,1980,1430985
isr,1985,1522681
isr,1990,1632704
isr,1995,1792185
isr,2000,1851309
isr,2005,1889503
isr,2010,1950615
isr,2015,2011727
ita,1960,459553
ita,1965,629595
ita,1970,862556
ita,1975,1006374
ita,1980,1108852
ita,1985,1252814
ita,1990,1428219
ita,1995,1774954
ita,2000,2121688
ita,2005,3954790
ita,2010,5787893
ita,2015,5788875
jam,1960,21904
jam,1965,23994
jam,1970,26100
jam,1975,24598
jam,1980,23182
jam,1985,21916
jam,1990,20475
jam,1995,22713
jam,2000,24952
jam,2005,24314
jam,2010,23677
jam,2015,23167
jor,1960,385789
jor,1965,453521
jor,1970,531617
jor,1975,675638
jor,1980,810326
jor,1985,942798
jor,1990,1146349
jor,1995,1537097
jor,2000,1927845
jor,2005,2325414
jor,2010,2722983
jor,2015,3112026
jpn,1960,692651
jpn,1965,712854
jpn,1970,725139
jpn,1975,770342
jpn,1980,802422
jpn,1985,850775
jpn,1990,1075626
jpn,1995,1381097
jpn,2000,1686567
jpn,2005,2012916
jpn,2010,2134151
jpn,2015,2043877
kaz,1990,3619200
kaz,1995,3245250
kaz,2000,2871300
kaz,2005,3102962
kaz,2010,3334623
kaz,2015,3546778
ken,1960,59330
ken,1965,101581
ken,1970,159044
ken,1975,160512
ken,1980,159892
ken,1985,151664
ken,1990,297292
ken,1995,618745
ken,2000,699139
ken,2005,756894
ken,2010,926959
ken,2015,1084357
kgz,1990,623083
kgz,1995,510296
kgz,2000,389558
kgz,2005,312897
kgz,2010,231511
kgz,2015,204382
khm,1960,381271
khm,1965,373625
khm,1970,342322
khm,1975,14551
khm,1980,4168
khm,1985,12647
khm,1990,38375
khm,1995,92230
khm,2000,146085
khm,2005,114031
khm,2010,81977
khm,2015,73963
kir,1960,610
kir,1965,602
kir,1970,587
kir,1975,771
kir,1980,1639
kir,1985,2055
kir,1990,2162
kir,1995,2223
kir,2000,2283
kir,2005,2487
kir,2010,2868
kir,2015,3153
kna,1960,3537
kna,1965,3103
kna,1970,2735
kna,1975,2664
kna,1980,2604
kna,1985,2908
kna,1990,3210
kna,1995,4248
kna,2000,5871
kna,2005,6682
kna,2010,7245
kna,2015,7443
kor,1960,135551
kor,1965,156147
kor,1970,179873
kor,1975,305275
kor,1980,528810
kor,1985,559921
kor,1990,43017
kor,1995,123886
kor,2000,244178
kor,2005,485546
kor,2010,919275
kor,2015,1327324
kwt,1960,90629
kwt,1965,240583
kwt,1970,463366
kwt,1975,664156
kwt,1980,966341
kwt,1985,1240806
kwt,1990,1074391
kwt,1995,921954
kwt,2000,1127640
kwt,2005,1333327
kwt,2010,1871537
kwt,2015,2866136
lao,1960,19646
lao,1965,20177
lao,1970,20688
lao,1975,21247
lao,1980,26990
lao,1985,22901
lao,1990,22866
lao,1995,23526
lao,2000,21948
lao,2005,20371
lao,2010,21185
lao,2015,22244
lbn,1960,151443
lbn,1965,174368
lbn,1970,190842
lbn,1975,208567
lbn,1980,241367
lbn,1985,347773
lbn,1990,523693
lbn,1995,608303
lbn,2000,692913
lbn,2005,756784
lbn,2010,820655
lbn,2015,1997776
lbr,1960,28811
lbr,1965,37614
lbr,1970,49605
lbr,1975,63597
lbr,1980,80706
lbr,1985,82969
lbr,1990,94964
lbr,1995,208563
lbr,2000,151868
lbr,2005,87188
lbr,2010,99129
lbr,2015,113779
lby,1960,48210
lby,1965,56320
lby,1970,122167
lby,1975,223398
lby,1980,310558
lby,1985,413947
lby,1990,457075
lby,1995,508041
lby,2000,567436
lby,2005,625212
lby,2010,683998
lby,2015,771146
lca,1960,2448
lca,1965,2681
lca,1970,2937
lca,1975,3217
lca,1980,3534
lca,1985,4343
lca,1990,5305
lca,1995,7152
lca,2000,9868
lca,2005,11468
lca,2010,12100
lca,2015,12771
lie,1960,4070
lie,1965,5328
lie,1970,7012
lie,1975,8076
lie,1980,9302
lie,1985,9888
lie,1990,10906
lie,1995,13311
lie,2000,15483
lie,2005,18898
lie,2010,22342
lie,2015,23493
lka,1960,1005317
lka,1965,1026891
lka,1970,1085423
lka,1975,885875
lka,1980,661917
lka,1985,494578
lka,1990,41561
lka,1995,40841
lka,2000,40132
lka,2005,39526
lka,2010,38959
lka,2015,38706
lso,1960,3165
lso,1965,3633
lso,1970,4205
lso,1975,4977
lso,1980,10655
lso,1985,17528
lso,1990,8240
lso,1995,7204
lso,2000,6167
lso,2005,6290
lso,2010,6414
lso,2015,6572
ltu,1990,349258
ltu,1995,273587
ltu,2000,214311
ltu,2005,201209
ltu,2010,160772
ltu,2015,136036
lux,1960,46372
lux,1965,52150
lux,1970,58648
lux,1975,70058
lux,1980,84251
lux,1985,98186
lux,1990,113795
lux,1995,126106
lux,2000,139750
lux,2005,150618
lux,2010,163142
lux,2015,249325
lva,1990,646007
lva,1995,538093
lva,2000,430178
lva,2005,376725
lva,2010,313786
lva,2015,263126
mac,1960,79831
mac,1965,88227
mac,1970,97506
mac,1975,107761
mac,1980,119095
mac,1985,154518
mac,1990,205047
mac,1995,224929
mac,2000,240791
mac,2005,279308
mac,2010,318506
mac,2015,342703
mar,1960,394340
mar,1965,223034
mar,1970,126146
mar,1975,90479
mar,1980,69130
mar,1985,59972
mar,1990,54895
mar,1995,50360
mar,2000,53034
mar,2005,54379
mar,2010,70909
mar,2015,88511
mco,1960,15380
mco,1965,15260
mco,1970,15530
mco,1975,16296
mco,1980,17466
mco,1985,18719
mco,1990,20359
mco,1995,21060
mco,2000,21787
mco,2005,21312
mco,2010,21132
mco,2015,21042
mda,1990,544162
mda,1995,367231
mda,2000,247828
mda,2005,173957
mda,2010,157668
mda,2015,142904
mdg,1960,126298
mdg,1965,98361
mdg,1970,72604
mdg,1975,53591
mdg,1980,50977
mdg,1985,48490
mdg,1990,23917
mdg,1995,21177
mdg,2000,23541
mdg,2005,26058
mdg,2010,28905
mdg,2015,32075
mdv,1960,1703
mdv,1965,1802
mdv,1970,1916
mdv,1975,2055
mdv,1980,2225
mdv,1985,2422
mdv,1990,8689
mdv,1995,18510
mdv,2000,27092
mdv,2005,45045
mdv,2010,73604
mdv,2015,94086
mex,1960,223245
mex,1965,205886
mex,1970,195369
mex,1975,230346
mex,1980,294258
mex,1985,479104
mex,1990,695674
mex,1995,458549
mex,2000,538051
mex,2005,712487
mex,2010,969538
mex,2015,1193155
mhl,1960,846
mhl,1965,936
mhl,1970,1035
mhl,1975,1144
mhl,1980,1265
mhl,1985,1399
mhl,1990,1158
mhl,1995,1480
mhl,2000,1891
mhl,2005,2417
mhl,2010,3089
mhl,2015,3284
mkd,1990,95142
mkd,1995,109343
mkd,2000,125665
mkd,2005,127667
mkd,2010,129701
mkd,2015,130730
mli,1960,167597
mli,1965,166053
mli,1970,164523
mli,1975,163008
mli,1980,161506
mli,1985,160019
mli,1990,160736
mli,1995,176187
mli,2000,189475
mli,2005,256797
mli,2010,336607
mli,2015,363145
mlt,1960,1712
mlt,1965,6320
mlt,1970,10401
mlt,1975,8104
mlt,1980,6313
mlt,1985,4919
mlt,1990,15077
mlt,1995,17740
mlt,2000,21521
mlt,2005,24560
mlt,2010,33084
mlt,2015,41442
mmr,1960,286559
mmr,1965,279484
mmr,1970,272584
mmr,1975,265854
mmr,1980,188051
mmr,1985,133053
mmr,1990,133545
mmr,1995,113663
mmr,2000,98011
mmr,2005,83025
mmr,2010,76414
mmr,2015,73308
mne,2010,78507
mne,2015,82541
mng,1960,3684
mng,1965,4072
mng,1970,4501
mng,1975,4975
mng,1980,5499
mng,1985,6078
mng,1990,6718
mng,1995,7424
mng,2000,8206
mng,2005,11475
mng,2010,16061
mng,2015,17620
mnp,1960,2648
mnp,1965,3077
mnp,1970,3576
mnp,1975,4155
mnp,1980,4828
mnp,1985,15870
mnp,1990,26593
mnp,1995,32376
mnp,2000,40122
mnp,2005,37542
mnp,2010,24168
mnp,2015,21648
moz,1960,8949
moz,1965,8022
moz,1970,7791
moz,1975,37011
moz,1980,104807
