geo,time,bn_trf_curr_cd
bgr,1994,166700000
bgr,1995,131900000
bgr,1996,104200000
bgr,1997,236800000
bgr,1998,230011460.6164
bgr,1999,299750490.25787
bgr,2000,289719164.55376
bgr,2001,498356014.64111
bgr,2002,547367502.33032
bgr,2003,695611763.34188
bgr,2004,922411662.6902
bgr,2005,1013352873.82261
bgr,2006,844226006.5203
bgr,2007,984184912.90946
bgr,2008,1323398882.59232
bgr,2009,1324948049.4245
bgr,2010,1999710000
bgr,2011,2331470000
bgr,2012,2709620000
bgr,2013,3158610000
bgr,2014,2180090000
bgr,2015,1733020000
bgr,2016,1660990000
bgr,2017,1924290000
bgr,2018,2126210000
bgr,2019,1989730000
bgr,2020,920030000
bhr,1975,-76359039.38397
bhr,1976,-83670550.57919
bhr,1977,-2274737.77903
bhr,1978,-40521009.08631
bhr,1979,4454722.34198
bhr,1980,87798353.82716
bhr,1981,87765957.68023
bhr,1982,72074468.27679
bhr,1983,40425532.02241
bhr,1984,-1063829.78841
bhr,1985,-114627659.57447
bhr,1986,-143882978.7234
bhr,1987,-130851063.82979
bhr,1988,173404255.31915
bhr,1989,-96808510.6383
bhr,1990,-272340425.53192
bhr,1991,-303457446.80851
bhr,1992,-270744680.85106
bhr,1993,-322606392.27368
bhr,1994,-329521307.26927
bhr,1995,-378989391.10068
bhr,1996,-432978760.82928
bhr,1997,-402127697.00657
bhr,1998,-659840491.34047
bhr,1999,-819453619.87221
bhr,2000,-990261617.02128
bhr,2001,-1264046510.6383
bhr,2002,-856848404.25532
bhr,2003,-1082180851.06383
bhr,2004,-1119946808.51064
bhr,2005,-1223404255.31915
bhr,2006,-1530851063.82979
bhr,2007,-1482771276.59574
bhr,2008,-1774489021.2766
bhr,2009,-1390957446.80851
bhr,2010,-1641755319.14894
bhr,2011,-2050000000
bhr,2012,-2074468085.10638
bhr,2013,-2165957446.80851
bhr,2014,-2364361702.12766
bhr,2015,-2367287234.04255
bhr,2016,-2391489361.70213
bhr,2017,-2465957446.80851
bhr,2018,-3268882978.7234
bhs,1976,3000000
bhs,1977,-10400000
bhs,1978,-12500000
bhs,1979,-1800000
bhs,1980,600000
bhs,1981,-300000
bhs,1982,5800000
bhs,1983,9800000
bhs,1984,3500000
bhs,1985,2500000
bhs,1986,1200000
bhs,1987,-1900000
bhs,1988,-11500000
bhs,1989,5900000
bhs,1990,5600000
bhs,1991,11200000
bhs,1992,12000000
bhs,1993,23800000
bhs,1994,27300000
bhs,1995,17900000
bhs,1996,37200000
bhs,1997,39300000
bhs,1998,34200000
bhs,1999,205802280
bhs,2000,78017000
bhs,2001,110040000
bhs,2002,42350425
bhs,2003,48700000
bhs,2004,250780000
bhs,2005,85231780
bhs,2006,52040000
bhs,2007,51800000
bhs,2008,-24604551
bhs,2009,13500000
bhs,2010,-2570000
bhs,2011,-36194000
bhs,2012,10520000
bhs,2013,3217000
bhs,2014,66177661.031
bhs,2015,15321789.0228
bhs,2016,315084541.3959
bhs,2017,-55180906.19403
bhs,2018,-68602247.9158
bhs,2019,-66630559.35
bhs,2020,-173389023.27
bih,1998,1771200071.91769
bih,1999,1888507949.66846
bih,2000,1591470151.03085
bih,2001,1454833588.29999
bih,2002,1421941167.65391
bih,2003,1657600337.18328
bih,2004,1994550679.9328
bih,2005,2031629205.30935
bih,2006,2234397388.25141
bih,2007,2743212409.20767
bih,2008,2876061415.93828
bih,2009,2379459577.70898
bih,2010,2389438630.75226
bih,2011,2517966978.11474
bih,2012,2414623450.83064
bih,2013,2509345004.72949
bih,2014,2689185075.15614
bih,2015,2025885101.23475
bih,2016,1984357893.8995
bih,2017,2216050541.62947
bih,2018,2419387549.34607
bih,2019,2461816924.74293
bih,2020,2213538645.33108
blr,1993,52200000
blr,1994,22700000
blr,1995,76000000
blr,1996,91300000
blr,1997,78400000
blr,1998,95600000
blr,1999,103800000
blr,2000,154700000
blr,2001,153800000
blr,2002,198900000
blr,2003,222100000
blr,2004,302900000
blr,2005,164700000
blr,2006,203900000
blr,2007,170400000
blr,2008,170800000
blr,2009,274100000
blr,2010,316600000
blr,2011,-2482200000
blr,2012,-3223000000
blr,2013,-2541600000
blr,2014,-2324500000
blr,2015,534100000
blr,2016,611600000
blr,2017,1030000000
blr,2018,1240100000
blr,2019,1027300000
blr,2020,447500000
blr,2021,712332409.21
blz,1984,25300000
blz,1985,32400000
blz,1986,27400000
blz,1987,30950000
blz,1988,25850000
blz,1989,31100000
blz,1990,29400000
blz,1991,28000000
blz,1992,30400000
blz,1993,29500000
blz,1994,27462500
blz,1995,33148000
blz,1996,31125000
blz,1997,34740000
blz,1998,35550000
blz,1999,38002111.82
blz,2000,57888953.8
blz,2001,39528490.63725
blz,2002,43318450.57516
blz,2003,40880814.40421
blz,2004,45908471.43988
blz,2005,51210575.67585
blz,2006,73966627.65612
blz,2007,93385720.98363
blz,2008,111548732.76454
blz,2009,79388302.49434
blz,2010,91822745.03985
blz,2011,83730955.75375
blz,2012,75779624.65703
blz,2013,72974472.51473
blz,2014,73963448.21543
blz,2015,69708560.84548
blz,2016,108378763.671
blz,2017,70228818.35831
blz,2018,78276320.48919
blz,2019,79574847.17837
blz,2020,117911443.19851
bmu,2006,-6820000
bmu,2007,-54158034.40374
bmu,2008,-116067880.25147
bmu,2009,-127939765.24709
bmu,2010,-137802417.40107
bmu,2011,-130976102.67982
bmu,2012,-138454060.90614
bmu,2013,-156374513.29379
bmu,2014,-149849965.92278
bmu,2015,-165670867.73405
bmu,2016,-177312017.78593
bmu,2017,-200480760.49576
bmu,2018,-173282510.31486
