geo,time,se_sec_enrl_gc
aut,2000,486937
aut,2001,486054
aut,2002,489936
aut,2003,497517
aut,2004,478230
aut,2005,481324
aut,2006,480298
aut,2007,476624
aut,2008,470889
aut,2009,460934
aut,2010,449729
aut,2011,438879
aut,2012,430657
aut,2013,446948.53333
aut,2014,443882.91667
aut,2015,442411.33535
aut,2016,445740.41972
aut,2017,449201.08333
aze,1981,941742
aze,1986,853074
aze,1989,848765
aze,1990,822142
aze,1991,816869
aze,1992,831338
aze,1993,843440
aze,1994,838546
aze,1995,851059
aze,1996,786025
aze,1997,802338
aze,1998,862986
aze,1999,905538
aze,2000,922697
aze,2001,997187
aze,2002,1018556
aze,2003,1073634
aze,2004,1082859
aze,2005,1066920
aze,2006,1050711
aze,2007,1027034
aze,2008,995320
aze,2009,941273
aze,2010,886337
aze,2011,844759
aze,2012,802580
aze,2013,777179
aze,2014,762004
aze,2015,760526
aze,2016,762999
aze,2017,775092
aze,2018,792449
bdi,1971,3969
bdi,1972,4102
bdi,1973,3744
bdi,1974,4517
bdi,1975,6295
bdi,1976,7143
bdi,1977,6663
bdi,1978,7398
bdi,1979,7872
bdi,1980,7967
bdi,1981,8899
bdi,1982,10509
bdi,1983,8971
bdi,1984,9616
bdi,1985,11390
bdi,1986,13037
bdi,1987,16798
bdi,1988,18108
bdi,1989,22225
bdi,1990,23023
bdi,1991,36773
bdi,1992,40334
bdi,1993,46381
bdi,1995,47636
bdi,2000,105473
bdi,2001,104885
bdi,2002,113176
bdi,2003,119077
bdi,2004,140735
bdi,2005,159240
bdi,2006,180384
bdi,2007,197315
bdi,2008,230572
bdi,2009,275160
bdi,2010,322112
bdi,2011,362111
bdi,2012,402733
bdi,2013,464709
bdi,2014,546282
bdi,2015,615946
bdi,2016,672472
bdi,2017,598006
bdi,2018,606024
bel,1971,334891
bel,1972,348841
bel,1973,408081
bel,1974,436826
bel,1975,469093
bel,1976,494684
bel,1977,517022
bel,1983,462490
bel,1984,448881
bel,1985,453320
bel,1986,450662
bel,1987,441879
bel,1988,433264
bel,1991,434958
bel,1993,493591
bel,1994,496621
bel,1995,495560
bel,1996,489957
bel,1999,476616
bel,2000,476694
bel,2001,481952
bel,2002,467608
bel,2003,470241
bel,2004,479766
bel,2005,485087
bel,2006,486972
bel,2007,482377
bel,2008,476189
bel,2009,472219
bel,2010,484368
bel,2011,484925
bel,2012,484891
bel,2013,652569
bel,2014,656711
bel,2015,668179
bel,2016,651048
bel,2017,661906
ben,1971,17243
ben,1972,21049
ben,1973,27073
ben,1974,32348
ben,1975,39064
ben,1976,41802
ben,1977,45572
ben,1978,51273
ben,1979,55434
ben,1980,64275
ben,1981,83207
ben,1982,99295
ben,1983,117724
ben,1984,115362
ben,1985,112267
ben,1986,99345
ben,1987,95121
ben,1988,85753
ben,1990,77500
ben,1995,116300
ben,1996,128256
ben,1997,146135
ben,2000,208885
ben,2001,233177
ben,2002,262950
ben,2003,283560
ben,2004,313986
ben,2005,377618
ben,2006,433850
ben,2011,699101
ben,2013,846328
ben,2014,873090
ben,2015,941689
ben,2016,965124
bfa,1971,8803
bfa,1972,8997
bfa,1973,10119
bfa,1974,11953
bfa,1975,12682
bfa,1976,13167
bfa,1977,14958
bfa,1978,16128
bfa,1979,17401
bfa,1980,20529
bfa,1981,23420
bfa,1982,25273
bfa,1983,27618
bfa,1984,31474
bfa,1985,39369
bfa,1986,48938
bfa,1987,57937
bfa,1988,67271
bfa,1989,78627
bfa,1990,84233
bfa,1991,91727
bfa,1992,97170
bfa,1993,107024
bfa,1994,116033
bfa,1999,160096
bfa,2000,174501
bfa,2001,181882
bfa,2003,218493
bfa,2004,246162
bfa,2005,272980
bfa,2006,296747
bfa,2007,327799
bfa,2008,397933
bfa,2009,441781
bfa,2010,511585
bfa,2011,578291
bfa,2012,648956
bfa,2013,732715
bfa,2014,813654
bfa,2015,935561
bfa,2016,1028133
bfa,2017,1132340
bfa,2018,1252441
bgd,1972,1930345
bgd,1973,2255750
bgd,1974,2366148
bgd,1975,2442842
bgd,1976,2164328
bgd,1977,2213068
bgd,1978,2638543
bgd,1979,2323571
bgd,1980,2632904
bgd,1981,2381346
bgd,1983,2930757
bgd,1984,3083643
bgd,1985,3097871
bgd,1986,3104893
bgd,1987,3238993
bgd,1988,3308347
bgd,1989,3377368
bgd,1990,3562194
bgd,1998,9031080
bgd,1999,9806527
bgd,2000,10223908
bgd,2001,10566996
bgd,2002,10897971
bgd,2003,10924016
bgd,2004,10186996
bgd,2005,9916904
bgd,2006,10031776
bgd,2007,10190592
bgd,2008,9692260
bgd,2009,10539656
bgd,2010,10961531
bgd,2011,11178900
bgd,2012,11758695
bgd,2013,12884519
bgd,2015,13964691
bgd,2016,15160895
bgd,2017,14702156
bgd,2018,15112531
bgr,1971,609205
bgr,1972,603326
bgr,1973,604007
bgr,1974,606446
bgr,1975,611372
bgr,1976,567014
bgr,1977,588416
bgr,1978,571249
bgr,1979,547517
bgr,1980,554681
bgr,1981,562725
bgr,1982,585332
bgr,1983,609324
bgr,1984,625951
bgr,1985,645530
bgr,1986,676781
bgr,1987,692027
bgr,1988,708865
bgr,1989,707343
bgr,1990,670529
bgr,1991,657476
bgr,1992,631354
bgr,1993,600396
bgr,1994,567504
bgr,1995,559399
bgr,1996,543212
bgr,1997,526792
bgr,1998,515283
bgr,1999,510106
bgr,2000,510321
bgr,2001,509339
bgr,2002,505533
bgr,2003,507904
bgr,2004,496064
bgr,2005,481281
bgr,2006,464375
bgr,2007,442622
bgr,2008,417775
bgr,2009,390423
bgr,2010,371857
bgr,2011,365043
bgr,2012,360862
bgr,2013,354985
bgr,2014,351279
bgr,2015,346266
bgr,2016,343688
bgr,2017,344423
bhr,1971,12697
bhr,1972,12979
bhr,1973,13875
bhr,1974,15116
bhr,1975,16133
bhr,1976,16962
bhr,1977,17794
bhr,1978,19654
bhr,1979,20589
bhr,1980,22185
bhr,1981,23718
bhr,1982,24647
bhr,1983,27785
bhr,1984,26409
bhr,1985,28253
bhr,1986,30707
bhr,1987,32241
bhr,1988,33246
bhr,1989,34313
bhr,1990,33826
bhr,1991,40778
bhr,1992,42435
bhr,1993,45120
bhr,1994,47417
bhr,1995,48944
bhr,1996,49794
bhr,1997,49897
bhr,1998,50744
bhr,1999,49874
bhr,2000,50915
bhr,2001,50829
bhr,2002,51324
bhr,2003,52274
bhr,2004,54261
bhr,2005,55907
bhr,2006,58567
bhr,2008,65849
bhr,2009,69974
bhr,2010,73548
bhr,2011,76149
bhr,2012,76937
bhr,2013,81896
bhr,2014,83000
bhr,2015,85788
bhr,2016,89302
bhr,2017,91304
bhr,2018,92483
bhs,1971,20495
bhs,1972,21578
bhs,1973,22433
bhs,1974,25307
bhs,1975,26512
bhs,1976,28056
bhs,1977,29472
bhs,1978,29832
bhs,1979,30015
bhs,1980,29734
bhs,1981,28136
bhs,1982,27731
bhs,1983,27649
bhs,1984,29496
bhs,1985,27147
bhs,1986,27604
bhs,1987,29765
bhs,1990,26835
bhs,1991,26861
bhs,1992,29559
bhs,1993,29863
bhs,1994,28532
bhs,1995,28435
bhs,1997,27970
bhs,1999,26614
bhs,2002,31713
bhs,2004,30857
bhs,2005,32089
bhs,2006,32709
bhs,2007,34217
bhs,2008,34399
bhs,2009,34274
bhs,2010,34406
bhs,2011,32973
bhs,2012,33351
bhs,2013,29939
bhs,2014,31681
bhs,2015,25766
bhs,2016,28384
bhs,2017,30740
bhs,2018,26884
bih,2007,209809
bih,2008,220709
bih,2009,223674
bih,2010,213342
bih,2011,203279
bih,2012,191118
bih,2013,186742
bih,2014,181175
bih,2015,171322
bih,2016,163103
bih,2017,156861
bih,2018,153157
blr,1971,758900
blr,1972,787400
blr,1973,808300
blr,1974,822877
blr,1975,813517
blr,1976,796569
blr,1977,768510
blr,1978,735597
blr,1979,702700
blr,1980,674200
blr,1981,642000
blr,1982,615300
blr,1983,598700
blr,1984,590500
blr,1985,586700
blr,1986,586200
blr,1987,586400
blr,1988,585000
blr,1989,585800
blr,1990,582600
blr,1991,843700
blr,1992,847600
blr,1993,851100
blr,1994,867500
blr,1995,902100
blr,1996,929000
blr,1997,946100
blr,1998,965900
blr,1999,971888
blr,2000,995611
blr,2001,986673
blr,2002,977082
blr,2003,993016
blr,2004,965135
blr,2005,923798
blr,2006,873131
blr,2007,817820
blr,2008,772562
blr,2009,721131
blr,2010,648875
blr,2011,608469
blr,2012,586324
blr,2013,572580
blr,2014,562517
blr,2015,559067
blr,2016,558596
blr,2017,559300
blr,2018,566765
blz,1980,12129
blz,1981,12118
blz,1982,12097
blz,1986,14546
blz,1987,15412
blz,1989,15831
blz,1991,16445
blz,1992,17691
blz,1993,18634
blz,1994,19593
blz,1995,20101
blz,1996,20855
blz,1997,21159
blz,1999,21659
blz,2000,23235
blz,2001,23431
blz,2003,26810
blz,2004,27904
blz,2005,27925
blz,2006,28460
blz,2007,29182
blz,2008,29807
blz,2009,30405
blz,2010,31458
blz,2011,32103
blz,2012,33671
blz,2013,35574
blz,2014,35877
blz,2015,36045
blz,2016,37305
blz,2017,36524
blz,2018,37052
bmu,1971,3844
bmu,1972,4111
bmu,1973,4439
bmu,1974,4539
bmu,1975,4700
bmu,1976,4824
bmu,1977,5393
bmu,1978,5269
bmu,1979,5077
bmu,1980,5097
bmu,1981,4347
bmu,1982,4213
bmu,1983,4178
bmu,1984,4227
bmu,1985,4741
bmu,1995,3553
bmu,1997,3726
bmu,2001,4566
bmu,2002,4565
bmu,2003,4660
bmu,2004,4803
bmu,2005,4756
bmu,2006,4518
bmu,2010,4418
bmu,2011,4320
bmu,2012,4224
bmu,2013,4175
bmu,2014,4093
bmu,2015,4040
bol,1970,145095
bol,1971,158035
bol,1972,181022
bol,1973,190652
bol,1974,210840
bol,1975,228486
bol,1980,292027
bol,1981,299334
bol,1983,337786
bol,1984,357557
bol,1986,370057
bol,1987,388086
bol,1989,376188
bol,1990,400346
bol,1998,704160
bol,1999,780975
bol,2000,338922
bol,2001,359460
bol,2002,380332
bol,2003,394929
bol,2004,408207
bol,2005,413411
bol,2006,412534
bol,2007,414841
bol,2008,422199
bol,2009,420811
bol,2010,435119
bol,2011,431731
bol,2012,445729
bol,2013,462713
bol,2014,465150
bol,2015,452589
bol,2016,443481
bol,2017,437060
bol,2018,445168
bra,1970,3055652
bra,1971,3992048
bra,1972,4943407
bra,1973,5270588
bra,1974,6958947
bra,1975,7560303
bra,1976,7969005
bra,1977,8411793
bra,1978,8719997
bra,1979,8963691
bra,1980,9327705
bra,1981,9309172
bra,1982,9743817
bra,1984,10252043
bra,1985,8436886
bra,1987,11345799
bra,1988,11338355
bra,1990,12130155
bra,1991,13971090
bra,1992,14960211
bra,1993,15322543
bra,1994,15799825
bra,1999,23462345
bra,2000,25094296
bra,2001,25126886
bra,2002,26317983
bra,2003,24140227
bra,2004,24437536
bra,2005,24109589
bra,2007,22426612
bra,2008,22516085
bra,2009,22384267
bra,2010,22215054
bra,2011,21982889
bra,2012,21637503
bra,2013,24006493
bra,2014,23326279
bra,2015,22607924
bra,2016,22559870
bra,2017,22161547
brb,1971,26787
brb,1972,27531
brb,1973,27977
brb,1974,27585
brb,1975,29724
brb,1976,29025
brb,1977,28677
brb,1978,30021
brb,1979,29446
brb,1980,29816
brb,1981,28818
brb,1982,27787
brb,1983,27640
brb,1984,27715
brb,1985,28695
brb,1989,25422
brb,1990,24004
brb,1999,21841
brb,2000,21016
brb,2001,20752
brb,2002,20762
brb,2003,20838
brb,2004,21222
brb,2005,21345
brb,2006,20855
brb,2007,20651
brb,2008,20337
brb,2009,19928
brb,2010,19497
brb,2011,19696
brb,2014,20603
brb,2015,20554
brb,2016,20370
brb,2017,20249
brb,2018,19571
brn,1970,10421
brn,1971,11362
brn,1972,12127
brn,1973,12479
brn,1974,12906
brn,1975,13687
brn,1976,15077
brn,1977,15204
brn,1978,15571
brn,1979,15996
brn,1980,16532
brn,1981,16805
brn,1982,17698
brn,1983,18854
brn,1984,18565
brn,1985,18889
brn,1986,18717
brn,1989,18687
brn,1991,24142
brn,1992,25115
brn,1993,26199
brn,1994,26700
brn,1995,29265
brn,1996,28274
brn,1998,30956
brn,1999,32578
brn,2000,33347
brn,2001,34837
brn,2002,36631
brn,2003,37743
brn,2004,39553
brn,2005,40890
brn,2006,42598
brn,2007,42943
brn,2008,43345
brn,2009,44430
brn,2010,44806
brn,2011,45626
brn,2012,46432
brn,2013,44877
brn,2014,43387
brn,2015,41735
brn,2016,40731
brn,2017,39992
brn,2018,38822
btn,1970,393
btn,1971,537
btn,1972,735
btn,1973,806
btn,1974,1054
btn,1976,817
btn,1977,1169
btn,1978,1610
btn,1979,1488
btn,1980,1800
btn,1981,2224
btn,1982,2660
btn,1983,3109
btn,1984,3608
btn,1985,3780
btn,1992,4747
btn,1993,5740
btn,1994,7757
btn,1995,10008
btn,1996,12243
btn,1997,15672
btn,1998,18334
btn,1999,21507
btn,2000,25241
btn,2001,28671
btn,2002,31888
btn,2003,34687
btn,2004,38139
btn,2005,41514
btn,2006,44299
btn,2007,47727
btn,2014,72822
btn,2015,72111
btn,2016,72906
btn,2017,73908
btn,2018,74638
bwa,1970,3905
bwa,1971,4740
bwa,1972,5564
bwa,1973,8763
bwa,1974,10308
bwa,1975,12098
bwa,1976,13991
bwa,1977,15496
bwa,1978,16086
bwa,1979,16736
bwa,1980,18325
bwa,1981,20148
bwa,1982,20965
bwa,1983,22252
bwa,1984,27364
bwa,1985,32172
bwa,1986,35966
bwa,1987,39375
bwa,1988,40357
bwa,1989,49348
bwa,1990,56892
bwa,1991,73909
bwa,1992,75873
bwa,1993,85687
bwa,1994,86684
bwa,1995,103159
bwa,1996,109843
bwa,1998,143503
bwa,1999,148195
bwa,2000,152105
bwa,2001,151847
bwa,2002,155207
bwa,2003,156786
bwa,2004,158839
bwa,2005,160000
bwa,2006,164201
bwa,2007,168220
bwa,2008,168220
bwa,2009,171986
bwa,2012,172669
bwa,2013,174853
bwa,2014,187030
bwa,2015,169489
caf,1971,9691
caf,1972,12546
caf,1973,14709
caf,1974,16232
caf,1975,17907
caf,1976,20635
caf,1977,22426
caf,1978,27499
caf,1979,29214
caf,1980,35087
caf,1981,41811
caf,1982,49028
caf,1983,52155
caf,1984,53237
caf,1985,55787
caf,1986,56941
caf,1987,48558
caf,1988,44250
caf,1989,43351
caf,1990,45633
caf,1991,49068
caf,1992,42263
caf,2001,63384
caf,2002,64940
caf,2003,66492
caf,2005,75489
caf,2006,79319
caf,2008,79832
caf,2009,89074
caf,2011,120617
caf,2012,122057
caf,2016,114025
caf,2017,132695
can,1971,2527143
can,1972,2582284
can,1973,2595716
can,1974,2579041
can,1975,2596732
can,1976,2589862
can,1977,2587871
can,1978,2544408
can,1979,2474183
can,1980,2388308
can,1981,2323228
can,1982,2340255
can,1983,2321381
can,1984,2323105
can,1985,2287746
can,1986,2250941
can,1987,2238224
can,1988,2242938
can,1989,2249305
can,1990,2254654
can,1991,2292497
can,1992,2337513
can,1993,2402531
can,1994,2455427
can,1995,2469552
can,1996,2505389
can,2012,2618344
can,2013,2578028
can,2014,2537635
can,2015,2518351
can,2016,2515904
can,2017,2524610
che,1977,410073
che,1978,416793
che,1979,424394
che,1980,427870
che,1981,427193
che,1982,422493
che,1983,416028
che,1984,408704
che,1985,396230
che,1986,382442
che,1987,368498
che,1988,354775
che,1989,343662
che,1990,338307
che,1991,337958
che,1992,343735
che,1993,369615
che,1994,380440
che,1995,380175
che,1996,378328
che,1998,366860
che,1999,368559
che,2000,369895
che,2001,373462
che,2002,375424
che,2003,380224
che,2004,387723
che,2005,395219
che,2006,402223
che,2007,401896
che,2008,402131
che,2009,397977
che,2010,396160
che,2011,397849
che,2012,396115
che,2013,386508
che,2015,383955
che,2016,381380
che,2017,382503
chl,1970,490572
chl,1971,561857
chl,1972,617574
chl,1973,660472
chl,1974,686725
chl,1975,685303
chl,1976,705424
chl,1977,734794
chl,1978,747112
chl,1979,789154
chl,1980,800564
chl,1981,817645
chl,1982,835241
chl,1983,926393
chl,1984,977533
chl,1985,1005023
chl,1986,1026186
chl,1988,1062874
chl,1989,961740
chl,1990,862115
chl,1991,1124297
chl,1992,1126409
chl,1993,849299
chl,1998,887509
chl,1999,934663
chl,2000,1013325
chl,2002,1101380
chl,2003,1170288
chl,2004,1210611
chl,2005,1232426
chl,2006,1238448
chl,2007,1222710
chl,2008,1209721
chl,2009,1169909
chl,2010,1162153
chl,2011,1138936
chl,2012,1118958
chl,2013,1236076
chl,2014,1234177
chl,2015,1234791
chl,2016,1229882
chl,2017,1227967
chn,1970,20214900
chn,1971,26418500
chn,1972,31276100
chn,1973,35824400
chn,1974,34464300
chn,1975,36503600
chn,1976,44661100
chn,1977,58365800
chn,1978,67799000
chn,1979,65482500
chn,1980,59049600
chn,1981,55080800
chn,1982,48596000
chn,1983,45285000
chn,1984,43977300
chn,1985,45541500
chn,1986,47059600
chn,1987,48899300
chn,1988,49481100
chn,1989,47615200
chn,1990,45541200
chn,1991,45859600
chn,1992,46835000
chn,1993,47708000
chn,1994,47391100
chn,1995,49816643
chn,1996,53709790
chn,1997,57396761
chn,1999,64683886
chn,2000,69160881
chn,2003,84326729
chn,2006,85888817
chn,2007,84602299
chn,2008,82541838
chn,2009,80614978
chn,2010,78798728
chn,2011,77152865
chn,2012,75307817
chn,2013,73184068
chn,2014,69457941
chn,2015,68571877
chn,2016,67386565
chn,2017,67415104
chn,2018,68394471
civ,1971,62969
civ,1972,73308
civ,1973,83456
civ,1974,86563
civ,1975,95477
civ,1976,102387
civ,1977,112141
civ,1978,125749
civ,1979,144605
civ,1980,172280
civ,1981,198190
civ,1982,213849
civ,1983,217824
civ,1984,229872
civ,1985,245043
civ,1986,260330
civ,1987,257839
civ,1988,272911
civ,1989,303387
civ,1990,333709
civ,1991,361032
civ,1992,396606
civ,1993,414504
civ,1994,445505
civ,1995,463810
civ,1996,489740
civ,1997,527037
civ,1998,539297
civ,1999,565850
civ,2000,599080
civ,2001,639460
civ,2002,703743
civ,2006,762727
civ,2007,808250
civ,2008,851267
civ,2009,929606
civ,2011,999932
civ,2012,1132464
civ,2013,1215672
civ,2014,1321556
civ,2015,1478964
civ,2016,1621874
civ,2017,1791183
civ,2018,1923876
cmr,1971,56031
cmr,1972,65360
cmr,1973,72540
cmr,1974,82205
cmr,1975,93934
cmr,1976,106266
cmr,1977,121054
cmr,1978,135518
cmr,1979,147073
cmr,1980,153618
cmr,1981,169298
cmr,1982,180248
cmr,1983,200412
cmr,1984,218057
cmr,1985,238075
cmr,1986,256453
cmr,1987,291842
cmr,1988,317766
cmr,1989,345977
cmr,1990,366528
cmr,1991,409729
cmr,1992,443244
cmr,1994,458141
cmr,1995,459650
cmr,1997,441549
cmr,1998,475526
cmr,1999,520659
cmr,2000,554830
cmr,2001,684643
cmr,2003,669129
cmr,2004,611681
cmr,2005,640113
cmr,2006,580402
cmr,2007,792476
cmr,2008,912471
cmr,2009,1009787
cmr,2011,1252592
cmr,2012,1353939
cmr,2013,1429310
cmr,2014,1555943
cmr,2015,1648060
cmr,2016,1729686
cod,1971,185370
cod,1972,212463
cod,1973,229473
cod,1974,225606
cod,1975,300916
cod,1976,360888
cod,1977,429679
cod,1978,512003
cod,1979,611349
cod,1988,507944
cod,1992,522690
cod,1993,585005
cod,1994,640298
cod,2002,1181413
cod,2007,2253279
cod,2008,2528527
cod,2009,2781558
cod,2010,2797329
cod,2012,3161341
cod,2013,3250288
cod,2014,3566871
cod,2015,3747934
cog,1971,30371
cog,1972,37430
cog,1973,49994
cog,1974,66710
cog,1975,81541
cog,1976,94276
cog,1977,114341
cog,1978,127210
cog,1979,138525
cog,1980,148857
cog,1981,168718
cog,1982,185555
cog,1983,189831
cog,1984,182624
cog,1985,182294
cog,1986,197491
cog,1987,201228
cog,1988,198982
cog,1989,179845
cog,1990,165998
cog,1991,170409
cog,1992,178753
cog,1993,176303
cog,1994,192229
cog,1996,189381
cog,1999,114450
cog,2001,176857
cog,2002,164503
cog,2003,164237
cog,2004,191857
cog,2005,216621
cog,2006,241386
cog,2007,255101
cog,2008,263449
cog,2009,266852
cog,2010,283745
cog,2011,285384
cog,2012,304914
col,1970,538479
col,1971,609363
col,1972,675006
col,1973,908394
col,1974,1003314
col,1975,1031237
col,1976,1107466
col,1977,1187148
col,1978,1229646
col,1979,1277547
col,1980,1313004
col,1981,1338231
col,1982,1374692
col,1983,1424419
col,1984,1432234
col,1985,1468709
col,1986,1617388
col,1987,1658049
col,1988,1695813
col,1989,1729108
col,1991,1781599
col,1992,2011662
col,1993,2118205
col,1996,2337464
col,2001,3377954
col,2002,3437426
col,2004,3732877
col,2005,4014334
col,2006,4255563
col,2007,4407832
col,2008,4462998
col,2009,4617935
col,2010,4694106
col,2011,4842414
col,2012,4584924
col,2013,4561290
col,2014,4480210
col,2015,4439132
col,2016,4428041
col,2017,4425932
col,2018,4458296
com,1971,1249
com,1972,1429
com,1973,2600
com,1974,3175
com,1981,13528
com,1986,20541
com,1987,20834
com,1988,19241
com,1989,17295
com,1990,14472
com,1992,15647
com,1993,15068
com,1994,17474
