geo,time,dt_nfl_faog_cd
syr,2018,6346950.05417
syr,2019,243901.71468
tcd,2013,203915.78972
tcd,2018,374430.00078
tcd,2019,272902.07148
tgo,2013,369190.81211
tgo,2018,708589.97107
tgo,2019,413138.03196
tha,2013,246872.6635
tha,2018,237749.9938
tha,2019,127298.3104
tjk,2013,488893.00227
tjk,2018,26419.60047
tjk,2019,426508.63528
tls,2013,172078.80318
tls,2018,525910.01987
tls,2019,257148.80228
ton,2013,298472.88132
ton,2018,127770.00666
ton,2019,209341.01939
tun,2013,385035.84266
tun,2018,354054.98743
tun,2019,548440.81402
tur,2013,531978.01113
tur,2018,657660.00748
tur,2019,495729.74443
tuv,2013,113931.46962
tuv,2018,35470.0014
tuv,2019,137342.63182
tza,2013,421111.22608
tza,2018,632528.72229
tza,2019,880298.67411
uga,2013,183922.2312
uga,2018,510689.97383
uga,2019,433851.80831
ukr,2013,20630.37828
ukr,2018,98250.00167
ukr,2019,218339.3836
ury,2013,193401.27707
uzb,2013,282089.56122
uzb,2018,476669.99698
uzb,2019,376063.04884
vct,2013,120125.72587
vct,2018,160840.00468
vct,2019,155865.0583
ven,2013,58703.16178
ven,2019,39454.57935
vnm,2013,85577.99459
vnm,2018,636119.12727
vnm,2019,224054.88789
vut,2013,300588.63759
vut,2019,38430.37039
wsm,2013,55808.0487
wsm,2018,119769.99789
wsm,2019,410290.47966
yem,2013,703772.12763
yem,2018,-10731.80046
yem,2019,445756.10757
zaf,2013,56709.33425
zaf,2018,251219.98787
zaf,2019,498934.59678
zmb,2013,126267.19475
zmb,2018,771370.1725
zmb,2019,928103.9834
zwe,2013,500531.3158
zwe,2018,338241.39833
zwe,2019,570594.54918
