geo,time,sh_uhc_nop1_zg
rus,2011,0.01574
rus,2012,0.00489
rus,2013,0.00519
rus,2014,0.00076
rwa,2005,0.50607
rwa,2013,0.4622
rwa,2016,0.41197
sen,2001,0.69029
sen,2005,0.52136
sen,2011,0.65115
sle,2003,1.82533
sle,2011,8.18687
slv,2014,0.00658
srb,2003,0.01741
srb,2004,0.00684
srb,2005,0.02382
srb,2006,0.00698
srb,2007,0.01411
srb,2008,0.01336
srb,2009,0.00691
srb,2010,0.00439
srb,2013,0.0073
srb,2015,0.00214
ssd,2009,0.8936
stp,2000,0.34356
sur,2016,0.00092
svk,2004,0.00258
svk,2005,0
svk,2006,0
svk,2007,0
svk,2008,0
svk,2009,0
svk,2010,0
svn,1999,0
svn,2007,0
svn,2012,0
swe,1996,0
swz,2009,1.17773
syr,2003,0.02779
syr,2007,0.01288
tcd,2003,1.06983
tgo,2006,1.43118
tha,1994,0.08827
tha,1996,0.04831
tha,1998,0.02588
tha,2002,0.00839
tha,2006,0.00359
tha,2009,0.00043
tha,2017,0.00008
tjk,1999,1.29778
tjk,2003,1.29957
tjk,2007,0.27913
tjk,2009,0.7258
tls,2001,0.42119
tls,2007,0.11503
tls,2011,0.00037
tto,2005,0.52355
tun,1995,0.35401
tun,2010,0.07
tun,2015,0.01142
tur,2002,0.02916
tur,2003,0.02633
tur,2004,0.02558
tur,2005,0.02657
tur,2006,0.01565
tur,2007,0.0167
tur,2008,0.00476
tur,2009,0.00811
tur,2010,0.01262
tur,2011,0.00304
tur,2012,0.00125
tur,2013,0.00624
tur,2014,0.00436
tur,2015,0.00722
tur,2016,0.00179
tza,2000,0.42002
tza,2007,0.70174
tza,2011,0.49917
uga,1996,2.0763
uga,1999,1.75812
uga,2002,1.78169
uga,2009,1.93281
uga,2012,1.27578
uga,2016,1.50667
ukr,2002,0.0607
ukr,2003,0.02503
ukr,2004,0.01838
ukr,2005,0.00531
ukr,2006,0.00074
ukr,2007,0
ukr,2008,0
ukr,2009,0.00147
ukr,2010,0
ukr,2011,0.00014
ukr,2012,0
ukr,2013,0
ukr,2014,0
ury,1995,0.00718
ury,2005,0.00591
usa,1995,0.01278
usa,1996,0.01145
usa,1997,0.00787
usa,1998,0.00958
usa,2000,0.00085
usa,2001,0.00023
usa,2002,0
usa,2003,0
usa,2004,0
usa,2005,0.00037
usa,2006,0
usa,2007,0.00055
usa,2008,0.00056
usa,2009,0.00061
usa,2010,0.00004
usa,2011,0.00001
usa,2012,0.08525
usa,2013,0
uzb,2000,1.23289
uzb,2002,0.89993
uzb,2003,0.93671
vnm,1992,3.00653
vnm,1997,1.83659
vnm,1998,1.97135
vnm,2002,1.56178
vnm,2004,1.11325
vnm,2006,0.87504
vnm,2008,0.43865
vnm,2010,0.13969
vnm,2012,0.07066
vnm,2014,0.07636
vnm,2016,0.05388
yem,2005,1.6356
yem,2014,1.50273
zaf,1995,0.10919
zaf,2000,0.13158
zaf,2005,0.25323
zaf,2010,0.1728
zmb,2004,0.38935
zmb,2006,0.3496
zmb,2010,0.0848
zwe,2007,0.12466
