geo,time,dt_nfl_unpb_cd
lbr,2013,4762962.34131
lbr,2014,7773362.63657
lbr,2015,4055727.005
lbr,2016,3558549.88098
lbr,2017,2680480.95703
lbr,2018,6633724.21265
lbr,2019,7446380.61523
lby,2012,864199.99599
lby,2013,783303.73764
lby,2014,362847.00036
lby,2015,181274.59288
lby,2016,-47125.00051
lby,2017,868463.99307
lby,2018,1962656.25954
lby,2019,2053509.95064
lka,2010,1779999.97139
lka,2011,1210000.03815
lka,2012,-4727.64019
lka,2015,816483.91485
lka,2016,1982074.02229
lka,2017,1900261.99818
lka,2018,4332084.17892
lka,2019,4606061.45859
lso,2018,602428.7343
lso,2019,600000.02384
mdg,2015,233387.30633
mdg,2016,213872.00058
mdg,2017,3308691.02478
mdg,2018,5257548.33221
mdg,2019,3359360.9333
mli,2014,1291280.15041
mli,2015,4130870.34225
mli,2016,3604171.99135
mli,2017,3533951.99776
mli,2018,6653876.30463
mli,2019,5260707.85522
mmr,2012,15769.99947
mmr,2013,1699621.43898
mmr,2014,1022459.38778
mmr,2015,1991818.07041
mmr,2016,1682672.97745
mmr,2017,1278751.96934
mmr,2018,2741481.78101
mmr,2019,1554720.40176
mne,2019,662434.69715
mrt,2018,28685.62937
mrt,2019,1051550.98438
ner,2013,739315.98663
ner,2014,1791885.01835
ner,2015,548842.48972
ner,2016,2716239.9292
ner,2017,6526570.79697
ner,2018,1748473.40584
ner,2019,3236432.31392
nga,2018,21003.8498
npl,2009,899999.97616
npl,2010,4530000.20981
npl,2011,3650000.09537
npl,2012,265012.8901
npl,2013,1701822.16167
npl,2014,4059439.18228
npl,2015,2762320.51849
npl,2016,1794201.9701
npl,2017,-21302.99993
npl,2018,-10049.31983
phl,2014,26040.00084
phl,2015,759055.9721
phl,2016,1102344.98978
phl,2017,964175.99916
phl,2018,1439650.29716
png,2013,85873.52186
png,2014,185077.1457
png,2015,1550956.13003
png,2016,3412971.97342
png,2017,3512891.05415
png,2018,1678092.95654
png,2019,1399999.97616
rwa,2019,1049999.35627
sdn,2010,1620000.00477
sdn,2011,9369999.88556
sdn,2012,487838.5663
sdn,2013,-3244842.5293
sdn,2014,399360.92496
sdn,2015,2241.69996
sdn,2018,24.86
sdn,2019,899999.97616
slb,2017,1911733.98495
slb,2018,2011614.32266
slb,2019,2404654.26445
sle,2007,5730000.01907
sle,2008,11399999.61853
sle,2009,12069999.69482
sle,2010,4880000.11444
sle,2011,3710000.03815
sle,2012,4486928.93982
sle,2013,715605.55696
sle,2014,2483073.94981
sle,2015,2216660.49957
sle,2016,329436.00416
sle,2017,1343873.97766
sle,2018,1617120.7428
sle,2019,2799999.95232
slv,2018,2105458.97484
slv,2019,2232550.38261
som,2010,509999.99046
som,2011,2049999.95232
som,2012,1060499.31049
som,2015,1656100.39234
som,2016,2586666.10718
som,2017,7387805.93872
som,2018,8931555.74799
som,2019,14843126.297
srb,2019,913054.58546
ssd,2011,129999.99523
ssd,2012,1276649.95193
ssd,2013,3382951.73645
ssd,2014,1934337.61597
ssd,2015,4168288.2309
ssd,2016,90815.00024
ssd,2017,-308609.00879
ssd,2018,1767304.53968
ssd,2019,8339462.28027
tcd,2011,2549999.95232
tcd,2012,-320373.50535
tcd,2013,1481925.2491
tcd,2014,845513.93986
tcd,2015,58040.60027
tcd,2016,16862.99965
tcd,2017,-1171.99996
tcd,2018,780272.42422
tcd,2019,5644381.0463
tjk,2015,13084.09963
tjk,2016,860478.99723
tjk,2017,685725.98696
tjk,2018,326867.19298
tls,2009,209999.99344
tls,2010,779999.97139
tls,2011,9999.99978
tza,2018,790421.96274
uga,2010,610000.01431
uga,2011,6829999.92371
uga,2012,6462810.03952
uga,2013,403258.7707
uga,2014,322077.84057
uga,2015,662502.82526
uga,2016,20246.99934
uga,2017,-32843.99956
uga,2018,-441.00001
uga,2019,995100.02136
yem,2012,2184799.90959
yem,2013,914481.28223
yem,2014,3887765.40756
yem,2015,5387361.52649
yem,2016,-4344695.09125
yem,2017,501013.99422
yem,2018,1185539.24561
yem,2019,5182626.72424
zwe,2019,944876.01519
