geo,time,ic_cus_durs_ex
hun,2002,2.3
hun,2005,4.4
hun,2009,4.3
hun,2013,3.5
hun,2019,1.9
idn,2009,2.2
idn,2015,8.3
ind,2006,15.1
ind,2014,5.8
irl,2005,2.6
irl,2020,3.3
irq,2011,11.8
isr,2013,4.6
ita,2019,5.5
jam,2010,13.1
jor,2006,3.8
jor,2013,4.6
jor,2019,4.7
kaz,2002,6.8
kaz,2005,7
kaz,2009,8.5
kaz,2013,7.3
kaz,2019,9
ken,2007,5.6
ken,2013,10.3
ken,2018,9.7
kgz,2002,8.1
kgz,2003,3.4
kgz,2005,4.2
kgz,2009,15.8
kgz,2013,7.3
kgz,2019,1.8
khm,2007,1.5
khm,2013,2
khm,2016,4.9
kna,2010,6.7
kor,2005,7.2
kos,2009,1.7
kos,2013,1.3
kos,2019,2.8
lao,2009,7.4
lao,2012,5.6
lao,2016,2
lao,2018,7.2
lbn,2009,7.6
lbn,2013,4.9
lbn,2019,12.3
lbr,2017,10
lca,2010,4.9
lka,2011,7.6
lso,2009,5.4
lso,2016,4
ltu,2002,2.3
ltu,2004,3.3
ltu,2005,1.8
ltu,2009,2.4
ltu,2013,1.6
ltu,2019,4
lux,2020,3.8
lva,2002,4.6
lva,2005,1.9
lva,2009,1.9
lva,2013,4.8
lva,2019,2.1
mar,2007,1.8
mar,2013,3.5
mar,2019,6.7
mda,2002,3
mda,2003,2.1
mda,2005,2.6
mda,2009,2.4
mda,2013,11.4
mda,2019,2.3
mdg,2009,14.2
mdg,2013,8.6
mex,2006,5.2
mex,2010,7
mkd,2002,3.1
mkd,2005,2.5
mkd,2009,2.5
mkd,2013,3.6
mkd,2019,4.4
mli,2007,4.8
mli,2010,12.9
mli,2016,16.5
mlt,2019,3.5
mmr,2014,4.4
mmr,2016,10.2
mne,2009,1.1
mne,2013,2.4
mne,2019,1.3
mng,2009,18.6
mng,2013,7.9
mng,2019,4.6
moz,2007,10.1
moz,2018,39.3
mrt,2006,3.9
mrt,2014,26
mus,2009,10.3
mwi,2009,9.9
mwi,2014,11.4
mys,2007,2.7
mys,2015,6.3
nam,2006,1.4
nam,2014,8.2
ner,2006,4
ner,2009,2.6
nga,2007,7.5
nga,2014,6
nic,2006,5
nic,2010,4.7
nic,2016,5.2
nld,2020,3.3
npl,2009,5.6
npl,2013,8.5
pak,2007,2.6
pak,2013,11.4
pan,2006,5.7
pan,2010,7.6
per,2006,5.4
per,2010,16.1
per,2017,8.4
phl,2009,10
phl,2015,14.5
pol,2002,2.4
pol,2003,2.1
pol,2005,3
pol,2009,6
pol,2013,4.6
pol,2019,3.1
prt,2005,7.2
prt,2019,13.7
pry,2006,5.5
pry,2010,21.7
pry,2017,8.6
pse,2006,6
pse,2013,2.3
pse,2019,5.3
rou,2002,2.1
rou,2005,2.1
rou,2009,2
rou,2013,1.2
rou,2019,3.2
rus,2002,10
rus,2005,7.6
rus,2009,4.6
rus,2012,5.6
rus,2019,15.6
rwa,2006,6.7
rwa,2011,10.2
rwa,2019,8
sen,2007,7.4
sen,2014,7.1
slb,2015,6.3
slv,2006,2.5
slv,2010,3.7
slv,2016,2.9
srb,2002,1.9
srb,2005,3.2
srb,2009,1.6
srb,2013,3.6
srb,2019,1.6
sur,2010,12.6
sur,2018,17.7
svk,2002,2.2
svk,2005,5.8
svk,2009,2.4
svk,2013,1.7
svk,2019,2.5
svn,2002,2.4
svn,2005,2.5
svn,2009,2.2
svn,2013,4.5
svn,2019,4.7
swe,2014,2.4
swe,2020,2.9
swz,2006,2.1
swz,2016,4.1
syr,2009,5.1
tcd,2009,11.9
tgo,2009,6.7
tgo,2016,8.2
tha,2006,1.3
tha,2016,1.9
tjk,2002,9.8
tjk,2005,5.3
tjk,2008,20.4
tjk,2013,6.8
tjk,2019,2.1
tls,2015,6.3
ton,2009,2.3
tto,2010,7.3
tun,2013,3
tun,2020,6.7
tur,2002,2.9
tur,2004,4.7
tur,2005,6
tur,2008,5.2
tur,2013,6.2
tur,2019,2.6
tza,2006,5.7
tza,2013,12.4
uga,2006,3.2
uga,2013,10
ukr,2002,3.7
ukr,2005,4.3
ukr,2008,3.4
ukr,2013,4.7
ukr,2019,3.9
ury,2006,2.5
ury,2010,6.2
ury,2017,2.1
uzb,2002,4
uzb,2005,5.5
uzb,2008,5.1
uzb,2013,4.4
uzb,2019,3.7
vct,2010,4.2
ven,2006,14.1
ven,2010,18.4
vnm,2009,4.1
vnm,2015,6.9
wsm,2009,10.4
yem,2010,6.2
yem,2013,11.2
zaf,2007,4.5
zaf,2020,8.2
zmb,2007,2.3
zmb,2013,11.1
zmb,2019,10.8
zwe,2011,4.9
zwe,2016,5.9
