geo,time,ic_frm_cmpu_zs
kos,2013,60.8
kos,2019,18.7
lao,2009,12.8
lao,2012,42.3
lao,2016,77.2
lao,2018,39.9
lbn,2013,57.1
lbn,2019,56.3
lbr,2009,66.2
lbr,2017,68.7
lca,2010,18.2
lka,2011,47.4
lso,2009,59.6
lso,2016,68.1
ltu,2009,50.1
ltu,2013,55.8
ltu,2019,47.3
lux,2020,14
lva,2009,41.7
lva,2013,27.1
lva,2019,37.4
mar,2007,47.7
mar,2013,47.3
mar,2019,47.2
mda,2009,46.5
mda,2013,30.9
mda,2019,41
mdg,2009,62.3
mdg,2013,71.7
mex,2006,69.7
mex,2010,70.3
mkd,2009,73.9
mkd,2013,58.7
mkd,2019,54.5
mli,2007,72.8
mli,2010,75.4
mli,2016,79.5
mlt,2019,26.8
mmr,2014,31.2
mmr,2016,31.5
mne,2009,27.3
mne,2013,54.7
mne,2019,57.5
mng,2009,43
mng,2013,40.9
mng,2019,22.3
moz,2007,75.4
moz,2018,58
mrt,2006,65.2
mrt,2014,78.5
mus,2009,51
mwi,2009,77.8
mwi,2014,71.7
mys,2015,39.8
nam,2006,33.1
nam,2014,41.7
ner,2009,86
ner,2017,85.1
nga,2007,60.1
nga,2014,46.2
nic,2006,73.4
nic,2010,62.6
nic,2016,72.9
nld,2020,18
npl,2009,49.4
npl,2013,55.7
pak,2007,12.5
pak,2013,46.5
pan,2006,40.1
pan,2010,51.4
per,2006,64.1
per,2010,68.6
per,2017,75.9
phl,2009,37.5
phl,2015,30.9
png,2015,72.3
pol,2009,32.7
pol,2013,28.6
pol,2019,27.4
prt,2019,47
pry,2006,76.7
pry,2010,75.3
pry,2017,72.3
pse,2013,49.6
pse,2019,63.9
rou,2009,35.1
rou,2013,31.5
rou,2019,18.8
rus,2009,32.2
rus,2012,30.2
rus,2019,28.2
rwa,2006,47.1
rwa,2011,56.7
rwa,2019,29.6
sdn,2014,90.5
sen,2007,74.1
sen,2014,76.4
slb,2015,59.7
sle,2009,80.3
sle,2017,62.5
slv,2006,73.8
slv,2010,65.2
slv,2016,67.7
srb,2009,53.6
srb,2013,47
srb,2019,49.7
ssd,2014,69.8
sur,2010,85.3
sur,2018,54.6
svk,2009,40.3
svk,2013,42.8
svk,2019,39.5
svn,2009,27.4
svn,2013,26.8
svn,2019,18.2
swe,2014,29.7
swe,2020,18.1
swz,2006,39.7
swz,2016,73.5
syr,2009,52.6
tcd,2009,89.8
tcd,2018,80
tgo,2009,80.5
tgo,2016,68.7
tha,2016,25.1
tjk,2008,35.3
tjk,2013,34.8
tjk,2019,11.8
tls,2009,66.4
tls,2015,56.8
ton,2009,86.8
tto,2010,69.2
tun,2013,45.2
tun,2020,60.9
tur,2008,52.4
tur,2013,40.3
tur,2019,50.2
tza,2006,66.9
tza,2013,72.6
uga,2006,73.1
uga,2013,95.2
ukr,2008,48.5
ukr,2013,51.3
ukr,2019,50.3
ury,2006,87.1
ury,2010,67.7
ury,2017,67.9
uzb,2008,39.2
uzb,2013,21.1
uzb,2019,21.5
vct,2010,65
ven,2010,29.8
vnm,2009,55.6
vnm,2015,49.5
vut,2009,39.9
wsm,2009,63.6
yem,2010,37.2
yem,2013,43
zaf,2007,45.3
zaf,2020,17.1
zmb,2007,73.8
zmb,2013,73.3
zmb,2019,65.4
zwe,2011,71.7
zwe,2016,73.9
