geo,time,nv_ind_totl_cd
srb,2017,11522857972.7521
srb,2018,12912107899.0687
srb,2019,13186667692.7988
srb,2020,13274808967.9179
ssd,2008,8633142542.91589
ssd,2009,7250427915.83687
ssd,2010,8928247299.23207
ssd,2011,9127095784.54333
ssd,2012,6102982881.35593
ssd,2013,4095251016.94915
ssd,2014,6520269728.81356
ssd,2015,3970616419.73253
ssd,2016,1228382387.70686
ssd,2017,1153917467.76084
ssd,2018,1458283547.50352
ssd,2019,2056780879.14972
ssd,2020,1809805084.25045
stp,2001,12720123.04769
stp,2002,12801679.0819
stp,2003,14513351.02058
stp,2004,15322874.48371
stp,2005,17544677.02216
stp,2006,18350384.78222
stp,2007,19583579.57568
stp,2008,29362172.68224
stp,2009,35102939.81553
stp,2010,34199515.45171
stp,2011,38584858.79398
stp,2012,39765217.52709
stp,2013,47299825.22653
stp,2014,58545291.73546
stp,2015,48416498.08036
stp,2016,54220359.59857
stp,2017,60575420.16711
stp,2018,58734916.53513
stp,2019,57455149.89342
stp,2020,62606440.71551
sur,1960,41550000
sur,1961,41250000
sur,1962,41850000
sur,1963,44050000
sur,1964,48500000
sur,1965,57150000
sur,1966,83100000
sur,1967,99850000
sur,1968,111500000
sur,1969,117850000
sur,1970,114500000
sur,1971,130400000
sur,1972,132700000
sur,1973,150050000
sur,1974,196050000
sur,1975,149500000
sur,1976,173000000
sur,1977,233750000
sur,1978,244750000
sur,1979,264650000
sur,1980,261000000
sur,1981,287500000
sur,1982,269500000
sur,1983,242000000
sur,1984,242500000
sur,1985,236000000
sur,1986,231500000
sur,1987,228500000
sur,1988,301500000
sur,1989,136600000
sur,1990,87300000
sur,1991,81000000
sur,1992,67933333.33333
sur,1993,69205882.35294
sur,1994,165320895.52239
sur,1995,202113122.17195
sur,1996,226209476.30923
sur,1997,251675000
sur,1998,235037500
sur,1999,193981395.34884
sur,2000,235880303.0303
sur,2001,206636238.53211
sur,2002,313451489.3617
sur,2003,341470588.23529
sur,2004,460497439.64887
sur,2005,606948054.32515
sur,2006,971316105.98826
sur,2007,1088524590.16393
sur,2008,1415664845.17304
sur,2009,1328961748.63388
sur,2010,1536388140.16173
sur,2011,1552631578.94737
sur,2012,1756060606.06061
sur,2013,1659696969.69697
sur,2014,1585151515.15152
sur,2015,1397254660.93014
sur,2016,887647304.37016
sur,2017,1374707854.21424
sur,2018,1468998324.95812
sur,2019,1329093578.3532
sur,2020,1016138493.23928
svk,1995,7168060130.71895
svk,1996,7985698352.34474
svk,1997,7506607001.24618
svk,1998,8351562814.63251
svk,1999,8641488095.16681
svk,2000,8602240961.67845
svk,2001,9186375336.18426
svk,2002,10321192518.6314
svk,2003,14349137201.6372
svk,2004,18404478895.9896
svk,2005,20052931259.76649
svk,2006,24263461619.6294
svk,2007,29037646210.0828
svk,2008,33347419736.8664
svk,2009,26316206586.4457
svk,2010,27775950273.4501
svk,2011,30307455132.5001
svk,2012,29042158423.2504
svk,2013,28212427917.4158
svk,2014,30842413097.5913
svk,2015,27092239985.573
svk,2016,26306136921.4973
svk,2017,27383968777.3648
svk,2018,30874932571.0847
svk,2019,31203848506.5176
svk,2020,28779495029.0304
svn,1995,6321995551.96118
svn,1996,6466598796.03399
svn,1997,6400844837.93517
svn,1998,6905565493.36411
svn,1999,7044183256.42716
svn,2000,6181817692.63883
svn,2001,6377836130.30602
svn,2002,7039228927.6808
svn,2003,8963510355.20074
svn,2004,10412148729.4469
svn,2005,10786060191.5185
svn,2006,11892448877.1798
svn,2007,14734431506.844
svn,2008,16615720186.4336
svn,2009,13842320086.7945
svn,2010,12778118949.1667
svn,2011,13829030895.1751
svn,2012,12759795183.4629
svn,2013,13308957980.9471
svn,2014,14067631640.6788
svn,2015,12081640088.3074
svn,2016,12519308869.6856
svn,2017,13771373863.04
svn,2018,15327092505.6243
svn,2019,15686795534.0078
svn,2020,15735397305.3713
swe,1980,42250964630.2251
swe,1981,36989921791.6815
swe,1982,32272164868.0483
swe,1983,29920257072.4263
swe,1984,32360198626.6592
swe,1985,33853060240.1237
swe,1986,44064504885.1704
swe,1987,52987091192.9847
swe,1988,59483848250.4243
swe,1989,62042058818.96729
swe,1990,71056058998.4456
swe,1991,69707894005.78751
swe,1992,69571115594.62891
swe,1993,51349538761.9806
swe,1994,57499611197.5117
swe,1995,71960943742.7278
swe,1996,76498657918.28209
swe,1997,70558226040.9436
swe,1998,71481276494.0439
swe,1999,71326370061.9675
swe,2000,69317740280.7186
swe,2001,63057865641.7306
swe,2002,68353000379.9899
swe,2003,84252748475.81709
swe,2004,96545877614.33681
swe,2005,97664155437.5025
swe,2006,106850586864.005
swe,2007,124994377700.183
swe,2008,126751528576.414
swe,2009,97797303300.32141
swe,2010,117769011989.67
swe,2011,135671998287.53
swe,2012,127089297085.284
swe,2013,129506243374.81799
swe,2014,126787386574.56799
swe,2015,111921258344.235
swe,2016,111965420818.17
swe,2017,119718640875.446
swe,2018,122213719806.17101
swe,2019,116939434198.304
swe,2020,114251106749.283
swz,1965,22119557.60885
swz,1966,23099538.00924
swz,1967,25339493.21014
swz,1968,26039479.21042
swz,1969,28979420.41159
swz,1970,29119417.61165
swz,1971,30480984.34004
swz,1972,35514505.00846
swz,1973,64265129.683
swz,1974,75349521.70714
swz,1975,71670047.32928
swz,1976,73597056.11776
swz,1977,87396504.13983
swz,1978,109245630.17479
swz,1979,128296507.48396
swz,1980,140606189.00873
swz,1981,146308113.03555
swz,1982,128660895.19249
swz,1983,125661969.30258
swz,1984,111299396.73287
swz,1985,76860950.32979
swz,1986,113216630.19694
swz,1987,186493123.7721
swz,1988,244073015.17484
swz,1989,260533038.4718
swz,1990,410528350.01739
swz,1991,418806830.11625
swz,1992,464175701.26227
swz,1993,499926951.67855
swz,1994,511073589.05036
swz,1995,641242149.37553
swz,1996,582664782.63903
swz,1997,646329991.31945
swz,1998,594062623.22956
swz,1999,568712267.77969
swz,2000,684709328.7991
swz,2001,608835186.02409
swz,2002,562611173.83096
swz,2003,842260988.53887
swz,2004,1103181249.61298
swz,2005,1264313525.07351
swz,2006,1310779206.97039
swz,2007,1402214324.23993
swz,2008,1304178993.36658
swz,2009,1428936013.78383
swz,2010,1673666434.4643
swz,2011,1772858699.09518
swz,2012,1798193373.93423
swz,2013,1638518637.81836
swz,2014,1575157886.97743
swz,2015,1451907690.85931
swz,2016,1348633164.73595
swz,2017,1491680878.35912
swz,2018,1550860748.78589
swz,2019,1555917882.35294
swz,2020,1248037218.50847
sxm,2011,121061452.51397
sxm,2012,114804469.27374
sxm,2013,115195530.72626
sxm,2014,113519553.07263
sxm,2015,95810055.86592
sxm,2016,90837988.82682
sxm,2017,102569832.40224
syc,1976,7989612.09447
syc,1977,8922750.17947
syc,1978,11808758.5238
syc,1979,19233654.16046
syc,1980,23044610.80313
syc,1981,27363745.41699
syc,1982,23075015.42363
syc,1983,23154299.19911
syc,1984,25004013.86566
syc,1985,31004999.29931
syc,1986,37203780.27948
