geo,time,sl_emp_1524_sp_fe_ne_zs
ecu,2005,35.72
ecu,2006,36.47
ecu,2007,36.13
ecu,2008,34.33
ecu,2009,32
ecu,2010,29.17
ecu,2011,26.42
ecu,2012,27.74
ecu,2013,26.76
ecu,2014,24.73
ecu,2015,28.57
ecu,2016,30.2
ecu,2017,31.23
ecu,2018,30.06
ecu,2019,29.87
ecu,2020,25.36
egy,2008,8.58
egy,2009,8.62
egy,2010,8.68
egy,2011,7.91
egy,2012,7.14
egy,2013,8.58
egy,2014,9.32
egy,2015,12.75
egy,2016,12.46
egy,2017,11.53
egy,2018,5.46
egy,2019,4.54
egy,2020,4.14
esp,1986,19.53
esp,1987,22.36
esp,1988,23.34
esp,1989,24.88
esp,1990,25.84
esp,1991,25.2
esp,1992,23.8
esp,1993,20.43
esp,1994,19.78
esp,1995,19.98
esp,1996,19.26
esp,1997,20.14
esp,1998,21.13
esp,1999,23.79
esp,2000,26.79
esp,2001,27.39
esp,2002,27.84
esp,2003,28.83
esp,2004,29.29
esp,2005,32.98
esp,2006,34.5
esp,2007,33.97
esp,2008,32.57
esp,2009,26.66
esp,2010,24.3
esp,2011,21.96
esp,2012,18.28
esp,2013,16.29
esp,2014,16
esp,2015,17.27
esp,2016,17.24
esp,2017,19.71
esp,2018,20.53
esp,2019,20.13
esp,2020,16.57
est,1990,43.44
est,1991,41.2
est,1992,36.77
est,1993,36.19
est,1994,38.96
est,1995,33.17
est,1996,32.37
est,1997,31.49
est,1998,30.97
est,1999,24.27
est,2000,25.29
est,2001,22.7
est,2002,19.66
est,2003,20.46
est,2004,24.71
est,2005,26.78
est,2006,25.79
est,2007,29.8
est,2008,32.88
est,2009,26.65
est,2010,24.15
est,2011,28.98
est,2012,30.35
est,2013,30.66
est,2014,33.27
est,2015,33.1
est,2016,36.1
est,2017,38.18
est,2018,39.91
est,2019,37.97
est,2020,33.59
eth,1999,49.21
eth,2005,67.67
eth,2013,67.67
fin,1990,52.2
fin,1991,46.03
fin,1992,37.06
fin,1993,30.97
fin,1994,28.48
fin,1995,28.35
fin,1996,26.82
fin,1997,28.26
fin,1998,30.67
fin,1999,42.85
fin,2000,43.75
fin,2001,44.48
fin,2002,44.12
fin,2003,43.91
fin,2004,43.17
fin,2005,40.58
fin,2006,41.62
fin,2007,44.7
fin,2008,45.06
fin,2009,41.46
fin,2010,39.95
fin,2011,41.23
fin,2012,42.66
fin,2013,43.88
fin,2014,42.95
fin,2015,42.81
fin,2016,43.26
fin,2017,43.69
fin,2018,45.52
fin,2019,45.12
fin,2020,41.39
fji,2005,19.42
fji,2011,21.5
fji,2014,21.08
fji,2016,20.93
fra,1983,37.32
fra,1984,34.56
fra,1985,34.06
fra,1986,35.22
fra,1987,33.85
fra,1988,32.62
fra,1989,32.88
fra,1990,32
fra,1991,29.27
fra,1992,27.88
fra,1993,26.18
fra,1994,23.96
fra,1995,23.44
fra,1996,22.77
fra,1997,21.7
fra,1998,22.68
fra,1999,23.13
fra,2000,25.08
fra,2001,25.65
fra,2002,25.9
fra,2003,27.49
fra,2004,26.7
fra,2005,26.92
fra,2006,26.45
fra,2007,28.11
fra,2008,28.46
fra,2009,28.33
fra,2010,27.07
fra,2011,26.71
fra,2012,26.12
fra,2013,25.66
fra,2014,25.48
fra,2015,25.98
fra,2016,26
fra,2017,26.41
fra,2018,27.18
fra,2019,27.79
fra,2020,26.46
fsm,2014,25.05
gab,2010,9.26
gbm,2016,50.23
gbr,1983,48.29
gbr,1984,49.93
gbr,1985,53.15
gbr,1986,53.21
gbr,1987,55.68
gbr,1988,57.62
gbr,1989,61.4
gbr,1990,60.52
gbr,1991,57.93
gbr,1992,55.61
gbr,1993,53.15
gbr,1994,52.35
gbr,1995,51.77
gbr,1996,53.37
gbr,1997,53.42
gbr,1998,53.38
gbr,1999,53.03
gbr,2000,53.57
gbr,2001,53.08
gbr,2002,54
gbr,2003,52.74
gbr,2004,53.36
gbr,2005,52.71
gbr,2006,52.53
gbr,2007,51.25
gbr,2008,50.74
gbr,2009,47.91
gbr,2010,46.08
gbr,2011,45.34
gbr,2012,46.04
gbr,2013,46.16
gbr,2014,47.79
gbr,2015,49.66
gbr,2016,51.08
gbr,2017,50.76
gbr,2018,49.89
gbr,2019,50.55
geo,2009,14.42
geo,2010,15.64
geo,2011,16.27
geo,2012,17.6
geo,2013,16.41
geo,2014,18.86
geo,2015,18.79
geo,2016,18.38
geo,2017,25.65
geo,2018,20.98
geo,2019,19.69
geo,2020,16.43
gha,1991,57.24
gha,2000,45.41
gha,2006,37.7
gha,2010,40.01
gha,2013,49.57
gha,2015,34.94
gha,2017,29.72
gin,2002,49.43
gin,2019,24.66
gmb,2012,30.83
gmb,2018,9.45
gnb,2018,29.7
grc,1983,25.32
grc,1984,23.61
grc,1985,23.14
grc,1986,21.93
grc,1987,21.71
grc,1988,22.09
grc,1989,23.23
grc,1990,23.76
grc,1991,22.61
grc,1992,21.84
grc,1993,21.12
grc,1994,20.56
grc,1995,20.26
grc,1996,20.04
grc,1997,19.36
grc,1998,22.14
grc,1999,22.1
grc,2000,22.09
grc,2001,21.64
grc,2002,21.71
grc,2003,20.48
grc,2004,22.25
grc,2005,20.03
grc,2006,18.81
grc,2007,18.79
grc,2008,18.7
grc,2009,18.29
grc,2010,16.15
grc,2011,12.88
grc,2012,9.99
grc,2013,9.13
grc,2014,10.93
grc,2015,10.94
grc,2016,11.27
grc,2017,12.4
grc,2018,12.04
grc,2019,13.2
grc,2020,11.72
gtm,2003,42.86
gtm,2004,32.04
gtm,2010,31.13
gtm,2011,30.64
gtm,2012,37.17
gtm,2013,30.59
gtm,2014,30.12
gtm,2015,28.29
gtm,2016,31.03
gtm,2017,28.67
gtm,2018,31.03
gtm,2019,30.49
gum,2002,28.1
gum,2004,36.2
gum,2005,43.6
gum,2006,42.4
gum,2007,35.8
gum,2009,29.3
gum,2011,31.8
guy,2018,26.21
guy,2019,24.4
hkg,2009,36.2
hkg,2010,32.94
hkg,2011,34.19
hkg,2012,34.7
hkg,2013,36.87
hkg,2014,36.08
hkg,2015,37.45
hkg,2016,38.34
hkg,2017,38.23
hkg,2018,37.97
hkg,2019,38.16
hkg,2020,32.08
hnd,2005,28.81
hnd,2006,26.58
hnd,2007,26.59
hnd,2008,26.85
hnd,2009,26.58
hnd,2010,27.15
hnd,2011,26.07
hnd,2012,24.45
hnd,2013,28.24
hnd,2014,28.73
hnd,2015,30.48
hnd,2016,29.39
hnd,2017,31.4
hnd,2018,33.83
hnd,2019,28.76
hnd,2020,31.4
hrv,2002,21.76
hrv,2003,20.67
hrv,2004,21.74
hrv,2005,21.34
hrv,2006,21.77
hrv,2007,22.26
hrv,2008,21.42
hrv,2009,21.73
hrv,2010,20.42
hrv,2011,17.2
hrv,2012,14.7
hrv,2013,12.37
hrv,2014,15.31
hrv,2015,15.75
hrv,2016,22.19
hrv,2017,21.8
hrv,2018,20.35
hrv,2019,21.88
hrv,2020,18.99
hti,2003,11.31
hti,2012,24.33
hun,1992,33.72
hun,1993,30.26
hun,1994,29.45
hun,1995,26.97
hun,1996,23.95
hun,1997,24.71
hun,1998,29.86
hun,1999,31.16
hun,2000,29.17
hun,2001,26.36
hun,2002,25.55
hun,2003,23.4
hun,2004,20.29
hun,2005,19.24
hun,2006,18.58
hun,2007,17.7
hun,2008,17.07
hun,2009,16.21
hun,2010,16.55
hun,2011,16.17
hun,2012,17.04
hun,2013,17.03
hun,2014,20.45
hun,2015,23.1
hun,2016,24.61
hun,2017,24.8
hun,2018,24.31
hun,2019,24.01
hun,2020,23.12
idn,1990,37.89
idn,1991,38.43
idn,1992,38.54
idn,1993,37.27
idn,1994,37.5
idn,1996,35.84
idn,1997,34.38
idn,1998,33.22
idn,1999,33.01
idn,2000,34.43
idn,2001,32.28
idn,2002,30.64
idn,2003,30.17
idn,2004,29.3
idn,2005,26.84
idn,2006,28.5
idn,2007,30.02
idn,2008,30.57
idn,2009,30.52
idn,2010,30.74
idn,2011,30.06
idn,2012,32.13
idn,2013,31.25
idn,2014,30.4
idn,2015,30.61
idn,2016,31.01
idn,2017,32.15
idn,2018,31.92
idn,2019,34.75
idn,2020,33.35
ind,1994,24.45
ind,2000,22.42
ind,2005,21.82
ind,2010,15.75
ind,2012,12.94
ind,2018,7.63
ind,2019,7.7
ind,2020,10.27
irl,1983,44.8
irl,1984,43.63
irl,1985,40.62
irl,1986,40.24
irl,1987,38.88
irl,1988,36.81
irl,1989,37.76
irl,1990,37.34
irl,1991,35.2
irl,1992,33.53
irl,1993,33.86
irl,1994,34.45
irl,1995,34.26
irl,1996,33.3
irl,1997,35.64
irl,1998,39.71
irl,1999,42.83
irl,2000,43.51
irl,2001,42.23
irl,2002,41.62
irl,2003,42.33
irl,2004,41.36
irl,2005,45.9
irl,2006,46.47
irl,2007,59.13
irl,2008,55.63
irl,2009,47.75
irl,2010,40.89
irl,2011,38.16
irl,2012,37.14
irl,2013,37.15
irl,2014,36.74
irl,2015,37.31
irl,2016,41.74
irl,2017,39.75
irl,2018,39.35
irl,2019,41.04
irl,2020,36.51
irn,2005,11.16
irn,2006,10.51
irn,2007,9.86
irn,2008,7.97
irn,2009,8.42
irn,2010,7.18
irn,2011,5.98
irn,2012,6.72
irn,2013,5.6
irn,2014,4.83
irn,2015,5.49
irn,2016,6.12
irn,2017,6.9
irn,2018,7.18
irn,2019,6.78
irn,2020,5.11
irq,2007,5.57
irq,2012,4.02
irq,2014,3.5
irq,2016,5.4
irq,2017,1.8
isl,1991,56.51
isl,1992,53.63
isl,1993,53.92
isl,1994,53.11
isl,1995,61.64
isl,1996,58.53
isl,1997,62.21
isl,1998,68.51
isl,1999,71.03
isl,2000,77.42
isl,2001,75.99
isl,2002,68.27
isl,2003,66.97
isl,2004,70.08
isl,2005,73.31
isl,2006,74.16
isl,2007,74.56
isl,2008,73.53
isl,2009,66.45
isl,2010,65.33
isl,2011,66.61
isl,2012,68.4
isl,2013,75.16
isl,2014,73.57
isl,2015,76.47
isl,2016,78.17
isl,2017,76.56
isl,2018,76.42
isl,2019,76.12
isl,2020,68.64
isr,1990,34.75
isr,1991,34.33
isr,1992,35.72
isr,1993,38.91
isr,1994,43.59
isr,1995,45.07
isr,1996,45.81
isr,1997,44.13
isr,1998,41.91
isr,1999,43
isr,2000,44.85
isr,2001,43.8
isr,2002,39.72
isr,2003,39.81
isr,2004,40.78
isr,2005,43.4
isr,2006,43.13
isr,2007,43.41
isr,2008,44.14
isr,2009,43.92
isr,2010,43.78
isr,2011,42.46
isr,2012,42.42
isr,2013,43.05
isr,2014,43.14
isr,2015,43.31
isr,2016,43.62
isr,2017,44.26
isr,2018,43.88
isr,2019,43.43
isr,2020,39.68
ita,1983,28.09
ita,1984,26.6
ita,1985,25.68
ita,1986,26.19
ita,1987,26.01
ita,1988,26.96
ita,1989,27.63
ita,1990,27.82
ita,1991,27.67
ita,1992,25.26
ita,1993,23.56
ita,1994,21.9
ita,1995,20.77
ita,1996,20.52
ita,1997,20.13
ita,1998,20.39
ita,1999,20.84
ita,2000,21.98
ita,2001,22.21
ita,2002,21.15
ita,2003,20.83
ita,2004,22.71
ita,2005,20.81
ita,2006,20.03
ita,2007,19.5
ita,2008,19.23
ita,2009,16.92
ita,2010,16.32
ita,2011,15.48
ita,2012,14.98
ita,2013,13.7
ita,2014,12.78
ita,2015,12.44
ita,2016,13.74
ita,2017,13.87
ita,2018,14.28
ita,2019,15.15
ita,2020,12.81
jam,2008,24.88
jam,2009,22.08
jam,2010,19.25
jam,2011,20.79
jam,2012,18.12
jam,2013,17.14
jam,2014,17.5
jam,2015,17.18
jam,2016,22.89
jam,2017,24.1
jam,2018,24.06
jam,2019,25.57
jam,2020,23.52
jam,2021,22.18
jor,2000,5
jor,2001,5.2
jor,2002,5.2
jor,2003,5
jor,2004,5.4
jor,2005,4.4
jor,2006,5.1
jor,2007,5.8
jor,2008,5.5
jor,2011,5
jor,2012,4.6
jor,2017,6.25
jor,2018,4.69
jor,2019,4.79
jor,2020,4.29
jpn,1968,52.36
jpn,1969,51.88
jpn,1970,52.43
jpn,1971,51.86
jpn,1972,49.58
jpn,1973,49.03
jpn,1974,45.92
jpn,1975,44.44
jpn,1976,42.8
jpn,1977,43.02
jpn,1978,43.11
jpn,1979,42.77
jpn,1980,42.48
jpn,1981,42.19
jpn,1982,41.56
jpn,1983,42.45
jpn,1984,42.02
jpn,1985,41.15
jpn,1986,41.45
jpn,1987,40.87
jpn,1988,41.14
jpn,1989,42.12
jpn,1990,42.95
jpn,1991,43.86
jpn,1992,44.56
jpn,1993,44.21
jpn,1994,44.63
jpn,1995,44.42
jpn,1996,44.52
jpn,1997,44.55
jpn,1998,44.33
jpn,1999,42.98
jpn,2000,43.06
jpn,2001,42.44
jpn,2002,41.22
jpn,2003,40.53
jpn,2004,40.79
jpn,2005,41.68
jpn,2006,42.07
jpn,2007,41.41
jpn,2008,41.79
jpn,2009,41.17
jpn,2010,40.34
jpn,2011,40.49
jpn,2012,38.85
jpn,2013,40.89
jpn,2014,41.15
jpn,2015,40.91
jpn,2016,42.92
jpn,2017,43.22
jpn,2018,46.8
jpn,2019,48.4
jpn,2020,47.2
jpn,2021,47.76
ken,1999,37.78
ken,2006,27.86
ken,2016,40.21
ken,2019,30.25
kgz,2010,28.51
kgz,2011,29.03
kgz,2012,26.59
kgz,2013,29.82
kgz,2014,28.22
kgz,2015,26.82
kgz,2016,24.05
kgz,2017,21.2
kgz,2018,21.17
kgz,2019,19.82
kgz,2020,19.88
khm,1998,57.11
khm,2000,68.41
khm,2001,77.33
khm,2007,73.88
khm,2008,70.17
khm,2009,74.21
khm,2010,77.47
khm,2011,78.17
khm,2012,60.74
khm,2013,68.07
khm,2014,68.76
khm,2015,68.83
khm,2016,68.68
khm,2017,68.45
khm,2019,54.32
kir,2005,9.71
kir,2010,18.78
kir,2015,16.12
kir,2019,12.48
kna,1980,42.96
kna,1991,47.92
kor,1980,39.89
kor,1981,38.36
kor,1982,38.78
kor,1983,38.56
kor,1984,35.4
kor,1985,35.19
kor,1986,36.37
kor,1987,37.34
kor,1988,36.88
kor,1989,37.51
kor,1990,38.51
kor,1991,40
kor,1992,39.56
kor,1993,39.14
kor,1994,39.29
kor,1995,39.62
kor,1996,38.63
kor,1997,37.17
kor,1998,31.54
kor,1999,31.67
kor,2000,32.24
kor,2001,33.91
kor,2002,34.88
kor,2003,34.36
kor,2004,34.59
kor,2005,33.6
kor,2006,30.97
kor,2007,28.49
kor,2008,26.64
kor,2009,25
kor,2010,25.7
kor,2011,25.81
kor,2012,26.55
kor,2013,26.3
kor,2014,27.67
kor,2015,28.7
kor,2016,28.77
kor,2017,28.53
kor,2018,28.43
kor,2019,27.75
kor,2020,26.47
kos,2012,4.64
kos,2013,4.57
kos,2014,4.18
kos,2015,3.74
kos,2016,4.41
kos,2017,5.2
kos,2018,4.94
kos,2019,7.04
kos,2020,6.33
kwt,2015,11.77
kwt,2016,11.6
lao,2010,65.88
lao,2017,23.11
lbn,2007,14.17
lbn,2019,22.59
lbr,2010,29.92
lbr,2014,51.38
lbr,2016,53.58
lbr,2017,8.67
lby,2012,3.45
lca,2004,28.5
lca,2005,29.4
