geo,time,sh_sta_stnt_me_zs
bra,2007,7.1
bra,2008,6.9
bra,2009,6.7
bra,2010,6.6
bra,2011,6.4
bra,2012,6.3
bra,2013,6.2
bra,2014,6.1
bra,2015,6.1
bra,2016,6.1
bra,2017,6.1
bra,2018,6.1
bra,2019,6.1
bra,2020,6.1
brb,2000,8.3
brb,2001,8.3
brb,2002,8.2
brb,2003,8.1
brb,2004,8
brb,2005,8
brb,2006,7.9
brb,2007,8
brb,2008,7.9
brb,2009,7.9
brb,2010,7.9
brb,2011,7.8
brb,2012,7.6
brb,2013,7.5
brb,2014,7.4
brb,2015,7.2
brb,2016,7.1
brb,2017,6.9
brb,2018,6.8
brb,2019,6.6
brb,2020,6.6
brn,2000,20.9
brn,2001,21
brn,2002,21
brn,2003,20.9
brn,2004,20.7
brn,2005,20.5
brn,2006,20.2
brn,2007,19.8
brn,2008,19.3
brn,2009,18.8
brn,2010,18.4
brn,2011,17.9
brn,2012,17.5
brn,2013,16.9
brn,2014,16.3
brn,2015,15.7
brn,2016,15
brn,2017,14.3
brn,2018,13.7
brn,2019,13.2
brn,2020,12.7
btn,2000,46.5
btn,2001,45.5
btn,2002,44.3
btn,2003,43.1
btn,2004,41.7
btn,2005,40.3
btn,2006,38.8
btn,2007,37.3
btn,2008,35.8
btn,2009,34.4
btn,2010,33
btn,2011,31.6
btn,2012,30.2
btn,2013,28.8
btn,2014,27.6
btn,2015,26.4
btn,2016,25.4
btn,2017,24.5
btn,2018,23.7
btn,2019,23
btn,2020,22.4
bwa,2000,31.5
bwa,2001,31.1
bwa,2002,30.6
bwa,2003,30
bwa,2004,29.6
bwa,2005,28.9
bwa,2006,28.2
bwa,2007,27.8
bwa,2008,27.2
bwa,2009,26.5
bwa,2010,25.9
bwa,2011,25.2
bwa,2012,24.4
bwa,2013,23.9
bwa,2014,23.6
bwa,2015,23.5
bwa,2016,23.5
bwa,2017,23.6
bwa,2018,23.5
bwa,2019,23.2
bwa,2020,22.8
caf,2000,43.4
caf,2001,43.5
caf,2002,43.5
caf,2003,43.4
caf,2004,43.3
caf,2005,43.1
caf,2006,42.9
caf,2007,42.6
caf,2008,42.3
caf,2009,42.1
caf,2010,41.8
caf,2011,41.6
caf,2012,41.4
caf,2013,41.6
caf,2014,41.7
caf,2015,41.7
caf,2016,41.6
caf,2017,41.4
caf,2018,41
caf,2019,40.5
caf,2020,40.1
chl,2000,2.9
chl,2001,2.7
chl,2002,2.6
chl,2003,2.4
chl,2004,2.3
chl,2005,2.3
chl,2006,2.2
chl,2007,2.1
chl,2008,2.1
chl,2009,2
chl,2010,2
chl,2011,1.9
chl,2012,1.9
chl,2013,1.9
chl,2014,1.8
chl,2015,1.8
chl,2016,1.7
chl,2017,1.7
chl,2018,1.6
chl,2019,1.6
chl,2020,1.6
chn,2000,20.1
chn,2001,18.4
chn,2002,16.8
chn,2003,15.4
chn,2004,14.1
chn,2005,13
chn,2006,12
chn,2007,11.1
chn,2008,10.3
chn,2009,9.5
chn,2010,8.7
chn,2011,8
chn,2012,7.4
chn,2013,6.9
chn,2014,6.4
chn,2015,6.1
chn,2016,5.9
chn,2017,5.5
chn,2018,5.2
chn,2019,4.9
chn,2020,4.7
civ,2000,33.6
civ,2001,33.6
civ,2002,33.7
civ,2003,33.8
civ,2004,34
civ,2005,34
civ,2006,34
civ,2007,33.7
civ,2008,33.2
civ,2009,32.4
civ,2010,31.4
civ,2011,30.6
civ,2012,29.3
civ,2013,28
civ,2014,26.7
civ,2015,25.3
civ,2016,23.5
civ,2017,22
civ,2018,20.6
civ,2019,19.1
civ,2020,17.8
cmr,2000,37.3
cmr,2001,37.4
cmr,2002,37.4
cmr,2003,37.2
cmr,2004,36.9
cmr,2005,36.5
cmr,2006,36
cmr,2007,35.5
cmr,2008,34.8
cmr,2009,34.2
cmr,2010,33.6
cmr,2011,33.1
cmr,2012,32.5
cmr,2013,32
cmr,2014,31.4
cmr,2015,30.8
cmr,2016,30.2
cmr,2017,29.5
