geo,time,se_sec_nenr
cub,2008,87.50112
cub,2009,85.67697
cub,2010,88.24106
cub,2011,87.90295
cub,2012,86.64642
cub,2013,87.24085
cub,2014,85.14799
cub,2015,83.56161
cub,2016,84.18424
cub,2017,84.18099
cub,2018,84.18162
cyp,1971,51.22608
cyp,1972,53.41426
cyp,1973,57.92186
cyp,1974,60.63436
cyp,1975,58.59046
cyp,1976,63.06196
cyp,1977,63.5443
cyp,1978,61.748
cyp,1979,61.92533
cyp,1980,62.14607
cyp,1981,62.0292
cyp,1982,60.88027
cyp,1983,60.91112
cyp,1994,89.53134
cyp,1995,89.54795
cyp,1996,89.61305
cyp,1997,89.00555
cyp,1999,87.81234
cyp,2000,88.0464
cyp,2001,88.30934
cyp,2002,91.67274
cyp,2003,92.80423
cyp,2004,93.00759
cyp,2005,94.10166
cyp,2006,94.05908
cyp,2007,95.09996
cyp,2008,95.80445
cyp,2009,95.52999
cyp,2010,88.83383
cyp,2011,89.68342
cyp,2012,91.83179
cyp,2013,93.17237
cyp,2014,94.71498
cyp,2015,94.63238
cyp,2016,94.09316
cyp,2017,95.337
cze,2001,88.47714
cze,2002,89.18993
cze,2004,89.68074
cze,2013,87.77459
cze,2014,88.87644
cze,2015,90.16472
cze,2016,91.00416
cze,2017,90.51857
deu,2002,89.58207
deu,2003,89.62782
deu,2004,89.76944
deu,2005,90.09314
deu,2006,89.71943
deu,2007,89.12277
deu,2008,89.52043
deu,2009,88.17308
deu,2010,88.12181
deu,2011,88.47512
deu,2012,88.0323
deu,2013,87.32363
deu,2014,86.63283
deu,2015,86.12309
deu,2016,85.46939
deu,2017,85.29882
dji,1985,9.0938
dji,1986,9.36461
dji,1987,9.96238
dji,1988,9.3606
dji,1997,11.44128
dji,2001,14.17161
dji,2002,14.7086
dji,2004,19.26153
dji,2005,21.2435
dji,2008,26.46648
dji,2015,37.8168
dma,1999,82.08058
dma,2000,88.51696
dma,2001,85.13978
dma,2003,87.81282
dma,2004,87.40997
dma,2005,84.78321
dma,2006,72.56556
dma,2009,70.23535
dma,2010,73.52168
dma,2011,72.73973
dma,2015,80.9661
dma,2016,87.73568
dnk,1981,87.9823
dnk,1982,87.78228
dnk,1983,87.04901
dnk,1984,85.0807
dnk,1985,83.92338
dnk,1986,83.29392
dnk,1987,83.56807
dnk,1988,84.6473
dnk,1989,86.31438
dnk,1990,87.10454
dnk,1991,87.11601
dnk,1992,86.75411
dnk,1993,86.55325
dnk,1994,87.08292
dnk,1995,86.71742
dnk,1996,87.28194
dnk,1998,87.9482
dnk,2000,88.60073
dnk,2001,89.47715
dnk,2002,91.05446
dnk,2003,93.92329
dnk,2004,91.19584
dnk,2005,91.57663
dnk,2006,89.38548
dnk,2007,89.25386
dnk,2008,89.33902
dnk,2009,89.83744
dnk,2010,90.13414
dnk,2011,91.17921
dnk,2012,90.22411
dnk,2013,90.11001
dnk,2014,89.4441
dnk,2015,89.39882
dnk,2016,89.88581
dnk,2017,90.92146
dom,1999,39.66008
dom,2000,40.60467
dom,2002,50.94075
dom,2004,50.03848
dom,2005,53.29682
dom,2007,62.2369
dom,2008,60.8427
dom,2009,64.31607
dom,2010,63.72856
dom,2011,63.17685
dom,2012,63.82419
dom,2013,65.55798
dom,2014,66.95176
dom,2015,67.83227
dom,2016,68.88978
dom,2017,70.27235
dom,2018,70.60614
dza,1971,9.76547
dza,1984,38.9646
dza,1995,52.54394
dza,1996,53.0662
dza,1997,52.9321
ecu,1998,46.12997
ecu,1999,47.17097
ecu,2000,47.76897
ecu,2001,48.55978
ecu,2002,49.94952
ecu,2003,49.94144
ecu,2004,50.72485
ecu,2005,53.08892
ecu,2006,54.49689
ecu,2007,56.01364
ecu,2009,69.16066
ecu,2010,71.80644
ecu,2011,72.8084
ecu,2012,76.17987
ecu,2013,80.13801
ecu,2014,83.36107
ecu,2015,84.72536
ecu,2016,85.92267
ecu,2017,85.3386
ecu,2018,84.67039
egy,1971,26.38686
egy,1972,26.14083
egy,1973,28.90658
egy,1974,28.74886
egy,1994,64.5053
egy,2014,76.81479
egy,2016,80.74153
egy,2017,81.65996
egy,2018,82.77635
eri,1994,15.98817
eri,1995,17.20103
eri,1997,20.0927
eri,1999,24.90625
eri,2000,27.63756
eri,2001,26.97164
eri,2002,27.3134
eri,2003,27.76501
eri,2004,29.89231
eri,2005,32.07118
eri,2006,34.31103
eri,2007,35.72305
eri,2008,38.30874
eri,2009,42.17554
eri,2010,46.63161
eri,2011,48.75162
eri,2012,51.39255
eri,2013,48.24244
eri,2014,48.19877
eri,2015,42.78074
eri,2017,40.69051
eri,2018,41.57501
esp,1971,46.03706
esp,1972,45.27388
esp,1973,52.14207
esp,1975,58.13073
esp,1976,61.53776
esp,1977,64.58672
esp,1978,66.315
esp,1979,69.11859
esp,1980,72.43316
esp,1981,73.5598
esp,1999,87.22194
esp,2000,88.76119
esp,2001,90.33215
esp,2002,90.92089
esp,2003,91.28496
esp,2004,92.41558
esp,2005,93.27141
esp,2006,92.8639
esp,2007,92.07332
esp,2008,91.50683
esp,2009,91.07021
esp,2010,90.86856
esp,2011,89.39714
esp,2012,89.80611
esp,2013,90.5337
esp,2014,91.42704
esp,2015,92.77119
esp,2016,94.94198
esp,2017,96.87779
est,1998,83.75907
est,1999,83.95348
est,2000,85.07887
est,2001,85.7722
est,2002,88.4054
est,2003,89.4797
est,2004,91.47287
est,2005,93.41205
est,2006,93.78821
est,2007,92.89928
est,2008,91.89447
est,2009,91.23404
est,2010,90.93238
est,2011,91.33162
est,2012,91.28602
est,2013,92.09885
est,2014,92.68432
est,2015,93.82438
est,2016,94.2014
est,2017,94.36474
eth,1999,10.96812
eth,2000,12.48979
eth,2001,13.21767
eth,2002,15.0676
eth,2014,30.09293
eth,2015,30.8138
fin,1971,70.421
fin,1979,84.82012
fin,1991,92.9061
fin,1993,94.72554
fin,1994,94.63973
fin,1995,92.20016
fin,1996,92.44898
fin,1997,93.15815
fin,1998,97.17798
fin,1999,94.4922
fin,2000,94.47773
fin,2001,94.18191
fin,2002,94.39933
fin,2003,94.95765
fin,2004,95.10188
fin,2005,95.79214
fin,2006,96.22216
fin,2007,95.81085
fin,2008,94.97304
fin,2009,94.24573
fin,2010,93.90982
fin,2011,93.49709
fin,2012,92.86466
fin,2013,94.476
fin,2014,94.61306
fin,2015,95.26385
fin,2016,95.93474
fin,2017,96.1047
fji,1999,75.58069
fji,2000,72.26564
fji,2001,74.79579
fji,2002,75.86326
fji,2003,76.51975
fji,2004,83.30853
fji,2006,85.43666
fji,2007,81.22868
fji,2009,80.43713
fji,2011,85.09221
fji,2012,84.52339
fra,1976,76.25555
fra,1977,77.03062
fra,1979,76.79625
fra,1980,76.98573
fra,1981,77.14668
fra,1982,77.4243
fra,1983,78.38809
fra,1985,80.90127
fra,1986,81.31056
fra,1987,81.5499
fra,1988,81.63866
fra,1989,82.00271
fra,1990,82.68329
fra,1992,88.46125
fra,1993,89.6024
fra,1994,95.50216
fra,1995,96.21678
fra,1996,95.53034
fra,1997,94.93124
fra,1999,90.10899
fra,2000,89.91505
fra,2001,89.6317
fra,2002,89.28409
fra,2003,89.03434
fra,2004,88.89251
fra,2005,92.63271
fra,2006,92.66312
fra,2007,92.60787
fra,2008,92.59771
fra,2009,92.6832
fra,2010,92.55883
fra,2011,92.86607
fra,2012,93.22666
fra,2013,93.39347
fra,2014,92.95679
fra,2015,93.58103
fra,2016,93.95576
fra,2017,94.66595
gbr,1971,70.19831
gbr,1972,70.58994
gbr,1973,71.20154
gbr,1974,76.53078
gbr,1975,76.47202
gbr,1976,77.38921
gbr,1977,76.91629
gbr,1978,76.13394
gbr,1979,75.53121
gbr,1981,76.80322
gbr,1982,77.59085
gbr,1983,78.83851
gbr,1984,78.90733
gbr,1986,80.26647
gbr,1987,80.10621
gbr,1990,78.43803
gbr,1991,80.9996
gbr,1992,83.63754
gbr,1993,92.06388
gbr,1994,93.9031
gbr,1995,94.8189
gbr,1996,93.93028
gbr,1997,92.76342
gbr,1998,93.50332
gbr,1999,94.65621
gbr,2000,94.68536
gbr,2001,94.95354
gbr,2002,95.64137
gbr,2003,95.47093
gbr,2004,95.02938
gbr,2005,95.55691
gbr,2006,92.34619
gbr,2007,91.17435
gbr,2008,92.61934
gbr,2009,94.46231
gbr,2010,96.16818
gbr,2011,92.958
gbr,2012,90.8005
gbr,2013,93.84317
gbr,2014,97.18701
gbr,2015,98.13521
gbr,2017,97.13247
geo,1996,73.62613
geo,1997,76.91283
geo,1999,82.18443
geo,2000,85.2912
geo,2005,88.04291
geo,2006,88.2985
geo,2007,91.36429
geo,2008,91.34337
geo,2009,87.67605
geo,2013,88.75413
geo,2014,90.22179
geo,2015,91.29973
geo,2016,92.4141
geo,2017,94.21028
geo,2018,95.94754
gha,1999,31.73723
gha,2000,32.14966
gha,2001,30.42478
gha,2002,31.88805
gha,2003,32.85822
gha,2005,36.65545
gha,2006,38.06956
gha,2007,43.33563
gha,2008,44.01556
gha,2009,42.53878
gha,2013,52.66323
gha,2014,52.13977
gha,2015,55.58338
gha,2016,55.43891
gha,2017,55.4414
gha,2018,58.2609
gha,2019,57.24406
gib,2016,89.36282
gib,2017,93.83962
gin,1986,7.97311
gin,1989,6.55104
gin,1990,6.24106
gin,1999,12.00841
gin,2001,16.0888
gin,2002,18.04796
gin,2003,19.20104
gin,2004,20.36491
gin,2005,23.22898
gin,2006,25.549
gin,2011,30.02945
gin,2014,32.20633
gmb,1978,7.60565
gmb,1979,7.49428
gmb,1983,12.23244
gmb,1984,14.03888
gmb,1985,14.78404
gmb,1986,14.63149
gnb,1981,2.69955
gnb,1982,3.50441
gnb,1984,3.56842
gnb,2000,8.55698
gnq,1999,17.65151
gnq,2001,18.12672
gnq,2005,20.36275
grc,1971,50.38854
grc,1972,55.07287
grc,1973,56.29637
grc,1974,56.7926
grc,1975,57.56031
grc,1976,60.10059
grc,1977,62.00223
grc,1978,64.02107
grc,1979,65.31781
grc,1980,71.42819
grc,1982,75.34419
grc,1984,76.30285
grc,1985,77.77186
grc,1986,78.99694
grc,1987,81.0754
grc,1988,80.78249
grc,1989,81.48012
grc,1990,80.79063
grc,1991,81.25462
grc,1992,81.4163
grc,1994,79.84033
grc,1995,80.90449
grc,1996,81.12858
grc,1997,80.76816
grc,1998,80.39055
grc,1999,79.8864
grc,2000,79.81704
grc,2001,81.9838
grc,2002,84.87402
grc,2003,84.42879
grc,2004,86.17291
grc,2005,89.97076
grc,2006,90.06458
grc,2007,87.76634
grc,2010,95.21512
grc,2013,93.39264
grc,2014,91.30938
grc,2015,92.49466
grc,2016,92.48486
grc,2017,93.34588
grd,1972,22.73973
grd,2002,88.54521
grd,2003,82.07647
grd,2004,89.13555
grd,2005,86.42776
grd,2013,88.37907
grd,2014,91.55919
grd,2015,95.53421
grd,2017,87.72998
gtm,1972,7.40452
gtm,1974,8.80494
gtm,1975,9.30466
gtm,1979,13.46789
gtm,1980,12.10072
gtm,1982,13.42526
gtm,1999,22.06259
gtm,2000,24.4983
gtm,2001,27.54215
gtm,2002,28.33468
gtm,2008,36.74233
gtm,2009,38.34263
gtm,2010,41.79092
gtm,2011,42.21131
gtm,2012,42.66609
gtm,2013,42.87372
gtm,2014,43.12295
gtm,2015,44.13192
gtm,2016,43.92075
gtm,2017,43.59611
gtm,2018,43.77665
guy,1971,53.50782
guy,1999,71.71633
guy,2009,76.15302
guy,2011,86.77272
guy,2012,82.33976
hkg,1971,33.87941
hkg,1972,35.30299
hkg,1973,37.22131
hkg,1974,39.62656
hkg,1975,43.02282
hkg,1976,45.34576
hkg,1977,48.34647
hkg,1978,51.56288
hkg,1979,55.39661
hkg,1980,58.50658
hkg,1981,60.87547
hkg,1983,65.0753
hkg,1984,66.39646
hkg,1985,68.429
hkg,1996,77.28146
hkg,2001,72.8222
hkg,2002,72.80981
hkg,2003,73.28081
hkg,2004,74.14769
hkg,2005,75.10865
hkg,2006,75.59361
hkg,2007,76.89025
hkg,2008,78.07838
hkg,2009,78.97387
hkg,2010,79.86728
hkg,2011,78.43632
hkg,2012,90.01135
hkg,2013,88.72314
hkg,2014,88.86817
hkg,2015,89.30273
hkg,2016,91.4471
hkg,2017,93.73494
hkg,2018,96.14117
hnd,1983,24.38114
hnd,1991,19.89342
hnd,2013,42.20253
hnd,2014,41.1479
hnd,2015,40.80784
hnd,2016,42.5185
hnd,2017,43.77822
hrv,1999,82.02676
hrv,2000,82.35159
hrv,2001,82.72222
hrv,2002,83.68739
hrv,2003,85.20446
hrv,2005,88.49412
hrv,2008,93.3058
hrv,2009,96.49343
hrv,2010,95.03317
hrv,2011,94.33046
hrv,2012,94.13438
hrv,2013,93.30197
hrv,2014,92.39203
hrv,2015,92.24036
hrv,2016,91.87656
hrv,2017,92.39267
hun,1997,81.55924
hun,1998,81.59047
hun,1999,83.50017
hun,2000,85.0428
hun,2001,87.41386
hun,2002,88.99301
hun,2003,90.55161
hun,2004,89.71743
hun,2005,90.00626
hun,2006,90.084
hun,2007,90.00401
hun,2008,89.64615
hun,2009,89.1824
hun,2010,89.09243
hun,2011,88.39353
hun,2012,88.94628
hun,2013,89.67352
hun,2014,89.78721
hun,2015,89.1319
hun,2016,89.15815
hun,2017,89.27911
idn,1972,16.28677
idn,1973,16.59849
idn,1974,17.09416
idn,1975,18.44464
idn,1976,19.3182
idn,1977,19.65102
idn,1978,20.87823
idn,1987,42.08292
idn,1995,41.82443
idn,2001,49.59
idn,2002,50.80151
idn,2003,53.46558
idn,2004,54.89742
idn,2005,53.3964
idn,2006,57.5779
idn,2007,64.8416
idn,2008,64.02634
idn,2009,64.76545
idn,2010,66.64897
idn,2011,72.91917
idn,2012,74.17695
idn,2013,75.36034
idn,2014,75.21275
idn,2015,75.77185
idn,2018,78.73112
ind,2013,61.63147
irl,1971,63.38682
irl,1972,65.28022
irl,1973,69.69175
irl,1974,72.93361
irl,1975,75.54909
irl,1976,77.24009
irl,1977,78.11463
irl,1978,78.65693
irl,1980,79.9479
irl,1982,82.70063
irl,1991,78.04497
irl,1992,79.51083
irl,1995,82.85109
irl,1996,82.53367
irl,1997,81.64421
irl,1998,88.22536
irl,1999,90.01793
irl,2000,90.36688
irl,2001,90.54107
irl,2002,91.59308
irl,2003,92.27449
irl,2004,93.2769
irl,2005,93.59603
irl,2006,93.78802
