geo,time,sl_tlf_advn_fe_zs
dom,2008,77.06
dom,2009,72.61
dom,2010,77.92
dom,2011,78.97
dom,2012,79.39
dom,2013,79.97
dom,2014,76.7
dom,2015,82.52
dom,2016,82.19
dom,2017,81.8
dom,2018,79.79
dom,2019,81.92
dom,2020,77.88
dza,2017,42.22
ecu,2000,72.5
ecu,2001,72.39
ecu,2003,77.53
ecu,2004,77.46
ecu,2005,78.15
ecu,2006,80.12
ecu,2007,77.66
ecu,2008,78.65
ecu,2009,76.36
ecu,2010,75.17
ecu,2011,74.69
ecu,2012,75.46
ecu,2013,74.19
ecu,2014,73.24
ecu,2015,75.45
ecu,2016,76.84
ecu,2017,76.25
ecu,2018,75.3
ecu,2019,74.59
egy,2008,59.67
egy,2009,60.9
egy,2010,61.74
egy,2011,60.83
egy,2012,63.15
egy,2013,63.63
egy,2014,61.93
egy,2015,62.71
egy,2016,65.38
egy,2017,64.02
egy,2018,55.46
egy,2020,41.78
esp,1992,79.59
esp,1993,75.32
esp,1994,76.57
esp,1995,76.86
esp,1996,76.7
esp,1997,77.33
esp,1998,76.75
esp,1999,76.62
esp,2000,77.08
esp,2001,75.29
esp,2002,77.99
esp,2003,79.11
esp,2004,80.4
esp,2005,79.69
esp,2006,80.48
esp,2007,80.51
esp,2008,80.87
esp,2009,81.55
esp,2010,81.57
esp,2011,81.64
esp,2012,82.22
esp,2013,81.78
esp,2014,81.22
esp,2015,81.23
esp,2016,80.86
esp,2017,80.4
esp,2018,79.59
esp,2019,79.31
esp,2020,78.2
est,1997,77.09
est,1998,77.55
est,1999,75.82
est,2000,77.89
est,2001,74.26
est,2002,77.4
est,2003,74.42
est,2004,76.75
est,2005,77.19
est,2006,79.7
est,2007,79.24
est,2008,76.84
est,2009,77.09
est,2010,77.09
est,2011,77.24
est,2012,78.7
est,2013,77.66
est,2014,75.95
est,2015,78.14
est,2016,77.96
est,2017,78.49
est,2018,78
est,2019,78.72
est,2020,79.13
eth,1999,88.08
eth,2005,92.44
eth,2013,87.83
fin,1995,80.72
fin,1996,81.71
fin,1997,82.84
fin,1998,78.95
fin,1999,83.18
fin,2000,80.12
fin,2001,80.89
fin,2002,80.8
fin,2003,80.1
fin,2004,80.27
fin,2005,79.96
fin,2006,78.94
fin,2007,78.48
fin,2008,78.07
fin,2009,77.33
fin,2010,76.22
fin,2011,75.66
fin,2012,75.5
fin,2013,74.69
fin,2014,74.37
fin,2015,74.48
fin,2016,73.31
fin,2017,73.31
fin,2018,73.48
fin,2019,73.17
fin,2020,73.13
fji,2005,65.37
fji,2011,70.03
fji,2014,86.86
fji,2016,70.26
fra,1993,76.4
fra,1994,75.53
fra,1995,75.82
fra,1996,78.24
fra,1997,78.22
fra,1998,74.83
fra,1999,74.96
fra,2000,75.39
fra,2001,75.07
fra,2002,75.58
fra,2003,76.5
fra,2004,75.69
fra,2005,76.13
fra,2006,75.66
fra,2007,76.57
fra,2008,77.61
fra,2009,76.72
fra,2010,76.55
fra,2011,76.17
fra,2012,76.66
fra,2013,76.51
fra,2014,76.16
fra,2015,76.05
fra,2016,75.84
fra,2017,75.14
fra,2018,75.08
fra,2019,75.51
fra,2020,74.59
fsm,2014,77.61
gbr,1992,85.34
gbr,1993,86.16
gbr,1994,86.82
gbr,1995,85.96
gbr,1996,86.2
gbr,1997,87.06
gbr,1999,87.49
gbr,2000,86.98
gbr,2001,87.05
gbr,2002,87.62
gbr,2003,87.23
gbr,2004,87.48
gbr,2005,88
gbr,2006,87.98
gbr,2007,87.73
gbr,2008,82.02
gbr,2009,81.7
gbr,2010,81.62
gbr,2011,81.29
gbr,2012,79.81
gbr,2013,80.7
gbr,2014,80.52
gbr,2015,80.4
gbr,2016,80.4
gbr,2017,80.46
gbr,2018,80.94
gbr,2019,81.77
geo,2011,67.02
geo,2012,67.26
geo,2013,65.49
geo,2014,66.82
geo,2015,66.08
geo,2016,67.66
geo,2017,66.89
geo,2018,65.79
geo,2019,65.14
geo,2020,61.12
gha,1991,80
gha,2000,65.4
gha,2006,84.94
gha,2010,73.15
gha,2013,75.06
gha,2015,80.26
gha,2017,61.99
gin,2002,64.63
gin,2019,69.73
gmb,2012,59.56
gmb,2018,69.07
gnb,2018,63.9
grc,1992,74.05
grc,1993,74.61
grc,1994,75.18
grc,1995,76.65
grc,1996,76.68
grc,1997,76.86
grc,1998,78.74
grc,1999,80.32
grc,2000,81.14
grc,2001,79.05
grc,2002,79.34
grc,2003,79.86
grc,2004,80.31
grc,2005,80.7
grc,2006,81.56
grc,2007,81.01
grc,2008,80.38
grc,2009,81.29
grc,2010,80.64
grc,2011,79.4
grc,2012,79.24
grc,2013,77.86
grc,2014,76.87
grc,2015,76.9
grc,2016,76.64
grc,2017,75.55
grc,2018,75.56
grc,2019,75.34
grc,2020,74.46
gtm,2003,79.01
gtm,2004,71.44
gtm,2006,75.27
gtm,2010,81.95
gtm,2011,74.12
gtm,2012,78.08
gtm,2013,81.97
gtm,2014,70.2
gtm,2015,80.92
gtm,2016,74.74
gtm,2017,74.26
gtm,2018,76.51
gtm,2019,77.4
guy,2018,80.07
guy,2019,77.43
hkg,2009,72.43
hkg,2010,72.4
hkg,2011,74.48
hkg,2012,73.5
hkg,2013,73.23
hkg,2014,72.5
hkg,2015,72.8
hkg,2016,72.97
hkg,2017,73.68
hkg,2018,73.41
hkg,2019,73.54
hkg,2020,74.26
hnd,2005,87.43
hnd,2006,80.69
hnd,2007,83.14
hnd,2008,86.86
hnd,2009,86.36
hnd,2010,86.04
hnd,2011,84.56
hnd,2012,81.68
hnd,2013,86.92
hnd,2014,82.68
hnd,2015,84.88
hnd,2016,83.11
hnd,2017,80.61
hnd,2018,83.6
hnd,2019,81.75
hrv,2002,77.08
hrv,2003,77.87
hrv,2004,77.84
hrv,2005,74.69
hrv,2006,75.46
hrv,2007,78.01
hrv,2008,78.22
hrv,2009,78.25
hrv,2010,77.92
hrv,2011,75.65
hrv,2012,75.46
hrv,2013,74.2
hrv,2014,76.69
hrv,2015,75.25
hrv,2016,73.35
hrv,2017,73.32
hrv,2018,73.75
hrv,2019,74.05
hrv,2020,72.23
hti,2012,61.08
hun,1997,74.61
hun,1998,74.57
hun,1999,73.98
hun,2000,74.27
hun,2001,75.42
hun,2002,76.67
hun,2003,75.36
hun,2004,76.54
hun,2005,77.12
hun,2006,75.23
hun,2007,73.25
hun,2008,73
hun,2009,72.69
hun,2010,72.71
hun,2011,72.62
hun,2012,72.1
hun,2013,71.63
hun,2014,70.05
hun,2015,69.82
hun,2016,70.94
hun,2017,69.52
hun,2018,69.86
hun,2019,69.29
hun,2020,67.78
idn,1990,75.17
idn,1991,77.36
idn,1992,75.86
idn,1993,74.72
idn,1994,77.14
idn,1996,78.3
idn,1997,81.41
idn,1998,78.52
idn,1999,81.83
idn,2000,77.77
idn,2001,64.92
idn,2002,77.06
idn,2003,63.9
idn,2004,64.59
idn,2005,80.31
idn,2006,77.86
idn,2007,73.23
idn,2008,76.58
idn,2009,70.61
idn,2010,76.98
idn,2011,78.82
idn,2012,82.01
idn,2013,80.17
idn,2014,80.22
idn,2015,79.62
idn,2016,79.93
idn,2017,79.13
idn,2018,76.05
idn,2019,78.61
idn,2020,76.75
ind,1994,35.98
ind,2000,32.43
ind,2005,33.79
ind,2010,29.69
ind,2012,30.81
ind,2018,31.55
ind,2019,30.57
ind,2020,34.15
irl,1992,72.1
irl,1993,73.95
irl,1994,76.61
irl,1995,76.31
irl,1996,75.76
irl,1997,78.34
irl,1999,82.41
irl,2000,80.91
irl,2001,81.27
irl,2002,79.18
irl,2003,79.23
irl,2004,78.48
irl,2005,79.12
irl,2006,79.29
irl,2007,81.93
irl,2008,80.85
irl,2009,80.56
irl,2010,79.93
irl,2011,79.2
irl,2012,78.22
irl,2013,78.19
irl,2014,77.37
irl,2015,77.86
irl,2016,77.65
irl,2017,77.73
irl,2018,77.74
irl,2019,77.41
irl,2020,76.61
irn,2005,29.08
irn,2006,28.46
irn,2007,27.97
irn,2008,24.69
irn,2009,24.94
irn,2010,25.5
irn,2011,21.68
irn,2012,24.7
irn,2013,20.19
irn,2014,18.68
irn,2015,19.86
irn,2016,22.23
irn,2018,40.96
irn,2019,39.61
irn,2020,34.06
irq,2007,65.02
irq,2012,48.46
isl,1999,90.77
isl,2000,93.08
isl,2001,90.48
isl,2002,92.47
isl,2003,90.97
isl,2004,90.3
isl,2005,89.92
isl,2006,88.36
isl,2007,88.37
isl,2008,87.43
isl,2009,88.78
isl,2010,88.15
isl,2011,89.52
isl,2012,89.76
isl,2013,88.75
isl,2014,89.97
isl,2015,90.61
isl,2016,89.66
isl,2017,89.04
isl,2018,88.76
isl,2019,88.95
isl,2020,86.33
isr,2009,73.08
isr,2010,73.01
isr,2011,73.89
isr,2012,79.66
isr,2013,79.13
isr,2014,80.16
isr,2015,80.05
isr,2016,80.24
isr,2017,78.68
isr,2018,76.23
isr,2019,76.03
isr,2020,74.81
ita,1992,75.44
ita,1993,77.51
ita,1994,78.22
ita,1995,78.08
ita,1996,77.87
ita,1997,77.36
ita,1998,76.2
ita,1999,76.36
ita,2000,75.99
ita,2001,75.5
ita,2002,76.88
ita,2003,76.24
ita,2004,77.14
ita,2005,74.53
ita,2006,73.32
ita,2007,72.06
ita,2008,73.82
ita,2009,73.02
ita,2010,72.14
ita,2011,72.55
ita,2012,72.96
ita,2013,72.67
ita,2014,72.46
ita,2015,71.93
ita,2016,72.88
ita,2017,73.48
ita,2018,73.42
ita,2019,73.2
ita,2020,71.58
jam,2008,81.3
jam,2009,80.15
jam,2010,79.33
jam,2011,75.2
jam,2012,75.54
jam,2013,75.51
jam,2014,75.53
jam,2016,75.32
jam,2017,74.82
jam,2018,73.75
jam,2019,75.04
jam,2020,77.74
jor,2017,54.74
jor,2018,50.88
jor,2019,47.73
jor,2020,48.63
jpn,2012,66.56
jpn,2013,67.92
jpn,2015,68.72
jpn,2016,69.66
jpn,2017,70.12
jpn,2018,71.22
jpn,2019,72.58
jpn,2020,71.94
ken,1999,83.85
ken,2006,66.57
ken,2016,68.3
ken,2019,82.26
kgz,2011,70.76
kgz,2012,71.59
kgz,2013,67.89
kgz,2014,69.19
kgz,2015,68.96
kgz,2016,68.84
kgz,2017,68.53
kgz,2018,62.56
khm,2000,42.7
khm,2001,50.25
khm,2007,72.18
khm,2008,63.11
khm,2009,58.28
khm,2010,88.93
khm,2011,88.08
khm,2012,85.21
khm,2013,75.68
khm,2014,58.06
khm,2015,71.05
khm,2016,76.86
khm,2017,80.26
khm,2019,65.59
kir,2015,82.41
kir,2019,84.74
kor,2000,50.36
kor,2001,51.17
kor,2002,51.32
kor,2003,54.88
kor,2004,56.95
kor,2005,57.38
kor,2006,58.5
kor,2007,58.49
kor,2008,58.5
kor,2009,57.44
kor,2010,57.91
kor,2011,58
kor,2012,58.83
kor,2013,59.03
kor,2014,60.03
kor,2015,60.98
kor,2016,61.55
kor,2017,62.01
kor,2018,62.66
kor,2019,63.13
kor,2020,62.21
kos,2012,62.66
kos,2013,69.84
kos,2014,68.05
kos,2015,60
kos,2016,63.49
kos,2017,68.78
kos,2018,69.92
kos,2019,71.92
kos,2020,65.4
kwt,2016,60.85
lao,2010,91.18
lao,2017,72.2
lbn,2019,51.64
lbr,2010,67.39
lbr,2014,92.08
lbr,2016,93.96
lbr,2017,55.9
lca,2017,73.6
lca,2018,83.71
lca,2019,80.85
lka,2010,79.3
lka,2011,80.19
lka,2012,52.76
lka,2013,80.87
lka,2014,82.39
lka,2015,82.86
lka,2016,82.91
lka,2017,81.94
lka,2018,80.99
lka,2019,83.84
lso,2019,85.57
ltu,1998,80.63
ltu,1999,81.6
ltu,2000,79.38
ltu,2001,85.28
ltu,2002,81.48
ltu,2003,83.53
ltu,2004,81.95
ltu,2005,81.29
ltu,2006,81.95
ltu,2007,81.24
ltu,2008,80.9
ltu,2009,81.69
ltu,2010,83.13
ltu,2011,83.32
ltu,2012,82.4
ltu,2013,82.3
ltu,2014,80.4
ltu,2015,80.49
ltu,2016,81.97
ltu,2017,81.84
ltu,2018,81.36
ltu,2019,81.21
ltu,2020,80.94
lux,1992,67.29
lux,1993,71.35
lux,1994,57.09
lux,1995,64.78
lux,1996,69.71
lux,1997,69.9
lux,1999,71.41
lux,2000,71.51
lux,2001,73
lux,2002,73.2
lux,2003,71.88
lux,2004,75.37
lux,2005,75.11
lux,2006,79.79
lux,2007,79.62
lux,2008,75.87
lux,2009,76.33
lux,2010,76.31
lux,2011,75.69
lux,2012,75.85
lux,2013,75.91
lux,2014,76.82
lux,2015,78.66
lux,2016,76.64
lux,2017,79.17
lux,2018,77.89
lux,2019,77.18
lux,2020,78.32
lva,1998,74.13
lva,1999,74.27
lva,2000,75.96
lva,2001,75.68
lva,2002,76.53
lva,2003,77.08
lva,2004,79.96
lva,2005,79.81
lva,2006,82.42
lva,2007,83.76
lva,2008,84.16
lva,2009,82.82
lva,2010,82.32
lva,2011,83.7
lva,2012,84.26
lva,2013,81.92
lva,2014,81.49
lva,2015,82.19
lva,2016,83.39
lva,2017,83.05
lva,2018,84.47
lva,2019,84.11
lva,2020,81.66
mac,2009,90.95
mac,2010,89.21
mac,2011,89.06
mac,2012,90.39
mac,2013,88.68
mac,2014,68.32
mac,2015,89.41
mac,2016,88.31
mco,2016,52.78
mda,2010,60.95
mda,2011,59.74
mda,2012,59.98
mda,2013,57.64
mda,2014,58.02
mda,2015,58.58
mda,2016,58.19
mda,2017,55.76
mda,2018,56.73
mda,2019,59.82
mda,2020,57.89
mdg,2012,74.85
mdg,2015,61.37
mdv,2009,33.57
mdv,2014,85.54
mdv,2016,73.77
mdv,2019,88.39
mex,2002,70.79
mex,2003,72.35
mex,2004,72.29
mex,2005,74.78
mex,2006,76.01
mex,2007,75.49
mex,2008,75.21
mex,2009,74.94
mex,2010,73.88
mex,2011,73.65
mex,2012,73.2
mex,2013,73.15
mex,2014,72.08
mex,2015,71.43
mex,2016,71.51
mex,2017,70.69
mex,2018,70.32
mex,2019,70.72
mex,2020,66.96
mhl,2019,67.78
mkd,2006,83.66
mkd,2007,82.93
mkd,2008,81.55
mkd,2009,82.44
mkd,2010,83.55
mkd,2011,84.33
mkd,2012,81.13
mkd,2013,81.83
mkd,2014,79.41
mkd,2015,80.73
mkd,2016,81
mkd,2017,82.69
mkd,2018,82.78
mkd,2019,81.66
mkd,2020,81.53
mli,2013,69.88
mli,2014,60.47
mli,2015,63.79
mli,2016,69.12
mli,2017,76.92
mli,2018,69.67
mlt,2000,86.34
mlt,2001,74.18
mlt,2002,77.75
mlt,2003,76.06
mlt,2004,75.6
mlt,2005,73.43
mlt,2006,71.08
mlt,2007,74.47
mlt,2008,73.74
mlt,2009,73.38
mlt,2010,73.83
mlt,2011,79.16
mlt,2012,79.21
mlt,2013,80.4
mlt,2014,81.09
mlt,2015,82.15
mlt,2016,81.36
mlt,2017,82.9
mlt,2018,84.02
mlt,2019,79.51
mlt,2020,83.82
mmr,2015,69.34
mmr,2017,62.82
mmr,2018,62.74
mmr,2019,53.24
mne,2011,78.33
mne,2012,78.69
mne,2013,80.91
mne,2014,81.63
mne,2015,81.55
mne,2016,79.92
mne,2017,80.76
mne,2018,81.5
mne,2019,81.51
mne,2020,78.66
mng,2008,71.23
mng,2009,76.34
mng,2010,72.96
mng,2011,72.79
mng,2012,70.84
mng,2013,68.87
mng,2014,69.88
mng,2015,67.68
mng,2016,66.02
mng,2017,67.19
mng,2018,62.23
mng,2019,62.86
mng,2020,64.16
moz,2015,69.04
mrt,2012,60.25
mrt,2017,64.46
mus,2001,57.28
mus,2002,56.38
mus,2003,60.4
mus,2004,60.29
mus,2005,64.5
mus,2006,59.27
mus,2007,57.31
mus,2008,57.51
mus,2009,57.52
mus,2010,57.34
mus,2012,63.84
mus,2013,69.07
mus,2014,69.55
mus,2015,71.59
mus,2016,71
mus,2017,72.97
mus,2018,73.62
mus,2019,73.06
mus,2020,86.91
mwi,2005,79.28
mwi,2011,61.1
mwi,2013,84.62
mwi,2017,61.03
mwi,2020,58.48
mys,2011,61.76
mys,2012,61.85
mys,2013,63.5
mys,2014,64.85
mys,2015,65.44
mys,2016,65.94
mys,2017,65.83
mys,2018,66.78
mys,2019,67.51
mys,2020,72.7
nam,2010,79.53
nam,2012,84.76
nam,2013,85.38
nam,2014,85.62
nam,2016,73.31
nam,2018,76.44
ner,2011,65.01
ner,2014,54.81
ner,2017,47.26
nga,2016,73.68
nga,2019,69.93
nic,2001,77.87
nic,2005,82.79
nic,2012,86.74
nic,2014,81.63
nld,1996,76.93
nld,1997,78.56
nld,1998,76.58
nld,1999,77.17
nld,2000,76.89
nld,2001,77.39
nld,2002,76.89
nld,2003,77.73
nld,2004,78.43
nld,2005,78.33
nld,2006,78.36
nld,2007,78.84
nld,2008,79
nld,2009,78.48
nld,2010,79.55
nld,2011,79.49
nld,2012,80.12
nld,2013,81.55
nld,2014,80.49
nld,2015,80.4
nld,2016,79.67
nld,2017,80.01
nld,2018,80.44
nld,2019,79.89
nld,2020,80.04
nld_curacao,2018,68.96
nor,1996,82.18
nor,1997,85.87
nor,1998,86.14
nor,1999,84.67
nor,2000,84.61
nor,2001,83.49
nor,2002,85.06
nor,2003,83.78
nor,2004,85.45
nor,2005,85.28
nor,2006,85.02
nor,2007,85.88
nor,2008,86.72
nor,2009,86.31
nor,2010,85.5
nor,2011,85.12
nor,2012,84.76
nor,2013,83.98
nor,2014,84.65
nor,2015,84.21
nor,2016,83.98
nor,2017,83.42
nor,2018,82.45
nor,2019,82.99
nor,2020,83.44
npl,2008,63.1
npl,2017,56.25
nru,2013,91.18
nzl,2013,70.49
nzl,2014,80.12
nzl,2015,80.39
nzl,2016,80.02
nzl,2017,80.95
nzl,2018,80.17
nzl,2019,81.36
nzl,2020,81.02
omn,2018,35.6
pak,2006,28.86
pak,2007,27.78
pak,2008,25.94
pak,2009,26.92
pak,2010,26.87
pak,2011,27.13
pak,2013,32.9
pak,2014,29.26
pak,2015,39.11
pak,2018,29.21
pak,2019,36.03
pan,1997,69.09
pan,2003,71.33
pan,2008,73.51
pan,2010,79.46
pan,2011,80.06
pan,2012,80.24
pan,2013,79.44
pan,2014,79.45
pan,2015,81.52
pan,2016,77.95
pan,2017,78.45
pan,2018,79.37
pan,2019,81.6
pan,2020,77.8
pan,2021,75.62
per,2002,77.13
per,2003,74.94
per,2004,76.43
per,2005,74.53
