geo,time,lp_lpi_cust_xq
gtm,2016,2.47183
gtm,2018,2.16
guy,2007,1.95
guy,2010,2.02
guy,2012,2.29
guy,2014,2.45758
guy,2016,2.39636
guy,2018,2.55
hkg,2007,3.84
hkg,2010,3.83
hkg,2012,3.97
hkg,2014,3.7242
hkg,2016,3.93772
hkg,2018,3.81
hnd,2007,2.48
hnd,2010,2.39
hnd,2012,2.39
hnd,2014,2.69565
hnd,2016,2.21235
hnd,2018,2.24
hrv,2007,2.36
hrv,2010,2.62
hrv,2012,3.06
hrv,2014,2.94737
hrv,2016,3.07424
hrv,2018,2.98
hti,2007,2.08
hti,2010,2.12
hti,2012,1.78
hti,2014,2.25
hti,2016,1.6989
hti,2018,2.03
hun,2007,3
hun,2010,2.83
hun,2012,2.82
hun,2014,2.97024
hun,2016,3.01676
hun,2018,3.35
idn,2007,2.73
idn,2010,2.43
idn,2012,2.53
idn,2014,2.86957
idn,2016,2.68843
idn,2018,2.67
ind,2007,2.69
ind,2010,2.7
ind,2012,2.77
ind,2014,2.71728
ind,2016,3.17442
ind,2018,2.96
irl,2007,3.82
irl,2010,3.6
irl,2012,3.4
irl,2014,3.8
irl,2016,3.47425
irl,2018,3.36
irn,2007,2.5
irn,2010,2.22
irn,2012,2.19
irn,2016,2.33333
irn,2018,2.62
irq,2010,2.07
irq,2012,1.75
irq,2014,1.98065
irq,2016,2.00874
irq,2018,1.84
isl,2010,3.22
isl,2012,3.53
isl,2014,3.53846
isl,2016,3.12853
isl,2018,2.77
isr,2007,2.73
isr,2010,3.12
isr,2014,3.10119
isr,2016,3.5
isr,2018,3.32
ita,2007,3.19
ita,2010,3.38
ita,2012,3.34
ita,2014,3.35569
ita,2016,3.45303
ita,2018,3.47
jam,2007,2.35
jam,2010,2
jam,2012,2.22
jam,2014,2.87751
jam,2016,2.36615
jam,2018,2.42
jor,2007,2.62
jor,2010,2.31
jor,2012,2.27
jor,2014,2.59621
jor,2016,2.5528
jor,2018,2.49
jpn,2007,3.79
jpn,2010,3.79
jpn,2012,3.72
jpn,2014,3.78114
jpn,2016,3.84845
jpn,2018,3.99
kaz,2007,1.91
kaz,2010,2.38
kaz,2012,2.58
kaz,2014,2.32611
kaz,2016,2.51625
kaz,2018,2.66
ken,2007,2.33
ken,2010,2.23
ken,2012,2.08
ken,2014,1.95764
ken,2016,3.16862
ken,2018,2.65
kgz,2007,2.2
kgz,2010,2.44
kgz,2012,2.45
kgz,2014,2.03178
kgz,2016,1.8
kgz,2018,2.75
khm,2007,2.19
khm,2010,2.28
khm,2012,2.3
khm,2014,2.66667
khm,2016,2.61538
khm,2018,2.37
kor,2007,3.22
kor,2010,3.33
kor,2012,3.42
kor,2014,3.47157
kor,2016,3.45309
kor,2018,3.4
kwt,2007,2.5
kwt,2010,3.03
kwt,2012,2.73
kwt,2014,2.69466
kwt,2016,2.83333
kwt,2018,2.73
lao,2007,2.08
lao,2010,2.17
lao,2012,2.38
lao,2014,2.44514
lao,2016,1.84615
lao,2018,2.61
lbn,2007,2.17
lbn,2010,3.27
lbn,2012,2.21
lbn,2014,2.29444
lbn,2016,2.72727
lbn,2018,2.38
lbr,2007,2.4
lbr,2010,2.28
lbr,2012,2
lbr,2014,2.57143
lbr,2016,2.06572
lbr,2018,1.91
lby,2010,2.15
lby,2012,2.08
lby,2014,2.41176
lby,2016,1.88415
lby,2018,1.95
lka,2007,2.25
lka,2010,1.96
lka,2012,2.58
lka,2014,2.5625
lka,2018,2.58
lso,2007,2.4
lso,2012,2
lso,2014,2.22222
lso,2016,1.91291
lso,2018,2.36
ltu,2007,2.64
ltu,2010,2.79
ltu,2012,2.73
ltu,2014,3.04467
ltu,2016,3.41523
ltu,2018,2.85
lux,2007,3.67
lux,2010,4.04
lux,2012,3.54
lux,2014,3.81818
lux,2016,3.9
lux,2018,3.53
lva,2007,2.53
lva,2010,2.94
lva,2012,2.71
lva,2014,3.22158
lva,2016,3.11077
lva,2018,2.8
mar,2007,2.2
mar,2012,2.64
mar,2016,2.22222
mar,2018,2.33
mda,2007,2.14
mda,2010,2.11
mda,2012,2.17
mda,2014,2.46154
mda,2016,2.39397
mda,2018,2.25
mdg,2007,2.24
mdg,2010,2.35
mdg,2012,2.8
mdg,2014,2.05682
mdg,2016,2.33157
mdg,2018,2.32
mdv,2010,2.25
mdv,2012,2.24
mdv,2014,2.95286
mdv,2016,2.38745
mdv,2018,2.4
mex,2007,2.5
mex,2010,2.55
mex,2012,2.63
mex,2014,2.68876
mex,2016,2.87762
mex,2018,2.77
mkd,2007,2
mkd,2010,2.55
mkd,2012,2.24
mkd,2014,2.35162
mkd,2016,2.21156
mkd,2018,2.45
mli,2007,2.17
mli,2010,2.08
mli,2014,2.08333
mli,2016,2.44628
mli,2018,2.15
mlt,2010,2.65
mlt,2012,2.81
mlt,2014,3
mlt,2016,2.78095
mlt,2018,2.7
mmr,2007,2.07
mmr,2010,1.94
mmr,2012,2.24
mmr,2014,1.96845
mmr,2016,2.42857
mmr,2018,2.17
mne,2010,2.17
mne,2012,2.31
mne,2014,2.83223
mne,2016,2.21507
mne,2018,2.56
mng,2007,2
mng,2010,1.81
mng,2012,1.98
mng,2014,2.2
mng,2016,2.39238
mng,2018,2.22
moz,2007,2.23
moz,2010,1.95
moz,2014,2.26122
moz,2016,2.49172
mrt,2007,2.4
mrt,2012,2.33
mrt,2014,1.925
mrt,2016,2.14286
mrt,2018,2.2
mus,2007,2
mus,2010,2.71
mus,2012,2.58
mus,2014,2.25
mus,2018,2.7
mwi,2007,2.25
mwi,2012,2.51
mwi,2014,2.78571
mwi,2018,2.43
mys,2007,3.36
mys,2010,3.11
mys,2012,3.28
mys,2014,3.36772
mys,2016,3.16715
mys,2018,2.9
nam,2007,2.14
nam,2010,1.68
nam,2012,2.73
nam,2014,2.27273
nam,2016,2.64707
ner,2007,1.67
ner,2010,2.06
ner,2012,2.67
ner,2014,2.48554
ner,2016,2.58741
ner,2018,1.77
nga,2007,2.23
nga,2010,2.17
nga,2012,1.97
nga,2014,2.34863
nga,2016,2.46198
nga,2018,1.97
nic,2007,2.14
nic,2010,2.24
nic,2014,2.66383
nic,2016,2.48062
nld,2007,3.99
nld,2010,3.98
nld,2012,3.85
nld,2014,3.964
nld,2016,4.12291
nld,2018,3.92
nor,2007,3.76
nor,2010,3.86
nor,2012,3.46
nor,2014,4.20779
nor,2016,3.56724
nor,2018,3.52
npl,2007,1.83
npl,2010,2.07
npl,2012,2.2
npl,2014,2.3125
npl,2016,1.93333
npl,2018,2.29
nzl,2007,3.57
nzl,2010,3.64
nzl,2012,3.47
nzl,2014,3.92144
nzl,2016,3.18007
nzl,2018,3.71
omn,2007,2.71
omn,2010,3.38
omn,2012,3.1
omn,2014,2.63462
omn,2016,2.76471
omn,2018,2.87
pak,2007,2.41
pak,2010,2.05
pak,2012,2.85
pak,2014,2.84211
pak,2016,2.66162
pak,2018,2.12
pan,2007,2.68
pan,2010,2.76
pan,2012,2.56
pan,2014,3.14971
pan,2016,3.13333
pan,2018,2.87
per,2007,2.68
per,2010,2.5
per,2012,2.68
per,2014,2.46875
per,2016,2.75598
per,2018,2.53
phl,2007,2.64
phl,2010,2.67
phl,2012,2.62
phl,2014,3
phl,2016,2.60848
phl,2018,2.53
png,2007,2
png,2010,2.02
png,2012,1.98
png,2014,2.4
png,2016,2.55045
png,2018,2.32
pol,2007,2.88
pol,2010,3.12
pol,2012,3.3
pol,2014,3.25534
pol,2016,3.26669
pol,2018,3.25
prt,2007,3.24
prt,2010,3.31
prt,2012,3.19
prt,2014,3.26316
prt,2016,3.37322
prt,2018,3.17
pry,2007,2.2
pry,2010,2.37
pry,2012,2.36
pry,2014,2.49361
pry,2016,2.38413
pry,2018,2.64
qat,2007,2.44
qat,2010,2.25
qat,2012,3.12
qat,2014,3.20682
qat,2016,3.55123
qat,2018,3
rou,2007,2.6
rou,2010,2.36
rou,2012,2.65
rou,2014,2.83262
rou,2016,3
rou,2018,2.58
rus,2007,1.94
rus,2010,2.15
rus,2012,2.04
rus,2014,2.2
rus,2016,2.00643
rus,2018,2.42
rwa,2007,1.8
rwa,2010,1.63
rwa,2012,2.19
rwa,2014,2.5
rwa,2016,2.93345
rwa,2018,2.67
sau,2007,2.72
sau,2010,2.91
sau,2012,2.79
sau,2014,2.85644
sau,2016,2.69137
sau,2018,2.66
sdn,2007,2.36
sdn,2010,2.02
sdn,2012,2.14
sdn,2014,1.86654
sdn,2016,2.23411
sdn,2018,2.14
sen,2007,2.38
sen,2010,2.45
sen,2012,2.46
sen,2014,2.61111
sen,2016,2.31474
sen,2018,2.17
sgp,2007,3.9
sgp,2010,4.02
sgp,2012,4.1
sgp,2014,4.00711
sgp,2016,4.17894
sgp,2018,3.89
slb,2007,1.73
slb,2010,2.08
slb,2012,2.37
slb,2014,2.49268
slb,2016,2.6
slb,2018,2.77
sle,2007,1.58
sle,2010,2.17
sle,2012,1.73
sle,2016,1.90909
sle,2018,1.82
slv,2007,2.38
slv,2010,2.48
slv,2012,2.28
slv,2014,2.9323
slv,2016,2.37366
slv,2018,2.3
som,2007,2.43
som,2010,1.33
som,2014,2
som,2016,1.28571
som,2018,2
srb,2007,2.33
srb,2010,2.19
srb,2012,2.39
srb,2014,2.37066
srb,2016,2.5
srb,2018,2.6
stp,2007,2.5
stp,2012,2.33
stp,2014,2.41667
stp,2016,2.23988
stp,2018,2.71
svk,2007,2.61
svk,2010,2.79
svk,2012,2.88
svk,2014,2.88889
svk,2016,3.27778
svk,2018,2.79
svn,2007,2.79
svn,2010,2.59
svn,2012,3.05
svn,2014,3.11384
svn,2016,2.88235
svn,2018,3.42
swe,2007,3.85
swe,2010,3.88
swe,2012,3.68
swe,2014,3.75
swe,2016,3.91551
swe,2018,4.05
syr,2007,2.17
syr,2010,2.37
syr,2012,2.33
syr,2014,2.07101
syr,2016,1.11111
syr,2018,1.82
tcd,2007,2
tcd,2010,2.27
tcd,2012,1.86
tcd,2014,2.46296
tcd,2016,2.07726
tcd,2018,2.15
tgo,2007,2.1
tgo,2010,2.4
tgo,2012,2.29
tgo,2014,2.09091
tgo,2016,2.49079
tgo,2018,2.31
tha,2007,3.03
tha,2010,3.02
tha,2012,2.96
tha,2014,3.20915
tha,2016,3.10507
tha,2018,3.14
tjk,2007,1.91
tjk,2010,1.9
tjk,2012,2.43
tjk,2014,2.35221
tjk,2016,1.93333
tjk,2018,1.92
tkm,2010,2.14
tkm,2014,2.31443
tkm,2016,2
tkm,2018,2.35
tls,2007,1.63
tto,2016,2.37772
tto,2018,2.42
tun,2007,2.83
tun,2010,2.43
tun,2012,3.12
tun,2014,2.01599
tun,2016,1.96389
tun,2018,2.38
tur,2007,3
tur,2010,2.82
tur,2012,3.16
tur,2014,3.23265
tur,2016,3.18155
tur,2018,2.71
tza,2007,2.07
tza,2010,2.42
tza,2012,2.17
tza,2014,2.1875
tza,2016,2.77566
uga,2007,2.21
uga,2010,2.84
uga,2016,2.97229
uga,2018,2.61
ukr,2007,2.22
ukr,2010,2.02
ukr,2012,2.41
ukr,2014,2.69078
ukr,2016,2.30367
ukr,2018,2.49
ury,2007,2.29
ury,2010,2.71
ury,2012,2.99
ury,2014,2.38889
ury,2016,2.78127
ury,2018,2.51
usa,2007,3.52
usa,2010,3.68
usa,2012,3.67
usa,2014,3.72853
usa,2016,3.75249
usa,2018,3.78
uzb,2007,1.94
uzb,2010,2.2
uzb,2012,2.25
uzb,2014,1.8
uzb,2016,2.31897
uzb,2018,2.1
ven,2007,2.37
ven,2010,2.06
ven,2012,2.1
ven,2014,2.3913
ven,2016,1.98544
ven,2018,1.79
vnm,2007,2.89
vnm,2010,2.68
vnm,2012,2.65
vnm,2014,2.80918
vnm,2016,2.75055
vnm,2018,2.95
yem,2007,2.18
yem,2010,2.46
yem,2012,2.29
yem,2014,1.625
yem,2018,2.4
zaf,2007,3.22
zaf,2010,3.22
zaf,2012,3.35
zaf,2014,3.10781
zaf,2016,3.59546
zaf,2018,3.17
zmb,2007,2.08
zmb,2010,2.17
zmb,2014,2.53921
zmb,2016,2.24602
zmb,2018,2.18
zwe,2007,1.92
zwe,2012,2.31
zwe,2014,1.88889
zwe,2016,1.99524
zwe,2018,2
