geo,time,sh_prg_anem
cpv,2016,36.5
cpv,2017,35.6
cpv,2018,34.7
cpv,2019,33.9
cri,2000,19.5
cri,2001,19.4
cri,2002,19.2
cri,2003,19.1
cri,2004,18.9
cri,2005,18.7
cri,2006,18.4
cri,2007,18.2
cri,2008,17.9
cri,2009,17.5
cri,2010,17.3
cri,2011,17.2
cri,2012,17.1
cri,2013,17.1
cri,2014,17.1
cri,2015,17.1
cri,2016,17.2
cri,2017,17.3
cri,2018,17.4
cri,2019,17.6
cub,2000,29
cub,2001,28.7
cub,2002,28.3
cub,2003,28
cub,2004,27.6
cub,2005,26.9
cub,2006,26.2
cub,2007,25.7
cub,2008,25.2
cub,2009,24.7
cub,2010,24.1
cub,2011,23.7
cub,2012,23.4
cub,2013,23.2
cub,2014,22.9
cub,2015,22.7
cub,2016,22.4
cub,2017,22.3
cub,2018,22.2
cub,2019,22.1
cyp,2000,19.2
cyp,2001,18.8
cyp,2002,18.5
cyp,2003,18.3
cyp,2004,18.1
cyp,2005,18
cyp,2006,17.9
cyp,2007,17.8
cyp,2008,17.7
cyp,2009,17.6
cyp,2010,17.6
cyp,2011,17.6
cyp,2012,17.7
cyp,2013,17.7
cyp,2014,17.8
cyp,2015,18
cyp,2016,18.1
cyp,2017,18.3
cyp,2018,18.4
cyp,2019,18.5
cze,2000,24
cze,2001,23.7
cze,2002,23.4
cze,2003,23.3
cze,2004,23
cze,2005,22.8
cze,2006,22.6
cze,2007,22.5
cze,2008,22.3
cze,2009,22.3
cze,2010,22.3
cze,2011,22.3
cze,2012,22.3
cze,2013,22.4
cze,2014,22.5
cze,2015,22.6
cze,2016,22.6
cze,2017,22.6
cze,2018,22.7
cze,2019,22.7
deu,2000,16.2
deu,2001,15.9
deu,2002,15.7
deu,2003,15.6
deu,2004,15.4
deu,2005,15.3
deu,2006,15.2
deu,2007,15.1
deu,2008,15
deu,2009,15
deu,2010,14.9
deu,2011,15
deu,2012,15
deu,2013,15.2
deu,2014,15.3
deu,2015,15.6
deu,2016,15.8
deu,2017,16
deu,2018,16.3
deu,2019,16.5
dji,2000,42.6
dji,2001,42.4
dji,2002,41.7
dji,2003,41.1
dji,2004,40.3
dji,2005,39.6
dji,2006,39
dji,2007,38.7
dji,2008,38.3
dji,2009,37.9
dji,2010,37.6
dji,2011,37.4
dji,2012,37.4
dji,2013,37.3
dji,2014,37.2
dji,2015,37.2
dji,2016,37.2
dji,2017,37.1
dji,2018,37.1
dji,2019,37
dma,2000,30.5
dma,2001,29.7
dma,2002,28.9
dma,2003,28.1
dma,2004,27.5
dma,2005,26.8
dma,2006,26.4
dma,2007,26
dma,2008,25.6
dma,2009,25.2
dma,2010,24.9
dma,2011,24.5
dma,2012,24.2
dma,2013,23.8
dma,2014,23.6
dma,2015,23.5
dma,2016,23.4
dma,2017,23.2
dma,2018,23.3
dma,2019,23.4
dnk,2000,17.9
dnk,2001,17.7
dnk,2002,17.6
dnk,2003,17.3
dnk,2004,17
dnk,2005,16.9
dnk,2006,16.8
dnk,2007,16.6
dnk,2008,16.5
dnk,2009,16.4
dnk,2010,16.3
dnk,2011,16.4
dnk,2012,16.5
dnk,2013,16.4
dnk,2014,16.5
dnk,2015,16.5
dnk,2016,16.6
dnk,2017,16.7
dnk,2018,16.7
dnk,2019,16.7
dom,2000,36.3
dom,2001,35.9
dom,2002,35.4
dom,2003,34.9
dom,2004,34.3
dom,2005,33.5
dom,2006,32.6
dom,2007,31.7
dom,2008,31
dom,2009,30.5
dom,2010,30.1
dom,2011,29.8
dom,2012,29.4
dom,2013,29.1
dom,2014,29
dom,2015,28.7
dom,2016,28.3
dom,2017,27.9
dom,2018,27.7
dom,2019,27.5
dza,2000,37.1
dza,2001,36.7
dza,2002,36.3
dza,2003,36
dza,2004,35.7
dza,2005,35.4
dza,2006,35.1
dza,2007,34.8
dza,2008,34.5
dza,2009,34.2
dza,2010,34
dza,2011,33.8
dza,2012,33.6
dza,2013,33.5
dza,2014,33.5
dza,2015,33.4
dza,2016,33.3
dza,2017,33.3
dza,2018,33.2
dza,2019,33.1
ecu,2000,29.8
ecu,2001,29
ecu,2002,28.3
ecu,2003,27.7
ecu,2004,27
ecu,2005,26.5
ecu,2006,25.8
ecu,2007,25.1
ecu,2008,24.4
ecu,2009,24
ecu,2010,23.5
ecu,2011,22.9
ecu,2012,22.5
ecu,2013,22.2
ecu,2014,22.2
ecu,2015,22.2
ecu,2016,22.1
ecu,2017,22.2
ecu,2018,22.2
ecu,2019,22.3
egy,2000,29.9
egy,2001,29.8
egy,2002,29.9
egy,2003,30
egy,2004,29.8
egy,2005,29.7
egy,2006,29.6
egy,2007,29.5
egy,2008,29.3
egy,2009,28.8
egy,2010,28.5
egy,2011,28.1
egy,2012,28
egy,2013,28.1
egy,2014,27.8
egy,2015,27.1
egy,2016,26.7
egy,2017,26.4
egy,2018,26.2
egy,2019,26
eri,2000,45
eri,2001,44.7
eri,2002,44.4
eri,2003,44.2
eri,2004,43.9
eri,2005,43.6
eri,2006,43.2
eri,2007,42.8
eri,2008,42.4
eri,2009,42
eri,2010,41.7
eri,2011,41.5
eri,2012,41.3
eri,2013,41.2
eri,2014,41.1
eri,2015,41
eri,2016,41
eri,2017,40.9
eri,2018,40.8
eri,2019,40.8
esp,2000,19
esp,2001,18.7
esp,2002,18.5
esp,2003,18.4
esp,2004,18.3
esp,2005,18.3
esp,2006,18.3
esp,2007,18.4
esp,2008,18.4
esp,2009,18.4
esp,2010,18.4
esp,2011,18.5
esp,2012,18.6
esp,2013,18.7
esp,2014,18.7
esp,2015,18.8
esp,2016,19
esp,2017,19.1
esp,2018,19.1
esp,2019,19.2
est,2000,25.8
est,2001,25.5
est,2002,25.3
est,2003,25.1
est,2004,24.8
est,2005,24.5
est,2006,24.3
est,2007,23.9
est,2008,23.5
est,2009,23.3
est,2010,23.2
est,2011,23.1
est,2012,23.1
est,2013,23
est,2014,23.1
est,2015,23.1
est,2016,23.1
est,2017,23.1
est,2018,23.2
est,2019,23.3
eth,2000,36.8
eth,2001,36.4
eth,2002,35.8
eth,2003,35.4
eth,2004,34.7
eth,2005,33.8
eth,2006,33
eth,2007,32
eth,2008,30.9
eth,2009,29.9
eth,2010,29.2
eth,2011,28.6
eth,2012,28.3
eth,2013,28.1
eth,2014,28.1
eth,2015,28.3
eth,2016,28.4
eth,2017,28.5
eth,2018,28.8
eth,2019,29
fin,2000,16.9
fin,2001,16.6
fin,2002,16.3
fin,2003,16.1
fin,2004,15.9
fin,2005,15.7
fin,2006,15.5
fin,2007,15.4
fin,2008,15.3
fin,2009,15.2
fin,2010,15.2
fin,2011,15.2
fin,2012,15.3
fin,2013,15.4
fin,2014,15.5
fin,2015,15.6
fin,2016,15.8
fin,2017,16
fin,2018,16.1
fin,2019,16.3
fji,2000,46.1
fji,2001,45.9
fji,2002,45.8
fji,2003,45.6
fji,2004,45.5
fji,2005,45.3
fji,2006,45.1
fji,2007,44.8
fji,2008,44.5
fji,2009,44.3
fji,2010,44
fji,2011,43.8
fji,2012,43.5
fji,2013,43.2
fji,2014,42.9
fji,2015,42.6
fji,2016,42.4
fji,2017,42.1
fji,2018,41.7
fji,2019,41.4
fra,2000,14.8
fra,2001,14.6
fra,2002,14.5
fra,2003,14.5
fra,2004,14.6
fra,2005,14.6
fra,2006,14.6
fra,2007,14.6
fra,2008,14.6
fra,2009,14.6
fra,2010,14.5
fra,2011,14.6
fra,2012,14.7
fra,2013,14.9
fra,2014,15.1
fra,2015,15.3
fra,2016,15.5
fra,2017,15.8
fra,2018,16
fra,2019,16.2
fsm,2000,36.7
fsm,2001,36.6
fsm,2002,36.5
fsm,2003,36.5
fsm,2004,36.4
fsm,2005,36.3
fsm,2006,36.2
fsm,2007,36.1
fsm,2008,35.9
fsm,2009,35.7
fsm,2010,35.6
fsm,2011,35.6
fsm,2012,35.5
fsm,2013,35.5
fsm,2014,35.4
fsm,2015,35.4
fsm,2016,35.5
fsm,2017,35.4
fsm,2018,35.4
fsm,2019,35.3
gab,2000,57.4
gab,2001,57.4
gab,2002,57.3
gab,2003,57.2
gab,2004,57
gab,2005,56.9
gab,2006,56.7
gab,2007,56.4
gab,2008,56.2
gab,2009,55.9
gab,2010,55.7
gab,2011,55.3
gab,2012,55
gab,2013,54.6
gab,2014,54.3
gab,2015,54
gab,2016,53.6
gab,2017,53.2
gab,2018,52.8
gab,2019,52.5
gbr,2000,16
gbr,2001,15.7
gbr,2002,15.4
gbr,2003,15.2
gbr,2004,15.1
gbr,2005,15
gbr,2006,14.9
gbr,2007,14.9
gbr,2008,14.9
gbr,2009,14.9
gbr,2010,15
gbr,2011,15.1
gbr,2012,15.2
gbr,2013,15.2
gbr,2014,15.4
gbr,2015,15.5
gbr,2016,15.8
gbr,2017,16
gbr,2018,16.2
gbr,2019,16.5
geo,2000,29.9
geo,2001,29.7
geo,2002,29.4
geo,2003,29.2
geo,2004,28.7
geo,2005,28.6
geo,2006,28.6
geo,2007,28.4
geo,2008,28.3
geo,2009,28.3
geo,2010,28.1
geo,2011,27.9
geo,2012,27.8
geo,2013,27.8
geo,2014,27.8
geo,2015,27.8
geo,2016,27.7
geo,2017,27.7
geo,2018,27.8
geo,2019,28
gha,2000,55.2
gha,2001,55.2
gha,2002,55.3
gha,2003,55.3
gha,2004,55.2
gha,2005,55.1
gha,2006,54.9
gha,2007,54.7
gha,2008,54.3
gha,2009,54
gha,2010,53.5
gha,2011,53
gha,2012,52.5
gha,2013,52
gha,2014,51.4
gha,2015,50.8
gha,2016,50
gha,2017,49
gha,2018,48.1
gha,2019,47.2
gin,2000,59
gin,2001,58.9
gin,2002,58.8
gin,2003,58.6
gin,2004,58.5
gin,2005,58.3
gin,2006,58
gin,2007,57.8
gin,2008,57.5
gin,2009,57.1
gin,2010,56.8
gin,2011,56.5
gin,2012,56.1
gin,2013,55.8
gin,2014,55.4
gin,2015,55
gin,2016,54.6
gin,2017,54.1
gin,2018,53.6
gin,2019,53
gmb,2000,61.1
gmb,2001,61
gmb,2002,60.9
gmb,2003,60.8
gmb,2004,60.7
gmb,2005,60.5
gmb,2006,60.3
gmb,2007,60.1
gmb,2008,59.8
gmb,2009,59.5
gmb,2010,59.2
gmb,2011,58.9
gmb,2012,58.5
gmb,2013,58.1
gmb,2014,57.7
gmb,2015,57.3
gmb,2016,56.8
gmb,2017,56.2
gmb,2018,55.7
gmb,2019,55.1
gnb,2000,56.6
gnb,2001,56.5
gnb,2002,56.4
gnb,2003,56.3
gnb,2004,56.1
gnb,2005,55.9
gnb,2006,55.8
gnb,2007,55.5
gnb,2008,55.3
gnb,2009,55
gnb,2010,54.7
gnb,2011,54.4
gnb,2012,54.2
gnb,2013,53.9
gnb,2014,53.7
gnb,2015,53.4
gnb,2016,53.2
gnb,2017,52.9
gnb,2018,52.6
gnb,2019,52.3
gnq,2000,56.9
gnq,2001,56.5
gnq,2002,56.2
gnq,2003,55.8
gnq,2004,55.4
gnq,2005,55
gnq,2006,54.5
gnq,2007,54
gnq,2008,53.5
gnq,2009,53
gnq,2010,52.5
gnq,2011,51.9
gnq,2012,51.4
gnq,2013,50.9
gnq,2014,50.4
gnq,2015,49.9
gnq,2016,49.4
gnq,2017,49
gnq,2018,48.5
gnq,2019,48.1
grc,2000,20.2
grc,2001,19.8
grc,2002,19.5
grc,2003,19.3
grc,2004,19.2
grc,2005,19.1
grc,2006,19
grc,2007,18.9
grc,2008,18.9
grc,2009,18.8
grc,2010,18.8
grc,2011,18.8
grc,2012,19
grc,2013,19.1
grc,2014,19.4
grc,2015,19.6
grc,2016,19.8
grc,2017,20
grc,2018,20.2
grc,2019,20.3
grd,2000,27
grd,2001,26.6
grd,2002,26.2
grd,2003,25.7
grd,2004,25.4
grd,2005,25
grd,2006,24.6
grd,2007,24.2
grd,2008,23.8
grd,2009,23.6
grd,2010,23.4
grd,2011,23.1
grd,2012,22.9
grd,2013,22.8
grd,2014,22.7
grd,2015,22.6
grd,2016,22.6
grd,2017,22.5
grd,2018,22.5
grd,2019,22.5
gtm,2000,27.1
gtm,2001,26.2
gtm,2002,25.3
