geo,time,sl_tlf_0714_zs
jor,2016,1.23
kaz,1996,29.7
kaz,2006,3.6
ken,1999,6.7
ken,2000,37.7
ken,2009,34.43889
kgz,1998,8.6
kgz,2006,5.2
kgz,2007,36.6
kgz,2014,41.08055
khm,2001,52.3
khm,2004,48.9
khm,2009,34.5
khm,2012,11.5
lao,2006,18.6
lao,2010,8.6
lbr,2007,37.4
lbr,2010,18.4
lka,1999,17
lka,2009,10.7
lso,2000,30.8481
lso,2002,2.6
mar,1999,13.2
mar,2004,4.5
mda,2000,33.5
mda,2009,29
mdg,2001,25.63487
mdg,2007,26
mex,2004,8.9
mex,2007,8.3
mex,2009,12.2
mex,2010,8
mex,2011,6.8
mex,2013,5.60694
mkd,2006,11.8
mkd,2011,19.8
mli,2005,52.3
mli,2006,49.5
mli,2007,23
mli,2013,29.7
mng,2000,22.02146
mng,2005,12.4
mng,2007,10.1
mng,2012,16
mng,2013,14.69907
moz,1996,1.8
moz,2008,27.4
mrt,2007,21.3
mrt,2011,14.52555
mwi,2004,42.6
mwi,2006,40.3
mwi,2011,25.1
mwi,2014,47.57831
mwi,2015,48.9
nam,1999,15.43829
ner,2007,47.1
ner,2009,55.1
ner,2012,48.5
nga,2007,40.7
nga,2010,21.2
nga,2011,35.06192
nic,2001,12.13068
nic,2005,10.1
nic,2010,31.1
nic,2012,47.74977
npl,1999,47.2
npl,2008,40.6
npl,2014,42.82749
pak,2008,15.9
pak,2011,13
pan,2003,5.1
pan,2008,8.9
pan,2010,5.4
pan,2012,4.5
pan,2014,5.62042
per,2000,24.1
per,2007,42.2
per,2011,20.7
per,2014,26.10942
per,2015,22.56657
phl,2001,13.25641
phl,2011,9
prt,2001,3.63655
pry,2005,15.3
pry,2014,10.42105
rou,2000,1.4
rwa,2000,33.1
rwa,2008,7.5
rwa,2010,19.1
rwa,2011,5.00084
rwa,2014,5.9
sdn,2000,19.13425
sdn,2008,12.5
sdn,2014,30.55503
sen,2005,18.5
sen,2011,13.1
sen,2015,25.13887
sle,2000,65
sle,2005,62.7
sle,2007,14.9
sle,2008,53.7
sle,2010,39.9
sle,2013,59.2
slv,2003,12.66093
slv,2007,7.1
slv,2009,7.4
slv,2011,7.44247
slv,2012,7
slv,2013,7.80006
som,2006,43.5
srb,2005,6.9
srb,2014,17.9379
ssd,2008,45.6
swz,2000,11.2
swz,2010,13.3
syr,2006,6.6
tcd,2004,60.4
tcd,2010,33.1
tcd,2015,55.89562
tgo,2006,38.68966
tgo,2010,48.8
tgo,2014,35.2259
tha,2005,15.1
tha,2006,15.1
tjk,1999,7.3
tjk,2005,8.9
tls,2001,7.6
tls,2007,19.9
tto,2000,3.9
tto,2006,3.4
tun,2012,3.4
tur,1999,4.54135
tur,2006,2.6
tza,2001,40.35216
tza,2006,31.1
tza,2011,29.4
tza,2014,34.73484
uga,2006,38.17033
uga,2012,36.7
ukr,2005,17.3
ukr,2012,5
ury,2009,7.3
uzb,2000,18.09417
uzb,2005,5.1
uzb,2006,5.1
ven,2003,9.1
ven,2005,5.4
ven,2006,5.1
ven,2013,3.91094
vnm,2006,21.3
vnm,2011,13
vnm,2012,10.9
yem,1999,13.14997
yem,2006,18.3
yem,2010,16.1
zaf,1999,27.7
zmb,2005,47.86269
zmb,2008,34.4
zwe,1999,14.3
