geo,time,sl_emp_self_zs
arm,1997,47.44
arm,1998,47.99
arm,1999,48.72
arm,2000,49.33
arm,2001,49.49
arm,2002,49.18
arm,2003,48.46
arm,2004,47.68
arm,2005,46.67
arm,2006,45.36
arm,2007,43.65
arm,2008,42.35
arm,2009,43.14
arm,2010,43.14
arm,2011,44.43
arm,2012,43.63
arm,2013,42.8
arm,2014,44.14
arm,2015,42.8
arm,2016,41.95
arm,2017,40.34
arm,2018,35.58
arm,2019,33.97
aus,1991,20
aus,1992,20.15
aus,1993,20.44
aus,1994,20.25
aus,1995,20.02
aus,1996,19.94
aus,1997,20.14
aus,1998,19.91
aus,1999,19.62
aus,2000,19.98
aus,2001,20.2
aus,2002,20.34
aus,2003,19.87
aus,2004,19.66
aus,2005,19.66
aus,2006,18.96
aus,2007,18.31
aus,2008,18.19
aus,2009,18.24
aus,2010,18.37
aus,2011,17.79
aus,2012,17.18
aus,2013,16.84
aus,2014,17.14
aus,2015,17.06
aus,2016,17.05
aus,2017,16.9
aus,2018,16.46
aus,2019,16.58
aut,1991,14.8
aut,1992,14.68
aut,1993,14.6
aut,1994,14.41
aut,1995,14.25
aut,1996,14.44
aut,1997,13.85
aut,1998,13.8
aut,1999,13.68
aut,2000,13.51
aut,2001,13.42
aut,2002,13.5
aut,2003,13.04
aut,2004,12.55
aut,2005,12.95
aut,2006,13.05
aut,2007,13.69
aut,2008,13.54
aut,2009,13.64
aut,2010,13.81
aut,2011,13.28
aut,2012,13.07
aut,2013,13.2
aut,2014,13.29
aut,2015,13
aut,2016,12.72
aut,2017,12.38
aut,2018,12.01
aut,2019,12.16
aze,1991,52.27
aze,1992,54.16
aze,1993,56.05
aze,1994,58.18
aze,1995,60.57
aze,1996,62.83
aze,1997,64.75
aze,1998,66.29
aze,1999,67.63
aze,2000,68.41
aze,2001,69.03
aze,2002,69.44
aze,2003,69.63
aze,2004,69.66
aze,2005,69.67
aze,2006,69.31
aze,2007,68.74
aze,2008,68.24
aze,2009,67.57
aze,2010,68.06
aze,2011,68.29
aze,2012,66.69
aze,2013,66.51
aze,2014,66.79
aze,2015,67.71
aze,2016,68.19
aze,2017,68.38
aze,2018,68.2
aze,2019,67.85
bdi,1991,81.63
bdi,1992,81.73
bdi,1993,81.96
bdi,1994,82.05
bdi,1995,82.85
bdi,1996,83.81
bdi,1997,83.9
bdi,1998,83.91
bdi,1999,83.98
bdi,2000,84.04
bdi,2001,84.12
bdi,2002,84.19
bdi,2003,84.08
bdi,2004,85.08
bdi,2005,84.76
bdi,2006,85.01
bdi,2007,84.7
bdi,2008,84.98
bdi,2009,84.63
bdi,2010,84.89
bdi,2011,84.95
bdi,2012,84.7
bdi,2013,84.65
bdi,2014,84.64
bdi,2015,85.08
bdi,2016,85.03
bdi,2017,85.39
bdi,2018,85.61
bdi,2019,85.8
bel,1991,17.26
bel,1992,17.86
bel,1993,17.91
bel,1994,17.72
bel,1995,17.94
bel,1996,17.99
bel,1997,17.34
bel,1998,17.11
bel,1999,17.27
bel,2000,16.04
bel,2001,15.22
bel,2002,15.44
bel,2003,15.15
bel,2004,14.7
bel,2005,15.23
bel,2006,15.08
bel,2007,14.83
bel,2008,14.23
bel,2009,14.8
bel,2010,14.36
bel,2011,14.3
bel,2012,14.35
bel,2013,15.08
bel,2014,14.61
bel,2015,15.18
bel,2016,14.84
bel,2017,14.29
bel,2018,14.03
bel,2019,14.23
ben,1991,91.9
ben,1992,91.84
ben,1993,91.82
ben,1994,90.53
ben,1995,90.62
ben,1996,90.56
ben,1997,90.46
ben,1998,90.56
ben,1999,90.39
ben,2000,90.33
ben,2001,90.06
ben,2002,89.99
ben,2003,89.89
ben,2004,90
ben,2005,89.91
ben,2006,89.96
ben,2007,90.01
ben,2008,90.18
ben,2009,90.09
ben,2010,90
ben,2011,90.02
ben,2012,90.03
ben,2013,89.79
ben,2014,89.51
ben,2015,89.19
ben,2016,89.35
ben,2017,88.91
ben,2018,88.67
ben,2019,88.1
bfa,1991,95.72
bfa,1992,95.71
bfa,1993,95.73
bfa,1994,95.72
bfa,1995,95.71
bfa,1996,95.65
bfa,1997,95.48
bfa,1998,95.46
bfa,1999,95.17
bfa,2000,95.13
bfa,2001,95.02
bfa,2002,94.84
bfa,2003,94.37
bfa,2004,94.11
bfa,2005,93.97
bfa,2006,93.59
bfa,2007,92.87
bfa,2008,92.6
bfa,2009,91.8
bfa,2010,90.67
bfa,2011,89.59
bfa,2012,89.04
bfa,2013,88.7
bfa,2014,87.82
bfa,2015,87.49
bfa,2016,86.86
bfa,2017,86.35
bfa,2018,86.07
bfa,2019,85.69
bgd,1991,68.5
bgd,1992,68.46
bgd,1993,68.4
bgd,1994,68.36
bgd,1995,68.24
bgd,1996,68.12
bgd,1997,67.97
bgd,1998,67.75
bgd,1999,67.5
bgd,2000,67.15
bgd,2001,66.75
bgd,2002,66.41
bgd,2003,65.99
bgd,2004,65.53
bgd,2005,64.92
bgd,2006,64.23
bgd,2007,63.73
bgd,2008,63.25
bgd,2009,62.82
bgd,2010,62.34
bgd,2011,61.92
bgd,2012,61.51
bgd,2013,61.17
bgd,2014,60.9
bgd,2015,60.68
bgd,2016,60.6
bgd,2017,60.5
bgd,2018,59.88
bgd,2019,59.27
bgr,1991,15.31
bgr,1992,15.45
bgr,1993,15.61
bgr,1994,15.72
bgr,1995,15.86
bgr,1996,15.9
bgr,1997,16.11
bgr,1998,16.18
bgr,1999,16.43
bgr,2000,16.36
bgr,2001,15.14
bgr,2002,15.11
bgr,2003,15.87
bgr,2004,15.83
bgr,2005,14.04
bgr,2006,13.14
bgr,2007,12.41
bgr,2008,12.4
bgr,2009,12.48
bgr,2010,12.57
bgr,2011,12.11
bgr,2012,11.59
bgr,2013,12.14
bgr,2014,12.49
bgr,2015,12.03
bgr,2016,11.73
bgr,2017,11.9
bgr,2018,11.65
bgr,2019,10.83
bhr,1991,5.53
bhr,1992,5.29
bhr,1993,4.97
bhr,1994,4.79
bhr,1995,4.6
bhr,1996,4.43
bhr,1997,4.27
bhr,1998,4.15
bhr,1999,4.01
bhr,2000,3.83
bhr,2001,3.71
bhr,2002,4.22
bhr,2003,4.12
bhr,2004,4.32
bhr,2005,4.05
bhr,2006,4.09
bhr,2007,3.89
bhr,2008,3.82
bhr,2009,3.73
bhr,2010,2.65
bhr,2011,2.7
bhr,2012,2.72
bhr,2013,2.71
bhr,2014,2.71
bhr,2015,2.69
bhr,2016,2.67
bhr,2017,2.67
bhr,2018,2.68
bhr,2019,2.67
bhs,1991,12.43
bhs,1992,13.24
bhs,1993,13.24
bhs,1994,14.42
bhs,1995,14.39
bhs,1996,16.77
bhs,1997,14.96
bhs,1998,14.83
bhs,1999,16.01
bhs,2000,14.97
bhs,2001,14.06
bhs,2002,15.48
bhs,2003,14.42
bhs,2004,15.11
bhs,2005,14.62
bhs,2006,14.16
bhs,2007,13.82
bhs,2008,13.43
bhs,2009,13.44
bhs,2010,13.85
bhs,2011,14.3
bhs,2012,14.36
bhs,2013,14.59
bhs,2014,14.71
bhs,2015,14.88
bhs,2016,14.93
bhs,2017,15.03
bhs,2018,15.12
bhs,2019,15.17
bih,1991,39.62
bih,1992,40.77
bih,1993,41.38
bih,1994,40.55
bih,1995,39.12
bih,1996,35.6
bih,1997,33.33
bih,1998,31.69
bih,1999,30.6
bih,2000,29.86
bih,2001,29.32
bih,2002,29.05
bih,2003,28.82
bih,2004,28.33
bih,2005,27.92
bih,2006,27.49
bih,2007,26.99
bih,2008,27.52
bih,2009,27.21
bih,2010,26.56
bih,2011,25.25
bih,2012,27.39
bih,2013,25.12
bih,2014,23.05
bih,2015,23.55
bih,2016,24.04
bih,2017,24.56
bih,2018,21.36
bih,2019,24.9
blr,1991,3.18
blr,1992,3.29
blr,1993,3.51
blr,1994,3.75
blr,1995,4
blr,1996,4.25
blr,1997,4.46
blr,1998,4.63
blr,1999,4.76
blr,2000,4.84
blr,2001,4.95
blr,2002,4.95
blr,2003,4.93
blr,2004,4.83
blr,2005,4.74
blr,2006,4.58
blr,2007,4.46
blr,2008,4.3
blr,2009,4.22
blr,2010,4.15
blr,2011,4.03
blr,2012,4
blr,2013,3.98
blr,2014,3.97
blr,2015,4.02
blr,2016,4.06
blr,2017,4.37
blr,2018,4.18
blr,2019,4.27
blz,1991,31.23
blz,1992,31.07
blz,1993,31.07
blz,1994,31.39
blz,1995,31.6
blz,1996,34.09
blz,1997,33.91
blz,1998,33.72
blz,1999,33.3
blz,2000,32.49
blz,2001,32.19
blz,2002,31.88
blz,2003,31.35
blz,2004,30.97
blz,2005,30.61
blz,2006,30.37
blz,2007,30.53
blz,2008,30.56
blz,2009,30.91
blz,2010,31.11
blz,2011,31.39
blz,2012,31.81
blz,2013,32.2
blz,2014,30.75
blz,2015,32.02
blz,2016,33.5
blz,2017,33.22
blz,2018,33.59
blz,2019,34.09
bol,1991,70.2
bol,1992,70.25
bol,1993,70.22
bol,1994,70.16
bol,1995,70.08
bol,1996,69.94
bol,1997,69.6
bol,1998,69.33
bol,1999,68.9
bol,2000,68.06
bol,2001,66.39
bol,2002,67.68
bol,2003,65.54
bol,2004,63.34
bol,2005,64.67
bol,2006,64.81
bol,2007,61.65
bol,2008,60.81
bol,2009,58.07
bol,2010,59.22
bol,2011,60.34
bol,2012,59.1
bol,2013,60.17
bol,2014,62.69
bol,2015,61.1
bol,2016,69.6
bol,2017,68.86
bol,2018,68.53
bol,2019,68.25
bra,1991,37.53
bra,1992,37.86
bra,1993,37.71
bra,1994,37.55
bra,1995,37.42
bra,1996,36.02
bra,1997,36.78
bra,1998,36.92
bra,1999,37.55
bra,2000,37.1
bra,2001,36.8
bra,2002,36.94
bra,2003,37
bra,2004,36.44
bra,2005,36.53
bra,2006,35.74
bra,2007,34.58
bra,2008,33.55
bra,2009,33.05
bra,2010,32.14
bra,2011,31.49
bra,2012,29.88
bra,2013,30.13
bra,2014,30.01
bra,2015,31.3
bra,2016,31.75
bra,2017,32.3
bra,2018,32.75
bra,2019,33.08
brb,1991,12.71
brb,1992,13.01
brb,1993,14.17
brb,1994,12.99
brb,1995,12.88
brb,1996,12.71
brb,1997,12.16
brb,1998,12.61
brb,1999,13.99
brb,2000,12.7
brb,2001,14.06
brb,2002,14.07
brb,2003,14.44
brb,2004,15.24
brb,2005,15.16
brb,2006,14.89
brb,2007,14.88
brb,2008,14.96
brb,2009,15.53
brb,2010,15.95
brb,2011,16.23
brb,2012,16.52
brb,2013,16.76
brb,2014,17
brb,2015,17.01
brb,2016,16.99
brb,2017,17.07
brb,2018,17.23
brb,2019,17.36
brn,1991,5.07
brn,1992,5.13
brn,1993,5.25
brn,1994,5.34
brn,1995,5.4
brn,1996,5.47
brn,1997,5.59
brn,1998,5.77
brn,1999,5.91
brn,2000,6.04
brn,2001,6.21
brn,2002,6.32
brn,2003,6.42
brn,2004,6.56
brn,2005,6.69
brn,2006,6.83
brn,2007,7.02
brn,2008,7.15
brn,2009,7.43
brn,2010,7.64
brn,2011,7.77
brn,2012,7.91
brn,2013,8.1
brn,2014,8.34
brn,2015,8.44
brn,2016,8.63
brn,2017,8.91
brn,2018,7.57
brn,2019,8.98
btn,1991,77.08
btn,1992,76.98
btn,1993,76.94
btn,1994,76.8
btn,1995,76.6
btn,1996,76.41
btn,1997,76.21
btn,1998,75.97
btn,1999,75.64
btn,2000,75.29
btn,2001,74.8
btn,2002,74.12
btn,2003,73.52
btn,2004,72.97
btn,2005,72.39
btn,2006,71.87
btn,2007,71
btn,2008,70.46
btn,2009,69.85
btn,2010,69.11
btn,2011,71.12
btn,2012,70.89
btn,2013,70.8
btn,2014,70.79
btn,2015,72.4
btn,2016,72.39
btn,2017,72.37
btn,2018,72.44
btn,2019,72.11
bwa,1991,38.72
bwa,1992,37.21
bwa,1993,35.52
bwa,1994,33.83
bwa,1995,25.61
bwa,1996,19.71
bwa,1997,20.21
bwa,1998,20.79
bwa,1999,21.56
bwa,2000,22.72
bwa,2001,23.58
bwa,2002,24.41
bwa,2003,25.17
bwa,2004,26.51
bwa,2005,28.04
bwa,2006,29.04
bwa,2007,29.07
bwa,2008,29.03
bwa,2009,30.31
bwa,2010,29.29
bwa,2011,28.44
bwa,2012,27.48
bwa,2013,26.31
bwa,2014,25.66
bwa,2015,25.34
bwa,2016,25.08
bwa,2017,24.6
bwa,2018,24.2
bwa,2019,23.89
caf,1991,92.17
caf,1992,92.35
caf,1993,92.38
caf,1994,92.48
caf,1995,92.49
caf,1996,92.94
caf,1997,93.15
caf,1998,93.19
caf,1999,93.27
caf,2000,93.4
caf,2001,93.43
caf,2002,93.48
caf,2003,93.77
caf,2004,93.69
caf,2005,93.74
caf,2006,93.55
caf,2007,93.39
caf,2008,93.18
caf,2009,92.99
caf,2010,92.9
caf,2011,92.79
caf,2012,92.68
caf,2013,92.98
caf,2014,93.3
caf,2015,93.46
caf,2016,93.48
caf,2017,93.38
caf,2018,93.31
caf,2019,93.16
can,1991,14.75
can,1992,15.14
can,1993,15.72
can,1994,15.53
can,1995,15.67
can,1996,16.2
can,1997,17.1
can,1998,17.18
can,1999,16.95
can,2000,16.13
can,2001,15.26
can,2002,15.2
can,2003,15.4
can,2004,15.43
can,2005,15.61
can,2006,15.27
can,2007,15.5
can,2008,15.58
can,2009,16.1
can,2010,15.81
can,2011,15.46
can,2012,15.36
can,2013,15.43
can,2014,15.31
can,2015,15.38
can,2016,15.32
can,2017,15.24
can,2018,15.33
can,2019,15.23
chanisl,1991,17.17
chanisl,1992,17.13
chanisl,1993,17.06
chanisl,1994,16.95
chanisl,1995,16.86
chanisl,1996,16.76
chanisl,1997,16.62
chanisl,1998,16.48
chanisl,1999,16.32
chanisl,2000,16.05
chanisl,2001,16.04
chanisl,2002,16.04
chanisl,2003,16.1
chanisl,2004,16.05
chanisl,2005,15.95
chanisl,2006,15.73
chanisl,2007,15.46
chanisl,2008,15.43
chanisl,2009,15.58
chanisl,2010,15.49
chanisl,2011,15.42
chanisl,2012,15.35
chanisl,2013,15.24
chanisl,2014,15.12
chanisl,2015,15
chanisl,2016,14.9
chanisl,2017,14.81
chanisl,2018,14.74
chanisl,2019,14.66
che,1991,17.72
che,1992,17.73
che,1993,17.75
che,1994,17.74
che,1995,17.76
che,1996,17.8
che,1997,18.38
che,1998,17.83
che,1999,17.75
che,2000,17.37
che,2001,17.16
che,2002,16.95
che,2003,17.51
che,2004,16.23
che,2005,16.02
che,2006,15.92
che,2007,16.15
che,2008,15.88
che,2009,15.25
che,2010,15.73
che,2011,15.4
che,2012,15.31
che,2013,15.33
che,2014,15.27
che,2015,14.87
che,2016,15.06
che,2017,14.86
che,2018,14.75
che,2019,14.37
chl,1991,31.32
chl,1992,30.99
chl,1993,30.74
chl,1994,30.53
chl,1995,30.09
chl,1996,29.92
chl,1997,29.6
chl,1998,30.81
chl,1999,30.8
chl,2000,30.58
chl,2001,31.39
chl,2002,31.53
chl,2003,31.76
chl,2004,31.84
chl,2005,29.84
chl,2006,28.92
chl,2007,27.87
chl,2008,27.25
chl,2009,26.93
chl,2010,26.49
chl,2011,26.38
chl,2012,25.08
chl,2013,25.42
chl,2014,25.87
chl,2015,25.65
chl,2016,26.47
chl,2017,27.43
chl,2018,27.11
chl,2019,27.22
chn,1991,69.81
chn,1992,68.63
chn,1993,67.4
chn,1994,66.2
chn,1995,65.18
chn,1996,64.32
chn,1997,63.57
chn,1998,63.06
chn,1999,62.56
chn,2000,61.91
chn,2001,61.22
chn,2002,60.38
chn,2003,59.36
chn,2004,58.3
chn,2005,57.05
chn,2006,55.67
chn,2007,54.15
chn,2008,53.01
chn,2009,51.96
chn,2010,50.76
chn,2011,49.75
chn,2012,49.03
chn,2013,48.38
chn,2014,47.83
chn,2015,47.37
chn,2016,46.98
chn,2017,46.6
chn,2018,45.71
chn,2019,44.66
civ,1991,81.78
civ,1992,81.82
civ,1993,81.94
civ,1994,82.19
civ,1995,81.96
civ,1996,81.56
civ,1997,80.8
civ,1998,80.78
civ,1999,80.36
civ,2000,80.52
civ,2001,81.37
civ,2002,81.42
civ,2003,81.48
civ,2004,81.1
civ,2005,80.99
civ,2006,80.62
civ,2007,80.36
civ,2008,79.79
civ,2009,79.15
civ,2010,79.19
civ,2011,79.05
civ,2012,77.82
civ,2013,76.57
civ,2014,75.73
civ,2015,75.49
civ,2016,74.98
civ,2017,73.4
civ,2018,72.25
civ,2019,70.93
cmr,1991,85.08
cmr,1992,85.33
cmr,1993,85.72
cmr,1994,85.79
cmr,1995,85.56
cmr,1996,85.17
cmr,1997,84.3
cmr,1998,83.66
cmr,1999,82.39
cmr,2000,80.73
cmr,2001,79.64
cmr,2002,80.16
cmr,2003,80.8
cmr,2004,80.95
cmr,2005,81.24
cmr,2006,81.33
cmr,2007,81.67
cmr,2008,80.95
cmr,2009,80.96
cmr,2010,80.33
cmr,2011,79.7
cmr,2012,78.81
cmr,2013,78.15
cmr,2014,77.47
cmr,2015,77.02
cmr,2016,76.45
cmr,2017,75.65
cmr,2018,74.92
cmr,2019,74.39
cod,1991,89.66
cod,1992,89.98
cod,1993,90.3
cod,1994,90.57
cod,1995,90.67
cod,1996,89.53
cod,1997,90.86
cod,1998,91.1
cod,1999,91.54
cod,2000,91.45
cod,2001,90.61
cod,2002,90.27
cod,2003,90.62
cod,2004,89.91
cod,2005,89.61
cod,2006,89.28
cod,2007,88.55
cod,2008,87.3
cod,2009,86.78
cod,2010,84.98
cod,2011,83.65
cod,2012,82.54
cod,2013,81.58
cod,2014,80.55
cod,2015,80.24
cod,2016,80.31
cod,2017,79.98
cod,2018,79.17
cod,2019,79.48
cog,1991,83.47
cog,1992,83.52
cog,1993,83.6
cog,1994,83.26
cog,1995,83.28
cog,1996,82.66
cog,1997,82.39
cog,1998,83.18
cog,1999,81.76
cog,2000,79.75
cog,2001,80.51
cog,2002,80.5
cog,2003,80.66
cog,2004,79.7
cog,2005,78.18
cog,2006,77.17
cog,2007,78.2
cog,2008,76.88
cog,2009,78.1
cog,2010,75.55
cog,2011,75.2
cog,2012,75.16
cog,2013,75.74
cog,2014,75.76
cog,2015,77.19
cog,2016,78.19
cog,2017,78.48
cog,2018,78.65
cog,2019,78.36
col,1991,51.6
col,1992,51.55
col,1993,51.43
col,1994,51.26
col,1995,51.11
col,1996,51.16
col,1997,51.1
col,1998,51.26
col,1999,51.91
col,2000,51.78
col,2001,51.84
col,2002,50.19
col,2003,50.3
col,2004,50.95
col,2005,51.02
col,2006,50.86
col,2007,50.68
col,2008,51.02
col,2009,53.12
col,2010,53.4
col,2011,53.55
col,2012,53.18
col,2013,52.34
col,2014,51.51
col,2015,51.05
col,2016,51.13
col,2017,51.1
col,2018,51.39
col,2019,49.57
com,1991,68.17
com,1992,68.04
com,1993,68.16
com,1994,68.63
com,1995,68.87
com,1996,69.27
com,1997,69.46
com,1998,69.78
com,1999,70.08
com,2000,69.84
com,2001,69.99
com,2002,70.08
com,2003,70.1
com,2004,70.07
com,2005,68.85
com,2006,67.68
com,2007,66.3
com,2008,65.17
com,2009,64.02
com,2010,62.91
com,2011,61.77
com,2012,60.74
com,2013,59.54
com,2014,58.57
com,2015,58.6
com,2016,58.51
com,2017,58.38
com,2018,58.45
com,2019,58.43
cpv,1991,56.03
cpv,1992,55.53
cpv,1993,55.31
cpv,1994,54.44
cpv,1995,53.48
cpv,1996,52.28
cpv,1997,51.17
cpv,1998,49.83
cpv,1999,48.61
cpv,2000,46.76
cpv,2001,46.4
cpv,2002,45.87
cpv,2003,44.95
cpv,2004,44.03
cpv,2005,43.55
cpv,2006,43.15
cpv,2007,42.16
cpv,2008,41.01
cpv,2009,40.67
cpv,2010,40.55
cpv,2011,40.42
cpv,2012,40.64
cpv,2013,40.65
cpv,2014,40.6
cpv,2015,40.23
cpv,2016,36.32
cpv,2017,33.79
cpv,2018,31.86
cpv,2019,31.82
cri,1991,30.35
cri,1992,28.08
cri,1993,28.1
cri,1994,28.14
cri,1995,28.62
cri,1996,28.78
cri,1997,30.09
cri,1998,29.06
cri,1999,29.04
cri,2000,29.24
cri,2001,31.17
cri,2002,31.7
cri,2003,30.53
cri,2004,31.23
cri,2005,28.59
cri,2006,29.31
cri,2007,26.96
cri,2008,27.13
cri,2009,27.32
cri,2010,24.81
cri,2011,22.17
cri,2012,22.74
cri,2013,25.5
cri,2014,24.4
cri,2015,24.31
cri,2016,23.44
cri,2017,24.31
cri,2018,25.13
cri,2019,26.64
cub,1991,6.78
cub,1992,7.02
cub,1993,7.36
cub,1994,7.5
cub,1995,7.7
cub,1996,7.4
cub,1997,8.42
cub,1998,9.6
cub,1999,11.06
cub,2000,11.59
cub,2001,12.81
cub,2002,12.85
cub,2003,13.9
cub,2004,14.2
cub,2005,13.89
cub,2006,12.6
cub,2007,11.91
cub,2008,12.17
cub,2009,11.66
cub,2010,11.83
cub,2011,18.53
cub,2012,20.51
cub,2013,21.63
cub,2014,23.09
cub,2015,24.18
cub,2016,25.6
cub,2017,26.9
cub,2018,27.29
cub,2019,27.74
cyp,1991,26
cyp,1992,25.8
cyp,1993,25.76
cyp,1994,25.61
cyp,1995,25.36
cyp,1996,25.29
cyp,1997,25.16
cyp,1998,24.91
cyp,1999,24.57
cyp,2000,24.24
cyp,2001,23.66
cyp,2002,23.04
cyp,2003,23.68
cyp,2004,23.69
cyp,2005,23.22
cyp,2006,21.49
cyp,2007,20.34
cyp,2008,19.95
cyp,2009,19.78
cyp,2010,18.55
cyp,2011,17.95
cyp,2012,16.6
cyp,2013,17.56
cyp,2014,17.89
cyp,2015,14.93
cyp,2016,14.28
cyp,2017,13.19
cyp,2018,13.28
cyp,2019,13.65
cze,1991,11.87
cze,1992,11.91
cze,1993,11.94
cze,1994,11.97
cze,1995,11.98
cze,1996,12.05
cze,1997,12.17
cze,1998,13.43
cze,1999,14.48
cze,2000,15
cze,2001,15.3
cze,2002,15.88
cze,2003,17.41
cze,2004,16.94
cze,2005,16.02
cze,2006,16.14
cze,2007,16.17
cze,2008,16.12
cze,2009,16.77
cze,2010,17.73
cze,2011,18.05
cze,2012,18.41
cze,2013,17.86
cze,2014,17.99
cze,2015,17.34
cze,2016,17.16
cze,2017,17.12
cze,2018,16.94
cze,2019,16.8
deu,1991,9.67
deu,1992,10.03
deu,1993,10.33
deu,1994,10.63
deu,1995,10.72
deu,1996,10.64
deu,1997,10.91
deu,1998,10.98
deu,1999,10.8
deu,2000,10.87
deu,2001,11.13
deu,2002,11.09
deu,2003,11.37
deu,2004,12.07
deu,2005,12.37
deu,2006,12.14
deu,2007,11.99
deu,2008,11.66
deu,2009,11.59
deu,2010,11.57
deu,2011,11.67
deu,2012,11.57
deu,2013,11.2
deu,2014,10.96
deu,2015,10.75
deu,2016,10.43
deu,2017,10.2
deu,2018,9.9
deu,2019,9.61
dji,1991,37.06
dji,1992,37.43
dji,1993,38.01
dji,1994,38.45
dji,1995,38.96
dji,1996,39.62
dji,1997,40.23
dji,1998,40.89
dji,1999,41.26
dji,2000,41.73
dji,2001,42.09
dji,2002,42.2
dji,2003,42.21
dji,2004,42.16
dji,2005,42.06
dji,2006,41.75
dji,2007,41.36
dji,2008,40.87
dji,2009,40.59
dji,2010,40.24
dji,2011,39.59
dji,2012,39.06
dji,2013,38.61
dji,2014,37.98
dji,2015,37.27
dji,2016,36.56
dji,2017,36
dji,2018,35.2
dji,2019,34.45
dnk,1991,10.83
dnk,1992,10.74
dnk,1993,10.76
dnk,1994,9.82
dnk,1995,9.54
dnk,1996,9.33
dnk,1997,9.44
dnk,1998,9.7
dnk,1999,9.28
dnk,2000,9.12
dnk,2001,8.88
dnk,2002,8.87
dnk,2003,9.13
dnk,2004,8.77
dnk,2005,8.89
dnk,2006,9.06
dnk,2007,9.01
dnk,2008,9.17
dnk,2009,9.66
dnk,2010,9.15
dnk,2011,9.1
dnk,2012,9.27
dnk,2013,9.13
dnk,2014,8.97
dnk,2015,8.87
dnk,2016,8.79
dnk,2017,8.34
dnk,2018,8.14
dnk,2019,8.34
dom,1991,42.56
dom,1992,44.27
dom,1993,42.28
dom,1994,39.77
dom,1995,41.69
dom,1996,41.86
dom,1997,41.99
dom,1998,42.2
dom,1999,42.56
dom,2000,42.93
dom,2001,44.5
dom,2002,45.3
dom,2003,45.03
dom,2004,44.12
dom,2005,46.24
dom,2006,45.62
dom,2007,44.9
dom,2008,47.13
dom,2009,47.36
dom,2010,47.51
dom,2011,46.95
dom,2012,45.89
dom,2013,44.81
dom,2014,44.83
dom,2015,44.4
dom,2016,43.07
dom,2017,43.97
dom,2018,43.37
dom,2019,41.77
dza,1991,38.37
dza,1992,38.47
dza,1993,38.68
dza,1994,38.88
dza,1995,38.93
dza,1996,38.91
dza,1997,38.98
dza,1998,38.81
dza,1999,38.61
dza,2000,38.28
dza,2001,37.95
dza,2002,36.51
dza,2003,35.03
