geo,time,per_si_allsi_cov_q2_tot
mex,2008,38.2457
mex,2010,40.81992
mex,2012,34.38349
mex,2014,33.9148
mex,2016,8.46023
mex,2018,9.35171
mhl,1999,28.85597
mli,2009,0.77102
mmr,2017,4.08842
mne,2011,53.74318
mne,2012,49.2007
mne,2013,43.59906
mne,2014,46.3591
mng,2007,40.04045
mng,2009,41.56608
mng,2010,43.95201
mng,2011,38.229
mng,2012,45.30085
mng,2014,45.48649
mng,2016,47.46827
moz,2008,1.19407
moz,2014,2.07717
mrt,2008,10.10468
mus,2006,2.99402
mus,2012,16.10071
mus,2017,14.8969
mwi,2004,0.29854
mwi,2010,0
mwi,2013,0.88742
mwi,2016,0.01217
mys,2008,6.05924
mys,2012,6.79623
mys,2014,7.44728
mys,2016,7.58838
nam,2009,0.5173
nam,2015,3.7003
ner,2011,0.04564
ner,2014,0
nga,2012,1.56556
nga,2015,2.2768
nga,2018,2.07389
nic,2005,19.98153
nic,2009,3.3837
nic,2014,9.50691
npl,2010,2.73074
pak,2007,4.27936
pak,2009,5.87667
pak,2013,3.13001
pak,2015,2.6308
pak,2018,3.92481
pan,2008,9.11947
pan,2009,11.87331
pan,2010,12.54855
pan,2011,11.05769
pan,2012,11.95535
pan,2013,12.84088
pan,2014,12.27664
pan,2015,12.30845
pan,2016,13.59814
pan,2017,14.55039
pan,2018,14.00451
pan,2019,15.64909
per,2008,3.20093
per,2009,2.9855
per,2010,5.31105
per,2011,4.54286
per,2012,5.34504
per,2013,4.78518
per,2014,4.04843
per,2015,3.95028
per,2016,4.83814
per,2017,4.76166
per,2018,4.13666
per,2019,4.34507
phl,2006,3.58505
phl,2013,5.61357
phl,2015,4.86005
plw,2006,40.27949
png,2009,1.24756
pol,2005,47.41376
pol,2006,46.7604
pol,2007,47.0855
pol,2008,47.82925
pol,2009,44.99732
pol,2010,45.74588
pol,2011,44.45324
pol,2012,44.10879
pol,2015,43.04792
pry,2007,2.37064
pry,2008,1.76304
pry,2009,1.30132
pry,2010,1.29764
pry,2011,2.81371
pry,2012,12.06322
pry,2013,2.08918
pry,2014,1.29936
pry,2015,0.77135
pry,2016,1.71594
pry,2017,1.62526
pry,2018,2.97261
pry,2019,0.91116
pse,2016,1.96592
rou,2008,50.1885
rou,2011,46.88131
rou,2012,49.73057
rou,2016,46.14109
rus,2007,46.51924
rus,2014,60.02108
rus,2015,58.60687
rus,2016,63.18766
rus,2017,61.81651
rwa,2005,0
rwa,2010,0.2398
rwa,2013,11.7262
sen,2011,3.84487
slb,2005,0.29838
sle,2018,0.40651
slv,2007,2.44571
slv,2008,5.70912
slv,2009,3.3978
slv,2010,2.57447
slv,2011,3.78818
slv,2012,2.93983
slv,2014,3.14852
slv,2015,1.80705
slv,2016,1.86841
slv,2017,2.45736
slv,2018,2.23476
slv,2019,2.82805
srb,2007,55.96585
srb,2010,62.84372
srb,2013,58.14366
srb,2015,57.59102
svk,2009,50.46233
swz,2016,6.07603
syr,2003,6.87864
tcd,2011,1.91534
tgo,2011,0.76625
tha,2006,7.13604
tha,2009,6.53511
tha,2011,6.95468
tha,2013,7.09079
tha,2017,0.64764
tjk,2011,34.49291
tls,2011,0.51525
ton,2009,0.75667
tur,2004,24.04615
tur,2005,24.1353
tur,2006,25.71733
tur,2007,27.92621
tur,2008,28.11651
tur,2009,26.70823
tur,2010,28.48558
tur,2011,31.80711
tur,2012,31.92649
tur,2013,33.42468
tur,2014,33.37616
tur,2015,35.14774
tur,2016,32.07225
tur,2018,34.00382
tur,2019,32.35504
tza,2010,0.34803
tza,2012,0.63425
tza,2014,0.15509
uga,2005,0.51454
uga,2009,0.10388
uga,2012,0.97848
uga,2016,0.18568
ukr,2006,51.45183
ukr,2011,52.55012
ukr,2012,52.02836
ukr,2013,52.35914
ukr,2015,50.77532
ukr,2016,50.57568
ukr,2018,52.35713
ury,2008,34.79381
ury,2009,33.61285
ury,2010,34.28515
ury,2011,36.73051
ury,2012,34.63949
ury,2015,33.73101
ury,2016,33.51724
ury,2017,34.41715
ury,2018,32.84923
ury,2019,33.06599
uzb,2018,19.05086
ven,2006,5.45766
vnm,2006,7.95509
vnm,2010,5.59155
vnm,2012,6.9327
vnm,2014,7.01815
wsm,2008,33.35636
yem,2005,10.38743
zaf,2005,1.16686
zaf,2010,1.472
zaf,2014,1.96129
zmb,2010,0.28991
zmb,2015,0.35482
zwe,2007,1.21765
zwe,2011,1.46
zwe,2017,1.10061
zwe,2019,5.74792
