geo,time,sl_emp_1524_sp_ne_zs
jpn,1981,41.87
jpn,1982,41.51
jpn,1983,42.18
jpn,1984,41.6
jpn,1985,40.82
jpn,1986,40.88
jpn,1987,40.38
jpn,1988,40.5
jpn,1989,41.2
jpn,1990,42.18
jpn,1991,43.47
jpn,1992,44.54
jpn,1993,44.74
jpn,1994,45
jpn,1995,44.76
jpn,1996,45.13
jpn,1997,45.27
jpn,1998,44.55
jpn,1999,42.94
jpn,2000,42.67
jpn,2001,41.76
jpn,2002,40.83
jpn,2003,40.14
jpn,2004,39.78
jpn,2005,40.66
jpn,2006,41.14
jpn,2007,41.17
jpn,2008,41.19
jpn,2009,39.53
jpn,2010,38.96
jpn,2011,39.08
jpn,2012,38.09
jpn,2013,39.58
jpn,2014,40.25
jpn,2015,40.57
jpn,2016,42.51
jpn,2017,42.54
jpn,2018,45.92
jpn,2019,47.46
jpn,2020,46.41
jpn,2021,46.65
ken,1999,38.5
ken,2006,31.66
ken,2016,41.77
ken,2019,32.81
kgz,2010,39.35
kgz,2011,38.82
kgz,2012,36.57
kgz,2013,40.67
kgz,2014,37.95
kgz,2015,36.73
kgz,2016,35.33
kgz,2017,33.8
kgz,2018,34.39
kgz,2019,32.17
kgz,2020,32.06
khm,1998,53.31
khm,2000,64.36
khm,2001,74.39
khm,2007,76.02
khm,2008,73.34
khm,2009,75.89
khm,2010,78.24
khm,2011,78.33
khm,2012,60.68
khm,2013,71.34
khm,2014,71.26
khm,2015,71.34
khm,2016,72.12
khm,2017,71.35
khm,2019,55.8
kir,2005,10.41
kir,2010,24.68
kir,2015,20.85
kir,2019,16.17
kna,1980,51.06
kna,1991,54.61
kor,1980,39.92
kor,1981,38.26
kor,1982,38.17
kor,1983,36.19
kor,1984,33.18
kor,1985,31.99
kor,1986,32.26
kor,1987,32.74
kor,1988,31.52
kor,1989,31.98
kor,1990,32.52
kor,1991,34.56
kor,1992,34.55
kor,1993,33.59
kor,1994,34.5
kor,1995,34.61
kor,1996,33.73
kor,1997,32.19
kor,1998,27.11
kor,1999,27.64
kor,2000,27.94
kor,2001,29.03
kor,2002,30.11
kor,2003,29.49
kor,2004,29.8
kor,2005,28.33
kor,2006,26.1
kor,2007,24.19
kor,2008,22.01
kor,2009,20.94
kor,2010,21.22
kor,2011,21.79
kor,2012,22.61
kor,2013,22.75
kor,2014,24.31
kor,2015,25.35
kor,2016,25.39
kor,2017,25.27
kor,2018,24.53
kor,2019,24.85
kor,2020,23.56
kos,2012,9.77
kos,2013,10.04
kos,2014,8.99
kos,2015,8.54
kos,2016,10.11
kos,2017,11.2
kos,2018,9.73
kos,2019,12.97
kos,2020,11.18
kwt,2015,20.78
kwt,2016,21.62
lao,2010,62.13
lao,2017,23.22
lbn,2007,23.94
lbn,2019,30.03
lbr,2010,30.74
