geo,time,sh_uhc_srvs_cv_xd
png,2015,38
png,2017,36
png,2019,33
pol,2000,63
pol,2005,68
pol,2010,70
pol,2015,73
pol,2017,74
pol,2019,74
prk,2000,43
prk,2005,45
prk,2010,48
prk,2015,39
prk,2017,68
prk,2019,68
prt,2000,71
prt,2005,76
prt,2010,80
prt,2015,82
prt,2017,84
prt,2019,84
pry,2000,43
pry,2005,49
pry,2010,55
pry,2015,59
pry,2017,60
pry,2019,61
qat,2000,51
qat,2005,52
qat,2010,50
qat,2015,66
qat,2017,72
qat,2019,74
rou,2000,67
rou,2005,69
rou,2010,69
rou,2015,71
rou,2017,71
rou,2019,71
rus,2000,51
rus,2005,45
rus,2010,66
rus,2015,71
rus,2017,74
rus,2019,75
rwa,2000,23
rwa,2005,31
rwa,2010,45
rwa,2015,53
rwa,2017,55
rwa,2019,54
sau,2000,73
sau,2005,73
sau,2010,73
sau,2015,71
sau,2017,72
sau,2019,73
sdn,2000,27
sdn,2005,29
sdn,2010,37
sdn,2015,42
sdn,2017,44
sdn,2019,44
sen,2000,21
sen,2005,27
sen,2010,42
sen,2015,46
sen,2017,47
sen,2019,49
sgp,2000,62
sgp,2005,68
sgp,2010,78
sgp,2015,84
sgp,2017,85
sgp,2019,86
slb,2000,35
slb,2005,36
slb,2010,45
slb,2015,48
slb,2017,49
slb,2019,50
sle,2000,17
sle,2005,19
sle,2010,30
sle,2015,35
sle,2017,38
sle,2019,39
slv,2000,50
slv,2005,63
slv,2010,69
slv,2015,73
slv,2017,74
slv,2019,76
smr,2000,73
smr,2005,76
smr,2010,78
smr,2015,80
smr,2017,81
smr,2019,82
som,2000,14
som,2005,14
som,2010,20
som,2015,24
som,2017,27
som,2019,27
srb,2000,49
srb,2005,68
srb,2010,68
srb,2015,69
srb,2017,70
srb,2019,71
ssd,2000,20
ssd,2005,21
ssd,2010,24
ssd,2015,28
ssd,2017,31
ssd,2019,32
stp,2000,36
stp,2005,42
stp,2010,52
stp,2015,58
stp,2017,60
stp,2019,60
sur,2000,41
sur,2005,57
sur,2010,63
sur,2015,67
sur,2017,68
sur,2019,67
svk,2000,62
svk,2005,71
svk,2010,72
svk,2015,75
svk,2017,76
svk,2019,77
svn,2000,71
svn,2005,71
svn,2010,75
svn,2015,77
svn,2017,79
svn,2019,80
swe,2000,75
swe,2005,78
swe,2010,82
swe,2015,86
swe,2017,86
swe,2019,87
swz,2000,34
swz,2005,46
swz,2010,52
swz,2015,54
swz,2017,57
swz,2019,58
syc,2000,46
syc,2005,50
syc,2010,60
syc,2015,66
syc,2017,68
syc,2019,70
syr,2000,44
syr,2005,51
syr,2010,55
syr,2015,54
syr,2017,56
syr,2019,56
tcd,2000,16
tcd,2005,16
tcd,2010,24
tcd,2015,28
tcd,2017,29
tcd,2019,28
tgo,2000,23
tgo,2005,30
tgo,2010,35
tgo,2015,40
tgo,2017,42
tgo,2019,44
tha,2000,41
tha,2005,63
tha,2010,70
tha,2015,75
tha,2017,80
tha,2019,83
tjk,2000,41
tjk,2005,44
tjk,2010,55
tjk,2015,62
tjk,2017,65
tjk,2019,66
tkm,2000,54
tkm,2005,60
tkm,2010,66
tkm,2015,69
tkm,2017,71
tkm,2019,73
tls,2000,33
tls,2005,32
tls,2010,46
tls,2015,49
tls,2017,50
tls,2019,53
ton,2000,46
ton,2005,47
ton,2010,54
ton,2015,54
ton,2017,55
ton,2019,56
tto,2000,43
tto,2005,64
tto,2010,69
tto,2015,72
tto,2017,72
tto,2019,73
tun,2000,47
tun,2005,57
tun,2010,63
tun,2015,66
tun,2017,68
tun,2019,70
tur,2000,61
tur,2005,65
tur,2010,66
tur,2015,77
tur,2017,77
tur,2019,79
tuv,2000,37
tuv,2005,39
tuv,2010,47
tuv,2015,50
tuv,2017,52
tuv,2019,52
tza,2000,19
tza,2005,27
tza,2010,37
tza,2015,41
tza,2017,43
tza,2019,46
uga,2000,22
uga,2005,31
uga,2010,40
uga,2015,45
uga,2017,48
uga,2019,50
ukr,2000,48
ukr,2005,51
ukr,2010,59
ukr,2015,63
ukr,2017,70
ukr,2019,73
ury,2000,65
ury,2005,68
ury,2010,74
ury,2015,78
ury,2017,78
ury,2019,79
usa,2000,76
usa,2005,79
usa,2010,80
usa,2015,81
usa,2017,82
usa,2019,83
uzb,2000,52
uzb,2005,52
uzb,2010,63
uzb,2015,67
uzb,2017,69
uzb,2019,71
vct,2000,42
vct,2005,63
vct,2010,68
vct,2015,71
vct,2017,72
vct,2019,73
ven,2000,52
ven,2005,61
ven,2010,66
ven,2015,71
ven,2017,69
ven,2019,70
vnm,2000,40
vnm,2005,44
vnm,2010,59
vnm,2015,66
vnm,2017,68
vnm,2019,70
vut,2000,40
vut,2005,39
vut,2010,48
vut,2015,49
vut,2017,50
vut,2019,52
wsm,2000,43
wsm,2005,40
wsm,2010,50
wsm,2015,53
wsm,2017,54
wsm,2019,53
yem,2000,31
yem,2005,32
yem,2010,41
yem,2015,43
yem,2017,44
yem,2019,44
zaf,2000,36
zaf,2005,47
zaf,2010,58
zaf,2015,64
zaf,2017,66
zaf,2019,67
zmb,2000,30
zmb,2005,35
zmb,2010,45
zmb,2015,50
zmb,2017,52
zmb,2019,55
zwe,2000,32
zwe,2005,33
zwe,2010,47
zwe,2015,55
zwe,2017,56
zwe,2019,55
