geo,time,sh_alc_pcap_ma_li
lux,2010,19.71
lux,2015,19.84
lux,2018,19.51
lva,2000,14.68
lva,2005,19.66
lva,2010,19.18
lva,2015,20.73
lva,2018,20.92
mar,2000,1.79
mar,2005,1.69
mar,2010,1.59
mar,2015,1.24
mar,2018,1.22
mda,2000,21.53
mda,2005,30.74
mda,2010,24.36
mda,2015,18.92
mda,2018,18.29
mdg,2000,3.43
mdg,2005,2.48
mdg,2010,3.04
mdg,2015,3.06
mdg,2018,3.2
mdv,2000,3.48
mdv,2005,2.51
mdv,2010,2.63
mdv,2015,3.22
mdv,2018,3.45
mex,2000,10.24
mex,2005,10.31
mex,2010,8.29
mex,2015,7.83
mex,2018,7.95
mkd,2000,11.69
mkd,2005,11.28
mkd,2010,9.53
mkd,2015,9.54
mkd,2018,9.93
mli,2000,2
mli,2005,1.82
mli,2010,1.88
mli,2015,2.15
mli,2018,2.2
mlt,2000,8.97
mlt,2005,10.42
mlt,2010,10.3
mlt,2015,11.77
mlt,2018,12.42
mmr,2000,0.63
mmr,2005,2.71
mmr,2010,4.78
mmr,2015,7.26
mmr,2018,8.43
mne,2010,23.92
mne,2015,17.42
mne,2018,18.3
mng,2000,4.82
mng,2005,8.21
mng,2010,15.05
mng,2015,17.11
mng,2018,12.79
moz,2000,3.98
moz,2005,2.2
moz,2010,2.75
moz,2015,3.67
moz,2018,3.86
mrt,2000,0.35
mrt,2005,0.23
mrt,2010,0.15
mrt,2015,0.058
mrt,2018,0.062
mus,2000,8.84
mus,2005,8.05
mus,2010,6.11
mus,2015,6.31
mus,2018,6.97
mwi,2000,4
mwi,2005,4.73
mwi,2010,5.29
mwi,2015,5.97
mwi,2018,6
mys,2000,2.47
mys,2005,2.05
mys,2010,2.11
mys,2015,1.35
mys,2018,1.35
nam,2000,5.51
nam,2005,4.57
nam,2010,3.36
nam,2015,8.79
nam,2018,9.1
ner,2000,0.41
ner,2005,0.44
ner,2010,0.55
ner,2015,0.95
ner,2018,1.16
nga,2000,20.11
nga,2005,20.03
nga,2010,18.79
nga,2015,17.2
nga,2018,17.24
nic,2000,8.24
nic,2005,8.66
nic,2010,7.84
nic,2015,8.24
nic,2018,8.48
nld,2000,17.09
nld,2005,16.51
nld,2010,15.73
nld,2015,14.75
nld,2018,14.83
nor,2000,12.18
nor,2005,13.55
nor,2010,13.59
nor,2015,11.38
nor,2018,11.2
npl,2000,1.88
npl,2005,3.27
npl,2010,3.3
npl,2015,3.5
npl,2018,3.49
nru,2000,10.07
nru,2005,5.68
nru,2010,9.55
nru,2015,6.16
nru,2018,6.16
nzl,2000,16.19
nzl,2005,16.91
nzl,2010,17.47
nzl,2015,16.09
nzl,2018,16.36
omn,2000,9.84
omn,2005,2.33
omn,2010,1.03
omn,2015,1.03
omn,2018,1.04
pak,2000,0.14
pak,2005,0.26
pak,2010,0.31
pak,2015,0.48
pak,2018,0.57
pan,2000,8.73
pan,2005,8.73
pan,2010,10.83
pan,2015,12.14
pan,2018,12.57
per,2000,10.04
per,2005,10.74
per,2010,11.78
per,2015,10.15
per,2018,9.77
phl,2000,9.69
phl,2005,9.08
phl,2010,11.14
phl,2015,10.68
phl,2018,10.95
png,2000,2.96
png,2005,2.65
png,2010,2.76
png,2015,2.3
png,2018,2.3
pol,2000,14.55
pol,2005,16.74
pol,2010,17.63
pol,2015,18.28
pol,2018,18.41
prk,2000,5.82
prk,2005,6.09
prk,2010,6.25
prk,2015,6.32
prk,2018,6.29
prt,2000,22.06
prt,2005,20.96
prt,2010,19.9
prt,2015,19.17
prt,2018,19.41
pry,2000,10.01
pry,2005,10.45
pry,2010,11.87
pry,2015,11.36
pry,2018,11.86
qat,2000,1.52
qat,2005,2.16
qat,2010,2.02
qat,2015,1.94
qat,2018,1.91
rou,2000,27.13
rou,2005,24.66
rou,2010,21.78
rou,2015,18.37
rou,2018,18.57
rus,2000,26.2
rus,2005,28.52
rus,2010,26.54
rus,2015,21.28
rus,2018,19.12
rwa,2000,22.14
rwa,2005,21.04
rwa,2010,16.84
rwa,2015,15.24
rwa,2018,14.75
sau,2000,0.29
sau,2005,0.26
sau,2010,0.26
sau,2015,0.31
sau,2018,0.29
sdn,2015,0.9
sdn,2018,0.88
sen,2000,1.68
sen,2005,1.49
sen,2010,1.05
sen,2015,1.28
sen,2018,1.35
sgp,2000,3.73
sgp,2005,2.67
sgp,2010,3.28
sgp,2015,3.11
sgp,2018,3.06
slb,2000,1.96
slb,2005,2.64
slb,2010,2.65
slb,2015,2.56
slb,2018,3.02
sle,2000,9.91
sle,2005,9.61
sle,2010,10.16
sle,2015,9.81
sle,2018,9.93
slv,2000,6.44
slv,2005,6.37
slv,2010,5.56
slv,2015,6.05
slv,2018,6.57
som,2000,0
som,2005,0.12
som,2010,0.49
som,2015,0.023
som,2018,0.016
srb,2010,18.56
srb,2015,13.84
srb,2018,13.93
stp,2000,12.97
stp,2005,13.77
stp,2010,13.17
stp,2015,11.37
stp,2018,9.3
sur,2000,8.47
sur,2005,8.64
sur,2010,9.94
sur,2015,9.25
sur,2018,8.49
svk,2000,19.59
svk,2005,18.9
svk,2010,18.71
svk,2015,17.97
svk,2018,17.37
svn,2000,19.59
svn,2005,19.09
svn,2010,17.84
svn,2015,19.65
svn,2018,18.36
swe,2000,13.31
swe,2005,13.41
swe,2010,14.65
swe,2015,14.02
swe,2018,13.69
swz,2000,12.79
swz,2005,11.42
swz,2010,11.58
swz,2015,16.67
swz,2018,17.02
syc,2000,11.96
syc,2005,9.6
syc,2010,15.59
syc,2015,28.57
syc,2018,31.96
syr,2000,1.99
syr,2005,1.58
syr,2010,1.54
syr,2015,0.49
syr,2018,0.42
tcd,2000,7.21
tcd,2005,7.65
tcd,2010,10.87
tcd,2015,2.39
tcd,2018,2.25
tgo,2000,2.85
tgo,2005,5.2
tgo,2010,3.36
tgo,2015,3.78
tgo,2018,3.93
tha,2000,10.47
tha,2005,11
tha,2010,12.46
tha,2015,13.52
tha,2018,13.42
tjk,2000,5.02
tjk,2005,4.23
tjk,2010,4.07
tjk,2015,5.31
tjk,2018,5.6
tkm,2000,8.24
tkm,2005,8.35
tkm,2010,8.23
tkm,2015,9.01
tkm,2018,8.4
tls,2000,2.43
tls,2005,1.32
tls,2010,1.11
tls,2015,3.17
tls,2018,3.43
ton,2000,2.81
ton,2005,3.88
ton,2010,2.34
ton,2015,1.14
ton,2018,1.33
tto,2000,8.33
tto,2005,9.66
tto,2010,9.73
tto,2015,10.83
tto,2018,10.58
tun,2000,2.36
tun,2005,2.56
tun,2010,2.46
tun,2015,3.52
tun,2018,3.75
tur,2000,4.25
tur,2005,3.74
tur,2010,4.1
tur,2015,3.76
tur,2018,3.62
tuv,2000,3.22
tuv,2005,3.34
tuv,2010,2.78
tuv,2015,3.27
tuv,2018,2.51
tza,2000,14.4
tza,2005,14.56
tza,2010,16.31
tza,2015,18.44
tza,2018,18.79
uga,2000,22.06
uga,2005,20.91
uga,2010,21.79
uga,2015,24.7
uga,2018,24.62
ukr,2000,20.85
ukr,2005,19.79
ukr,2010,22.31
ukr,2015,17.01
ukr,2018,13.96
ury,2000,12.84
ury,2005,11.86
ury,2010,11.22
ury,2015,10.97
ury,2018,10.83
usa,2000,14.33
usa,2005,14.74
usa,2010,14.54
usa,2015,15.22
usa,2018,15.29
uzb,2000,9.78
uzb,2005,7.15
uzb,2010,5.17
uzb,2015,4.45
uzb,2018,4.46
vct,2000,7.97
vct,2005,9.5
vct,2010,11.15
vct,2015,13.43
vct,2018,14.38
ven,2000,14.45
ven,2005,14.89
ven,2010,13.72
ven,2015,10.85
ven,2018,6.6
vnm,2000,3.61
vnm,2005,4.28
vnm,2010,7.98
vnm,2015,12.83
vnm,2018,14.1
vut,2000,1.91
vut,2005,1.96
vut,2010,2.81
vut,2015,3.55
vut,2018,3.73
wsm,2000,6.14
wsm,2005,6.83
wsm,2010,4.84
wsm,2015,4.21
wsm,2018,4.33
yem,2000,1.36
yem,2005,0.6
yem,2010,0.3
yem,2015,0.094
yem,2018,0.088
zaf,2000,16.69
zaf,2005,15.92
zaf,2010,16.71
zaf,2015,16.05
zaf,2018,15.91
zmb,2000,6.59
zmb,2005,6.35
zmb,2010,8.83
zmb,2015,11.2
zmb,2018,10.62
zwe,2000,4.16
zwe,2005,4.72
zwe,2010,6.71
zwe,2015,8.43
zwe,2018,8
