geo,time,se_adt_1524_lt_fe_zs
ind,2006,74.35573
ind,2011,81.84981
ind,2018,90.16941
irn,1976,42.3278
irn,1986,65.59267
irn,1991,81.201
irn,1996,90.55661
irn,2005,96.73755
irn,2006,96.13215
irn,2008,97.46597
irn,2012,97.66179
irn,2013,97.43798
irn,2014,97.67817
irn,2016,97.92513
irq,2000,80.48683
irq,2012,79.4
irq,2013,75.9
irq,2014,85.5
irq,2016,88.3
irq,2017,92.1
isr,1983,98.04603
ita,1981,99.58749
ita,2001,99.82011
ita,2011,99.8687
ita,2018,99.95
jam,1999,96.29552
jam,2014,98.8
jor,1979,84.83279
jor,2003,98.91331
jor,2005,99.02348
jor,2007,98.94657
jor,2010,98.76635
jor,2011,99.25322
jor,2012,99.20273
jor,2018,99.49391
kaz,1989,99.14947
kaz,1999,99.8747
kaz,2009,99.86511
kaz,2010,99.85091
kaz,2018,99.85091
ken,2000,91.94255
ken,2007,81.63257
ken,2014,86.13652
ken,2018,88.08
kgz,1999,99.74129
kgz,2009,99.79959
kgz,2018,99.81
khm,1998,71.07159
khm,2004,78.896
khm,2008,85.53457
khm,2009,85.85159
khm,2014,90.37226
khm,2015,92.57328
kor,2008,100
kwt,1975,66.01072
kwt,1980,76.03036
kwt,1985,84.0937
kwt,1995,90.18481
kwt,2005,99.78759
kwt,2006,98.49927
kwt,2007,98.50779
kwt,2008,98.73937
kwt,2010,98.71821
kwt,2012,98.83531
kwt,2013,99.04067
kwt,2015,99.40085
kwt,2017,99.49922
kwt,2018,99.50355
kwt,2020,99.57578
lao,1995,64.05435
lao,2000,73.56058
lao,2001,74.68243
lao,2005,78.73984
lao,2011,67.05378
lao,2015,90.50107
lbn,2007,99.0823
lbn,2009,99.33674
lbn,2018,99.83898
lbr,1984,33.72456
lbr,2007,37.17031
lbr,2017,45.63871
lby,1984,80.3106
lby,1994,96.3
lby,2004,99.4
lka,1981,90.19227
lka,2001,96.12111
lka,2006,97.93921
lka,2008,98.5861
lka,2010,98.58897
lka,2016,98.94489
lka,2017,99.14777
lka,2018,99.04459
lka,2019,99.21246
lso,2000,97.49609
lso,2009,92.09389
lso,2014,93.96988
ltu,1989,99.70847
ltu,2001,99.74238
ltu,2011,99.86662
lva,1989,99.82092
lva,2000,99.78331
lva,2011,99.87011
lva,2018,99.86
mac,1981,94.20512
mac,2001,99.81016
mac,2006,99.69966
mac,2011,99.69008
mac,2016,99.86617
mar,1982,30.95091
mar,1994,45.99636
mar,2004,60.49289
mar,2008,69.89815
mar,2009,72.14524
mar,2011,74.03429
mar,2012,87.7834
mar,2018,97.4
mda,1989,99.73853
mda,2000,99.65157
mda,2014,99.81553
mdg,2000,68.18623
mdg,2005,56.47853
mdg,2009,63.96708
mdg,2012,75.30385
mdg,2018,79.18119
mdv,1977,87.11928
mdv,1985,96.17604
mdv,1990,98.31548
mdv,1995,98.29864
mdv,2000,98.29864
mdv,2006,99.36065
mdv,2014,99.43955
mdv,2016,99.08863
mex,1980,90.86094
mex,1990,94.90321
mex,2000,96.48236
mex,2002,97.27211
mex,2004,97.60793
mex,2005,97.62793
mex,2006,97.69172
mex,2007,98.11611
mex,2008,98.35642
mex,2009,98.3816
mex,2010,98.49213
mex,2011,98.50666
mex,2012,99.02957
mex,2013,98.60191
mex,2014,99.07946
mex,2015,99.01495
mex,2016,99.20723
mex,2017,99.16837
mex,2018,99.38847
mex,2020,99.17142
mhl,2011,98.7567
mkd,1994,98.56687
