geo,time,se_sec_tchr_fe
bfa,2014,5110
bfa,2015,6335
bfa,2016,7366
bfa,2017,8458
bfa,2018,9424
bfa,2019,10487
bfa,2020,11133
bgd,1973,9280
bgd,1979,6929
bgd,1980,7489
bgd,1985,9575
bgd,1986,10382
bgd,1987,11230
bgd,1988,12081
bgd,1989,12422
bgd,1990,12507
bgd,1998,31787
bgd,1999,35424
bgd,2000,36347
bgd,2001,41765
bgd,2002,46355
bgd,2003,56910
bgd,2004,68426
bgd,2005,72810
bgd,2006,80051
bgd,2007,81786
bgd,2008,72434
bgd,2009,77263
bgd,2010,78347
bgd,2011,81190
bgd,2012,78649
bgd,2013,78664
bgd,2016,97620.57812
bgd,2017,99194.09375
bgd,2018,101344
bgd,2020,127482
bgr,1996,47564
bgr,1997,48545
bgr,1998,46482
bgr,2000,44371
bgr,2001,43776
bgr,2002,43439
bgr,2003,44282
bgr,2004,44470
bgr,2005,44226
bgr,2006,43711
bgr,2007,42670
bgr,2008,40617
bgr,2009,36430
bgr,2010,34831
bgr,2011,33696
bgr,2012,32408
bgr,2013,31654
bgr,2014,31107
bgr,2016,30295
bgr,2017,29933
bgr,2018,30412
bgr,2019,30753
bhr,1977,363
bhr,1978,383
bhr,1981,603
bhr,1982,716
bhr,1983,817
bhr,1984,923
bhr,1985,941
bhr,1987,965
bhr,1988,1068
bhr,1990,1266
bhr,1991,1370
bhr,1992,1473
bhr,1993,1599
bhr,1994,1594
bhr,1995,1580
bhr,2012,5160
bhr,2013,5171
bhr,2014,5320
bhr,2015,5362
bhr,2016,5527
bhr,2017,5508
bhr,2018,5657
bhr,2019,5774
bhr,2020,5883
bhs,1973,395
bhs,1985,645
bhs,1994,1232
bhs,1995,930
bhs,1997,868
bhs,2002,1422
bhs,2004,1475
bhs,2005,1716
bhs,2006,1499
bhs,2007,1940
bhs,2008,1912
bhs,2009,1951
bhs,2010,2168
bhs,2011,2142
bhs,2012,1604
bhs,2013,1724
bhs,2014,1759
bhs,2015,1611
bhs,2016,1703
bhs,2017,1611
bhs,2018,1589
bih,2013,16705
bih,2014,16905
bih,2015,16634
bih,2016,16431
bih,2017,16560
bih,2018,16781
bih,2019,17037
bih,2020,17351
blr,1972,43305
blr,1973,43700
blr,1974,44223
blr,1975,44740
blr,1976,48798
blr,1977,43773
blr,1978,42288
blr,1980,44863
blr,2013,68794
blr,2014,65032
blr,2015,62217
blr,2016,62551
blr,2017,61854
blr,2018,60732
blz,1999,566
blz,2000,638
blz,2001,690
blz,2003,789
blz,2004,967
blz,2005,983
blz,2006,1012
blz,2007,1093
blz,2008,1087
blz,2009,1132
blz,2010,1172
blz,2011,1242
blz,2012,1315
blz,2013,1302
blz,2015,1461
blz,2016,1414
blz,2017,1503
blz,2018,1518
blz,2019,1557
blz,2020,1534
bmu,1971,156
bmu,1972,119
bmu,1974,162
bmu,1975,174
bmu,1977,250
bmu,1978,207
bmu,2001,429
bmu,2002,438
bmu,2003,466
bmu,2004,459
bmu,2005,456
bmu,2006,504
bmu,2010,603
bmu,2011,448
bmu,2012,427
bmu,2013,531
bmu,2014,574
bmu,2016,453
bol,1999,20149
bol,2013,29068
bol,2014,30419
bol,2015,31368
bol,2016,33048
bol,2017,34027
bol,2018,34681
bra,1970,164457
bra,2002,1113226
bra,2003,1202590
bra,2004,1256875
bra,2005,1307572
bra,2007,872524
bra,2008,938290
bra,2009,937615
bra,2010,947458
bra,2011,948816
bra,2012,951751
bra,2013,945315
bra,2014,945634
bra,2015,925799
bra,2016,911151
bra,2017,879681
bra,2018,871717
bra,2019,852526
brb,1985,653
brb,1989,797
brb,1990,677
brb,1999,710
brb,2000,700
brb,2001,683
brb,2002,784
brb,2003,814
brb,2004,716
brb,2005,767
brb,2006,841
brb,2015,738
brb,2016,694
brb,2017,716
brb,2018,720
brb,2019,699
brb,2020,761
brn,1970,144
brn,1971,196
brn,1972,206
brn,1973,241
brn,1974,261
brn,1975,287
brn,1976,304
brn,1977,344
brn,1978,356
brn,1979,426
brn,1980,479
brn,1981,537
brn,1984,554
brn,1991,972
brn,1992,1032
brn,1993,1054
brn,1994,1046
brn,1995,1187
brn,1996,1392
brn,1998,1461
brn,1999,1493
brn,2000,1622
brn,2001,1738
brn,2002,1819
brn,2003,2065
brn,2004,2310
brn,2005,2527
brn,2006,2519
brn,2007,2564
brn,2008,2726
brn,2009,2908
brn,2011,3280
brn,2012,3416
brn,2013,3541
brn,2014,3579
brn,2015,3630
brn,2016,3603
brn,2017,3500
brn,2018,3641
brn,2019,3613
brn,2020,3932
btn,1999,222
btn,2005,465
btn,2006,820
btn,2008,727
btn,2009,1341
btn,2010,1157
btn,2011,1175
btn,2012,1304
btn,2013,2031
btn,2014,2036
btn,2015,2517
btn,2016,2702
btn,2017,2864
btn,2018,2985
bwa,1970,102
bwa,1971,129
bwa,1972,169
bwa,1974,246
bwa,1975,256
bwa,1976,286
bwa,1977,292
bwa,1978,351
bwa,1980,417
bwa,1981,468
bwa,1984,614
bwa,1985,662
bwa,1986,803
bwa,1987,831
bwa,1988,993
bwa,1989,1300
bwa,1990,1482
bwa,1991,1740
bwa,1992,1791
bwa,1993,2179
bwa,1994,2408
bwa,1995,2846
bwa,1998,4112
bwa,1999,4294
bwa,2000,4545
bwa,2001,4752
bwa,2002,4908
bwa,2003,5282
bwa,2004,5911
bwa,2005,6053
bwa,2006,6248
bwa,2007,6489
caf,1975,145
caf,1977,159
caf,1981,114
caf,1987,87
caf,2009,140
caf,2010,204
caf,2011,225
caf,2012,204
caf,2016,438
caf,2017,2040
can,1976,60300
can,1983,57189
can,1984,59456
can,1990,84994
can,1991,87875
can,1992,89315
can,1993,89679
can,1994,90113
can,1995,89615
can,1996,89558
che,1979,15949
che,1980,16522
che,2012,31449
che,2013,32465
che,2014,31417
che,2016,30726
che,2017,30838
che,2018,31448
che,2019,31716
chl,1999,28003
chl,2000,29973
chl,2002,29027
chl,2004,39750
chl,2005,41180
chl,2006,41910
chl,2007,42724
chl,2008,42749
chl,2009,42868
chl,2010,42946
chl,2011,44073
chl,2012,44864
chl,2013,44486
chl,2014,46263.16797
chl,2015,47651.92969
chl,2016,48770
chl,2017,49661.92969
chl,2018,50715
chl,2019,52909.46094
chn,1979,802600
chn,1980,783435
chn,1981,787700
chn,1982,761600
chn,1983,750800
chn,1984,749700
chn,1985,799850
chn,1986,854800
chn,1987,909851
chn,1988,969800
chn,1989,1028750
chn,1990,1077000
chn,1991,1128900
chn,1992,1175600
chn,1993,1230050
chn,1994,1272900
chn,1995,1321680
chn,1996,1431683
chn,1997,1537605
chn,2000,1940197
chn,2001,1949668
chn,2002,2042744
chn,2003,2228135
chn,2006,2594248
chn,2007,2804702
chn,2009,3030146
chn,2010,3103856
chn,2011,3149854
chn,2012,3250337
chn,2013,3132459
chn,2014,3169800
chn,2015,3235872
chn,2016,3275411
chn,2017,3360609
chn,2018,3479543
chn,2019,3606527
chn,2020,3716885
civ,2014,9283
civ,2016,10253
civ,2017,11697
civ,2018,11737
civ,2019,12634
civ,2020,15141
cmr,1972,893
cmr,1973,958
cmr,1974,1004
cmr,1975,1025
cmr,1976,970
cmr,1977,1222
cmr,1978,1382
cmr,1979,1467
cmr,1980,1589
cmr,1982,1896
cmr,1983,1954
cmr,1984,2167
cmr,1985,2697
cmr,1986,2496
cmr,1987,3197
cmr,1988,3513
cmr,1989,3905
cmr,1990,3837
cmr,1991,4229
cmr,1998,5554
cmr,1999,6075
cmr,2004,11663
cmr,2005,12806
cmr,2006,11406
cmr,2007,11936
cmr,2008,17882
cmr,2011,18422
cmr,2012,35497
cmr,2013,32443
cmr,2014,32764
cmr,2015,36800
cmr,2016,39883
cod,1992,7744
cod,1993,8996
cod,1994,9920
cod,2007,18169
cod,2008,19921
cod,2009,22042
cod,2010,23066
cod,2012,28898
cod,2013,33366
cod,2014,36441
cod,2015,40395
cod,2018,45272
cog,1971,226
cog,1972,244
cog,1973,218
cog,1974,243
cog,1975,275
cog,1976,266
cog,1978,311
cog,1979,326
cog,1996,1128
cog,2003,930
cog,2004,914
cog,2012,1670
cog,2018,2574
col,1971,17690
col,1972,19243
col,1975,29237
col,1977,33571
col,1978,33246
col,1979,34999
col,1980,35756
col,1981,37428
col,1982,38593
col,1983,39500
col,1996,81661
col,1999,99102
col,2000,92663
col,2001,89628
col,2002,89649
col,2004,84771
col,2005,84696
col,2006,85017
col,2007,93004
col,2009,93616
col,2010,93793
col,2011,101617
col,2012,99458
col,2013,99154
col,2014,99906
col,2015,93148
col,2016,93691
col,2017,93956
col,2019,94989
com,1971,20
com,1972,25
com,1973,47
com,1981,91
com,2002,332
com,2003,388
com,2004,403
com,2014,818
com,2017,1118
com,2018,1482
cpv,1987,121
cpv,1989,143
cpv,2001,765
cpv,2002,804
cpv,2003,855
cpv,2004,857
cpv,2005,898
cpv,2006,979
cpv,2007,1260
cpv,2008,1347
cpv,2009,1329
cpv,2010,1443
cpv,2011,1496
cpv,2012,1546
cpv,2013,1560
cpv,2014,1611
cpv,2015,1597
cpv,2016,1669
cpv,2017,1681
cpv,2018,1627
cpv,2019,1708
cri,1970,1745
cri,1981,3784
cri,1996,5975
cri,1997,5568
cri,1998,6338
cri,1999,6906
cri,2000,7200
cri,2001,7531
cri,2002,8354
cri,2006,12144
cri,2007,12169
cri,2008,14208
cri,2009,15197
cri,2010,15852
cri,2011,16785
cri,2013,18376
cri,2014,18402
cri,2015,18863
cri,2016,20878
cri,2017,20142
cri,2018,22853
cri,2019,21826
cri,2020,22860
cub,1975,16412
cub,1976,20032
cub,1977,26378
cub,1981,40145
cub,1982,40898
cub,1983,41945
cub,1984,42285
cub,1985,46475
cub,1986,48444
cub,1987,51537
cub,1988,53417
cub,1989,55588
cub,1990,54746
cub,1991,51112
cub,1992,44582
cub,1993,45679
cub,1994,43302
cub,1995,35244
cub,1996,39025
cub,1997,40016
cub,1999,39208
cub,2000,40088
cub,2001,44960
cub,2002,44620
cub,2003,45505
cub,2004,47272
cub,2005,47037
cub,2006,49664
cub,2007,52221
cub,2008,48812
cub,2009,47345
cub,2010,47432
cub,2011,48732
cub,2012,53031
cub,2013,56359
cub,2014,57096
cub,2015,57965
cub,2016,55395
cub,2017,54843
cub,2018,52354
cub,2019,51826
cub,2020,52512
cym,1974,31
cym,1976,55
cym,1977,64
cym,1980,60
cym,1981,114
cym,1999,109
cym,2000,137
cym,2001,138
cym,2002,129
cym,2004,128
cym,2005,144
cym,2006,184
cym,2008,222
cym,2011,176
cym,2012,422
cym,2018,215
cym,2020,235.3
cyp,1971,768
cyp,1972,836
cyp,1973,988
cyp,1974,1025
cyp,1975,877
cyp,1976,985
cyp,1977,1083
cyp,1978,1131
cyp,1979,1184
cyp,1980,1266
cyp,1981,1237
cyp,1982,1291
cyp,1983,1301
cyp,1984,1342
cyp,1985,1382
cyp,1986,1367
cyp,1987,1381
cyp,1988,1531
cyp,1989,1596
cyp,1990,1638
cyp,1991,1710
cyp,1992,1859
cyp,1993,2037
cyp,1994,2169
cyp,1995,2323
cyp,1996,2745
cyp,1997,2537
cyp,1999,2514
cyp,2000,2681
cyp,2001,2868
cyp,2002,3083
cyp,2003,3184
cyp,2004,3418
cyp,2005,3443
cyp,2006,3580
cyp,2007,3767
cyp,2008,4002
cyp,2009,4157
cyp,2010,4188
cyp,2011,4145
cyp,2012,4140
cyp,2013,4141
cyp,2014,3964
cyp,2015,3620
cyp,2016,4601
cyp,2017,4393
cyp,2018,4547
cyp,2019,4766
cze,1993,63499
cze,1994,64273
cze,1995,64750
cze,1996,70178
cze,2001,61401
cze,2002,61784
cze,2003,62107
cze,2004,63928
cze,2005,62754
cze,2006,59410
cze,2007,54984
cze,2008,52323
cze,2009,51027
cze,2010,49490
cze,2011,46591
cze,2012,45675
deu,1993,242668
deu,1994,238104
deu,1995,254418
deu,1996,264610
deu,1997,267929
deu,1999,272111
deu,2000,306703
deu,2001,315963
deu,2002,320657
deu,2003,327134
deu,2004,332336
deu,2005,333743
deu,2006,335582
deu,2007,339084
deu,2008,344020
deu,2009,340575
deu,2010,350127
deu,2011,349459
deu,2012,349999
deu,2013,354619.34375
deu,2014,365592
deu,2015,365642.34375
deu,2016,369995.75
deu,2017,369889.4375
deu,2018,371794.34375
deu,2019,372329.96875
dji,1972,69
dji,1973,42
dji,1974,46
dji,1975,61
dji,1976,57
dji,1994,119
dji,1996,128
dji,1999,147
dji,2002,139
dji,2006,223
dji,2007,240
dji,2009,345
dji,2011,384
dji,2012,502
dji,2013,557
dji,2014,574
dji,2015,642
dji,2016,645
dji,2017,707
dji,2018,679
dji,2019,646
dji,2020,797
dji,2021,853
dma,1973,124
dma,1974,148
dma,1975,142
dma,1977,142
dma,1999,254
dma,2000,235
dma,2001,252
dma,2002,295
dma,2003,279
dma,2004,290
dma,2005,290
dma,2006,292
dma,2007,306
dma,2008,345
dma,2009,381
dma,2010,352
dma,2011,386
dma,2013,390
dma,2014,376
dma,2015,381
dma,2016,405
dma,2019,365
dma,2020,364
dnk,1993,25900
dnk,1994,27400
dnk,1995,25900
dnk,1998,19831
dnk,1999,19928
dnk,2000,21265
dnk,2001,21107
dnk,2014,27647
dnk,2018,30441
dnk,2019,30815
dom,1971,2644
dom,2004,17640
dom,2005,18915
dom,2006,20270
dom,2007,19083
dom,2008,22034
dom,2009,23446
dom,2010,21333
dom,2011,21115
dom,2012,20448
dom,2013,22507
dom,2014,29311
dom,2015,28750
dom,2017,31160
dza,1985,23479
dza,1986,29883
dza,1987,35987
dza,1988,40404
dza,1989,44314
dza,1990,47513
dza,1991,49600
dza,1992,52560
dza,1993,56891
dza,1994,61892
dza,1995,63284
dza,1996,66332
dza,1997,68677
ecu,1971,5141
ecu,1974,6397
ecu,1975,7147
ecu,1976,8315
ecu,1977,9456
ecu,1978,10272
ecu,1979,13096
ecu,1980,11849
ecu,1982,14147
ecu,1983,15941
ecu,1984,15758
ecu,1985,17789
ecu,1986,19440
ecu,1987,20305
ecu,1988,22170
ecu,1993,27730
ecu,1996,30231
ecu,1998,34223
ecu,2000,33170
ecu,2001,33866
ecu,2002,34954
ecu,2003,36123
ecu,2004,36823
ecu,2005,37422
ecu,2006,38032
ecu,2007,38768
ecu,2009,42049
ecu,2010,45905
ecu,2011,46355
ecu,2012,46533
ecu,2013,46533
ecu,2014,48286
ecu,2015,49702
ecu,2016,50455.11328
ecu,2017,52098.875
ecu,2018,53308.44922
ecu,2019,54146.83594
ecu,2020,53010.04297
egy,1971,13687
egy,1972,15015
egy,1975,19403
egy,1976,20962
egy,1977,22986
egy,1978,25926
egy,1979,28338
egy,1981,37851
egy,1982,38755
egy,1983,47510
egy,1984,51121
egy,1986,66577
egy,1987,75464
egy,1988,85271
egy,1990,97644
egy,1992,113894
egy,1993,118399
egy,1994,123371
egy,1995,133914
egy,1996,148034
egy,1997,163994
egy,1999,185187
egy,2000,188676
egy,2001,198138
egy,2002,195078
egy,2003,200875
egy,2004,201391
egy,2009,244444
egy,2016,273901
egy,2017,274307
egy,2018,287553
egy,2019,286278
eri,1993,242
eri,1994,248
eri,1995,251
eri,1996,265
eri,1997,283
eri,1999,265
eri,2000,289
eri,2001,284
eri,2002,334
eri,2003,325
eri,2004,449
eri,2005,476
eri,2006,460
eri,2007,521
eri,2009,598
eri,2010,1018
eri,2011,945
eri,2012,1152
eri,2013,1229
eri,2014,1268
eri,2015,1305
eri,2016,1279
eri,2017,1503
eri,2018,1779
esp,1981,76767
esp,1982,82437
esp,1983,86003
esp,1984,88044
esp,1985,91921
esp,1986,97672
esp,1987,104667
esp,1988,107614
esp,1989,117137
esp,1990,136335
esp,1991,145444
esp,1992,148597
esp,1993,147962
esp,1994,151550
esp,1995,153042
esp,1996,141619
esp,1999,144718
esp,2000,146533
esp,2001,152800
esp,2002,149757
esp,2003,150402
esp,2004,152694
esp,2005,157982
esp,2006,161437
esp,2007,161820
esp,2008,155949
esp,2009,157251
esp,2010,160881
esp,2011,160719
esp,2012,159578
esp,2013,150894
esp,2014,156242
esp,2015,157413
esp,2016,164532
esp,2017,166027
esp,2018,170156
esp,2019,176975
est,1993,9319
est,1994,9732
est,1995,11194
est,1996,8903
est,1999,8990
est,2000,9703
est,2001,9690
est,2007,8892
est,2008,8755
est,2009,8134
est,2010,8371
est,2011,7955
est,2013,7660
est,2016,6948
est,2017,6653
est,2018,6637
est,2019,6761
eth,1971,781
eth,1972,870
eth,1973,897
eth,1974,971
eth,1991,2296
eth,1992,2429
eth,1993,2159
eth,1994,2154
eth,1995,2353
eth,1996,2697
eth,2008,15115
eth,2009,15634
eth,2010,20568
eth,2011,29533
eth,2012,29644
eth,2020,24194
fin,1971,17091
fin,1972,17141
fin,1973,18436
fin,1974,18966
fin,1975,19207
fin,1999,25012
fin,2000,24682
fin,2001,24240
fin,2002,24916
fin,2003,26691
fin,2004,27014
fin,2005,27037
fin,2006,28517
fin,2007,28572
fin,2008,27371
fin,2009,27817
fin,2010,27763
fin,2011,28789
fin,2012,29096
fin,2013,27785
fin,2014,27613
fin,2016,27140
fin,2017,26933
fin,2018,26880
fin,2019,27142
fji,1998,1956
fji,1999,2189
fji,2000,2445
fji,2001,2537
fji,2002,2627
fji,2003,1987
fji,2004,2263
fji,2006,2135
fji,2007,2164
fji,2008,3758
fji,2011,1913
fji,2012,2898
fra,1971,109683
fra,1972,120909
fra,1974,135248
fra,1980,226580
fra,1989,234639
fra,1990,248346
fra,1991,253119
fra,1992,258602
fra,1993,267036
fra,1994,273316
fra,1995,278667
fra,1996,279944
fra,1997,283186
fra,1999,283585
fra,2000,277410
fra,2001,303320
fra,2002,289427
fra,2003,297095
fra,2004,299434
fra,2005,306582
fra,2006,290752
fra,2007,288747
fra,2008,283070
fra,2009,289951
fra,2010,275342
fra,2011,275822
fra,2012,273454
fra,2013,271734
fra,2018,275279
fra,2019,274885
gab,1971,145
gab,1972,183
gab,1977,331
gab,1978,367
gab,1979,364
gab,1980,386
gab,1981,387
gab,1982,402
gab,1983,411
gab,1984,523
gab,1985,511
gab,1986,460
gab,1987,440
gab,1988,428
gab,1995,420
gab,1996,565
gab,1999,501
gbr,1993,214121
gbr,1994,218182
gbr,1996,264208
gbr,1997,255669
gbr,1999,197844
gbr,2000,207429
gbr,2001,214074
gbr,2002,210904
gbr,2003,214800
gbr,2004,224401
gbr,2005,235686
gbr,2006,224438
gbr,2007,233846
gbr,2008,233627
gbr,2013,254330.84375
gbr,2014,254319
gbr,2015,259165.51562
gbr,2016,246104.04688
gbr,2017,232957.625
gbr,2018,226034.48438
gbr,2019,223673
geo,1981,37649
geo,1986,42129
geo,1991,49892
geo,1992,50861
geo,1993,44783
geo,1994,45702
geo,1995,37895
geo,1996,46545
geo,1997,40869
geo,1999,45097
geo,2000,45418
geo,2001,43822
geo,2002,38463
geo,2003,40095
geo,2009,38642
geo,2013,31174
geo,2014,31170
geo,2015,30732
geo,2016,29486
geo,2017,29742
geo,2018,29752
geo,2019,31303
geo,2020,35593
gha,1974,4808
gha,1975,4988
gha,1976,5443
gha,1977,6626
gha,1978,6453
gha,1979,7088
gha,1980,6708
gha,1981,6656
gha,1982,7159
gha,1983,7497
gha,1984,7557
gha,1986,9615
gha,1987,12417
gha,1988,12508
gha,1990,9850
gha,1999,11602
gha,2000,12324
gha,2001,12595
gha,2002,12601
gha,2003,11585
gha,2004,13913
gha,2005,11097
gha,2006,25891
gha,2007,21614
gha,2008,21859
gha,2009,22075
gha,2010,27131
gha,2011,27807
gha,2012,30501
gha,2013,32596
gha,2014,34876
gha,2015,35824
gha,2016,36706
gha,2017,40467
gha,2018,42110
gha,2019,47578
gha,2020,54906
gib,1972,29
gib,1973,55
gib,1974,64
gib,1975,59
gib,1976,53
gib,1977,52
gib,1978,53
gib,1979,55
gib,1980,52
gib,1982,55
gib,1983,51
gib,1984,53
gib,1985,52
gib,1999,69
gib,2000,73
gib,2001,76
gib,2008,132
gib,2009,131
gib,2016,78
gib,2017,95
gib,2020,135
gin,1983,492
gin,1985,345
gin,1986,323
gin,1991,725
gin,1993,614
gin,2003,906
gin,2004,637
gin,2005,582
gin,2006,680
gin,2008,964
gin,2011,1052
gmb,1971,67
gmb,1972,66
gmb,1973,65
gmb,1974,87
gmb,1975,78
gmb,1976,89
gmb,1977,102
gmb,1978,112
gmb,1979,136
gmb,1980,147
gmb,1981,158
gmb,1983,202
gmb,1984,208
gmb,1985,219
gmb,1987,153
gmb,1993,198
gmb,1994,180
gmb,1995,197
gmb,1996,259
gmb,2013,655
gmb,2014,694
gmb,2015,935
gmb,2017,1219
gmb,2018,1525
gmb,2019,1679
gnb,1981,99
gnb,1982,104
gnb,1984,118
gnb,1987,100
gnb,2000,106
gnq,1976,18
gnq,1994,67
gnq,1999,44
gnq,2000,39
gnq,2005,112
grc,1971,7589
grc,1972,8127
grc,1973,9139
grc,1974,10817
grc,1975,11519
grc,1976,12437
grc,1977,14153
grc,1978,15514
grc,1979,17070
grc,1980,18251
grc,1981,19429
grc,1982,20328
grc,1983,21481
grc,1984,23871
grc,1985,25390
grc,1986,26475
grc,1987,27466
grc,1988,29052
grc,1989,29725
grc,1990,31030
grc,1991,32057
grc,1992,33405
grc,1993,38504
grc,1994,40495
grc,1995,35905
grc,1996,46820
grc,1997,39260
grc,1998,40691
grc,1999,41848
grc,2004,46697
grc,2005,48195
grc,2006,48607
grc,2007,49777
grc,2013,52746
grc,2014,46884
grc,2015,45452
grc,2016,47630
grc,2017,47402
grc,2018,47971
grc,2019,49342
grd,1971,70
grd,1972,85
grd,1977,138
grd,1978,164
grd,1979,184
grd,1980,187
grd,1983,137
grd,1984,162
grd,1987,146
grd,1993,195
grd,2003,466
grd,2004,428
grd,2006,371
grd,2007,402
grd,2008,418
grd,2009,449
grd,2010,464
grd,2013,453
grd,2014,490
grd,2015,516
grd,2016,514
grd,2017,486
grd,2018,463
gtm,1970,1739
gtm,1971,1608
gtm,1972,1711
gtm,1973,1807
gtm,1974,2109
gtm,1975,2252
gtm,1981,4518
gtm,1983,4813
gtm,2006,21455
gtm,2007,23362
gtm,2008,23890
gtm,2009,27457
gtm,2010,35010
gtm,2011,37543
gtm,2012,38524
gtm,2013,43656
gtm,2014,43474
gtm,2016,47313
gtm,2017,56625
gtm,2018,57769
gtm,2019,39250
gtm,2020,97301
gum,1972,224
gum,1973,228
gum,1974,232
gum,1975,236
gum,1977,250
gum,1978,235
gum,1979,340
gum,1980,430
guy,1974,984
guy,1976,1199
guy,1984,1532
guy,1985,1568
guy,1991,874
guy,1992,1114
guy,1993,1119
guy,1995,686
guy,1996,1337
guy,2003,2546
guy,2005,2483
guy,2008,2458
guy,2009,2471
guy,2010,2565
guy,2011,2874
guy,2012,3003
hkg,1971,3799
hkg,1972,4179
hkg,1973,4536
