geo,time,sh_alc_pcap_fe_li
tha,2005,2.85
tha,2010,3.24
tha,2015,3.54
tha,2018,3.52
tjk,2000,0.96
tjk,2005,0.79
tjk,2010,0.74
tjk,2015,0.95
tjk,2018,0.99
tkm,2000,1.61
tkm,2005,1.61
tkm,2010,1.6
tkm,2015,1.78
tkm,2018,1.65
tls,2000,0.61
tls,2005,0.34
tls,2010,0.29
tls,2015,0.82
tls,2018,0.89
ton,2000,0.59
ton,2005,0.81
ton,2010,0.49
ton,2015,0.24
ton,2018,0.28
tto,2000,2.28
tto,2005,2.78
tto,2010,2.81
tto,2015,3.09
tto,2018,3.03
tun,2000,0.37
tun,2005,0.4
tun,2010,0.38
tun,2015,0.53
tun,2018,0.56
tur,2000,0.67
tur,2005,0.59
tur,2010,0.64
tur,2015,0.58
tur,2018,0.56
tuv,2000,0.65
tuv,2005,0.67
tuv,2010,0.56
tuv,2015,0.65
tuv,2018,0.5
tza,2000,3.11
tza,2005,3.13
tza,2010,3.52
tza,2015,4.02
tza,2018,4.12
uga,2000,5.61
uga,2005,5.33
uga,2010,5.54
uga,2015,5.92
uga,2018,5.88
ukr,2000,5.44
ukr,2005,5.51
ukr,2010,6.34
ukr,2015,4.49
ukr,2018,3.65
ury,2000,3.79
ury,2005,3.49
ury,2010,3.39
ury,2015,3.4
ury,2018,3.37
usa,2000,4.29
usa,2005,4.46
usa,2010,4.38
usa,2015,4.61
usa,2018,4.64
uzb,2000,1.75
uzb,2005,1.28
uzb,2010,0.93
uzb,2015,0.79
uzb,2018,0.79
vct,2000,2
vct,2005,2.4
vct,2010,2.83
vct,2015,3.41
vct,2018,3.65
ven,2000,3.9
ven,2005,4.04
ven,2010,3.73
ven,2015,2.9
ven,2018,1.75
vnm,2000,0.9
vnm,2005,1.06
vnm,2010,1.97
vnm,2015,3.16
vnm,2018,3.49
vut,2000,0.4
vut,2005,0.41
vut,2010,0.58
vut,2015,0.74
vut,2018,0.77
wsm,2000,1.26
wsm,2005,1.39
wsm,2010,0.98
wsm,2015,0.86
wsm,2018,0.88
yem,2000,0.21
yem,2005,0.092
yem,2010,0.047
yem,2015,0.014
yem,2018,0.013
zaf,2000,3.76
zaf,2005,3.62
zaf,2010,3.74
zaf,2015,3.53
zaf,2018,3.49
zmb,2000,1.62
zmb,2005,1.56
zmb,2010,2.17
zmb,2015,2.75
zmb,2018,2.62
zwe,2000,0.88
zwe,2005,0.99
zwe,2010,1.39
zwe,2015,1.72
zwe,2018,1.63
