geo,time,bm_gsr_insf_zs
bgr,2015,15.74158
bgr,2016,11.01342
bgr,2017,8.97306
bgr,2018,15.86776
bgr,2019,13.29625
bgr,2020,13.17523
bhr,1975,6.75599
bhr,1976,6.90229
bhr,1977,6.88567
bhr,1978,6.06928
bhr,1979,6.29341
bhr,1980,7.00448
bhr,1981,6.48213
bhr,1982,4.82143
bhr,1983,6.52822
bhr,1984,6.26737
bhr,1985,6.35819
bhr,1986,7.34959
bhr,1987,5.16717
bhr,1988,4.8995
bhr,1989,5.63098
bhr,1990,3.97982
bhr,1991,4.43006
bhr,1992,4.49141
bhr,1993,4.15905
bhr,1994,4.02053
bhr,1995,3.58221
bhr,1996,3.86719
bhr,1997,3.91286
bhr,1998,4.10445
bhr,1999,3.42114
bhr,2000,3.41215
bhr,2001,3.61426
bhr,2002,3.53308
bhr,2003,3.96025
bhr,2004,14.20993
bhr,2005,16.53333
bhr,2006,19.03789
bhr,2007,20.69346
bhr,2008,21.13455
bhr,2009,23.97953
bhr,2010,22.6609
bhr,2011,4.77045
bhr,2012,49.50766
bhr,2013,53.16826
bhr,2014,55.13332
bhr,2015,55.83169
bhr,2016,50.25072
bhr,2017,51.68741
bhr,2018,50.25849
bhs,1976,1.5295
bhs,1977,1.05617
bhs,1978,1.42204
bhs,1979,1.49254
bhs,1980,1.51688
bhs,1981,1.35222
bhs,1982,1.24242
bhs,1983,1.28411
bhs,1984,1.48252
bhs,1985,1.69057
bhs,1986,1.77161
bhs,1987,1.64538
bhs,1988,1.54723
bhs,1989,5.01916
bhs,1990,4.81675
bhs,1991,5.24495
bhs,1992,5.95538
bhs,1993,9.05344
bhs,1994,11.46365
bhs,1995,11.64137
bhs,1996,10.08662
bhs,1997,7.7512
bhs,1998,6.02483
bhs,1999,6.44816
bhs,2000,7.22448
bhs,2001,8.57994
bhs,2002,9.11978
bhs,2003,9.67943
bhs,2004,6.62471
bhs,2005,7.53205
bhs,2006,7.49533
bhs,2007,6.77581
bhs,2008,7.5964
bhs,2009,7.73789
bhs,2010,13.99122
bhs,2011,14.38088
bhs,2012,12.59445
bhs,2013,9.70179
bhs,2014,8.32238
bhs,2015,11.10284
bhs,2016,8.52885
bhs,2017,6.29137
bhs,2018,8.55792
bhs,2019,7.86305
bhs,2020,11.08424
bih,1998,9.24993
bih,1999,9.25076
bih,2000,9.31514
bih,2001,11.21294
bih,2002,12.03694
bih,2003,11.33857
bih,2004,12.20704
bih,2005,7.89932
bih,2006,7.82743
bih,2007,4.4438
bih,2008,3.08766
bih,2009,1.89843
bih,2010,2.82299
bih,2011,3.24696
bih,2012,4.17415
bih,2013,8.65496
bih,2014,8.91172
bih,2015,7.23764
bih,2016,8.86573
bih,2017,10.01695
bih,2018,9.55273
bih,2019,8.18784
bih,2020,11.54192
blr,1993,11.25731
blr,1994,5.56949
blr,1995,3.4896
blr,1996,3.48318
blr,1997,3.20724
blr,1998,3.64688
blr,1999,3.41552
blr,2000,2.51812
blr,2001,1.97007
blr,2002,1.74616
blr,2003,0.83725
blr,2004,1.62967
blr,2005,4.11043
blr,2006,3.30197
blr,2007,4.62623
blr,2008,5.38442
blr,2009,6.63897
blr,2010,5.23776
blr,2011,5.46252
blr,2012,6.25876
blr,2013,4.72284
blr,2014,6.18816
blr,2015,6.5211
blr,2016,5.89994
blr,2017,6.51859
blr,2018,5.64547
blr,2019,4.63245
blr,2020,5.24951
blr,2021,3.88183
blz,1984,4.96599
blz,1985,5.20871
blz,1986,3.39975
blz,1987,3.48205
blz,1988,3.80506
blz,1989,3.792
blz,1990,3.875
blz,1991,4.04692
blz,1992,3.70098
blz,1993,3.34054
blz,1994,9.28123
blz,1995,8.77929
blz,1996,8.73064
blz,1997,8.61975
blz,1998,8.68687
blz,1999,8.53256
blz,2000,9.36071
blz,2001,10.99738
blz,2002,15.87097
blz,2003,18.73895
blz,2004,21.90116
blz,2005,21.96488
blz,2006,17.17627
blz,2007,24.70251
blz,2008,14.96754
blz,2009,16.10488
blz,2010,16.2884
blz,2011,15.15402
blz,2012,17.78932
blz,2013,14.59718
blz,2014,14.99844
blz,2015,19.94981
blz,2016,16.00044
blz,2017,15.94245
blz,2018,19.93389
blz,2019,12.82145
blz,2020,15.04928
bmu,2006,10.71329
bmu,2007,14.33818
bmu,2008,12.2458
bmu,2009,14.94104
bmu,2010,13.65983
bmu,2011,17.10373
bmu,2012,20.01505
bmu,2013,19.10842
bmu,2014,19.08215
bmu,2015,13.0515
bmu,2016,13.97473
bmu,2017,13.22961
bmu,2018,15.38871
bmu,2019,14.31011
bmu,2020,19.41563
bol,1976,11.21686
bol,1977,11.5448
bol,1978,10.57092
bol,1979,8.50955
bol,1980,9.12959
bol,1981,7.62977
bol,1982,6.22463
bol,1983,6.70482
bol,1984,5.24655
bol,1985,6.74523
bol,1986,8.25875
bol,1987,9.77054
bol,1988,9.57614
bol,1989,9.49027
bol,1990,9.36896
bol,1991,9.4473
bol,1992,9.13183
bol,1993,8.05098
bol,1994,11.11111
bol,1995,8.50942
bol,1996,9.68576
bol,1997,6.06582
bol,1998,8.44495
bol,1999,12.60841
bol,2000,13.84707
bol,2001,19.30184
bol,2002,24.24214
bol,2003,19.66826
bol,2004,19.5493
bol,2005,17.9726
bol,2006,14.78634
bol,2007,12.30558
bol,2008,12.86552
bol,2009,12.8885
bol,2010,12.94745
bol,2011,12.13602
bol,2012,12.90604
bol,2013,13.11215
bol,2014,8.15896
bol,2015,6.92628
bol,2016,4.95198
bol,2017,5.31597
bol,2018,5.95618
bol,2019,6.008
bol,2020,10.24681
bra,1975,2.11661
bra,1976,2.80446
bra,1977,2.14823
bra,1978,0.74821
bra,1979,0.816
bra,1980,1.04701
bra,1981,1.26508
bra,1982,1.87141
bra,1983,1.98499
bra,1984,4.05844
bra,1985,3.58839
bra,1986,4.03281
bra,1987,5.60704
bra,1988,3.77216
bra,1989,2.90688
bra,1990,2.44583
bra,1991,2.66297
bra,1992,2.3284
bra,1993,7.15856
bra,1994,2.5551
bra,1995,9.22964
bra,1996,2.95667
bra,1997,9.3077
bra,1998,6.79061
bra,1999,6.45634
bra,2000,6.17208
bra,2001,6.58649
bra,2002,8.99138
bra,2003,8.88268
bra,2004,7.00088
bra,2005,6.20612
bra,2006,5.81245
bra,2007,5.90194
bra,2008,6.14323
bra,2009,7.50485
bra,2010,4.95824
bra,2011,4.51496
bra,2012,4.07142
bra,2013,3.53089
bra,2014,2.77138
bra,2015,3.31152
bra,2016,3.48589
bra,2017,2.91836
bra,2018,2.64704
bra,2019,3.23047
bra,2020,4.06705
bra,2021,5.03948
brb,1967,7.77256
brb,1968,5.96846
brb,1969,4.95984
brb,1970,4.41529
brb,1971,4.1855
brb,1972,3.92264
brb,1973,3.85811
brb,1974,4.67387
brb,1975,4.46544
brb,1976,4.24716
brb,1977,3.51949
brb,1978,3.44675
brb,1979,1.30135
brb,1980,2.34118
brb,1981,2.38813
brb,1982,2.43037
brb,1983,2.45571
brb,1984,3.61262
brb,1985,3.46133
brb,1986,4.50772
brb,1987,4.77497
brb,1988,4.7092
brb,1989,5.10327
brb,1990,7.75491
brb,1991,6.63078
brb,1992,7.39387
brb,1993,7.56417
brb,1994,9.7914
brb,1995,8.70413
brb,1996,7.52999
brb,1997,6.44871
brb,1998,6.68262
brb,1999,6.73096
brb,2000,10.12052
brb,2001,6.83104
brb,2002,6.74727
brb,2003,5.59957
brb,2004,5.33513
brb,2005,5.91371
brb,2006,6.28467
brb,2007,5.59059
brb,2008,4.51891
brb,2009,3.96695
brb,2010,3.60985
brb,2011,5.41455
brb,2012,4.78992
brb,2013,4.92911
brb,2014,3.28168
brb,2015,8.1422
brb,2016,10.29141
brn,2001,0.91695
brn,2002,0.95071
brn,2003,0.90561
brn,2004,1.02235
brn,2005,1.17412
brn,2006,1.34024
brn,2007,1.56794
brn,2008,1.48383
brn,2009,1.50266
brn,2015,0.69666
brn,2016,3.43068
brn,2017,3.4924
brn,2018,1.46642
brn,2019,0.78981
brn,2020,1.26509
btn,2006,3.04762
btn,2007,2.65932
btn,2008,2.05889
btn,2009,2.63679
btn,2010,3.3378
btn,2011,3.34277
btn,2012,3.16875
btn,2013,2.2051
btn,2014,2.09483
btn,2015,2.63129
btn,2016,2.74051
btn,2017,4.32164
btn,2018,4.41387
btn,2019,7.07367
btn,2020,5.52703
bwa,1975,1.08541
bwa,1976,1.48094
bwa,1977,1.65125
bwa,1978,1.89573
bwa,1979,4.06646
bwa,1980,3.677
bwa,1981,3.57788
bwa,1982,4.58824
bwa,1983,4.92817
bwa,1984,5.7166
bwa,1985,5.04835
bwa,1986,5.57005
bwa,1987,6.39824
bwa,1988,7.64315
bwa,1989,6.75158
bwa,1990,5.43323
bwa,1991,3.95707
bwa,1992,5.25207
bwa,1993,5.76679
bwa,1994,12.42985
bwa,1995,7.99026
bwa,1996,4.14793
bwa,1997,4.37187
bwa,1998,3.67264
bwa,1999,4.08248
bwa,2000,3.84937
bwa,2001,4.58953
bwa,2002,5.11073
bwa,2003,7.98801
bwa,2004,9.80574
bwa,2005,5.88906
bwa,2006,6.24617
bwa,2007,5.42898
bwa,2008,3.39668
bwa,2009,3.04821
bwa,2010,3.56145
bwa,2011,4.36094
bwa,2012,0.51967
bwa,2013,0.6821
bwa,2014,0.4592
bwa,2015,2.44184
bwa,2016,1.46321
bwa,2017,2.12403
bwa,2018,6.52306
bwa,2019,7.82789
bwa,2020,1.33202
caf,1977,6.69525
caf,1978,5.3919
caf,1979,5.32166
caf,1980,4.72183
caf,1981,5.76789
caf,1982,5.10354
caf,1983,5.05949
caf,1984,6.72884
caf,1985,6.92308
caf,1986,7.67725
caf,1987,7.78594
caf,1988,7.26131
caf,1989,7.48655
caf,1990,8.79015
caf,1991,8.88802
caf,1992,8.3754
caf,1993,7.92525
caf,1994,7.91139
can,1981,7.84429
can,1982,8.7783
can,1983,8.69002
can,1984,8.46959
can,1985,9.31899
can,1986,8.61433
can,1987,8.35324
can,1988,6.92669
can,1989,6.8993
can,1990,5.97376
can,1991,6.65423
can,1992,6.58786
can,1993,6.8558
can,1994,7.58784
can,1995,7.29892
can,1996,8.2639
can,1997,8.6623
can,1998,8.61214
can,1999,7.93045
can,2000,7.81488
can,2001,8.62397
can,2002,9.31846
can,2003,9.13224
can,2004,8.48604
can,2005,8.62447
can,2006,9.55717
can,2007,9.61009
can,2008,8.87983
can,2009,9.55994
can,2010,10.3161
can,2011,9.33406
can,2012,8.49473
can,2013,8.84666
can,2014,9.17391
can,2015,10.25057
can,2016,11.36529
can,2017,10.91874
can,2018,10.99766
can,2019,10.18282
can,2020,14.07965
can,2021,13.98901
che,1977,1.63894
che,1978,1.5233
che,1979,1.55527
che,1980,1.60859
che,1981,1.50748
che,1982,1.38787
che,1983,1.42136
che,1984,1.3821
che,1985,1.31955
che,1986,1.35009
che,1987,1.22931
che,1988,1.27398
che,1989,1.3502
che,1990,1.34347
che,1991,1.24333
che,1992,1.16734
che,1993,1.13055
che,1994,1.09886
che,1995,1.09583
che,1996,1.16603
che,1997,1.24103
che,1998,4.74912
che,1999,5.26632
che,2000,6.74558
che,2001,5.72136
che,2002,5.01527
che,2003,4.87997
che,2004,4.9679
che,2005,6.05178
che,2006,7.24154
che,2007,8.67388
che,2008,9.16227
che,2009,8.28126
che,2010,7.1769
che,2011,6.57278
che,2012,4.75592
che,2013,4.45806
che,2014,4.21923
che,2015,4.43257
che,2016,4.25011
che,2017,4.23673
che,2018,4.24349
che,2019,4.07409
