geo,time,ny_gsr_nfcy_cn
arg,2013,-71811830284.5779
arg,2014,-93852820449.48941
arg,2015,-111469712524.14301
arg,2016,-181240417737.16296
arg,2017,-272090980376.46497
arg,2018,-526102530070.03906
arg,2019,-857485684327.68896
arg,2020,-717539558676.86304
arm,1990,-1850000
arm,1991,-90000
arm,1992,-51010000
arm,1993,-4565000
arm,1994,-571795200
arm,1995,14057066400
arm,1996,18520009200
arm,1997,47688644400
arm,1998,29672361000
arm,1999,29404914100
arm,2000,31817071300
arm,2001,35303274400
arm,2002,47227584600
arm,2003,53753529300
arm,2004,79138506100
arm,2005,94286429600
arm,2006,125655384100
arm,2007,170157268600
arm,2008,211510614900
arm,2009,130339327800
arm,2010,171241582300
arm,2011,134127730600
arm,2012,169960690500
arm,2013,279588815900
arm,2014,217199978100
arm,2015,204743795500
arm,2016,117791769900
arm,2017,195672866140.845
arm,2018,96776576174.75481
arm,2019,86006060522.7997
arm,2020,-95903306410.73808
atg,1977,-540000
atg,1978,-1080000
atg,1979,-4860000
atg,1980,-3240000
atg,1981,-5400000
atg,1982,-9990000
atg,1983,-2700000
atg,1984,-1080000
atg,1985,-7290000
atg,1986,-97290000
atg,1987,-107890000
atg,1988,-85390000
atg,1989,-122800000
atg,1990,-122380000
atg,1991,-86940000
atg,1992,-80100000
atg,1993,-61930000
atg,1994,-71710000
atg,1995,-72520000
atg,1996,-70790000
atg,1997,-59820000
atg,1998,-56800000
atg,1999,-63302000
atg,2000,-120201000
atg,2001,-66928000
atg,2002,-111906100
atg,2003,-104480000
atg,2004,-121730400
atg,2005,-113508600
atg,2006,-126207000
atg,2007,-142202000
atg,2008,-164926900
atg,2009,-137214800
atg,2010,-74844900
atg,2011,-94675800
atg,2012,-106991100
atg,2013,-104382100
atg,2014,-164038100
atg,2015,-227377900
atg,2016,-262175900
atg,2017,-212624300
atg,2018,-210468200
atg,2019,-286349800
atg,2020,-66658100
aus,1960,28000000
aus,1961,-20000000
aus,1962,51000000
aus,1963,-56000000
aus,1964,-4000000
aus,1965,66000000
aus,1966,-55000000
aus,1967,-194000000
aus,1968,-275000000
aus,1969,-481000000
aus,1970,-421000000
aus,1971,-451000000
aus,1972,-199000000
aus,1973,20000000
aus,1974,-220000000
aus,1975,131000000
aus,1976,-30000000
aus,1977,-709000000
aus,1978,-1302000000
aus,1979,-1483000000
aus,1980,-1448000000
aus,1981,-559000000
aus,1982,-3409000000
aus,1983,-1520000000
aus,1984,-2644000000
aus,1985,-3379000000
aus,1986,-4705000000
aus,1987,-5279000000
aus,1988,-6116000000
aus,1989,-10141000000
aus,1990,-14212000000
aus,1991,-16844000000
aus,1992,-16535000000
aus,1993,-12072000000
aus,1994,-10503000000
aus,1995,-17076000000
aus,1996,-18694000000
aus,1997,-18686000000
aus,1998,-18564000000
aus,1999,-19391000000
aus,2000,-19092000000
aus,2001,-19791000000
aus,2002,-20503000000
aus,2003,-22579000000
aus,2004,-24577000000
aus,2005,-34268000000
aus,2006,-38812000000
aus,2007,-48466000000
aus,2008,-48133000000
aus,2009,-44195000000
aus,2010,-50549000000
aus,2011,-56864000000
aus,2012,-45604000000
aus,2013,-38209000000
aus,2014,-41731000000
aus,2015,-32978000000
aus,2016,-38998000000
aus,2017,-47740000000
aus,2018,-57667000000
aus,2019,-62287000000
aus,2020,-40501000000
aut,1970,-94917000
aut,1971,-77614000
aut,1972,-142451000
aut,1973,-177351000
aut,1974,-59767000
aut,1975,-102302000
aut,1976,-201283000
aut,1977,-262906000
aut,1978,-272631000
aut,1979,-208532000
aut,1980,-113370000
aut,1981,-46059000
aut,1982,56879000
aut,1983,74399000
aut,1984,123908000
aut,1985,215467000
aut,1986,-212726000
aut,1987,-265530000
aut,1988,323921000
aut,1989,767889000
aut,1990,1037732000
aut,1991,412631000
aut,1992,134921000
aut,1993,251904000
aut,1994,-68388000
aut,1995,-679200000
aut,1996,-102700000
aut,1997,-873300000
aut,1998,-1193500000
aut,1999,-3229900000
aut,2000,-1860200000
aut,2001,-3015400000
aut,2002,-1315900000
aut,2003,-582900000
aut,2004,-333900000
aut,2005,-537900000
aut,2006,625500000
aut,2007,-286200000
aut,2008,2450400000
aut,2009,-124700000
aut,2010,2475200000
aut,2011,1045700000
aut,2012,321800000
aut,2013,873900000
aut,2014,439000000
aut,2015,-3389700000
aut,2016,-27000000
aut,2017,-3463300000
aut,2018,-3772800000
aut,2019,-1437100000
aut,2020,-426800000
aze,1993,100000
aze,1994,300000
aze,1995,-3400000
aze,1996,-7900000
aze,1997,-7300000
aze,1998,11700000
aze,1999,153900000
aze,2000,-84600000
aze,2001,-134800000
aze,2002,-188600000
aze,2003,-247300000
aze,2004,-504700000
aze,2005,-1428300000
aze,2006,-2244200000
aze,2007,-4144800000.00001
aze,2008,-4124699999.99999
aze,2009,-2628000000
aze,2010,-2542800000.00001
aze,2011,-3562899999.99999
aze,2012,-3099000000.00001
aze,2013,-2893599999.99999
aze,2014,-1691699999.99999
aze,2015,-1738800000
aze,2016,-3631200000
aze,2017,-2659200000
aze,2018,-3841000000
aze,2019,-3154700000
aze,2020,-426599999.99999
bdi,1960,-105399300
bdi,1961,-108999700
bdi,1962,-114400300
bdi,1963,-123599900
bdi,1964,-138200100
bdi,1965,-127900000
bdi,1966,-822200000
bdi,1967,-991000000
bdi,1968,-1183000000
bdi,1969,-1053000000
bdi,1970,-651800000
bdi,1971,-794100000
bdi,1972,-997300000
bdi,1973,-668800000
bdi,1974,-708000000
bdi,1975,-680800000
bdi,1976,-971400000
bdi,1977,-931400000
bdi,1978,-1301400000
bdi,1979,-914400000
bdi,1980,187800000
bdi,1981,-261000000
bdi,1982,-690000000
bdi,1983,-867300000
bdi,1984,-1559300000
bdi,1985,-2217700000
bdi,1986,-2357000000
bdi,1987,-3511000000
bdi,1988,-3220000000
bdi,1989,-2796300000
bdi,1990,-2549900000
bdi,1991,-2041100000
bdi,1992,-2844999800
bdi,1993,-2382847200
bdi,1994,-2874193300
bdi,1995,-3099528000
bdi,1996,-4210757200
bdi,1997,-4404375000
bdi,1998,-3716456100
bdi,1999,-6370769700
bdi,2000,10305581000
bdi,2001,-10227890200
bdi,2002,-12737686300
bdi,2003,-19374992800
bdi,2004,-30056083000
bdi,2005,-19143966000
bdi,2006,-9052415300
bdi,2007,-6383031100
bdi,2008,-5098470600
bdi,2009,-20913045800
bdi,2010,-13300000000
bdi,2011,-22000000000
bdi,2012,-9400000000
bdi,2013,2800000000
bdi,2014,-10500000000
bdi,2015,-2600000000
bdi,2016,-1400000000
bdi,2017,-8300000000
bdi,2018,10878500000
bdi,2019,13296819200
bdi,2020,31934822400
bel,1970,390383000
bel,1971,384560000
bel,1972,439971000
bel,1973,435127000
bel,1974,509956000
bel,1975,556780000
bel,1976,647417000
bel,1977,529349000
bel,1978,492790000
bel,1979,198713000
bel,1980,43638000
bel,1981,211249000
bel,1982,-211746000
bel,1983,-302608000
bel,1984,-60688000
bel,1985,335527000
bel,1986,412781000
bel,1987,810770000
bel,1988,834293000
bel,1989,512882000
bel,1990,784782000
bel,1991,1451419000
bel,1992,1476388000
bel,1993,3306858000
bel,1994,4932511000
bel,1995,4622200000
bel,1996,4983900000
bel,1997,5453200000
bel,1998,5649600000
bel,1999,5644500000
bel,2000,6607300000
bel,2001,4944600000
bel,2002,4722300000
bel,2003,5369300000
bel,2004,4121500000
bel,2005,3873300000
bel,2006,4676100000
bel,2007,4779800000
bel,2008,8555300000
bel,2009,6443100000
bel,2010,5573700000
bel,2011,601500000
bel,2012,8961100000
bel,2013,9678600000
bel,2014,8456100000
bel,2015,5897400000
bel,2016,4125300000
bel,2017,4079900000
bel,2018,4071700000
bel,2019,4594300000
bel,2020,4836000000
ben,1960,-174903300
ben,1961,-178069500
ben,1962,-178249700
ben,1963,-184053800
ben,1964,-189333500
ben,1965,-196050900
ben,1966,-24567800
ben,1967,-98402300
ben,1968,-346587100
ben,1969,-649904100
ben,1970,-691003400
ben,1971,-854335500
ben,1972,-529260500
ben,1974,553615400
ben,1975,-278593500
ben,1977,-49135600
ben,1978,67698700
ben,1979,255262700
ben,1980,-612696100
ben,1981,-869531600
ben,1982,-1971650600
ben,1983,-5068161000
ben,1984,-12933922800
ben,1985,-9569301100
ben,1986,-9003953500
ben,1987,-8595345700
ben,1988,-7386635800
ben,1989,-12172222300
ben,1990,-10599991300
ben,1991,-8700059100
ben,1992,-21194479800
ben,1993,-11279102900
ben,1994,-19506165400
ben,1995,-22090143000
ben,1996,-23542271300
ben,1997,-17405055100
ben,1998,-7899354000
ben,1999,-7597000000
ben,2000,-8734000000
ben,2001,-10685000000
ben,2002,-19613000000
ben,2003,-22140000000
ben,2004,-19547000000
ben,2005,-9367000000
ben,2006,-15798000000
ben,2007,-23225000000
ben,2008,-5064000000
ben,2009,-15580000000
ben,2010,-26489000000
ben,2011,-7314560000
ben,2012,-34071800000
ben,2013,-34087290000
ben,2014,-30235000000
ben,2015,-54698000000
ben,2016,-60895500000
ben,2017,-81430197900
ben,2018,-80550272300
ben,2019,-84069107200
ben,2020,-93652432700
bfa,1960,1091575800
bfa,1961,782417900
bfa,1962,2081095700
bfa,1963,839106600
bfa,1964,842047500
bfa,1965,-889027600
bfa,1966,-418660500
bfa,1967,-423005200
bfa,1968,-394964800
bfa,1969,-415536000
bfa,1970,0
bfa,1971,-138980100
bfa,1972,-328593100
bfa,1973,-53096600
bfa,1974,-542541800
bfa,1975,-2587099600
bfa,1976,-2275292400
bfa,1977,-4959821800
bfa,1978,-2504834000
bfa,1979,-1958990800
bfa,1980,-862084400
bfa,1981,-2665003800
bfa,1982,-3372137500
bfa,1983,-3843060500
bfa,1984,-2163000100
bfa,1985,-2560782100
bfa,1986,-1870020000
bfa,1987,-2644751900
bfa,1988,-3901835000
bfa,1989,-3796218900
bfa,1990,-2000000000
bfa,1991,-2600000000
bfa,1992,-3169999900
bfa,1993,-5288481800
bfa,1994,-7919331800
bfa,1995,-5010502100
bfa,1996,3529654300
bfa,1997,-1279934200
bfa,1998,-1649860200
bfa,1999,2410048900
bfa,2000,-2663697000
bfa,2001,-8846745500
bfa,2002,-23787346100
bfa,2003,-31688120400
bfa,2004,-23945682500
bfa,2005,-33768067900
bfa,2006,-9710958700
bfa,2007,-10753146400
bfa,2008,-16385136800
bfa,2009,-55256196100
bfa,2010,-149465945800
bfa,2011,-229804959200
bfa,2012,-162111883800
bfa,2013,-179578381500
bfa,2014,-298977560500
bfa,2015,-318683000000
bfa,2016,-338754000000
bfa,2017,-307528000000
bfa,2018,-278906000000
bfa,2019,-499014271299.99902
bfa,2020,-730290841900
bgd,1973,165951500
bgd,1974,82839700
bgd,1975,-74814200
bgd,1976,-175473300
bgd,1977,-654284100
bgd,1978,-658364900
bgd,1979,-452965900
bgd,1980,292455500
bgd,1981,5573000000
bgd,1982,6448000000
bgd,1983,12211000000
bgd,1984,13302000000
bgd,1985,9800000000
bgd,1986,12844000000
bgd,1987,17636000000
bgd,1988,18885000000
bgd,1989,20443000000
bgd,1990,20915000000
bgd,1991,23600000000
bgd,1992,29020000000
bgd,1993,34122000000
bgd,1994,42338000000
bgd,1995,46512000000
bgd,1996,49536000000
bgd,1997,58458000000
bgd,1998,64972000000
bgd,1999,75526000000
bgd,2000,87135000000
bgd,2001,88413000000
bgd,2002,125425000000
bgd,2003,140418000000
bgd,2004,165831000000
bgd,2005,189280000000
bgd,2006,272075000000
bgd,2007,352755000000
bgd,2008,483895000000
bgd,2009,559012000000
bgd,2010,646035000000
bgd,2011,725135000000
bgd,2012,893020000000
bgd,2013,964291000000
bgd,2014,895494000000
bgd,2015,984021000000
bgd,2016,998112000000
bgd,2017,849010000000
bgd,2018,1026283000000
bgd,2019,1136096000000
bgd,2020,1338974000000
bgr,1980,-408100
bgr,1981,-276800
bgr,1982,-231700
bgr,1983,-142500
bgr,1984,-69500
bgr,1985,-119400
bgr,1986,-223500
bgr,1987,-408400
bgr,1988,-715700
bgr,1989,-1146200
bgr,1990,-3599600
bgr,1991,-13776000
bgr,1992,-3293000
bgr,1993,-5318000
bgr,1994,-10430900
bgr,1995,-29017800
bgr,1996,-70460300
bgr,1997,-600259500
bgr,1998,-499062100
bgr,1999,-339418300
bgr,2000,-686689200
bgr,2001,54399400
bgr,2002,713449500
bgr,2003,595702300
bgr,2004,481202600
bgr,2005,131444800
bgr,2006,-1327069000
bgr,2007,-4638680400
bgr,2008,-3465984800
bgr,2009,-2343921000
bgr,2010,-1557662000
bgr,2011,-2537880000
bgr,2012,-1099115000
bgr,2013,-1808981000
bgr,2014,-724782000
bgr,2015,-2788638000
bgr,2016,-2965341000
bgr,2017,-4413870447.37742
bgr,2018,-5259107150.65786
bgr,2019,-5108113406.58309
bgr,2020,-4126266653.43951
bhr,1980,-78500000
bhr,1981,-10100000
bhr,1982,-4300000
bhr,1983,4200000
bhr,1984,-42000000
bhr,1985,-139200000
bhr,1986,-149300000
bhr,1987,-149000000
bhr,1988,-162100000
bhr,1989,-135500000
bhr,1990,83300000
bhr,1991,71900000
bhr,1992,12100000
bhr,1993,-72900000
bhr,1994,-91200000
bhr,1995,-22144300
bhr,1996,-9480400
bhr,1997,-88780000
bhr,1998,-60907300
bhr,1999,-101665700
bhr,2000,-84082500
bhr,2001,-120910700
bhr,2002,-197379100
bhr,2003,-185359500
bhr,2004,-216114400
bhr,2005,-155044100
bhr,2006,-144732700
bhr,2007,-112306000
bhr,2008,-347302700
bhr,2009,-902349200
bhr,2010,-892253000
bhr,2011,-1415400000
bhr,2012,-378780900
bhr,2013,-449644900
bhr,2014,-613857600
bhr,2015,-652698400
bhr,2016,-675100000
bhr,2017,-748110000
bhr,2018,-780600000
bhr,2019,-850000000
bhr,2020,-924600000
bhs,1960,-20600200
bhs,1961,-23100200
bhs,1962,-25700300
bhs,1963,-28800300
bhs,1964,-32300300
bhs,1965,-36400000
bhs,1966,-41300000
bhs,1967,-47300000
bhs,1968,-54000000
bhs,1969,-64000000
bhs,1976,-75600000
bhs,1977,-83600000
bhs,1978,-127800000
bhs,1979,-133600000
bhs,1980,-134500000
bhs,1981,-151900000
bhs,1982,-131600000
bhs,1983,-138500000
bhs,1984,-165100000
bhs,1985,-180600000
bhs,1986,-183600000
bhs,1987,-183300000
bhs,1988,-166900000
bhs,1989,-131600000
bhs,1990,-172800000
bhs,1991,-179000000
bhs,1992,-82600000
bhs,1993,-128400000
bhs,1994,-137600000
bhs,1995,453158500
bhs,1996,812275600
bhs,1997,-152600000
bhs,1998,-197500000
bhs,1999,-126800000
bhs,2000,-140200000
bhs,2001,-198900000
bhs,2002,-184345100
bhs,2003,-152420000
bhs,2004,-141320000
bhs,2005,-182064700
bhs,2006,-218000000
bhs,2007,-231600000
bhs,2008,-59340000
bhs,2009,-140320000
bhs,2010,-207500000
bhs,2011,-188120000
bhs,2012,-279370000
bhs,2013,-297600000
bhs,2014,-436210000
bhs,2015,-494850000
bhs,2016,-556000000
bhs,2017,-545530000
bhs,2018,-835110000
bhs,2019,-622180000
bhs,2020,-532580000
bih,1994,-267300000
bih,1995,-346810200
bih,1996,-334065600
bih,1997,-395374800
bih,1998,1423709200
bih,1999,1336559400
bih,2000,1253246800
bih,2001,1163637700
bih,2002,1055797100
bih,2003,924164400
bih,2004,794641700
bih,2005,736000000
bih,2006,611000000
bih,2007,670000000
bih,2008,943000000
bih,2009,955000000
bih,2010,413000000
bih,2011,211000000
bih,2012,205008800
bih,2013,356626800
bih,2014,223781100
bih,2015,194926200
bih,2016,40578000
bih,2017,-263332400
bih,2018,-194820800
bih,2019,-115440200
bih,2020,-295728100
blr,1990,0
blr,1991,0
blr,1992,0
blr,1993,0
blr,1994,-10500
blr,1995,-58800
blr,1996,-40700
blr,1997,-220100
blr,1998,-428500
blr,1999,-1047000
blr,2000,-4094400
blr,2001,-6797100
blr,2002,-9169500
blr,2003,2912800
blr,2004,-194400
blr,2005,-10273700
blr,2006,-21381300
blr,2007,-79941400
blr,2008,-103102500
blr,2009,-226097300
blr,2010,-332103900
blr,2011,-687544100
blr,2012,-1252535600
blr,2013,-2419903100
blr,2014,-2514209000
blr,2015,-3977674800
blr,2016,-4406085900
blr,2017,-4022973500
blr,2018,-4371154600
blr,2019,-3911875200
blr,2020,-6355889900
blz,1960,-201800
blz,1961,-298500
blz,1962,-222100
blz,1963,-230900
blz,1964,-242700
blz,1965,-300000
blz,1966,-300000
blz,1967,-300000
blz,1968,-2600000
blz,1969,-2800000
blz,1970,-2900000
blz,1971,-3700000
blz,1972,-4700000
blz,1973,-6700000
blz,1974,-18500000
blz,1975,-22200000
blz,1976,-18700000
blz,1977,-11200000
blz,1978,-13600000
blz,1979,-10600000
blz,1980,-3900000
blz,1981,-3800000
blz,1982,-9800000
blz,1983,-11000000
blz,1984,-15400000
blz,1985,-19800000
blz,1986,-12400000
blz,1987,-12200000
blz,1988,-12400000
blz,1989,-19400000
blz,1990,-16200000
blz,1991,-18800000
blz,1992,-29900000
blz,1993,-37100000
blz,1994,-51233200
blz,1995,-45142600
blz,1996,-52807500
blz,1997,-46682900
blz,1998,-64304100
blz,1999,-80281500
blz,2000,-105798200
blz,2001,-134099000
blz,2002,-134962300
blz,2003,-178955700
blz,2004,-233488300
blz,2005,-228852500
blz,2006,-250565100
blz,2007,-317905600
blz,2008,-330354500
blz,2009,-181289600
blz,2010,-276998500
blz,2011,-194400000
blz,2012,-240400000
blz,2013,-238400000
blz,2014,-275600000
blz,2015,-190900000
blz,2016,-221600000
blz,2017,-250400000
blz,2018,-312500000
blz,2019,-326900000
blz,2020,-117300000
bmu,2010,146174000
bmu,2011,161578000
bmu,2012,283429000
bmu,2013,298596000
bmu,2014,243841000
bmu,2015,239188000
bmu,2016,195872000
bmu,2017,292963000
bmu,2018,234911000
bmu,2019,103865000
bmu,2020,199379501.36272
bol,1976,-630.315
bol,1977,-1342.671
bol,1978,-2279.139
bol,1979,-3719.52767
bol,1980,-6451.212
bol,1981,-8881.144
bol,1982,-26314.2335
bol,1983,-83803.734
bol,1984,-1301088.71325
bol,1985,-164086817.2075
bol,1986,-592924145.83333
bol,1987,-570631845
bol,1988,-622343993.33333
bol,1989,-697415151.66667
bol,1990,-788720790
bol,1991,-884410300
bol,1992,-771132100
bol,1993,-878180700
bol,1994,-843244300
bol,1995,-991750600
bol,1996,-1056534300
bol,1997,-1032461800
bol,1998,-893743600
bol,1999,-1140394500
bol,2000,-1394574200
bol,2001,-1395116500
bol,2002,-1467699000
bol,2003,-2311899700
bol,2004,-3053137400
bol,2005,-3035689300
bol,2006,-3182564300
bol,2007,-3842694700
bol,2008,-3882460100
bol,2009,-4730132800
bol,2010,-6237383800
bol,2011,-6838188700
bol,2012,-11258310600
bol,2013,-13182698296.9614
bol,2014,-11732901541.6143
bol,2015,-7788245358.91002
bol,2016,-4290391012.14989
bol,2017,-7667656463.58853
bol,2018,-6741776612.95998
bol,2019,-5852097096.37658
bol,2020,-2854322144.98688
bra,1960,0
bra,1961,0
bra,1962,0
bra,1963,0
bra,1964,0
bra,1965,0
bra,1966,-0.001
bra,1967,-0.001
bra,1968,-0.001
bra,1969,-0.001
bra,1970,-0.001
bra,1971,-0.001
bra,1972,-0.001
bra,1973,-0.002
bra,1974,-0.002
bra,1975,-0.005
bra,1976,-0.009
bra,1977,-0.015
bra,1978,-0.031
bra,1979,-0.059
bra,1980,-0.148
bra,1981,-0.369
bra,1982,-0.943
bra,1983,-2.487
bra,1984,-7.979
bra,1985,-26.787
bra,1986,-59.41
bra,1987,-158.75
bra,1988,-1259.5
bra,1989,22913.69
bra,1990,-307000
bra,1991,-1351000
bra,1992,-12091000
bra,1993,-343190000
bra,1994,-13420337000
bra,1995,-10504294900
bra,1996,-23026368800
bra,1997,-30378418100
bra,1998,-44316302200
bra,1999,-56818271100
bra,2000,-34531641106.7805
bra,2001,-42720248308.2055
bra,2002,-49945979377.8794
bra,2003,-54518121608.8471
bra,2004,-57839214225.78049
bra,2005,-62744391528.35889
bra,2006,-60293582446.5602
bra,2007,-57780665730.7324
bra,2008,-76253547725.20369
bra,2009,-73751754711.21948
bra,2010,-120034669835.198
bra,2011,-112459744200
bra,2012,-120130137194.70399
bra,2013,-74083761375.1153
bra,2014,-107686995448.205
bra,2015,-112822283311.112
bra,2016,-133006332289.252
bra,2017,-123115925305.02
bra,2018,-194759505271.37201
bra,2019,-198399268946.50296
bra,2020,-142615783341.67099
brb,1986,-55200000
brb,1987,-67200000
brb,1988,-70800000
brb,1989,-51600000
brb,1990,-91300000
brb,1991,-79100000
brb,1992,-56600000
brb,1993,-79800000
brb,1994,-91400000
brb,1995,-117600000
brb,1996,-140700000
brb,1997,-122300000
brb,1998,-136300000
brb,1999,-172500000
brb,2000,-190300000
brb,2001,-219200000
brb,2002,-237900000
brb,2003,-267900000
brb,2004,-233700000
brb,2005,-350000000
brb,2006,-512801000
brb,2007,-375634000
brb,2008,-491904100
brb,2009,-380103300
brb,2010,-223899300
brb,2011,-600292800
brb,2012,-344806800
brb,2013,-389198900
brb,2014,-394882700
brb,2015,-425884700
brb,2016,-442871700
brb,2017,-447493600
brb,2018,-460793800
brb,2019,-357850700
brn,1989,0
brn,1990,0
brn,1991,0
brn,1992,0
brn,1993,0
brn,1994,0
brn,1995,0
brn,1996,0
brn,1997,0
brn,1998,0
brn,1999,0
brn,2000,0
brn,2001,0
brn,2002,0
brn,2003,0
brn,2004,0
brn,2005,0
brn,2006,0
brn,2007,94043000
brn,2008,77237400
brn,2009,75784700
brn,2010,-137000000
brn,2011,-626000000
brn,2012,-571000000
brn,2013,-251000000
brn,2014,-19600000
brn,2015,894489000
brn,2016,1153527000
brn,2017,994822000
brn,2018,113130100
brn,2019,492601900
btn,1980,-200000000
btn,1981,-269700000
btn,1982,-321600000
btn,1983,-456100000
btn,1984,-387800000
btn,1985,-427700000
btn,1986,-452400000
btn,1987,-406200000
btn,1988,-365400000
btn,1989,-212200000
btn,1990,-326100000
btn,1991,-491200000
btn,1992,-734000000
btn,1993,-734300000
btn,1994,-634000000
btn,1995,-1207700000
btn,1996,-1246600000
btn,1997,-1140900000
btn,1998,-2323200000
btn,1999,-3083000000
btn,2000,-22279900
btn,2001,-11190900
btn,2002,-390964700
btn,2003,-642580100
btn,2004,-724054000
btn,2005,-510186600
btn,2006,-161096300
btn,2007,-659800000
btn,2008,-1480000000
btn,2009,-2448000000
btn,2010,-4023000000
btn,2011,-5316000000
btn,2012,-7594000000
btn,2013,-7233040000
btn,2014,-8238390000
btn,2015,-9159330000
btn,2016,-12463830000
btn,2017,-13859390000
btn,2018,-15058580000
btn,2019,-16164830000
btn,2020,-10585463898.443
bwa,1960,2706200
bwa,1961,2892100
bwa,1962,3091700
bwa,1963,3378100
bwa,1964,3686800
bwa,1965,4050000
bwa,1966,3950000
bwa,1967,2600500
bwa,1968,2950000
bwa,1969,3700000
bwa,1970,3171400
bwa,1971,2473900
bwa,1972,-6000
