geo,time,nv_agr_totl_cd
dza,2012,18335908481.2216
dza,2013,20663211051.2496
dza,2014,21993348142.8164
dza,2015,19218254985.0335
dza,2016,19556326529.4934
dza,2017,19996440575.6355
dza,2018,20769269034.8886
dza,2019,21189591264.9472
dza,2020,20496747038.8904
ecu,1960,696475648.53081
ecu,1961,596929975.43946
ecu,1962,535212470.58616
ecu,1963,623848280.75856
ecu,1964,714443379.26708
ecu,1965,747458301.61146
ecu,1966,681026456.84235
ecu,1967,725362709.8686
ecu,1968,756111449.58447
ecu,1969,817011642.70104
ecu,1970,745089165.94259
ecu,1971,695682482.35474
ecu,1972,823120571.07695
ecu,1973,987552393.11516
ecu,1974,1590015189.68133
ecu,1975,1728430540.46388
ecu,1976,1829088792.00333
ecu,1977,2062265567.6225
ecu,1978,2169910168.1382
ecu,1979,2271225734.76822
ecu,1980,2880871974.78984
ecu,1981,3438781414.25874
ecu,1982,3174041508.53753
ecu,1983,2898914623.71402
ecu,1984,3147984017.61869
ecu,1985,3237568961.05717
ecu,1986,3187101769.10404
ecu,1987,2977011060.02173
ecu,1988,2872825117.4483
ecu,1989,3111641596.51571
ecu,1990,3127253080.03645
ecu,1991,3544331165.58279
ecu,1992,3423812906.45323
ecu,1993,4432258129.06453
ecu,1994,5029050525.26263
ecu,1995,5353774887.44372
ecu,1996,5234491245.62281
ecu,1997,5663043521.76088
ecu,1998,4890101050.52526
ecu,1999,3451939969.98499
ecu,2000,2823308654.32716
ecu,2001,3097021000
ecu,2002,3206310000
ecu,2003,3516792000
ecu,2004,3546435000
ecu,2005,3935357000
ecu,2006,4403200000
ecu,2007,4772112000
ecu,2008,5537442000
ecu,2009,6198165000
ecu,2010,6769906000
ecu,2011,7611445000
ecu,2012,7598802000
ecu,2013,8342246000
ecu,2014,9284062000
ecu,2015,9387758000
ecu,2016,9513086000
ecu,2017,9730031000
ecu,2018,9626014000
ecu,2019,9514079000
ecu,2020,9686448000
egy,1965,1271515945.82787
egy,1966,1313403842.00302
egy,1967,1354046881.91066
egy,1968,1505607476.63551
egy,1969,1666585956.41647
egy,1970,1938960060.28636
egy,1971,1974241264.98342
egy,1972,2208634953.46432
egy,1973,2683678625.56847
egy,1974,2658632869.31228
egy,1975,3218106093.8185
egy,1976,3464150943.39623
egy,1977,3574109805.29732
egy,1978,3465130382.04973
egy,1979,3614285571.42857
egy,1980,3593274020.50074
egy,1981,4785945945.94595
egy,1982,4991379310.34483
egy,1983,5897555296.85681
egy,1984,6151365297.78542
egy,1985,6679928803.26667
egy,1986,7173994387.27783
egy,1987,7942654831.10762
egy,1988,6312322714.36684
egy,1989,7432362556.79471
egy,1990,7956482772.54374
egy,1991,6350947357.92622
egy,1992,6523636144.79584
egy,1993,7331032412.96519
egy,1994,8155397390.27284
egy,1995,9451489236.21351
egy,1996,10898584905.6604
egy,1997,12354572271.3864
egy,1998,13474616292.7981
egy,1999,14430846358.0065
egy,2000,15512989872.303
egy,2001,14842318059.2992
egy,2002,13116629213.4831
egy,2003,12273461538.4615
egy,2004,11242207792.2078
egy,2005,12527787021.6306
egy,2006,14220208695.6522
egy,2007,17504921190.8932
egy,2008,20564327272.72729
egy,2009,24585226860.2541
egy,2010,29214083484.5735
egy,2011,32729655765.9208
egy,2012,31464166666.66669
egy,2013,32519069767.44189
egy,2014,34647503586.8006
egy,2015,37528234501.34769
egy,2016,39126122699.3865
egy,2017,27074687500
egy,2018,28030284755.2054
egy,2019,33487331782.46009
egy,2020,42250999026.8247
eri,1992,130495494.51269
eri,1993,90931691.27209
eri,1994,116509740.25974
eri,1995,108734375
eri,1996,112542671.51195
eri,1997,103765330.07403
eri,1998,174207745.28315
eri,1999,156539018.22731
eri,2000,88935064.93506
eri,2001,114087987.97471
eri,2002,99200906.99374
eri,2003,102949617.73755
eri,2004,118028569.3563
eri,2005,248244255.88402
