geo,time,ic_frm_bkwc_zs
hun,2005,41.8
hun,2013,28.8
hun,2019,31.5
idn,2009,13.8
idn,2015,32
ind,2006,36.4
ind,2014,36.4
irl,2005,46.1
irl,2020,24.4
irq,2011,4.6
isr,2013,34.3
ita,2019,27.8
jam,2010,53.1
jor,2006,18.3
jor,2013,26.1
jor,2019,20
kaz,2002,21.2
kaz,2005,34.2
kaz,2013,13.1
kaz,2019,13.2
ken,2007,26
ken,2013,41.1
ken,2018,36.2
kgz,2002,11.2
kgz,2003,16.7
kgz,2005,23.6
kgz,2013,21.2
kgz,2019,18.8
khm,2007,12.6
khm,2013,3.6
khm,2016,18.2
kna,2010,52
kor,2005,41.2
kos,2013,55.8
kos,2019,53.1
lao,2009,10.8
lao,2012,28.7
lao,2016,8.3
lao,2018,23.1
lbn,2009,51.3
lbn,2013,40.2
lbn,2019,44.5
lbr,2009,12.8
lbr,2017,20.1
lca,2010,49.2
lka,2011,40.6
lso,2009,31.9
lso,2016,34.9
ltu,2002,26
ltu,2004,28.1
ltu,2005,31.9
ltu,2013,26.6
ltu,2019,20.9
lux,2020,30.3
lva,2002,26.1
lva,2005,45.2
lva,2013,12
lva,2019,26.5
mar,2007,30.2
mar,2013,49.3
mar,2019,45
mda,2002,34.5
mda,2003,27.5
mda,2005,33.7
mda,2013,35.4
mda,2019,23.4
mdg,2009,20.2
mdg,2013,19.1
mex,2006,5.9
mex,2010,26.9
mkd,2002,8.9
mkd,2005,17.3
mkd,2013,42.8
mkd,2019,38.6
mli,2007,6.7
mli,2010,21.4
mli,2016,51.7
mlt,2019,61.8
mmr,2014,4.7
mmr,2016,11.2
mne,2013,42.8
mne,2019,26
mng,2013,39.9
mng,2019,37.5
moz,2007,8.5
moz,2018,9
mrt,2006,13.5
mrt,2014,29.4
mus,2009,39.5
mwi,2009,31
mwi,2014,29.2
mys,2007,49.3
mys,2015,42.6
nam,2006,19.6
nam,2014,11.8
ner,2006,26.4
ner,2009,33.4
ner,2017,28.9
nga,2007,4.3
nga,2014,16.9
nic,2006,37.9
nic,2010,18.4
nic,2016,30.4
nld,2020,36.3
npl,2009,32.2
npl,2013,13.7
pak,2007,4.6
pak,2013,8.6
pan,2006,39.4
pan,2010,9
per,2006,60.9
per,2010,49.9
per,2017,66.5
phl,2009,19.1
phl,2015,12.4
png,2015,22.9
pol,2002,35.5
pol,2003,27.7
pol,2005,28
pol,2013,32.5
pol,2019,43.9
prt,2005,20.3
prt,2019,27.2
pry,2006,25.8
pry,2010,48
pry,2017,41.9
pse,2006,14.2
pse,2013,11.1
pse,2019,12.7
rou,2002,26.3
rou,2005,36
rou,2013,38.1
rou,2019,31.6
rus,2002,15.7
rus,2005,22.3
rus,2012,21.3
rus,2019,33.4
rwa,2006,32.5
rwa,2011,43.9
rwa,2019,42.6
sdn,2014,2.6
sen,2007,9.6
sen,2014,19.6
slb,2015,35.5
sle,2009,24.7
sle,2017,8.6
slv,2006,39
slv,2010,44.5
slv,2016,35.2
srb,2002,11.5
srb,2005,29.9
srb,2013,47.4
srb,2019,51
ssd,2014,6
sur,2010,57.6
sur,2018,44.5
svk,2002,21
svk,2005,34
svk,2013,40.2
svk,2019,24.2
svn,2002,14.7
svn,2005,42.7
svn,2013,39.4
svn,2019,41.6
swe,2014,26.6
swe,2020,25
swz,2006,16
swz,2016,32
syr,2009,16
tcd,2009,16.1
tcd,2018,9.8
tgo,2009,16.9
tgo,2016,40.3
tha,2006,71.9
tha,2016,28.9
tjk,2002,4.1
tjk,2003,3.7
tjk,2005,8
tjk,2013,19.6
tjk,2019,12.8
tls,2009,2.6
tls,2015,19.1
ton,2009,3
tto,2010,63.8
tun,2013,44.7
tun,2020,41.7
tur,2002,10.5
tur,2004,18.8
tur,2005,36.8
tur,2013,43.2
tur,2019,34
tza,2006,17.3
tza,2013,14.7
uga,2006,14
uga,2013,21.4
ukr,2002,14.9
ukr,2005,27.3
ukr,2013,13.9
ukr,2019,21.5
ury,2006,20.6
ury,2010,26.4
ury,2017,39.8
uzb,2002,2.7
uzb,2003,2
uzb,2005,15
uzb,2013,13.4
uzb,2019,23.7
vct,2010,52.7
ven,2006,24.9
ven,2010,27.1
vnm,2009,47
vnm,2015,32.3
vut,2009,33.2
wsm,2009,68.7
yem,2010,6
yem,2013,4.6
zaf,2007,21.1
zaf,2020,9.9
zmb,2007,15
zmb,2013,13.2
zmb,2019,13.1
zwe,2011,12.8
zwe,2016,12
