geo,time,se_adt_1524_lt_ma_zs
mex,2012,98.72037
mex,2013,98.52684
mex,2014,98.92221
mex,2015,98.87352
mex,2016,99.02592
mex,2017,99.0813
mex,2018,99.24864
mex,2020,98.99364
mhl,2011,98.16972
mkd,1994,99.14446
mkd,2002,98.98544
mkd,2014,98.76
mkd,2020,99.0291
mli,1976,26.66563
mli,1998,32.25118
mli,2006,47.37997
mli,2010,56.37127
mli,2011,56.31502
mli,2015,60.52549
mli,2018,57.83326
mli,2020,55.22721
mlt,1985,96.93004
mlt,1995,94.36507
mlt,2005,97.45976
mlt,2011,98.40398
mlt,2018,99.05695
mmr,1983,88.5658
mmr,2000,95.7881
mmr,2016,85.11967
mmr,2019,95.27067
mne,1981,99.14711
mne,1991,99.26479
mne,2003,99.45795
mne,2011,99.36079
mne,2018,99.23
mng,2000,96.99861
mng,2010,98.02181
mng,2018,98.19
mng,2020,98.92643
moz,1980,63.95418
moz,1997,59.4527
moz,2003,74.36055
moz,2009,79.84044
moz,2015,79.06706
moz,2017,77.26017
mrt,2000,67.73265
mrt,2007,66.39988
mrt,2013,74.22377
mrt,2017,70.93633
mus,1990,90.69557
mus,2000,93.72184
mus,2011,97.68915
mus,2018,98.73798
mwi,1987,70.44065
mwi,1998,82.09123
mwi,2010,74.26925
mwi,2014,78.78466
mwi,2015,72.49172
mys,1980,89.49591
mys,1991,95.90644
mys,2000,97.20814
mys,2010,98.38104
mys,2016,97.39067
mys,2017,97.12167
mys,2018,96.69582
mys,2019,96.59851
nam,1991,85.70274
nam,2001,91.14834
nam,2007,83.23858
nam,2011,93.45852
nam,2018,94.10937
ncl,1976,97.00249
ncl,1989,98.65693
ncl,1996,99.04522
ncl,2014,99.18
ner,2001,26.23006
ner,2005,52.44952
ner,2012,48.55718
ner,2018,51.07
nga,1991,81.35603
nga,2003,78.12795
nga,2006,83.12366
nga,2008,75.56594
nga,2018,81.58064
nic,2001,83.63
nic,2005,85.15562
nic,2015,89.64283
npl,1981,45.09614
npl,1991,68.22963
npl,2001,80.61597
npl,2011,89.88402
npl,2018,94.03428
omn,2003,97.86509
omn,2008,97.63412
omn,2010,97.40565
omn,2014,99.1306
omn,2015,99.43405
omn,2016,98.51479
omn,2017,98.46439
omn,2018,98.35663
pak,1981,44.50287
pak,1998,67.14935
pak,2005,76.65172
pak,2006,79.10218
pak,2007,75.23849
pak,2008,79.42005
pak,2009,79.14432
pak,2010,79.50414
pak,2011,78.04242
pak,2012,80.28826
pak,2013,79.40381
pak,2014,79.76598
pak,2017,81.26352
pak,2018,79.7831
pak,2019,79.72925
pan,1980,95.9275
pan,1990,95.39389
pan,2000,96.53054
pan,2010,97.93447
pan,2018,99.3122
pan,2019,98.90382
per,1981,96.51333
per,1993,96.98548
per,2004,97.80303
per,2005,97.92135
per,2006,98.51275
per,2007,98.01326
per,2012,98.71934
per,2014,99.15706
per,2015,99.23967
per,2016,99.08887
per,2017,99.25598
per,2018,99.0792
per,2020,99.51778
phl,1980,91.06331
phl,1990,96.27673
phl,1994,95.81552
phl,2000,94.45826
phl,2003,93.5783
phl,2008,97.01995
phl,2013,97.42543
phl,2015,98.90415
phl,2019,97.89731
plw,1980,94.1936
plw,2013,99.76959
plw,2015,98.24561
png,2000,69.13374
png,2010,64.57
pol,1978,99.77874
pol,1988,99.77874
pol,1998,99.77874
pol,2008,99.77874
pri,1980,93.01827
pri,1990,92.2239
pri,2010,98.81458
pri,2017,92.38995
prk,2008,99.99944
prt,1981,97.66432
prt,1991,99.14246
prt,2011,99.3918
prt,2018,99.62657
pry,1982,90.17329
pry,1992,95.85675
pry,2007,98.80972
pry,2008,97.69172
pry,2009,98.04145
pry,2010,98.50034
pry,2012,98.25123
pry,2013,98.59587
pry,2014,98.9637
pry,2015,98.35383
pry,2016,98.20768
pry,2018,97.73242
pry,2019,98.03513
pry,2020,98.63162
pse,1997,96.91563
pse,2004,99.0213
pse,2006,99.04006
pse,2007,99.14022
pse,2008,99.26932
pse,2009,99.23454
pse,2010,99.19628
pse,2011,99.25737
pse,2012,99.34319
pse,2013,99.41851
pse,2014,99.40951
pse,2015,99.40797
pse,2016,99.44656
pse,2017,99.25569
pse,2018,99.29223
pse,2019,99.37025
pse,2020,99.22022
qat,1986,88.5273
qat,1997,94.12276
qat,2004,93.40882
qat,2007,94.78671
qat,2008,92.9777
qat,2009,94.42349
qat,2010,91.09846
qat,2011,93.70831
qat,2012,92.03329
qat,2013,90.30664
qat,2014,92.68366
qat,2016,94.80638
qat,2017,94.0699
rou,1992,99.18007
rou,2002,97.74423
rou,2011,99.01409
rou,2018,99.41938
rus,1989,99.69101
rus,2002,99.67908
rus,2010,99.66278
rus,2018,99.64997
rwa,1978,59.6562
rwa,2000,78.52217
rwa,2010,76.65858
rwa,2012,81.12005
rwa,2014,83.8141
rwa,2018,84.32593
sau,1992,93.96331
sau,2000,98.07428
sau,2004,96.95305
sau,2013,99.30072
sau,2017,99.32152
sau,2020,99.54517
sdn,2000,85.69496
sdn,2008,68.66786
sdn,2018,72.51
sen,1988,49.1273
sen,2002,58.48508
sen,2006,58.12517
sen,2009,72.49814
sen,2011,73.72637
sen,2013,62.82668
sen,2017,75.57641
sgp,1980,96.40878
sgp,1990,98.85512
sgp,2000,99.40999
sgp,2010,99.73789
sgp,2011,99.89365
sgp,2012,99.89687
sgp,2013,99.89628
sgp,2014,99.89716
sgp,2015,99.73515
sgp,2016,99.91319
sgp,2017,99.92116
sgp,2018,99.91742
sgp,2019,99.91379
sle,2004,59.61425
sle,2013,64.5305
sle,2018,70.57611
slv,1992,84.94526
slv,2006,94.39687
slv,2007,93.21922
slv,2008,95.40501
slv,2009,94.70805
slv,2010,95.66904
slv,2011,96.15056
slv,2013,96.94699
slv,2015,97.46197
slv,2016,97.7232
slv,2017,97.7997
slv,2018,97.72745
slv,2019,97.97557
som,1972,15.88
srb,2003,99.39427
srb,2011,99.34544
srb,2016,99.71523
srb,2019,99.99946
ssd,2008,44.07936
ssd,2018,48.42514
stp,1981,90.81989
stp,1991,95.80854
stp,2001,95.97399
stp,2008,83.05633
stp,2012,97.12077
stp,2018,97.71246
sur,2004,95.61588
sur,2008,99.37586
sur,2010,97.97273
sur,2012,98.08572
sur,2018,98.87544
svn,1991,99.73697
svn,2004,99.79
svn,2014,99.79
swz,1976,76.08308
swz,1986,83.08649
swz,2000,90.69415
swz,2010,92.18742
swz,2018,94.29769
syc,1987,96.80686
syc,1994,98.49398
syc,2002,98.7706
syc,2010,98.58672
syc,2018,98.56
syr,1981,88.83198
syr,2002,97.14407
syr,2004,94.60731
tcd,1993,26.24623
tcd,2000,55.6862
tcd,2004,53.70823
tcd,2015,51.8363
tcd,2016,40.69289
tgo,2000,83.78623
tgo,2006,84.85532
tgo,2009,87.628
tgo,2011,86.91668
tgo,2015,89.67247
tgo,2019,92.08284
tha,1980,97.57082
tha,2000,98.09989
tha,2005,98.21679
tha,2010,96.64255
tha,2013,97.97784
tha,2015,98.00288
tha,2018,97.69088
tjk,1989,99.73645
tjk,2000,99.84443
tjk,2014,99.86
tkm,1995,99.80791
tkm,2014,99.77
tls,2010,80.48976
tls,2018,82.45848
ton,1976,99.84105
ton,1996,99.26522
ton,2006,99.30216
ton,2011,99.36657
ton,2018,99.34871
tto,1980,99.19504
tto,1990,99.3
tto,2000,99.44
tto,2010,99.55
tun,1984,85.74457
tun,2004,96.39501
tun,2007,97.83991
tun,2008,98.13431
tun,2010,98.21085
tun,2011,98.23633
tun,2012,97.97062
tun,2014,96.61184
tur,1975,90.75405
tur,1980,93.62198
tur,1985,95.68404
tur,1990,96.57077
tur,2004,98.02444
tur,2005,98.36093
tur,2006,98.36596
tur,2007,98.58456
tur,2009,99.01896
tur,2010,99.21416
tur,2011,99.4467
tur,2012,99.5905
tur,2013,99.68914
tur,2014,99.74698
tur,2015,99.8061
tur,2016,99.85979
tur,2017,99.90791
tur,2019,99.96417
tza,1988,86.20432
tza,2002,80.91718
tza,2010,76.49114
tza,2012,87.1745
tza,2015,87.0131
uga,1991,77.22388
uga,2002,85.95758
uga,2006,87.26585
uga,2010,89.63519
uga,2012,85.75978
uga,2018,88.8269
ukr,2001,99.77624
ukr,2012,99.95707
ury,1975,97.74089
ury,1985,98.26305
ury,1996,98.15317
ury,2006,98.31211
ury,2007,98.4888
ury,2008,98.62774
ury,2009,98.50746
ury,2010,98.35943
ury,2011,98.6134
ury,2012,98.62612
ury,2013,98.56438
ury,2014,98.30905
ury,2015,98.63845
ury,2016,98.8731
ury,2017,98.56141
ury,2018,98.60475
ury,2019,98.73756
uzb,2000,99.85337
uzb,2013,99.99993
uzb,2014,99.99997
uzb,2015,99.99996
uzb,2016,99.99993
uzb,2018,99.99993
uzb,2019,99.99992
vct,1970,97.92479
ven,1981,92.32982
ven,1990,94.52075
ven,2001,96.32622
ven,2007,97.9744
ven,2009,98.26986
ven,2011,96.88986
ven,2015,98.71199
ven,2016,98.44194
vnm,1979,96.10888
vnm,1989,94.0826
vnm,1999,94.76013
vnm,2000,95.58781
vnm,2009,97.39524
vnm,2019,98.70862
vut,1979,75.74416
vut,1984,79.82
vut,1994,87.14
vut,2004,91.93
vut,2014,95.09
vut,2018,95.97657
wsm,1991,99.12
wsm,2011,99.02962
wsm,2018,98.84151
yem,1994,82.80422
yem,2004,92.85
zaf,1980,85.3462
zaf,1996,93.49841
zaf,2007,97.04518
zaf,2009,97.9152
zaf,2010,98.38872
zaf,2011,98.43064
