geo,time,sh_prv_smok
civ,2015,11.1
civ,2018,9.7
civ,2019,9.7
civ,2020,9.4
cmr,2000,12.8
cmr,2005,11.2
cmr,2010,9.7
cmr,2015,8.4
cmr,2018,7.5
cmr,2019,7.5
cmr,2020,7.3
cod,2000,18.8
cod,2005,16.9
cod,2010,15.4
cod,2015,14
cod,2018,13
cod,2019,13
cod,2020,12.8
cog,2000,11.9
cog,2005,12.2
cog,2010,12.8
cog,2015,13.5
cog,2018,14.3
cog,2019,14.3
cog,2020,14.5
col,2000,15.1
col,2005,13.2
col,2010,11.4
col,2015,9.9
col,2018,8.8
col,2019,8.8
col,2020,8.5
com,2000,39.5
com,2005,32.8
com,2010,27.7
com,2015,23.5
com,2018,20.8
com,2019,20.8
com,2020,20.3
cpv,2000,20.6
cpv,2005,17.8
cpv,2010,15.2
cpv,2015,13.1
cpv,2018,11.7
cpv,2019,11.7
cpv,2020,11.4
cri,2000,18
cri,2005,15
cri,2010,12.6
cri,2015,10.5
cri,2018,9.1
cri,2019,9.1
cri,2020,8.8
cub,2000,40.8
cub,2005,33.2
cub,2010,27
cub,2015,22
cub,2018,18.7
cub,2019,18.7
cub,2020,17.9
cyp,2000,40.9
cyp,2005,39.2
cyp,2010,37.7
cyp,2015,36.4
cyp,2018,35.5
cyp,2019,35.5
cyp,2020,35.1
cze,2000,34.2
cze,2005,33.4
cze,2010,32.3
cze,2015,31.4
cze,2018,30.9
cze,2019,30.9
cze,2020,30.7
deu,2000,36.4
deu,2005,32.1
deu,2010,28.3
deu,2015,24.9
deu,2018,22.5
deu,2019,22.5
deu,2020,22
dnk,2000,37.3
dnk,2005,30.8
dnk,2010,25.5
dnk,2015,21.1
dnk,2018,18.1
dnk,2019,18.1
dnk,2020,17.5
dom,2000,18.7
dom,2005,16.1
dom,2010,13.9
dom,2015,12.2
dom,2018,10.9
dom,2019,10.9
dom,2020,10.6
dza,2000,22.2
dza,2005,21.8
dza,2010,21.5
dza,2015,21.1
dza,2018,21
dza,2019,21
dza,2020,21
ecu,2000,18.4
ecu,2005,16.2
ecu,2010,14.5
ecu,2015,12.8
ecu,2018,11.6
ecu,2019,11.6
ecu,2020,11.3
egy,2000,24.3
egy,2005,24.1
egy,2010,24.3
egy,2015,24.3
egy,2018,24.4
egy,2019,24.4
egy,2020,24.3
eri,2000,13.3
eri,2005,11.5
eri,2010,10
eri,2015,8.7
eri,2018,7.7
eri,2019,7.7
eri,2020,7.5
esp,2000,36.8
esp,2005,34.3
esp,2010,31.9
esp,2015,29.7
esp,2018,28.1
esp,2019,28.1
esp,2020,27.7
est,2000,46
est,2005,41.6
est,2010,37.2
est,2015,33.3
est,2018,30.5
est,2019,30.5
est,2020,29.7
eth,2000,6.8
eth,2005,6.3
eth,2010,5.9
eth,2015,5.5
eth,2018,5.2
eth,2019,5.2
eth,2020,5.1
fin,2000,35.7
fin,2005,31.4
fin,2010,27.8
fin,2015,24.5
fin,2018,22.2
fin,2019,22.2
fin,2020,21.6
fji,2000,32.3
fji,2005,29.7
fji,2010,27.4
fji,2015,25.1
fji,2018,23.4
fji,2019,23.4
fji,2020,23.1
fra,2000,34.2
fra,2005,34.1
fra,2010,33.8
fra,2015,33.7
fra,2018,33.6
fra,2019,33.6
fra,2020,33.4
gbr,2000,37.9
gbr,2005,30.1
gbr,2010,24.1
gbr,2015,19.3
gbr,2018,16.1
gbr,2019,16.1
gbr,2020,15.4
geo,2000,32.8
geo,2005,32.6
geo,2010,32.2
geo,2015,32
geo,2018,31.7
geo,2019,31.7
geo,2020,31.7
gha,2000,7
gha,2005,5.9
gha,2010,4.9
gha,2015,4.2
gha,2018,3.6
gha,2019,3.6
gha,2020,3.5
gmb,2000,22.5
gmb,2005,18.8
gmb,2010,15.8
gmb,2015,13.3
gmb,2018,11.6
gmb,2019,11.6
gmb,2020,11.1
gnb,2000,18
gnb,2005,15
gnb,2010,12.7
gnb,2015,10.7
gnb,2018,9.3
gnb,2019,9.3
gnb,2020,9
grc,2000,54.9
grc,2005,48.5
grc,2010,42.9
grc,2015,37.9
grc,2018,34.5
grc,2019,34.5
grc,2020,33.5
gtm,2000,14.3
gtm,2005,13.4
gtm,2010,12.5
gtm,2015,11.6
gtm,2018,11
gtm,2019,11
gtm,2020,10.9
guy,2000,30.2
guy,2005,24.1
guy,2010,19.1
guy,2015,15.1
guy,2018,12.6
guy,2019,12.6
guy,2020,12.1
hrv,2000,34.4
hrv,2005,34.9
hrv,2010,35.4
hrv,2015,36.1
hrv,2018,36.7
hrv,2019,36.7
hrv,2020,36.9
hti,2000,12.3
hti,2005,10.9
hti,2010,9.7
hti,2015,8.6
hti,2018,7.9
hti,2019,7.9
hti,2020,7.7
hun,2000,37.4
hun,2005,35.9
hun,2010,34.6
hun,2015,33.2
hun,2018,32.2
hun,2019,32.2
hun,2020,31.8
idn,2000,35.4
idn,2005,35.8
idn,2010,36.3
idn,2015,36.7
idn,2018,37.2
idn,2019,37.2
idn,2020,37.6
ind,2000,54.5
ind,2005,45.5
ind,2010,38.1
ind,2015,32.2
ind,2018,28.1
ind,2019,28.1
ind,2020,27.2
irl,2000,35.6
irl,2005,31.2
irl,2010,27.1
irl,2015,23.8
irl,2018,21.4
irl,2019,21.4
irl,2020,20.8
irn,2000,21.5
irn,2005,19
irn,2010,17
irn,2015,15.3
irn,2018,14
irn,2019,14
irn,2020,13.6
irq,2000,22
irq,2005,20.6
irq,2010,19.9
irq,2015,19.1
irq,2018,18.8
irq,2019,18.8
irq,2020,18.5
isl,2000,30.2
isl,2005,24
isl,2010,19.1
isl,2015,15.2
isl,2018,12.6
isl,2019,12.6
isl,2020,12
isr,2000,31.7
isr,2005,28.6
isr,2010,25.9
isr,2015,23.4
isr,2018,21.6
isr,2019,21.6
isr,2020,21.2
ita,2000,26.2
ita,2005,25.3
ita,2010,24.5
ita,2015,23.8
ita,2018,23.3
ita,2019,23.3
ita,2020,23.1
jam,2000,17.4
jam,2005,14.9
jam,2010,12.8
jam,2015,11
jam,2018,9.7
jam,2019,9.7
jam,2020,9.4
jor,2000,30.7
jor,2005,31.7
jor,2010,32.6
jor,2015,33.7
jor,2018,34.6
jor,2019,34.6
jor,2020,34.8
jpn,2000,33.3
jpn,2005,29.4
jpn,2010,25.8
jpn,2015,22.7
jpn,2018,20.5
jpn,2019,20.5
jpn,2020,20.1
kaz,2000,34.2
kaz,2005,30.9
kaz,2010,28.1
kaz,2015,25.4
kaz,2018,23.5
kaz,2019,23.5
kaz,2020,23.2
ken,2000,19.3
ken,2005,16.8
ken,2010,14.7
ken,2015,12.8
ken,2018,11.5
ken,2019,11.5
ken,2020,11.1
kgz,2000,31.4
kgz,2005,30.3
kgz,2010,29.4
kgz,2015,28.4
kgz,2018,27.6
kgz,2019,27.6
kgz,2020,25.4
khm,2000,42.3
khm,2005,36
khm,2010,30.1
khm,2015,25.2
khm,2018,21.9
khm,2019,21.9
khm,2020,21.1
kir,2000,68.5
kir,2005,60.4
kir,2010,52.7
kir,2015,46.4
kir,2018,41.7
kir,2019,41.7
kir,2020,40.6
kor,2000,35
kor,2005,30.7
kor,2010,27
kor,2015,23.8
kor,2018,21.4
kor,2019,21.4
kor,2020,20.8
kwt,2000,20
kwt,2005,19.5
kwt,2010,18.9
kwt,2015,18.3
kwt,2018,17.9
kwt,2019,17.9
kwt,2020,17.9
lao,2000,52.5
lao,2005,46.2
lao,2010,40.5
lao,2015,35.8
lao,2018,32.5
lao,2019,32.5
lao,2020,31.8
lbn,2000,40.2
lbn,2005,39.7
lbn,2010,39.1
lbn,2015,38.7
lbn,2018,38.4
lbn,2019,38.4
lbn,2020,38.2
lbr,2000,16.3
lbr,2005,13.6
lbr,2010,11.5
lbr,2015,9.6
lbr,2018,8.4
lbr,2019,8.4
lbr,2020,8.2
lka,2000,28.5
lka,2005,26.5
lka,2010,24.8
lka,2015,23.3
lka,2018,22.3
lka,2019,22.3
lka,2020,22
lso,2000,31.1
lso,2005,28.9
lso,2010,27.2
lso,2015,25.6
lso,2018,24.4
lso,2019,24.4
lso,2020,24.3
ltu,2000,41.4
ltu,2005,38.9
ltu,2010,36.4
ltu,2015,34
ltu,2018,32.3
ltu,2019,32.3
ltu,2020,32
lux,2000,31
lux,2005,28.2
lux,2010,25.6
lux,2015,23.2
lux,2018,21.6
lux,2019,21.6
lux,2020,21.1
lva,2000,43.8
lva,2005,41.9
lva,2010,40.1
lva,2015,38.5
lva,2018,37.2
lva,2019,37.2
lva,2020,37
mar,2000,22.5
mar,2005,20.1
mar,2010,18.1
mar,2015,16.2
mar,2018,14.9
mar,2019,14.9
mar,2020,14.5
mda,2000,25.3
mda,2005,26
mda,2010,26.9
mda,2015,27.9
mda,2018,28.7
mda,2019,28.7
mda,2020,29
mdg,2000,46.7
mdg,2005,40.7
mdg,2010,35.4
mdg,2015,31.3
mdg,2018,28.4
mdg,2019,28.4
mdg,2020,27.8
mdv,2000,38.3
mdv,2005,34.1
mdv,2010,30.6
mdv,2015,27.6
mdv,2018,25.9
mdv,2019,25.9
mdv,2020,25.2
mex,2000,24
mex,2005,20.6
mex,2010,17.7
mex,2015,15.2
mex,2018,13.4
mex,2019,13.4
mex,2020,13.1
mhl,2000,28.5
mhl,2005,28.4
mhl,2010,28.4
mhl,2015,28.4
mhl,2018,28.4
mhl,2019,28.4
mhl,2020,28.5
mli,2000,16.3
mli,2005,13.8
mli,2010,11.6
mli,2015,9.9
mli,2018,8.6
mli,2019,8.6
mli,2020,8.3
mlt,2000,34.3
mlt,2005,31.4
mlt,2010,28.6
mlt,2015,26.3
mlt,2018,24.5
mlt,2019,24.5
mlt,2020,24
mmr,2000,66.9
mmr,2005,60.6
mmr,2010,54.6
mmr,2015,48.8
mmr,2018,45.1
mmr,2019,45.1
mmr,2020,44.1
mne,2000,38.7
mne,2005,36.7
mne,2010,34.9
mne,2015,33.1
mne,2018,31.8
mne,2019,31.8
mne,2020,31.4
mng,2000,34.1
mng,2005,32.9
mng,2010,31.6
mng,2015,30.6
mng,2018,29.6
mng,2019,29.6
mng,2020,29.4
moz,2000,29.4
moz,2005,24.5
moz,2010,20.5
moz,2015,17
moz,2018,14.8
moz,2019,14.8
moz,2020,14.3
mrt,2000,21.3
mrt,2005,17.9
mrt,2010,15.1
mrt,2015,12.6
mrt,2018,11.1
mrt,2019,11.1
mrt,2020,10.7
mus,2000,25.5
mus,2005,24.1
mus,2010,22.7
mus,2015,21.4
mus,2018,20.5
mus,2019,20.5
mus,2020,20.2
mwi,2000,24.1
mwi,2005,19.5
mwi,2010,16
mwi,2015,13.1
mwi,2018,11.3
mwi,2019,11.3
mwi,2020,10.8
mys,2000,29.5
mys,2005,27.5
mys,2010,25.6
mys,2015,23.9
mys,2018,22.8
mys,2019,22.8
mys,2020,22.5
nam,2000,25.6
nam,2005,22.3
nam,2010,19.5
nam,2015,17.1
nam,2018,15.5
nam,2019,15.5
nam,2020,15.1
ner,2000,9.7
ner,2005,9
ner,2010,8.4
ner,2015,7.9
ner,2018,7.6
ner,2019,7.6
ner,2020,7.4
nga,2000,9.3
nga,2005,7.4
nga,2010,5.9
nga,2015,4.7
nga,2018,3.9
nga,2019,3.9
nga,2020,3.7
nld,2000,34.3
nld,2005,30.6
nld,2010,27.5
nld,2015,24.6
nld,2018,22.6
nld,2019,22.6
nld,2020,22.2
nor,2000,44
nor,2005,34.3
nor,2010,26.7
nor,2015,20.7
nor,2018,17.1
nor,2019,17.1
nor,2020,16.2
npl,2000,64.5
npl,2005,53.5
npl,2010,43.6
npl,2015,36
npl,2018,31.5
npl,2019,31.5
npl,2020,30.4
nru,2000,63.4
nru,2005,59.2
nru,2010,55.5
nru,2015,51.8
nru,2018,49.2
nru,2019,49.2
nru,2020,48.5
nzl,2000,29.6
nzl,2005,24.3
nzl,2010,20.1
nzl,2015,16.5
nzl,2018,14.2
nzl,2019,14.2
nzl,2020,13.7
omn,2000,7.6
omn,2005,7.7
omn,2010,7.7
omn,2015,7.8
omn,2018,7.9
omn,2019,7.9
omn,2020,8
pak,2000,37.5
pak,2005,31.9
pak,2010,27.4
pak,2015,23.6
pak,2018,20.8
pak,2019,20.8
pak,2020,20.2
pan,2000,13.4
pan,2005,10.5
pan,2010,8.2
pan,2015,6.4
pan,2018,5.3
pan,2019,5.3
pan,2020,5
per,2000,32.9
per,2005,23.1
per,2010,16.3
per,2015,11.5
per,2018,8.7
per,2019,8.7
per,2020,8.1
phl,2000,34.9
phl,2005,31.6
phl,2010,28.3
phl,2015,25.4
phl,2018,23.4
phl,2019,23.4
phl,2020,22.9
plw,2000,26.1
plw,2005,23.7
plw,2010,21.4
plw,2015,19.4
plw,2018,17.9
plw,2019,17.9
plw,2020,17.6
png,2000,54.1
png,2005,49.7
png,2010,45.9
png,2015,42.5
png,2018,39.9
png,2019,39.9
png,2020,39.3
pol,2000,39.6
pol,2005,35
pol,2010,30.8
pol,2015,27.2
pol,2018,24.7
pol,2019,24.7
pol,2020,24
prk,2000,28.5
prk,2005,25.2
prk,2010,22.3
prk,2015,19.6
prk,2018,17.8
prk,2019,17.8
prk,2020,17.4
prt,2000,25.7
prt,2005,25.3
prt,2010,25.3
prt,2015,25.2
prt,2018,25.3
prt,2019,25.3
prt,2020,25.4
pry,2000,29.1
pry,2005,23
pry,2010,18.2
pry,2015,14.5
pry,2018,12.1
pry,2019,12.1
pry,2020,11.5
qat,2000,13.5
qat,2005,13
qat,2010,12.6
qat,2015,12.2
qat,2018,12
qat,2019,12
qat,2020,11.8
rou,2000,35
rou,2005,33.2
rou,2010,31.4
rou,2015,29.7
rou,2018,28.4
rou,2019,28.4
rou,2020,28
rus,2000,33.3
rus,2005,31.3
rus,2010,29.8
rus,2015,28.3
rus,2018,27.1
rus,2019,27.1
rus,2020,26.8
rwa,2000,24.8
rwa,2005,21.3
rwa,2010,18.5
rwa,2015,15.9
rwa,2018,14.1
rwa,2019,14.1
rwa,2020,13.7
sau,2000,14.2
sau,2005,14.2
sau,2010,14.2
sau,2015,14.2
sau,2018,14.2
sau,2019,14.2
sau,2020,14.3
sen,2000,14.3
sen,2005,11.9
sen,2010,9.9
sen,2015,8.3
sen,2018,7.1
sen,2019,7.1
sen,2020,6.9
sgp,2000,16.4
sgp,2005,16.5
sgp,2010,16.5
sgp,2015,16.5
sgp,2018,16.6
sgp,2019,16.6
sgp,2020,16.5
slb,2000,43.5
slb,2005,41.3
slb,2010,39.6
slb,2015,37.9
slb,2018,36.8
slb,2019,36.8
slb,2020,36.5
sle,2000,43.7
sle,2005,32.6
sle,2010,24.3
sle,2015,18.1
sle,2018,14.3
sle,2019,14.3
sle,2020,13.5
slv,2000,15.9
slv,2005,13.4
slv,2010,11.3
slv,2015,9.5
slv,2018,8.3
slv,2019,8.3
slv,2020,7.9
srb,2000,45.1
srb,2005,43.7
srb,2010,42.3
srb,2015,40.9
srb,2018,40.1
srb,2019,40.1
srb,2020,39.8
stp,2000,7.8
stp,2005,7.2
stp,2010,6.6
stp,2015,6.2
stp,2018,5.8
stp,2019,5.8
stp,2020,5.7
svk,2000,32
svk,2005,31.7
svk,2010,31.6
svk,2015,31.5
svk,2018,31.5
svk,2019,31.5
svk,2020,31.5
svn,2000,25.1
svn,2005,24.2
svn,2010,23.5
svn,2015,22.7
svn,2018,22.3
svn,2019,22.3
svn,2020,22
swe,2000,43.8
swe,2005,37.6
swe,2010,32.3
swe,2015,27.9
swe,2018,24.8
swe,2019,24.8
swe,2020,24
swz,2000,12.3
swz,2005,11.4
swz,2010,10.5
swz,2015,9.8
swz,2018,9.3
swz,2019,9.3
swz,2020,9.2
syc,2000,28.7
syc,2005,26.2
syc,2010,24
syc,2015,22.1
syc,2018,20.6
syc,2019,20.6
syc,2020,20.2
tcd,2000,13.9
tcd,2005,12.2
tcd,2010,10.7
tcd,2015,9.4
tcd,2018,8.5
tcd,2019,8.5
tcd,2020,8.3
tgo,2000,14.4
tgo,2005,11.9
tgo,2010,9.8
tgo,2015,8.2
tgo,2018,7.1
tgo,2019,7.1
tgo,2020,6.8
tha,2000,31.7
tha,2005,28.8
tha,2010,26.3
tha,2015,24.1
tha,2018,22.5
tha,2019,22.5
tha,2020,22.1
tkm,2000,12
tkm,2005,9.9
tkm,2010,8.2
tkm,2015,6.7
tkm,2018,5.8
tkm,2019,5.8
tkm,2020,5.5
tls,2000,53.5
tls,2005,49.5
tls,2010,46
tls,2015,42.5
tls,2018,39.8
tls,2019,39.8
tls,2020,39.2
ton,2000,33.5
ton,2005,32.8
ton,2010,32.1
ton,2015,31.6
ton,2018,31.1
ton,2019,31.1
ton,2020,31
tun,2000,34.3
tun,2005,31.6
tun,2010,29
tun,2015,26.6
tun,2018,25
tun,2019,25
tun,2020,24.6
tur,2000,32.9
tur,2005,32.2
tur,2010,31.7
tur,2015,31.1
tur,2018,30.9
tur,2019,30.9
tur,2020,30.7
tuv,2000,48.8
tuv,2005,45.3
tuv,2010,41.8
tuv,2015,38.4
tuv,2018,36
tuv,2019,36
tuv,2020,35.6
tza,2000,27.8
tza,2005,20.7
tza,2010,15.5
tza,2015,11.6
tza,2018,9.2
tza,2019,9.2
tza,2020,8.7
uga,2000,24.7
uga,2005,18.8
uga,2010,14.3
uga,2015,10.9
uga,2018,8.9
uga,2019,8.9
uga,2020,8.4
ukr,2000,37.7
ukr,2005,34.3
ukr,2010,31.1
ukr,2015,28.4
ukr,2018,26.2
ukr,2019,26.2
ukr,2020,25.8
ury,2000,35.3
ury,2005,31.2
ury,2010,27.5
ury,2015,24.3
ury,2018,22
ury,2019,22
ury,2020,21.5
usa,2000,33.8
usa,2005,30.6
usa,2010,28
usa,2015,25.3
usa,2018,23.4
usa,2019,23.4
usa,2020,23
uzb,2000,24.9
uzb,2005,22.7
uzb,2010,20.9
uzb,2015,19.1
uzb,2018,17.8
uzb,2019,17.8
uzb,2020,17.6
vnm,2000,29.8
vnm,2005,28.3
vnm,2010,27
vnm,2015,26
vnm,2018,25
vnm,2019,25
vnm,2020,24.8
vut,2000,25.6
vut,2005,23.3
vut,2010,21.3
vut,2015,19.4
vut,2018,18.2
vut,2019,18.2
vut,2020,17.8
wsm,2000,39
wsm,2005,35
wsm,2010,31.4
wsm,2015,28.1
wsm,2018,25.9
wsm,2019,25.9
wsm,2020,25.3
yem,2000,27.3
yem,2005,25.3
yem,2010,23.4
yem,2015,21.8
yem,2018,20.5
yem,2019,20.5
yem,2020,20.3
zaf,2000,23.5
zaf,2005,22.5
zaf,2010,21.6
zaf,2015,21
zaf,2018,20.4
zaf,2019,20.4
zaf,2020,20.3
zmb,2000,19.9
zmb,2005,18.1
zmb,2010,16.7
zmb,2015,15.5
zmb,2018,14.6
zmb,2019,14.6
zmb,2020,14.4
zwe,2000,21
zwe,2005,18.1
zwe,2010,15.6
zwe,2015,13.6
zwe,2018,12.1
zwe,2019,12.1
zwe,2020,11.7
