geo,time,se_sec_cuat_po_fe_zs
sgp,2014,46.99845
sgp,2015,47.94759
sgp,2016,48.53173
sgp,2017,50.31366
sgp,2018,51.52969
sgp,2019,53.56769
sle,2004,3.25937
smr,2018,17.44898
srb,2002,11.56173
srb,2008,13.77688
srb,2009,14.42023
srb,2010,15.17153
srb,2011,18.13527
srb,2013,17.58725
srb,2014,19.47283
srb,2015,20.80027
srb,2016,21.74741
srb,2017,21.88745
srb,2019,22.90502
ssd,2008,7.55178
sur,2004,3.36051
svk,2001,10.74952
svk,2011,21.19488
svk,2014,20.22654
svk,2015,21.78001
svk,2016,23.12382
svk,2017,24.54908
svk,2018,26.08216
svk,2019,27.31828
svn,1991,9.33063
svn,2004,18.74988
swe,1970,7.6509
swe,1974,10.94402
swe,1979,14.16353
swe,1986,16.40143
swe,1987,17.09551
swe,1988,17.5905
swe,1989,18.06618
swe,1990,18.88469
swe,1991,19.26602
swe,1992,21.2189
swe,1993,21.95993
swe,1994,22.70099
swe,1995,23.78892
swe,2004,34.32718
swe,2005,35.40148
swe,2006,36.39562
swe,2007,37.37927
swe,2008,34.35233
swe,2009,35.29213
swe,2010,36.22198
swe,2011,37.13984
swe,2012,38.01633
swe,2013,38.88237
swe,2014,39.70758
swe,2015,40.53214
swe,2016,41.39465
swe,2017,42.23761
swe,2019,44.03005
swz,1976,1.28911
swz,1986,4.24474
syc,1971,1.67855
syr,2002,2.68497
syr,2007,9.51579
syr,2008,10.0815
syr,2009,10.26781
tca,1970,2.54237
tca,1980,5.11327
tgo,1970,0
tgo,2009,1.21243
tgo,2011,1.53328
tha,1970,0.7
tha,1980,2.3481
tha,2004,13.42325
tha,2006,13.21561
tha,2010,13.44711
tkm,1995,27.0822
ton,1986,2.00872
ton,2006,21.88362
ton,2011,15.92713
tto,2008,25.46425
tto,2009,24.84173
tto,2011,25.44612
tun,2008,9.41534
tun,2010,10.83449
tun,2011,11.45201
tun,2012,10.83986
tun,2016,14.79385
tuv,1991,5.10742
tza,2012,1.82314
ukr,1970,4.53252
ukr,2001,39.88568
ury,2006,11.34989
ury,2008,16.58176
ury,2009,16.72694
ury,2010,16.43316
ury,2011,12.96718
ury,2012,12.96355
ury,2013,13.94046
usa,2018,46.44464
vct,1970,0.3
vct,2017,3.41602
ven,2011,28.93623
ven,2015,35.46594
ven,2016,39.74363
vgb,1980,7.42716
vgb,1991,14.32617
vnm,1989,1.72352
vnm,2009,10.10134
wsm,2001,11.10824
wsm,2011,15.21425
zaf,2001,8.43327
zaf,2002,9.68346
zaf,2003,10.01535
zaf,2004,10.4754
zaf,2005,10.27025
zaf,2006,10.06115
zaf,2007,10.1009
zaf,2008,11.55706
zaf,2009,11.92282
zaf,2010,11.79846
zaf,2011,12.31411
zaf,2012,13.02166
zaf,2014,14.41273
zaf,2015,14.9606
zaf,2017,13.6885
zaf,2019,29.34268
zwe,1992,3.3842
zwe,2002,5.7399
