geo,time,bm_trf_prvt_cd
bra,2009,1127773600
bra,2010,1546724954.36
bra,2011,1525918318.37
bra,2012,1400309469.17
bra,2013,1701305059.95
bra,2014,1964460606.47
bra,2015,1664893496.18
bra,2016,1674605307.48
bra,2017,2502220771.89
bra,2018,4371162470.11
bra,2019,3631794322.05
bra,2020,2431381215.62
bra,2021,2056623758.71
brb,1967,814705.65792
brb,1968,1253871.40737
brb,1969,1471707.44886
brb,1970,1783297.92231
brb,1971,1880315.62683
brb,1972,2106484.49765
brb,1973,2464855.07993
brb,1974,10611147.64653
brb,1975,12136955.38315
brb,1976,22652772.425
brb,1977,13260821.55
brb,1978,15586829.95
brb,1979,11770365
brb,1980,15127792.5
brb,1981,17971195
brb,1982,18293655
brb,1983,17902957.5
brb,1984,22523290
brb,1985,21726117.5
brb,1986,23874520
brb,1987,26616655
brb,1988,23407962.5
brb,1989,35250672.5
brb,1990,45864085
brb,1991,38644322.5
brb,1992,40480102.5
brb,1993,54796997.5
brb,1994,70228775
brb,1995,74668117.5
brb,1996,80321725
brb,1997,79449020
brb,1998,80629512.5
brb,1999,85034760
brb,2000,92741937.5
brb,2001,99627927.5
brb,2002,99993252.475
brb,2003,101044985
brb,2004,128207029.40377
brb,2005,240666759.06991
brb,2006,217173434.08
brb,2007,189382705
brb,2008,218364803.194
brb,2009,181070931.545
brb,2010,172455818.391
brb,2011,170771847.60216
brb,2012,125674924.20583
brb,2013,143436549.19724
brb,2014,129421747.561
brb,2015,186643154.93547
brb,2016,180705518.7817
brn,2002,89225732.06477
brn,2003,96975673.5483
brn,2004,353781659.80079
brn,2005,375574678.93288
brn,2006,405466493.67828
brn,2007,430285346.64969
brn,2008,420360159.04957
brn,2009,444817438.55759
btn,2006,58721659.8998
btn,2007,52058615.26684
btn,2008,50852406.17484
btn,2009,35784595.98775
btn,2010,44515382.10184
btn,2011,50891218.84336
btn,2012,42398055.18436
btn,2013,30724982.55046
btn,2014,23143674.68518
btn,2015,29954406.12722
btn,2016,27287169.77167
btn,2017,28332179.91204
btn,2018,28409515.65033
btn,2019,30576401.603
btn,2020,20970648.60395
bwa,1975,8383955.96926
bwa,1976,5060001.27082
bwa,1977,6057297.28866
bwa,1978,6037502.55814
bwa,1979,12637933.44754
bwa,1980,19299430.69163
bwa,1981,22707218.33314
bwa,1982,21269139.61253
bwa,1983,24340752.31791
bwa,1984,26648729.70109
bwa,1985,17555232.40765
bwa,1986,23095620.21568
bwa,1987,28112962.09068
bwa,1988,34999692.38552
bwa,1989,47695010.01504
bwa,1990,63424975.55496
bwa,1991,74200245.0257
bwa,1992,79015037.50489
bwa,1993,87904831.6705
bwa,1994,102881367.39096
bwa,1995,166582097.05385
bwa,1996,37964059.48705
bwa,1997,67657083.58709
bwa,1998,66924522.22969
bwa,1999,69717224.10622
bwa,2000,81062408.84317
bwa,2001,74344979.10039
bwa,2002,72062106.97518
bwa,2003,103181348.23894
bwa,2004,10204878.74161
bwa,2005,16506688.81614
bwa,2006,9999485.44672
bwa,2007,10152204.6777
bwa,2008,88227621.21498
bwa,2009,36815692.50578
bwa,2010,61450899.13684
bwa,2011,136883163.99237
bwa,2012,99501618.402
bwa,2013,87112362.23482
