geo,time,sh_sta_smss_ur_zs
cri,2016,30.10435
cri,2017,29.51532
cri,2018,28.95606
cri,2019,28.82204
cri,2020,28.68796
cub,2000,34.88242
cub,2001,34.78807
cub,2002,34.69371
cub,2003,34.59935
cub,2004,34.505
cub,2005,34.23806
cub,2006,33.96912
cub,2007,33.69818
cub,2008,33.42524
cub,2009,33.1503
cub,2010,32.87336
cub,2011,32.79717
cub,2012,32.72742
cub,2013,32.66414
cub,2014,32.60741
cub,2015,32.55728
cub,2016,32.51382
cub,2017,32.47707
cub,2018,32.44711
cub,2019,32.42399
cub,2020,32.40777
cyp,2000,86.34214
cyp,2001,86.34214
cyp,2002,86.34214
cyp,2003,86.34071
cyp,2004,86.33929
cyp,2005,86.33786
cyp,2006,86.33644
cyp,2007,86.33501
cyp,2008,86.33359
cyp,2009,86.33216
cyp,2010,86.33074
cyp,2011,86.32931
cyp,2012,86.32788
cyp,2013,86.32646
cyp,2014,86.32503
cyp,2015,86.32361
cyp,2016,86.32218
cyp,2017,86.32076
cyp,2018,86.31933
cyp,2019,86.31933
cyp,2020,86.31933
deu,2000,97.54103
deu,2001,97.54103
deu,2002,97.54103
deu,2003,97.54103
deu,2004,97.62005
deu,2005,97.69907
deu,2006,97.77809
deu,2007,97.8571
deu,2008,97.93612
deu,2009,98.01514
deu,2010,98.09416
deu,2011,98.17318
deu,2012,98.25219
deu,2013,98.33121
deu,2014,98.41023
deu,2015,98.48925
deu,2016,98.56827
deu,2017,98.64728
deu,2018,98.7263
deu,2019,98.7263
deu,2020,98.7263
dji,2000,29.12207
dji,2001,29.12207
dji,2002,29.12207
dji,2003,29.12207
dji,2004,29.12207
dji,2005,29.98183
dji,2006,30.83778
dji,2007,31.68993
dji,2008,32.53828
dji,2009,33.38281
dji,2010,34.22355
dji,2011,35.06047
dji,2012,35.89359
dji,2013,36.72291
dji,2014,37.54842
dji,2015,38.37012
dji,2016,39.18802
dji,2017,40.00211
dji,2018,40.8124
dji,2019,41.61888
dji,2020,41.61888
dza,2000,19.58488
dza,2001,19.42897
dza,2002,19.27305
dza,2003,19.11714
dza,2004,18.96123
dza,2005,18.80532
dza,2006,18.6494
dza,2007,18.49349
dza,2008,18.33758
dza,2009,18.18167
dza,2010,18.02575
dza,2011,17.86984
dza,2012,17.64027
dza,2013,17.41199
dza,2014,17.18501
dza,2015,16.95933
dza,2016,16.73494
dza,2017,16.51185
dza,2018,16.29006
dza,2019,16.06956
dza,2020,15.85036
ecu,2000,38.69016
ecu,2001,38.25058
ecu,2002,37.811
ecu,2003,37.37142
ecu,2004,36.93184
ecu,2005,36.66004
ecu,2006,36.38419
ecu,2007,36.1043
ecu,2008,35.82037
ecu,2009,35.53239
ecu,2010,35.24038
ecu,2011,34.94432
ecu,2012,34.64422
ecu,2013,34.34008
ecu,2014,34.0319
ecu,2015,33.71967
ecu,2016,33.40341
ecu,2017,32.91981
ecu,2018,32.34648
ecu,2019,31.78848
ecu,2020,31.22448
egy,2000,64.6724
egy,2001,64.61622
egy,2002,64.55926
egy,2003,64.50153
egy,2004,64.92683
egy,2005,65.35333
egy,2006,65.78102
egy,2007,66.20992
egy,2008,66.64001
egy,2009,67.0713
egy,2010,67.50379
egy,2011,67.93747
egy,2012,68.37236
egy,2013,68.80844
egy,2014,69.24572
egy,2015,69.72833
egy,2016,70.41515
egy,2017,71.10415
egy,2018,71.79533
egy,2019,72.48869
egy,2020,72.84614
eth,2000,12.31634
eth,2001,12.52765
eth,2002,12.66063
eth,2003,12.79361
eth,2004,12.97014
eth,2005,13.14756
eth,2006,13.32587
eth,2007,13.50508
eth,2008,13.68519
eth,2009,13.86619
eth,2010,14.04809
eth,2011,14.23088
eth,2012,14.41457
eth,2013,14.59916
eth,2014,14.78464
eth,2015,14.97102
eth,2016,15.15829
eth,2017,15.34646
eth,2018,15.53552
eth,2019,15.72548
eth,2020,15.91634
gbr,2000,98.88951
gbr,2001,98.88951
gbr,2002,98.88951
gbr,2003,98.88951
gbr,2004,98.88951
gbr,2005,98.88951
gbr,2006,98.88951
gbr,2007,98.90057
gbr,2008,98.91162
gbr,2009,98.92268
gbr,2010,98.93374
gbr,2011,98.9448
gbr,2012,98.95586
gbr,2013,98.962
gbr,2014,98.962
gbr,2015,98.962
gbr,2016,98.962
gbr,2017,98.962
gbr,2018,98.962
gbr,2019,98.962
gbr,2020,98.962
geo,2000,40.00014
geo,2001,39.27925
geo,2002,38.53923
geo,2003,37.79922
geo,2004,37.13057
geo,2005,36.45907
geo,2006,35.78472
geo,2007,35.10752
geo,2008,34.42746
geo,2009,33.74456
geo,2010,33.05881
geo,2011,32.37021
geo,2012,31.67876
geo,2013,30.98446
geo,2014,30.28731
geo,2015,29.58731
geo,2016,28.88446
geo,2017,28.17876
geo,2018,27.4777
geo,2019,27.52537
geo,2020,27.5556
gha,2000,6.64759
gha,2001,6.67078
gha,2002,6.99822
gha,2003,7.32097
gha,2004,7.63904
gha,2005,7.95243
gha,2006,8.26113
gha,2007,8.56516
gha,2008,8.8645
gha,2009,9.15916
gha,2010,9.44913
gha,2011,9.73443
gha,2012,10.01504
gha,2013,10.29097
gha,2014,10.56222
gha,2015,10.82878
gha,2016,11.09067
gha,2017,11.34787
gha,2018,11.60038
gha,2019,11.84822
gha,2020,12.09137
gmb,2000,27.89301
gmb,2001,27.58932
gmb,2002,27.28563
gmb,2003,26.98194
gmb,2004,26.67825
gmb,2005,27.34877
gmb,2006,27.97275
gmb,2007,28.55018
gmb,2008,29.08106
gmb,2009,29.5654
gmb,2010,30.00318
gmb,2011,30.39442
gmb,2012,30.73911
gmb,2013,31.03725
gmb,2014,31.28884
gmb,2015,31.49389
gmb,2016,31.65238
gmb,2017,31.76433
gmb,2018,31.82973
gmb,2019,31.84858
gmb,2020,31.82089
gnb,2000,8.18671
gnb,2001,8.81046
gnb,2002,9.43422
gnb,2003,10.05797
gnb,2004,10.68172
gnb,2005,11.35852
gnb,2006,12.04116
gnb,2007,12.72966
gnb,2008,13.42402
gnb,2009,14.12422
gnb,2010,14.83028
gnb,2011,15.54219
gnb,2012,16.25996
gnb,2013,16.98357
gnb,2014,17.71304
gnb,2015,18.44836
gnb,2016,19.18954
gnb,2017,19.93657
gnb,2018,20.68945
gnb,2019,21.44818
gnb,2020,22.21277
grc,2000,83.93648
grc,2001,84.6112
grc,2002,85.28592
grc,2003,85.96064
grc,2004,86.63536
grc,2005,87.31008
grc,2006,87.9848
grc,2007,88.65952
grc,2008,89.33425
grc,2009,90.00897
grc,2010,90.68369
grc,2011,91.35841
grc,2012,92.03313
grc,2013,92.70785
grc,2014,93.38257
grc,2015,94.03881
grc,2016,94.6903
grc,2017,95.3418
grc,2018,95.99329
grc,2019,96.64479
grc,2020,97.29628
hkg,2000,86.10845
hkg,2001,86.10845
hkg,2002,86.10845
hkg,2003,86.10845
hkg,2004,86.09748
hkg,2005,86.0865
hkg,2006,86.07553
hkg,2007,86.06456
hkg,2008,86.05358
hkg,2009,86.04261
hkg,2010,86.03164
hkg,2011,86.02067
hkg,2012,86.00969
hkg,2013,85.99872
hkg,2014,85.98775
hkg,2015,85.97677
hkg,2016,85.9658
hkg,2017,85.95483
hkg,2018,85.94385
hkg,2019,85.93288
hkg,2020,85.92191
hnd,2000,32.56109
hnd,2001,32.78574
hnd,2002,33.0109
hnd,2003,33.23658
hnd,2004,33.46276
hnd,2005,33.5556
hnd,2006,33.64857
hnd,2007,33.74166
hnd,2008,33.83489
hnd,2009,33.92824
hnd,2010,34.02172
hnd,2011,34.11533
hnd,2012,34.20907
hnd,2013,34.30293
hnd,2014,34.39693
hnd,2015,34.49105
hnd,2016,34.53667
hnd,2017,34.58229
hnd,2018,34.62791
hnd,2019,34.67353
hnd,2020,34.71915
hrv,2000,89.34392
hrv,2001,89.34392
hrv,2002,89.36304
hrv,2003,89.38217
hrv,2004,89.40129
hrv,2005,89.42041
hrv,2006,89.43954
hrv,2007,89.45866
hrv,2008,89.47779
hrv,2009,89.49691
hrv,2010,89.51604
hrv,2011,89.53516
hrv,2012,88.96399
hrv,2013,87.30061
hrv,2014,85.63685
hrv,2015,83.9727
hrv,2016,82.30817
hrv,2017,80.64325
hrv,2018,78.96005
hrv,2019,77.27684
hrv,2020,75.59364
hun,2000,64.64984
hun,2001,64.41087
hun,2002,64.1719
hun,2003,63.93293
hun,2004,65.7922
hun,2005,67.68259
hun,2006,69.60412
hun,2007,71.55678
hun,2008,73.54057
hun,2009,75.55549
hun,2010,77.60155
hun,2011,79.67873
hun,2012,81.78705
hun,2013,83.9265
hun,2014,86.09709
hun,2015,88.2988
hun,2016,89.37992
hun,2017,89.95682
hun,2018,90.54745
hun,2019,90.54745
hun,2020,90.54745
ind,2000,21.37368
ind,2001,22.16483
ind,2002,23.06526
ind,2003,23.97323
ind,2004,24.88873
ind,2005,25.46368
ind,2006,26.0429
ind,2007,26.80672
ind,2008,27.58464
ind,2009,28.37677
ind,2010,29.18322
ind,2011,30.00411
ind,2012,30.83954
ind,2013,31.68964
ind,2014,32.55451
ind,2015,33.43427
ind,2016,34.32903
ind,2017,35.2389
ind,2018,35.92762
ind,2019,36.62104
ind,2020,37.31915
irl,2000,48.05636
irl,2001,50.38761
irl,2002,52.71704
irl,2003,55.12574
irl,2004,57.5413
irl,2005,59.95789
irl,2006,62.37553
irl,2007,64.7942
irl,2008,67.21391
irl,2009,69.63466
irl,2010,72.05645
irl,2011,74.47928
irl,2012,76.90314
irl,2013,79.32805
irl,2014,81.75399
irl,2015,84.18097
irl,2016,86.60899
irl,2017,88.46745
irl,2018,88.57879
irl,2019,88.57879
irl,2020,88.57879
irq,2000,32.9122
irq,2001,33.02856
irq,2002,33.14492
irq,2003,33.26127
irq,2004,33.37763
irq,2005,33.88081
irq,2006,34.38264
irq,2007,34.88312
irq,2008,35.38226
irq,2009,36.04085
irq,2010,36.70617
irq,2011,37.37837
irq,2012,38.05758
irq,2013,38.74396
irq,2014,39.43764
irq,2015,40.13877
irq,2016,40.84749
irq,2017,41.56395
irq,2018,42.11818
irq,2019,42.28558
irq,2020,42.25493
isr,2000,79.95395
isr,2001,80.71337
isr,2002,81.4728
isr,2003,82.23222
isr,2004,82.99165
isr,2005,83.75107
isr,2006,84.5105
isr,2007,85.26992
isr,2008,86.02935
isr,2009,86.78877
isr,2010,87.5482
isr,2011,88.30762
isr,2012,89.06705
isr,2013,89.82647
isr,2014,90.58589
isr,2015,91.34532
isr,2016,92.10474
isr,2017,92.86417
isr,2018,93.62359
isr,2019,94.38302
isr,2020,95.14244
ita,2000,96.32944
ita,2001,96.32944
ita,2002,96.32944
ita,2003,96.32944
ita,2004,96.33385
ita,2005,96.33826
ita,2006,96.34268
ita,2007,96.34709
ita,2008,96.3515
ita,2009,96.35591
ita,2010,96.36033
ita,2011,96.36474
ita,2012,96.36915
ita,2013,96.37356
ita,2014,96.37797
ita,2015,96.38239
ita,2016,96.3868
ita,2017,96.39121
ita,2018,96.39121
ita,2019,96.39121
ita,2020,96.39121
jor,2000,82.84744
jor,2001,82.80281
jor,2002,82.86268
jor,2003,82.95108
jor,2004,83.03944
jor,2005,83.12775
jor,2006,83.21602
jor,2007,83.30424
jor,2008,83.39242
jor,2009,83.48055
jor,2010,83.56864
jor,2011,83.65668
jor,2012,83.74468
jor,2013,83.83263
jor,2014,83.92054
jor,2015,84.0084
jor,2016,84.09621
jor,2017,84.18399
jor,2018,84.27171
jor,2019,84.35939
jor,2020,84.44703
kaz,2000,92.71352
kaz,2001,92.83459
kaz,2002,92.78415
kaz,2003,92.64409
kaz,2004,92.50291
kaz,2005,92.36945
kaz,2006,92.23484
kaz,2007,92.09908
kaz,2008,91.96216
kaz,2009,91.82409
kaz,2010,91.68487
kaz,2011,91.54448
kaz,2012,91.40295
kaz,2013,91.26025
kaz,2014,91.11641
kaz,2015,90.9714
kaz,2016,90.82524
kaz,2017,90.67792
kaz,2018,90.79019
kaz,2019,90.90246
kaz,2020,91.01474
kgz,2000,77.43456
kgz,2001,77.7101
kgz,2002,78.07737
kgz,2003,78.44233
kgz,2004,78.805
kgz,2005,79.25917
kgz,2006,79.7119
kgz,2007,80.16316
kgz,2008,80.61295
kgz,2009,81.06126
kgz,2010,81.50809
kgz,2011,81.95342
kgz,2012,82.39725
kgz,2013,82.83957
kgz,2014,83.28036
kgz,2015,83.71963
kgz,2016,84.15737
kgz,2017,84.59355
kgz,2018,85.02819
kgz,2019,85.46127
kgz,2020,85.6343
kir,2000,21.3585
kir,2001,21.95329
kir,2002,22.54809
kir,2003,23.14289
kir,2004,23.73768
kir,2005,24.20269
kir,2006,24.6677
kir,2007,25.13271
kir,2008,25.27566
kir,2009,25.40691
kir,2010,25.52646
kir,2011,25.63431
kir,2012,25.73046
kir,2013,25.81491
kir,2014,25.88766
kir,2015,25.9487
kir,2016,25.99804
kir,2017,26.03569
kir,2018,26.06163
kir,2019,26.07587
kir,2020,26.07841
lao,2000,45.55873
lao,2001,46.84505
lao,2002,47.68413
lao,2003,48.52322
lao,2004,49.3623
lao,2005,50.39578
lao,2006,51.43576
lao,2007,52.48224
lao,2008,53.53522
lao,2009,54.59469
lao,2010,55.66067
lao,2011,56.73314
lao,2012,57.81211
lao,2013,58.89758
lao,2014,59.98954
lao,2015,60.86112
lao,2016,61.7327
lao,2017,62.60427
lao,2018,63.47585
lao,2019,63.33872
lao,2020,63.33872
lso,2000,16.69047
lso,2001,17.92189
lso,2002,19.15331
lso,2003,20.33871
lso,2004,21.51855
lso,2005,22.6801
lso,2006,23.83615
lso,2007,24.98669
lso,2008,26.13173
lso,2009,27.27127
lso,2010,28.40531
lso,2011,29.53385
lso,2012,30.65688
lso,2013,31.77441
lso,2014,32.88644
lso,2015,33.99296
lso,2016,35.09398
lso,2017,36.1895
lso,2018,37.27952
lso,2019,38.36403
lso,2020,39.44305
ltu,2000,87.64829
ltu,2001,87.86675
ltu,2002,88.08522
ltu,2003,88.30368
ltu,2004,88.52215
ltu,2005,88.74061
ltu,2006,88.95907
ltu,2007,89.17754
ltu,2008,89.396
ltu,2009,89.61446
ltu,2010,89.83293
ltu,2011,90.93066
ltu,2012,92.03969
ltu,2013,93.15322
ltu,2014,94.27125
ltu,2015,95.39379
ltu,2016,96.52083
ltu,2017,97.31196
ltu,2018,97.55942
ltu,2019,97.55942
ltu,2020,97.55942
lux,2000,92.04174
lux,2001,92.04174
lux,2002,92.04174
lux,2003,92.04174
lux,2004,92.04089
lux,2005,92.03969
lux,2006,92.03849
lux,2007,92.0373
lux,2008,92.0361
lux,2009,92.65958
lux,2010,93.28306
lux,2011,93.90652
lux,2012,94.52998
lux,2013,95.15343
lux,2014,95.77738
lux,2015,96.40143
lux,2016,97.02547
lux,2017,97.47936
lux,2018,97.47936
lux,2019,97.47936
lux,2020,97.47936
mac,2000,54.72222
mac,2001,54.72222
mac,2002,54.72222
mac,2003,54.72222
mac,2004,54.72222
mac,2005,54.72222
mac,2006,54.72222
mac,2007,54.72222
mac,2008,54.72222
mac,2009,54.72222
mac,2010,55.79875
mac,2011,56.87529
mac,2012,57.95183
mac,2013,59.02836
mac,2014,60.1049
mac,2015,61.18143
mac,2016,62.25797
mac,2017,63.33451
mac,2018,64.41104
mac,2019,65.48758
mac,2020,66.56412
mar,2000,37.01528
mar,2001,36.99609
mar,2002,37.23526
mar,2003,37.47417
mar,2004,37.71281
mar,2005,37.95117
mar,2006,38.18927
mar,2007,38.42711
mar,2008,38.66467
mar,2009,38.90197
mar,2010,39.13899
mar,2011,39.37575
mar,2012,39.61224
mar,2013,39.84847
mar,2014,40.08442
mar,2015,40.32011
