geo,time,fm_ast_cgov_zg_m3
bgd,2000,5.58021
bgd,2001,33.49452
bgd,2002,3.50489
bgd,2003,2.23869
bgd,2004,4.02288
bgd,2005,3.8504
bgd,2006,6.40125
bgd,2007,3.75846
bgd,2008,4.17356
bgd,2009,1.18478
bgd,2010,2.82203
bgd,2011,8.39962
bgd,2012,0.67296
bgd,2013,3.45382
bgd,2014,2.4936
bgd,2015,2.37243
bgd,2016,3.83634
bgd,2017,3.27909
bgd,2018,4.36402
bgd,2019,6.27898
bgd,2020,3.74064
bgr,1992,41.71627
bgr,1993,69.25178
bgr,1994,36.09719
bgr,1995,-6.57599
bgr,1996,93.57663
bgr,1997,90.75191
bgr,1998,-14.83013
bgr,1999,-5.76514
bgr,2000,8.51318
bgr,2001,1.51222
bgr,2002,-2.25077
bgr,2003,-3.6552
bgr,2004,-6.72005
bgr,2005,-0.18461
bgr,2006,-7.35059
bgr,2007,-6.9143
bgr,2008,-2.14256
bgr,2009,2.47885
bgr,2010,3.59292
bgr,2011,3.32085
bgr,2012,-0.24586
bgr,2013,3.03012
bgr,2014,-1.01739
bgr,2015,2.88203
bgr,2016,-4.29042
bgr,2017,1.34417
bgr,2018,-0.93835
bgr,2019,1.0137
bgr,2020,2.13697
bhr,1966,15.47551
bhr,1967,-18.16605
bhr,1968,-24.7148
bhr,1969,-3.64344
bhr,1970,1.98443
bhr,1971,-10.58544
bhr,1972,3.47677
bhr,1973,-0.29243
bhr,1974,-44.53881
bhr,1975,-27.85216
bhr,1976,-1.83644
bhr,1977,8.25052
bhr,1978,5.24033
bhr,1979,-8.94859
bhr,1980,-30.8415
bhr,1981,-34.58953
bhr,1982,8.90518
bhr,1983,-3.58209
bhr,1984,-12.77552
bhr,1985,-5.70235
bhr,1986,6.68176
bhr,1987,27.10234
bhr,1988,-23.66295
bhr,1989,-9.70227
bhr,1990,7.20169
bhr,1991,7.65665
bhr,1992,17.20062
bhr,1993,-4.39106
bhr,1994,-6.38297
bhr,1995,2.42195
bhr,1996,-3.49441
bhr,1997,1.67752
bhr,1998,4.08638
bhr,1999,3.43387
bhr,2000,-0.38526
bhr,2001,2.34284
bhr,2002,1.43748
bhr,2003,1.0599
bhr,2004,-1.39041
bhr,2005,1.46209
bhr,2006,-5.91191
bhr,2007,-2.46645
bhr,2008,-4.44065
