geo,time,sp_pop_65up_to_zs
aze,1965,5.11583
aze,1966,5.11975
aze,1967,5.1398
aze,1968,5.16677
aze,1969,5.18606
aze,1970,5.19104
aze,1971,5.2044
aze,1972,5.18623
aze,1973,5.15177
aze,1974,5.12195
aze,1975,5.10593
aze,1976,5.11737
aze,1977,5.1398
aze,1978,5.15584
aze,1979,5.13859
aze,1980,5.07726
aze,1981,5.02614
aze,1982,4.93909
aze,1983,4.83364
aze,1984,4.73174
aze,1985,4.64601
aze,1986,4.6007
aze,1987,4.56046
aze,1988,4.54085
aze,1989,4.56395
aze,1990,4.64123
aze,1991,4.75132
aze,1992,4.89575
aze,1993,5.05156
aze,1994,5.19389
aze,1995,5.31328
aze,1996,5.44636
aze,1997,5.55038
aze,1998,5.64069
aze,1999,5.73823
aze,2000,5.8499
aze,2001,6.06213
aze,2002,6.27835
aze,2003,6.46469
aze,2004,6.57439
aze,2005,6.58589
aze,2006,6.53458
aze,2007,6.41117
aze,2008,6.24371
aze,2009,6.06581
aze,2010,5.89828
aze,2011,5.81864
aze,2012,5.74648
aze,2013,5.69667
aze,2014,5.68912
aze,2015,5.73652
aze,2016,5.83552
aze,2017,5.98969
aze,2018,6.19518
aze,2019,6.44639
aze,2020,6.74162
bdi,1960,2.93531
bdi,1961,2.95968
bdi,1962,2.9748
bdi,1963,2.98135
bdi,1964,2.98051
bdi,1965,2.97236
bdi,1966,2.98951
bdi,1967,2.99838
bdi,1968,2.99941
bdi,1969,2.99326
bdi,1970,2.98171
bdi,1971,3.05428
bdi,1972,3.12108
bdi,1973,3.18186
bdi,1974,3.2336
bdi,1975,3.27217
bdi,1976,3.26415
bdi,1977,3.24521
bdi,1978,3.21698
bdi,1979,3.18113
bdi,1980,3.13745
bdi,1981,3.11922
bdi,1982,3.09303
bdi,1983,3.05714
bdi,1984,3.01103
bdi,1985,2.95607
bdi,1986,2.92704
bdi,1987,2.89103
bdi,1988,2.84983
bdi,1989,2.80445
bdi,1990,2.75564
bdi,1991,2.73001
bdi,1992,2.69444
bdi,1993,2.64989
bdi,1994,2.59822
bdi,1995,2.54105
bdi,1996,2.55522
bdi,1997,2.56189
bdi,1998,2.55765
bdi,1999,2.53772
bdi,2000,2.49828
bdi,2001,2.47351
bdi,2002,2.43692
bdi,2003,2.39054
bdi,2004,2.33647
bdi,2005,2.27623
bdi,2006,2.25768
bdi,2007,2.23835
bdi,2008,2.21682
bdi,2009,2.19086
bdi,2010,2.16086
bdi,2011,2.13778
bdi,2012,2.11112
bdi,2013,2.08912
bdi,2014,2.08236
bdi,2015,2.09585
bdi,2016,2.1353
bdi,2017,2.18676
bdi,2018,2.24694
bdi,2019,2.3121
bdi,2020,2.38014
bel,1960,11.87392
bel,1961,12.02187
bel,1962,12.1711
bel,1963,12.32099
bel,1964,12.46714
bel,1965,12.60984
bel,1966,12.80724
bel,1967,12.9951
bel,1968,13.1677
bel,1969,13.31705
bel,1970,13.43966
bel,1971,13.62929
bel,1972,13.77082
bel,1973,13.87771
bel,1974,13.96737
bel,1975,14.04734
bel,1976,14.20988
bel,1977,14.36883
bel,1978,14.49139
bel,1979,14.52471
bel,1980,14.44506
bel,1981,14.37425
bel,1982,14.1894
bel,1983,13.96328
bel,1984,13.80059
bel,1985,13.75963
bel,1986,13.90977
bel,1987,14.16194
bel,1988,14.46899
bel,1989,14.75894
bel,1990,14.9915
bel,1991,15.25087
bel,1992,15.45501
bel,1993,15.61991
