geo,time,gc_lbl_totl_cn
aus,2007,1255000000
aus,2008,3037000000
aus,2009,56303000000
aus,2010,51711000000
aus,2011,53441000000
aus,2012,51589000000
aus,2013,36657000000
aus,2014,58871000000
aus,2015,60893000000
aus,2016,58739000000
aus,2017,89438000000
aus,2018,28706000000
aus,2019,17503000000
aut,1972,282697324.91297
aut,1973,484727803.89962
aut,1974,521064220.98355
aut,1975,2754300414.96188
aut,1976,2599507278.18434
aut,1977,2527561172.35816
aut,1978,2611861659.99288
aut,1979,2701249246.01935
aut,1980,2227422367.2449
aut,1981,2225242182.21986
aut,1982,3720122381.05274
aut,1983,5447555649.22276
aut,1984,4337114743.13787
aut,1985,4836377113.87106
aut,1986,7381379766.42951
aut,1987,6346518607.87919
aut,1988,4597283489.45881
aut,1989,5092912218.48361
aut,1990,5421393428.92233
aut,1991,6308728734.1119
aut,1992,4948293278.48957
aut,1993,7806515846.31149
aut,1994,9911121123.81271
aze,2008,-6300000
aze,2009,-126000000
aze,2010,53200000
aze,2011,-282600000
aze,2012,-76300000
aze,2013,-940700000
aze,2014,705500000
aze,2015,-530500000
aze,2016,-710800000
aze,2017,-1159000000
aze,2018,-1638800000
aze,2019,0
bdi,1996,21292000000
bdi,1997,18555000000
bdi,1998,25600200000
bdi,1999,27990500000
ben,1977,275000000
ben,1978,3516000000
ben,1979,2745000000
bfa,2002,107534203805
bfa,2003,56507776725.7
bfa,2004,115427593920
bfa,2005,146829261164
bfa,2006,161762669900
bfa,2007,321049700174
bfa,2008,78787253282.58781
bfa,2009,268430760275.60001
bfa,2010,219518000000
bfa,2011,117173000000
bfa,2012,260226000000
bfa,2013,168081000000
bfa,2014,187927499900.04401
bfa,2015,73315354350.79918
bfa,2016,342400000000
bfa,2017,473994050596.27197
bfa,2018,330143430695.32202
bfa,2019,246005671177.36896
bgd,2001,113788250000
bgd,2002,84222810000
bgd,2003,79362340000
bgd,2004,105975930000
bgd,2005,127559711000
bgd,2006,154108583000
bgd,2007,138858005000
bgd,2008,288004699000
bgd,2009,215052847000
bgd,2010,223867513000
bgd,2011,328414200000
bgd,2012,341849900000
bgd,2013,399159900000
bgd,2014,421579600000
bgd,2015,562302600000
bgd,2016,636980000000
bgr,1990,3712000
bgr,1991,11233000
bgr,1992,16551000
bgr,1993,35519000
bgr,1994,52983000
bhr,1986,65000000
bhr,1987,199000000
bhr,1988,-52500000
bhr,1989,117500000
bhr,1990,2800000
bhr,1991,167900000
bhr,1992,158900000
bhr,1993,41200000
bhr,1994,129200000
bhr,1995,63500000
bhr,1996,110700000
bhr,1997,68800000
bhr,1998,92400000
bhr,1999,165400000
bhr,2000,165400000
bhr,2001,26900000
bhr,2002,-62000000
bhr,2003,209200000
bhr,2004,-99200000
bhs,1990,96900000
bhs,1991,105100000
bhs,1992,73200000
bhs,1993,84400000
bhs,1994,50500000
bhs,1995,14600000
bhs,1996,79400000
bhs,1997,149602000
bhs,1998,69817000
bhs,1999,48918000
bhs,2000,22300000
bhs,2001,73000000
bhs,2002,145600000
bhs,2003,226500000
bhs,2004,206352000
bhs,2005,178029000
bhs,2006,192649000
bhs,2007,273410000
bhs,2008,260000000
bhs,2009,392994000
bhs,2010,316250000
bhs,2011,153647000
bhs,2012,351132000
bhs,2013,781292000
bhs,2014,467543000
bhs,2015,506247000
bhs,2016,344196000
bhs,2017,580306685.68
bhs,2018,684380392.32752
bhs,2019,293052665.69
bih,2005,76006021.47
bih,2006,-79843341.09
bih,2007,152370586.88
bih,2008,541409481.483
bih,2009,1670280968.88376
bih,2010,459767840.691
bih,2011,598862083.1
bih,2012,897408998.4
bih,2013,789486725.3
bih,2014,628927536.0649
bih,2015,186120675.32766
bih,2016,649214837.96963
bih,2017,-728507041.42379
bih,2018,-75717439.65059
bih,2019,509476433.27238
blr,1992,470
blr,1993,4840
blr,1994,91020
blr,1995,312110
blr,1996,387100
blr,1997,952750
blr,1998,803340
blr,1999,1348380
blr,2000,-2412000
blr,2001,12410000
blr,2002,12397000
blr,2003,45846130
blr,2004,55908200
blr,2005,104500900
blr,2006,99111400
blr,2007,336931100
blr,2008,465002058.4
blr,2009,966890097.56257
blr,2010,422928218.1875
blr,2011,2400790000
blr,2012,391930000
blr,2013,183983000
blr,2014,185056720
blr,2015,-437648954.52
blr,2016,-24572219.9
blr,2017,2152596415
blr,2018,243082839.9
blr,2019,426979364.7
blz,1990,18854000
blz,1991,23201000
blz,1992,55885000
blz,1993,55693000
blz,1994,35304000
blz,1995,38048000
blz,1996,56897000
blz,1997,-951000
blz,1998,10736000
blz,1999,47987000
blz,2000,201577000
blz,2001,85219000
blz,2002,136280000
blz,2003,219676000
blz,2004,363923000
blz,2005,-185318000
blz,2006,56649000
blz,2007,39695000
blz,2008,-15352000
blz,2009,19875000
blz,2010,102289000
blz,2011,63644000
bol,1986,3400000
bol,1987,-78400000
bol,1988,47300000
bol,1989,185800000
bol,1990,271200000
bol,1991,-15200000
bol,1992,485500000
bol,1993,871200000
bol,1994,431700000
bol,1995,647000000
bol,1996,1315600000
bol,1997,1382000000
bol,1998,1469400000
bol,1999,1291400000
bol,2000,1551300000
bol,2001,3732880000
bol,2002,3717067776.8
bol,2003,5364577199.18
bol,2004,4992900000
bol,2005,2877613991.32
bol,2006,-9404173140.65
bol,2007,-314450380.27
bra,2010,253712888518.24301
bra,2011,199434031337.82501
bra,2012,272629008783.48495
bra,2013,154238953600.414
bra,2014,313641591079.06
bra,2015,543394938846.20001
bra,2016,533801742242.22699
bra,2017,552482041350.94995
bra,2018,423539821128.11902
bra,2019,478412686140.68494
brb,2003,66842000
brb,2005,243522000
brb,2006,90592075.91
brb,2007,1064292431
brb,2008,642711695
brb,2009,958055091
brb,2010,917475438
brb,2011,672447699
brb,2012,1064638560
brb,2013,877257957
brb,2014,930408918
brb,2015,999907560
brb,2016,464422181
btn,1982,16600000
btn,1983,26900000
btn,1984,-20500000
btn,1985,205300000
btn,1986,95000000
btn,1988,199200000
btn,1989,470600000
btn,1990,390000000
btn,1991,47000000
btn,1992,245900000
btn,1993,-311400000
btn,1994,46600000
btn,1995,-4200000
btn,1996,-239800000
btn,1997,299898000
btn,1998,-147800000
btn,1999,308900000
btn,2000,768900000
btn,2001,2540648000
btn,2002,1181401000
btn,2003,2895691000
btn,2004,-556304000
btn,2005,2492438000
btn,2006,215476000
btn,2007,354845000
btn,2008,-1319205000
btn,2009,-1218709000
btn,2010,192542000
btn,2011,509203000
btn,2012,-1216775317
btn,2013,484096000
btn,2014,-704151000
btn,2015,20608321822.10649
btn,2016,29363972454.16
btn,2017,17877066775.3384
btn,2018,11376443311.7
bwa,1990,-50920000
bwa,1991,176400000
bwa,1992,-57200000
bwa,1993,163600000
bwa,1994,12500000
bwa,1995,-18200000
bwa,1996,101500000
bwa,2006,-578670000
bwa,2007,211410000
bwa,2008,88510000
bwa,2009,5189640000
bwa,2010,4462310000
bwa,2011,387130000
bwa,2012,-2450730000
bwa,2013,1521070000
bwa,2014,1005390000
bwa,2015,-2491367000
bwa,2016,-4776360000
bwa,2017,1106876183
bwa,2018,-1458530000
bwa,2019,1277650000
caf,2004,9440000000
caf,2008,10819174672
caf,2014,-2035152373.23302
caf,2015,4999393232.00001
caf,2016,11570478462
caf,2017,-2368563221.00001
caf,2018,-3785303995.99999
can,1995,35890000000
can,1996,23876000000
can,1997,2016000000
can,1998,733000000
can,1999,12446000000
can,2000,-14926000000
can,2001,17699000000
can,2002,-10233000000
can,2003,2840000000
can,2004,-18091000000
can,2005,24349000000
can,2006,-7620000000
can,2007,-17995000000
can,2008,93997000000
can,2009,81183000000
can,2010,50367000000
can,2011,43934000000
can,2012,54905000000
can,2013,22742000000
can,2014,-10488000000
can,2015,66896000000
can,2016,-13713000000
can,2017,25965000000
can,2018,-4563000000
can,2019,27946000000
che,2008,-4189915469.84
che,2009,-11484534160.2
che,2010,-685402607.61
che,2011,-1594286571.04
che,2012,3567514389.29
che,2013,-425695928.78
che,2014,-1370120567.05
che,2015,-2933856326.58
che,2016,-5411568633.27
che,2017,3396282304.1
che,2018,-4325869279.08
che,2019,563737269.78
chl,2000,-285780000000
chl,2001,-101910000000
chl,2002,-203820000000
chl,2003,60720000000.0001
chl,2004,-454770000000
chl,2005,-1798000000000
chl,2006,-1546000000000
chl,2007,-1211164000000
chl,2008,-586348000000
chl,2009,343497000000
chl,2010,2729304945730
chl,2011,2184326000000
chl,2012,585112922130.31995
chl,2013,190956000000
chl,2014,2556120961251.47998
chl,2015,3034415187426.18945
chl,2016,5645777112070
chl,2017,5546507000000
chl,2018,3288045765387.02002
chl,2019,4302748905823.08008
civ,1995,145400000000
civ,2003,263300000000
civ,2004,126900000000
civ,2005,143100000000
civ,2007,85000000000
civ,2008,-700000000.00002
civ,2009,-40549200000
civ,2010,295964000000
civ,2011,699175000000
civ,2012,244597000000
civ,2013,550296000000
civ,2014,686245000000
civ,2015,868000000000
civ,2016,814133000000
civ,2017,1323419554000
civ,2018,1158277214661.52002
civ,2019,1092925530385.62
cmr,1991,142620000000
cmr,1992,74430000000
cmr,1993,35210000000
cmr,1994,99190000000
cmr,1995,-8250000000
cmr,2012,370766400000
cmr,2013,560931000000
cmr,2014,555700000000
cmr,2015,907300000000
cmr,2016,521400000000
cmr,2017,1102800000000
cmr,2018,306783372820.47803
cog,2004,203968000000
cog,2005,183546000000
cog,2006,-292727000000
cog,2007,-421720000000
cog,2008,-746674000000
cog,2009,-232642000000
cog,2010,-1430040000000
cog,2011,-6199999999.99999
cog,2012,513300000000
cog,2013,210100000000
cog,2014,439400000000
cog,2015,787200000000
cog,2016,701475900000
cog,2017,166700000000
cog,2018,-618200000000
col,1998,7591670019302.83008
col,1999,11395056945843.90039
col,2000,9333745657333.25
col,2003,17426970325754.90039
col,2008,6507276000000
col,2009,21487701000000
col,2010,38547778000000
col,2011,-16758029000000
col,2012,31168790000000
col,2013,41037291000000
col,2014,27857340458716.30078
col,2015,28785081793495.39844
col,2016,43660315542400.20312
col,2017,23849185076683.19922
col,2018,40048837125531.29688
col,2019,27099061251944.80078
cyp,1972,11464715.67163
cyp,1973,-4835342.07909
cyp,1974,6526857.50606
cyp,1975,12643650.66618
cyp,1976,43313046.53889
cyp,1977,17393562.67321
cyp,1978,63782091.80657
cyp,1979,70172261.19732
cyp,1980,124779163.2637
cyp,1981,95750024.77472
cyp,1982,121977056.89985
cyp,1983,175234163.82754
cyp,1984,137713276.17492
cyp,1985,166691156.62066
cyp,1986,113946630.12538
cyp,1987,197531412.6375
cyp,1988,228269152.56786
cyp,1989,179966989.82015
cyp,1990,426746034.6784
cyp,1991,608969919.50961
cyp,1992,567515591.3359
cyp,1993,375774726.93805
cyp,1994,122027529.41276
cze,1993,-5819000000
cze,1994,2071000000
deu,1975,18554782368.6108
deu,1976,10215611786.3004
deu,1977,10496822320.9584
deu,1978,13457202313.0845
deu,1979,13891800412.1013
deu,1980,14321285592.3061
deu,1981,20768676214.1904
deu,1982,18728621608.21749
deu,1983,16269307659.6637
deu,1984,14331511429.93
deu,1985,12010246289.2992
deu,1986,11360905600.18
deu,1987,14300833917.0582
deu,1988,17741828277.5088
deu,1989,8380073932.80602
deu,1990,33254423953.0021
dom,1990,1000000
dom,1991,-611900000
dom,1992,-1490900000
dom,1995,-1617700000
dom,1996,-1755000000
dom,1998,-1709800000
dom,1999,-374800000
dom,2003,16625524330.1
dom,2004,23081258891.9735
dom,2005,20672957881.8508
dom,2006,16628839437.0058
dom,2007,2204788102.40089
dom,2008,62414313596.0746
dom,2009,68535372691.5524
dom,2010,71863192408.23621
dom,2011,72784469571.3363
dom,2012,143621356850.70001
dom,2013,98539322809.34341
dom,2014,73421640606.2177
dom,2015,-3263173777.62478
dom,2016,107976065215.798
dom,2017,122579287999.901
dom,2018,128459272812.063
dom,2019,175599868067.88199
egy,2002,60911000000
egy,2003,71522000000
egy,2004,70243000000
egy,2005,78737000000
egy,2006,20050000000
egy,2007,57933000000
egy,2008,87066000000
egy,2009,100888000000
egy,2010,113587000000
egy,2011,156686000000
egy,2012,174952000000
esp,1972,265046338.03325
esp,1973,134025699.27758
esp,1974,413496327.81604
esp,1975,682148738.47559
esp,1976,697174041.08519
esp,1977,1616121548.68799
esp,1978,1451444232.08683
esp,1979,2846994338.46598
esp,1980,3746709458.7285
esp,1981,5245633647.06165
esp,1982,6860553171.54088
esp,1983,9953962472.8042
esp,1984,13464474174.5099
esp,1985,11981777312.9951
esp,1986,9197288233.38502
esp,1987,9019388650.48742
esp,1988,9075282776.19511
esp,1989,6858750135.22772
esp,1990,17511689685.4303
esp,1991,11728150204.9451
esp,1992,15193585998.822
esp,1993,41014869039.46249
esp,1994,18757587777.8178
esp,1995,30159758096.3827
esp,1996,39027292825.3081
esp,1997,14840255344.247
esp,1998,18100843453.28
esp,1999,15170974579.8266
esp,2000,12066947072.4637
esp,2001,-2485293605.14711
esp,2002,4248794857.08791
esp,2003,-6524834987.47012
esp,2004,4622551988.01448
esp,2005,-1788968484.32997
esp,2006,-1981405273.44481
esp,2007,-8287317604.53321
esp,2008,43444793857.9715
esp,2009,118989349914.073
esp,2010,50804115195.9557
esp,2011,68668041543.04289
esp,2012,146777601332.66699
esp,2013,74060511979.9588
esp,2014,72349102707.7247
esp,2015,61616582557.9135
esp,2016,48814252516.6924
esp,2017,71073318504.8531
esp,2018,63001928483.3972
esp,2019,41288463039.341
est,1991,0
est,1992,35945.3496
eth,1990,1762100000
eth,1991,1612400000
eth,1992,1461200000
eth,1993,1827600000
eth,1994,2614900000
eth,1995,2125300000
eth,1996,1545200000
eth,1997,823500000
eth,1998,1641800000
eth,1999,2430400000
eth,2001,2880500000
eth,2002,5002700000
eth,2003,4019800000
eth,2004,4227500000
eth,2005,5713300000
eth,2006,29856800000
eth,2007,36105500000
eth,2008,40850600000
eth,2009,49378500000
eth,2010,51199900000
eth,2011,62382955000
eth,2012,66319000000
eth,2013,37991679203.35
eth,2014,46298911317.88
eth,2015,54935300586.22
eth,2016,77638820385.07001
eth,2017,77578292411.13
eth,2018,103167008059.95
eth,2019,105321507921.77
fin,1972,-34983088.70399
fin,1973,-129168327.52244
fin,1974,-75348191.05476
fin,1975,128663763.74306
fin,1976,155405644.05044
fin,1977,255982024.07442
fin,1978,783082985.60479
fin,1979,574361768.86606
fin,1980,598580830.27652
fin,1981,462853173.62208
fin,1982,914437756.17123
fin,1983,1251318172.87364
fin,1984,891227822.31955
fin,1985,589498682.2476
fin,1986,699493586.15342
fin,1987,1227603675.24257
fin,1988,48101746.96799
fin,1989,-676956404.00758
fin,1990,200311820.41566
fin,1991,4447056963.56881
fin,1992,11893913783.5051
fin,1993,14334825160.241
fin,1994,12247444804.9272
fji,1995,85460000
fji,2006,220141400
fji,2010,-260546946.86
fji,2011,-142139689.84
fji,2012,-127371215.03
fji,2013,-83978378.96
fji,2014,298024194.37
fji,2015,257171303
fji,2016,345895480.48
fji,2017,383900000
fji,2018,747021516.80062
fji,2019,612635666.42851
fra,1972,228673525.85612
fra,1973,137204115.51367
fra,1974,-807979791.35828
fra,1975,6982164989.4734
fra,1976,3018490541.30073
fra,1977,5442429915.37555
fra,1978,8521900063.57124
fra,1979,6158940296.39138
fra,1980,4786899141.25469
fra,1981,12775227644.495
fra,1982,28172578385.4734
fra,1983,18278637166.7655
fra,1984,24468067266.6044
fra,1985,25047373532.10649
fra,1986,20656841835.6691
fra,1987,19575368507.3869
fra,1988,12762269478.0298
fra,1989,23149078369.4663
fra,1990,23278964932.1526
fra,1991,12912431760.0087
fra,1992,50125236867.6605
fra,1993,70172282634.38
fra,1994,49805093931.462
fsm,2008,8082771.22
fsm,2009,1833140
fsm,2010,-695324.22
fsm,2011,7149224
fsm,2012,8274637
fsm,2013,-5241423
fsm,2014,-8813292.21
fsm,2015,8636882.79
fsm,2016,6954003
fsm,2017,28140247.96659
fsm,2018,-19952879.83385
fsm,2019,-5937904.04355
gab,2012,-164980274776
gab,2013,27668033165.1181
gab,2014,-213103520934.63901
gab,2015,82434546827.7612
gab,2016,201409166114.44101
gab,2017,66642716807.5616
gab,2018,33575827714.4764
gab,2019,-307910824789.34399
gbr,1972,304000000
gbr,1973,2853000000
gbr,1974,4187000000
gbr,1975,7533000000
gbr,1976,7420000000
gbr,1977,13478000000
gbr,1978,6781000000
gbr,1979,12469000000
gbr,1980,10225000000
gbr,1981,9079000000
gbr,1982,7977000000
gbr,1983,13990000000
gbr,1984,10706000000
gbr,1985,10434000000
gbr,1986,11892000000
gbr,1987,1776000000
gbr,1988,-5355000000
gbr,1989,-3324000000
gbr,1990,-5185000000
gbr,1991,4911000000
gbr,1992,25027000000
gbr,1993,45389000000
gbr,1994,29968000000
gbr,1995,42218000000
gbr,1996,26647000000
gbr,1997,17101000000
gbr,1998,-2402000000
gbr,1999,-389000000
gbr,2000,14920000000
gbr,2001,-18662000000
gbr,2002,18127000000
gbr,2003,39635000000
gbr,2004,41920000000
gbr,2005,47897000000
gbr,2006,45907000000
gbr,2007,45972000000
gbr,2008,146199000000
gbr,2009,211926000000
gbr,2010,153095000000
gbr,2011,136503000000
gbr,2012,145429000000
gbr,2013,73913000000
gbr,2014,106108000000
gbr,2015,75937000000
gbr,2016,78387000000
gbr,2017,58240000000
gbr,2018,56126000000
gbr,2019,64495000000
geo,1995,138700000
geo,1996,234600000
geo,1997,289700000
geo,1998,182500000
geo,1999,237489062.4982
geo,2000,85149720.3398
geo,2001,83800000
geo,2002,142230000
geo,2003,140700000
geo,2004,41000000
geo,2005,-66500000
geo,2006,-80800000
geo,2007,14500000
geo,2008,962200000
geo,2009,895600000
geo,2010,1276000000
geo,2011,583200000
geo,2012,608800000
geo,2013,222700000
geo,2014,1007100000
geo,2015,941200000
geo,2016,1068500000
geo,2017,1136200000
geo,2018,1129800000
geo,2019,1377500000
geo,2020,6368700000
gha,2003,194591585
gha,2004,152786043
gha,2005,77340726
gha,2006,804385557
gha,2007,1040408462
gha,2008,1905317824
gha,2009,1997515671
gha,2010,2906381184
gha,2011,2272319245
gha,2012,8715440001.53071
gha,2013,9454648302.19138
gha,2014,10636287535.8674
gha,2015,19655552993.7349
gha,2016,13922481178.9954
gha,2017,12244729654
gha,2018,11672748534.4
gha,2019,16891843383.1241
gnb,2017,17916724072.54
gnb,2019,42743395259.9959
gnq,2006,-28122000000
gnq,2007,-18682000000
gnq,2008,-3043000000
gnq,2009,-1786000000
gnq,2010,46921000000
gnq,2011,143489000000
gnq,2012,-50204000000
gnq,2013,235700000000
gnq,2014,99497000000
grc,1990,8947498165.81071
gtm,2000,2587760000
gtm,2001,3705300000
gtm,2002,640650000
gtm,2003,5846680000
gtm,2004,5424980000
gtm,2005,5188040000
gtm,2006,5470400000
gtm,2007,5565800000
gtm,2008,2475300000
gtm,2009,8505683457.1
gtm,2010,11280558746.03
gtm,2011,8613463390.76
gtm,2012,7426174208.12
gtm,2013,8733534380
gtm,2014,8334483858.27
gtm,2015,7613659201.08
gtm,2016,8237263470.08
gtm,2017,7781679363.94
gtm,2018,10701740367.03
gtm,2019,12224855818.42
hnd,1972,53900000
hnd,1973,12300000
hnd,1974,34900000
hnd,1975,47800000
hnd,1976,76900000
hnd,2003,5237997800
hnd,2004,4933915600
hnd,2005,2215164100
hnd,2006,4076092700
hnd,2007,5517063000
hnd,2008,3854584998
hnd,2009,16235761148
hnd,2010,8771670270
hnd,2011,11826812000
hnd,2012,23816257268
hnd,2013,36449280297
hnd,2014,14200021401.6812
hnd,2015,10708928244
hrv,1991,-1670000
hrv,1992,83180000
hrv,1993,-138700000
hrv,1994,-2112650000
hun,1981,16300000000
hun,1982,17800000000
hun,1983,7600000000
hun,1984,-3100000000
hun,1985,100000000
hun,1986,31200000000
hun,1988,4400000000
hun,1989,32000000000
hun,1990,-5800000000
hun,1991,205100000000
hun,1992,119000000000
hun,1993,323500000000
hun,1994,254400000000
hun,1995,919869000000
hun,1996,256454000000
hun,1997,229106000000
hun,1998,551084000000
hun,1999,556953000000
hun,2000,109309000000
hun,2001,1025365000000
hun,2002,1360093000000
hun,2003,1269442000000
hun,2004,1692889000000
hun,2005,1197656000000
hun,2006,1935726000000
hun,2007,1133499000000
hun,2008,2243249000000
hun,2009,998850000000
hun,2010,646698000000
hun,2011,2833832000000
hun,2012,478049000000
hun,2013,1123661000000
hun,2014,1628389000000
hun,2015,892859000000
hun,2016,1019043000000
hun,2017,1220805000000
hun,2018,1760787000000
hun,2019,896292000000
idn,1972,114000000000
idn,1973,171000000000
idn,1974,194000000000
idn,1975,482000000000
idn,1976,713000000000
idn,1977,524000000000
idn,1978,743000000000
idn,1979,909000000000
idn,1980,1067000000000
idn,1981,1239000000000
idn,1982,1122000000000
idn,1983,2042000000000
idn,1984,-881000000000
idn,1985,1053000000000
idn,1986,3725000000000
idn,1987,1066000000000
idn,1988,4778000000000
idn,1989,3218000000000
idn,1990,1368000000000
idn,1991,2392000000000
idn,1992,-66000000000
idn,1993,-7000000000
idn,1994,-4598000000000
idn,1996,-5717000000000
idn,1997,535900000000
idn,1998,59298300000000
idn,1999,8715000000000
idn,2002,-389336000000
idn,2003,-6584689000000
idn,2004,-10108281971413.69922
idn,2008,72699700000000
idn,2009,90101800000000
idn,2010,95658500000000
idn,2011,106908000000000
idn,2012,140793000000000
idn,2013,222516000000000
idn,2014,255732364026323
idn,2015,380916127977356
idn,2016,403018580050566
idn,2017,429076551731210
idn,2018,372028859447862
idn,2019,437538815038544.9375
ind,1974,24180000000
ind,1975,36770000000
ind,1976,32150000000
ind,1977,62110000000
ind,1978,25630000000
ind,1979,65030000000
ind,1980,90400000000
ind,1981,82620000000
ind,1982,144940000000
ind,1983,98390000000
ind,1984,175310000000
ind,1985,222510000000
ind,1986,277950000000
ind,1987,277170000000
ind,1988,326630000000
ind,1989,361790000000
ind,1990,438800000000
ind,1991,358580000000
ind,1992,393700000000
ind,1993,615500000000
ind,1994,555240000000
ind,1995,615010000000
ind,1996,664220000000
ind,1997,751010000000
ind,1998,919600000000
ind,1999,1052810000000
ind,2000,1147240000000
ind,2001,1384670000000
ind,2002,1261710000000
ind,2003,803300000000
ind,2004,1631530000000
ind,2005,1551080000000
ind,2006,1024370000000
ind,2007,1109150000000
ind,2008,2549680000000
ind,2009,3952820000000
ind,2010,3371200000000
ind,2011,4950300000000
ind,2012,4856200000000
ind,2013,5254700000000
ind,2014,4801645955000
ind,2015,5122836700000
ind,2016,4905520000000
ind,2017,5854260000000
ind,2018,5736570000000
irl,1999,-749000000
irl,2000,-4602000000
irl,2001,2060000000
irl,2002,2355000000
irl,2003,1831000000
irl,2004,260000000
irl,2005,565000000
irl,2006,-796000000
irl,2007,3942000000
irl,2008,33106000000
irl,2009,26335000000
irl,2010,41655000000
irl,2011,25267000000
irl,2012,20158000000
irl,2013,5623000000
irl,2014,-10847000000
irl,2015,-3012000000
irl,2016,-2392000000
irl,2017,-597000000
irl,2018,16981000000
irl,2019,-2063000000
irn,1999,3277339000000
irn,2000,7128277000000
irn,2001,2817497488689.62939
irn,2002,28840600000000
irn,2003,11126900000000
irn,2004,-13540000000000
irn,2005,-7398700000000
irn,2006,29321306000000
irn,2009,0
irq,2014,8721460000000
irq,2015,13554284556000
irq,2016,11871548061238.5
irq,2017,8243218374466.79004
irq,2018,3585050186703
irq,2019,-1017205485271.83997
isl,1972,27700000
isl,1973,30900000
isl,1974,61600000
isl,1975,128800000
isl,1976,75000000
isl,1977,189500000
isl,1978,153400000
isl,1979,243100000
isl,1980,176400000
isl,1981,304800000
isl,1982,1005200000
isl,1983,2297400000
isl,1984,2040600000
isl,1985,4573600000
isl,1986,7720500000
isl,1987,4400000000
isl,1988,4823300000
isl,1989,10249000000
isl,1990,13741500000
isl,1991,10660200000
isl,1992,15758300000
isl,1993,13536700000
isl,1994,15507100000
isl,1995,16976500000
isl,1996,11073100000
isl,1997,-2650000000
isl,1998,-88102000
isl,1999,-5128416000
isl,2000,-9872141000
isl,2001,51346233000
isl,2002,18620497000
isl,2003,3541763000
isl,2004,5460949000
isl,2005,-43746731711
isl,2006,130659339110
isl,2007,104769304978
isl,2008,640724846843
isl,2009,267371790398.33301
isl,2010,223476746731
isl,2011,161644671185
isl,2012,-4632145705.33334
isl,2013,-33581525645
isl,2014,9629391831.33333
isl,2015,-193154781234
isl,2016,-179199952104.66699
isl,2017,-253504180285
isl,2018,-84934744632
isl,2019,122961078375
isr,1972,600000
isr,1973,400000
isr,1974,1300000
isr,1975,1800000
isr,1976,1700000
isr,1977,2800000
isr,1978,3800000
isr,1979,6200000
isr,1980,18700000
isr,1981,60200000
isr,1982,110000000
isr,1983,608500000
isr,1984,2351000000
isr,1985,2039700000
isr,1986,648600000
isr,1987,2091600000
isr,1988,7267100000
isr,1989,4664300000
isr,1990,4549500000
isr,1991,7889000000
isr,1992,9300000000
isr,1993,8770000000
isr,1994,5743000000
isr,1995,13475000000
isr,1996,18521000000
isr,1997,5027000000
isr,1998,11698000000
isr,1999,7970000000
isr,2006,-3206866989.5
isr,2007,-5050746371.6
isr,2008,26120274500.5
isr,2009,53853913284.5
isr,2010,17263741604.4
isr,2011,18502102425.6
