geo,time,sp_uwt_tfrt
mli,2018,23.9
mmr,1991,20.6
mmr,1997,19.1
mmr,2001,19.1
mmr,2016,16.2
mne,2013,21.8
mne,2018,21
mng,1998,9.9
mng,2003,4.6
mng,2008,14.4
mng,2010,22.3
mng,2013,16
mng,2018,22.8
moz,1997,24.9
moz,2003,21.4
moz,2004,18.9
moz,2011,23.9
moz,2015,23.1
mrt,2001,32.1
mrt,2007,24.6
mrt,2011,31.1
mrt,2015,33.6
mus,1991,6.4
mus,2002,3.5
mus,2014,12.5
mwi,1992,36.5
mwi,2000,29.9
mwi,2004,30.3
mwi,2005,30.3
mwi,2010,26.2
mwi,2014,19.4
mwi,2016,18.7
nam,1992,21.8
nam,2000,23.9
nam,2007,20.7
nam,2013,17.5
ner,1992,18.7
ner,1998,17.7
ner,2006,16.1
ner,2012,16
ner,2016,23.9
ner,2017,22.18642
ner,2018,15
nga,1990,21.5
nga,1999,20
nga,2003,17.5
nga,2008,20.2
nga,2011,19.4
nga,2013,16.1
nga,2016,28.9
nga,2017,27.6
nga,2018,18.9
nic,1993,23.9
nic,1998,17.9
nic,2001,14.6
nic,2007,10.7
nic,2012,5.8
npl,1992,27.7
npl,1996,32.4
npl,2001,27.8
npl,2006,24.7
npl,2011,27.5
npl,2014,25.3
npl,2016,23.7
npl,2017,23.7
npl,2019,24.71561
nru,2007,23.5
omn,2008,55.9
omn,2014,17.8
pak,1991,30.5
pak,1997,37.5
pak,2001,33
pak,2007,25.2
pak,2013,20.1
pak,2017,17.3
pak,2018,17.3
pan,1984,16.4
pan,1985,16.4
pan,2013,16.4
pan,2015,24.2
per,1986,27.7
per,1992,21.6
per,1996,17.7
per,2000,14.4
per,2005,12.3
per,2006,12.3
per,2008,12.6
per,2009,11.1
per,2010,10.5
per,2011,9.7
per,2012,9.5
per,2013,9
per,2014,8.6
per,2015,6.5
per,2016,6
per,2017,6.5
per,2018,6.3
phl,1993,30.2
phl,1998,24.6
phl,2003,22.5
phl,2008,22
phl,2011,19.3
phl,2013,17.5
phl,2017,16.7
png,2006,27.4
png,2007,27.4
png,2018,25.9
pri,1996,4
prk,2002,16.7
prk,2006,15.8
prk,2010,14.5
prk,2014,7
prk,2017,6.6
pry,1987,32.9
pry,1990,17.4
pry,1996,19.2
pry,1998,17.3
pry,2004,6.6
pry,2008,4.7
pry,2016,12.1
pse,2010,15.6
pse,2014,10.9
pse,2020,12.9
qat,2012,12.4
rou,1993,11.4
rou,1999,5.6
rou,2004,11.9
rus,2011,8
rwa,1992,38.2
rwa,2000,36.4
rwa,2005,38.5
rwa,2008,34.4
rwa,2010,20.8
rwa,2011,20.8
rwa,2015,18.9
sdn,1990,28.9
sdn,1993,26
sdn,2010,28.9
sdn,2014,26.6
sen,1986,37.4
sen,1993,28.8
sen,1997,35
sen,2005,32
sen,2011,30.1
sen,2013,29.3
sen,2014,25.1
sen,2015,25.2
sen,2016,23.6
sen,2017,21.9
sen,2018,20.6
sen,2019,21.7
slb,2007,11.1
slb,2015,34.7
sle,2008,28.4
sle,2010,27.4
sle,2013,25
sle,2017,26.3
sle,2019,24.8
slv,1988,16.2
slv,1993,15.8
slv,1998,14.2
slv,2003,8.9
slv,2008,18.4
slv,2014,11.1
som,2011,20.2
som,2019,36.6
srb,2010,6.6
srb,2014,14.9
srb,2019,8.8
ssd,2010,26.3
stp,2009,37.6
stp,2014,32.7
stp,2019,27.1
sur,2010,16.9
sur,2018,28.4
svn,1995,9.2
swe,2013,6.5
swe,2017,8.5
swz,2007,24.7
swz,2010,13
swz,2014,15.2
syr,2009,16.4
syr,2010,16.4
tcd,1997,17.4
tcd,2004,20.6
tcd,2010,28.3
tcd,2015,22.9
tcd,2019,30.2
tgo,1988,40.1
tgo,1998,35
tgo,2010,37.2
tgo,2014,33.6
tgo,2017,34
tha,1987,11.1
tha,2012,6.9
tha,2016,6.2
tha,2019,8
tjk,2012,22.9
tjk,2017,22.7
tkm,2000,13.1
tkm,2015,12.1
tkm,2016,12.1
tkm,2019,9.7
tls,1991,18.3
tls,1994,13.3
tls,1997,17.4
tls,2010,31.5
tls,2016,25.3
ton,2012,25.2
tto,1987,16.1
tto,2006,26.7
tto,2011,24.3
tun,2001,12.1
tun,2012,7
tun,2018,19.9
tur,1993,14.6
tur,1998,14
tur,2003,6.5
tur,2004,9.5
tur,2008,8.6
tur,2013,5.9
tur,2014,5.9
tur,2018,11.6
tuv,2007,24.2
tza,1992,27.8
tza,1994,27.3
tza,1996,26
tza,1999,22.3
tza,2005,24.3
tza,2010,25.3
tza,2016,22.1
uga,1995,30
uga,2001,35
uga,2006,38
uga,2011,34.3
uga,2014,34.7
uga,2015,31.8
uga,2016,28.4
uga,2017,29.35086
uga,2018,26
ukr,1999,17.5
ukr,2007,10.1
ukr,2012,4.9
usa,1988,4
usa,1990,6
usa,2002,6.3
usa,2007,5.8
usa,2008,5.8
usa,2010,8
usa,2014,9
usa,2015,9
usa,2018,7.2
uzb,1996,13.7
ven,1998,18.9
vnm,1997,8.4
vnm,2002,6.6
vnm,2011,4.3
vnm,2014,6.1
vut,2013,24.2
wsm,2009,47.7
wsm,2014,34.8
yem,1992,38.1
yem,1997,40
yem,2006,23.6
yem,2013,28.7
zaf,1998,16.5
zaf,2003,13.8
zaf,2004,13.8
zaf,2016,14.9
zmb,1992,30
zmb,1996,25.2
zmb,1997,25.2
zmb,2002,27.5
zmb,2007,26.6
zmb,2014,21.1
zmb,2018,19.7
zwe,1984,14.1
zwe,1994,19.1
zwe,1999,16.7
zwe,2006,15.5
zwe,2011,14.6
zwe,2014,10.4
zwe,2015,10.4
