geo,time,ep_pmp_desl_cd
cpv,1998,0.43
cpv,2000,0.39
cpv,2004,0.81
cpv,2008,1.43
cpv,2010,1.33
cpv,2012,1.58
cpv,2014,1.31
cpv,2016,0.81
cri,2002,0.44
cri,2004,0.56
cri,2006,0.67
cri,2008,1.1
cri,2010,0.97
cri,2012,1.36
cri,2014,1.21
cri,2016,0.79
cub,1998,0.18
cub,2002,0.45
cub,2004,0.55
cub,2006,0.91
cub,2008,1.51
cub,2010,1.24
cub,2012,1.3
cub,2014,1.2
cyp,1998,0.25
cyp,2000,0.18
cyp,2002,0.44
cyp,2004,0.95
cyp,2006,1.2
cyp,2008,1.25
cyp,2010,1.47
cyp,2012,1.78
cyp,2014,1.65
cyp,2016,1.23
cze,1995,0.6
cze,1998,0.6
cze,2000,0.68
cze,2002,0.71
cze,2004,1.07
cze,2006,1.29
cze,2008,1.45
cze,2010,1.69
cze,2012,1.87
cze,2014,1.6
cze,2016,1.11
deu,1995,0.77
deu,1998,0.69
deu,2000,0.78
deu,2002,0.82
deu,2004,1.29
deu,2006,1.38
deu,2008,1.56
deu,2010,1.68
deu,2012,1.88
deu,2014,1.58
deu,2016,1.2
dji,2010,1.07
dji,2012,1.18
dji,2014,1.21
dji,2016,0.98
dnk,1995,0.87
dnk,1998,0.85
dnk,2000,0.9
dnk,2002,0.94
dnk,2004,1.35
dnk,2006,1.45
dnk,2008,1.54
dnk,2010,1.79
dnk,2012,1.89
dnk,2014,1.8
dnk,2016,1.35
dom,1995,0.28
dom,1998,0.22
dom,2000,0.39
dom,2002,0.27
dom,2004,0.61
dom,2006,0.75
dom,2008,0.94
dom,2010,1.03
dom,2012,1.35
dom,2014,1.21
dom,2016,0.91
dza,1991,0.04
dza,1992,0.09
dza,1995,0.23
dza,1998,0.16
dza,2000,0.15
dza,2002,0.1
dza,2004,0.15
dza,2006,0.19
dza,2008,0.2
dza,2010,0.19
dza,2012,0.17
dza,2014,0.16
dza,2016,0.17
ecu,1992,0.19
ecu,1995,0.28
ecu,1998,0.24
ecu,2000,0.18
ecu,2002,0.27
ecu,2004,0.27
ecu,2006,0.39
ecu,2008,0.27
ecu,2010,0.28
ecu,2012,0.29
ecu,2014,0.29
ecu,2016,0.29
egy,1991,0.07
egy,1992,0.09
egy,1995,0.12
egy,1998,0.12
egy,2000,0.1
egy,2002,0.08
egy,2004,0.1
egy,2006,0.12
egy,2008,0.2
egy,2010,0.19
egy,2012,0.18
egy,2014,0.25
egy,2016,0.15
eri,1992,0.29
eri,1995,0.19
eri,1998,0.23
eri,2000,0.33
eri,2002,0.25
eri,2004,0.4
eri,2006,0.81
eri,2008,1.07
eri,2010,1.07
eri,2012,1.71
eri,2014,3
eri,2016,1.33
esp,1995,0.7
esp,1998,0.7
esp,2000,0.65
esp,2002,0.72
esp,2004,1.1
esp,2006,1.1
esp,2008,1.28
esp,2010,1.47
esp,2012,1.75
esp,2014,1.55
esp,2016,1.13
est,1995,0.33
est,1998,0.36
est,2000,0.55
est,2002,0.56
est,2004,0.94
est,2006,1.22
est,2008,1.3
est,2010,1.57
est,2012,1.76
est,2014,1.51
est,2016,1.14
eth,1991,0.14
eth,1992,0.19
eth,1995,0.24
eth,1998,0.25
eth,2000,0.27
eth,2002,0.32
eth,2004,0.42
eth,2006,0.62
eth,2008,0.89
eth,2010,0.78
eth,2012,0.94
eth,2014,0.89
eth,2016,0.64
fin,1995,0.85
fin,1998,0.79
fin,2000,0.84
fin,2002,0.8
fin,2004,1.21
fin,2006,1.26
fin,2008,1.39
fin,2010,1.6
fin,2012,1.95
fin,2014,1.78
fin,2016,1.34
fji,1998,0.37
fji,2004,0.73
fji,2006,0.94
fji,2008,1.04
fji,2012,1.29
fji,2014,1.18
fji,2016,0.67
fra,1995,0.78
fra,1998,0.77
fra,2000,0.82
fra,2002,0.8
fra,2004,1.25
fra,2006,1.33
fra,2008,1.45
fra,2010,1.72
fra,2012,1.78
fra,2014,1.63
fra,2016,1.2
gab,1991,0.83
gab,1992,0.7
gab,1998,0.39
gab,2000,0.37
gab,2002,0.53
gab,2004,0.69
gab,2006,0.39
gab,2008,0.9
gab,2012,0.91
gab,2014,0.9
gab,2016,0.79
gbr,1995,0.85
gbr,1998,1.11
gbr,2000,1.22
gbr,2002,1.2
gbr,2004,1.6
gbr,2006,1.73
gbr,2008,1.65
gbr,2010,1.98
gbr,2012,2.27
gbr,2014,1.99
gbr,2016,1.49
geo,1998,0.25
geo,2002,0.41
geo,2004,0.67
geo,2006,0.89
geo,2008,1.16
geo,2010,1.13
geo,2012,1.37
geo,2014,1.24
geo,2016,0.74
gha,1991,0.43
gha,1992,0.45
gha,1995,0.33
gha,1998,0.3
gha,2000,0.19
gha,2002,0.23
gha,2004,0.43
gha,2006,0.84
gha,2008,0.9
gha,2010,0.83
gha,2012,0.95
gha,2014,1.03
gha,2016,0.85
gin,1991,0.61
gin,1992,0.56
gin,1998,0.56
gin,2000,0.69
gin,2002,0.56
gin,2004,0.69
gin,2006,0.82
gin,2008,1.02
gin,2010,0.95
gin,2012,1.34
gin,2014,1.45
gin,2016,0.9
gmb,1991,0.52
gmb,1992,0.48
gmb,1998,0.63
gmb,2000,0.47
gmb,2002,0.4
gmb,2004,0.73
gmb,2006,1.01
gmb,2008,0.75
gmb,2014,1.29
gmb,2016,1.06
grc,1995,0.59
grc,1998,0.4
grc,2000,0.71
grc,2002,0.68
grc,2004,1.23
grc,2006,1.19
grc,2008,1.41
grc,2010,1.78
grc,2012,2.08
grc,2014,1.63
grc,2016,1.22
grd,1998,0.41
grd,2000,0.41
grd,2002,0.41
grd,2004,0.68
grd,2006,0.89
grd,2008,1.34
grd,2010,1.02
grd,2012,1.07
grd,2016,1.04
gtm,1992,0.25
gtm,1995,0.28
gtm,1998,0.32
gtm,2000,0.42
gtm,2002,0.32
gtm,2004,0.63
gtm,2006,0.64
gtm,2008,0.82
gtm,2010,0.85
gtm,2012,1.04
gtm,2014,0.9
gtm,2016,0.65
guy,1998,0.27
guy,2000,0.37
guy,2002,0.27
guy,2004,0.61
guy,2008,0.85
guy,2010,0.85
guy,2012,1.05
guy,2014,1.11
guy,2016,0.78
hkg,1991,0.57
hkg,1995,0.74
hkg,1998,0.85
hkg,2000,0.8
hkg,2002,0.77
hkg,2004,1
hkg,2006,1.06
hkg,2008,1.16
hkg,2010,1.32
hkg,2012,1.57
hkg,2014,1.56
hkg,2016,1.42
hnd,1992,0.26
hnd,1995,0.25
hnd,1998,0.3
hnd,2000,0.46
hnd,2002,0.46
hnd,2004,0.66
hnd,2006,0.73
hnd,2008,0.8
hnd,2010,0.92
hnd,2012,1.15
hnd,2014,1.03
hnd,2016,0.8
hrv,1995,0.64
hrv,1998,0.61
hrv,2000,0.6
hrv,2002,0.74
hrv,2004,1.13
hrv,2006,1.22
hrv,2008,1.37
hrv,2010,1.49
hrv,2012,1.7
hrv,2014,1.59
hrv,2016,1.17
hti,1998,0.36
hti,2000,0.35
hti,2002,0.3
hti,2004,0.6
hti,2008,0.89
hti,2012,1.03
hti,2014,0.94
hti,2016,0.62
hun,1995,0.65
hun,1998,0.64
hun,2000,0.79
hun,2002,0.85
hun,2004,1.22
hun,2006,1.31
hun,2008,1.38
hun,2010,1.61
hun,2012,1.91
hun,2014,1.65
hun,2016,1.2
idn,1991,0.13
idn,1995,0.2
idn,1998,0.07
idn,2000,0.06
idn,2002,0.19
idn,2004,0.18
idn,2006,0.44
idn,2008,0.42
idn,2010,0.51
idn,2012,0.47
idn,2014,0.62
idn,2016,0.61
ind,1991,0.23
ind,1995,0.19
ind,1998,0.21
ind,2000,0.39
ind,2002,0.41
ind,2004,0.62
ind,2006,0.75
ind,2008,0.7
ind,2010,0.82
ind,2012,0.86
ind,2014,0.91
ind,2016,0.81
irl,1995,0.87
irl,1998,1.02
irl,2000,0.72
irl,2002,0.8
irl,2004,1.29
irl,2006,1.35
irl,2008,1.64
irl,2010,1.69
irl,2012,1.98
irl,2014,1.84
irl,2016,1.29
irn,1998,0.01
irn,2000,0.02
irn,2002,0.02
irn,2004,0.02
irn,2006,0.03
irn,2008,0.03
irn,2010,0.016
irn,2012,0.124
irn,2014,0.187
irn,2016,0.216
irq,2010,0.56
irq,2016,0.7
isl,1998,0.4
isl,2000,0.45
isl,2002,0.62
isl,2004,0.88
isl,2006,1.78
isl,2008,1.31
isl,2010,1.71
isl,2012,2.06
isl,2014,1.86
isl,2016,1.63
isr,1995,0.31
isr,1998,0.31
isr,2000,0.64
isr,2002,0.62
isr,2004,0.8
isr,2006,1.27
isr,2008,1.7
isr,2010,1.87
isr,2012,2.12
isr,2014,2.08
ita,1995,0.86
ita,1998,0.93
ita,2000,0.83
ita,2002,0.86
ita,2004,1.31
ita,2006,1.49
ita,2008,1.63
ita,2010,1.69
ita,2012,2.18
ita,2014,2.01
ita,2016,1.44
jam,1998,0.33
jam,2000,0.49
jam,2002,0.44
jam,2004,0.57
jam,2006,0.75
jam,2008,0.84
jam,2010,0.98
jam,2012,1.19
jam,2014,1.06
jor,1995,0.15
jor,1998,0.15
jor,2000,0.15
jor,2002,0.17
jor,2004,0.19
jor,2006,0.45
jor,2008,0.61
jor,2010,0.73
jor,2012,0.97
jor,2014,0.82
jor,2016,0.64
jpn,1995,0.75
jpn,1998,0.69
jpn,2000,0.76
jpn,2002,0.66
jpn,2004,0.95
jpn,2006,0.9
jpn,2008,1.3
jpn,2010,1.37
jpn,2012,1.61
jpn,2014,1.1
jpn,2016,0.88
kaz,1998,0.24
kaz,2000,0.29
kaz,2002,0.29
kaz,2004,0.38
kaz,2006,0.45
kaz,2008,0.72
kaz,2010,0.51
kaz,2012,0.67
kaz,2014,0.64
kaz,2016,0.4
ken,1991,0.37
ken,1992,0.33
ken,1995,0.43
ken,1998,0.54
ken,2000,0.6
ken,2002,0.56
ken,2004,0.76
ken,2006,0.98
ken,2008,1.14
ken,2010,1.27
ken,2012,1.26
ken,2014,1.07
ken,2016,0.82
kgz,1998,0.27
kgz,2000,0.33
kgz,2002,0.25
kgz,2004,0.43
kgz,2006,0.54
kgz,2008,0.88
kgz,2010,0.79
kgz,2014,0.76
kgz,2016,0.49
khm,1998,0.28
khm,2000,0.44
khm,2002,0.44
khm,2004,0.61
khm,2006,0.78
khm,2008,0.89
khm,2010,0.98
khm,2012,1.27
khm,2014,1.24
khm,2016,0.8
kor,1991,0.25
kor,1995,0.33
kor,1998,0.41
kor,2000,0.66
kor,2002,0.64
kor,2004,0.95
kor,2006,1.33
kor,2008,1.4
kor,2010,1.35
kor,2012,1.63
kor,2014,1.37
kor,2016,1.05
kos,1995,0.84
kos,1998,0.43
kos,2000,0.56
kos,2002,0.66
kos,2004,1.03
kos,2006,1.19
kos,2008,1.21
kos,2010,1.6
kos,2012,1.6
kos,2014,1.55
kos,2016,1.06
kwt,1998,0.13
kwt,2000,0.18
kwt,2002,0.18
kwt,2004,0.24
kwt,2006,0.21
kwt,2008,0.2
kwt,2010,0.21
kwt,2012,0.2
kwt,2014,0.19
kwt,2016,0.31
lao,1998,0.24
lao,2000,0.32
lao,2002,0.3
lao,2004,0.48
lao,2006,0.73
lao,2008,0.76
lao,2010,0.97
lao,2012,1.18
lao,2014,1.08
lao,2016,0.8
lbn,1998,0.22
lbn,2000,0.31
lbn,2002,0.25
lbn,2004,0.43
lbn,2006,0.62
lbn,2008,0.76
lbn,2010,0.77
lbn,2012,0.94
lbn,2014,0.73
lbn,2016,0.47
lbr,2004,0.77
lbr,2006,0.85
lbr,2008,1.03
lbr,2010,0.96
lbr,2012,1.22
lbr,2014,0.94
lbr,2016,0.83
lby,1998,0.17
lby,2000,0.16
lby,2002,0.08
lby,2004,0.08
lby,2006,0.06
lby,2008,0.12
lby,2010,0.13
lby,2012,0.1
lby,2016,0.11
lie,1998,0.89
lie,2000,0.84
lie,2002,0.93
lie,2004,1.37
lie,2006,1.36
lie,2008,1.52
lie,2010,1.77
lie,2012,2.06
lie,2014,1.79
lka,1991,0.27
lka,1995,0.23
lka,1998,0.3
lka,2000,0.27
lka,2002,0.31
lka,2004,0.41
lka,2006,0.55
lka,2008,0.75
lka,2010,0.66
lka,2012,0.93
lka,2014,0.9
lka,2016,0.65
lso,1998,0.38
lso,2000,0.47
lso,2004,0.68
lso,2006,0.88
lso,2008,0.93
lso,2010,1.07
lso,2012,1.31
lso,2014,1.07
lso,2016,0.73
ltu,1995,0.3
ltu,1998,0.34
ltu,2000,0.55
ltu,2002,0.59
ltu,2004,1.02
ltu,2006,1.09
ltu,2008,1.22
ltu,2010,1.42
ltu,2012,1.7
ltu,2014,1.5
ltu,2016,1.05
lux,1995,0.68
lux,1998,0.61
lux,2000,0.67
lux,2002,0.65
lux,2004,0.98
lux,2006,1.14
lux,2008,1.33
lux,2010,1.36
lux,2012,1.64
lux,2014,1.39
lux,2016,1.03
lva,1995,0.34
lva,1998,0.35
lva,2000,0.58
lva,2002,0.65
lva,2004,0.9
lva,2006,1.15
lva,2008,1.23
lva,2010,1.49
lva,2012,1.77
lva,2014,1.49
lva,2016,1.07
mar,1991,0.45
mar,1992,0.41
mar,1995,0.47
mar,1998,0.47
mar,2000,0.53
mar,2002,0.55
mar,2004,0.7
mar,2006,0.87
mar,2008,0.83
mar,2010,0.88
mar,2012,0.96
mar,2014,1.11
mar,2016,0.86
mco,2008,1.55
mco,2010,1.69
mco,2012,2.04
mco,2014,1.78
mda,2008,1.04
mda,2010,1.08
mda,2012,1.4
mda,2014,1.16
mda,2016,0.69
mdg,1991,0.25
mdg,1992,0.31
mdg,1995,0.32
mdg,1998,0.33
mdg,2000,0.45
mdg,2002,0.65
mdg,2004,0.79
mdg,2006,1
mdg,2008,1.43
mdg,2010,1.26
mdg,2012,1.22
mdg,2014,1.09
mdg,2016,0.93
mdv,2010,0.83
mdv,2012,1.09
mdv,2014,0.98
mex,1992,0.28
mex,1995,0.25
mex,1998,0.28
mex,2000,0.45
mex,2002,0.47
mex,2004,0.45
mex,2006,0.52
mex,2008,0.54
mex,2010,0.72
mex,2012,0.85
mex,2014,1.02
mex,2016,0.72
mhl,2014,1.47
mkd,1995,0.59
mkd,1998,0.46
mkd,2000,0.56
mkd,2002,0.63
mkd,2004,0.92
mkd,2006,1.09
mkd,2008,1.12
mkd,2010,1.27
mkd,2012,1.55
mkd,2014,1.27
mkd,2016,0.88
mli,1991,0.74
mli,1992,0.74
mli,1995,0.57
mli,1998,0.48
mli,2000,0.43
mli,2002,0.55
mli,2004,0.9
mli,2006,1.04
mli,2008,1.1
mli,2010,1.25
mli,2012,1.25
mli,2014,1.29
mli,2016,0.98
mlt,1998,0.49
mlt,2000,0.44
mlt,2002,0.53
mlt,2004,0.97
mlt,2006,1.26
mlt,2008,1.56
mlt,2010,1.66
mlt,2012,1.75
mlt,2014,1.7
mlt,2016,1.22
mmr,1998,0.12
mmr,2000,0.12
mmr,2002,0.28
mmr,2004,0.1
mmr,2006,0.75
mmr,2008,0.52
mmr,2010,0.8
mmr,2014,0.93
mmr,2016,0.51
mne,1995,0.84
mne,1998,0.43
mne,2000,0.56
mne,2002,0.66
mne,2004,1.06
mne,2006,1.27
mne,2008,1.21
mne,2010,1.49
mne,2012,1.75
mne,2014,1.49
mne,2016,1.02
mng,1998,0.22
mng,2000,0.38
mng,2002,0.37
mng,2004,0.67
mng,2006,0.87
mng,2008,1.42
mng,2010,1.04
mng,2012,1.22
mng,2014,0.96
mng,2016,0.67
moz,1991,0.26
moz,1992,0.21
moz,1995,0.32
moz,1998,0.41
moz,2000,0.54
moz,2002,0.43
moz,2004,0.79
moz,2006,1.06
moz,2008,1.37
moz,2010,0.86
moz,2012,1.23
moz,2014,1.2
moz,2016,0.6
mrt,1991,0.53
mrt,1992,0.43
mrt,1998,0.31
mrt,2000,0.4
mrt,2002,0.39
mrt,2004,0.59
mrt,2006,0.84
mrt,2008,1.06
mrt,2010,0.99
mrt,2012,1.27
mrt,2014,1.35
mrt,2016,1.09
mus,2010,1.23
mus,2012,1.38
mus,2014,1.38
mus,2016,0.85
mwi,1991,0.56
mwi,1992,0.67
mwi,1995,0.55
mwi,1998,0.45
mwi,2000,0.68
mwi,2002,0.62
mwi,2004,0.88
mwi,2006,1.12
mwi,2008,1.67
mwi,2010,1.54
mwi,2012,1.9
mwi,2014,1.8
mwi,2016,1.14
mys,1991,0.22
mys,1995,0.26
mys,1998,0.17
mys,2000,0.16
mys,2002,0.19
mys,2004,0.22
mys,2006,0.4
mys,2008,0.53
mys,2010,0.56
mys,2012,0.59
mys,2014,0.65
mys,2016,0.44
nam,1991,0.41
nam,1992,0.38
nam,1998,0.36
nam,2000,0.44
nam,2002,0.43
nam,2004,0.65
nam,2006,0.87
nam,2008,0.88
nam,2010,1.09
nam,2012,1.31
nam,2014,1.12
nam,2016,0.74
ner,1991,0.81
ner,1992,0.6
ner,1995,0.55
ner,1998,0.52
ner,2000,0.48
ner,2002,0.55
ner,2004,0.91
ner,2006,1.11
ner,2008,0.97
ner,2010,1.16
ner,2012,1.12
ner,2014,1.03
ner,2016,0.88
nga,1991,0.04
nga,1992,0.01
nga,1995,0.03
nga,1998,0.1
nga,2000,0.27
nga,2002,0.19
nga,2004,0.45
nga,2006,0.66
nga,2008,1.13
nga,2010,0.77
nga,2012,1.09
nga,2014,0.84
nga,2016,0.64
nic,1992,0.3
nic,1995,0.31
nic,1998,0.35
nic,2000,0.54
nic,2002,0.41
nic,2004,0.64
nic,2006,0.58
nic,2008,0.82
nic,2010,0.99
nic,2012,1.19
nic,2014,1.04
nic,2016,0.75
nld,1995,0.82
nld,1998,0.79
nld,2000,0.78
nld,2002,0.81
nld,2004,1.23
nld,2006,1.32
nld,2008,1.45
nld,2010,1.71
nld,2012,1.95
nld,2014,1.8
nld,2016,1.34
nor,1995,1.09
nor,1998,1.1
nor,2000,1.15
nor,2002,1.18
nor,2004,1.44
nor,2006,1.66
nor,2008,1.63
nor,2010,2.01
nor,2012,2.35
nor,2014,2.11
nor,2016,1.63
npl,1991,0.31
npl,1995,0.22
npl,1998,0.24
npl,2000,0.37
npl,2002,0.34
npl,2004,0.49
npl,2006,0.73
npl,2008,0.82
npl,2010,0.91
npl,2012,1.09
npl,2014,1.04
npl,2016,0.68
nru,2010,1.57
nzl,1995,0.32
nzl,1998,0.39
nzl,2000,0.34
nzl,2002,0.33
nzl,2004,0.41
nzl,2006,0.7
nzl,2008,0.85
nzl,2010,0.97
nzl,2012,1.24
nzl,2014,1.11
nzl,2016,0.79
omn,1998,0.26
omn,2000,0.29
omn,2002,0.26
omn,2004,0.26
omn,2006,0.39
omn,2008,0.38
omn,2010,0.38
omn,2012,0.38
omn,2014,0.38
omn,2016,0.49
pak,1995,0.2
pak,1998,0.19
pak,2000,0.27
pak,2002,0.35
pak,2004,0.41
pak,2006,0.64
pak,2008,0.77
pak,2010,0.92
pak,2012,1.2
pak,2014,1.01
pak,2016,0.7
pan,1992,0.3
pan,1998,0.28
pan,2000,0.41
pan,2002,0.36
pan,2004,0.48
pan,2006,0.6
pan,2008,0.68
pan,2010,0.77
pan,2012,1.02
pan,2014,0.85
pan,2016,0.61
per,1992,0.32
per,1995,0.43
per,1998,0.33
per,2000,0.54
per,2002,0.48
per,2004,0.76
per,2006,0.86
per,2008,0.99
per,2010,1.1
per,2012,1.41
per,2014,1.17
per,2016,0.88
phl,1991,0.25
phl,1995,0.27
phl,1998,0.22
phl,2000,0.28
phl,2002,0.27
phl,2004,0.34
phl,2006,0.67
phl,2008,0.81
phl,2010,0.84
phl,2012,1.01
phl,2014,0.82
phl,2016,0.58
png,1998,0.28
png,2000,0.34
png,2004,0.64
png,2008,0.9
png,2014,1.13
pol,1995,0.42
pol,1998,0.44
pol,2000,0.65
pol,2002,0.68
pol,2004,1.09
pol,2006,1.3
pol,2008,1.4
pol,2010,1.5
pol,2012,1.73
pol,2014,1.39
pol,2016,1.04
prk,1998,0.41
prk,2000,0.35
prk,2002,0.41
prk,2004,0.61
prk,2006,0.79
prk,2008,0.95
prk,2012,1.31
