geo,time,per_allsp_cov_pop_tot
mmr,2017,13.78291
mne,2011,59.59033
mne,2012,55.45137
mne,2013,56.50347
mne,2014,56.44448
mng,2007,93.46709
mng,2009,92.85861
mng,2010,97.07829
mng,2011,99.78701
mng,2012,99.89908
mng,2014,93.69127
mng,2016,93.89875
moz,2008,6.75998
moz,2014,6.31286
mrt,2008,39.39839
mrt,2014,45.21555
mus,2006,40.86761
mus,2012,46.62646
mus,2017,51.52013
mwi,2004,51.2864
mwi,2010,20.37368
mwi,2013,42.45596
mwi,2016,41.52312
mys,2008,84.09286
mys,2012,80.2842
mys,2014,89.46087
mys,2016,76.72621
nam,2003,9.841
nam,2009,16.14501
nam,2015,43.73316
ner,2011,4.14231
ner,2014,21.38065
nga,2010,1.42436
nga,2012,4.58919
nga,2015,6.41371
nga,2018,20.48183
nic,2005,61.50996
nic,2009,45.63551
nic,2014,68.15149
npl,2010,43.48538
pak,2007,9.29363
pak,2009,18.76763
pak,2013,16.79939
pak,2015,16.06387
pak,2018,21.86359
pan,2008,67.05258
pan,2009,64.04046
pan,2010,64.01552
pan,2011,60.5035
pan,2012,63.45372
pan,2013,64.52072
pan,2014,63.38658
pan,2015,73.67881
pan,2016,74.67045
pan,2017,72.83497
pan,2018,75.91105
pan,2019,76.61026
per,2008,52.40147
per,2009,64.11262
per,2010,68.36335
per,2011,66.12012
per,2012,89.521
per,2013,63.02389
per,2014,64.85444
per,2015,65.59796
per,2016,64.94733
per,2017,66.99856
per,2018,66.81237
per,2019,66.86673
phl,2006,7.47253
phl,2013,36.74423
phl,2015,40.62007
plw,2006,37.43025
png,2009,4.24366
pol,2005,79.6583
pol,2006,77.73842
pol,2007,74.84989
pol,2008,71.09046
pol,2009,70.60612
pol,2010,66.44909
pol,2011,65.53344
pol,2012,64.41413
pol,2015,61.08393
pry,2007,37.17754
pry,2008,43.72437
pry,2009,45.37424
pry,2010,54.21751
pry,2011,52.27019
pry,2012,68.17922
pry,2013,63.17726
pry,2014,62.23301
pry,2015,66.83054
pry,2016,66.65952
pry,2017,68.0195
pry,2018,68.35523
pry,2019,69.08778
pse,2007,11.48965
pse,2009,10.71726
pse,2016,24.38476
rou,2008,82.79311
rou,2011,84.16328
rou,2012,83.68855
rou,2016,81.436
rus,2007,58.74848
rus,2014,78.21587
rus,2015,77.09177
rus,2016,77.87514
rus,2017,77.52106
rwa,2005,34.45841
rwa,2010,27.89751
rwa,2013,28.39677
sdn,2009,7.44816
sen,2011,16.78662
slb,2005,1.58338
sle,2011,30.15577
sle,2018,17.02349
slv,2007,34.91329
slv,2008,39.66797
slv,2009,48.20007
slv,2010,62.33653
slv,2011,58.05177
slv,2012,60.1891
slv,2014,58.0929
slv,2015,89.11106
slv,2016,89.4105
slv,2017,84.59021
slv,2018,82.78573
slv,2019,85.49597
srb,2007,62.03984
srb,2010,65.05752
srb,2013,63.17963
srb,2015,61.03679
ssd,2009,6.24151
svk,2009,88.61911
swz,2000,44.35985
swz,2009,51.64929
swz,2016,81.20111
syr,2003,8.1938
tcd,2011,2.97437
tgo,2011,3.00958
tha,2006,53.98794
tha,2009,70.50223
tha,2011,68.85829
tha,2013,65.39729
tha,2017,70.4811
tha,2018,71.88101
tjk,2011,39.28873
tls,2007,26.26865
tls,2011,35.32841
ton,2009,1.28827
tun,2010,14.42593
tur,2004,51.70308
tur,2005,53.04613
tur,2006,55.20676
tur,2007,58.69289
tur,2008,63.7914
tur,2009,48.12238
tur,2010,48.57276
tur,2011,49.06954
tur,2012,47.93769
tur,2013,48.8656
tur,2014,50.34734
tur,2015,50.18525
tur,2016,50.36213
tur,2018,49.66405
tur,2019,49.34112
tza,2008,8.779
tza,2010,20.26779
tza,2012,24.60841
tza,2014,12.88379
uga,2005,10.59211
uga,2009,7.1978
uga,2012,60.71393
uga,2016,1.18878
ukr,2006,70.05715
ukr,2011,72.04236
ukr,2012,71.38671
ukr,2013,71.71274
ukr,2015,70.30831
ukr,2016,67.60233
ukr,2018,69.30788
ury,2008,71.87366
ury,2009,77.03706
ury,2010,79.73853
ury,2011,78.45666
ury,2012,79.90516
ury,2015,77.87496
ury,2016,77.6231
ury,2017,76.37468
ury,2018,75.96149
ury,2019,76.46375
uzb,2018,25.16109
ven,2006,14.52341
vnm,2006,37.4487
vnm,2010,55.05991
vnm,2012,40.44655
vnm,2014,34.85793
wsm,2008,33.63807
yem,2005,21.26489
zaf,2005,58.53754
zaf,2010,62.76358
zaf,2014,79.86891
zmb,2010,1.77149
zmb,2015,2.3145
zwe,2007,20.90473
zwe,2011,29.55186
zwe,2017,15.31452
zwe,2019,36.74277
