geo,time,sl_tlf_intm_ma_zs
blz,2016,83.51
blz,2017,81.59
blz,2019,83.54
bol,1999,74.89
bol,2000,73.72
bol,2001,73.79
bol,2002,74.03
bol,2004,68.64
bol,2005,76.35
bol,2006,76.56
bol,2007,76.66
bol,2008,77.61
bol,2009,79.09
bol,2011,76.81
bol,2012,78.87
bol,2013,76.34
bol,2014,78.09
bol,2015,78.42
bol,2016,74.42
bol,2017,74.32
bol,2018,76.77
bol,2019,80.24
bol,2020,80.06
bra,1995,88.46
bra,1996,87.86
bra,1997,87.97
bra,1998,88.44
bra,1999,87.77
bra,2001,87.43
bra,2002,87.7
bra,2003,87.23
bra,2004,87.78
bra,2005,88.3
bra,2006,88.11
bra,2007,87.76
bra,2008,87.83
bra,2009,88.13
bra,2011,86.65
bra,2012,88.58
bra,2013,88.9
bra,2014,89.19
bra,2015,87.38
bra,2016,85.64
bra,2017,85.21
bra,2018,85.04
bra,2019,85.26
bra,2020,80.87
brb,2015,79.91
brb,2016,81.3
brb,2017,82.44
brb,2018,81.57
brb,2019,80.94
brn,2014,73.29
brn,2017,71.33
brn,2018,73.39
brn,2019,74.51
btn,2009,54.58
btn,2010,59.59
btn,2014,50.1
btn,2015,56.17
bwa,2006,100
bwa,2009,65.43
bwa,2010,69.05
bwa,2019,66.19
bwa,2020,68.35
can,1990,82.56
can,1991,81.37
can,1992,79.95
can,1993,79.25
can,1994,78.7
can,1995,78.33
can,1996,78.48
can,1997,78.33
can,1998,77.46
can,1999,77.7
can,2000,77.13
can,2001,77.03
can,2002,77.67
can,2003,77.14
can,2004,77.21
can,2005,76.45
can,2006,75.39
can,2007,75.73
can,2008,75.42
can,2009,74.23
can,2010,73.58
can,2011,73.55
can,2012,72.71
can,2013,71.63
can,2014,71.33
can,2015,70.51
can,2016,70.32
can,2017,70.08
can,2018,68.38
can,2019,69.09
can,2020,67.26
can,2021,67.49
che,1996,85.22
che,1997,84.74
che,1998,79.86
che,1999,79.36
che,2000,79.12
che,2001,78
che,2002,77.2
che,2003,76.94
che,2004,76.18
che,2005,75.1
che,2006,75.46
che,2007,75.75
che,2008,74.81
che,2009,74.37
che,2010,73.74
che,2011,73.98
che,2012,73.63
che,2013,72.42
che,2014,72.35
che,2015,72.69
che,2016,72.64
che,2017,72.5
che,2018,71.89
che,2019,70.5
che,2020,70.79
chl,1998,78.02
chl,2000,75.97
chl,2003,77.44
chl,2006,77.2
chl,2009,75.39
chl,2010,79.23
chl,2011,79.6
chl,2012,78.44
chl,2013,78.35
chl,2014,78
chl,2015,78.11
chl,2016,77.92
chl,2017,77.67
chl,2018,76.39
chl,2019,75.3
chl,2020,70.83
civ,2012,50.01
civ,2013,69.32
civ,2016,59.97
civ,2017,51.49
cmr,2007,75.7
cmr,2014,63.03
cod,2005,82.69
cod,2012,65.36
cog,2005,80.04
cog,2009,41.63
col,2002,85.64
col,2003,85.42
col,2004,84.98
col,2005,87.45
col,2007,80.67
col,2008,82.07
col,2009,83.81
col,2010,84.96
col,2011,85.87
col,2012,86.15
col,2013,85.61
col,2014,86.3
col,2015,87.02
col,2016,86.5
col,2017,86.12
col,2018,85.78
col,2019,85.52
com,2004,50.06
com,2014,55.04
cpv,2015,64.4
cpv,2017,61.8
cpv,2018,64.69
cpv,2019,63.64
cri,2001,84.01
cri,2002,81.81
cri,2003,82.53
cri,2004,82.29
cri,2005,83.3
cri,2006,81.56
cri,2007,82.7
cri,2008,74.82
cri,2009,67.49
cri,2010,79.66
cri,2011,78.32
cri,2012,80.84
cri,2013,79.07
cri,2014,79.9
cri,2015,76.58
cri,2016,74.85
cri,2017,76.95
cri,2018,76.9
cri,2019,78.39
cri,2020,76.2
cub,2009,81.14
cub,2010,80.44
cym,2011,83.96
cym,2012,87.27
cym,2014,86.65
cym,2015,87.08
cyp,2000,81.25
cyp,2001,80.8
cyp,2002,80.57
cyp,2003,81.07
cyp,2004,81.59
cyp,2005,82.17
cyp,2006,81.38
cyp,2007,81.25
cyp,2008,81.28
cyp,2009,79.49
cyp,2010,78.35
cyp,2011,78.24
cyp,2012,78.19
cyp,2013,77.92
cyp,2014,76.21
cyp,2015,73.81
cyp,2016,71.85
cyp,2017,73.01
cyp,2018,73.03
cyp,2019,73.33
cyp,2020,73.47
cze,1998,77.39
cze,1999,76.96
cze,2000,76.96
cze,2001,76.75
cze,2002,76.29
cze,2003,75.31
cze,2004,74.82
cze,2005,74.99
cze,2006,74.46
cze,2007,73.98
cze,2008,73.72
cze,2009,73.28
cze,2010,72.37
cze,2011,71.46
cze,2012,71.55
cze,2013,71.35
cze,2014,71.14
cze,2015,70.84
cze,2016,71.06
cze,2017,71.07
cze,2018,71.23
cze,2019,71.05
cze,2020,70.3
deu,1992,76.34
deu,1993,74.89
deu,1994,75.17
deu,1995,74.27
deu,1996,74.72
deu,1997,74.68
deu,1999,70.71
deu,2000,69.94
deu,2001,69.12
deu,2002,68.81
deu,2003,68.17
deu,2004,67.53
deu,2005,68.5
deu,2006,68.49
deu,2007,68.58
deu,2008,68.45
deu,2009,68.09
deu,2010,67.86
deu,2011,68.15
deu,2012,68.07
deu,2013,67.98
deu,2014,67.98
deu,2015,67.55
deu,2016,68.51
deu,2017,68.46
deu,2018,68.3
deu,2019,68.61
deu,2020,67.24
dji,2017,50.54
dnk,1992,85.09
dnk,1993,83.11
dnk,1994,80.8
dnk,1995,81.14
dnk,1996,79.65
dnk,1997,84.92
dnk,1998,79.27
dnk,1999,79.54
dnk,2000,78.47
dnk,2001,76.81
dnk,2002,76.73
dnk,2003,76.51
dnk,2004,77.13
dnk,2005,75.12
dnk,2006,75.18
dnk,2007,76.18
dnk,2008,74.07
dnk,2009,73.11
dnk,2010,72.32
dnk,2011,71.91
dnk,2012,70.83
dnk,2013,69.6
dnk,2014,69.3
dnk,2015,69.94
dnk,2016,68.85
dnk,2017,68.31
dnk,2018,69.19
dnk,2019,69.83
dnk,2020,69.17
dom,2000,82.67
dom,2001,81.45
dom,2002,80.14
dom,2003,79.75
dom,2004,77.72
dom,2005,78.34
dom,2006,78.6
dom,2007,78.65
dom,2008,78.94
dom,2009,76.53
dom,2010,74.53
dom,2011,76.23
dom,2012,79.21
dom,2013,79.61
dom,2014,77.77
dom,2015,82.95
dom,2016,83.98
dom,2017,83.46
dom,2018,84.84
dom,2019,85.63
dom,2020,80.1
dza,2017,64.55
ecu,2000,72.18
ecu,2001,77.71
ecu,2003,71.18
ecu,2004,71.81
ecu,2005,66.43
ecu,2006,66.78
ecu,2007,82.96
ecu,2008,83.08
ecu,2009,81.94
ecu,2010,80.14
ecu,2011,80.92
ecu,2012,81.3
ecu,2013,80.65
ecu,2014,82.74
ecu,2015,84.17
ecu,2016,84.39
ecu,2017,85.27
ecu,2018,84.09
ecu,2019,83.31
egy,2008,76.36
egy,2009,75.75
egy,2010,80.15
egy,2011,81.17
egy,2012,81.69
egy,2013,81.49
egy,2014,79.91
egy,2015,75.56
egy,2016,74.2
egy,2017,72.27
egy,2018,72.57
egy,2019,83.61
egy,2020,70.07
esp,1992,62.35
esp,1993,64.63
esp,1994,63.67
esp,1995,63.43
esp,1996,63.78
esp,1997,64.6
esp,1998,64.41
esp,1999,67.11
esp,2000,69.47
esp,2001,70.47
esp,2002,71.79
esp,2003,73.92
esp,2004,74.12
esp,2005,76.58
esp,2006,77.65
esp,2007,77.67
esp,2008,78.33
esp,2009,77.18
esp,2010,76.45
esp,2011,75.53
esp,2012,74.94
esp,2013,73.5
esp,2014,73.17
esp,2015,73.04
esp,2016,71.35
esp,2017,70.64
esp,2018,70.16
esp,2019,69.79
esp,2020,67.21
est,1997,80.95
est,1998,82.05
est,1999,79.38
est,2000,79.93
est,2001,78.51
est,2002,76.47
est,2003,78.3
est,2004,76.96
est,2005,76.03
est,2006,78.9
est,2007,79.63
est,2008,80.67
est,2009,78.93
est,2010,77.57
est,2011,77.99
est,2012,78.29
est,2013,77.39
est,2014,79.07
est,2015,80.23
est,2016,81.09
est,2017,81.26
est,2018,81.68
est,2019,80.97
est,2020,80.66
eth,1999,80.97
eth,2005,74.38
eth,2013,86.13
fin,1995,79.78
fin,1996,78.54
fin,1997,81.38
fin,1998,79.66
fin,1999,82.17
fin,2000,80.61
fin,2001,81.29
fin,2002,80
fin,2003,79.44
fin,2004,78.94
fin,2005,76.88
fin,2006,77.14
fin,2007,76.74
fin,2008,77.51
fin,2009,75.6
fin,2010,74.42
fin,2011,74.49
fin,2012,74.03
fin,2013,72.5
fin,2014,71.48
fin,2015,71.73
fin,2016,70.83
fin,2017,70.81
fin,2018,71.59
fin,2019,70.78
fin,2020,69.68
fji,2005,74.46
fji,2011,77.31
fji,2014,90.4
fji,2016,73.51
fra,1993,79.05
fra,1994,78.27
fra,1995,77.6
fra,1996,77.55
fra,1997,77.57
fra,1998,76.23
fra,1999,75.82
fra,2000,75.32
fra,2001,74.61
fra,2002,74.58
fra,2003,73.52
fra,2004,73.39
fra,2005,72.57
fra,2006,71.98
fra,2007,71.36
fra,2008,71.02
fra,2009,70.32
fra,2010,69.42
fra,2011,68.38
fra,2012,67.91
fra,2013,66.98
fra,2014,66.24
fra,2015,66.04
fra,2016,65.29
fra,2017,64.64
fra,2018,64
fra,2019,62.68
fra,2020,60.65
fsm,2014,81.2
gbr,1992,88.83
gbr,1993,87.98
gbr,1994,86.98
gbr,1995,86.77
gbr,1996,87.14
gbr,1997,86.51
gbr,1999,86.29
gbr,2000,86.19
gbr,2001,85.38
gbr,2002,85.7
gbr,2003,85.22
gbr,2004,84.93
gbr,2005,85.11
gbr,2006,85.36
gbr,2007,85.28
gbr,2008,81.35
gbr,2009,80.11
gbr,2010,79.39
gbr,2011,79.79
gbr,2012,78.98
gbr,2013,78.73
gbr,2014,78.79
gbr,2015,78.71
gbr,2016,78.88
gbr,2017,78.71
gbr,2018,79.45
gbr,2019,79.58
geo,2009,85.68
geo,2010,86.52
geo,2011,81.93
geo,2012,83.77
geo,2013,83.52
geo,2014,84.03
geo,2015,83.34
geo,2016,83.06
geo,2017,77.33
geo,2018,76.96
geo,2019,75
geo,2020,61.93
gha,1991,75.39
gha,2000,75.69
gha,2006,72.9
gha,2010,65.32
gha,2013,74.51
gha,2015,74.38
gha,2017,58.19
gin,2002,45.27
gin,2019,39.64
gmb,2012,74.2
gmb,2018,52.44
gnb,2018,60.32
grc,1992,72.01
grc,1993,72.27
grc,1994,74.32
grc,1995,74.14
grc,1996,73.81
grc,1997,73.42
grc,1998,74.93
grc,1999,75.09
grc,2000,74.56
grc,2001,73.6
grc,2002,73.44
grc,2003,73.59
grc,2004,74.15
grc,2005,73.51
grc,2006,72.25
grc,2007,71.96
grc,2008,71.89
grc,2009,71.77
grc,2010,72.16
grc,2011,71.08
grc,2012,70.16
grc,2013,70.08
grc,2014,70.07
grc,2015,68.77
grc,2016,68.99
grc,2017,69.38
grc,2018,69.41
grc,2019,68.92
grc,2020,67.84
gtm,2003,90.96
gtm,2004,80.64
gtm,2006,92.05
gtm,2010,91.27
gtm,2011,76.59
gtm,2012,86.43
gtm,2013,85.83
gtm,2014,83.41
gtm,2015,88.39
gtm,2016,85.16
gtm,2017,86.65
gtm,2018,86.57
gtm,2019,86.44
guy,2018,79.41
guy,2019,75.51
hkg,2009,73.94
hkg,2010,72.89
hkg,2011,72.22
hkg,2012,72.31
hkg,2013,72.96
hkg,2014,72.81
hkg,2015,72.99
hkg,2016,72.96
hkg,2017,72.41
hkg,2018,72.72
hkg,2019,71.82
hkg,2020,69.49
hnd,2005,79.81
hnd,2006,81.1
hnd,2007,77.7
hnd,2008,79.76
hnd,2009,80.61
hnd,2010,79.1
hnd,2011,78.75
hnd,2012,77.13
hnd,2013,80.33
hnd,2014,81.94
hnd,2015,80.51
hnd,2016,79.9
hnd,2017,85.13
hnd,2018,84.31
hnd,2019,82.57
hrv,2002,68.4
hrv,2003,67.9
hrv,2004,67.17
hrv,2005,66.59
hrv,2006,65.36
hrv,2007,70.15
hrv,2008,69.36
hrv,2009,67.43
hrv,2010,66.35
hrv,2011,66.86
hrv,2012,66.08
hrv,2013,63.9
hrv,2014,66.17
hrv,2015,66.18
hrv,2016,64.66
hrv,2017,65.44
hrv,2018,64.62
hrv,2019,64.51
hrv,2020,64.41
hti,2012,66.57
hun,1997,78.03
hun,1998,74.03
hun,1999,71.3
hun,2000,76.57
hun,2001,75.93
hun,2002,75.51
hun,2003,75.11
hun,2004,74.2
hun,2005,74.05
hun,2006,74.73
hun,2007,73.55
hun,2008,71.8
hun,2009,71.12
hun,2010,70.1
hun,2011,69.96
hun,2012,70.2
hun,2013,70.98
hun,2014,70.92
hun,2015,70.99
hun,2016,71.78
hun,2017,72.18
hun,2018,72.26
hun,2019,72.91
hun,2020,72.42
idn,1990,80.29
idn,1991,80.85
idn,1992,80.91
idn,1993,80.53
idn,1994,83.23
idn,1996,84.73
idn,1997,84.46
idn,1998,84.02
idn,1999,84.49
idn,2000,86.54
idn,2001,81.94
idn,2002,85.89
idn,2003,81.14
idn,2004,82.54
idn,2005,85.06
idn,2006,84.82
idn,2007,82.51
idn,2008,86.28
idn,2009,85.19
idn,2010,85.88
idn,2011,86.65
idn,2012,86.6
idn,2013,86.69
idn,2014,86.52
idn,2015,86.12
idn,2016,85.96
idn,2017,85.51
idn,2018,86.68
idn,2019,85.94
idn,2020,84.95
ind,1994,66.29
ind,2000,69.29
ind,2005,69.99
ind,2010,63.79
ind,2012,62.78
ind,2018,59.4
ind,2019,60.61
ind,2020,62.22
irl,1992,77.59
irl,1993,77.64
irl,1994,78.79
irl,1995,79.26
irl,1996,77.12
irl,1997,77.86
irl,1999,85.36
irl,2000,85.28
irl,2001,85.84
irl,2002,81.95
irl,2003,80.97
irl,2004,81.32
irl,2005,82.48
irl,2006,83.79
irl,2007,86.63
irl,2008,85.47
irl,2009,82.2
irl,2010,78.84
irl,2011,77.42
irl,2012,77.72
irl,2013,76.88
irl,2014,76.26
irl,2015,76.27
irl,2016,76.25
irl,2017,75.23
irl,2018,75.82
irl,2019,75.95
irl,2020,72.49
irn,2005,59.75
irn,2006,58.76
irn,2007,58.48
irn,2008,57.12
irn,2009,59.25
irn,2010,59.49
irn,2011,59.06
irn,2012,60.23
irn,2013,62.97
irn,2014,64.06
irn,2015,64.79
irn,2016,66.29
irn,2018,67.54
irn,2019,67.09
irn,2020,64.83
irq,2007,86.76
irq,2012,81.23
isl,1999,89.92
isl,2000,88.71
isl,2001,89.63
isl,2002,89.83
isl,2003,87.39
isl,2004,89.07
isl,2005,86.86
isl,2006,87.89
isl,2007,88.26
isl,2008,87
isl,2009,85.16
isl,2010,85.1
isl,2011,83.82
isl,2012,83.28
isl,2013,83.77
isl,2014,86.46
isl,2015,86.98
isl,2016,88.02
isl,2017,87.69
isl,2018,86.66
isl,2019,86.16
isl,2020,82.88
isr,2009,63.1
isr,2010,62.78
isr,2011,63.41
isr,2012,77.48
isr,2013,77.17
isr,2014,77.07
isr,2015,77.07
isr,2016,76.37
isr,2017,76.14
isr,2018,72.07
isr,2019,71.34
isr,2020,68.74
ita,1992,75.98
ita,1993,76.91
ita,1994,76.19
ita,1995,75.31
ita,1996,75.76
ita,1997,75.84
ita,1998,75.51
ita,1999,75.1
ita,2000,75.84
ita,2001,75.71
ita,2002,75.48
ita,2003,75.16
ita,2004,76.3
ita,2005,75.16
ita,2006,75.39
ita,2007,75.08
ita,2008,74.88
ita,2009,74.2
ita,2010,73.52
ita,2011,72.62
ita,2012,72.65
ita,2013,71.8
ita,2014,71.79
ita,2015,72.12
ita,2016,72.06
ita,2017,71.59
ita,2018,71.3
ita,2019,70.9
ita,2020,68.93
jam,2008,73.17
jam,2009,70.28
jam,2010,68.23
jam,2011,68.97
jam,2012,68.31
jam,2013,68.21
jam,2014,68.63
jam,2016,70.84
jam,2017,71.08
jam,2018,70.42
jam,2019,72.07
jam,2020,74.31
jor,2017,59.83
jor,2018,58.6
jor,2019,63.1
jor,2020,62.32
jpn,2012,68.4
jpn,2013,67.59
jpn,2015,67.17
jpn,2016,67.07
jpn,2017,67.18
jpn,2018,68.24
jpn,2019,68.27
jpn,2020,68.11
ken,1999,78.33
ken,2006,83.57
ken,2016,74.99
ken,2019,79.94
kgz,2011,84.43
kgz,2012,83.73
kgz,2013,82.23
kgz,2014,80.22
kgz,2015,80.39
kgz,2016,80.3
kgz,2017,79.15
kgz,2018,80.06
khm,2000,67.86
khm,2001,75.41
khm,2007,86.46
khm,2008,87.42
khm,2009,84.8
khm,2010,79.37
khm,2011,74.64
khm,2012,90.07
khm,2013,80.41
khm,2014,95.32
khm,2015,93.06
khm,2016,90.06
khm,2017,93.51
khm,2019,72.96
kir,2015,55.42
kir,2019,46.32
kor,2000,75.87
kor,2001,76.33
kor,2002,77.53
kor,2003,76.11
kor,2004,75.89
kor,2005,75.54
kor,2006,75.24
kor,2007,74.68
kor,2008,73.3
kor,2009,71.86
kor,2010,71.28
kor,2011,70.98
kor,2012,70.97
kor,2013,71.33
kor,2014,72.41
kor,2015,72.14
kor,2016,71.81
kor,2017,72.02
kor,2018,71.8
kor,2019,71.69
kor,2020,70.58
kos,2012,61.49
kos,2013,64.6
kos,2014,65.32
kos,2015,59.17
kos,2016,60.63
kos,2017,67.66
kos,2018,64.45
kos,2019,58.6
kos,2020,53.68
kwt,2016,66.84
lao,2010,95.68
lao,2017,50.42
lbn,2019,63.44
lbr,2010,74.71
lbr,2014,90.18
lbr,2016,92.62
lbr,2017,43.58
lca,2017,85.51
lca,2018,85.78
lca,2019,88.58
lka,2010,72.22
lka,2011,70.05
lka,2012,67.63
lka,2013,70.37
lka,2014,70.44
lka,2015,70.61
lka,2016,72.4
lka,2017,71.63
lka,2018,69.71
lka,2019,69.25
lso,2019,84.3
ltu,1998,81.15
ltu,1999,80.13
ltu,2000,78.5
ltu,2001,80.54
ltu,2002,81.71
ltu,2003,79.98
ltu,2004,76.48
ltu,2005,75.24
ltu,2006,74.18
ltu,2007,73.38
ltu,2008,73.71
ltu,2009,72.84
ltu,2010,71.86
ltu,2011,72.25
ltu,2012,71.92
ltu,2013,71.01
ltu,2014,70.95
ltu,2015,70.08
ltu,2016,70.5
ltu,2017,70.27
ltu,2018,70.39
ltu,2019,69.13
ltu,2020,70.28
lux,1992,75.19
lux,1993,82.44
lux,1994,74.07
lux,1995,72.08
lux,1996,71.99
lux,1997,70.23
lux,1999,69.7
lux,2000,68.11
lux,2001,71.22
lux,2002,71.63
lux,2003,71.63
lux,2004,67.38
lux,2005,67.96
lux,2006,63.65
lux,2007,62.21
lux,2008,66.12
lux,2009,66.07
lux,2010,66
lux,2011,63.21
lux,2012,64
lux,2013,65.2
lux,2014,64.23
lux,2015,63.8
lux,2016,61.75
lux,2017,62.08
lux,2018,62.26
lux,2019,62.33
lux,2020,61.75
lva,1998,78
lva,1999,78.72
lva,2000,76.76
lva,2001,76.18
lva,2002,79.8
lva,2003,78.96
lva,2004,79.11
lva,2005,78.67
lva,2006,80.02
lva,2007,82.04
lva,2008,82.07
lva,2009,78.53
lva,2010,75.38
lva,2011,75.82
lva,2012,75.44
lva,2013,74.36
lva,2014,75.66
lva,2015,76.05
lva,2016,75.39
lva,2017,76.96
lva,2018,77.6
lva,2019,75.6
lva,2020,75.72
mac,2009,80.3
mac,2010,79.83
mac,2011,80.36
mac,2012,80.54
mac,2013,78.17
mac,2014,43.28
mac,2015,79.55
mac,2016,78.5
mar,2011,61.04
mar,2012,60.15
mco,2016,56
mda,2010,54.23
mda,2011,55.77
mda,2012,51.03
mda,2013,50
mda,2014,53.77
mda,2015,54.18
mda,2016,54.6
mda,2017,52.84
mda,2018,54.45
mda,2019,50.81
mda,2020,47.84
mdg,2012,88.26
mdg,2015,78.18
mdv,2009,63.26
mdv,2014,94.23
mdv,2016,90.26
mdv,2019,87.81
mex,2002,71.22
mex,2003,72.26
mex,2004,72.64
mex,2005,79.08
mex,2006,80.89
mex,2007,80.62
mex,2008,79.9
mex,2009,78.82
mex,2010,79.09
mex,2011,79.11
mex,2012,79.89
mex,2013,79.59
mex,2014,79.47
mex,2015,79.1
mex,2016,79.54
mex,2017,79.06
mex,2018,79.19
mex,2019,79.72
mex,2020,74.04
mhl,2019,62.42
mkd,2006,74.27
mkd,2007,74.44
mkd,2008,76.93
mkd,2009,76.94
mkd,2010,76.19
mkd,2011,74.61
mkd,2012,75.5
mkd,2013,75.07
mkd,2014,75
mkd,2015,75.56
mkd,2016,75.24
mkd,2017,75.31
mkd,2018,74.7
mkd,2019,73.15
mkd,2020,71.46
mli,2013,52
mli,2014,67.5
mli,2015,65.88
mli,2016,71.71
mli,2017,69.95
mli,2018,66.9
mlt,2000,77.23
mlt,2001,79.23
mlt,2002,76.02
mlt,2003,81.09
mlt,2004,76.6
mlt,2005,74.18
mlt,2006,73.19
mlt,2007,73.15
mlt,2008,68.37
mlt,2009,68.64
mlt,2010,71.69
mlt,2011,72.03
mlt,2012,71.36
mlt,2013,73.3
mlt,2014,73.63
mlt,2015,72.41
mlt,2016,74.1
mlt,2017,74.92
mlt,2018,75.59
mlt,2019,76.71
mlt,2020,78.4
mmr,2015,77.86
mmr,2017,58.22
mmr,2018,57.11
mmr,2019,74.43
mne,2011,61.79
mne,2012,63.3
mne,2013,62.31
mne,2014,65.92
mne,2015,65.36
mne,2016,65.81
mne,2017,66.44
mne,2018,68.99
mne,2019,69.89
mne,2020,64.8
mng,2008,62.14
mng,2009,63.45
mng,2010,63.55
mng,2011,65.9
mng,2012,62.65
mng,2013,64.91
mng,2014,66.1
mng,2015,66.26
mng,2016,65.74
mng,2017,66.37
mng,2018,68.24
mng,2019,70.17
mng,2020,67.29
moz,2015,69.17
mrt,2012,47.99
mrt,2017,59.45
mus,2001,82.28
mus,2002,81.51
mus,2003,81.61
mus,2004,80.96
mus,2005,79.84
mus,2006,78.88
mus,2007,78.41
mus,2008,77.81
mus,2009,77.01
mus,2010,76.72
mus,2012,75.78
mus,2013,76.68
mus,2014,76.64
mus,2015,75.71
mus,2016,75.3
mus,2017,75.65
mus,2018,74.63
mus,2019,80.69
mus,2020,85.7
mwi,2005,80.46
mwi,2011,78.93
mwi,2013,84.6
mwi,2017,66.16
mwi,2020,61.75
mys,2011,78.46
mys,2012,79.5
mys,2013,80.14
mys,2014,80.07
mys,2015,79.52
mys,2016,79.41
mys,2017,79.99
mys,2018,80.9
mys,2019,81.41
mys,2020,80.28
nam,2010,68.25
nam,2012,57.66
nam,2013,49.67
nam,2014,64.76
nam,2016,81.65
nam,2018,63.91
ncl,2014,75.82
ner,2011,53.93
ner,2014,41.77
ner,2017,40.42
nga,2016,71.86
nga,2019,67.54
nic,2001,70.95
nic,2005,80.32
nic,2012,86.78
nic,2014,82.7
nld,1996,78.37
nld,1997,79.97
nld,1998,76.39
nld,1999,76.14
nld,2000,77.88
nld,2001,79.05
nld,2002,78.66
nld,2003,77.53
nld,2004,75.92
nld,2005,75.87
nld,2006,74.85
nld,2007,75.36
nld,2008,75.83
nld,2009,75.85
nld,2010,74.66
nld,2011,74.09
nld,2012,74.37
nld,2013,73.55
nld,2014,73.59
nld,2015,72.98
nld,2016,72.77
nld,2017,72.58
nld,2018,72.44
nld,2019,72.66
nld,2020,71.6
nld_curacao,2018,59.53
nor,1996,81.34
nor,1997,82.7
nor,1998,82.78
nor,1999,81.68
nor,2000,81.79
nor,2001,81.24
nor,2002,80.8
nor,2003,79.12
nor,2004,78.68
nor,2005,79.13
nor,2006,80.06
nor,2007,79.52
nor,2008,80.58
nor,2009,79.27
nor,2010,77.85
nor,2011,77.04
nor,2012,77.48
nor,2013,77.18
nor,2014,76.12
nor,2015,75.62
nor,2016,74.8
nor,2017,74.22
nor,2018,75.06
nor,2019,75.12
nor,2020,74.39
npl,2008,81.95
npl,2017,53
nru,2013,88.15
nzl,2013,60.35
nzl,2014,77.75
nzl,2015,78.43
nzl,2016,78.2
nzl,2017,78.08
nzl,2018,77.73
nzl,2019,78.59
nzl,2020,78.26
omn,2018,82.27
pak,2006,73.22
pak,2007,73.45
pak,2008,72.34
pak,2009,71.09
pak,2010,70.89
pak,2011,69.91
pak,2013,70.79
pak,2014,70.34
pak,2015,71.38
pak,2018,71.89
pak,2019,71.33
pan,1997,76.55
pan,2003,76.75
pan,2008,79.28
pan,2010,85.74
pan,2011,85.91
pan,2012,86.73
pan,2013,85.51
pan,2014,85.63
pan,2015,85.54
pan,2016,84.67
