geo,time,per_si_allsi_adq_pop_tot
irq,2012,19.63546
jam,2002,1.89125
jam,2010,31.30843
jam,2017,38.03605
jor,2006,36.4881
jor,2010,33.10613
kaz,2007,10.52476
kaz,2010,22.93223
kaz,2014,4.53013
kaz,2015,49.85729
kaz,2017,39.11196
ken,2005,45.45406
ken,2015,5.64915
kgz,2006,29.95598
kgz,2011,34.67935
kgz,2012,43.98012
kgz,2013,44.36949
khm,2008,6.39455
khm,2013,12.53881
kos,2006,17.44374
kos,2011,15.98266
kos,2012,13.99567
kos,2013,17.38377
lao,2007,29.84061
lao,2018,133.02744
lbr,2007,39.87923
lbr,2016,11.80601
lka,2006,36.55011
lka,2009,34.9367
lka,2012,32.09821
lka,2016,34.76023
lso,2017,60.54643
ltu,2008,51.43149
lva,2008,34.2969
lva,2009,47.82282
mda,2010,37.24888
mda,2012,38.69808
mda,2013,38.85174
mda,2018,53.47819
mdv,2004,3.91312
mdv,2009,11.03632
mdv,2016,4.26527
mex,2008,31.50659
mex,2010,35.58918
mex,2012,43.45598
mex,2014,37.15792
mex,2016,30.68067
mex,2018,35.36059
mhl,1999,8.33333
mli,2009,15.51393
mmr,2017,48.19463
mne,2011,55.1191
mne,2012,54.01652
mne,2013,59.01052
mne,2014,53.66434
mng,2007,26.80722
mng,2009,29.19108
mng,2010,22.9692
mng,2011,24.94088
mng,2012,23.39954
mng,2014,29.74551
mng,2016,40.16289
moz,2008,43.09778
moz,2014,26.85412
mrt,2008,34.80438
mus,2006,12.49434
mus,2012,36.43646
mus,2017,33.45862
mwi,2004,14.01502
mwi,2010,14.01717
mwi,2013,8.96043
mwi,2016,22.47796
mys,2008,30.27612
mys,2012,11.24648
mys,2014,30.90992
mys,2016,31.52148
nam,2015,10.42366
ner,2011,16.74399
ner,2014,13.10018
nga,2012,9.79454
nga,2015,29.28755
nga,2018,27.0298
nic,2005,10.71695
nic,2009,24.71895
nic,2014,17.14214
npl,2010,18.24554
pak,2007,25.83005
pak,2009,19.44458
pak,2013,30.42885
pak,2015,32.47232
pak,2018,38.99846
pan,2008,36.1167
pan,2009,35.80384
pan,2010,36.1218
pan,2011,35.3437
pan,2012,34.06273
pan,2013,34.01502
pan,2014,31.47238
pan,2015,27.55561
pan,2016,29.37899
pan,2017,28.7152
pan,2018,27.8089
pan,2019,26.241
per,2008,23.51996
per,2009,24.4497
per,2010,23.85763
per,2011,22.01443
per,2012,20.8061
per,2013,20.04292
per,2014,19.90839
per,2015,21.9401
per,2016,22.25327
per,2017,22.82638
per,2018,22.78098
per,2019,23.27332
phl,2006,18.97236
phl,2013,29.59892
phl,2015,9.75056
plw,2006,27.9797
png,2009,1.4266
pol,2005,71.75395
pol,2006,71.45772
pol,2007,69.74261
pol,2008,68.41161
pol,2009,70.62649
pol,2010,71.55571
pol,2011,72.79593
pol,2012,74.27561
pol,2015,78.67523
pry,2007,35.71896
pry,2008,36.82094
pry,2009,34.11815
pry,2010,35.40174
pry,2011,30.73801
pry,2012,9.42099
pry,2013,31.18775
pry,2014,27.215
pry,2015,30.17349
pry,2016,33.59331
pry,2017,32.56875
pry,2018,34.48551
pry,2019,35.47291
pse,2016,20.81314
rou,2008,61.66185
rou,2011,69.63702
rou,2012,67.69727
rou,2016,79.53267
rus,2014,25.75513
rus,2015,26.79837
rus,2016,26.26097
rus,2017,27.80237
rwa,2005,8.32744
rwa,2010,9.18504
rwa,2013,4.24064
sen,2011,13.30432
slb,2005,14.57007
sle,2018,5.18218
slv,2007,28.67648
slv,2008,30.61294
slv,2009,31.7319
slv,2010,32.286
slv,2011,30.24815
slv,2012,33.65977
slv,2014,30.52119
slv,2015,32.26852
slv,2016,32.05134
slv,2017,30.25431
slv,2018,30.56951
slv,2019,31.18352
srb,2007,48.47638
srb,2010,58.02784
srb,2013,56.47956
srb,2015,57.14636
svk,2009,46.41002
swz,2016,32.09784
syr,2003,811.5479
tcd,2011,26.88623
tgo,2011,28.50449
tha,2006,3.7719
tha,2009,65.69184
tha,2011,81.81837
tha,2013,76.20813
tha,2017,86.51831
tjk,2011,7.99857
tls,2011,32.78175
ton,2009,29.12213
tur,2004,41.87534
tur,2005,43.07302
tur,2006,42.45875
tur,2007,43.4114
tur,2008,41.29567
tur,2009,40.40612
tur,2010,42.57723
tur,2011,41.54811
tur,2012,42.49175
tur,2013,42.21287
tur,2014,42.68751
tur,2015,42.85256
tur,2016,44.74429
tur,2018,45.17042
tur,2019,49.58579
tza,2010,13.49004
tza,2012,19.60646
tza,2014,17.153
uga,2005,23.15584
uga,2009,15.3913
uga,2012,19.051
uga,2016,24.6148
ukr,2006,46.2264
ukr,2011,52.75004
ukr,2012,58.09286
ukr,2013,58.99419
ukr,2015,44.00531
ukr,2016,32.5398
ukr,2018,42.10822
ury,2008,44.18187
ury,2009,44.67736
ury,2010,45.80016
ury,2011,44.58375
ury,2012,44.19281
ury,2015,45.88537
ury,2016,47.07305
ury,2017,47.18878
ury,2018,48.67076
ury,2019,49.99544
uzb,2018,29.32712
vnm,2006,31.08708
vnm,2010,24.93491
vnm,2012,28.27481
vnm,2014,28.93933
wsm,2008,18.65104
yem,2005,13.7422
zaf,2005,38.89954
zaf,2014,44.20641
zmb,2010,34.56531
zmb,2015,3.39923
zwe,2017,29.25915
zwe,2019,15.86226
