geo,time,sh_anm_allw_zs
ben,2003,61.1
ben,2004,60.7
ben,2005,60.1
ben,2006,59.6
ben,2007,59
ben,2008,58.2
ben,2009,57.4
ben,2010,56.7
ben,2011,56
ben,2012,55.5
ben,2013,55.2
ben,2014,55
ben,2015,55
ben,2016,55
ben,2017,55
ben,2018,55.1
ben,2019,55.2
bfa,2000,56.4
bfa,2001,56
bfa,2002,55.8
bfa,2003,55.5
bfa,2004,55.2
bfa,2005,54.9
bfa,2006,54.6
bfa,2007,54.3
bfa,2008,54
bfa,2009,53.7
bfa,2010,53.5
bfa,2011,53.3
bfa,2012,53.3
bfa,2013,53.3
bfa,2014,53.2
bfa,2015,53.1
bfa,2016,53
bfa,2017,52.8
bfa,2018,52.6
bfa,2019,52.5
bgd,2000,35.6
bgd,2001,35.5
bgd,2002,35.5
bgd,2003,35.6
bgd,2004,35.7
bgd,2005,35.8
bgd,2006,35.8
bgd,2007,35.8
bgd,2008,35.8
bgd,2009,35.7
bgd,2010,35.7
bgd,2011,35.7
bgd,2012,35.7
bgd,2013,35.7
bgd,2014,35.8
bgd,2015,35.9
bgd,2016,36
bgd,2017,36.2
bgd,2018,36.4
bgd,2019,36.7
bgr,2000,22.9
bgr,2001,22.8
bgr,2002,23
bgr,2003,23.2
bgr,2004,23.4
bgr,2005,23.5
bgr,2006,23.4
bgr,2007,23.2
bgr,2008,23
bgr,2009,22.8
bgr,2010,22.6
bgr,2011,22.5
bgr,2012,22.5
bgr,2013,22.5
bgr,2014,22.6
bgr,2015,22.8
bgr,2016,23
bgr,2017,23.1
bgr,2018,23.4
bgr,2019,23.6
bhr,2000,43.3
bhr,2001,42.6
bhr,2002,41.8
bhr,2003,41.3
bhr,2004,40.7
bhr,2005,40.1
bhr,2006,39.4
bhr,2007,38.7
bhr,2008,38
bhr,2009,37.4
bhr,2010,36.9
bhr,2011,36.5
bhr,2012,36.3
bhr,2013,36.1
bhr,2014,35.8
bhr,2015,35.7
bhr,2016,35.6
bhr,2017,35.6
bhr,2018,35.5
bhr,2019,35.4
bhs,2000,17.4
bhs,2001,16.8
bhs,2002,16.3
bhs,2003,16
bhs,2004,15.8
bhs,2005,15.5
bhs,2006,15.3
bhs,2007,14.9
bhs,2008,14.6
bhs,2009,14.2
bhs,2010,13.9
bhs,2011,13.6
bhs,2012,13.3
bhs,2013,13.3
bhs,2014,13.3
bhs,2015,13.4
bhs,2016,13.6
bhs,2017,13.7
bhs,2018,14.1
bhs,2019,14.5
bih,2000,25.3
bih,2001,25
bih,2002,24.7
bih,2003,24.6
bih,2004,24.5
bih,2005,24.4
bih,2006,24.3
bih,2007,24.2
bih,2008,24.1
bih,2009,24
bih,2010,23.9
bih,2011,23.9
bih,2012,23.8
bih,2013,23.8
bih,2014,23.8
bih,2015,23.8
bih,2016,23.8
bih,2017,23.9
bih,2018,24.1
bih,2019,24.4
blr,2000,21.9
blr,2001,21.8
blr,2002,21.7
blr,2003,21.6
blr,2004,21.4
blr,2005,21
blr,2006,20.7
blr,2007,20.3
blr,2008,19.8
blr,2009,19.4
blr,2010,19.1
blr,2011,19
blr,2012,19.1
blr,2013,19.1
blr,2014,19.3
blr,2015,19.5
blr,2016,19.8
blr,2017,20.1
blr,2018,20.3
blr,2019,20.6
blz,2000,27.2
blz,2001,26.6
blz,2002,26
blz,2003,25.5
blz,2004,25
blz,2005,24.5
blz,2006,24.1
blz,2007,23.6
blz,2008,23.1
blz,2009,22.5
blz,2010,21.9
blz,2011,21.5
blz,2012,21.2
blz,2013,20.9
blz,2014,20.8
blz,2015,20.6
blz,2016,20.5
blz,2017,20.5
blz,2018,20.5
blz,2019,20.5
bol,2000,33.1
bol,2001,33.2
bol,2002,33.3
bol,2003,33.3
bol,2004,33
bol,2005,32.6
bol,2006,32.3
bol,2007,31.7
bol,2008,31.2
bol,2009,30.6
bol,2010,30
bol,2011,29.4
bol,2012,28.6
bol,2013,27.9
bol,2014,27.5
bol,2015,26.7
bol,2016,25.7
bol,2017,25.1
bol,2018,24.6
bol,2019,24.4
bra,2000,26.9
bra,2001,26.3
bra,2002,25.8
bra,2003,25.4
bra,2004,24.9
bra,2005,24.2
bra,2006,23.6
bra,2007,22.8
bra,2008,22
bra,2009,20.9
bra,2010,19.9
bra,2011,19.1
bra,2012,18.3
bra,2013,17.7
bra,2014,17.2
bra,2015,16.8
bra,2016,16.5
bra,2017,16.3
bra,2018,16.2
bra,2019,16.1
brb,2000,20.6
brb,2001,20.4
brb,2002,20.1
brb,2003,19.9
brb,2004,19.4
brb,2005,19.1
brb,2006,18.7
brb,2007,18.3
brb,2008,17.9
brb,2009,17.6
brb,2010,17.3
brb,2011,17.2
brb,2012,16.9
brb,2013,16.8
brb,2014,16.7
brb,2015,16.7
brb,2016,16.7
brb,2017,16.7
brb,2018,16.8
brb,2019,17
brn,2000,17.1
brn,2001,16.6
brn,2002,16.3
brn,2003,16
brn,2004,15.7
brn,2005,15.5
brn,2006,15.5
brn,2007,15.4
brn,2008,15.2
brn,2009,15
brn,2010,14.9
brn,2011,14.8
brn,2012,14.8
brn,2013,14.8
brn,2014,14.9
brn,2015,15.1
brn,2016,15.4
brn,2017,15.7
brn,2018,16.2
brn,2019,16.7
btn,2000,45.2
btn,2001,44.7
btn,2002,44.3
btn,2003,43.9
btn,2004,43.5
btn,2005,43.2
btn,2006,42.8
btn,2007,42.3
btn,2008,41.8
btn,2009,41.3
btn,2010,40.7
btn,2011,40.3
btn,2012,39.8
btn,2013,39.4
btn,2014,39.1
btn,2015,38.8
btn,2016,38.7
btn,2017,38.6
btn,2018,38.6
btn,2019,38.6
bwa,2000,36.4
bwa,2001,36
bwa,2002,35.5
bwa,2003,35.1
bwa,2004,34.7
bwa,2005,34.2
bwa,2006,33.7
bwa,2007,33.1
bwa,2008,32.5
bwa,2009,32.1
bwa,2010,31.7
bwa,2011,31.4
bwa,2012,31.3
bwa,2013,31.3
bwa,2014,31.4
bwa,2015,31.6
bwa,2016,31.8
bwa,2017,32.1
bwa,2018,32.3
bwa,2019,32.5
caf,2000,50.9
caf,2001,50.7
caf,2002,50.5
caf,2003,50.3
caf,2004,50.2
caf,2005,50.1
caf,2006,49.9
caf,2007,49.5
caf,2008,49.1
caf,2009,48.7
caf,2010,48.5
caf,2011,48.1
caf,2012,47.9
caf,2013,47.8
caf,2014,47.8
caf,2015,47.7
caf,2016,47.5
caf,2017,47.2
caf,2018,47
caf,2019,46.8
can,2000,9.3
can,2001,9
can,2002,8.9
can,2003,8.8
can,2004,8.8
can,2005,8.7
can,2006,8.7
can,2007,8.7
can,2008,8.7
can,2009,8.7
can,2010,8.7
can,2011,8.8
can,2012,8.8
can,2013,9
can,2014,9.1
can,2015,9.3
can,2016,9.5
can,2017,9.7
can,2018,10
can,2019,10.4
che,2000,9.6
che,2001,9.5
che,2002,9.5
che,2003,9.4
che,2004,9.4
che,2005,9.4
che,2006,9.4
che,2007,9.4
che,2008,9.3
che,2009,9.4
che,2010,9.4
che,2011,9.5
che,2012,9.6
che,2013,9.7
che,2014,9.9
che,2015,10.1
che,2016,10.4
che,2017,10.7
che,2018,11
che,2019,11.3
chl,2000,9.2
chl,2001,9
chl,2002,8.8
chl,2003,8.6
chl,2004,8.4
chl,2005,8.3
chl,2006,8.2
chl,2007,8.1
chl,2008,8.1
chl,2009,8
chl,2010,7.9
chl,2011,7.9
chl,2012,7.9
chl,2013,7.9
chl,2014,8
chl,2015,8
chl,2016,8.1
chl,2017,8.3
chl,2018,8.5
chl,2019,8.7
chn,2000,22.1
chn,2001,21.1
chn,2002,20.3
chn,2003,19.6
chn,2004,19
chn,2005,18.3
chn,2006,17.6
chn,2007,16.9
chn,2008,16.4
chn,2009,15.8
chn,2010,15.3
chn,2011,15
chn,2012,14.8
chn,2013,14.8
chn,2014,14.8
chn,2015,14.9
chn,2016,15.1
chn,2017,15.2
chn,2018,15.3
chn,2019,15.5
civ,2000,54.1
civ,2001,54
civ,2002,53.8
civ,2003,53.7
civ,2004,53.6
civ,2005,53.5
civ,2006,53.3
civ,2007,53.1
civ,2008,52.9
civ,2009,52.7
civ,2010,52.5
civ,2011,52.3
civ,2012,52.2
civ,2013,52.1
civ,2014,51.9
civ,2015,51.7
civ,2016,51.5
civ,2017,51.3
civ,2018,51.1
civ,2019,50.9
cmr,2000,42.3
cmr,2001,42.4
cmr,2002,42.5
cmr,2003,42.5
cmr,2004,42.5
cmr,2005,42.5
cmr,2006,42.3
cmr,2007,42.1
cmr,2008,41.9
cmr,2009,41.7
cmr,2010,41.4
cmr,2011,41.3
cmr,2012,41.2
cmr,2013,41.1
cmr,2014,41
cmr,2015,40.9
cmr,2016,40.8
cmr,2017,40.6
cmr,2018,40.6
cmr,2019,40.6
cod,2000,52.7
cod,2001,52.5
cod,2002,52.4
cod,2003,52.2
cod,2004,51.9
cod,2005,51.5
cod,2006,51
cod,2007,50.5
cod,2008,49.8
cod,2009,48.9
cod,2010,48.1
cod,2011,47.2
cod,2012,46.4
cod,2013,45.5
cod,2014,44.8
cod,2015,44.1
cod,2016,43.5
cod,2017,43
cod,2018,42.6
cod,2019,42.4
cog,2000,57.1
cog,2001,57.1
cog,2002,57.2
cog,2003,57.2
cog,2004,57.1
cog,2005,56.9
cog,2006,56.6
cog,2007,56.2
cog,2008,55.6
cog,2009,55.1
cog,2010,54.4
cog,2011,53.8
cog,2012,53.1
cog,2013,52.4
cog,2014,51.7
cog,2015,51.1
cog,2016,50.4
cog,2017,49.8
cog,2018,49.2
cog,2019,48.8
col,2000,30.3
col,2001,29.8
col,2002,29.3
col,2003,28.8
col,2004,28.2
col,2005,27.5
col,2006,26.8
col,2007,25.9
col,2008,25
col,2009,24.1
col,2010,23.3
col,2011,22.6
col,2012,22.1
col,2013,21.6
col,2014,21.3
col,2015,21.1
col,2016,21
col,2017,20.9
col,2018,21
col,2019,21.2
com,2000,38.4
com,2001,37.8
com,2002,37.3
com,2003,36.8
com,2004,36.3
com,2005,35.8
com,2006,35.1
com,2007,34.6
com,2008,34.1
com,2009,33.6
com,2010,33.2
com,2011,32.9
com,2012,32.8
com,2013,32.7
com,2014,32.8
com,2015,33
com,2016,33.1
com,2017,33.3
com,2018,33.5
com,2019,33.8
cpv,2000,32.4
cpv,2001,31.7
cpv,2002,31.2
cpv,2003,30.7
cpv,2004,30.3
cpv,2005,29.8
cpv,2006,29.4
cpv,2007,28.9
cpv,2008,28.5
cpv,2009,28
cpv,2010,27.6
cpv,2011,27.2
cpv,2012,26.9
cpv,2013,26.5
cpv,2014,26.2
cpv,2015,25.8
cpv,2016,25.4
cpv,2017,25
cpv,2018,24.6
cpv,2019,24.3
cri,2000,16.1
cri,2001,15.7
cri,2002,15.2
cri,2003,14.9
cri,2004,14.5
cri,2005,14.1
cri,2006,13.7
cri,2007,13.3
cri,2008,13
cri,2009,12.6
cri,2010,12.4
cri,2011,12.3
cri,2012,12.3
cri,2013,12.3
cri,2014,12.4
cri,2015,12.6
cri,2016,12.8
cri,2017,13
cri,2018,13.3
cri,2019,13.7
cub,2000,28.5
cub,2001,27.8
cub,2002,27.3
cub,2003,26.7
cub,2004,26
cub,2005,25.1
cub,2006,24.2
cub,2007,23.3
cub,2008,22.5
cub,2009,21.7
cub,2010,21
cub,2011,20.5
cub,2012,20.2
cub,2013,19.9
cub,2014,19.7
cub,2015,19.5
cub,2016,19.3
cub,2017,19.3
cub,2018,19.2
cub,2019,19.3
cyp,2000,12.4
cyp,2001,12.2
cyp,2002,12.1
cyp,2003,12
cyp,2004,12
cyp,2005,12
cyp,2006,11.9
cyp,2007,11.9
cyp,2008,11.8
cyp,2009,11.8
cyp,2010,11.8
cyp,2011,11.9
cyp,2012,12
cyp,2013,12.1
cyp,2014,12.2
cyp,2015,12.4
cyp,2016,12.7
cyp,2017,12.9
cyp,2018,13.2
cyp,2019,13.6
cze,2000,19.9
cze,2001,19.7
cze,2002,19.6
cze,2003,19.5
cze,2004,19.4
cze,2005,19.3
cze,2006,19.3
cze,2007,19.2
cze,2008,19.3
cze,2009,19.5
cze,2010,19.6
cze,2011,19.8
cze,2012,20
cze,2013,20.2
cze,2014,20.4
cze,2015,20.5
cze,2016,20.6
cze,2017,20.8
cze,2018,20.9
cze,2019,21.1
deu,2000,9.9
deu,2001,9.7
deu,2002,9.7
deu,2003,9.6
deu,2004,9.5
deu,2005,9.5
deu,2006,9.5
deu,2007,9.4
deu,2008,9.4
deu,2009,9.4
deu,2010,9.4
deu,2011,9.5
deu,2012,9.6
deu,2013,9.7
deu,2014,10
deu,2015,10.2
deu,2016,10.5
deu,2017,10.9
deu,2018,11.3
deu,2019,11.7
dji,2000,37.2
dji,2001,36.6
dji,2002,35.8
dji,2003,35
dji,2004,34.2
dji,2005,33.3
dji,2006,32.7
dji,2007,32.2
dji,2008,31.7
dji,2009,31.3
dji,2010,31
dji,2011,30.9
dji,2012,31
dji,2013,31
dji,2014,31.2
dji,2015,31.3
dji,2016,31.5
dji,2017,31.8
dji,2018,32
dji,2019,32.3
dma,2000,25.8
dma,2001,24.8
dma,2002,23.9
dma,2003,23.1
dma,2004,22.6
dma,2005,22
dma,2006,21.7
dma,2007,21.3
dma,2008,21.1
dma,2009,20.8
dma,2010,20.6
dma,2011,20.3
dma,2012,20.1
dma,2013,19.9
dma,2014,19.9
dma,2015,19.9
dma,2016,20
dma,2017,20.1
dma,2018,20.4
dma,2019,20.8
dnk,2000,12.2
dnk,2001,12.2
dnk,2002,12.1
dnk,2003,11.9
dnk,2004,11.7
dnk,2005,11.6
dnk,2006,11.5
dnk,2007,11.4
dnk,2008,11.3
dnk,2009,11.3
dnk,2010,11.2
dnk,2011,11.4
dnk,2012,11.5
dnk,2013,11.5
dnk,2014,11.5
dnk,2015,11.6
dnk,2016,11.8
dnk,2017,12
dnk,2018,12.1
dnk,2019,12.2
dom,2000,36.8
dom,2001,36.2
dom,2002,35.5
dom,2003,34.7
dom,2004,33.9
dom,2005,33
dom,2006,32
dom,2007,30.9
dom,2008,30
dom,2009,29.4
dom,2010,28.9
dom,2011,28.5
dom,2012,28
dom,2013,27.6
dom,2014,27.5
dom,2015,27.3
dom,2016,26.9
dom,2017,26.6
dom,2018,26.5
dom,2019,26.4
dza,2000,37.6
dza,2001,37
dza,2002,36.5
dza,2003,36
dza,2004,35.6
dza,2005,35.2
dza,2006,34.8
dza,2007,34.4
dza,2008,34
dza,2009,33.7
dza,2010,33.3
dza,2011,33.1
dza,2012,32.9
dza,2013,32.8
dza,2014,32.7
dza,2015,32.8
dza,2016,32.9
dza,2017,33
dza,2018,33.1
dza,2019,33.3
ecu,2000,25.1
ecu,2001,24.3
ecu,2002,23.4
ecu,2003,22.7
ecu,2004,22
ecu,2005,21.4
ecu,2006,20.7
ecu,2007,20
ecu,2008,19.3
ecu,2009,18.8
ecu,2010,18.3
ecu,2011,17.7
ecu,2012,17.3
ecu,2013,17
ecu,2014,17
ecu,2015,17
ecu,2016,16.9
ecu,2017,17
ecu,2018,17.1
ecu,2019,17.2
egy,2000,35.5
egy,2001,35.3
egy,2002,35.2
egy,2003,35.1
egy,2004,34.8
egy,2005,34.5
egy,2006,34.1
egy,2007,33.7
egy,2008,33.2
egy,2009,32.5
egy,2010,31.9
egy,2011,31.4
egy,2012,31
egy,2013,30.7
egy,2014,30.3
egy,2015,29.7
egy,2016,29.2
egy,2017,28.8
egy,2018,28.5
egy,2019,28.3
eri,2000,41.2
eri,2001,40.7
eri,2002,40.3
eri,2003,40
eri,2004,39.6
eri,2005,39.1
eri,2006,38.6
eri,2007,38.1
eri,2008,37.6
eri,2009,37.1
eri,2010,36.7
eri,2011,36.4
eri,2012,36.2
eri,2013,36.2
eri,2014,36.2
eri,2015,36.3
eri,2016,36.5
eri,2017,36.6
eri,2018,36.8
eri,2019,37
esp,2000,11.5
esp,2001,11.3
esp,2002,11.2
esp,2003,11.2
esp,2004,11.2
esp,2005,11.3
esp,2006,11.4
esp,2007,11.5
esp,2008,11.6
esp,2009,11.7
esp,2010,11.8
esp,2011,11.9
esp,2012,12
esp,2013,12.1
esp,2014,12.2
esp,2015,12.4
esp,2016,12.6
esp,2017,12.8
esp,2018,13.1
esp,2019,13.4
est,2000,21.7
est,2001,21.4
est,2002,21.3
est,2003,21.2
est,2004,21
est,2005,20.9
est,2006,20.9
est,2007,20.7
est,2008,20.5
est,2009,20.5
est,2010,20.5
est,2011,20.7
est,2012,20.7
est,2013,20.8
est,2014,21
est,2015,21.2
est,2016,21.2
est,2017,21.3
est,2018,21.5
est,2019,21.7
eth,2000,33
eth,2001,32.2
eth,2002,31.2
eth,2003,30.4
eth,2004,29.4
eth,2005,28.3
eth,2006,27.3
eth,2007,26.1
eth,2008,25
eth,2009,24
eth,2010,23.2
eth,2011,22.7
eth,2012,22.4
eth,2013,22.2
eth,2014,22.3
eth,2015,22.5
eth,2016,22.7
eth,2017,23
eth,2018,23.4
eth,2019,23.9
fin,2000,10.5
fin,2001,10.3
fin,2002,10.2
fin,2003,10.1
fin,2004,9.9
fin,2005,9.9
fin,2006,9.8
fin,2007,9.7
fin,2008,9.6
fin,2009,9.6
fin,2010,9.6
fin,2011,9.6
fin,2012,9.7
fin,2013,9.7
fin,2014,9.9
fin,2015,10
fin,2016,10.2
fin,2017,10.4
fin,2018,10.6
fin,2019,10.9
fji,2000,34.8
fji,2001,34.3
fji,2002,33.9
fji,2003,33.5
fji,2004,33.2
fji,2005,32.9
fji,2006,32.7
fji,2007,32.4
fji,2008,32.1
fji,2009,31.8
fji,2010,31.7
fji,2011,31.6
fji,2012,31.5
fji,2013,31.5
fji,2014,31.4
fji,2015,31.5
fji,2016,31.6
fji,2017,31.7
fji,2018,31.8
fji,2019,32
fra,2000,8.4
fra,2001,8.3
fra,2002,8.3
fra,2003,8.4
fra,2004,8.5
fra,2005,8.5
fra,2006,8.6
fra,2007,8.6
fra,2008,8.6
fra,2009,8.6
fra,2010,8.6
fra,2011,8.7
fra,2012,8.8
fra,2013,8.9
fra,2014,9.1
fra,2015,9.4
fra,2016,9.7
fra,2017,10
fra,2018,10.3
fra,2019,10.6
fsm,2000,21.7
fsm,2001,21.6
fsm,2002,21.6
fsm,2003,21.7
fsm,2004,21.8
fsm,2005,21.9
fsm,2006,22
fsm,2007,22.1
fsm,2008,22.2
fsm,2009,22.2
fsm,2010,22.3
fsm,2011,22.5
fsm,2012,22.7
fsm,2013,23
fsm,2014,23.2
fsm,2015,23.5
fsm,2016,23.9
fsm,2017,24.3
fsm,2018,24.6
fsm,2019,25
gab,2000,58.5
gab,2001,58.4
gab,2002,58.3
gab,2003,58.2
gab,2004,58.1
gab,2005,57.9
gab,2006,57.7
gab,2007,57.3
gab,2008,57
gab,2009,56.7
gab,2010,56.3
gab,2011,55.8
gab,2012,55.3
gab,2013,54.9
gab,2014,54.4
gab,2015,54
gab,2016,53.6
gab,2017,53.2
gab,2018,52.8
gab,2019,52.4
gbr,2000,9.4
gbr,2001,9.2
gbr,2002,9.1
gbr,2003,9
gbr,2004,9
gbr,2005,9
gbr,2006,9
gbr,2007,9
gbr,2008,9.1
gbr,2009,9.1
gbr,2010,9.2
gbr,2011,9.3
gbr,2012,9.4
gbr,2013,9.5
gbr,2014,9.7
gbr,2015,9.9
gbr,2016,10.1
gbr,2017,10.4
gbr,2018,10.7
gbr,2019,11.1
geo,2000,31.5
geo,2001,30.9
geo,2002,30.4
geo,2003,29.9
geo,2004,29.3
geo,2005,28.9
geo,2006,28.7
geo,2007,28.3
geo,2008,27.9
geo,2009,27.7
geo,2010,27.4
geo,2011,27.1
geo,2012,26.9
geo,2013,26.8
geo,2014,26.8
geo,2015,26.8
geo,2016,26.8
geo,2017,26.9
geo,2018,27.2
geo,2019,27.5
gha,2000,49
gha,2001,49.1
gha,2002,49.2
gha,2003,49.4
gha,2004,49.5
gha,2005,49.3
gha,2006,49.1
gha,2007,48.7
gha,2008,48.1
gha,2009,47.3
gha,2010,46.3
gha,2011,45.2
gha,2012,44.2
gha,2013,43.1
gha,2014,41.9
gha,2015,40.7
gha,2016,39.2
gha,2017,37.8
gha,2018,36.6
gha,2019,35.4
gin,2000,52.4
gin,2001,52.5
gin,2002,52.6
gin,2003,52.7
gin,2004,52.7
gin,2005,52.6
gin,2006,52.5
gin,2007,52.3
gin,2008,52.1
gin,2009,51.8
gin,2010,51.4
gin,2011,51.2
gin,2012,50.9
gin,2013,50.6
gin,2014,50.3
gin,2015,49.9
gin,2016,49.5
gin,2017,49
gin,2018,48.5
gin,2019,48
gmb,2000,62.1
gmb,2001,61.8
gmb,2002,61.6
gmb,2003,61.3
gmb,2004,61
gmb,2005,60.6
gmb,2006,60.2
gmb,2007,59.7
gmb,2008,59.2
gmb,2009,58.5
gmb,2010,57.9
gmb,2011,57.2
gmb,2012,56.4
gmb,2013,55.6
gmb,2014,54.8
gmb,2015,53.9
gmb,2016,52.8
gmb,2017,51.7
gmb,2018,50.6
gmb,2019,49.5
gnb,2000,53.8
gnb,2001,53.6
gnb,2002,53.4
gnb,2003,53.2
gnb,2004,53
gnb,2005,52.7
gnb,2006,52.4
gnb,2007,52.1
gnb,2008,51.6
gnb,2009,51.2
gnb,2010,50.7
gnb,2011,50.3
gnb,2012,49.9
gnb,2013,49.6
gnb,2014,49.3
gnb,2015,49.1
gnb,2016,48.8
gnb,2017,48.5
gnb,2018,48.3
gnb,2019,48.1
gnq,2000,56.3
gnq,2001,55.5
gnq,2002,54.8
gnq,2003,54.1
gnq,2004,53.4
gnq,2005,52.7
gnq,2006,51.9
gnq,2007,51.2
gnq,2008,50.3
gnq,2009,49.5
gnq,2010,48.7
gnq,2011,48
gnq,2012,47.4
gnq,2013,46.8
gnq,2014,46.3
gnq,2015,45.8
gnq,2016,45.4
gnq,2017,45
gnq,2018,44.7
gnq,2019,44.5
grc,2000,13
grc,2001,12.8
grc,2002,12.6
grc,2003,12.5
grc,2004,12.5
grc,2005,12.5
grc,2006,12.5
grc,2007,12.5
grc,2008,12.5
grc,2009,12.5
grc,2010,12.6
grc,2011,12.6
grc,2012,12.8
grc,2013,13.1
grc,2014,13.3
grc,2015,13.6
grc,2016,14
grc,2017,14.3
grc,2018,14.7
grc,2019,15.1
grd,2000,24.6
grd,2001,24
grd,2002,23.3
grd,2003,22.6
grd,2004,22.1
grd,2005,21.6
grd,2006,21.1
grd,2007,20.7
grd,2008,20.2
grd,2009,19.8
grd,2010,19.6
grd,2011,19.2
grd,2012,18.9
grd,2013,18.8
grd,2014,18.7
grd,2015,18.7
grd,2016,18.8
grd,2017,18.8
grd,2018,19
grd,2019,19.2
gtm,2000,22.4
gtm,2001,21.3
gtm,2002,20.3
gtm,2003,19.5
